global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
775.2335859183669	n/a	n/a	600987.1127358499	834.6167529462837	n/a	n/a	696585.1242985979	728.9510810828541	n/a	n/a	531369.6786118618	727.0935486454352	616.4691465511758	n/a	n/a	n/a	n/a	-0.1114384367	0.0202085668	-0.0224294246	0.0507633742	-0.0366864176	-0.1577405219	0.0054346598	-0.0418877972	0.0202193005	-0.0481024048	0.1555522151	-0.0878883024	0.0318324336	-0.0885140356	0.0117148733	-0.116803972	0.1250225795	-0.160683748	0.1381695384	-0.0440588122	0.0087497686	-0.03574816	0.0652066183	0.0397037513	-0.0730841659	0.0478693473	-0.0036066063	0.0663325229	-0.1000966907	0.0022402803	-0.0876195286	0.0323383596	-0.0702049973	0.013562624	-0.016130383	0.0245613245	-0.0310376653	0.051803235	-0.0344810091	-0.1715330745	0.0163734195	-0.0521960626	0.1504704546	0.0944788608	-0.0751254487	-0.0357271481	0.0845892452	0.025952562	-0.1045802235	0.0392052792	0.0779604573	-0.073250297	-0.0115699998	-0.0489083194	0.0354182122	0.0295628017	-0.1137646354	-0.0511090244	0.0697044054	0.0543652527	-0.0284910068	-0.0044238004	-0.0315930952	0.0758335103	-0.0657534835	0.1514907284	-0.1065174786	-0.0060946794	0.1220925966	-0.0004433884	0.0422699433	-0.0185458759	0.0979057031	-0.0351479558	0.0591762303	-0.005573452	0.0216453166	-0.0885303208	0.0635220041	-0.1910342585	0.0379883204	-0.0095441891	0.0089935708	-0.0229186236	0.04844039	-0.010751448	0.0085070415	-0.0953958899	0.0901933613	-0.0023531203	-0.122500822	0.0977646462	-0.0914746809	-0.1499212372	0.0135454601	0.0376963044	-0.0249288677	-0.0071105851	0.0986561784	0.014836665	-0.1509377615	-0.0164409147	-0.0115786488	0.0019689095	0.0479858909	-0.0270970365	-0.0256550479	-0.0742874437	0.0644680684	0.0791832442	0.1147017419	0.1146833673	0.1146527451	0.0148549	n/a	0.00022066805401	n/a	0.0369833	n/a	0.0013677644788899	n/a	0.0903153	n/a	0.00815685341409	n/a	-0.000845471	n/a	7.148212118409999e-07	n/a	-0.000770893	n/a	5.942760174490001e-07	n/a	0.000915975	n/a	8.39010200625e-07	n/a	0.0	0.0
774.6310370786106	-0.6025488397563095	0.3630651042916747	600053.2436054838	843.3629726220388	8.746219675755128	76.49635861656614	711261.1035898818	728.4163136588676	-0.5347674239865228	0.2859761977571814	530590.3260043737	726.6625562824723	626.0525025676749	1.058767	21.654934	0.04176605	0.0233765	0.048140185	0.0453059496	0.0978380709	-0.0024146607	-0.0429078415	0.0337125201	0.1244311311	0.0626656873	0.0156227984	-0.0830011264	0.0501212342	-0.1368393187	-0.0788705481	-0.0079930821	-0.0133549201	-0.0061208625	0.1054785074	0.0512425573	0.0043284914	-0.1598809498	0.0911662111	0.0941975414	-0.1670764114	0.0802785128	-0.071395171	-0.0733856435	-0.1879381785	0.0678999807	-0.1270676049	0.080760451	-0.0265288062	0.1460041794	-0.0943613903	0.1497460876	0.0294337663	-0.0800103658	0.0850807418	-0.021486761	0.097553261	-0.0368522198	-0.0811382867	0.1166624754	0.0939806558	-0.0660770542	-0.0136654947	0.0653900161	0.2544539321	-0.0868358521	0.152998113	0.1178912562	0.0810181903	0.069099573	-0.0069668271	0.1044249276	0.0473250531	-0.0514820598	-0.0031048609	0.0080752339	-0.0307835113	0.0170711461	-0.044060375	-0.1518937944	0.0312793094	-0.0969371257	-0.0228343688	0.0699316352	-0.0140195726	-0.2157071561	0.0757174995	-0.2002004662	-0.0057975298	-0.0983106118	0.0968497182	-0.0595185918	0.0494140923	0.1137807024	0.1034130575	-0.1573494474	0.0388840546	-0.0556855216	0.0805164565	-0.0409300642	0.1403269436	0.0513797033	-0.1202893595	0.0185223808	0.0694484378	-0.0677474473	0.0977407523	0.055245635	0.0574817881	0.0338350661	0.0592503406	0.1032764574	0.0171577207	0.0053784681	-0.0241482253	0.0463251195	0.1539760985	0.1166462643	-0.0787422465	0.0063040718	-0.0233578857	-0.0759520442	-0.15554827	0.0554090518	-0.1112082939	0.1429540206	0.1076589131	-0.0720713837	0.1146527451	0.1144874327	0.1142120884	0.0107347	-0.0041202	0.00011523378409	1.697604804000001e-05	0.0408618	0.0038785	0.0016696866992399	1.504276225e-05	0.111892	0.0215767	0.012519819664	0.00046555398289	-0.0007856939999999	5.977700000009997e-05	6.173150616358429e-07	3.5732897290119522e-09	-0.0007290559999999	4.183700000010005e-05	5.315226511358542e-07	1.7503345690083711e-09	0.000773776	-0.0001421989999999	5.98729298176e-07	2.0220555600999992e-08	0.0	0.0
774.7170235526287	0.0859864740181137	0.0073936737140677	600186.4665822443	831.2510152779287	-12.111957344110124	146.69951070554316	690978.2504005872	729.9848638524043	1.56855019353668	2.460349709643957	532877.9014536132	726.983944611431	620.0205449400322	1.101924	22.537619	0.0715421	0.0429993	-0.0818822191	-0.0955759968	0.062680737	0.0605158758	-0.0536610996	-0.0872582986	-0.1075912831	-0.0010761238	-0.0475604672	-0.1594985795	0.1062331963	-0.0470582926	-0.0737098264	-0.0031150151	-0.0602179415	-0.1320771545	0.1084027345	-0.0923572971	0.0165278482	-0.034426684	-0.1037965772	-0.0416913281	-0.003926979	-0.0695476093	0.0054224313	-0.1043653666	-0.058009673	0.1606711002	0.0560373535	-0.085179244	0.0995782391	-0.0272218705	0.0865698051	-0.0241035475	-0.0192444267	-0.2026898056	0.119141154	0.0331405063	0.0057305883	-0.0915309365	0.1027048523	-0.0485471453	-0.0379901704	0.0015638031	0.048674741	-0.273048999	-0.0618333967	-0.0284251114	0.1890078119	0.0131192816	0.0307994095	-0.0219089524	0.0694354524	-0.1373971864	-0.0544654413	0.0285104441	-0.0575221388	-0.0356903892	0.0522813338	0.0528820724	-0.0231164935	0.0343200196	0.0496719683	0.0831869981	-0.1697379943	0.123650337	0.0091208407	-0.0049001949	0.1066362336	-0.0248573084	-0.1048434678	-0.0129182187	0.0660213251	-0.1633349016	-0.0486188949	0.0781359136	-0.066643188	-0.0582295937	-0.007004261	0.1339401901	-0.0606243066	-0.1105254667	-0.0591331919	0.0168942793	-0.1374060461	-0.0812217536	-0.1554877081	0.0666727366	-0.1032667469	-0.1002240796	0.0502839494	0.018114355	-0.1277145124	-0.1439213157	-0.0595071696	0.0465503937	0.0209933586	-0.0749019133	0.1956148591	-0.0154924799	0.0744055436	0.1592178677	0.0444679973	0.0304133273	0.0487858293	0.0021374255	0.0087570862	0.0337635169	-0.05533476	-0.022499328	0.1145547726	0.1140958982	0.1133324686	0.0121576	0.0014228999999999	0.00014780723776	2.0246444099999987e-06	0.0169274	-0.0239343999999999	0.0002865368707599	0.0005728555033599	0.0779914	-0.0339006	0.00608265847396	0.00114925068036	-0.000747486	3.820799999990001e-05	5.58735320196e-07	1.459851263992359e-09	-0.000931685	-0.0002026290000001	8.680369392250001e-07	4.1058511641040547e-08	0.000778623	4.846999999999989e-06	6.06253776129e-07	2.3493408999999895e-11	0.0	0.0
775.9321623037289	1.2151387511001983	1.4765621844253505	602070.7204973403	836.5106385464314	5.259623268502764	27.663636926575705	699750.0484013584	729.9703868753061	-0.0144769770981838	0.0002095828659013	532856.765714884	727.780907325089	627.4679664011134	1.083649	22.163845	0.16394349	0.0914352	-0.0633793447	0.1477621245	0.043287383	0.1476426721	0.0984614849	-0.0756728428	0.1134456656	0.0198333798	-0.0523064086	0.0445567142	0.145772139	0.1124113068	-0.0455586492	-0.0179115524	0.1584040943	-0.1637359403	0.0158084587	-0.1587190739	-0.0022855764	-0.0148287927	0.0076726726	0.1473413836	-0.0332128238	-0.0474511872	0.0331456235	0.0068881845	-0.0951069553	-0.0348050613	-0.1694870123	0.1133499072	0.0175569786	-0.0249188494	-0.0517991603	0.112062267	0.0351970288	-0.0359209894	-0.1007609235	-0.0164281953	-0.0011222602	-0.0433225103	-0.072095678	-0.0677982481	-0.0403785953	-0.0614953358	0.1085528997	0.0834519287	0.121087622	-0.0031139421	-0.0072220543	-0.0837188068	0.005010567	-0.0417637513	-0.0592331343	0.0234096612	-0.1149005924	-0.0008372186	-0.0494196886	0.0614615263	0.1029653127	0.0796158328	0.0613967537	0.0653682796	-0.1731927962	-0.0013070632	-0.0577097784	0.2174974886	-0.0803565299	0.0090687309	-0.0082525504	-0.1388143721	-0.0474388474	-0.1125037565	0.0395865706	0.0099924995	-0.0666275403	0.0223360713	0.0687469065	-0.1276680012	-0.0026963571	-0.0290990468	0.1395344674	0.0245981051	-0.0244309423	0.0308901704	-0.0481070675	0.0988017149	0.0744922608	0.1241754717	0.1049098623	0.042562678	0.0158582312	-0.0374626537	0.0856034966	0.0763639894	-0.1635799074	0.0763534087	-0.0081534473	-0.0586912589	-0.0191673661	-0.0686552597	-0.0171230629	0.0380581385	-0.0269972672	-0.0560513678	0.0301415161	0.0094658269	0.0337083764	0.0157273615	-0.1203808836	0.0576216897	0.1144078661	0.1135094328	0.1120172664	0.0086383099999999	-0.00351929	7.462039965609828e-05	1.2385402104100694e-05	0.0906636	0.0737362	0.00821988836496	0.00543702719044	0.112736	0.0347446	0.012709405696	0.00120718722916	-0.00126255	-0.000515064	1.5940325025000002e-06	2.652909240960001e-07	-0.000468186	0.000463499	2.19198130596e-07	2.1483132300100006e-07	0.0008389279999999	6.030499999990001e-05	7.038001891838322e-07	3.6366930249879404e-09	0.0	0.0
775.4306397936958	-0.5015225100330554	0.2515248280698561	601292.6771308605	834.6313337592874	-1.879304787144065	3.531786482982599	696609.463292807	730.3934393752596	0.4230524999535419	0.1789734177169415	533474.576282421	728.3483829003558	627.5401324508806	1.202749	24.599791	0.0958232105	0.0524024	0.1475487876	-0.0356656195	0.1290975175	0.1457760556	0.0866307936	0.1444249647	-0.0129396432	0.1176389083	-0.0524660495	-0.12382502	0.1040627732	-0.0328512215	-0.0711794083	-0.1459688101	-0.1848350745	-0.2570954767	-0.0850089858	0.0114407914	-0.0084424961	-0.1344062526	-0.0067276433	0.083122226	-0.0586826176	-0.0273645236	0.0460140549	-0.1041904547	-0.0425562037	0.0475623605	0.0349318745	0.0512215343	0.0021063053	-0.0209723734	-0.0106501153	0.000518637	0.0646958906	-0.0023669666	-0.0712645668	0.0752574557	0.0263229389	-0.0166381747	-0.0946489322	-0.0332034985	-0.0618065726	-0.0277849583	0.1231444171	-0.0542509476	-0.139821437	0.0267891032	-0.0106328212	0.0479777892	-0.0968919654	-0.026640697	-0.01645172	0.0614558469	-0.0134598624	0.0291068337	0.0227379389	0.0008353726	-0.0725621962	-0.0231280343	-0.0090851726	-0.1437081389	0.1419191658	-0.135489081	-0.0103340936	0.2514721439	0.0819463396	-0.0584165361	0.0642549227	0.0049531066	-0.109309383	-0.0880305808	0.0176145611	0.0125856729	-0.1376068641	0.0580330113	-0.031987742	-0.0130974491	-0.0120898687	0.0523578915	0.0004896164	0.0393952005	-0.090804143	-0.0289952344	0.0292530198	0.0364239372	-0.0782740231	0.044739298	0.0050455689	-0.0400708262	0.0162670985	-0.0341547655	-0.0217652666	-0.0307200652	-0.0017561972	0.0032219373	-0.0521107372	0.0314202405	-0.2240713165	-0.0893652056	0.0901218256	-0.0468057282	-0.0905904393	0.0567285126	-0.1208241357	0.0737527026	-0.0634195843	-0.1161914363	0.0922561849	0.0290361147	0.1142120884	0.1127290384	0.1102715368	1.66995e-05	-0.0086216104999999	2.7887330025000004e-10	7.433216761370854e-05	0.0555383	-0.0351253	0.0030845027668899	0.0012337867000899	0.111791	-0.000945	0.012497227681	8.930250000000027e-07	-0.000665817	0.000596733	4.43312277489e-07	3.560902732890001e-07	-0.000389053	7.9133e-05	1.51362236809e-07	6.262031689e-09	0.000492168	-0.0003467599999999	2.42229340224e-07	1.202424975999307e-07	0.0	0.0
774.3377406032508	-1.0928991904449958	1.1944286404753273	599598.9365225474	834.666651728563	0.0353179692756384	0.0012473589537549	696668.4195077703	730.1050833124132	-0.2883560628464465	0.0831492189803038	533053.4326786258	727.8684763403993	627.6048316325081	1.196609	24.474201	0.0833869005	0.0383784	-0.1140568717	-0.0597149841	0.1076230153	0.0780081813	0.0569854074	-0.0906080327	-0.0679223473	0.0677672128	0.0805304405	-0.0174607929	0.0450294419	0.0121821804	-0.0017872136	-0.0816821757	-0.0218589908	-0.0798397449	0.0478132597	-0.1154358594	-0.0049380648	-0.0954713598	0.0598506387	0.0347018221	0.1443022989	-0.0726496464	-0.1260708534	-0.0568797588	0.0587365593	0.0504471027	0.058777983	0.0534610865	0.1263187716	-0.0159695067	0.0006361131	-0.1013247548	-0.0873032645	-0.0030096774	-0.0586108728	0.0228974432	0.0348831688	0.185863165	-0.0417844186	0.0129476151	0.0326488872	0.1707942575	0.0019603656	-0.0410251214	0.1292934658	-0.1408584682	-0.1041012603	-0.2161074884	0.0639613353	0.021210215	-0.0890082563	-0.1698937373	-0.0296159534	0.1040789587	0.0453541266	0.0998822209	-0.0018904516	0.0029467521	0.0571949745	0.115949993	0.0234057646	0.1116762552	-0.0628243087	0.1589534015	0.0013571375	-0.0074616534	0.0876746676	0.0280652057	0.0437299208	-0.1270903655	-0.0281374725	-0.001587445	-0.029909095	-0.0715277873	-0.091484304	0.0462418729	0.0118163017	0.1030109981	-0.0928829289	0.0518335491	-0.0216452049	0.1690512511	0.1250611884	-0.0374845759	0.1154037407	-0.0294542209	0.0409626816	0.0758944566	0.1260127978	-0.0329101586	0.1030022357	-0.0169021816	-0.1231506014	0.0780900857	0.0507054429	0.0841804407	0.0825902355	-0.0078867058	-0.0009959309	0.0628019247	0.0576446575	0.1145566725	0.1723858368	0.0269868851	0.1120317717	0.0909314434	-0.0695212135	-0.0400032438	0.1139675232	0.1117560484	0.1081019891	0.0120339	0.0120172005	0.00014481474921	0.0001444131078572	0.0661965	0.0106582	0.00438197661225	0.00011359722724	0.0911233	-0.0206676999999999	0.00830345580289	0.0004271538232899	-0.000924061	-0.000258244	8.53888731721e-07	6.668996353600002e-08	-0.000931685	-0.000542632	8.680369392250001e-07	2.94449487424e-07	0.000492168	0.0	2.42229340224e-07	0.0	0.0	0.0
772.8426256179214	-1.495114985329451	2.2353688193566845	597285.7239720026	838.1535721538821	3.486920425319113	12.158614052507623	702501.4105143129	729.1133828584202	-0.991700453992962	0.9834697904498472	531606.3250632492	727.265437544613	622.0875135320285	1.129615	23.103989	0.09153072	0.0519707	0.0421579629	0.0713331395	0.080098286	-0.0348449524	-0.0500279339	0.0502080066	0.092194289	0.1133606835	-0.0144797879	-0.1410989994	-0.0715395418	0.1235265378	-0.1456863075	0.054036889	0.0440877681	-0.1479748663	-0.0122115396	0.0802619853	0.076566337	-0.1936313969	0.012775329	-0.0549257811	0.0163944858	0.1506700878	0.0315287286	-0.0830507387	0.0702428125	-0.1084433553	-0.0612344279	0.2230550544	-0.2448670078	0.0182459051	0.0984130138	-0.0113535515	0.0852895164	0.0043372	-0.03560322	-0.0232628309	-0.1789137046	0.0356611184	-0.0015289447	0.0511540196	0.0341043355	-0.0515226123	0.0814681645	0.013486569	0.0236195672	0.0496658782	-0.0653931459	-0.1521094795	0.0308298529	0.047918264	0.0387325922	-0.0794834	-0.0982866399	-0.0365444925	0.0289884917	-0.0004590636	-0.0529048813	-0.0857915947	0.0941924336	0.1228939152	-0.0231572013	-0.111007359	0.0368944875	0.1682529973	0.1153221221	-0.1272860572	0.027173029	0.0583522241	0.2500239219	0.1165377278	-0.1111548046	-0.1038662012	-0.161556875	-0.0584759387	0.0319371681	-0.0789030041	-0.1267207238	-0.0208319062	0.0356556136	0.1527135337	0.0595093437	-0.0819806494	0.037551739	0.0109004749	0.1200383531	-0.0591743805	0.1782067129	-0.0530432702	0.0406737839	-0.0221571473	-0.0386818796	0.0245949773	0.030395997	0.124812651	0.0542778957	0.0045652667	-0.020052906	-0.1045833328	0.0968500518	-0.0213732443	-0.0031037935	-0.0193869954	0.0581348562	-0.1294325475	0.0800676956	0.0153487623	0.1032783504	-0.0305674904	0.1136742748	0.110592125	0.105516962	0.00563188	-0.00640202	3.1718072334399995e-05	4.098586008040001e-05	0.0492571	-0.0169394	0.00242626190041	0.00028694327236	0.13428	0.0431567	0.0180311184	0.00186250075489	-0.000899092	2.496900000000001e-05	8.08366424464e-07	6.234509610000006e-10	-0.000456002	0.000475683	2.07937824004e-07	2.2627431648900002e-07	0.000492168	0.0	2.42229340224e-07	0.0	0.0	0.0
771.5026822486417	-1.3399433692796947	1.7954482328766204	595216.3887168486	828.2737752716057	-9.879796882276423	97.61038643503892	686037.4468026784	729.1527128969625	0.039330038542289	0.0015468519317379	531663.6787250002	726.643022110404	612.5261068257201	1.121325	22.934437	0.0702359	0.0404084	0.027035887	-0.1500468175	-0.0812411802	-0.036241804	-0.07662222	0.0209747635	-0.1278759743	-0.0466789859	0.0535926834	-0.0845753869	0.066884005	0.0160104472	-0.1450429933	0.1577883778	-0.0799990677	-0.0581558729	0.1237074031	-0.0842149581	-0.0427595268	0.1014114692	-0.0855845406	0.0204963474	-0.0260476379	0.0726307651	-0.0104225722	-0.1304940984	0.1418426685	-0.0534399929	0.0708581156	-0.0530647404	-0.0749436054	0.2194376422	0.0438132183	-0.1241428903	0.0084577896	-0.0323868208	0.0338819673	-0.1341415023	-0.0848707676	-0.026540273	-0.0418217519	-0.0157261937	-0.0255344482	-0.0085180483	-0.0150054417	-0.0765144928	-0.0534838093	0.0159146449	-0.0784274616	0.0005780706	-0.0231789118	0.1051619815	-0.0842550037	0.0356408327	0.0102322607	-0.0311831085	0.0764673678	-0.0839461968	-0.1402227563	-0.0410337654	-0.2759761706	-0.0182685638	0.1155224554	0.0453069003	-0.1224271141	0.0620184629	0.0102208323	0.0206455016	-0.0596868202	-0.0306417644	0.0915579693	0.0185934446	-0.1809465012	-0.1788740164	-0.0995831169	-0.0485920857	-0.0931677996	0.1001938985	0.0855414053	0.0361665591	-0.0426735594	-0.0856011699	0.1735146253	0.07165863	-0.061440238	-0.0480051081	-0.00274072	-0.1665186756	0.0383231948	-0.0484082928	-0.0328563645	0.0226701712	-0.0713695848	-0.0082886056	0.0470029997	-0.0611662991	-0.0257896481	-0.0318540763	-0.1265770806	-0.0339636436	-0.0399717046	-0.0338568843	-0.0521872067	0.1122472832	-0.0421939225	0.0967063208	-0.0935027753	-0.0241896444	-0.0349578699	-0.0111519358	0.1133324686	0.1092392569	0.1025263906	0.00613758	0.0005057	3.76698882564e-05	2.557324900000005e-07	0.0199343	-0.0293228	0.0003973763164899	0.00085982659984	0.106495	-0.027785	0.011341185025	0.000772006225	-0.00115154	-0.0002524479999999	1.3260443715999998e-06	6.372999270399997e-08	-0.000456002	0.0	2.07937824004e-07	0.0	0.000492168	0.0	2.42229340224e-07	0.0	0.0	0.0
774.0928231648948	2.590140916253062	6.708829966048254	599219.698875397	833.9956103123259	5.72183504072018	32.7393962332133	695548.678020229	728.5284139016827	-0.624298995279787	0.3897492355073516	530753.6498621015	726.2069099039554	619.6325960107549	1.199579	24.534964	0.1427878114999999	0.0828797	-0.1657886119	0.0309290711	-0.0176466577	-0.1027649405	0.0697922447	-0.1681603253	-0.0392675361	-0.0008052442	-0.0425017366	0.0381432436	0.1360438964	0.0595925501	-0.1042257405	-0.0716794953	0.0946244645	-0.0104545179	0.2121112768	-0.0937583355	0.0526033665	-0.0438717327	-0.0183512386	0.0655993977	-0.1368501196	0.1186152913	0.032753982	-0.0538888765	0.110059234	-0.0188891051	0.2540896272	-0.1355313268	0.0089731026	0.0346214456	-0.0064348056	0.0520482155	-0.0690906172	-0.0216767569	-0.061268147	0.0099319861	0.0758870859	0.1227071724	-0.0447044146	-0.0541657028	0.0142363225	-0.0016788183	-0.0366266307	0.1476921356	0.0003975021	0.0896108299	0.0494484684	0.0471846018	-0.075214819	-0.0890549697	0.1688187111	0.0195298616	0.0029841292	0.0901980232	-0.0336310645	0.007307863	0.0349337596	0.0828097896	0.0002859286	0.0093382526	-0.0989400614	0.1091182175	-0.1053305328	0.081833777	-0.0711611957	-0.1723928969	-0.0251439323	-0.0852773262	0.0725731718	0.0389965966	-0.0386802179	-0.0862126618	0.0192850441	0.1064852356	-0.0894097071	0.171434787	0.0362610924	-0.0054449246	-0.0949048292	-0.1160070656	-0.0815593768	-0.0760952183	0.110715827	-0.0423851083	-0.0557529621	0.0671965646	0.0013645579	0.1214939078	-0.0961319117	0.0151653438	-0.0045615949	0.0963372166	0.0751863685	-0.0839613433	-0.1157580475	-0.0926552251	0.0206228482	0.118884572	0.0164378321	0.0694329934	-0.0409349643	0.0086711142	-0.0514346087	-0.0881603754	0.0061982851	0.1095008161	-0.0858530402	-0.0449019117	0.1129422506	0.1076997553	0.099141769	-1.83815e-05	-0.0061559615	3.3787954225e-10	3.7895861989482257e-05	0.0886638	0.0687295	0.00786126943044	0.00472374417025	0.153092	0.046597	0.023437160464	0.002171280409	-0.000799573	0.0003519669999999	6.39316982329e-07	1.2388076908899993e-07	-0.000456003	-1.000000000015745e-09	2.07938736009e-07	1.0000000000314906e-18	0.000418029	-7.413899999999998e-05	1.74748244841e-07	5.4965913209999965e-09	0.0	0.0
773.258904494609	-0.8339186702856978	0.6954203486510663	597929.3333802029	838.1422315215459	4.146621209220029	17.19446745275338	702482.4002599167	727.9197478398472	-0.6086660618354927	0.3704743748303277	529867.1592952268	725.656900871657	617.6538349270016	1.358341	27.78211	0.1733858814999999	0.110492	0.0891013949	0.0911343883	0.01731261	0.0580270357	-0.141532039	0.0175943936	0.1456695598	0.0215343353	-0.0877396706	-0.1225367761	0.1027520742	0.0044665176	-0.1062699902	0.0488498618	0.0803156349	-0.0567200793	0.0706094794	0.1480383078	0.03737174	0.0468641635	-0.0464047902	0.0174525349	-0.07411903	-0.0475532955	-0.1036528647	-0.0551134962	-0.0602726302	-0.0795333644	-0.0077936615	0.0490990559	-0.076502497	-0.0147656814	-0.1196921345	0.0751337507	0.1495482181	0.1001476468	0.0624137133	0.0575200764	0.1252259058	0.1329738268	0.0991083463	0.0266969867	-0.1482160657	-0.1099843965	0.1098464972	-0.057892285	0.0032912989	-0.0510900556	-0.0136457597	-0.0688035293	-0.0262611709	0.0924255446	-0.0078749644	-0.132684935	0.2509096648	-0.0014248115	0.1298206951	-0.1440785556	-0.0026453301	-0.0227391096	0.0482915557	-0.0672851741	-0.0956328563	-0.1620455042	-0.1182826123	-0.0386237018	0.0012627044	-0.1114431982	0.0535943884	-0.0224044051	-0.038338992	0.0263235602	-0.0006183794	-0.0363300422	0.0383483267	0.0173322129	-0.0168124235	0.0239574297	-0.0284140684	0.0300054776	0.1474103952	0.1100690542	0.1090817197	-0.035067999	-0.0087770242	0.1910091561	0.0227329653	-0.0354318272	-0.1797884159	0.0294151646	0.0251804786	-0.1006137409	0.1169087699	-0.0883779822	0.0078987523	0.0636263345	-0.1110593392	0.0297191821	-0.1918949807	-0.045791561	-0.0612993181	-0.0674039525	-0.0245381454	0.0718479692	0.2138143137	0.1232205565	-0.0845684054	-0.0253308388	0.1399441582	0.0457193129	0.1125037874	0.1059762505	0.0953761056	0.0141018	0.0141201814999999	0.0001988607632399	0.0001993795255929	0.0134935	-0.0751703	0.00018207454225	0.0056505740020899	0.0737887	-0.0793033	0.00544477224769	0.00628901339089	-0.0007778709999999	2.1702000000100035e-05	6.050832926408445e-07	4.709768040043418e-10	-0.000456002	1.000000000015745e-09	2.07937824004e-07	1.0000000000314906e-18	0.000492168	7.413899999999998e-05	2.42229340224e-07	5.4965913209999965e-09	0.0	0.0
