global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
806.1534589161715	n/a	n/a	649883.3993225074	842.2810600880086	n/a	709437.3841829796	n/a	787.1187702966333	n/a	n/a	619555.9585532842	779.8701707207354	619.5291502481853	n/a	n/a	n/a	n/a	-0.0090277472	-0.040505778	0.1265567587	-0.030995954	0.0456577064	-0.0045754663	-0.1359968046	0.0033982989	-0.0095227437	0.1610542583	-0.0048572097	0.1371883585	-0.0533336482	0.0121863832	-0.0129771651	0.0164367627	-0.013347023	0.0844266458	-0.0577676577	-0.0620920953	0.1226428544	-0.0714760767	0.1533856717	-0.077181839	0.0441709565	-0.0712012801	0.0397481101	-0.065410961	0.0371995317	-0.0133061367	0.0017554048	-0.0637370713	0.011460861	-0.032311834	0.0341890029	-0.094543354	0.057332605	-0.0183131563	0.0782453049	-0.2005771036	0.1301329386	-0.0241057699	-0.0274672764	0.0386259255	0.0123951795	-0.0130155467	-0.045085957	0.0110796968	0.1248278946	-0.0702509627	0.0837038267	0.040206695	0.0654108344	-0.0682518649	0.0581680547	0.0134972715	0.0073612256	0.0565036487	-0.0335617602	-0.073002591	0.0493067653	0.1173378782	-0.1087057425	-0.0448925642	-0.032962216	-0.0185551803	0.0117332137	-0.0119763266	-0.0916463966	0.0068360652	-0.0810261336	0.0485607022	-0.1169618165	0.0847309878	-0.0682578511	0.0243945803	-0.0648174953	0.0786822415	0.0066699088	-0.0362456948	0.0018917126	-0.0236501658	0.0585808138	-0.0385470615	0.008092305	-0.1321836263	0.0473755998	-0.0727558342	0.1439461348	-0.0772905233	0.0650940989	-0.0584706823	-0.0010580357	0.0461665601	0.0184853048	-0.0968202971	0.0517985154	-0.0274730939	-0.0533621832	0.0757873055	0.0363006821	-0.0894994097	-0.2427392344	0.08126249	0.0339348578	-0.091553046	-0.0293488148	0.0020422021	0.1274796818	-0.0001778919	-0.0522462142	0.1025235882	0.0008095834	0.0254222085	0.0272269281	0.101852398	-0.0384085355	0.1147017419	0.1146833673	0.1146527451	-4.55282e-05	n/a	n/a	2.07281699524e-09	0.0270641	n/a	n/a	0.00073246550881	0.120998	n/a	0.014640516004	n/a	-0.00295351	n/a	8.723221320099999e-06	n/a	0.000816417	n/a	n/a	6.665367178890001e-07	0.0	n/a	0.0	n/a
806.7180694605082	0.5646105443366878	0.3187850667761708	650794.0435940893	841.9238615095318	-0.3571985784768685	708835.7885791212	0.1275908244658956	787.6640534709005	0.5452831742671833	0.2973337401388954	620414.6611302096	780.4308339360998	630.4179055043218	0.993023	18.119787	0.0530481097999999	0.0394031	-0.0788909356	-0.020252085	0.1041009826	0.0194668631	0.0256807369	-0.0510172228	-0.1231515216	-0.0228482623	-0.0997548798	0.0623910192	0.0353697854	0.0517627637	-0.1481227764	0.1993836758	-0.0932546931	-0.040682135	0.0185394858	-0.0340708417	-0.2303310357	-0.1105503564	0.0829232371	-0.0343666217	0.1377851408	-0.017870661	0.1205717725	0.08960379	-0.0339165229	-0.0543142905	0.0569538366	0.0544266911	-0.0163068844	-0.0593487495	0.0126131609	0.182374162	0.014497371	-0.0669671738	0.0126190111	-0.090377549	0.0150787102	-0.036895833	-0.0342131527	0.0516847634	-0.0349653125	-0.0395686411	0.0169833882	0.1032589056	0.0759320857	0.0653086459	0.0021380517	-0.0722585563	0.0322531347	0.0461807379	-0.0407745427	0.0551772429	-0.0871493792	0.0488212082	0.0076831125	-0.1214417066	-0.1471401453	0.112584869	0.0144421662	0.053720615	0.1212880662	-0.0664128203	0.0344896308	0.0706620329	-0.0211365824	0.0214384198	-0.0661955493	0.1372116124	-0.0926436242	-0.0417286192	-0.2260702156	0.1232488499	-0.1399694251	-0.0406519139	-0.0124451096	-0.0724869374	0.0383329427	0.0775549291	0.0230216563	0.1641805352	0.1635600223	-0.0134827802	-0.0459614829	-0.1389006097	-0.0237464978	-0.0570093849	0.1286334924	-0.0500784592	0.0139561477	0.0384233337	-0.0425723479	0.0449642775	0.0750713603	0.0192404869	-0.0545844984	-0.042065876	0.0728319688	0.0855214293	-0.0559822719	-0.0459223224	0.0139254701	0.0655036001	-0.0326460407	0.0210957764	-0.0803534338	0.1347056696	-0.0185802693	-0.101606306	0.015054967	0.1108040321	-0.1123103959	0.1288364746	-0.0402800817	0.0161048143	-0.0844856125	0.1146527451	0.1144874327	0.1142120884	-5.4738e-05	-9.209799999999994e-06	8.482041603999989e-11	2.9962486439999998e-09	0.0266903	-0.0003738	1.397264400000004e-07	0.00071237211409	0.111092	-0.0099059999999999	0.012341432464	9.812883599999996e-05	-0.00226349	0.00069002	5.1233869801e-06	4.761276003999999e-07	0.000981579	0.0001651619999999	2.7278486243999984e-08	9.63497333241e-07	0.0	0.0	0.0	0.0
806.041753902084	-0.6763155584242213	0.4574027345666663	649703.3090335478	840.781048997879	-1.142812511652778	706912.7723539738	1.3060204367901311	787.9795946463339	0.3155411754333954	0.0995662333938888	620911.8415790007	780.6009742693863	633.1722639572492	1.044587	19.060692	0.049015962	0.0253952	-0.1034403069	-0.0125700127	0.0691385363	-0.0258808523	-0.0623877153	-0.0710360152	-0.0948687533	0.0516349154	0.1367402896	-0.0033004617	-0.1258337084	0.1080482585	-0.1364086866	-0.0487818667	-0.0275499347	-0.0947136787	0.0568269117	-0.0222988227	0.078242866	-0.0740390575	0.0686321045	-0.0897151746	0.0786101483	-0.0017084893	0.0104074414	0.1536306454	-0.0145254928	0.0236515009	0.1142058129	-0.0707589478	0.1695388443	-0.0757051144	0.0429027101	0.1062948691	0.0298252582	-0.1070992727	-0.0629297084	0.140986715	-0.0286716279	0.0741286224	0.0731176088	0.0513178831	0.0825227881	-0.0212844816	-0.1142946069	-0.0932072687	-0.1275376884	-0.018018764	0.1123088241	-0.0172653135	0.0235124225	-0.0294550844	0.0253450989	0.0400144989	-0.0288950553	0.0275919343	-0.001629019	-0.0008926203	-0.111748488	0.1280037593	0.0438969899	0.0446584062	-0.0184881273	0.0028987912	-0.0029560628	-0.0361563543	0.0347136246	0.0626463366	-0.0470472637	-0.0773035546	-0.0611803343	0.0775952473	-0.0839905758	-0.0022612764	-0.062383641	-0.009685946	0.0442015192	0.1014048045	-0.1141739785	0.0196509733	-0.1018023174	0.277325518	0.0129570551	0.088397626	-0.1162891697	-0.0546691738	-0.0364289516	0.0187073489	-0.0517471283	-0.036801719	-0.0008043565	-0.0414972393	0.0523762183	-0.1481791652	-0.0714211227	0.0073915688	0.0027146389	0.1380250014	-0.0571302048	-0.0263338987	-0.0020224959	0.0036096567	-0.0906518534	0.0356086708	0.0781442053	0.0926722794	-0.0255833509	0.0255390625	0.0737179076	-0.1066306863	-0.0593327134	-0.0558354069	-0.062839859	0.0266411532	-0.0116732583	-0.0087022055	-0.0649054859	0.1145547726	0.1140958982	0.1133324686	-0.0172158	-0.017161062	0.0002945020489678	0.00029638376964	0.0304819	0.0037915999999999	1.4376230559999994e-05	0.0009291462276099	0.123794	0.012702	0.015324954436	0.000161340804	-0.00235295	-8.945999999999997e-05	5.5363737025e-06	8.003091599999995e-09	0.000763813	-0.000217766	4.7422030756e-08	5.834102989690001e-07	-2.11758e-22	-2.11758e-22	4.4841450563999997e-44	4.4841450563999997e-44
804.8326799424692	-1.209073959614784	1.4618598398185727	647755.6427033771	840.757392642647	-0.0236563552319921	706872.9932832621	0.0005596231428622	786.9219814089736	-1.0576132373603286	1.1185457598397948	619246.2048246249	780.1204347891488	628.3725279953036	1.047238	19.109056	0.08620575	0.0558244	-0.0592346391	-0.0529428549	0.0086350693	0.0619136946	-0.0285437607	-0.0991915166	0.0085476016	0.0413209727	-0.0317628493	-0.0227891883	0.0159714661	0.1345313218	-0.0256677732	-0.0116114508	-0.0379744534	-0.0465883996	0.0201451806	0.0370902633	0.1207997316	-0.0727062163	0.1522650096	-0.0614901477	-0.0558273064	-0.2107438061	-0.0432106515	-0.0658734311	0.0291282713	-0.1132023768	-0.0631969365	-0.1200263827	-0.0588009745	-0.022828851	0.0431174255	-0.0580792881	0.0861436788	-0.0279697335	-0.0665856045	-0.0380574145	-0.0234239451	-0.1047604266	-0.086270288	-0.1729031074	-0.0446897102	0.0568055724	-0.071910882	-0.1442675706	0.0990863863	0.0258199157	-0.088483491	0.083313529	-0.0786284617	-0.1445610765	-0.0154117869	0.0638556769	0.0583531967	-0.0597839799	0.1184283165	-0.1060625552	-0.0086681537	-0.0115338553	-0.0011701015	-0.0310796485	-0.0612895158	-0.1271468223	-0.0173367803	0.0692146172	0.0556337566	0.0526927607	0.0173354313	-0.0293668237	-0.0264500406	0.1213160458	-0.0415469432	0.1329656438	0.0744671367	-3.64114e-05	-0.0030712168	0.0706431819	0.0381559759	-0.1610126054	-0.1556506472	-0.0884177066	0.0223874671	0.0033076403	-0.0116888738	-0.0015186955	0.0429109513	0.0520905837	0.0815538861	-0.0383310061	0.2341908819	0.0031546297	-0.1100637893	0.0379056294	-0.1084097263	0.0588921804	0.164256181	0.2416918547	0.0266316504	0.0777685187	0.0146304666	-0.0517848236	0.0760566137	-0.0913482474	0.0818069001	-0.1265396397	0.0478432405	-0.0809765007	0.0080197255	0.0038870965	-0.0056446911	-0.0508241326	0.0494870097	0.0384200148	0.1132925438	0.033258585	0.1035823914	0.1144078661	0.1135094328	0.1120172664	-0.0232433	-0.0060275	3.633075625000002e-05	0.00054025099489	0.0842982	0.0538163	0.00289619414569	0.00710618652324	0.133388	0.009594	0.017792358544	9.20448360000001e-05	-0.00229466	5.8289999999999904e-05	5.2654645156e-06	3.397724099999989e-09	0.000686394	-7.741900000000001e-05	5.993701561000002e-09	4.71136723236e-07	-0.00019965	-0.00019965	3.98601225e-08	3.98601225e-08
804.2407227135534	-0.5919572289158168	0.3504133608656927	646803.1400708187	841.3096632603407	0.5522706176936936	707801.9494952279	0.3050028351677738	787.4574262199965	0.5354448110228986	0.2867011456513476	620089.1981090212	780.4031170087311	622.2965143650293	0.990574	18.075096	0.09027535	0.0587773	0.0097946632	-0.0799458955	-0.0259769531	0.056559564	-0.029206069	-0.0778635106	0.0636972785	0.0408227934	-0.1196617623	-0.0679924052	-0.0055192804	-0.0130149484	-0.0525876931	0.2171002823	-0.0046061161	-0.0157311116	0.0321687008	-0.0603274511	0.0077661376	-0.1473026448	0.1333688264	0.0797286094	-0.0442362505	-0.0972086887	0.0194643082	-0.0289583035	0.0446943316	-0.0082751156	-0.024868445	0.0207163137	0.036149928	0.0343807172	0.0204960287	-0.0661747463	-0.0387341657	-0.0709734272	0.0318961694	-0.0249847096	-0.1100418246	-0.0222224099	0.0413857946	-0.07571619	0.0359514858	-0.0088485568	0.1404884483	-0.0015106598	0.1223805218	0.0468957255	-0.1101448734	0.0438235441	-0.0543832985	-0.0980823069	0.0502926773	-0.08483886	0.1128762482	0.0391571097	-0.1204010376	-0.0881003873	0.0825606201	0.0802107145	-0.026712909	0.0564967772	0.1411764785	0.0748359309	0.0906611974	0.0430291404	-0.0579969697	0.055856379	0.0554568475	0.0937474846	0.0127161523	0.1241765062	-0.0685129106	0.1433614707	-0.0411090871	0.0357105658	0.0503095726	0.0036918281	0.0065753819	-0.0817841146	-0.0132728811	-0.0922968992	0.016778508	-0.073603116	0.1109257928	-0.0325377998	-0.0516413269	0.018632439	0.0036010621	0.000952636	0.0070919703	0.0639345817	-0.0694646685	-0.0479195034	-0.0483267553	0.0370614	0.0500814501	0.0011656438	-0.1026463242	-0.1252886326	-0.0090065868	0.1936605812	0.1173443717	0.0235074232	-0.089053535	-0.1326200973	-0.0156427534	-0.0334205744	-0.0599126838	0.1304781489	0.0051674013	-0.0550549913	-0.0705717187	0.0057762439	0.1473800897	-0.0178088469	-0.0942838209	0.1142120884	0.1127290384	0.1102715368	-0.035264	-0.0120206999999999	0.0001444972284899	0.0012435496959999	0.0274226	-0.0568756	0.00323483387536	0.0007519989907599	0.130597	-0.002791	0.0170555764089999	7.789681000000087e-06	-0.00227791	1.6749999999999838e-05	5.188873968100001e-06	2.805624999999945e-10	0.000531033	-0.000155361	2.413704032100001e-08	2.81996047089e-07	0.0	0.00019965	0.0	3.98601225e-08
802.8589949933984	-1.3817277201550269	1.909171492644808	644582.5658418096	835.0397382817566	-6.269924978584072	697291.3645096646	39.31195923707248	785.5446754231185	-1.9127507968779585	3.658615610957264	617080.4370856127	778.5148653961242	614.7207151335535	0.964388	17.597284	0.0484433	0.0240105	0.0673034713	-0.0783063428	-0.0211109026	-0.0779507634	-0.0880178957	-0.0075647023	0.0694914355	0.0989524065	0.0773194301	-0.0070220226	-0.1144457927	-0.0328752465	-0.1389333621	0.0792447668	0.0050284496	-0.0284175866	-0.0676612465	-0.0320610302	0.1055399102	-0.0423132487	0.0903800667	-0.0849413251	-0.0829053268	-0.1247769902	0.111870546	0.1189041413	0.011120962	-0.1081227238	-0.0734646743	0.0100070206	0.0505193854	0.0542134557	-0.0190759352	-0.0537365039	-0.0002772024	-0.0531224207	-0.0959983671	-0.0797677268	-0.0173961068	-0.0227468194	-0.003390545	-0.053375669	0.0039028898	-0.0527203069	0.0860000023	-0.0505659864	0.0358543431	-0.0552303057	0.0506126565	0.0881728016	0.0128795369	0.1672193287	-0.0863418529	0.0643184612	-0.0404776652	0.1290573923	0.1556273563	0.0499692197	0.0711473604	-0.1072721649	0.0226328883	-0.1247482031	-0.0915428815	-0.0970208868	0.0321605689	-0.0741884109	0.009952348	-0.0320143404	0.0766623905	-0.0582474777	-0.0497067316	0.1137126288	-0.1207300057	0.09942881	0.0209144251	0.0011162608	0.1260256617	-0.037291748	-0.0159561207	-0.1028266525	0.0359873109	0.0111104768	-0.0279613501	-0.0226913981	-0.0518651232	0.0319839055	-0.0323580317	-0.0348644503	0.0145909089	-0.0450035227	0.1230638439	-0.0763888743	-0.0202142324	0.0302928462	-0.0039098123	0.010355246	-0.1280504016	0.0449736992	-0.0399256208	0.0047172899	0.03903995	-0.0033768384	0.0188372085	-0.0709286263	-0.0448991763	-0.049708863	0.0372911463	-0.0627701618	-0.01935297	-0.0302642382	0.0884281619	0.038154668	0.055848886	-0.0821143119	-0.196803458	-0.0427740873	0.1506686886	0.1139675232	0.1117560484	0.1081019891	-0.035235	2.8999999999994308e-05	8.409999999996697e-10	0.001241505225	0.0435389	0.0161163	0.00025973512569	0.0018956358132099	0.144754	0.014157	0.020953720516	0.000200420649	-0.00210317	0.00017474	4.423324048900001e-06	3.0534067600000016e-08	0.000529284	-1.7489999999999997e-06	3.0590009999999988e-12	2.80141552656e-07	-0.000186331	-0.000186331	3.4719241561e-08	3.4719241561e-08
804.1400527956306	1.281057802232226	1.641109092660061	646641.2245101596	835.4719931496084	0.432254867851725	698013.4513373792	0.1868442707815123	786.6251223123159	1.080446889197333	1.1673654803761937	618779.0830528659	779.1735947870902	612.6669829927478	0.928033	16.933916	0.0299809	0.0180284	0.0774524642	-0.0689659835	-0.0113310229	-0.124266048	0.0014406288	0.0469163046	0.0681402659	0.0409532577	0.05950345	0.036352643	-0.0927323131	0.0515090959	-0.0904586875	0.0472489947	0.0473086227	-0.0330335028	-0.0573082381	0.0467550339	0.1261217099	-0.0536049525	0.0916588691	-0.0037446481	-0.003136962	-0.113930746	0.0851647545	-0.0443186344	0.0503614921	0.0309627094	0.0219049607	0.1172296297	-0.0426520863	0.100293889	0.0054322604	-0.0602161885	-0.0780059659	-0.0727612554	0.1380717678	0.1351598704	0.0992734787	0.0383098999	-0.1100117044	-0.043568654	-0.0068867368	0.0837192987	0.0165265287	0.0377950043	-0.0835314674	0.0089671958	-0.0389084088	0.0580370736	0.104214496	0.0270768578	0.0526126507	-0.0038709134	0.0033571741	-0.0724834963	0.0022955386	-0.0216646019	0.03837425	-0.0382248333	-0.033248986	-0.0379723714	-0.0047113308	0.0637248493	0.0409641555	-0.0084902338	-0.0070525132	-0.0614964895	0.0057714419	-0.0969998826	0.0163134268	0.1225994257	-0.063162369	0.113296946	-0.0196700663	0.0248276372	0.028374675	0.0207766065	0.023040419	0.0093677771	0.1132317146	-0.1479236549	-0.0144645924	-0.1167223432	0.028799932	0.0243450648	-0.0917170352	0.0867266788	0.0270895568	0.1278002417	-0.0895600792	-0.0464168145	0.0447937243	-0.0914247721	-0.0133229415	-0.0535768726	0.072470885	0.0913614098	-0.0189121218	0.0322723029	0.0011259397	-0.0707682275	0.0375377276	0.0090417402	0.0733003885	-0.0168760481	0.0247771791	-0.0360816628	0.0769342146	0.0368308777	0.043455891	-0.1312865248	-0.0819584193	0.0386045948	-0.1135773957	0.0396401656	0.023259312	0.1136742748	0.110592125	0.105516962	-0.035225	1.0000000000003062e-05	1.0000000000006124e-10	0.001240800625	0.0432014	-0.0003374999999999	1.1390624999999833e-07	0.00186636096196	0.130601	-0.0141529999999999	0.017056621201	0.0002003074089999	-0.00203315	7.002000000000006e-05	4.1336989225e-06	4.902800400000009e-09	0.000476027	-5.325699999999997e-05	2.836308048999996e-09	2.26601704729e-07	0.0	0.000186331	0.0	3.4719241561e-08
805.5650230860552	1.4249702904246533	2.0305403285929207	648935.0064196368	838.2130339749456	2.7410408253372225	702601.0903254832	7.513304806165362	786.2337068146323	-0.3914154976835107	0.1532060918268303	618163.4417314773	778.7318488586427	625.7491305489016	1.009517	18.420765	0.0658245	0.0411745	0.0108357895	-0.0034550067	-0.0323241815	-0.0373361386	0.0801178502	0.0187513072	0.0483828823	-0.0693714954	-0.0284596497	-0.0026427316	-0.0495940286	0.0827179524	-0.0750720055	0.0269913266	0.1118825752	-0.0104070181	-0.0907248082	-0.0049234802	0.0553760213	0.055131425	0.0594751137	0.1321348583	0.0769567021	-0.0887618994	0.0540879294	0.0562178053	-0.0062055285	-0.0247770291	0.1303882984	0.027656439	0.0379977389	-0.0923603806	0.0939571066	0.0424749238	-0.004134555	-0.0524375252	-0.0304871201	0.1878582687	-0.0783865913	-0.0468817449	0.2411478561	-0.0785893906	-0.0596354168	0.1422928992	-0.009185905	0.0734010558	0.0402248257	-0.0755881513	0.0932061432	-0.1185149559	0.0181912184	-0.0361303273	0.0449618734	0.1296040191	0.020155298	-0.0838484065	-0.0196269835	0.1195090812	-0.0470002124	0.0461704738	0.0611944767	-0.0063764767	-0.0634255351	-0.0701704944	0.0231855484	0.0540848325	0.0098519299	-0.0921145741	0.0296078399	-0.0444766019	0.0170713885	-0.025256246	0.0221467133	0.1501691978	-0.1310793591	0.0297826708	0.0342911699	0.0489020727	0.0034263527	0.0605595096	-0.0807367212	0.0958351295	-0.0173456672	0.0077903931	0.0170961579	-0.0468336669	-0.0192695585	0.0153165523	0.0794387224	0.0087695725	0.0199963275	-0.059073409	-0.0075311046	-0.1968434955	-0.152936281	-0.0453131231	0.0878865364	-0.1017351216	-0.0475028042	-0.1176949341	0.0222898375	-0.0965917945	-0.1073570447	-0.0135416059	-0.0200378561	0.1800892001	-0.0326062359	-0.0184079661	0.1437272774	0.0181781826	-0.0079871779	0.1122283243	-0.0320367703	-0.1801392583	0.1388026415	-0.0276086668	0.069927419	0.1133324686	0.1092392569	0.1025263906	-0.0291085	0.0061165	3.741157225e-05	0.00084730477225	0.0783289	0.0351275	0.00123394125625	0.00613541657521	0.151445	0.020844	0.022935588025	0.000434472336	-0.00195842	7.472999999999985e-05	3.835408896400001e-06	5.584572899999977e-09	0.000476027	0.0	0.0	2.26601704729e-07	0.0	0.0	0.0	0.0
805.7812299002275	0.2162068141722102	0.0467453864944966	649283.3904595232	840.215649722308	2.00261574736237	705962.33803828	4.010469831583743	787.2090453879398	0.9753385733074538	0.9512853325814192	619698.0811405914	779.9373069023424	626.8717088314066	1.015913	18.53747	0.0842101	0.0374959	-0.0033054607	-0.025815878	-0.0267967189	0.0215101951	0.1032048324	0.0142781437	-0.0037007287	-0.0477821411	-0.1360102099	0.004478018	-0.0549267523	-0.0378916207	-0.0808872668	-0.032887343	0.0265773164	0.097866827	-0.0226226407	-0.0996398186	-0.1094113469	0.0111698662	-0.0358067065	0.1042621643	0.0085940976	-0.1498460157	0.0387139166	0.0095358912	0.037155726	-0.0300643322	0.0524846979	0.0856281085	0.0031711599	-0.004616299	0.0201690654	-0.0139883484	-0.0389056818	0.1256743447	-0.0398811997	-0.010325668	-0.021580205	0.0973653537	0.033068111	0.1017762358	0.2674226911	-0.119455381	-0.0523558152	0.0508545359	0.008393316	0.0666201174	-0.1337959727	0.092517989	0.0892100701	-0.0963739001	0.0419704451	-0.1658262591	0.0760602419	-0.0519436215	-0.0651308228	-0.0508465398	0.0493656079	0.0462450479	-0.0307299397	-0.1408711348	-0.0266336702	0.1352481552	0.0117413991	0.0198074708	-0.0222844113	-0.0324836893	0.0444532778	0.1367548196	0.0212560474	-0.0763912099	-0.0322347742	0.097492843	-0.1255207724	0.1323889945	0.06682319	0.1317969356	-0.0129383447	0.0377087371	0.0145835183	0.0387588922	0.0043334148	0.1040761899	0.0120728978	0.1528785894	0.0126837161	0.0244365185	-0.1096180075	0.0018743861	-0.0082660938	0.0041995748	0.0709447111	0.0604940035	0.0676251449	0.040940369	0.0409732616	-0.0913366835	-0.1465335615	0.0624999862	-0.0376980921	0.1478934853	0.1500027178	0.1234217353	0.0435934362	0.0142489798	0.0347387983	-0.0530714737	-0.0678677416	0.1226951397	-0.0390271174	-0.0250238188	0.0047786157	0.0523512816	0.0624357473	-0.0878117372	-0.0688060842	0.1129422506	0.1076997553	0.099141769	-0.0216983	0.0074101999999999	5.4911064039999984e-05	0.00047081622289	0.063987	-0.0143419	0.00020569009561	0.004094336169	0.157641	0.006196	0.024850684881	3.839041600000009e-05	-0.00151905	0.00043937	2.3075129025e-06	1.930459969000001e-07	0.000172184	-0.000303843	9.232056864900002e-08	2.9647329856000002e-08	0.000382027	0.000382027	1.45944628729e-07	1.45944628729e-07
807.1504218546338	1.369191954406347	1.8746866080110716	651491.8035001133	841.6887842203677	1.4731344980597214	708440.0094823607	2.170125249373667	788.0393816229715	0.8303362350317229	0.6894582632066566	621006.0669887153	780.5941253642097	626.3552289395094	1.048366	19.129631	0.06464095	0.0354395	-0.0351062144	-0.0269804004	0.0080526583	-0.1015737825	0.0343848701	-0.0121718246	-0.0331654824	-0.1112778909	0.028876603	0.0115812851	-0.1497035173	0.0613558508	-0.1123587249	0.0414608335	0.0606776039	0.0303579235	0.0361612579	0.070564011	0.0033706534	-0.0471227094	0.0057880491	0.0470174832	-0.0413305128	-0.185237935	0.0350973183	-0.1483809354	-0.0297674318	-0.0488159651	0.0738087335	0.1189405599	0.0998672134	0.0564300079	-0.0267781122	-0.0011135266	0.0639627009	-0.1269410027	0.0647574039	0.0459839404	0.1108717347	-0.1022715471	-0.0288439955	0.1483079933	-0.0237517707	-0.1242921513	-0.0336036534	0.1269463576	0.0596502369	-0.0112772674	-0.1073991683	0.0056014124	-0.1378677511	0.0224930219	0.0274550856	-0.1153607113	-0.0805262639	-0.0466932849	-0.0172298735	-0.0428568477	-0.0095176862	-0.0050766012	-0.0634481499	-0.0544806734	-0.0587813859	0.0650716269	-0.044279607	-0.1861969609	0.0482307118	0.0052654698	-0.0525146365	-0.0759724859	0.0724655144	-0.0144139283	-0.1554934637	0.1745469558	-0.0412195359	-0.013500753	0.0107334475	0.1187620461	0.0476769948	-0.0612000611	-0.0179493661	-0.050583804	0.0386966343	-0.0530446336	0.0947299367	0.009149739	-0.0541645642	-0.1093832175	0.0438181336	0.0691888863	-0.1324412339	-0.131302645	0.1372656063	-0.0351048067	0.0233086489	-0.0337130346	-0.1097733221	-0.0419410299	0.0444713267	0.090505694	0.0794378934	0.0576263891	0.1053364448	-0.0207796378	0.04231047	0.0565830623	-0.0292620239	0.0196139159	-0.1082468618	0.1211855959	-0.0762485191	-0.0269145076	0.1701499018	-0.0644205191	-0.0786548265	0.0133280115	0.0308427679	0.1125037874	0.1059762505	0.0953761056	-0.0263923	-0.004694	2.2033636000000004e-05	0.00069655349929	0.0575312	-0.0064558	4.1677353640000056e-05	0.00330983897344	0.130589	-0.0270519999999999	0.017053486921	0.0007318107039999	-0.00133795	0.0001811	1.7901102025e-06	3.2797210000000007e-08	0.000476027	0.000303843	9.232056864900002e-08	2.26601704729e-07	0.000338187	-4.3840000000000014e-05	1.14370446969e-07	1.921945600000001e-09
