global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
674.5554542739405	n/a	455025.0608907223	n/a	768.1219296173895	n/a	n/a	590011.2987591418	622.6645231402141	n/a	387711.10837743024	n/a	624.6509723382322	566.0848812453136	n/a	n/a	n/a	n/a	-0.0486785798	-0.0179331112	0.0534175154	-0.0163314904	0.0555735595	-0.0111557858	0.0910862605	-0.0758886739	0.0248314533	-0.0123579034	0.1940251524	-0.1189080624	-0.1942098028	0.0195634919	-0.1088290918	-0.0712980467	-0.0858044782	0.004907259	-0.0023370868	0.0304955752	-0.0365472019	0.0759001945	0.0930332446	-0.0219407722	0.0513853966	-0.0977388994	0.0620533387	-0.106371802	0.111647277	-0.0497371894	0.0067390876	-0.0178318405	0.0597100442	-0.0662854956	0.1206949793	-0.0822677495	0.0701083698	-0.0249825933	0.2301187809	0.0515895833	0.0967314706	-0.1037097536	0.0025719826	0.0505626295	0.0180374153	-0.0750961593	0.1038211556	-0.0694005699	-0.0233843513	-0.0211387177	0.0384983779	0.0693724282	-0.1237917655	-0.0154296501	-0.1296081271	0.0183646083	0.0417992406	0.0434472036	-0.0749081605	-0.0373628581	0.0812440513	0.2063907953	-0.0964931694	-0.0244053072	0.0571926098	0.0509532552	-0.0067328755	0.0515545087	-0.0507355329	0.0021794352	0.1643217853	-0.0535171366	0.068495569	-0.1077889316	0.1261055492	-0.1787010768	-0.1223244132	0.079510801	-0.0329030983	0.1332138827	-0.0988182902	0.1123159998	-0.0092768628	0.1017499387	-0.0772074163	0.0276505153	-0.0403011008	0.0190302332	-0.1166579647	0.0134828985	-0.0884779588	-0.0140932413	0.1009171142	-0.0654309847	-0.0251022915	0.0420015541	0.0765731297	-0.113634299	-0.048137215	0.1313223819	0.0933827372	-0.0337363075	-0.0629519346	-0.055790461	0.0354113194	0.0137368492	0.006662402	0.0648286811	-0.1529332051	0.1772126465	-0.0554779047	-0.0982988534	-0.0968496151	0.0036406128	0.0971190117	0.0318104492	0.1147017419	0.1146833673	0.1146527451	0.105616	n/a	0.011154739456	n/a	0.0915268	n/a	0.00837715511824	n/a	-0.0641814	n/a	n/a	0.00411925210596	0.00119857	n/a	1.4365700449e-06	n/a	-0.00142189	n/a	n/a	2.0217711721e-06	9.96535e-05	n/a	n/a	9.93082006225e-09
673.8535071261873	-0.7019471477532306	454078.54906626255	0.4927297982388958	762.4417492484146	-5.680180368974902	32.26444902408785	581317.4209969823	622.0394735485518	-0.6250495916623322	386933.1066525594	0.3906869920372482	623.7012461314414	560.5841650033882	1.032365	23.067804	0.097124275	0.0625513	0.0245478185	0.0426921841	0.1153654922	-0.0364001823	-0.0080543802	0.0601233162	-0.1790785861	0.0992403201	-0.0408052902	0.0987596411	0.1302594093	0.1080645985	0.0506180758	0.05641044	0.0155857296	0.0594209274	-0.0522311933	-0.1003172248	-0.057451515	-0.0567487245	0.0363134644	-0.0396635696	-0.0909564647	-0.2446350587	0.0714723263	-0.0043475057	-0.0290681449	0.08306357	0.0680655001	-0.009730815	-0.1350704957	-0.010785944	0.0911227145	-0.0207656461	0.1260597226	-0.0619083526	0.0936470199	0.0681865464	0.1271181206	-0.011710224	0.031486958	-0.0372295138	0.095392983	-0.0403414967	0.0433382401	-0.1379155504	-0.0697237589	0.041919264	-0.1266477645	-0.0359068172	-0.001734089	0.0211031262	-0.048372103	-0.0400878885	0.1390648978	0.0552962416	-0.1506702816	-0.0114322137	0.0195960825	0.0075534913	0.0726765572	0.0916147804	0.0855580482	0.0111847827	0.0989896497	0.0030981699	0.0190208202	0.0031047362	0.1400822324	-0.0883709907	0.0206551709	0.1530496247	-0.0069000612	-0.0701271096	0.1790342068	-0.151743778	-0.0030129161	0.2280393368	0.0079055456	0.1462322417	0.0073763158	-0.080720358	-0.0333621211	0.008674542	-0.0133996863	0.0145455514	-0.0345932911	-0.1199972762	0.0164795735	0.0170936464	0.0358818277	0.0414675352	0.0346061918	-0.0528747627	0.0124870254	0.1543646369	-0.0278755158	-0.0676627246	0.0253314505	-0.0229719511	0.048409106	0.0591516873	0.0981531068	0.0297990738	-0.0419018303	-0.0954964534	0.0182137175	-0.0349563766	0.0126708602	-0.1090523893	0.0657636826	0.0495955046	-0.0267500555	-0.029143087	0.0471631306	0.0115306693	0.1146527451	0.1144874327	0.1142120884	0.0968589	-0.0087571	0.00938164650921	7.668680041000007e-05	0.0292099	-0.0623169	0.00085321825801	0.00388339602561	-0.069794	-0.0056125999999999	3.150127875999995e-05	0.0048712024359999	0.00150767	0.0003091	2.2730688289e-06	9.554281000000005e-08	-0.00142189	0.0	0.0	2.0217711721e-06	0.0	-9.96535e-05	9.93082006225e-09	0.0
672.7457075840598	-1.107799542127509	452586.7870727773	1.2272198255379188	769.3319646096365	6.890215361221976	47.47506772401929	591871.6717701231	621.3692917360545	-0.670181812497276	386099.796712566	0.449143661802134	624.1009600113333	564.343245991681	1.10433	24.675833	0.0569402999999999	0.0404825	-0.0801880465	-0.0374898054	-0.0044085639	-0.0548906389	0.1324235796	-0.0538429365	-0.0025278785	0.1228507892	0.100707787	0.0815958811	0.0208258694	-0.0397084715	-0.0558068148	0.1059177153	-0.2182709725	-0.0208222897	0.0472868213	0.0935866432	0.0415047799	-0.0610022221	0.1008544083	0.0163032301	-0.1232352849	-0.0920979734	0.0133825532	-0.0967577355	0.0012398967	-0.0602943453	0.0836182581	0.0243429728	-0.0401784126	-0.1213500036	0.0704571688	-0.1466612349	-0.0694997376	-0.0697891773	-0.0313656257	0.1114841642	0.0022427183	0.0474279641	-0.0797357652	0.0748461777	0.0928786952	-0.1874666269	0.1904378469	-0.0354284688	-0.0495777082	0.1426611254	-0.0716210665	-0.1282761545	-0.0761765142	-0.0545782538	0.0118085071	-0.0194823815	0.0545940799	0.2796490682	-0.0204843906	0.0427343219	0.0630997228	0.0333784833	-0.0697555996	-0.01542801	0.0025060695	0.0387770115	-0.0092208103	0.0718346337	-0.1024677595	-0.0162075779	-0.1208411111	-0.0896835361	-0.0621920797	0.0685245466	-0.0567907152	0.1026557678	0.1490938384	-0.0800544164	-0.0650662129	0.1409659831	-0.0676113586	0.1529976843	0.0006128931	0.0188084661	-0.1324067732	-0.0318629839	-0.1302818584	-0.0576553517	0.0873382014	-0.0711312774	-0.0706699617	0.03804464	0.0551692694	0.0611743644	-0.0811995803	-0.0931671974	0.1474021259	0.1317916691	-0.049865153	-0.0074201774	-0.0363296946	0.0136851102	-0.0310978662	-0.0172293864	-0.0403197034	0.0378022998	0.0902395347	-0.1171985176	-0.1316933847	0.0914353983	0.1602218786	0.113703714	0.0068251422	-0.1115402612	0.0167632377	0.1396049302	-0.1187074559	-0.0400094279	0.1145547726	0.1140958982	0.1133324686	0.0837968	-0.0130620999999999	0.00702190369024	0.0001706184564099	0.0232767	-0.0059332	0.00054180476289	3.520286223999999e-05	-0.0672413	0.0025526999999999	6.516277289999954e-06	0.00452139242569	0.0007998239999999	-0.0007078460000001	6.3971843097584e-07	5.010459597161416e-07	-0.00142189	0.0	0.0	2.0217711721e-06	0.0	0.0	0.0	0.0
671.4305822788508	-1.3151253052089942	450819.0268193167	1.72955456840105	761.1654465680016	-8.166518041634959	66.69201692434928	579372.8370490653	622.0692679737766	0.6999762377221259	386970.1741574303	0.4899667333756221	623.191788688238	565.626551206367	1.304711	29.153282	0.0997568	0.0578582	0.0311748629	0.1092604582	-0.1208098148	-0.0770720178	0.036171484	0.0052819214	0.1387782884	-0.0051897713	-0.045765449	0.2322262323	-0.0697963838	0.0730833731	0.1424649314	0.1042456848	0.0182564669	-0.0723030623	-0.0813458954	0.0466507012	-0.0079830412	0.0821840391	0.1421504808	0.1543123874	-0.0561182723	0.0595208738	0.231167851	-0.155277472	0.0531290006	-0.0298485931	0.1098262231	-0.0168358312	-0.0143108457	-0.0581817571	0.067588168	0.0339806025	-0.0234696766	-0.0221637315	0.1463372273	-0.0879265816	0.0240698954	0.0577159583	-0.0465288297	0.1900546128	0.0097283306	-0.0663856647	0.0376908923	-0.004553091	-0.1300346473	-0.0316850746	0.0176894906	0.0570697948	-0.1090495261	0.038397603	-0.0367262153	-0.0552128548	-0.0057173088	-0.0521045339	0.0857731365	0.0773185042	0.0283722512	-0.0904932956	-0.064073535	0.0243098365	0.0457238394	-0.0099503084	0.0467627471	-0.0384675474	0.0094213647	0.1149199116	0.0010658264	-0.0148225685	0.0503245498	0.0452638446	-0.2084864754	0.1244001264	0.0567752208	-0.067777455	-0.2497402897	0.0209060875	-0.001605932	0.2113674261	-0.2180690601	-0.0715302552	-0.0219036098	0.0736448518	0.002430415	-0.1861588174	0.0695134794	0.1225754152	-0.0682715422	-0.0114007411	-0.056474904	-0.015342677	0.0485196026	0.046683716	0.0090184271	-0.1119600763	-0.0138487359	0.1550863645	0.0051124692	-0.0194008335	-0.0982856414	0.0884771746	0.0369825195	0.0171810113	0.0245450713	-0.0530836439	0.0113927131	-0.1267574779	-0.0706725724	0.07936697	0.0010540385	0.0833190945	0.0454763237	0.0409312429	0.0018766122	-0.0024638686	0.1144078661	0.1135094328	0.1120172664	0.0691036	-0.0146932	0.00477530753296	0.00021589012624	0.0713204	0.0480437	0.00508659945616	0.00230819710969	-0.0443744	0.0228669	0.00052289511561	0.00196908737536	0.0007998239999999	0.0	6.3971843097584e-07	0.0	-0.00142189	0.0	0.0	2.0217711721e-06	-0.00028306	-0.00028306	8.01229636e-08	8.01229636e-08
670.7069585757669	-0.7236237030839447	449847.8242819554	0.5236312636649211	762.4149498157004	1.24950324769884	1.5612583660099484	581276.555702477	619.6330092146803	-2.4362587590962903	383945.0661084401	5.935356741273396	621.9378718721559	562.9557855944867	1.323568	29.574631	0.10030115	0.06044	0.0353231515	-0.122342823	-0.0892545293	0.1168377341	0.0479741563	-0.0704728656	-0.0933140995	-0.1196783019	-0.0235573804	0.0530976358	-0.1011327523	0.0745766864	0.0771334985	-0.1072241658	-0.106027396	0.0865738696	0.1398512743	-0.0679655437	0.1093036673	-0.0320103044	-0.0079976631	0.0492912031	-0.0991154911	0.0443701513	0.0834316266	-0.0564330474	-0.1334360952	0.0745846524	-0.0533510885	-0.0747138112	-0.0277836459	0.0310867871	0.0162498659	0.0936234811	-0.0322006142	0.1418497348	0.0070534661	-0.0509602947	-0.02581628	-0.0023995128	0.0828659503	0.0996714311	0.0367693441	-0.0073470997	-0.1149521927	-0.1002660952	-0.0902230692	-0.0090192633	0.0226654305	-0.0178056957	0.0488319256	-0.0471967269	0.1950795301	-0.1519810659	0.0314342091	-0.0888875105	-0.1131358996	0.0852539721	-0.1071239	0.1315859616	-0.0872038177	-0.0568569578	-0.0247994194	0.0108611529	-0.1385556929	0.1296245707	-0.0145752845	-0.1379997915	0.0131918599	0.1105789287	-0.1757229521	0.0601964788	-0.0680591684	0.1018176405	-0.0422251633	-0.006757175	0.0481468895	0.0523587099	0.0085579754	0.0484299987	-0.09015092	-0.0597851279	0.0033747268	0.0174797171	0.0115089633	-0.0053201653	0.0016260696	0.0991647685	-0.0446994505	0.0209847444	-0.1737733846	-0.0358830914	0.0337676721	0.0150448087	-0.0038191303	-0.1089003559	-0.0073719117	0.0238686468	0.1033208384	-0.056937495	-0.053587237	-0.0988790029	0.0022666586	0.0693593514	-0.0243498392	-0.0195123901	-0.0970683361	-0.019173035	-0.0316650412	-0.2943357858	-0.0545033219	-0.0103039261	-0.0230913545	0.0730000635	-0.0815821248	0.0206736682	0.1142120884	0.1127290384	0.1102715368	0.0573481	-0.0117555	0.00328880457361	0.00013819178025	0.0176179	-0.0537025	0.00031039040041	0.00288395850625	-0.0284199	0.0159545	0.00025454607025	0.00080769071601	0.000705111	-9.47129999999e-05	4.97181522321e-07	8.970552368981057e-09	-0.00142189	0.0	0.0	2.0217711721e-06	0.0	0.00028306	8.01229636e-08	0.0
670.1580541451458	-0.5489044306210644	449111.8175356082	0.3012960739554349	764.7762234690275	2.361273653327089	5.575613265896658	584882.6719835479	619.7118735712829	0.0788643566025939	384042.8062452297	0.0062195867423411	621.2702716356949	558.698554694751	1.234114	27.575817	0.06647125	0.0332787	-0.1159133865	0.0712194995	0.0387861676	-0.004177672	0.0699631606	0.0379773735	0.1311521306	0.1188609878	-0.0470041279	-0.0817372331	-0.016784944	-0.0360009584	0.1746766613	0.0075387313	-0.0212103012	-0.0005836959	0.0252555686	0.0493339207	0.1142111369	-0.0311814172	0.1850734211	-0.181961085	-0.0156326201	0.1540938902	-0.0557074258	0.0031792902	0.0188626613	0.0007775011	0.204937949	0.0388205105	0.0050450847	0.0297955446	0.0190848756	0.1126574604	-0.0965421946	-0.0862080572	0.1285878826	0.0964425623	-0.0566659807	-0.0164204298	0.1217625696	0.0200677863	-0.1527074566	0.0713116122	-0.0403693698	-0.1008518637	0.0259391587	-0.0216105532	-0.0063584104	-0.0702060111	0.0044144207	0.1310836469	0.0342017269	0.0298941169	-0.04610775	0.0108152597	0.015861891	0.2745810521	0.0705008953	0.0497389781	0.062067187	-0.0855538988	-0.1239948564	-0.0989286218	0.0422339745	0.0290101842	-0.0868078206	0.0404568074	-0.0519565461	-0.0708539334	-0.0951829641	-0.2094383254	-0.0586159747	0.0635085931	0.1716764993	0.1455265672	-0.0087777426	0.1298236099	0.150689126	-0.0085089046	0.014276334	0.0255942127	0.035269189	-0.0235644405	-0.036360414	0.0379331772	0.1434212872	0.1467162261	-0.1251516912	-0.0695575104	0.0212471442	0.09511021	0.0133662361	-0.0677121104	-0.0754673972	0.009390868	0.0868917968	0.0093475544	-0.0269909768	-0.1804514079	0.1581303695	-0.0785220963	-0.0071652794	-0.0589903187	0.0397792256	0.0647041627	0.037417509	0.0125361706	-0.0315757095	0.0274910351	-0.1133797621	0.1703998287	-0.1114286418	0.0080757994	0.0752417513	-0.0555894376	0.1139675232	0.1117560484	0.1081019891	0.0510307	-0.0063174	0.00260413234249	3.990954276000001e-05	0.0330608	0.0154429	0.00109301649664	0.00023848316041	-0.0215492	0.0068707	4.720651849000001e-05	0.00046436802064	0.000394464	-0.000310647	1.5560184729600002e-07	9.6501558609e-08	-0.000975732	0.000446158	1.990569609640001e-07	9.52052935824e-07	0.0	0.0	0.0	0.0
669.9943970973236	-0.1636570478221983	448892.4921418061	0.0267836293018773	758.9432051231796	-5.833018345847904	34.02410302299822	575994.7886026447	619.6970314315452	-0.014842139737766	384024.4107650695	0.0002202891119953	621.3580471652941	548.9943147832543	1.223907	27.347734	0.11817165	0.0729192	0.1255852665	0.0062805323	0.0268618373	-0.0872981639	-0.1065179607	-0.0528002885	0.016697341	-0.090888595	-0.134402642	-0.0192409413	-0.0825511263	-0.0939412412	0.0065295513	0.0775888553	0.0743318829	0.0196377061	0.1354896842	-0.166566543	-0.0745691761	-0.0137612525	0.0236635905	0.0251980544	0.094437469	-0.0149292116	0.0789374562	0.0864332592	0.0041574232	-0.0478841054	0.1518182357	-0.0022673203	0.0774493997	0.1021449662	0.0714129865	0.1208780876	0.0148869658	-0.0827064088	0.062976118	-0.1312947462	0.0516417603	0.0316317163	-0.0353671576	-0.0154464347	0.0895615263	0.0015381446	-0.1669820052	-0.0345755119	-0.041230901	0.1195360094	-0.0586897366	0.0428940797	-0.2077563663	0.0491289668	-0.0524420998	0.0378148895	-0.0394066039	-0.0308061826	0.0571209834	-0.0800980714	0.0241552015	-0.0098738834	-0.0329080843	-0.0287704232	0.0435755411	-0.0696916879	-0.0006822053	-0.0792902022	0.1043254547	-0.0865730581	0.1193155983	0.0332064546	0.1019711743	-0.0727435104	-0.1347804254	-0.0685750448	-0.0342242287	0.0795613047	-0.0508182858	0.0468002671	0.1269394656	0.0466067418	-0.0681227511	0.070726293	0.0323220762	0.1497256995	0.0181111626	0.0010057301	0.1279153005	-0.0829402319	0.1355207058	-0.0659568902	-0.0107717876	-0.1058296103	-0.0256017076	-0.0184695808	-0.033890626	0.0025820779	-0.0395167621	0.0232134232	-0.046550444	-0.1198289133	0.0069268562	0.1042684742	0.0809444878	0.1471532854	0.0004071075	-0.0719845178	0.1355591354	0.0791429239	-0.1721055783	-0.0886112163	0.0699596278	-0.0485594681	0.0184593943	-0.0059486016	0.1549448622	0.1591082016	0.1136742748	0.110592125	0.105516962	0.0510385	7.80000000000225e-06	0.00260492848225	6.08400000000351e-11	0.0964113	0.0633505	0.00929513876769	0.00401328585025	-0.0105063	0.0110429	0.00012194564041	0.00011038233969	0.000530024	0.00013556	2.80925440576e-07	1.8376513600000003e-08	-0.00159218	-0.0006164479999999	3.800081367039999e-07	2.5350371524e-06	0.000123401	0.000123401	1.5227806801000002e-08	1.5227806801000002e-08
671.0615356171131	1.0671385197895231	450323.584584798	1.138784620418575	760.9724906524593	2.0292855292797185	4.117999759344067	579079.1315298073	619.8384585738324	0.1414271422872843	384199.7147271846	0.0200016365755477	622.0907206977469	558.0684748854644	1.150498	25.707445	0.11743865	0.0736021	-0.0789879532	-0.0668156953	-0.0232659831	-0.0048092668	0.0456912896	-0.0278506289	-0.0308591624	0.0636881215	-0.0085670959	-0.2046441347	-0.1006456753	0.1228792236	0.020191598	0.0295889118	0.0765161227	0.1380856996	0.1088085959	0.1088339198	0.0759024522	0.0033743032	0.0080795142	-0.0692288468	0.1244063517	0.0042800714	0.0174793562	-0.0466035353	-0.0507759466	0.0348792438	-0.0134063959	-0.1148595717	0.1675224681	-0.1112354551	-0.0560760274	0.1214790466	-0.034504333	0.0092650762	-0.088635068	0.2177033322	-0.0728664214	0.0594433105	-0.075359329	0.033059391	0.1697588368	0.0515417623	0.0137098308	-0.1924894627	0.1151932338	0.0068072734	0.042166	0.0413507453	-0.0435792572	0.0171912035	-0.0026714614	0.1503706127	-0.1005275548	-0.1052197018	0.0406469673	-0.0181330357	-0.1036874969	0.0487190782	0.1063873289	0.0058465196	0.0050444398	0.0316810985	-0.0259131187	-0.1391066372	-0.095516028	-0.097779933	0.0189658874	-0.0477853424	-0.1556794575	-0.0357397011	-0.0193289993	-0.1227005632	0.0695305806	0.0665720446	0.0625822116	-0.0274352342	0.0206582628	0.1043419089	0.0230608765	0.1271641421	0.1604473304	-0.044160059	-0.0504336194	-0.1191039695	-0.037665468	0.0659407003	0.0901836521	-0.083534119	-0.0454477745	-0.0210571239	-0.0041777365	-0.1344140153	-0.1424331848	-0.0301855368	-0.2168095011	-0.135665776	0.0610437955	0.0741737919	0.0157133322	-0.0891579754	-0.1347808054	0.1250823209	-0.0346416005	0.1304759946	0.0636778971	-0.0024497524	-0.0904079221	0.0258156255	-0.0341331557	-0.0105619278	0.1059124719	-0.0947258737	-0.0318694479	-0.0270832123	0.1133324686	0.1092392569	0.1025263906	0.0415519	-0.0094865999999999	0.00172656039361	8.999557955999996e-05	0.0282594	-0.0681519	0.00079859368836	0.00464468147361	0.0155691	0.0260754	0.0006799264851599	0.00024239687481	0.000633785	0.0001037609999999	4.01683426225e-07	1.0766345120999993e-08	-0.00142189	0.0001702899999999	2.899868409999993e-08	2.0217711721e-06	0.000123845	4.439999999999978e-07	1.9713599999999805e-13	1.5337584025e-08
671.5773308575759	0.5157952404628077	451016.111321786	0.2660447300840856	756.4992592804492	-4.473231372010105	20.009798907535405	572291.1292918683	621.7924441689843	1.9539855951518348	386625.84362563945	3.81805970606087	622.9391466400233	552.398181725079	1.102072	24.625368	0.08374688	0.0474029	0.0181425077	0.0960813825	-0.1613574678	0.0218583559	-0.123118319	-0.0609386211	0.1711769509	0.0051517218	-0.0135784442	-0.1194513935	-0.0191612101	0.1382498709	-0.1035797918	0.0675157244	0.0375770788	-0.1068551964	-0.061367294	-0.0311912061	0.025502579	0.1508219699	0.0635158303	-0.0171632269	0.0250009246	0.1196454881	-0.0611834415	0.0527932444	0.0039999827	-0.0236568316	0.0541567285	-0.0024544267	0.0314093617	-0.1149789521	0.0239033231	-0.0036259372	-0.0679998696	0.19104561	-0.026657689	-0.0415530806	-0.0525695227	0.106121011	-0.0037675395	-0.0545955918	-0.141849801	0.0402546319	0.097558247	-0.0550900418	-0.1837456992	-0.0862540578	-0.0194012555	-0.093122879	0.1185647138	0.0146720801	-0.0312141485	0.0181994464	0.0433819443	-0.0373448816	-0.1381198032	0.0701576005	-0.0199585765	-0.0125338002	0.0290832374	-0.0672271813	0.0294952014	0.1110045222	0.0476912598	-0.0182463492	0.0773446666	0.1174898933	-0.0783902445	0.0902178602	-0.0266725208	-0.0215935542	-0.0431295467	0.0150087044	-0.016447465	-0.0029263369	0.0226626648	-0.0872628515	0.1122945539	0.0028445254	0.0465802847	0.0872212153	0.0964082632	-0.0142981548	0.0496213872	-0.0834298173	0.0500722016	0.0536913954	-0.0349594003	0.0699298062	0.0209332453	0.0728796274	0.130366212	0.029250099	0.0306932665	0.0224465759	-0.0340035343	0.0855083115	0.0239170595	0.1435629053	0.0311415294	0.0289279408	0.0451236858	0.0629604757	0.0169655006	0.0912580674	-0.2003217414	-0.054658449	0.040562357	0.0326999008	-0.0005122604	0.1789247028	-0.0943324409	-0.0222586332	-0.0167126596	-0.1252427629	0.1129422506	0.1076997553	0.099141769	0.0277198	-0.0138321	0.00076838731204	0.00019132699041	0.0710046	0.0427452	0.00504165322116	0.0018271521230399	0.0155918	2.2699999999998763e-05	5.152899999999437e-10	0.00024310422724	0.000194374	-0.000439411	3.7781251876e-08	1.9308202692100002e-07	-0.00142189	0.0	0.0	2.0217711721e-06	2.03184e-05	-0.0001035266	1.0717756907560005e-08	4.1283737856e-10
671.5379190246952	-0.0394118328807735	450963.176688018	0.001553292571022	761.839655326769	5.340396046319825	28.51982993154841	580399.6604284103	621.9858876414469	0.1934434724626044	386866.44442511856	0.0374203770383903	623.1887552834071	554.9730112028669	1.132115	25.296669	0.04511313	0.021224	0.0768118805	-0.0486123285	0.0429890528	0.1552616819	-0.0416011397	0.0718700122	-0.0108218303	-0.2364699567	0.0003968199	-0.0660311673	-0.0119919247	0.0693455247	0.0925097778	0.0223996447	0.0034866505	0.0152245103	-0.0034847984	-0.0786453668	-0.1718131229	-0.1840203559	-0.103198897	-0.0448452239	-0.0540215487	-0.005429123	-0.0531157563	0.0640226251	-0.0063721014	0.1055206182	0.0151784005	-0.0209610183	-0.0350988944	0.0240906364	-0.1429584284	0.0529078104	0.0160066371	-0.0494871984	-0.0903888155	-0.006465164	-0.2455191477	0.1686007756	0.0415267638	0.0179398036	-0.1494965713	0.1423038914	0.1176309029	0.0198834214	0.0408978893	0.0847129412	-0.1055952031	-0.0553906306	-0.1338599878	0.0861198331	-0.0558667894	0.0480283115	-0.0063031515	-0.0115686387	-0.069317698	-0.0876240971	-0.0438584108	-0.0957320234	0.0789105443	-0.0725856231	-0.1205705497	-0.0451708866	-0.137872537	-0.0325542424	0.0155038036	-0.0153619521	0.0855858599	0.0944993497	0.0859218577	0.0277622831	0.2048276326	0.1034735699	-0.0590065962	0.1426037695	0.1472526823	-0.0405226661	0.0199392156	-0.0655023538	-0.004138241	-0.0743190241	0.1820770127	0.0284645654	0.0141740571	-0.0342723006	-0.0649141625	-0.0238770544	-0.0220101171	-0.0588860686	0.0785094902	-0.0197235952	-0.0173915562	-0.1946967112	0.0195937755	0.1712063303	-0.0670154589	0.0221364973	-0.0666190405	-0.1007964414	-0.1018827306	-0.0323999949	-0.0051312861	0.0431235898	-0.0013680299	0.1173615329	-0.0370788599	-0.1292369508	0.001424983	0.1425133522	2.52405e-05	-0.0393714617	-0.030368748	0.0689273779	0.148281915	-0.085533201	0.1125037874	0.1059762505	0.0953761056	0.0207237	-0.0069960999999999	0.00042947174169	4.894541520999997e-05	0.0588126	-0.012192	0.00345892191876	0.000148644864	0.0155866	-5.1999999999986085e-06	2.703999999998553e-11	0.00024294209956	0.000372117	0.0001777429999999	1.38471061689e-07	3.1592574049e-08	-0.00117902	0.00024287	5.898583690000003e-08	1.3900881604000002e-06	0.000118102	9.77836e-05	9.561632428960002e-09	1.3948082404e-08
