global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
796.9169220157834	n/a	635076.5805951102	n/a	929.456314338854	n/a	n/a	863889.0402643665	801.9662049908914	n/a	n/a	643149.7939474924	816.5044671162656	575.614414372834	n/a	n/a	n/a	n/a	-0.0110597054	0.005647664	-0.0087492774	0.1008578732	0.0072014838	-0.0110190153	0.0308780651	-0.0252688158	0.1259077201	-0.0533563569	0.0115761573	-0.2446030113	0.0232956205	-0.2124098585	0.1277942832	-0.1346364553	0.0986659908	-0.1349373772	0.0193829132	-0.0181186126	0.0678061087	-0.075356152	0.0224823005	-0.0198342184	0.0536017125	-0.0938699767	0.049805998	0.0517235725	-0.0126510277	0.1337607157	-0.0468236386	0.0413404533	-0.0639304193	0.072748501	-0.0227800589	0.0309641386	-0.0180798107	0.0116238843	-0.0347744078	0.0629436188	-0.1534526579	0.1056558834	-0.0371478156	-0.0426725201	0.0530345302	-0.0212163391	-0.0385050862	0.063501809	-0.0258654797	-0.0604564498	0.0768757162	0.0355417256	-0.0037123596	-0.0540436979	0.1253361535	0.1297960279	-0.0908403176	-0.0067123556	-0.128408004	0.0595603239	0.0599686121	0.119854133	-0.1278670503	-0.0085648805	0.1151841288	0.1472844349	-0.0235256874	0.0393035077	-0.0089488987	0.0006055931	-0.0016298491	0.0082773444	-0.0941492456	0.1294549305	-0.1150418138	0.0462143329	-0.0454958239	0.0111335251	0.0056504444	-0.0665496236	0.0763659486	-0.040085298	0.0208475059	-0.0007653719	0.0672501299	-0.0001835394	0.1476663952	-0.1449123051	0.0347168569	-0.0728598282	0.0925690815	-0.0325865502	0.0399023823	0.006374338	-0.142211736	-0.0086247205	0.0990519157	-0.1746512192	0.1057709261	-0.0592841154	-0.0886433477	0.1527515816	0.1872080701	-0.1217260523	-0.0816264723	-0.0024136495	0.0312375075	0.0904838327	-0.0452254229	-0.0241688217	-0.0053609241	-0.0710380767	0.1147017419	0.1146833673	0.1146527451	-0.0472606	n/a	0.00223356431236	n/a	-0.0127223	n/a	0.00016185691729	n/a	-0.0128093	n/a	n/a	0.0001640781664899	-0.00220896	n/a	n/a	4.879504281599999e-06	0.000503257	n/a	n/a	2.53267608049e-07	-0.000878338	n/a	7.71477642244e-07	n/a	0.0
795.7873768299713	-1.1295451858120489	633277.5491219268	1.2758723267911756	925.1155675171976	-4.340746821656353	18.84208296971973	855838.8132626667	801.156167910372	-0.8100370805193506	0.656160071816313	641851.2053808322	815.2359542896738	562.4860173570371	1.040172	21.399387	0.0676460999999999	0.0358021	-0.0392987069	-0.0263757776	-0.0476295086	-0.0598318601	-0.0571342082	0.04220644	0.0780832117	0.0182368395	-0.0356214159	-0.0123897952	-0.0417008049	0.0018623479	-0.0485659734	-0.0753731235	0.1477689482	-0.0192604527	-0.03781953	0.0339839325	0.070911973	-0.0644770133	-0.0336246389	0.0326402222	-0.0384648638	0.0641464954	-0.0350152804	-0.1605634947	0.0170932122	-0.083828949	0.1333910765	-0.0931208422	0.0332375096	0.0412889425	0.0825368169	-0.0315314586	-0.1009695516	-0.0021598701	0.041189173	-0.0343090824	-0.0246893547	-0.0805018994	-0.0328316714	-0.0371576817	-0.0045388524	0.0925863934	-0.02678306	-0.0233772428	0.0848972386	0.0745211302	0.0150238639	-0.0191579587	-0.058417028	-0.0777794099	-0.0195202396	-0.0575475778	0.118156908	0.0673114602	-0.0359345839	-0.0113242122	-0.0542325265	0.0814551079	0.0599582187	0.0390436594	-0.0123314874	0.059530241	0.0566522075	-0.0546577928	-0.0388430184	-0.042670773	-0.06315583	0.0940352362	-0.0031054292	-0.0355639488	0.1588041469	0.0179485152	-0.1179363893	-0.0001896162	-0.0532304726	-0.0260397309	0.0254228082	0.034169828	-0.1320006524	0.0538026628	0.1233832504	0.0309663433	0.0489179428	0.0228440542	0.0005697416	-0.1178659473	-0.0077826965	-0.0017266177	0.0399877833	-0.1131293215	-0.014304927	-0.1190586399	0.0403266746	-0.0204889542	0.0520221388	0.0258152894	0.103285181	-0.1053204392	0.0430682477	0.1774361656	0.0651718118	-0.0179452485	-0.127926205	0.0128379347	0.022811328	0.0054645843	-0.1138479483	0.0127540185	-0.0636519342	0.0236916066	0.1146527451	0.1144874327	0.1142120884	-0.047246	1.459999999999656e-05	0.002232184516	2.131599999998996e-10	-0.0255238	-0.0128014999999999	0.00065146436644	0.0001638784022499	-0.0397251	-0.0269158	0.00072446028964	0.00157808357001	-0.00199032	0.0002186399999999	4.780344959999999e-08	3.961373702399999e-06	0.000249891	-0.000253366	6.419432995599999e-08	6.244551188100003e-08	-0.000964616	-8.627799999999996e-05	9.30484027456e-07	7.443893283999994e-09	0.0
795.8566732681292	0.0692964381578349	633387.8443854137	0.0048019963413626	921.2841638418536	-3.8314036753440632	14.679654123439995	848764.5105457833	801.9910916306364	0.8349237202644417	0.6970976186602157	643189.7110549	815.6632672656789	562.3362688111762	1.001711	20.60812	0.1185455	0.0671271	-0.0541626405	0.0285092857	0.048815291	0.029839131	0.0209285125	0.0522010375	0.0589576148	-0.1477943679	-0.0407381184	-0.0033968628	0.0407212406	0.0930582812	-0.0421055845	-0.0540251102	-0.0043498604	-0.0716106441	0.0770499651	0.0440735578	0.0363946983	0.0848620805	0.0065109145	0.0107433428	0.0773666095	0.0330611199	-0.1094298748	-0.1580390322	-0.0579431547	0.0778951569	0.0826838862	-0.0683387069	0.0140931371	-0.0038605188	-0.0122500724	0.0561614378	0.1821635654	0.0464589589	-0.0098909609	0.0009052978	-0.0093943812	-0.1426676844	-0.013323156	0.024694814	-0.2202588942	0.0645689059	0.0555125482	0.0145619292	-0.0808199636	0.0344918883	0.0920538887	0.0786915858	-0.0478681458	-0.1416985414	-0.0126948657	-0.197251881	0.070942878	-0.1075734108	-0.0366550189	0.0279889349	-0.0566007518	-0.0093611274	-0.0315624921	-0.0130739214	0.0001275323	0.0033377411	-0.0152010894	-0.0898529576	-0.0403843889	-0.0814999828	-0.0205586787	-0.05471012	-0.0140490003	0.0865840497	-0.0542034294	-0.0843940384	-0.0775293407	-0.0548087093	0.073494164	-0.021720725	0.1493548004	-0.1996209525	-0.0789532213	0.0630277411	0.0514903812	0.0368902633	0.0246482213	0.0242419543	0.0080600663	-0.0647912301	-0.0435459867	0.081578271	0.1771490563	-0.0677072053	-0.0354507833	0.100679749	0.0002409806	0.0358116997	0.0020816873	0.1551529449	0.0291140806	-0.1330625506	0.0443707816	-0.0478029122	0.0475264832	-0.1109606019	-0.037517128	0.102578493	-0.0121871463	-0.0895296447	-0.0666273559	0.03475646	0.0303937205	0.0072313014	0.1145547726	0.1140958982	0.1133324686	-0.0472602	-1.4199999999998936e-05	0.00223352650404	2.0163999999996974e-10	0.0102556	0.0357794	0.00010517733136	0.00128016546436	0.0095333	0.0492584	0.00242638997056	9.088380889e-05	-0.00236531	-0.0003749899999999	1.406175001e-07	5.594691396099999e-06	0.000321336	7.144499999999995e-05	5.104388024999993e-09	1.03256824896e-07	-0.000741181	0.0002234349999999	5.49349274761e-07	4.9923199224999966e-08	0.0
795.9322005428513	0.0755272747221624	633508.0678609856	0.005704369226957	923.9928690670404	2.7087052251868045	7.337083996954297	853762.8220867409	802.0719962529931	0.0809046223566838	0.0065455579186776	643319.4871732615	816.1097581895364	571.5013702861954	0.956299	19.673864	0.07161904	0.0335941	-0.0449168938	0.0175005795	-0.0699184055	0.0757669207	0.0074083908	-0.0720234691	0.1087948143	0.0125546471	0.1078829689	0.0785549486	-0.0304741148	-0.0217546775	0.0983035619	-0.0070201772	-0.143210039	0.0098258024	-0.0713667504	0.0762219273	0.0091434978	0.1194246741	0.0264978531	-0.0809852307	0.0516499198	-0.087578871	0.1205236262	-0.0597397412	-0.0838627511	0.0650629654	0.0734195847	0.1151800433	0.0835103381	0.0009844107	0.0804347622	-0.0427643937	-0.0866128999	-0.0935199354	0.0315753751	0.1258610157	0.016765647	-0.049996565	0.1699327238	0.0306708435	-0.1065333674	0.0644979339	0.1631932054	-0.0149337729	-0.0435239201	0.1783853711	0.1535515781	-0.1111280805	-0.0550673914	0.0200644554	0.0530738505	-0.009918685	0.0528602576	0.0203224332	0.0411347472	-0.1039868703	0.0506428543	-0.029534227	-0.0019662792	3.6011e-05	0.0449041828	0.0779408569	-0.0368881845	-0.0384968168	-0.0014623886	0.039954038	-0.0499017232	-0.1285099225	0.0460826809	-0.0782804699	-0.0799565414	0.0969787945	0.0054496728	-0.0734388978	-0.0431308674	0.1001616188	-0.0086888506	-0.1412351566	0.0441062346	0.0637535423	0.2162191451	-0.1456522671	-0.0390088913	-0.0740511224	0.0812792154	-0.0019602695	0.0358790575	-0.0377607164	0.0121640217	-0.0894571593	-0.0523634066	-0.0165475896	0.0177782849	-0.1019612458	0.0219795518	0.1189890529	-0.1422669758	0.0187986419	0.0974785857	-0.0370013567	0.0512468719	0.0418289952	-0.0532102026	0.1357652175	0.0368282941	-0.0358213883	0.139062147	0.0391040608	-0.035982361	0.0290885075	0.1144078661	0.1135094328	0.1120172664	-0.0534331	-0.0061728999999999	0.0028550961756099	3.810469440999994e-05	-0.0107908	-0.0210464	0.0001164413646399	0.00044295095296	-0.00146294	-0.01099624	0.0001209172941375	2.1401934436e-06	-0.00207502	0.0002902899999999	8.426828409999995e-08	4.3057080004e-06	-2.96957e-22	-0.000321336	1.03256824896e-07	8.8183459849e-44	-0.000684737	5.6444e-05	4.688647591690001e-07	3.185925136e-09	0.0
795.7655431933686	-0.1666573494827616	633242.7997338369	0.0277746721366193	922.0045934864768	-1.9882755805635952	3.953239784265501	850092.4704101633	801.3741333968065	-0.6978628561865889	0.4870125660449037	642200.5016774827	815.1712075691778	558.1436598615952	0.957376	19.696026	0.07663683	0.0367942	-0.04317927	0.0026752934	-0.0184695744	-0.1190232774	-0.0073967594	-0.0187709832	0.0788509703	-0.0122598398	-0.0452168731	-0.0038022802	0.0262816381	0.0779168956	-0.0914372179	0.1477013767	-0.0334038974	-0.0832641435	-0.1544379567	0.0694519772	0.0562281403	0.0420119656	0.0007723224	-0.1446371483	0.0738929585	0.0190259184	0.0189695937	0.0035744321	0.0965580623	-0.0051355956	0.0725921571	-0.1039292803	-0.01679234	0.0734798227	0.0375612845	0.0328976665	-0.1543812335	-0.0409634351	-0.0571901923	0.0462324034	0.0443476286	0.208591098	0.0787500042	-0.0604630381	-0.0820390659	-0.0816614166	0.0121640707	-0.0275429659	0.0373987904	0.0461291678	-0.0249134838	0.1454592982	0.2196601912	0.033614997	-0.035306954	-0.0054454318	-0.0393272871	-0.0596420795	-0.0702043334	0.0186360978	-0.0082233625	0.0828775716	-0.083499984	-0.0421104918	0.123375385	-0.1447013031	0.0485558078	-0.0418306109	-0.0282766222	0.0393929211	-0.1344301216	-0.0808562075	0.0469380365	0.0323496356	0.0373341228	0.0179005694	-0.037810869	-0.0358916107	-0.01453525	0.0388437323	-0.061535172	0.0888223663	-0.0702332105	0.098805109	0.0571050424	0.0210380119	0.0972157944	0.0053880696	0.184882814	0.0515476457	-0.1151276483	-0.0263507749	-0.1288771826	0.0763056624	-0.0743921653	-0.0988599286	-0.133218316	0.1135492904	0.0090417822	0.0152682788	0.037875343	0.0271777024	0.0936604282	-0.0574205212	0.0672657073	-0.0259612299	0.0601366882	-0.0987885709	0.0320716808	-0.092184596	0.0531284433	0.0164453127	0.1256342296	0.0746396145	0.1142120884	0.1127290384	0.1102715368	-0.0472684	0.0061646999999999	0.00223430163856	3.800352608999994e-05	0.0079814399999999	0.0187722399999999	6.370338447359841e-05	0.0003523969946175	0.0227697	0.02423264	0.0005872208413696	0.00051845923809	-0.00209596	-2.0940000000000108e-05	4.384836000000045e-10	4.3930483216e-06	0.00035206	0.00035206	1.2394624360000002e-07	1.2394624360000002e-07	-0.000861082	-0.0001763449999999	7.41462210724e-07	3.1097559024999986e-08	0.0
796.4583805899061	0.692837396537584	634345.9520118958	0.4800236580409774	921.4821850249888	-0.5224084614879985	0.2729106006342576	849129.4173184277	801.5934584311531	0.2193250343465251	0.0481034706911044	642552.0725996167	815.0983559741684	569.7805660317447	1.010256	20.783932	0.0824259799999999	0.0480661	-0.0446726257	0.024856964	0.1429036693	-0.0037063554	0.09641872	-0.0481234564	-0.0435232327	-0.0689894764	-0.0215310657	0.037632304	0.0048762865	-0.0909856012	0.0608724323	0.0701889289	-0.0258341533	-0.1028551201	-0.0843596156	0.1609986369	0.0522016246	-0.1265154402	0.0193188329	0.049373238	-0.0352415775	0.1016844495	0.0670359834	-0.0394870609	-0.0359558355	0.0378199776	0.0043333533	-0.0369422902	0.0594124695	0.0085792032	-0.1028834722	-0.0555199813	0.0420060082	-0.0334898147	-0.0353030819	-0.0631129836	-0.0596287532	-0.0496954326	-0.1155612076	0.0043309052	-0.1092443524	-0.1325201194	0.0544448212	-0.0723927858	-0.1013321446	-0.0991234477	-0.1015729216	-0.0614019937	-0.0542217214	-0.0104733999	-0.0510484934	0.0515833936	-0.052922251	0.0807434298	-0.0737054533	0.0453065933	-0.0255101557	-0.0633037732	0.1334216148	-0.0755794454	-0.0564744166	-0.2644316484	-0.0292412589	0.1220794421	-0.0728007171	0.0681911475	0.0524621843	0.0861408741	-0.0291544942	0.0495118947	-0.0354194761	0.0487776299	-0.0158262429	-0.0507474373	0.0427668506	0.0013071955	-0.0083627988	-0.0541233561	-0.0380674175	-0.0016858177	0.0405356599	0.0394112696	-0.0035062526	0.0476068744	-0.1794276144	0.002498636	-0.0245835962	0.0427304557	0.0393329925	-0.0235148338	-0.0247906173	0.0647757917	-0.1122124577	-0.0229903501	0.1328445571	-0.0200199569	0.0187462355	0.1532205825	-0.0944012705	0.0898242271	0.0212982796	0.1464016281	0.075715829	-0.2220182871	0.0055402567	-0.0968963258	-0.0751754605	-0.1118144399	0.05829389	0.1790175365	0.1139675232	0.1117560484	0.1081019891	-0.047267	1.3999999999986246e-06	0.002234169289	1.959999999996149e-12	-0.00460869	-0.0125901299999999	2.1240023516100003e-05	0.0001585113734168	-0.0128824	-0.0356521	0.00127107223441	0.00016595622976	-0.00166969	0.00042627	1.817061129000001e-07	2.7878646961e-06	0.000599564	0.000247504	6.125823001600002e-08	3.594769900960001e-07	-0.000851209	9.872999999999978e-06	7.245567616810001e-07	9.747612899999955e-11	0.0
796.7618358860417	0.303455296135553	634829.4231244957	0.0920851167527161	922.7459480499366	1.263763024947821	1.597096983225266	851460.0846425763	801.4735416966774	-0.1199167344756233	0.0143800232072971	642359.8380398158	815.2461507447068	569.1876832394371	0.99602	20.491049	0.07673464	0.0425344	-0.030725463	0.0281906085	-0.0784024519	0.0814990385	0.0208422367	0.0580975939	0.0457893122	0.0415906262	0.0431919462	0.0585549245	-0.0589364383	0.0467776882	-0.0549148473	0.0987496435	-0.015247448	0.0178026767	0.007110437	0.0243243639	0.0782929319	0.0258892899	-0.0151874985	0.0533576615	0.0172891437	-0.1007208924	0.1079717011	0.0766246295	0.0549738795	-0.0676350695	-0.0187790722	0.023201604	0.0529520322	0.1150459604	0.0007407924	-0.0543402772	-0.0712806218	0.1169716692	0.0622492988	0.0125945093	0.1485408495	-0.0847049109	0.0328777637	0.050784929	0.1505093752	0.085265222	-0.0683294189	0.0463157208	-0.0969979616	-0.0230049663	-0.0810471243	0.0579204911	-0.0390895597	-0.1611528477	0.0396552624	0.0956639425	-0.0291560968	-0.0523864025	0.0986451631	0.0417062466	0.1961092423	0.0433425936	0.0208352913	0.078709438	0.1663705451	0.003512508	-0.0846584421	0.0214531324	-0.0673930367	-0.0614760115	-0.0303136219	0.0320222835	0.0081869694	-0.1441032677	0.0140130997	0.054413382	0.0166366852	0.0279806664	-0.0369561795	-0.0153251006	0.0520908474	0.048868079	0.0186991443	0.043568015	0.0530672935	0.0181781719	0.0764364227	-0.0284692254	0.0194609865	0.1880548933	0.0381638461	0.1369103001	-0.0641941922	0.0666133054	-0.0187491078	0.0294613969	0.0899820562	-0.1634729889	-0.02944571	0.1979069748	-0.0148445678	0.0371073547	-0.1188690779	0.0455488357	-0.0624211092	-0.137370989	-0.0347555021	-0.0273811811	0.0790317656	-0.0229545909	0.0228265952	-0.0453522998	-0.026045028	-0.1414904024	0.1136742748	0.110592125	0.105516962	-0.0472601	6.900000000004125e-06	0.00223351705201	4.7610000000056924e-11	0.0138009	0.01840959	0.00019046484081	0.0003389130039681	-0.0121091	0.0007733	5.979928900000017e-07	0.0001466303028099	-0.00223449	-0.0005648	3.189990400000001e-07	4.9929455601e-06	0.000114434	-0.00048513	2.353511169e-07	1.3095140356e-08	-0.000750242	0.0001009669999999	5.62863058564e-07	1.0194335088999996e-08	0.0
797.547053731519	0.7852178454772911	636081.3029158264	0.616567064855999	920.7324604939944	-2.01348755594222	4.0541321379341735	847748.2638073249	802.5133193311403	1.0397776344628935	1.081137529129251	644027.6277038848	816.0304011639403	566.7065362903411	0.982211	20.206945	0.07096039	0.0409102	-0.005384438	-0.0036754343	-0.0195467374	-0.1212620505	-0.0028676416	-0.0639094165	0.0638041928	0.1033995452	-0.0918225163	0.113963622	0.0861880423	-0.0249111732	-0.0279501666	0.1548978776	-0.0236602199	-0.0680008271	-0.0536556609	0.1130409069	0.0195455135	-0.0730760416	-0.0407743373	0.0005045195	-0.0273271364	0.0491478318	-0.0632987506	-0.0996719279	-0.0205814946	-0.0024631465	-0.0481504951	0.0051748172	-0.0068080275	-0.0999374278	0.0219292732	0.0460595361	-0.0079496441	-0.0915349056	0.0344076697	-0.0155332892	0.1097676235	-0.1389584011	0.033429314	-0.0321019195	0.063878003	0.1976564682	0.058371053	0.0669169719	-0.0262019416	0.0163506154	-0.0109237912	0.1381620785	0.0796821425	0.0026442548	-0.0586945566	0.1092722475	-0.0310536643	0.1164298039	-0.082340829	0.0163402402	-0.022245311	-0.0083425743	-0.0856291834	0.0160351956	0.0140074455	0.04830212	0.1046871331	-0.0260052273	-0.0191214128	0.0557910254	-0.0172272514	0.0710581549	0.0184321107	-0.0275292031	0.135729829	-0.0179085019	-0.1033064826	-0.0833292583	-0.0190602079	-0.0186291719	0.0307872505	0.0246841147	-0.019797526	-0.0471451064	0.0710374557	-0.1008221487	0.0015810092	-0.1829905083	-0.0165531386	0.0585253973	0.0340460991	0.0209728874	0.1175908039	0.0445320861	-0.0180119161	0.0485324	0.0204633104	-0.0708064665	-0.099795332	0.0910880196	0.0190697851	0.0662403318	0.0836788296	0.022098612	-0.0179010498	-0.0639598228	0.0620840187	-0.1414204315	0.0530393298	0.0893480912	0.0019399735	-0.0078151666	-0.0081148586	-0.0343646028	0.1133324686	0.1092392569	0.1025263906	-0.0472518	8.30000000000275e-06	0.0022327326032399	6.889000000004563e-11	-0.00923094	-0.0230318399999999	8.52102532836e-05	0.0005304656537855	-0.0205425	-0.0084334	7.112223556000004e-05	0.00042199430625	-0.0016386	0.00059589	3.550848921e-07	2.6850099600000003e-06	0.000139302	2.4868000000000007e-05	6.184174240000003e-10	1.9405047204e-08	-0.000581263	0.0001689789999999	3.378666751690001e-07	2.8553902440999995e-08	0.0
796.9478954591592	-0.599158272359773	635125.948076783	0.358990635337148	921.6046723547634	0.8722118607689708	0.7607535300660706	849355.1721061307	802.1885025960963	-0.3248167350440099	0.1055059113646505	643506.3936973673	815.5138422926767	574.4794862202164	0.99481	20.466162	0.05517699	0.0350478	-0.0133420635	0.0182182769	0.0708376834	0.0493279947	0.0334325825	0.0491482543	-0.0093946434	-0.0984944304	0.0422099224	0.1149123902	0.0521229346	-0.02127622	-0.038953299	-0.0073092543	-0.0653708	0.0462568841	0.0338253297	0.1399192005	0.0310491143	0.0003027159	-0.0111398932	0.0716149462	-0.0992192752	0.0643156949	0.0047305845	-0.0346209223	-0.1001928426	-0.1138965414	-0.044949683	-0.0754488257	-0.0756587437	-0.0188946683	-0.0221679557	-0.011284507	-0.0102448727	-0.0447228138	0.010347732	0.089046943	0.0979216373	-0.073102602	0.0285220741	-0.1244564413	0.0024104438	-0.0854692894	-0.0981851689	-0.1541945271	-0.0434409597	0.1429692973	0.0567292164	-0.0132500715	0.0001525592	0.0835442833	-0.0146603933	-0.0306301562	0.1110961778	-0.0052796307	0.123761119	-0.0747293136	-0.0833916433	-0.0373401171	-0.039995258	0.1379709874	0.0342758306	-0.1207120458	-0.0116746204	-0.0460254733	-0.0625174739	-0.069739089	0.0429816874	0.0209700771	-0.0656904537	0.0411676554	-0.041445168	-0.0175165569	0.0203067453	-0.0106770271	-0.098142538	0.1342720677	-0.0512809221	-0.0134285041	-0.1190084805	-0.0311944991	0.0409445134	-0.0121531291	-0.0863274817	-0.1167920154	-0.0528688077	0.0688810876	-0.0757516561	0.0112640963	-0.0068293488	-0.0833721315	0.0098696874	0.0159903912	-0.0248585242	-0.0809214222	0.0924590465	0.0048434233	-0.0683400139	-0.1062345667	0.0533258098	0.0615000977	0.080399674	-0.0741998497	0.0663750389	0.0193441482	0.0081283268	0.1606889973	0.1860621883	-0.065094586	-0.0939845347	0.0906811771	0.1129422506	0.1076997553	0.099141769	-0.0472573	-5.5000000000055005e-06	0.00223325240329	3.0250000000060506e-11	0.0230845	0.03231544	0.00053289414025	0.0010442876623936	-0.0104574	0.0100851	0.00010170924201	0.00010935721476	-0.0016386	0.0	0.0	2.6850099600000003e-06	2.11758e-22	-0.000139302	1.9405047204e-08	4.4841450563999997e-44	-0.00069738	-0.000116117	4.863388644e-07	1.3483157689e-08	0.0
797.4411918338741	0.4932963747148733	635912.4544334295	0.2433413133068367	925.3156301558294	3.7109578010660016	13.771207801292611	856209.0154106796	802.3643451404437	0.175842544347347	0.0309206004025487	643788.542352653	816.5719974843648	574.7367485388008	0.974343	20.04508	0.06328038	0.0443713	-0.0154674211	0.0034053143	-0.0670236901	0.0409223182	0.0042594393	-0.0298858105	0.1223213714	0.0570574863	0.1282340097	0.0513879946	-0.0622179328	-0.1193322272	-0.0532248334	0.0265324885	-0.0138043992	0.0761679019	-0.001288899	-0.0778929076	0.0077053924	-0.0317123469	0.0107780483	0.0143224409	0.0469861182	-0.0742175413	-0.0122723821	-0.0568853133	-0.1121115948	0.0492307711	0.0189089026	0.1263600391	-0.0134981619	-0.0048975887	0.0354705704	0.1653151364	-0.1224399614	0.0886848466	-0.0921657586	0.0495272904	-0.0720210491	0.1532191132	-0.0651268995	-0.0492394725	-0.1720997279	2.69596e-05	0.0134613643	0.1549425566	-0.0598202721	-0.0186174021	0.1048490678	0.0106405811	0.0068874815	-0.1398271721	-0.060122455	-0.0843910033	-0.1770697717	0.0563220742	-0.0760450008	0.0293093453	-0.048520547	-0.0280161779	-0.0264164865	0.0049652268	-0.0804747075	-0.0819697212	-0.0596966733	-0.0370461326	0.0078232135	0.0316110736	0.0026797309	0.0580360683	0.0056181233	-0.1262670541	-0.0231339981	0.0687768654	-0.0336757208	-0.0255270069	-0.0094601896	0.2099556096	0.0649434064	-0.1034133509	0.0779391495	-0.083789925	-0.0024344512	0.0202680258	0.083326112	0.0264804825	0.1200281807	-0.0541422123	-0.0608498441	0.0646735134	0.0602325323	0.0418802242	0.0608191266	-0.0543008156	-0.0885658674	0.0569736547	0.0010223716	-0.0048050503	0.123374624	-0.1403987903	0.0946493547	-0.1582661809	0.0513074616	0.0371040085	0.002133727	-0.0406394666	-0.0516067845	-0.2345159175	-0.0246749125	0.0220144869	0.0464039614	0.015260504	0.1125037874	0.1059762505	0.0953761056	-0.0472505	6.8000000000012495e-06	0.00223260975025	4.6240000000017e-11	-0.0192309	-0.0423154	0.0003698275148099	0.00179059307716	-0.00684217	0.00361523	1.3069887952900003e-05	4.68152903089e-05	-0.0016386	0.0	0.0	2.6850099600000003e-06	0.000230742	0.000230742	5.3241870564e-08	5.3241870564e-08	-0.000581263	0.000116117	3.378666751690001e-07	1.3483157689e-08	0.0
