global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20
691.9567964358077	n/a	n/a	478804.2081337059	789.1047707895699	n/a	622686.3392828597	n/a	711.944123357079	n/a	n/a	506864.4347826797	716.9917798754768	526.5273633127381	n/a	n/a	n/a	n/a	-0.0176924029	-0.1066706117	-0.0261937226	0.0086176624	-0.0980147885	-0.0814377536	0.0011263795	-0.011694615	0.075018342	-0.1640114383	0.0318353028	0.0571782047	-0.0185178486	0.0345333662	-0.080824921	0.0383581041	-0.0258018499	0.0756691534	-0.0259007099	0.0760642582	-0.0243622575	-0.0412003362	0.0320842717	-0.1338134746	0.0314400418	-0.0900586638	0.0145536944	-0.0909743729	0.0463678127	-0.0030540894	0.0707957119	-0.0045254545	0.0920426018	-0.0461472559	0.0270984458	-0.2494708987	-0.0764046031	0.1241476165	-0.1983679453	-0.0297996375	0.0336022649	-0.068595223	-0.072795473	0.007717007	0.1458758452	-0.0359237444	-0.0380465624	0.0510641876	0.0371850965	-0.0637017687	-0.0135031207	0.0826449985	0.0101317125	0.035674868	-0.2262695028	-0.0811221986	0.0406371911	0.0274454454	0.0320292196	0.0414908559	-0.0747721814	-0.0456005799	0.0392794211	-0.1150007238	0.0278612648	-0.0438536368	-0.0551774367	0.0167038931	-0.0105713187	0.034649974	-0.0649608586	0.0139194639	-0.1257127949	0.0182846303	-0.0645096161	0.0709490488	-0.0316656963	0.0423872722	-0.0151244874	0.0908616747	-0.044665767	0.1665332942	-0.0917326623	0.0234753839	-0.0722267407	0.0941619831	-0.0934790441	0.003649595	0.0155084563	-0.1628427536	0.0038149941	0.1254571323	-0.1707390494	0.0463738817	0.1027642731	-0.0481921814	-0.0868027726	0.0987526718	0.0828920283	-0.0392341302	-0.0062578324	-0.112153979	0.1147017419	0.1146833673	0.1146527451	0.111412	n/a	n/a	0.012412633744	-0.146954	n/a	n/a	0.021595478116	-0.128857	n/a	0.016604126449	n/a	-0.00548758	n/a	n/a	3.01135342564e-05	0.0008568929999999	n/a	7.342656134488286e-07	n/a	-0.000611351	n/a	n/a	3.73750045201e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
690.966244910402	-0.9905515254057492	0.9811923244836565	477434.3516055816	782.4397363216731	-6.665034467896817	612211.9409751293	44.42268445825261	711.753302336973	-0.1908210201060001	0.0364126617142945	506592.76338758646	716.711588304451	531.7957318544443	1.081315	30.326542	0.1984382	0.0957263	0.1159168483	-0.0838332139	0.075560504	-3.32295e-05	0.0330520305	-0.0420747865	0.153904827	-0.0656664092	0.0484370125	-0.0594823301	-0.0455300645	-0.0143818242	0.0557335485	0.0909262958	-0.1863629972	0.0376156473	0.0793777109	-0.0471188126	-0.0176927019	0.0702469006	-0.1391402867	-0.0108404603	0.044491885	0.038916402	0.105855092	-0.0158833042	0.0814462575	-0.0275650595	0.0605140225	-0.1329186578	0.0019531061	0.0260943343	0.1513868459	0.0739926902	-0.0839963921	-0.0231299839	-0.0558501499	-0.1345393871	-0.034363875	-0.0764793024	-0.035493094	0.0407079267	-0.0007054871	-0.0651622392	-0.1141544779	-0.0422953405	0.0418237231	0.0506354961	-0.0605215366	0.0777098146	0.0209940659	-0.0082993282	0.0091383768	-0.0198199062	-0.2327930698	-0.0003974155	-0.0486805577	0.0073796476	0.046375037	-0.0113503312	0.04897005	0.0497451228	0.0832833424	-0.1331296262	-0.0932982688	-0.0513738873	-0.0456659652	-0.0096391956	0.0681910432	-0.090988897	-0.0161977411	0.0180871199	-0.0029957609	0.0412238938	-0.0964365832	0.1077698474	0.0961638539	0.0435225352	0.0468561536	0.0342934065	-0.0957164613	0.0759670065	0.0582591366	0.0846344274	-0.115983344	-0.0236854603	0.1146875925	-0.0215969377	-0.1626509403	0.0701503483	0.0946017413	0.0671567285	-0.1035020662	-0.0881520586	0.0131173073	-0.0220009808	0.0541866055	-0.1064000963	0.048925092	-0.0098685091	0.042537572	0.0347616007	0.1146527451	0.1144874327	0.1142120884	0.0859198999999999	-0.0254921000000001	0.00064984716241	0.0073822292160099	-0.163677	-0.0167229999999999	0.0002796587289999	0.0267901603289999	-0.111534	0.017323	0.0124398331559999	0.000300086329	-0.00692578	-0.0014382	2.0684192400000016e-06	4.796642860840001e-05	9.49123e-22	-0.0008568929999999	9.008344691290001e-43	7.342656134488286e-07	-0.00109426	-0.0004829089999999	2.332011022809999e-07	1.1974049475999998e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
691.0651419912912	0.0988970808891736	0.0097806326083997	477571.0304754434	788.713135318798	6.2733989971249	622068.4098244086	39.3555349771277	713.0613439145372	1.3080415775642678	1.7109727686368184	508456.480185206	719.3784712591797	537.468905994961	1.281784	35.948895	0.5746979000000001	0.262337	0.0941265704	0.0555047087	-0.0263076034	0.0419254908	-0.1003559093	0.0428182548	0.0901793269	0.009926078	-0.0918099257	-0.0268024725	-0.0771002318	0.0137768567	0.0787602708	-0.0360951847	0.0323074631	-0.0123069445	0.2551124003	0.0425324518	0.2110145129	-0.1207200436	-0.1357667674	-0.0683872673	0.0132913338	-0.0396137858	-0.0284042897	-0.0176959501	-0.1333274117	0.0257235713	-0.0271351881	-0.0378318319	0.003561204	-0.018003912	-0.0256895353	-0.1638811915	-0.0081584979	0.074446146	0.1509052494	-0.0729288106	0.2761575805	0.0419663459	-0.1369090091	-0.1473257264	-0.0202946717	0.0962912179	0.0807078903	0.1533757293	-0.0050144161	-0.0450385113	-0.0037922612	0.0436388551	0.0489558687	0.0036554366	0.0887068357	-0.049910893	-0.0205618505	-0.0599284034	-0.0533638728	-0.0670559084	-0.0672407824	0.116571609	-0.0695181776	0.0702457171	-0.0148568096	0.0562443913	-0.0539613614	0.172584288	0.0130434117	0.0803356891	0.1709331968	-0.1697239786	-0.1701984356	0.024036258	-0.1106050228	-0.0518075371	0.0929790045	0.0227524415	0.1127920241	-0.1862630295	0.0369277488	-0.0724427763	0.0234041828	0.0128978145	0.0211575316	-0.0154922669	0.0454728907	0.2276255931	0.1270756584	0.0043296029	0.1836383145	0.2049030448	-0.0902726897	-0.1175293198	0.1657622381	0.1148468007	0.0343375042	-0.0049826853	-0.0264976582	-0.0081089791	0.0695515503	0.1959529465	0.1325423229	0.039412498	0.1145547726	0.1140958982	0.1133324686	0.0103202	-0.0755996999999999	0.0057153146400899	0.00010650652804	-0.0555516	0.1081253999999999	0.0116911021251599	0.00308598026256	0.0994566	0.2109906	0.00989161528356	0.04451703328836	-0.00597393	0.00095185	9.060184225000012e-07	3.5687839644899994e-05	-0.00183507	-0.00183507	3.3674819049000004e-06	3.3674819049000004e-06	-0.000281536	0.0008127239999999	6.605203001759998e-07	7.926251929599999e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
694.2630283363213	3.197886345030156	10.22647707573033	482001.1525147197	791.7119204534773	2.9987851346793377	626807.7649881332	8.992712283973773	713.1755979741687	0.1142540596314347	0.0130539901422634	508619.4335458131	719.0623985184233	531.9888724921218	1.343033	37.666698	0.47098345	0.223816	0.0379726223	-0.1569979535	0.0421562988	-0.0382754769	-0.0385876343	-0.0024501282	0.0728218578	-0.0820390151	0.050362755	-0.0308603273	0.1207430235	-0.0306870468	0.0312432595	0.0890375624	-0.0658249399	0.0997576331	0.1547470665	-0.0011490503	0.0048880525	0.044401848	-0.1681318442	0.0504693456	0.1544886388	0.0051005225	0.0569538637	-0.0196155903	0.1058803345	0.1157715948	-0.0634969432	-0.057015952	0.0659082127	0.0816747889	-0.1283526757	0.1369015023	0.0196671991	0.0509464751	-0.092392386	0.0603317425	0.0730422225	0.064347507	0.1797311914	-0.0894435707	-0.0960301864	-0.0227813143	0.0279469087	-0.0536768424	0.0934702016	-0.0260193353	-0.0479965608	0.0286387126	-0.0921316074	-0.0280178559	-0.0012120201	0.1508916644	0.1508615655	-0.0029579454	0.1069437619	-0.0014556566	0.0291240731	0.0630077254	-0.0013856046	0.0162825262	0.1034587933	-0.062959597	0.0403565046	0.0281676359	-0.0055692912	0.0355294972	0.0650788885	-0.2043141735	-0.0474549634	-0.0578702587	-0.1322717558	-0.0414272159	-0.14024112	-0.0754317795	0.0661201051	-0.067475238	-0.0796406388	0.0369802584	-0.0961389098	0.0486293274	0.0555506445	0.0262910046	-0.1426474706	-0.0027377364	-0.2049944818	-0.0857627559	-0.0362332713	0.0735309589	-0.0581070441	-0.1211090902	0.0945488249	-0.0286819751	-0.0729265947	0.0416642857	0.1226834619	0.1027500484	-0.054044777	-0.0221591774	0.0870196916	0.0790714732	0.1144078661	0.1135094328	0.1120172664	0.15344	0.1431198	0.0204832771520399	0.0235438335999999	-0.140281	-0.0847293999999999	0.0071790712243599	0.0196787589609999	-0.0354634	-0.13492	0.00125765273956	0.0182034064	-0.0075169299999999	-0.0015429999999999	2.3808489999996925e-06	5.6504236624898494e-05	-0.0015436	0.00029147	2.38270096e-06	8.495476090000003e-08	-0.000611351	-0.000329815	1.08777934225e-07	3.73750045201e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
693.4647067923178	-0.7983215440035565	0.6373172876202223	480893.2995665552	786.939566929926	-4.772353523551374	619273.8819998594	22.77535815375321	712.2821144873294	-0.8934834868392727	0.7983127412544648	507345.810618541	716.6492816099519	534.4784469412656	1.223263	34.307621	0.25760185	0.123618	0.0591592519	-0.0095816321	0.0383286151	-0.0096481069	0.048569982	-0.0267839233	0.0789986672	0.1004771917	-0.032275135	-0.0631632775	-0.0170063735	-0.0222205821	0.0944087401	-0.0472212646	-0.107275394	-0.0557574837	0.0581401064	0.0060129541	-0.0126277166	-0.0120741764	-0.0291866911	0.1228312129	0.0757712998	0.1320002985	-0.0148050208	0.022762293	0.0136522943	-0.0300503394	0.2334821652	-0.0001066639	-0.0550067225	-0.0648829177	-0.0128608636	-0.0838722616	-0.0225970535	0.1440130664	-0.0864872886	0.0602600266	0.0734060721	-0.0402237448	-0.0284348336	-0.1384222245	-0.125552228	0.0629907499	0.0996157427	0.0955094097	0.1049193715	-0.0318844902	0.0512274854	0.0123708661	-0.0492446821	-0.0438038907	-0.210599124	-0.0511753985	0.0590523778	0.0127260072	-0.13093886	0.0203318548	0.0787672138	0.1105966618	0.0165693548	0.0463555803	-0.0750103	-0.133582244	-0.082292575	0.0020019905	-0.0477663211	0.0135677087	0.031383102	0.0222649476	-0.003135366	0.1525071012	0.0349364518	0.0088893096	-0.115342958	-0.0312170224	0.0893423449	-0.0099444075	-0.1311684937	0.0588173309	-0.014127654	0.0024801691	0.1453891445	0.0087051306	0.029785532	-0.0841733637	0.2679678056	0.0689797844	0.0074823662	0.0297561753	-0.1380309133	-0.0846054994	0.0805502201	-0.0192978002	0.0693378801	-0.0315497094	0.1050003043	0.1055936121	0.0262823881	0.0281563203	-0.0573152258	-0.0120915866	0.1142120884	0.1127290384	0.1102715368	0.142836	-0.010604	0.000112444816	0.0204021228959999	-0.0804522	0.0598287999999999	0.0035794853094399	0.00647255648484	0.0224762	0.0579396	0.00050517956644	0.00335699724816	-0.00583581	0.0016811199999998	2.826164454399663e-06	3.4056678356100005e-05	-0.00100996	0.0005336399999999	1.0200192016e-06	2.847716496e-07	-0.00098118	-0.0003698289999999	1.3677348924099996e-07	9.627141923999998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
694.1710169468505	0.7063101545327299	0.4988740343960488	481873.4007690246	787.7102344614372	0.7706675315112079	620487.4134752923	0.5939284441255787	711.5797449797233	-0.7023695076061358	0.4933229252148857	506345.733465408	716.6076739787228	540.4881887503788	1.008322	28.279394	0.14926115	0.0687562	0.0959648554	-0.0793311344	-0.0382968981	-0.0184356312	-0.0559376873	-0.0133462937	0.0989242543	-0.0062722214	-0.0881864991	-0.0692767925	-0.0252784885	-0.0032138846	0.0455078521	0.0434276119	-0.1959934786	0.0536748227	0.1200809235	-0.0888481062	0.0881114826	-0.1044476092	0.1298992322	-0.0106784821	0.1381310719	-0.0650294079	0.0828684299	0.0120012272	0.0029869676	0.0652870242	-0.0473549902	-0.0385109968	-0.1327289376	-0.0575705227	-0.0579466175	0.0355165979	-0.0509423068	-0.0040374746	0.0709270983	-0.0050376879	-0.044231475	0.0212314516	-0.0119435056	-0.0492327164	-0.0367492398	0.0386969254	0.0112094299	-0.0166670809	0.0477597189	0.0230873943	-0.0468723299	7.15846e-05	-0.0312843793	-0.0144125891	0.0873960763	0.0264660198	-0.1437980876	-0.0433791511	0.0355799088	0.0056558933	0.0009201495	0.0784317153	-0.0380760806	0.0552304139	0.0294565998	-0.1246469949	-0.0564139877	-0.0531896665	0.1816290184	-0.0709941093	0.0763542964	-0.0465378939	-0.080262034	0.0134368918	-0.1854594546	0.119689298	-0.1127477249	-0.0871204395	0.0228269833	0.0735693731	-0.0675991239	-0.0779856987	0.1173864898	-0.1178576293	-0.0240549938	-0.0029704412	-0.1076533078	0.001406232	0.0512448494	0.0325769637	0.0792840683	0.0883139419	-0.0495219092	0.0144597886	-0.0251400859	-0.0160628126	0.0130542756	0.0347002712	-0.0543935578	-0.0895297466	0.068922687	0.0446971944	0.0767628443	-0.066096399	0.1139675232	0.1117560484	0.1081019891	0.13838	-0.0044559999999999	1.985593599999989e-05	0.0191490244	-0.11028	-0.0298278	0.00088969765284	0.0121616784	0.00409585	-0.01838035	1.6775987222499998e-05	0.0003378372661225	-0.00671253	-0.00087672	7.686379584000002e-07	4.5058059000900006e-05	-0.000324569	0.000685391	1.0534503576100001e-07	4.6976082288100004e-07	-0.000611351	0.0003698289999999	1.3677348924099996e-07	3.73750045201e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
693.686926701163	-0.4840902456875255	0.2343433659698088	481201.55227610463	789.6397958761245	1.929561414687328	623531.0072312875	3.723207253050161	712.6304010383377	1.050656058614436	1.1038781535032212	507842.08848406206	717.7800482512085	528.7925350537756	1.094914	30.707952	0.3290912	0.184852	0.0068436755	-0.1778631041	0.0097251672	0.039166782	-0.0739667921	-0.113172633	-0.001739055	-0.063406224	0.0553020504	-0.1685008178	0.0500962665	-0.0087519865	-0.0767710539	0.0821448587	-0.0674139257	0.2070502027	0.1066949392	-0.0903613418	0.0302438334	0.1413067094	0.1140177374	0.0107503766	-0.0313509548	0.0610391433	-0.1245666793	-0.0123147961	-0.0339924182	0.2234997703	0.0415334426	0.0660321369	0.020045262	0.1388681621	0.0752717379	-0.0674973534	0.0146995147	0.0098019747	0.0063369334	-0.0216062834	-0.1148962698	-0.1538726579	0.0199834838	0.2099053511	-0.0032184614	-0.0037374882	-0.103920089	-0.0592252136	0.0693918761	0.0520368328	-0.1089053026	-0.1338568589	-0.0658629407	0.0119002345	-0.0647226708	-0.0019544573	0.1677581526	0.1412244525	-0.0272787566	-0.1170299734	-0.0227732086	-0.0469959924	-0.0336128952	-0.0515736241	0.0762090519	-0.125770374	0.1453647761	-0.032936152	0.0783560944	0.0171183117	0.1535662887	-0.0352202735	-0.101730522	-0.0271556694	0.1662127552	0.0681077703	-0.1657513829	0.0150420818	-0.1008228568	-0.0143742022	-0.160218036	-0.0495828431	0.0189635911	0.045858072	-0.0102710043	-0.0910983602	0.1199316774	-0.0622916575	-0.0070953967	-0.0706625606	0.0029288127	-0.0743059204	0.1197883481	-0.0056153738	0.0187418996	-0.2206247062	-0.0559022234	-0.0126149881	0.0872772217	-0.0298868224	-0.1353346538	-0.0405721599	-0.0298228184	0.0308348792	0.1136742748	0.110592125	0.105516962	0.180876	0.042496	0.001805910016	0.032716127376	-0.134177	-0.0238969999999999	0.0005710666089999	0.0180034673289999	-0.01993	-0.02402585	0.0003972049	0.0005772414682225	-0.010033	-0.00332047	1.10255210209e-05	0.000100661089	0.000820118	0.001144687	6.72593533924e-07	1.3103083279689998e-06	-0.000919641	-0.00030829	9.504272410000001e-08	8.45739568881e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
693.6507602568221	-0.0361664443408926	0.0013080116962628	481151.37720486725	787.8948434264252	-1.7449524496993265	620778.284297951	3.04485905171168	713.6698827988123	1.0394817604745867	1.080522330359346	509324.7016140705	718.8150433156484	535.7276923772781	1.128416	31.647549	0.4036621	0.262738	-0.0045663749	-0.0945731722	0.0451039675	-0.0027124057	0.030768302	-0.0619010386	-0.006914763	-0.054802877	0.0167450396	-0.1005023973	-0.046115529	-0.0780301781	-0.1078880911	0.0581699018	-0.0250046032	-0.0239443939	0.0175614571	-0.0081004047	0.063708913	-0.0576089344	0.094121334	0.0272107411	-0.0518511903	0.0851052196	0.0463762249	-0.073583451	0.1235607984	-0.0945951893	-0.1131622696	0.0843188025	0.1333415468	-0.0081744439	0.0248745262	-0.0125730695	-0.0195274322	-0.0380299464	-0.1372259544	0.0668320545	0.0971496112	-0.0735975655	0.0694334705	0.1835352788	-0.0099547748	-0.0727555089	0.1186030708	-0.0575341807	-0.0013824139	-0.0621019836	0.0267544194	0.0711425736	-0.0851945801	-0.0989516935	0.0590234421	0.025465413	-0.0592284259	0.0051374667	0.0454721667	-0.0397344846	-0.0577779585	-0.031064564	0.057862377	-0.0508572206	0.051337279	-0.0297668714	0.055239726	0.0137535532	-0.023250187	-0.0139547839	0.0731931679	-0.0056779914	-0.0196842742	0.1050179365	-0.049829459	0.0789385673	0.0561851921	-0.0241528562	-0.0390320433	0.2278840869	-0.0035061223	0.063961378	-0.0228580705	-0.0545931248	0.0415850835	0.0273766759	0.0921519738	0.0351839137	-0.1711483054	0.0451498416	-0.091447201	-0.0685539054	0.0452759714	0.0539889765	0.1190378814	-0.163990951	0.0712769381	-0.0797042653	-0.1539170189	-0.103973801	-0.0353286771	-0.0685494624	0.0236744599	0.0365958622	0.1133324686	0.1092392569	0.1025263906	0.0896388	-0.0912372	0.00832422666384	0.00803511446544	-0.160769	-0.026592	0.000707134464	0.025846671361	-0.0469562	-0.0270261999999999	0.0022048847184399	0.0007304154864399	-0.0052892	0.0047438	2.250363844e-05	2.797563664e-05	0.000438036	-0.000382082	1.91875537296e-07	1.45986654724e-07	-0.000969893	-5.025199999999998e-05	2.525263503999998e-09	9.40692431449e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
693.5720098484026	-0.0787504084195234	0.0062016268262417	481042.13284515264	788.7923715113809	0.8975280849557521	622193.4053545484	0.8055566632843397	714.4015482191444	0.7316654203320923	0.5353342873097372	510369.5720979105	719.9882416399107	551.2383376859377	1.139968	31.971537	0.10891895	0.0551458	0.043298011	-0.0494841227	0.1040559384	0.0057880295	0.0304540982	0.0293316186	0.0538276807	-0.0620722603	0.0626365582	-0.0476087771	-0.0564195533	-0.1179576122	-0.0404372909	0.0619732513	0.0309379822	-0.0075668559	0.0519824851	-0.0079496086	0.0113765233	-0.0090520927	-0.0392497752	0.0156265283	0.0056833473	0.0500832473	-0.1519554658	-0.0122313477	0.111946157	-0.2004571948	-0.1657737066	0.1247691123	-0.107708353	0.0350348897	-0.0847115357	-0.0396268583	0.0937546409	0.0584564528	0.1006195393	-0.0676148781	0.0852123881	0.1066571996	0.1604934962	-0.079882043	0.0695723654	0.0359607817	-0.1018749381	-0.0438439427	-0.0602659416	0.0662778092	-0.0343179639	0.0613145594	-0.0649190964	-0.0594707182	-0.056911799	-0.1378521366	-0.0761392264	0.0246132919	0.0001808673	-0.0803573347	-0.114080166	-0.0198541143	0.0777216552	0.0375970465	0.0560412542	0.0292525193	0.0561964042	0.0182609871	-0.0208142786	-0.0736097095	0.1182956045	0.0115087208	-0.0159406123	-0.0293209652	-0.1071231325	-0.045258783	-0.0085229535	0.0688227219	0.0581354465	0.1175025769	0.084326856	0.0836995206	0.0116486771	0.0023630538	0.0871437081	0.0233020993	0.1263584673	-0.0017312305	0.0035680457	0.0393014977	0.0539907811	-0.0507495938	-0.0658519843	-0.0824432155	0.0966455665	0.1232735538	-0.1623565693	0.1502021455	0.1149362964	-0.1387047548	-0.0173262543	-0.1534608633	-0.1246112324	0.0612875617	0.1129422506	0.1076997553	0.099141769	0.0633712	-0.0262676	0.00068998680976	0.00401590898944	-0.122969	0.0378	0.00142884	0.0151213749609999	-0.0182013	0.0287548999999999	0.00033128732169	0.0008268442740099	-0.00547012	-0.00018092	3.2732046400000086e-08	2.9922212814400003e-05	0.000463201	2.5165000000000007e-05	2.14555166401e-07	6.332772250000004e-10	-0.0008540489999999	0.0001158440000001	1.3419832336023171e-08	7.293996944008291e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
692.0501147742154	-1.521895074187114	2.3161646168350014	478933.3613590048	787.558477007846	-1.2338945035348845	620248.3547069179	1.5224956458535983	713.0441848799406	-1.3573633392037436	1.842435234614337	508432.009591099	719.5219680041436	541.8883582912432	1.22622	34.390545	0.11511875	0.0568706	0.143396662	-0.0295872448	-0.0972189684	0.008265191	-0.0838315682	0.0262273945	0.0587210114	-0.1003915332	-0.0339186509	0.1084481155	-0.0328145549	0.1072927125	0.0793199726	0.0695139686	0.0332943645	0.0734109301	0.0366004318	0.038053509	0.1097901248	0.0310199911	-0.0525167433	-0.0692405987	0.1262232213	0.0106153986	-0.0702727832	-0.0162500309	0.0834938435	-0.1407128961	0.0415099066	0.0503761042	-0.0648773259	-0.0808719418	-0.0376418236	-0.0066954806	-0.0249617045	-0.1168806699	-0.0114227498	-0.1189985694	-0.0245570967	-0.0177176944	-0.0280093036	0.0040930935	0.179350366	-0.0778804016	-0.0536960241	0.068453123	-0.1644286703	-0.1031817724	-0.0478040064	0.0214959424	0.1307933957	0.0498662981	-0.0041725724	-0.0139302902	-0.1124036631	-0.1094877278	0.0845160274	-0.0732376845	-0.0614262161	0.0620650988	-0.0718662909	0.0328220069	0.1074958293	0.0465010275	-0.0628747123	0.0110071545	-0.0386958238	0.0564122661	0.0344051355	-0.0798897734	-0.0105356579	-0.1000598328	-0.0607467369	-0.1378555205	0.0077446862	0.0493927281	0.1415620737	0.029576561	0.0824311019	0.076704052	0.1829291599	0.0962516311	0.0219873017	-0.0157448411	-0.0004390454	-0.0337530141	0.0181497747	0.0830535395	-0.1364073571	-0.0492501047	0.0052680694	0.2083638027	-0.041153243	0.0952292246	-0.0156027673	0.0565274302	0.0463475693	-0.1325096225	0.0265606966	-0.0637101156	0.0499134292	-0.0745053823	0.1125037874	0.1059762505	0.0953761056	0.104328	0.0409568	0.00167745946624	0.010884331584	-0.127794	-0.0048249999999999	2.328062499999996e-05	0.0163313064359999	-0.0301988	-0.0119975	0.00091196752144	0.00014394000625	-0.00581868	-0.0003485599999999	1.2149407359999964e-07	3.38570369424e-05	0.0011256	0.000662399	1.26697536e-06	4.387724352010001e-07	-0.000718219	0.0001358299999999	1.8449788899972842e-08	5.15838531961e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
