global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
714.219708229923	n/a	510109.79162403627	n/a	763.1119571705872	n/a	n/a	582339.8591767241	671.9206756382692	n/a	n/a	451477.3943501882	671.9474657525946	546.7855049355732	n/a	n/a	n/a	n/a	-0.0369725891	-0.0655116955	0.052016965	-0.1432905286	-0.0210577141	0.014285356	-0.0576671928	0.122881353	-0.0051314342	0.0395230743	-0.0186656455	0.0709826785	0.0465253933	-0.0020821865	-0.0664861447	-0.0905225227	0.1343147926	-0.0570019724	0.0582658004	-0.0462411198	0.0272040312	-0.0168961573	0.1168940365	-0.0605907075	0.0430942313	-0.1406285423	0.0325652307	-0.0922729231	0.0980247397	-0.0478808193	0.1492750014	-0.0218219011	0.1077368767	-0.0028179957	0.0281470409	-0.0623474805	0.0252759603	-0.0246750579	0.0829860751	0.0632019803	-0.0413676777	-0.0895536252	0.0367487371	0.1123380386	-0.0811819723	0.065111468	-0.1401141104	-0.1115849269	0.0071437126	0.0140886365	0.0938719404	-0.1214720821	-0.1365386292	0.0278215983	0.0975523791	-0.1174906536	-0.073556866	0.1184151461	0.0380508397	-0.0180876917	0.0462987373	-0.0229744973	0.0218088	-0.0062912861	0.0891906099	-0.0722895872	0.0433186265	-0.154983771	0.0480977223	-0.0592142885	0.0938283514	-0.0357372157	0.2216129553	0.0351483293	-0.0670271842	0.0225647557	-0.0056434127	0.0237436718	-0.1002491795	0.0838427682	-0.0992034577	0.0734190034	-0.0360165664	0.1606482278	-0.1552165989	0.0040075693	-0.0156063924	0.053420348	0.0835415889	-0.1106842875	0.0160529659	0.0476813368	-0.0545359712	-0.0034351256	-0.0670944924	0.084902162	-0.0088420067	-0.0042076187	-0.0568245066	0.0655057351	0.0233077645	0.0600490935	-0.0563115717	-0.0152951744	0.1427462502	0.1055844903	0.1147017419	0.1146833673	0.1146527451	-0.0284658	n/a	0.00081030176964	n/a	-0.0670317	n/a	0.00449324880489	n/a	-0.060218	n/a	n/a	0.003626207524	-0.00235142	n/a	5.529176016399999e-06	n/a	-0.000218478	n/a	n/a	4.7732636484000004e-08	0.000918529	n/a	n/a	8.436955238409999e-07
714.8860767821906	0.6663685522676133	511062.10277703207	0.4440470474512348	757.2114907338977	-5.9004664366894986	34.81550417049927	573369.2416994516	671.2060957876873	-0.714579850581913	0.5106243628576691	450517.6230225501	670.3661373093972	548.8370618369812	1.032931	21.585373	0.1317648	0.058122	-0.0437546181	-0.0536999583	-0.0732350934	-0.1181886904	-0.0136647396	-0.0496008316	0.0605881448	0.0326163661	0.0905466384	0.0799293222	-0.0148791466	-0.1594543344	-0.094830294	0.0469148335	-0.1020572016	-0.0878657612	0.0104617993	-0.0444688745	0.0479248988	-0.0314880455	-0.1079851168	0.1117435904	0.0746058883	-0.0134378535	-0.036572794	-0.1496978647	0.0613933246	-0.0052557861	-0.0845443648	0.0883383358	0.0562228256	0.1152087451	0.1301902704	0.1220728332	-0.1498502608	0.0370413015	0.137392869	0.0003159369	-0.0055535276	0.0491834965	0.0523250282	0.0298731389	-0.0065258874	0.0671402541	-0.0874252526	-0.018414411	0.0820787124	0.0396350883	-0.1361260828	0.0405335231	0.061107443	-0.0677200737	-0.1376395409	0.1399221238	0.027464457	0.0251336265	-0.0969101618	-0.0913210288	0.0680429335	-0.0068070076	0.1136590016	0.0351956279	0.0241334302	-0.0087628208	0.1039752887	0.1140472853	0.12210921	-0.0172446206	-0.0773563602	-0.0546720175	-0.045808783	0.1154885309	0.0950087543	0.0514947201	-0.0163803313	-0.040706227	-0.0055607964	-0.0493678563	-0.0812595911	0.0355258674	0.0092537013	0.1404452733	0.1145586359	0.0418421154	-0.1904733952	0.0344262673	-0.0156087317	-0.0066714476	-0.1380496955	0.0647191116	0.0842296189	0.008917567	-0.0699426509	0.0380753166	-0.1067597468	0.0526846567	0.0611829591	-0.0479798649	0.1463938548	0.0486097192	0.016668368	0.0093050209	0.0697385552	0.0312499023	-0.066918085	0.1608261176	0.1146527451	0.1144874327	0.1142120884	-0.0473234	-0.0188576	0.00223950418756	0.00035560907776	-0.0790060999999999	-0.0119743999999998	0.0062419638372099	0.0001433862553599	-0.0175641	0.0426539	0.00181935518521	0.00030849760881	-0.00163946	0.00071196	2.6878290916e-06	5.068870416e-07	-0.0	0.000218478	4.7732636484000004e-08	0.0	0.000683389	-0.00023514	5.5290819600000004e-08	4.670205253209999e-07
714.1748363362111	-0.7112404459794561	510045.696855854	0.5058629719970557	758.1296638604153	0.9181731265176722	0.8430418902592374	574760.5872251063	671.590181480853	0.3840856931656162	0.1475218196945119	451033.371861485	671.202826359059	555.8052973886129	0.972121	20.314623	0.0668909399999999	0.0370266	-0.0537363393	0.0034310568	-0.0434531297	-0.1207152299	-0.0357302217	0.0073929464	0.1023708005	0.0421605196	0.0890813107	0.0490695457	0.1052304191	0.0080696826	-0.1053637517	0.1445280013	-0.0764854926	-0.0054843161	-0.0587343534	-0.0287444289	0.0186139717	0.0574690338	-0.0441214905	-0.0281500451	0.2061679004	0.0299043968	-0.089981748	-0.1201759969	-0.0926679498	0.0028044344	0.0080505453	-0.0904914398	-0.1362576099	-0.0062262314	0.167974794	-0.0927975736	0.034963535	-0.0147917271	0.0103609954	0.0536754917	0.0029915775	0.0382676802	0.0132648378	0.0062615874	0.0793466931	0.0303668617	-0.1082494957	0.0850182812	0.0210867632	0.1649833325	0.1054239187	0.0536741759	0.0228564595	0.0750301167	0.0618131441	0.0659995088	-0.0168853868	0.0807106816	-0.051714027	0.0475762518	0.0033796396	0.1040347783	0.0626894331	-0.013815556	0.0579907934	-0.0097342315	-0.0008780889	0.0560622246	-0.0091206108	-0.0334967561	0.0950619272	-0.007784038	0.0950527631	0.1293892053	0.1102823811	0.1539749693	0.0346585662	0.0088332696	0.0949332985	-0.1025400109	-0.0680269986	-0.1116662087	0.0932484461	-0.1425244335	0.128823016	0.0548171266	-0.1670874623	-0.013088644	-0.0001139496	-0.0356127073	0.0739427346	-0.0340934505	0.0121733474	-0.0552340484	0.0885334507	-0.019411591	-0.0989471095	-0.113273799	0.039927486	0.0992392382	-0.0137234771	-0.0959673289	0.1036127626	0.0064247391	-0.1543448033	-0.008955697	-0.0634685798	-0.114732549	0.1145547726	0.1140958982	0.1133324686	-0.0472946	2.8800000000002435e-05	0.00223677918916	8.294400000001402e-10	-0.0518568	0.0271492999999998	0.00268912770624	0.0007370844904899	0.00544744	0.0230115399999999	0.0005295309731715	2.96746025536e-05	-0.0014682	0.0001712599999999	2.15561124e-06	2.9329987599999965e-08	-0.000148009	-0.000148009	2.1906664081e-08	2.1906664081e-08	0.000668632	-1.4757000000000008e-05	2.1776904900000023e-10	4.4706875142399993e-07
712.2236392736836	-1.9511970625275128	507262.5123402502	3.807169976815994	756.8684181356255	-1.2612457247898874	1.5907407783007683	572849.802371124	671.3756590943112	-0.2145223865417165	0.0460198543275536	450745.2756243208	671.8304173998597	555.325629981044	0.984181	20.566639	0.07041384	0.0373769	-0.034555787	0.0724838699	-0.0695949953	-0.1470721094	-0.0184304844	0.0880727281	0.0510316592	0.0199041537	0.0834918293	0.0236194476	0.0367626631	-0.1197080483	-0.0176950088	0.0709862871	-0.0520972459	0.0990608457	0.0791979589	0.0980473851	0.0266174227	-0.0632122417	-0.0961458458	0.1682979467	0.065452491	0.0061103012	0.0625975442	0.0572574467	-0.0010215008	0.0683839504	0.0238522569	-0.0679181633	-0.055286987	-0.0368788831	-0.0072561033	-0.1577144384	-0.0627858436	-0.0635546977	0.0321831043	0.0806823963	0.0700384961	0.0171173355	0.1414001318	0.0580913009	-0.1531949242	-0.0129069293	-0.1170026272	-0.0858655862	0.0738204608	0.0893169465	0.1022098431	0.0103166247	0.0644963001	0.1018630734	0.1536809012	0.0818548352	-0.1007883222	-0.109316082	0.0217963888	-0.1327153226	0.0611806635	0.1271020328	0.0014947586	-0.1077701035	0.0310297634	-0.0348089692	0.038360424	0.0961862005	0.0364079958	0.0461285905	-0.0101732429	-0.1334417562	0.0499998649	0.0857719837	0.0759869702	-0.0842325056	-0.0609143137	-0.0622149975	-0.040079546	0.0953313523	-0.0693274825	-0.0933866416	0.1352972603	-0.0986382876	-0.0629027477	-0.0394529675	-0.0719318867	-0.0016568112	0.0372717318	-0.0449613801	0.1210522751	-0.0840072395	0.0166199371	0.0004771481	-0.0225368051	0.0154350285	0.1230074327	-0.1025665325	0.0939443398	-0.1085171669	0.1193633638	-0.1358711359	0.1001311102	0.0121206124	-0.104385723	0.0245072767	-0.0739980009	-0.1634140268	0.1144078661	0.1135094328	0.1120172664	-0.0473084	-1.3800000000001311e-05	0.00223808471056	1.9044000000003615e-10	-0.0790349999999999	-0.0271781999999998	0.0062465312249999	0.0007386545552399	-0.0108501	-0.01629754	0.0002656098100516	0.00011772467001	-0.00121661	0.00025159	1.4801398920999998e-06	6.329752810000007e-08	-0.0	0.000148009	2.1906664081e-08	0.0	0.000529745	-0.0001388869999999	1.928959876899999e-08	2.80629765025e-07
711.0353888838835	-1.188250389800146	505571.3242452554	1.4119389888601988	756.6392571075875	-0.2291610280379927	0.0525147767714297	572502.9653963218	671.9297377638478	0.5540786695365796	0.3070031720354261	451489.5724913933	672.2574990929112	541.904416614472	1.007843	21.0611	0.0436804399999999	0.0265863	0.0139513176	0.0622352812	-0.0824798575	-0.1264800375	0.0317978366	0.0941674774	0.0687506772	0.0528499558	0.0896916014	-0.025463043	0.0124618889	-0.0352047001	-0.00081097	0.0630331626	-0.0361975073	0.0577486053	-0.0282187211	0.0955611915	-0.0306040019	0.0440473469	-0.0311320844	-0.0920969293	0.0247805002	0.0142900325	-0.0377448453	-0.0106839152	-0.16340425	0.0018231374	0.1048992243	-0.0556189581	0.0751855891	0.0759593947	-0.0216398741	0.012503364	-0.1628260347	-0.06149674	0.0210490643	0.0060932703	-0.0728380631	0.0348762545	0.0159543392	0.1348148706	0.0018486207	-0.2141713119	0.0020921875	-0.0713591874	0.0201545209	-0.0477383296	0.0235747806	-0.0275739447	-0.0893171822	-0.0285121467	-0.0643889286	0.0107763095	-0.0593742643	0.0917740414	-0.1064906112	0.1003213456	-0.0148843846	-0.0123257941	0.0012469031	-0.0921729358	-0.0173040364	-0.0208398093	-0.080166053	0.0364468552	-0.0406515695	0.0355397511	0.0833470162	-0.0208542051	0.070581108	-0.0290842148	0.0349399604	0.0416747532	-0.0106445805	0.0546809523	-0.0290565781	-0.1087489619	0.086038895	-0.0689924242	0.1206166895	-0.017407464	-0.1160444522	0.0350064463	-0.0518573171	-0.0795082672	0.0395727638	0.1038223027	-0.1876378442	0.1508736477	0.0886626584	0.1603141718	-0.0017242087	-0.0310305199	0.1143985261	-0.1588603814	-0.108160572	0.0597592302	0.1701896318	0.0891161887	-0.0260048063	-0.0238700847	-0.0777937237	0.0360261039	0.0596499754	0.0203698522	0.1142120884	0.1127290384	0.1102715368	-0.0473055	2.9000000000001247e-06	0.00223781033025	8.410000000000724e-12	-0.0894774	-0.0104424000000001	0.0080062051107599	0.00010904371776	-0.00954496	0.0013051399999999	1.7033904195999991e-06	9.11062614016e-05	-0.000790275	0.0004263349999999	6.24534575625e-07	1.817615322249999e-07	-0.0	0.0	0.0	0.0	0.00031748	-0.000212265	4.5056430225000003e-08	1.0079355039999998e-07
710.4564030216098	-0.5789858622736119	504748.3005944041	0.3352246287127179	753.444572717549	-3.1946843900384465	10.20600835195532	567678.72415753	672.8987992874668	0.9690615236189616	0.939080236558703	452792.7940825145	672.361404566538	537.6141778840298	0.998067	20.856813	0.19990856	0.117954	0.0306238992	0.0863230693	-0.118717632	-0.0008003735	0.0489812599	0.0915665224	0.0435461651	-0.0265400964	0.1146609217	-0.1285524666	0.0118056593	-0.0835660227	-0.0121400159	0.0913767068	-0.0147924406	0.0436061766	-0.0228779772	0.1094359809	0.0979569287	0.0100908505	0.033632308	-0.1087190242	0.0909690341	-0.0129340958	0.1404826588	-0.1926199544	-0.0549718584	0.0798815794	0.0515315619	0.0655410457	-0.0100224847	-0.1399085602	0.0776573555	0.0638693258	-0.0308266419	-0.056340414	0.0014552136	-0.032079648	0.1332804334	-0.0167322328	0.0637464488	-0.1032114339	0.1695359218	-0.1108289363	-0.0066912977	0.0502715908	-0.127454863	0.0039330315	-0.0387330617	-0.0439216773	0.060738274	0.0327186666	0.049323502	0.0491947956	0.0539994939	0.0711773487	-0.0519426589	0.0039406465	-0.1274082305	0.0731615979	-0.0029640783	-0.0584198732	-0.0068023544	-0.0674706464	-0.0095392877	0.1387301537	-0.0759383261	-0.0396883143	0.1226230139	-0.0976231155	-0.0345233787	0.0233280798	0.0517641473	0.150513142	0.0429171203	0.0395112432	0.0053945322	-0.0267783266	-0.0017345695	0.0666907559	0.1201904224	-0.0131887904	-0.0546074851	-0.0208856488	0.0117648675	-0.0447370519	-0.0089111718	-0.043054496	0.0744924591	-0.049785952	0.130068845	0.0924474441	-0.0208096856	-0.0135994141	0.0610228746	0.0681538882	0.0904487419	0.0326603977	-0.1924779642	-0.0790768081	-0.1016311391	0.0026370474	-0.0478934214	0.0032359421	0.1713944963	0.1399926924	0.1139675232	0.1117560484	0.1081019891	-0.0298778	0.0174277	0.00089268293284	0.00030372472729	-0.01856	0.0709173999999999	0.0003444736	0.0050292776227599	0.0771231	0.08666806	0.0075113526241636	0.00594797255361	-0.000769478	2.0797000000000025e-05	5.92096392484e-07	4.32515209000001e-10	-0.0	0.0	0.0	0.0	0.000794591	0.000477111	2.27634906321e-07	6.31374857281e-07
710.1803875197003	-0.2760155019095691	504356.1828176316	0.0761845572943913	756.1388871564585	2.694314438909487	7.2593302957161425	571746.0166702075	672.5676801558726	-0.3311191315941642	0.1096398793076734	452347.28439025214	672.0907008588066	531.6760066607641	0.962687	20.117474	0.09530075	0.0482596	0.0481481642	0.0630434131	-0.0932316462	0.060097168	0.0512838376	0.023407349	0.0240641139	-0.107056277	-0.0137909462	-0.1036172574	-0.173369342	-0.0062807887	-0.0222640096	0.095802543	-0.0408970305	0.0041047834	0.0340461168	0.0675198763	0.0377157473	-0.0745899777	-0.0296019312	-0.1087875515	-0.0411764796	0.1159919616	0.2072387885	0.0584637069	-0.1341244054	-0.0590969622	-0.121980118	0.233637731	0.0371148225	0.02465424	0.0506519592	-0.0903092968	0.0267458842	0.0607420811	-0.044035915	-0.1362916965	0.0206587048	0.0499715923	0.0613818619	-0.0001927596	0.0551521853	-0.051283188	0.037883526	0.0976426187	-0.0021248062	0.044176902	-0.1385908258	-0.0806697161	0.1402690608	0.0679986974	-0.0254799788	0.082392481	-0.0380165084	-0.0250774512	0.1097963426	-0.0311354211	0.0462697073	-0.0216706384	0.0232837624	-0.0133461114	-0.0065465723	-0.145205364	-0.0144104322	0.1130437353	-0.0756316959	-0.0875441401	-0.0543752006	-0.033054777	-0.0215575743	0.0716892281	0.0100919863	-0.091185379	0.1760982844	-0.0343020094	-0.114198013	-0.0270733727	-0.1070466046	0.1778283857	-0.0418175672	-0.0390072447	0.0443057371	0.0043005213	0.0872663478	0.09152482	-0.013665716	0.0034220177	-0.0826497103	0.0670482496	0.0964263723	-0.0733552285	-0.0924693085	-0.0328062624	-0.1095024553	0.0324359381	0.0556890219	-0.1380348921	-0.0562709036	-0.0637614911	-0.1177121041	-0.0334104947	0.1369866354	0.150536462	0.0714090259	-0.0722149637	0.1136742748	0.110592125	0.105516962	-0.0424406	-0.0125628	0.00180120452836	0.00015782394384	-0.0312363	-0.0126763	0.00097570643769	0.00016068858169	0.0410049	-0.0361182	0.00130452437124	0.0016814018240099	-0.0014127	-0.000643222	1.99572129e-06	4.1373454128400003e-07	-0.0	0.0	0.0	0.0	0.000758944	-3.564699999999998e-05	1.2707086089999983e-09	5.75995995136e-07
710.6638593615461	0.4834718418458124	505043.1210026474	0.2337450218577822	755.5528924008582	-0.585994755600268	0.3433898535910178	570860.1732153029	672.0985979745216	-0.469082181351041	0.2200380928610509	451716.5253993176	671.8422484661754	532.1924173236102	0.91983	19.221888	0.03543845	0.0195234	0.0475769645	0.0326914118	-0.0734394518	0.0694222883	0.0564261956	-0.028192972	-0.0339036096	-0.088327884	0.0361998492	0.0105239467	-0.0961621091	0.0235213872	-0.031849678	0.1057546181	-0.0509536422	0.0104947573	0.0668284787	0.1259993666	0.0232735553	0.1527722999	-0.0600033296	-0.073932911	0.0084351549	0.0018043021	-0.1559807687	0.1619370857	-0.0490653741	-0.0005457971	-0.1308986548	-0.0223052291	0.0714359657	0.0355877854	0.0662996481	-0.0229844827	0.0445046072	0.0072449	-0.0477143244	0.0599250567	0.0258691506	-0.1859762376	-0.0048259779	-0.0817816785	-0.0558016876	0.0020682611	-0.0451665008	0.1529179324	0.0368836262	-0.0380331693	-0.0272644363	0.0818019013	0.0353660192	-0.0057406522	0.0246453551	0.0430249641	-0.0622365457	0.0010692694	0.0553334253	-0.1352805118	0.0472915042	0.0217666874	0.0564284746	0.0120050594	-0.033516627	-0.0700152616	0.0151577834	0.0110062319	-0.0397113959	-0.0386182351	0.03934223	0.0869173068	0.1836509308	0.0465025436	-0.152806911	-0.0226643479	0.0593754488	0.0757882149	-0.1050125904	-0.0874744963	0.0131970267	-0.0308989321	-0.0771374716	0.0390154322	-0.027063218	0.0283242345	-0.0408325268	0.0167341594	-0.0064342071	-0.0603935791	0.0670080634	-0.0318009052	0.0224557605	-0.0093239958	0.2133820644	0.0403335407	-0.0471763398	-0.0201087598	0.0526534644	-0.1477190071	0.0810088005	-0.0393741431	0.022597332	-0.0543679823	-0.0124929711	-0.0863436925	0.0219707852	-0.0526308909	0.1133324686	0.1092392569	0.1025263906	-0.047547	-0.0051063999999999	0.002260717209	2.607532095999997e-05	-0.0364011	-0.0051647999999999	0.0013250400812099	2.667515903999997e-05	0.0265858	-0.0144190999999999	0.0002079104448099	0.00070680476164	-0.0013708	4.19000000000001e-05	1.87909264e-06	1.755610000000008e-09	1.27043e-22	1.27043e-22	1.6139923848999998e-44	1.6139923848999998e-44	0.000585881	-0.000173063	2.9950801968999995e-08	3.432565461610001e-07
710.5926620345874	-0.0711973269586678	504941.9313374014	0.0050690593660594	756.4288265055275	0.875934104669227	0.7672605557226804	572184.5695685294	672.9474691515657	0.8488711770440887	0.7205822752162165	452858.2962374974	672.7675467572817	534.8201365390111	0.8750259999999999	18.285608	0.09747791	0.0472815	0.0447422373	0.053771968	-0.0448127988	0.0446601656	0.076594886	0.0222477449	-0.073793697	-0.0378498369	0.0027151042	-0.0110000684	0.0192722473	0.014045862	0.1118649758	0.0834082176	-0.0271083545	-0.000837502	0.0561292604	0.110182729	-0.029518597	0.0939233105	-0.1337180881	-0.0774394492	-0.1120720976	-0.0194687691	0.1043071983	0.0185662917	-0.0114742874	0.0043298398	0.1033237451	-0.0775365268	-0.0615331871	-0.1786057496	-0.0004206144	0.0347905501	0.0466828028	-0.0619022639	-0.029051198	-0.0076486836	-0.2036531743	-0.018648522	0.0084862736	-0.125281939	-0.0464825206	0.0398075271	-0.1415399496	-0.0974333952	-0.0133319068	-0.0619824526	0.0172829739	-0.0288221901	-0.0110473836	0.0116812279	0.0526307369	-0.1239282853	-0.0263514189	0.0962515615	-0.0180715755	-0.0010217965	0.1697668326	0.1005736479	0.0260954373	-0.0079076313	-0.0259322393	-0.0621334015	0.0706753102	-0.0262525788	-0.1359444023	0.0480435182	-0.0450536751	0.0275789816	0.1365197437	0.0008322282	0.0242174979	-0.0090858895	0.0108222035	-0.1117923466	-0.0856364402	-0.0684785134	0.1374047279	-0.0129806777	0.1556070568	0.0158134009	-0.133368775	0.0420828072	0.0620719796	0.044485571	-0.1463139922	0.0040033581	0.0444137573	-0.0973988311	-0.0552812306	0.0593207455	0.029904018	-0.0139148251	0.1534509121	0.0199805721	0.0452330173	0.0847070304	0.0353084635	-0.1081483079	0.0668149913	0.0401645051	-0.00110072	0.0845379609	0.0257330198	-0.0410659247	0.1129422506	0.1076997553	0.099141769	-0.0298936	0.0176534	0.0008936273209599	0.00031164253156	-0.018582	0.0178190999999999	0.000345290724	0.0003175203248099	-0.00582731	-0.03241311	0.0010506096998721	3.3957541836099995e-05	-0.0013436	2.720000000000001e-05	1.80526096e-06	7.398400000000005e-10	-0.0004799	-0.0004799	2.3030401e-07	2.3030401e-07	0.000670627	8.474600000000002e-05	7.181884516000003e-09	4.497405731290001e-07
710.6075614427726	0.0148994081852151	504963.1063796439	0.0002219923642696	755.7973435725519	-0.6314829329755867	0.3987706946394492	571229.624551326	672.1366823384833	-0.810786813082359	0.6573752562682481	451767.7197449832	672.4687504548466	527.2764905817482	0.997258	20.839916	0.06706549	0.0340725	0.0610121549	-0.0310602396	0.0278204517	-0.0501442289	0.0902950894	0.029339792	0.0216858347	0.0570888743	-0.0418858637	0.0013353004	-0.0248983285	0.0459994352	0.070682709	0.0418423765	-0.0542150923	0.0342193716	0.0390982053	-0.0223219354	-0.1488203037	-0.1591268375	-0.0481341938	-0.0013132933	-0.02452211	0.1231999596	-0.004616734	0.0179034807	-0.1414110701	-0.0690446194	0.0335307581	-0.164695389	-0.0543140318	-0.0289256813	0.0461745637	0.0933831223	-0.0535972886	-0.1333071659	-0.0259921026	0.044295655	-0.054047603	0.140157021	-0.1113984919	0.1073651676	-0.0094473117	0.0282847975	0.0211578748	0.0428338417	0.0712748159	-0.129208288	-0.0221479175	-0.2325708188	-0.0326234838	0.1122470098	-0.0813286874	0.0482564238	0.0174627581	-0.0618904503	0.0383244312	-0.0269511103	0.0299400943	0.0638304516	0.0314213469	-0.0604999655	-3.08084e-05	-0.0376254836	-0.0199874955	-0.1588468688	0.0563137706	0.0333185796	-0.0760131175	-0.0813271493	0.0067659111	-0.1286818557	0.1036953546	0.0014778726	0.0537893932	-0.0550047748	-0.0766207708	-0.0625767051	0.0475986482	-0.1291667181	0.1704374241	-0.140727232	0.0181602756	0.0718327916	0.0720153907	0.071148534	0.0777536383	0.1032775068	-0.0710411674	-0.0399681337	0.0215058314	-0.0518923034	-0.0359163519	-0.0562891346	-0.0635844231	0.0722280936	0.0928825976	0.0884475431	-0.0361470602	0.0380464406	-0.112080264	-0.0863479524	0.0216331063	-0.009469888	-0.1185094045	-0.0652185478	0.1125037874	0.1059762505	0.0953761056	-0.0106553	0.0192383	0.0001135354180899	0.0003701121868899	-0.0290031	-0.0104210999999999	0.00084117980961	0.0001085993252099	-0.0276468	-0.02181949	0.0004760901438601	0.00076434555024	-0.0013436	0.0	1.80526096e-06	0.0	-0.000791632	-0.000311732	9.7176839824e-08	6.266812234240001e-07	0.000670627	0.0	0.0	4.497405731290001e-07
