global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20
814.6651435065892	n/a	n/a	663679.2960446115	944.0968154470952	n/a	n/a	891318.7969373466	761.988700744783	n/a	580626.7800627225	n/a	795.0601583175882	741.1662228118746	n/a	n/a	n/a	n/a	-0.0965096775	-0.109168718	-0.0491378788	0.1183409074	-0.0391481318	0.0076053189	-0.0637964121	0.2134826983	0.017993921	-0.0687085134	0.0388296926	-0.0375433307	0.0397816515	-0.1860152268	-0.002003183	0.0016026332	-0.0495070153	0.0415437665	-0.1100838759	0.0438302812	-0.056912226	0.0737107824	-0.0921881147	0.0540393438	0.0754028999	-0.0585983583	0.0971048043	-0.0996580115	0.0219155614	-0.10055494	0.0487046118	-0.0623526609	0.0074502083	-0.0567310043	0.0839206471	-0.0297980465	0.0099960173	-0.0970509	0.1232309502	-0.092218124	-0.0358168453	0.1432748647	0.0219307424	-0.0555639729	-0.0292204384	0.064848899	-0.0154637853	-0.1892999446	0.0214271505	0.0732520863	-0.0379165166	-0.080234812	0.0842808495	0.0778549359	-0.0979459895	-0.0108975117	-0.0269629609	-0.0085511677	-0.0609958315	-0.1644544878	0.0279635653	-0.103070339	0.0048387971	-0.0855391006	0.0358201368	-0.0580139137	0.1190849171	-0.0910160409	0.1170099958	-0.1291233487	0.0714547027	-0.1372537202	0.0053960969	-0.1759134912	0.0100656369	-0.0018174744	0.1156494124	-0.1656695994	0.1504612568	-0.0480254863	0.1168029301	-0.0615356278	0.213520125	-0.0064110394	0.0336253484	-0.1096946749	0.0896750087	-0.2119960174	-0.0250781196	0.0363763766	0.188053469	-0.0870759527	0.0136199049	0.286293548	-0.0076978854	-0.086262004	0.0616116401	0.1147017419	0.1146833673	0.1146527451	0.0317881	n/a	n/a	0.00101048330161	-0.174568	n/a	0.030473986624	n/a	-0.146804	n/a	n/a	0.0215514144159999	-0.00330478	n/a	1.09215708484e-05	n/a	-0.00160387	n/a	n/a	2.5723989769000003e-06	-0.000549337	n/a	3.01771139569e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
811.3169435552825	-3.3481999513066967	11.210442913930166	658235.1828998855	945.4214433499164	1.3246279028212484	1.7546390809326189	893821.7055458393	762.4308086330591	0.4421078882760412	581300.7379528604	0.1954593848759005	795.5865522468599	745.6877823326588	1.411349	33.747833	0.45100915	0.284352	-0.1040957577	-0.1394260615	-0.1084029551	0.1313462053	0.1377079047	0.1322133257	-0.1078289627	0.097351091	0.0383004033	-0.1764753619	0.1546731583	0.0261154024	0.0399299142	-0.206749371	0.0082437467	-0.0978866606	0.0645167033	-0.1577141376	0.0066957345	-0.0039374754	-0.0346952411	0.0127626158	0.0474976591	-0.0999776751	0.1334330372	-0.0076457393	-0.0514016889	0.0325367954	-0.1507862713	-0.0095545862	-0.0123463162	-0.0055888878	-0.0151991367	0.0179407163	0.0007978457	-0.0002276387	-0.0907217444	-0.1302483657	0.0898599582	-0.1130330796	0.0292256761	-0.0201567636	0.0081984032	-0.0217526723	-0.0640346173	0.0368287739	-0.0662665351	-0.0053938124	-0.0311637694	0.0758521865	0.0507399633	0.0319911675	0.0762799288	0.1213157774	0.0096780015	-0.1289018198	0.0771885896	0.0694310741	-0.0594479903	-0.2270109933	-0.1173081836	0.0231127341	-0.0822827397	0.0756559408	-0.0129501294	-0.0045426547	-0.0094262155	0.1185146249	0.0106587822	-0.0697888208	-0.0578371795	-0.1827823419	-0.0679376929	-0.0840079267	-0.0238892001	-0.0304821754	0.0787550232	0.0611761016	-0.1616615282	-0.0015558224	0.0998433947	0.0094070418	0.1226829572	-0.1514132904	0.0882811844	0.0057586777	-0.2281070492	0.0406578163	0.0348163226	0.0449894512	0.1952118901	-0.0453252456	-0.0721083343	0.0581254893	0.0709891942	-0.0406512093	-0.0432913545	0.1146527451	0.1144874327	0.1142120884	0.0480048	0.0162167	0.00026298135889	0.00230446082304	0.0441603	0.2187283	0.00195013209609	0.0478420692208899	0.0324078	0.1792117999999999	0.0321168692592399	0.00105026550084	-0.00364939	-0.00034461	1.3318047372100002e-05	1.1875605210000028e-07	-0.00131302	0.00029085	8.459372250000005e-08	1.7240215204e-06	-0.00044775	0.0001015869999999	2.0048006250000002e-07	1.0319918568999998e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
805.0225060185405	-6.2944375367419525	39.6199439039461	648061.2351963711	940.7359238648988	-4.685519485017608	21.954092844479668	884984.0784499447	760.2999294079847	-2.130879225074409	578055.9826577865	4.540646271853714	795.0941018053657	706.2394646909654	1.267231	30.30171	0.27109395	0.148378	-0.0173361906	-0.132262875	-0.1618329076	-0.0891117554	0.1199385369	-0.0289126695	-0.1728791564	-0.1222533763	-0.1620086498	0.0714801923	0.0055357304	0.0168461474	-0.0033634374	-0.1283815222	0.078099692	-0.0518210485	0.0682254091	0.0203732764	0.1315562782	-0.0994978493	-0.0339613383	0.0623864646	0.0621245067	-0.063537037	0.1114231733	0.0308248682	0.053847626	-0.0249258937	-0.1373664888	-0.0656794297	0.0133814737	-0.0557924788	0.0032732038	-0.0747045025	0.1110256986	0.0660098179	0.0023654804	0.0085026235	-0.0101005923	-0.020773829	-0.1050863762	0.0313200172	-0.1369602415	-0.0199927596	0.0907276809	-0.0528662428	0.1440011669	0.0226367039	0.0053077164	-0.003978117	-0.0277141868	0.1146422608	-0.0823581216	-0.0017132261	-0.1061941462	0.0277426564	0.0792296836	0.1550661098	-0.1488879598	-0.0816107461	-0.087095129	0.1329850156	0.0995027378	0.0560828562	-0.0614721471	-0.0462682391	-0.0946003287	0.0168534125	0.0467818224	-0.16360989	-0.0143571186	-0.0168288196	0.0748949498	0.0019553219	0.0480889961	0.1429109321	0.1085448371	0.0294955358	-0.0123185498	0.1357267317	-0.1184936968	-0.1018133917	0.0236371717	-0.0006563715	-0.0143669616	-0.0265247665	-0.0280956741	-0.1059475366	-0.1318568841	0.0581389578	-0.1148481483	-0.0148628351	-0.1035218312	-0.0294706405	-0.0651955349	0.0183988609	-0.1004464001	0.1145547726	0.1140958982	0.1133324686	0.0525065	0.0045016999999999	2.0265302889999977e-05	0.00275693254225	-0.0749198999999999	-0.1190801999999999	0.0056129914160099	0.0141800940320399	-0.0409659	-0.0733737	0.00538369985169	0.00167820496281	-0.00274067	0.00090872	7.511272048900001e-06	8.257720384e-07	-0.00164177	-0.00032875	1.0807656250000005e-07	2.6954087329000004e-06	-0.000202453	0.000245297	4.0987217209e-08	6.0170618209e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
800.2635556765534	-4.758950341987088	22.64760835749902	640421.7585440802	935.2924114780554	-5.443512386843395	29.631827105717477	874771.8949684362	757.3699483807374	-2.9299810272473223	573609.2387102408	8.584788820029274	791.2041091396026	666.4210703096466	1.110953	26.564833	0.1159001399999999	0.0514053	0.0631283482	-0.1219028308	-0.099142685	-0.1287361215	0.1112875411	-0.16623041	-0.0060085702	-0.075790234	0.0070170735	-0.0333405492	-0.0272207443	0.1606527532	0.1006514591	0.0063509485	0.1016791199	-0.0557154231	0.0347748274	-0.022663515	0.0042884606	-0.0123656222	0.0845790839	0.1761343215	0.1756144748	-0.0627521137	-0.0041358759	-0.0089653107	0.0112639939	-0.0588315799	-0.1274002485	0.0047163709	0.0036386577	0.1297862866	0.0584846807	-0.0248891591	0.0023126744	-0.072947884	0.0218823155	-0.0530882641	-0.0317247586	0.0534784632	0.0669759626	-0.0658966627	0.0907002289	0.0164641584	-0.0631678564	0.0431699911	0.1111048615	0.0063893728	0.1335154628	0.0046506576	-0.088382724	-0.0514871941	-0.0602242963	-0.0240688227	-0.0568173746	-0.1419304471	0.1197878121	0.0335413931	-0.069548424	0.0233930007	-0.0766486567	0.0659490967	0.0937381476	0.1296458614	0.083355304	0.0976030313	0.144547341	0.0748234533	0.0313245884	-0.1762071113	0.0163061876	0.056551834	-0.0326689661	0.0399932113	0.0151118724	0.0427013375	-0.1075815169	-0.0697930238	0.0271325867	0.11963451	-0.0753709109	-0.0714383702	0.069048759	-0.0630765335	-0.0717697464	-0.076841769	-0.0078489222	0.0011609588	-0.0141810198	-0.0947366494	0.0619382572	-0.0659281632	-0.0559404899	-0.078558695	0.0932308948	0.0766444952	0.0066397666	0.1144078661	0.1135094328	0.1120172664	0.031031	-0.0214754999999999	0.0004611971002499	0.000962922961	-0.0953253	-0.0204054000000001	0.00908691282009	0.00041638034916	-0.00115471	0.0398111899999999	0.001584930849216	1.3333551841e-06	-0.00250284	0.00023783	6.264208065600001e-06	5.656310890000004e-08	-0.0019911	-0.0003493299999999	1.2203144889999993e-07	3.96447921e-06	-0.000105452	9.7001e-05	1.1120124304000002e-08	9.409194001000001e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
798.6308824041057	-1.6326732724477324	2.665622014565188	637811.2863295606	936.569604182924	1.2771927048685257	1.6312212053693809	877162.6234793589	757.6703848035013	0.3004364227639371	574064.4120082858	0.0902620441231911	790.6593491447267	645.0838695117735	1.128475	26.983818	0.28699006	0.166304	0.1135708121	-0.0304440145	0.0224297048	-0.1159594299	0.1124810314	-0.0929903041	-0.1046230945	-0.006070933	0.0649196506	0.0339263038	-0.0505589595	-0.0775133862	0.028322382	5.6746e-06	0.0486309359	-0.1184979615	-0.0090586944	0.0114355713	0.0896191457	-0.1575535802	-0.0729604778	-0.0118967712	-0.0248430995	-0.0296852916	0.1049324839	0.0311845495	-0.0799114221	-0.0226557046	-0.049098994	-0.1125402814	0.0260974488	-0.0372474767	0.0055574472	0.0709675904	0.0506993676	-0.1240600586	-0.1134583164	-0.0584648711	0.0617138056	0.0480561938	-0.0134246902	0.0122987009	0.0822501771	0.0422793421	-0.0582839381	0.1182888441	-0.1497291688	0.0714355707	0.0825295223	-0.0509698256	0.0041435276	0.0563157634	-0.0195361388	-0.0501672286	0.0244860807	-0.0118582394	0.0768261539	-0.1216125797	0.0108225115	0.010027965	-0.1517735052	0.0376636883	0.1013935138	0.056952696	-0.086074876	-0.0598007269	-0.0448053641	-0.0288090878	0.0387893515	-0.0711170977	0.0550338141	-0.02861556	-0.0051791136	0.0139252677	0.0915362419	0.0616339729	0.0464048751	0.0375088184	0.044318601	0.111577898	0.107084497	0.0660782285	0.0340133785	-0.0541051189	0.0172684188	0.0294353087	0.0062870102	0.0459164386	0.0363393201	0.0600919246	0.0727585844	0.0160226553	-0.0361218522	-0.024024313	-0.0121397241	0.0857762093	0.0435653008	0.1142120884	0.1127290384	0.1102715368	0.0402316	0.0092006	8.465104036e-05	0.00161858163856	0.0376352	0.1329605	0.00141640827904	0.01767849456025	0.0920268	0.09318151	0.0086827938058801	0.00846893191824	-0.00291877	-0.0004159299999999	8.519218312899999e-06	1.7299776489999973e-07	-0.0013912	0.0005999	3.5988001e-07	1.93543744e-06	-0.000122571	-1.7118999999999997e-05	1.5023650041e-08	2.9306016099999985e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
798.3365848322504	-0.2942975718552816	0.0866110607999146	637341.3026816209	936.1316910600088	-0.4379131229151198	0.1917679032212728	876342.5430068718	756.0858660920993	-1.5845187114019836	571665.83690424	2.5106995467830027	789.5719281339011	631.205826193385	1.024686	24.502035	0.2596914299999999	0.161259	0.1309904288	-0.0195263193	0.024734801	-0.1417793845	-0.0008368361	-0.0599454205	-0.0121163803	0.0036725685	0.1064798183	0.0207071791	0.0138974616	0.0211057207	-0.0342681203	0.0541886625	0.0869431005	-0.0297802346	-0.0744949432	0.0682873384	-0.0065849607	-0.0818507472	0.084055829	-0.0351334588	0.0387337636	0.0587271601	-0.0120439067	0.0889596728	-0.0123392979	-0.0505522225	0.0583165202	-0.0732194504	0.0617297251	0.0815588924	-0.0347634228	0.017950827	-0.0636600648	0.0264085152	0.1632284092	-0.0094839312	-0.090871831	-0.0777333644	-0.0842046476	-0.0322730807	0.0020040465	0.0080261619	-0.0616399416	-0.0742488948	-0.0009963552	0.0221043869	0.0296203381	0.0602198049	-0.095407422	0.0060964956	-0.1949801521	0.1071767692	-0.0352265958	-0.0980592096	0.0722962549	0.1282880881	-0.0306219117	0.0954623634	-0.0519765028	-0.0319099708	0.0842371577	0.0511217783	-0.0056401718	-0.099830827	0.1113213335	0.0373033748	0.0272253675	-0.0402780824	-0.0216427073	0.0490379017	-0.0451754039	0.0249135967	0.0936474169	0.0683465653	-0.0277668305	-0.1023719763	-0.0698212987	-0.0705812088	0.0069040161	-0.102637146	0.0149263397	-0.0191248487	-0.0332795812	0.0256336635	0.0667898581	0.0239105213	0.0593460453	-0.0915941319	-0.0566584455	0.0739815486	0.0213300344	-0.0881712609	-0.011034185	0.0228960269	0.0623454791	0.1139675232	0.1117560484	0.1081019891	0.0631341	0.0229025	0.00052452450625	0.00398591458281	-0.0884126999999999	-0.1260478999999999	0.0078168055212899	0.0158880730944099	-0.00525803	-0.09728483	0.0094643381481289	2.7646879480900005e-05	-0.00284018	7.858999999999991e-05	8.0666224324e-06	6.176388099999986e-09	-0.00157626	-0.0001850599999999	3.4247203599999974e-08	2.4845955876e-06	-0.000117097	5.474000000000009e-06	1.3711707408999998e-08	2.9964676000000094e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
799.8163710332616	1.4797862010111658	2.1897672007030584	639706.227372816	936.5555892380744	0.4238981780655422	0.1796896653672861	877136.3717330768	756.8812815577966	0.7954154656972605	572869.2743725725	0.6326857630703898	789.245521918174	639.7115474459355	0.849558	20.314407	0.238612765	0.139829	0.1135120836	0.0064359935	0.0978818212	-0.0311121349	0.0827254236	-0.0795397027	-0.0392381269	0.0468186127	0.060740669	-0.0727495627	0.0595492209	-0.0232519467	0.0152671275	0.0272036218	0.0628660042	-0.0909856663	-0.1336896472	0.0416145295	0.0055616862	-0.0563632505	-0.0237111601	0.0432047753	-0.0784738086	0.0531098647	-0.1081980214	-0.0286766101	0.0268818774	0.0386267915	-0.0105058274	0.0885696928	0.1218687469	0.2086757989	0.0586276544	0.0366328842	0.1131671784	-0.0187955698	-0.0989291913	0.0434810664	0.0352406614	0.0109112772	-0.0241738897	0.1107148308	-0.0144241144	0.122154175	0.0101911989	-0.0205251131	-0.064333161	0.0057845248	0.0101570517	0.0949231313	0.0074817273	0.0828674261	-0.0121863436	-0.0175776185	0.0028734088	0.0173872972	0.0377860137	-0.1053158896	0.0328735059	0.0474198363	-0.107095931	-0.100099571	0.0953325307	0.0272392943	0.0060553582	-0.0718370901	0.0158109254	-0.0199610081	0.0737839891	0.0288607399	-0.0472933082	-0.0029449545	-0.1286340383	0.0318435173	0.0937025181	-0.0636228025	0.0144659469	-0.0889128328	-0.0784815965	-0.0108238298	-0.029891167	0.0436938649	-0.1445281188	-0.0589031487	-0.0829738189	-0.0622144267	0.0668446029	0.0030165287	0.0253191249	0.0890645488	-0.0478933467	0.0435982055	-0.1380125277	-0.0048812446	0.0444646478	0.0116207833	-0.033502271	0.1136742748	0.110592125	0.105516962	0.0536477	-0.0094863999999999	8.999178495999998e-05	0.00287807571529	0.0195451	0.1079577999999999	0.00038201093401	0.0116548865808399	0.0765519	0.08180993	0.0066928646466049	0.00586019339361	-0.00342946	-0.00058928	1.17611958916e-05	3.472509184000003e-07	-0.00159918	-2.292000000000006e-05	5.253264000000027e-10	2.5573766724e-06	5.78757e-05	0.0001749726999999	3.3495966504899997e-09	3.061544574529e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
799.9169854249502	0.100614391688623	0.0101232558148716	639867.18357134	941.0177320636434	4.462142825569003	19.91071859577693	885514.372058203	756.9596540812237	0.0783725234271059	572987.9179067658	0.0061422524283322	790.6394538230478	654.3239902539992	0.856178	20.472725	0.239865085	0.121186	0.0967051501	-0.0163432658	0.0524777178	-0.0942460054	0.0190910416	0.0352087231	-0.0169540476	0.0996782431	0.102610628	0.0258799594	0.0868825282	-0.030573843	-0.0183685342	0.0200397367	0.0799359028	-0.0071964731	-0.0921098771	0.1540089685	-0.0328809871	0.0155484356	-0.0433035286	0.0001878987	-0.0430526291	0.0008338945	-0.0169494897	0.0027716038	-0.1384734129	0.0322246805	0.0189680332	-0.0761274136	0.0237563543	-0.0672034067	0.0807414815	0.0617672721	0.0459692083	-0.0390312275	0.0153718379	-0.034250458	0.0907885892	0.1451653759	-0.1150830357	-0.0144634002	0.0163199285	-0.0636775127	0.0743661979	-0.0246208898	0.1464484407	0.1845154904	-0.1381970772	-0.0075096937	0.0367525209	-0.0086339648	0.0736620842	-0.0062460845	0.0220931531	-0.1323141272	-0.1130022266	-0.1908656622	-0.0310161125	0.0721101523	-0.0329155694	-0.0517421918	0.0671050703	-0.0201171812	-0.0300984981	-0.1216879444	0.0416359224	-0.0115424901	-0.0759513991	0.0033099839	0.0081407359	-0.0462518643	-0.0580482115	0.0458014652	0.0975637783	0.0250643841	-0.0148953178	-0.0635206296	0.0621248807	-0.0223652523	-0.0203562246	-0.0057702462	-0.1068335483	0.0480162119	0.0673876643	0.0041953059	0.0545639558	0.1056537136	0.0201812221	0.0601456742	0.0538214242	-0.153482361	0.0496556251	0.1423506491	-0.0810230625	-0.0582671612	-0.0164778765	0.1133324686	0.1092392569	0.1025263906	0.0353305	-0.0183172	0.0003355198158399	0.00124824423025	-0.043011	-0.0625561	0.001849946121	0.00391326564721	-0.0075778499999999	-0.0841297499999999	0.0070778148350624	5.742381062249848e-05	-0.00258432	0.0008451399999999	6.678709862400001e-06	7.142616195999998e-07	-0.00125129	0.00034789	1.210274521e-07	1.5657266641e-06	-0.000246335	-0.0003042107	6.0680932225e-08	9.254414999448998e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
798.620743206798	-1.2962422181522015	1.6802438881201396	637795.0914801784	942.0470758592108	1.0293437955674565	1.0595486494732171	887452.6931348897	756.1975671370869	-0.7620869441367404	571834.7605440491	0.5807765104236753	790.0917102795554	651.7404489344506	0.889725	21.274891	0.13209285	0.0572824	0.1042141263	-0.0052512658	0.068293195	-0.0838649668	0.029894217	-0.0111011084	0.0882253313	0.0339489264	0.056152242	-0.0194091765	0.0494595073	0.0685790456	0.0137373433	0.0582910185	0.07875666	0.044709936	-0.0234120119	0.0197782666	-0.0330605528	-0.0290602464	0.0685462003	-0.041337631	0.0045985575	0.0204083072	0.1517879463	0.068422429	0.0405090832	-0.0686796622	0.0078842119	0.0467269857	0.0289886969	0.0449091071	0.0870210819	-0.0353323831	0.1154268747	0.0884765858	0.0876069258	0.0893375404	-0.074195901	0.0483540469	-0.1796207037	-0.1799744504	-0.0339559629	-0.1206495652	0.0409765236	0.0131771358	-0.0483536363	-0.0244233903	-0.0360452497	0.1218577805	0.0713061333	-0.0610365102	0.0130522763	0.0713311464	0.1227477853	-0.034920946	0.1360684569	0.0768945242	-0.0176551571	0.0957828234	-0.037043936	-0.0402427949	-0.034405033	0.0280883576	0.0057080726	-0.0173260974	0.0859686009	-0.0204547923	0.0115648834	0.0120300197	-0.0178724948	-0.0123455866	0.0124061291	0.0098366151	0.0393559137	0.0721137908	0.2035756311	-0.1432751313	-0.0742900223	0.0394818172	-0.0284451632	-0.0444637643	-0.0900331114	0.0406116208	-0.0237060781	0.0778345112	-0.0512228962	0.0229573831	-0.0625006893	0.0163163412	-0.0372362036	-0.0044270223	0.1345609872	-0.1104117715	-0.0663959854	-0.0255043526	-0.0609629231	0.1129422506	0.1076997553	0.099141769	0.0106152	-0.0247153	0.00061084605409	0.00011268247104	-0.0738513999999999	-0.0308403999999999	0.0054540292819599	0.0009511302721599	-0.0238778	-0.0162999500000001	0.0002656883700025	0.00057014933284	-0.00196335	0.00062097	3.8547432225e-06	3.8560374090000027e-07	-0.00154892	-0.00029763	8.858361690000008e-08	2.3991531664000003e-06	-0.000532479	-0.000286144	2.83533885441e-07	8.1878388736e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
799.1589413063276	0.538198099529609	0.2896571943372829	638655.0134698504	944.3005711837544	2.2534953245435645	5.078241177739705	891703.5687379648	756.2073889513953	0.0098218143083386	571849.6151046868	9.646803630748516e-05	789.9765063219216	646.4869322648905	1.000214	23.91687	0.29217125	0.148234	0.1111345085	0.0373972557	0.1202070234	-0.0209328488	0.0980594097	0.0981630018	0.0206737962	0.0633081884	0.0475228954	-0.0424509493	0.0470926269	-0.0381052215	0.0296826923	0.0624797166	0.0875844854	-0.0627128873	-0.1001985635	-0.0365199108	-0.1007025164	-0.12688148	0.0185417923	0.0367841108	0.06863461	0.061031928	-0.0314458372	-0.0681869712	0.097089951	0.0440052893	0.0567389802	0.0610712944	-0.0496324982	0.1079302048	-0.0968976818	-0.1594930333	0.0562036242	0.0874799044	-0.0094217926	0.093148635	-0.0296701576	-0.0459435333	-0.0439561826	-0.0821946496	-0.1088709102	-0.0009951745	-0.001453062	-0.0800023037	-0.1285270241	0.0136836711	0.0210059111	0.0489387824	-0.0845375303	-0.0391612708	-0.0981920832	0.0270574016	-0.0777872113	0.0308546503	-0.0873858737	-0.0351484959	0.0392385398	0.0627366078	-0.1115463009	-0.0576545256	-0.065588452	0.005026478	-0.0708584262	-0.0467373448	0.0493960987	0.0180753624	-0.0044558284	-0.0261480556	-0.0869326921	0.0258868814	-0.0932508799	0.0278660357	-0.031610569	-0.065848532	0.1267356665	-0.1222441568	-0.0784458832	-0.1630747312	-0.0608299748	-0.0985141429	-0.0895126185	-0.0588246147	0.0585998569	-0.0116538204	0.0158032537	-0.067582604	0.0185241131	-0.0855676211	-0.1278487286	0.1361014681	0.0812182561	-0.0303628119	0.0212450956	0.0176221436	0.0207838965	0.1125037874	0.1059762505	0.0953761056	0.0379748	0.0273596	0.00074854771216	0.00144208543504	0.0312606	0.1051119999999999	0.00097722511236	0.0110485325439999	0.0648954	0.0887732	0.00788068103824	0.00421141294116	-0.00252612	-0.00056277	6.381282254400001e-06	3.167100729000002e-07	-0.0007450319999999	0.0008038880000001	6.462359165441609e-07	5.55072681023851e-07	-0.000480608	5.187099999999999e-05	2.30984049664e-07	2.690600640999999e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
