global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
763.0423818791593	n/a	582233.6765438208	n/a	842.672984458826	n/a	n/a	710097.7587367449	722.7471387519776	n/a	522363.4265741703	n/a	725.0835641523303	536.1511013411941	n/a	n/a	n/a	n/a	-0.0331559365	-0.1312091116	0.1323918249	-0.0111181755	0.1096003952	0.0496355261	-0.0982091127	0.0334321609	-0.0092697356	0.0504307782	-0.0735201037	0.1137499412	-0.0261511725	0.0253687248	-0.2210869691	0.0441643545	-0.0976628744	0.1583522875	0.0836545507	-0.0069677254	0.0407784837	-0.0039574978	0.1010494567	-0.0312379205	0.1035241725	-0.0619034974	-0.1576679369	0.0012116588	-0.0594550227	0.0413292035	-0.0475123165	0.089947054	-0.0580281313	0.0204171054	-0.0779381187	0.0006335312	-0.0746894913	0.018180454	-0.018667422	0.0184679808	-0.0171548225	0.01587848	0.0558817778	-0.0694566443	0.1084932144	-0.0738989834	0.0573211358	0.047177222	-0.0249509609	-0.0397764017	-0.0225997066	0.0526868847	0.0497859183	-0.0652912315	-0.0386248666	0.0467103642	0.0597176947	-0.0001371398	-0.050695224	0.0283512209	0.0054281217	0.1145805759	-0.0046687461	-0.0968893008	-0.0497040637	0.0512424582	0.0821677611	-0.0916413676	0.02512576	-0.0420086062	0.0017036781	-0.0295576999	0.0007176399	-0.0880565087	0.0407204482	-0.0339281651	0.1269090553	0.0001638966	0.1027124932	0.1460456038	-0.1116818571	0.0744681726	-0.0749335738	0.0127085895	-0.0274348153	0.1153368503	-0.0103597398	0.0064451758	-0.0844466173	0.0299271103	-0.0374580435	0.0787568471	-0.0298454527	0.0599048464	-0.1003017193	0.0422548998	0.0242725823	0.027089418	-0.0133350753	-0.0154970912	-0.0143910231	0.0447374291	0.0004171566	0.0568941145	-0.0460945892	-0.0069916042	0.0358319428	-0.0018039577	-0.0096197611	-0.0812460644	0.0476689565	0.0804601344	-0.0037485041	-0.0151631634	-0.0332341476	-0.0784036653	0.0066522111	0.1147017419	0.1146833673	0.1146527451	-0.0301461	n/a	0.0009087873452099	n/a	-0.00296119	n/a	n/a	8.7686462161e-06	-0.0063765	n/a	n/a	4.065975225e-05	-0.000940168	n/a	8.839158682240001e-07	n/a	-0.00160394	n/a	n/a	2.5726235236000005e-06	-0.000141061	n/a	1.9898205721e-08	n/a
761.145467594921	-1.896914284238278	579342.4228402909	3.5982838017472187	838.5728612146883	-4.100123244137762	16.811010617118768	703204.4435657888	722.5967655231681	-0.1503732288094852	522146.08554454433	0.0226121079425897	724.5862573703059	532.3163678598286	0.997868	18.765081	0.0902109021	0.0490057	-0.0521273191	0.0257268284	0.2041332741	-0.0059198778	0.0925855704	0.0740343212	0.0170797961	-0.0905864499	-0.0509935246	-0.0207645648	0.0534470677	0.0179407732	0.0614191405	0.0476242967	-0.0741723704	-0.0347454573	-0.0817981027	0.1084349306	0.009747893	0.0338421117	0.1713788063	-0.0109168136	0.0568494912	0.0107321034	0.1342149675	-0.0758622205	-0.025758828	0.0438462465	0.0295118516	0.0935097438	-0.0683944579	-0.0553399481	-0.0310847317	-0.1759601182	-0.1043000862	0.0319133931	0.0430150253	0.0177320828	-0.0841627017	-0.0653591907	0.0170146326	-0.0379112666	-0.1215103551	-0.0049559699	-0.0126498675	-0.0683785195	-0.054014963	0.06722948	-0.0135748915	-0.0772879826	-0.0688002947	-0.0281915075	0.0773349468	0.0944588719	0.0827960407	0.0744370785	-0.0475040626	-0.0278676141	-0.1325492223	0.0014941803	-0.0437848189	0.0198345547	0.0731988539	0.0667145091	0.0605936031	0.0269921995	0.0569270996	0.0189243983	0.0959205519	-0.0628600192	-0.1497147214	-0.0474949696	-0.0704580315	-0.0396929522	-0.0114774237	0.0405478697	0.1042838252	0.0872001113	-0.0047333173	0.0237461696	-0.009419018	-0.0418229457	-0.1462776961	0.065829147	-0.0543376997	-0.0504770476	0.0478578039	-0.1246226781	0.1131214919	0.0266360956	0.0293946882	-0.0801980679	-0.1545451318	0.0129294432	0.1256944578	-0.0167194442	-0.0383699367	-0.0099921149	-0.0511500575	-0.1239142139	0.1600818601	0.0826033888	0.0708485849	-0.0048231889	0.0727816858	-0.078851889	0.0495999823	-0.0234161037	0.0042394417	-0.0522217742	-0.0096962216	-0.0122057426	-0.099231515	0.031405192	-0.028557074	-0.0454224799	-0.0604522381	0.1146527451	0.1144874327	0.1142120884	-0.0204635	0.0096826	0.0004187548322499	9.375274276e-05	0.0355547	0.03851589	0.0014834737824921	0.00126413669209	5.53971e-05	0.0064318971	4.136930030498841e-05	3.0688386884099997e-09	-0.00145207	-0.000511902	2.1085072849e-06	2.62043657604e-07	-0.00149123	0.00011271	1.2703544100000006e-08	2.2237669129e-06	-5.40627e-05	8.699829999999999e-05	2.92277553129e-09	7.568704202889998e-09
760.7251614049909	-0.4203061899301019	578702.7711946495	0.1766572932935589	831.4811575154037	-7.091703699284608	50.29226135844699	691360.9153031555	722.519601090481	-0.0771644326870273	522034.5739599479	0.0059543496719107	724.6314218755889	521.3856230130666	1.01731	19.130682	0.0681385321	0.047672	0.0709754149	0.0850373076	0.2006959642	0.0368289553	0.0548938808	-0.063068062	0.088805363	-0.1518050578	0.108384628	0.0575897365	-0.0659497056	-0.0986196871	-0.0916914945	-0.0716004613	0.036026772	0.1273754205	-0.0362876305	0.1359276891	-0.0304634979	0.1731640031	-0.0020496417	-0.0378169192	-0.0199746718	-0.084484588	0.0924209173	-0.1039481251	0.1391319801	0.1121234946	-0.0134770773	0.0360880797	-0.0004383051	-0.0368643301	-0.1757199822	0.1445601933	0.0693420597	0.0232831957	0.0871348844	-0.0525324405	-0.0197870997	0.0071408386	0.1040718249	0.060504457	-0.1456711626	-0.0126597211	-0.0480538152	0.0577239222	0.0289671049	0.0606377568	-0.0277428597	-0.1033740684	-0.0101260318	-0.0743872095	-0.1080507462	-0.1253748771	-0.0908027638	0.1347575709	0.1760800601	-0.0503862991	0.0237407974	-0.027018902	0.0722372443	0.0404951978	0.0150746672	-0.0247463992	0.0126095418	0.0011596491	0.0352199858	0.0973154309	-0.0675986256	-0.0639265753	-0.0565577033	-0.0552038267	0.00596441	0.0123337398	-0.1567462746	0.0532445214	0.036132845	0.0853615319	-0.0584193606	0.0881392364	-0.191290307	-0.1359805738	0.0841055647	-0.045030684	0.083830954	0.0368694881	-0.0270216662	-0.0408457881	0.2664671391	0.0094611812	-0.1508064342	-0.1844503525	-0.0103602791	-0.0705861183	-0.0607001357	-0.1242093221	-0.046835513	0.0823606953	0.0477163434	-0.0384642854	0.0396547956	-0.0127963956	-0.0512431926	-0.0394564598	-0.0570985229	0.0876852935	0.0365741347	0.0834641276	-0.028591635	-0.1304480088	0.0192442529	-0.0220876291	0.0216978462	0.00895321	-0.0433724508	-0.051186769	-0.0694372574	0.1145547726	0.1140958982	0.1133324686	-0.0204545	8.999999999998592e-06	0.00041838657025	8.099999999997466e-11	-0.0109869	-0.0465416	0.00216612053056	0.00012071197161	-0.0073954	-0.0074507971	5.551437742536841e-05	5.469194116e-05	-0.00159502	-0.0001429499999999	2.5440888004e-06	2.0434702499999997e-08	-0.00157696	-8.573000000000001e-05	7.349632900000001e-09	2.4868028416e-06	0.0	5.40627e-05	0.0	2.92277553129e-09
762.0169374276376	1.2917760226466726	580669.8129265961	1.6686852926848568	831.11703213262	-0.3641253827836408	0.1325872943873329	690755.5211009345	722.4378020686846	-0.0817990217964279	521916.377857832	0.0066910799668524	724.068025748678	520.8442188870788	1.047485	19.698132	0.0287454516999999	0.0150818	0.1500989525	-0.0111528471	0.1499275051	-0.0492572533	-0.0262558049	-0.1622440722	-0.0281327656	-0.0421865368	0.0660619559	0.0216601642	-0.2485230144	0.0197320089	0.0856446017	0.035259584	-0.0262900965	0.0719789397	-0.1472131443	0.0381319799	0.0749782144	0.1272032015	-0.1003776876	-0.0618600268	-0.0193543003	0.0178626149	0.136319911	-0.0076819078	-0.1390684911	0.1063100945	-0.0158309457	-0.1224843552	0.0143277251	0.1172435294	0.0251595344	0.0204413441	0.0296670327	-0.005499375	-0.0743086293	0.0151425291	-0.0426497907	-0.0402879987	0.0290563081	-0.109843448	0.1133635142	-0.0037408857	0.1817011478	-0.0239899728	-0.1943741545	0.0761137972	-0.0078942485	0.0282093359	-0.0306531068	0.0054795088	0.0123001811	0.0362934946	0.0501635123	-0.0653588702	0.0048007781	0.011477856	-0.0281336213	0.1074181672	0.0276791208	-0.1320484174	-0.1661393079	-0.0282016141	-0.0135374305	-0.1512037326	0.0103527323	-0.0145968335	-0.2338332548	-0.1046022604	0.0746069559	-0.0246311058	-0.0353418509	-0.1035904442	0.1523784153	-0.0746793666	0.1134575901	0.0135776401	0.070788149	0.0529831231	-0.0346269167	-0.0527875692	0.0409421243	-0.0936394512	-0.0148010221	0.0694238936	-0.0104462133	-0.082053269	-0.1305819973	-0.0246846885	-0.0048375988	0.0759678313	-0.1057754952	0.1024432363	-0.0318442324	0.0501636475	0.0558681999	0.0449425646	0.080656708	0.0778071943	-0.0237952811	0.0919629782	0.0056443242	-0.0198742435	-0.1003816938	0.1500347799	-0.0498983146	0.00058814	0.0324701811	0.0765121782	0.0942340625	0.0736602466	-0.1451979711	0.0724353806	-0.0269490336	0.0099733209	0.144545506	0.1144078661	0.1135094328	0.1120172664	-0.0204475	7.000000000000062e-06	0.00041810025625	4.900000000000087e-11	-0.0111194	-0.0001324999999999	1.7556249999999718e-08	0.00012364105636	6.29517e-05	0.0074583517	5.562701008089289e-05	3.962916532889999e-09	-0.00138629	0.0002087299999999	1.9217999641e-06	4.356821289999994e-08	-0.00164222	-6.525999999999993e-05	4.25886759999999e-09	2.6968865284e-06	-0.000148962	-0.000148962	2.2189677443999995e-08	2.2189677443999995e-08
762.3065979930145	0.2896605653769484	581111.3493436835	0.0839032431344933	835.6904995759572	4.573467443337222	20.916604455265507	698378.611081513	722.7786952854674	0.3408932167827743	522409.0423585625	0.1162081852485075	724.531624893044	540.2067784676839	1.111686	20.905439	0.1039525517	0.0651948	0.0827863852	-0.1036620997	0.015295888	-0.0193102009	0.092762551	-0.1172060388	-0.0730396235	-0.0614202424	-0.0508829395	0.0539323638	0.0602074929	-0.0411845881	-0.044548562	0.1947083876	0.075644635	0.0331620698	0.0020194506	0.0050732366	0.0906517044	0.0567801583	-0.0146758925	-0.0250441819	0.0137236996	0.0329914463	0.1263835432	0.1972854509	-0.0576508617	-0.0397018494	-0.0575003422	-0.0080164668	-0.0678351986	-0.1954894035	0.0621221824	0.0485443952	0.0966167948	-0.0334766523	-0.07401262	0.0349088527	-0.0087419901	-0.067336576	0.043581256	0.1061902816	-0.0304389608	0.0714590893	0.0124259602	-0.067999899	-0.0897050645	0.0720564503	-0.1960678558	0.0711314719	0.1381947363	0.0179931695	-0.0472961125	0.0299674707	-0.029394627	0.0129528457	-0.0189914138	0.039988682	0.0330930222	-0.0316470442	0.0680056005	0.0410388477	-0.0084996522	-0.0703755568	-0.0502266587	-0.1048364183	-0.0036586267	-0.0702135329	-0.1041044802	0.0044608589	-0.0789624904	-0.0430445681	-0.1800766358	0.0249015821	-0.0013682033	0.012288704	0.0359437912	0.1173334923	-0.0461284952	-0.1218471316	0.0487234778	0.0083587129	0.0280169658	0.0079672066	-0.04078495	0.1606237004	0.0423575264	0.0436841932	-0.0852444713	0.0037294845	-0.0750085652	-0.1613314926	0.0199987432	-0.0618673064	0.1199495021	0.0707677115	0.0384253865	-0.0678950235	-0.0059720845	-0.0309980895	-0.0425390593	-0.057781375	0.0722370487	0.0628554825	-0.1975414935	-0.0745311341	0.0930887595	0.1713808888	-0.0771243606	-0.0133806618	0.123668552	0.129893403	0.1391509338	0.0348085682	0.0982905768	-0.035157534	-0.0229679333	0.1142120884	0.1127290384	0.1102715368	-0.0204426	4.900000000002125e-06	0.0004178998947599	2.4010000000020825e-11	0.0494992	0.0606186	0.00367461466596	0.00245017080064	-0.016682	-0.0167449517	0.0002803934074353	0.0002782891239999	-0.00156432	-0.0001780299999999	2.4470970624e-06	3.169468089999993e-08	-0.00143753	0.00020469	4.18979961e-08	2.0664925009e-06	0.0	0.000148962	0.0	2.2189677443999995e-08
761.5772385362849	-0.7293594567296395	579999.8902565533	0.5319652171209549	831.9697284342756	-3.7207711416816656	13.844137888771092	692173.6290310023	721.8789355653824	-0.8997597200849441	521109.1976130096	0.8095675538873369	724.6968896905863	520.3447907997081	1.124849	21.152985	0.13772208	0.106926	-0.0286821047	-0.1213839495	0.1835964135	0.0365855294	-0.0181730645	0.0397038615	-0.0675276662	-0.1347432152	-0.034948262	-0.1407567332	-0.0567293037	0.0062725069	-0.0102028794	-0.0206797667	0.0575349267	0.0771049524	-0.1875221517	0.0124574525	0.1174739302	0.0493425142	0.0422874393	-0.0240996737	0.0714523307	-0.0017971059	-0.0306335736	-0.0773199588	-0.0839922041	-0.0385689553	0.0617718285	0.0467617037	0.0296053157	0.0112724008	-0.0791058037	-0.062660646	0.0061711502	-0.0408192139	0.119484098	-0.0127331953	-0.0006145769	-0.0394366753	0.2173182702	0.1532283358	0.0738948517	-0.0431808847	0.0187091592	0.0873836749	0.0030030345	-0.0779587571	-0.0426189403	-0.0538180181	0.0005713623	-0.0681570158	-0.0700176833	0.0906693914	0.1600940985	0.0580883885	-0.154563726	-0.0783828856	-0.0371332228	-0.0614936884	0.0106077426	0.0347506791	-0.0531348371	-0.0521742856	0.1973042658	0.0310809697	0.0490189701	-0.1156707207	0.0425541264	-0.0978050004	-0.0434609149	0.0049052861	0.0733162285	-0.0552370343	-0.0423712751	0.0361877588	0.1322719123	0.0188647236	-0.0739850906	-0.0424129628	-0.0172278759	0.0634838954	-0.0147124524	-0.138819858	-0.0382814266	-0.1142851359	0.0066777713	-0.0949395111	0.1125361686	-0.0248918423	0.135850766	-0.1264571172	0.0160959356	0.1464443769	-0.0672524062	-0.0834940894	0.057686358	-0.0927892398	-0.0971114414	-0.0401824189	0.1096596783	-0.0132322139	0.0350929422	-0.0210446647	-0.0226525822	0.0420443621	0.038593856	0.1711495262	0.0251081176	-0.0935901463	0.0078454606	-0.0478139826	0.0426178897	0.0801067988	0.0672803918	-0.0191146312	-0.0321217197	0.1139675232	0.1117560484	0.1081019891	-0.0204167	2.589999999999884e-05	0.00041684163889	6.708099999999398e-10	-0.0542812	-0.1037804	0.01077037142416	0.00294644867344	-0.00746722	0.0092147799999999	8.491217044839997e-05	5.57593745284e-05	-0.00109579	0.00046853	1.2007557240999998e-06	2.195203609e-07	-0.00141204	2.548999999999997e-05	6.497400999999987e-10	1.9938569616e-06	0.0	0.0	0.0	0.0
763.473363607917	1.8961250716321276	582891.5769387867	3.5952902872719403	840.7724642626758	8.802735828400273	77.48815806460185	706898.3366623325	723.0224392490088	1.1435036836263637	522761.44765758666	1.3076006744670623	724.5283100669681	539.7242709540193	1.060031	19.934067	0.09769265	0.0687327	-0.0843110682	0.0077227912	0.0783347554	0.1132163159	0.1449995986	0.1559918453	0.0085020144	-0.0380552875	0.0743951222	-0.1019570467	0.0418706396	-0.0144180507	-0.041867165	0.1812988877	-0.0689199919	-0.0828284612	0.018924776	0.0274634176	-0.0199593869	0.0808202522	0.1553920714	0.0446929422	0.0470684853	0.0110421454	-0.0570959544	-0.0074784607	0.0715873816	-0.0559732393	-0.0358327359	0.0224446167	0.1032870327	0.015101099	0.0784108021	0.0110316021	0.097149411	0.0157314696	0.0497815462	0.0363709832	0.0450236641	0.0364865	-0.0532240734	0.064982264	0.0601706716	-0.0971825496	0.2144156735	0.004839263	0.0821143934	-0.0415006292	0.0752293582	0.0093895936	-0.0206765073	0.0468316828	0.0847116134	0.0498745605	-0.0963666252	-0.0131216401	-0.2145246199	-0.0442817662	-0.0286437074	0.1620592481	-0.2384432785	0.0248348413	0.0167657171	0.0104411118	0.0767068758	0.0672405227	-0.0511977072	0.0217620763	0.1049765409	-0.1354767831	-0.1149025087	0.0762874985	-0.039846031	0.056851535	-0.0142046921	-0.0236646016	-0.0741431264	0.0498836409	0.114698688	-0.036992973	0.0356613317	0.0969879213	0.0955192159	-0.053252231	-0.007505904	0.0456313114	0.0682906235	0.0561216736	0.0835352439	-0.1243777572	-0.0128236924	0.0097941026	-0.0676890595	0.1501841999	-0.0898238806	0.0767442581	-0.0021448947	-0.1641581637	-0.0585233153	-0.0459416978	-0.0034206653	0.1203356206	0.0488157679	0.0451751729	0.1603936046	0.0655337137	0.0782723606	-0.1416671285	0.1351158652	0.1039565899	-0.0642127726	-0.0571234983	0.0299699554	0.0476964558	0.0187944999	-0.1426013277	0.0653146914	0.1136742748	0.110592125	0.105516962	-0.0138101	0.0066065999999999	0.00019071886201	4.364716355999999e-05	0.0122216	0.0665028	0.00442262240784	0.00014936750656	0.00522103	0.01268825	0.0001609916880625	2.72591542609e-05	-0.00119397	-9.818e-05	1.4255643609e-06	9.639312400000005e-09	-0.00155176	-0.0001397199999999	1.952167839999996e-08	2.4079590976e-06	0.0	0.0	0.0	0.0
762.8375480988387	-0.6358155090782702	581921.1247894481	0.4042613615844599	834.4725499863571	-6.299914276318759	39.68891988896492	696344.4366807332	724.1096489107782	1.087209661769407	524334.7836456905	1.1820248486447482	725.6064779657903	532.4383912279015	0.994024	18.692785	0.08077563	0.0408415	-0.064925291	0.0760011691	0.0885265854	-0.1342594861	0.0183472049	0.0205767215	0.1212177247	-0.1404673094	-0.1053477924	0.0424647113	0.0439999524	0.1138178888	0.0434732871	-0.0566454464	0.0566725758	0.0756997127	-0.0656502006	-0.23435046	-0.1265211856	0.0341863577	0.0167915322	0.066201456	0.0772067543	-0.062424221	0.1386209301	0.1257733098	0.0780155109	-0.0120831122	0.0574860095	0.0018724234	0.0268241066	0.0353863424	0.1096270455	-0.0794152159	0.045944754	-0.0082703245	-0.0637695756	-0.024789344	0.0460351172	-0.0165193991	-0.0379906262	-0.0536723811	0.021455843	-0.089392668	-0.0553741758	0.0016521281	-0.1127828988	-0.0945391227	-0.0571960004	0.0363375341	0.0043539565	0.0102361635	-0.1363628439	0.0491674477	-0.0007821301	0.0270687321	0.1472409851	-0.0826574114	-0.1165683621	0.0441295799	-0.0026872331	-0.0154156022	0.0540436249	0.0100513613	-0.1149143676	-0.0432956112	0.008022303	0.1085468561	0.0519689006	0.0213814052	-0.1109321624	0.0382010428	-0.0996727234	-0.0682495402	-0.0468436825	0.0591349323	0.0025169628	0.0135481959	0.1352087205	-0.0580081923	0.0481269866	-0.0442794609	0.0644552339	-0.0055369348	0.0614213163	-0.0613274444	0.0413990452	0.0382904948	-0.0722437288	0.1155036874	0.002622307	0.0771565659	0.0693686478	-0.060984772	0.1141585818	0.0668725406	0.0661575245	0.0974781069	-0.0536789561	-0.1132595746	-0.104327808	-0.0556394587	-0.1273080426	0.0669428038	0.022400959	-0.0122487271	0.0711009989	-0.0291537804	0.0968487527	0.0273180741	0.0613153938	0.0113693686	-0.0030567544	-0.0411103899	-0.0737209443	-0.0886567939	0.081092573	0.1133324686	0.1092392569	0.1025263906	-0.0130675	0.0007426	0.0001707595562499	5.514547600000018e-07	0.0265424	0.0143208	0.00020508531264	0.00070449899776	-0.0151522	-0.02037323	0.0004150685006329	0.0002295891648399	-0.00170622	-0.00051225	2.9111866884e-06	2.6240006250000014e-07	-0.00115723	0.0003945299999999	1.5565392089999993e-07	1.3391812729e-06	0.0	0.0	0.0	0.0
764.2954235209753	1.457875422136567	584147.4944151071	2.125400746469873	840.0660196635529	5.593469677195799	31.286903029708878	705710.9173933648	723.912723153144	-0.196925757634176	524049.6307430006	0.0387797540197942	725.7997530436734	532.0376664871499	1.0684	20.091434	0.13780652	0.0735732999999999	0.0042480334	0.0969269151	0.0901097415	-0.0201064295	-0.0984126842	-0.0173280141	0.076969816	0.0199746882	0.0566422138	-0.0585436859	-0.0491029332	-0.0478506692	0.1618352542	-0.0173650446	0.0301870154	-0.1090726146	-0.0481422986	0.0162414412	-0.0290779296	0.0370963921	-0.0154498141	0.0697330512	0.0398552442	-0.137705663	0.0507604124	-0.105694724	-0.0285556812	-0.0858506973	0.0894614376	0.0357769313	-0.1007628209	0.0472410116	-0.0523187826	-0.1532000095	0.0499625373	0.0236225251	-0.0439086282	-0.1192383591	-0.0488441884	-0.01633066	0.0882023164	0.0317920343	0.0729335817	0.0159563525	-0.1287600417	0.0340073597	0.0181574534	-0.2771550155	0.1579557944	0.0061702372	0.0983302085	0.1189487868	-0.0775474656	0.0521607078	0.0300023781	-0.0096859796	-0.0720591081	0.1156701879	0.0537034626	-0.0673421337	0.0492904614	-3.74921e-05	0.0057096952	0.0060152377	-0.0103167322	-0.1452278954	0.037452074	0.0826695625	0.0016349821	-0.0106930632	-0.0146232573	-0.0321954917	0.0992238058	-0.1047077231	-0.1345401914	-0.0529251783	0.1574098098	-0.0957374126	0.0497553934	-0.0670560244	0.0692637698	-0.1227324786	-0.0303494577	0.0931754001	-0.1275809201	0.0728266826	-0.065334562	0.0781501669	0.0737089367	0.1637950196	0.1926550456	0.1195672284	0.1356522059	0.0607975438	0.0396646089	0.0015157868	-0.0765461874	0.0254613918	-0.1088218856	-0.0051087502	-0.0555853538	-0.098185884	0.0146826331	-0.0830547552	-0.0871304671	-0.0432035774	-0.0536305805	-0.110052672	0.0484506888	0.053108641	-0.0032183284	0.037740718	-0.1227918253	0.0849880712	0.111223153	0.0474966106	-0.0113966979	0.1129422506	0.1076997553	0.099141769	-0.0188795	-0.005812	0.00035643552025	3.377934400000001e-05	-0.0348139	-0.0613563	0.00376459554969	0.00121200763321	0.00521902	0.02037122	0.0004149866042884	2.7238169760400004e-05	-0.00109811	0.00060811	1.2058455721e-06	3.6979777210000003e-07	-0.00132728	-0.0001700499999999	2.8917002499999976e-08	1.7616721983999998e-06	-0.00022718	-0.00022718	5.16107524e-08	5.16107524e-08
764.3773127416634	0.08188922068814	584272.6762341667	0.0067058444649109	837.2400532828678	-2.8259663806850317	7.986085984762055	700970.9068210993	723.9647073023261	0.0519841491820898	524124.8974193428	0.0027023517661857	725.3946191442197	533.1257895347127	0.938335	17.645555	0.08497528	0.0456108	-0.0017653323	0.0954052052	0.0140092194	-0.0933680162	-0.0130811423	-0.01169267	0.0771584613	0.0350851642	0.0501034866	-0.0220224099	0.0003416485	0.000734343	0.1808656355	0.095178287	0.1257508913	0.0381778666	0.0902540473	0.0547316371	-0.0835064406	0.0181288288	-0.0502633757	-0.0595265138	0.0740026728	-0.1627028544	-0.0894955409	-0.0492307999	-0.0822638639	0.1623852185	0.0165704299	0.181416376	0.0106493349	0.0566080738	0.0776992852	0.1255110799	0.0534660883	-0.075329608	0.0003875851	0.0239214236	-0.1546695341	-0.0181837036	0.0760591808	0.0424935106	-0.0595864422	0.0090338196	-0.0139852169	0.0432750697	-0.0294535156	-0.0413327273	0.1137551742	0.0890709236	-0.0234079039	0.0177264787	0.1501102803	-0.0903945093	-0.1105738662	0.0394912131	-0.1033955045	0.1496009092	0.0272924699	0.046880449	4.40812e-05	-0.0588520168	-0.0049604847	0.0709331583	-0.012745282	0.029010271	-0.0429223208	0.1036380773	-0.0099518416	-0.0467694205	0.0674003171	0.0090166056	-0.0052858463	0.0051921581	-0.1314555819	-0.0063339607	0.0644385492	-0.0775328559	0.0637128122	-0.021874189	-0.2034447397	0.0496483119	-0.0071236607	-0.0066396795	0.0109620567	0.023898368	-0.0188553799	-0.0979933309	0.0408609593	-0.0747574456	0.0161504206	-0.029942059	0.1261302755	0.129581746	0.0917246376	-0.026330233	-0.1405948342	0.0727324296	0.0062586208	0.1611777991	-0.1202249506	0.0154911997	0.1499100402	-0.0010507004	0.0129856163	0.0318829591	-0.0100810773	-0.0698190557	-0.0820935186	-0.1087216693	0.0130006247	0.0737267375	-0.0217241969	-0.1688075771	-0.0084872119	0.0156604346	0.0214545395	0.1125037874	0.1059762505	0.0953761056	-0.019287	-0.0004074999999999	0.0003719883689999	1.6605624999999849e-07	-0.00121709	0.03359681	0.0011287456421761	1.4813080681000002e-06	-0.0198644	-0.02508342	0.0006291779588964	0.00039459438736	-0.000802499	0.000295611	6.44004645001e-07	8.7385863321e-08	-0.00123073	9.654999999999992e-05	9.321902499999988e-09	1.5146963329e-06	-0.00035277	-0.00012559	1.244466729e-07	1.5772848100000005e-08
