global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05
781.9013994719385	n/a	611369.7984961759	n/a	997.339802803773	n/a	n/a	994686.6822566688	728.6436398705598	n/a	n/a	530921.553923818	798.1648029074221	604.0919639767664	n/a	n/a	n/a	n/a	-0.0437807961	-0.0772087772	-0.0636984677	0.0704688271	-0.0261879318	0.0897684894	-0.1930146094	0.0112632339	-0.1069089435	0.0695045196	-0.0119506967	0.1159798655	-0.011368844	0.166581497	-0.1168347026	-0.0699371277	0.1222428821	-0.0155627291	0.0297325174	0.0334084113	-0.0664697711	0.005327854	-0.1150540416	0.13133564	-0.0154170468	0.1009242051	0.0744425099	-0.0351875825	0.181205642	-0.0328992985	0.1455828499	-0.0825382713	0.0500339159	-0.0804464092	0.0154680073	-0.0541534408	0.1465773551	-0.03742893	0.0902674678	-0.1218813575	0.0797377189	-0.1340724453	-0.0676693841	0.013824969	0.0133427834	0.0392624227	-0.1784614807	0.0317380127	0.0098502602	-0.0660668124	-0.0547447313	0.0087757889	0.0825285593	-0.004441114	-0.0470228219	-0.0179764482	0.0780241329	0.0084920061	-0.0714769316	-0.0751630369	-0.0209596922	0.1292289794	-0.1427466974	0.0668017403	-0.0106422653	0.0122231661	-0.0068857253	0.1083116077	-0.139497265	0.1513117563	-0.0819982352	0.0157847485	-0.0132927569	0.0270551175	-0.1863145527	0.1395216403	0.1192596008	-0.1351691067	0.0245489726	-0.096460487	0.0234123741	-0.0792781383	0.0678205325	-0.1195198819	0.0873129368	-0.0363715302	0.0998179398	-0.0218102591	0.0337321427	-0.0741179218	-0.0660012875	-0.0703950657	0.1377786697	-0.0658699845	0.182426136	0.0012630704	0.0736210165	0.1147017419	0.1146833673	0.1146527451	-0.0794823	n/a	n/a	0.00631743601329	-0.115839	n/a	n/a	0.013418673921	-0.209922	n/a	0.044067246084	n/a	9.61426e-05	n/a	n/a	9.243399534760001e-09	-0.00129918	n/a	n/a	1.6878686724e-06	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0
779.9327722941827	-1.9686271777558204	608295.1292984894	3.875492964998847	993.0613365388	-4.278466264972963	18.30527358051169	986170.8181282276	727.7874856414321	-0.8561542291276965	0.7330000640532401	529674.6242562778	797.890296044024	610.5892575941897	1.006037	24.886835	0.16981493	0.0653837	-0.0511677739	-0.0615389953	-0.0650642646	-0.0554170385	0.050468767	-0.0422308472	-0.0397701106	-0.1411212508	-0.0471661732	-0.0386570436	0.0874670627	0.2387990986	0.0607411802	0.1590909462	-0.1872972635	-0.0788183673	0.167730031	-0.0029538798	0.097673609	0.0176496267	-0.1102568863	-0.0671828678	-0.0058714118	0.1194885158	0.0306487074	0.0916407076	0.0135148419	-0.0074069454	0.0058507251	0.0324150967	0.0608431887	0.0249479083	-0.0806999796	-0.2289755386	-0.1929799941	-0.0335558814	-0.0068049883	0.0462630486	-0.0107211789	-0.091487648	0.1569749244	0.0641039685	0.1014828269	-0.142904807	-0.0673294759	0.0566828537	-0.0519292499	-0.0020740508	0.0156332776	0.0218524587	-0.0954072495	0.0969903224	0.0134233881	0.0043765039	-0.1922000679	0.0245566376	-0.1179998306	0.0335139218	-0.0692616794	-0.084519204	0.0139820687	0.1750605736	0.0266355812	-0.0368093144	0.0684109392	-0.0240856416	-0.1920799974	0.0584824185	-0.0943084692	0.1252477241	-0.1174369923	0.1110037061	-0.0653824259	0.0314020416	0.0215232645	-0.0119650054	0.1615818278	-0.0026739984	-0.001788692	0.1265501387	0.0047471541	0.0491681867	0.0574888784	-0.0435095643	0.044224011	-0.006890211	0.0675199306	-0.0384480912	-0.1430187689	-0.2031196209	0.1511077273	-0.0418054287	0.0844305267	-0.133714699	-0.0209258006	0.0437425792	0.0249888883	0.1146527451	0.1144874327	0.1142120884	-0.0533578	0.0261245	0.00068248950025	0.0028470548208399	-0.0821299999999999	0.0337090000000001	0.001136296681	0.0067453368999999	-0.247123	-0.037201	0.061069777129	0.001383914401	-0.0007551599999999	-0.0008513025999999	7.247161167665897e-07	5.70266625599849e-07	-0.000900929	0.000398251	1.5860385900100005e-07	8.116730630409999e-07	-0.000206055	-0.000206055	4.2458663025e-08	4.2458663025e-08	0.0	0.0	0.0	0.0	0.0	0.0
777.9387379397489	-1.9940343544337795	605188.6799872892	3.976173006662139	991.5442108422262	-1.5171256965737712	2.30167037920445	983159.9220547331	727.7932132042615	0.0057275628294064	3.280497596479844e-05	529682.9611861836	797.2550137399237	583.681870142521	1.060158	26.225643	0.1901791895	0.0843803999999999	-0.053987998	-0.119779534	-0.0310498029	-0.0299264127	0.0287937598	-0.0422431857	-0.1175820208	-0.0237312703	-0.0383624482	-0.1131237747	0.0758397082	-0.0215707441	-0.0383742039	0.1544647408	-0.0053556526	-0.0631943631	0.1633260812	0.0054235349	0.0796352625	-0.058261167	-0.2071766113	-0.0505722106	0.0061969453	0.1690691405	-0.0067435375	0.0779128766	-0.0630751354	-0.0221026845	0.0648766222	0.0713790338	-0.0982029622	-0.1278237645	-0.0208072684	-0.0511668617	-0.0397682701	0.0394281881	0.0726339991	-0.0736242684	0.0229534552	0.0400379153	-0.0192290251	-0.0507037954	0.164820673	0.0968971667	0.0076429428	0.1955626276	-0.0761293846	-0.0475105143	-0.0676705205	-0.0789860067	0.1276464327	0.0069967496	-0.0240705865	0.031393402	0.0940544345	-0.0191293074	-0.0597002894	0.0292799334	0.138547638	-0.0561497648	0.0017577998	0.1498629319	0.0004754015	0.0132366799	-0.0001857226	-0.12451245	-0.1485833312	0.122483207	-0.052094788	0.0223121657	0.0008340291	0.0793601963	0.0505227887	0.0666690438	-0.0309301021	0.0752682525	0.1425464158	-0.0769920857	0.1424074122	-0.073957022	-0.0256288098	0.1343696415	-0.0277002443	-0.0584540166	-0.0780154569	-0.0781223085	0.0674482972	0.0576312373	0.00095349	-0.0240689004	-0.0624389003	0.0335451399	-0.1130890969	0.1223715339	0.0454224797	-0.1530772848	-0.0765852726	0.1145547726	0.1140958982	0.1133324686	-0.0644967	-0.0111389	0.00012407509321	0.00415982431089	-0.122055	-0.0399250000000001	0.001594005625	0.0148974230249999	-0.171426	0.075697	0.0293868734759999	0.005730035809	-4.83921e-06	0.0007503207899999	5.62981287906074e-07	2.34179534241e-11	-0.000588939	0.0003119899999999	9.733776009999997e-08	3.468491457210001e-07	-4.1359e-25	0.000206055	4.2458663025e-08	1.7105668810000004e-49	0.0	0.0	0.0	0.0	0.0	0.0
778.8855333810507	0.9467954413017878	606662.6741102838	0.8964216076698471	989.5881266432413	-1.956084198984968	3.826265393518663	979284.6603932796	727.791280733876	-0.0019324703855545	3.73444179104536e-06	529680.1483122555	796.6047940754862	582.0347966108426	0.839887	20.776707	0.0981235895	0.0472671	-0.0573948691	-0.1230834526	-0.0370137337	-0.0314748591	-0.0013872595	-0.0123373112	-0.1298567788	0.1032941309	0.0272311326	-0.1177127356	0.1216577208	0.0964039224	0.04430654	0.0638304287	0.0150725924	-0.0511158013	0.16425009	0.0038790122	0.0226369091	-0.0410255093	-0.1900821321	-0.0570391451	0.0709334824	0.0578283893	0.0752885306	0.0480627621	-0.1788995804	0.0433476307	0.0131821213	0.0389307168	0.0455190203	-0.1229310147	0.1468393592	-0.0331282723	-0.0806936998	-0.0529713957	-0.0322219561	0.0111786646	0.0401836611	-0.0033131118	-0.0296238198	0.0471814005	0.0115932357	0.1102259159	-0.0076356292	-0.0503298954	-0.1001855934	0.0496211174	0.0056856889	-0.0317394545	-0.0702052557	-0.1185738248	0.0141237376	-0.2053933706	0.0552882184	-0.0550082078	0.1307132245	0.0959445505	0.0143396261	-0.0505482171	-0.0286601574	0.1491917489	-0.0230758165	0.0155575434	-0.0343309012	-0.1926083119	-0.0547063651	0.0508955395	-0.0104969834	0.0928567928	-0.0874894003	-0.0126187748	-0.0356520101	-0.0215043855	0.0835201195	0.0766969499	-0.0442064498	-0.1629865915	0.1133168449	-0.041832626	0.0938340724	0.1365372733	0.0548331211	-0.1235255591	-0.0711713803	-0.0318109495	-0.0605691006	0.1089003756	0.0895156596	0.074340754	-0.0903445223	0.0303726508	-0.1727524064	0.2181441798	0.0278947161	-0.0178821474	0.1313430071	0.1144078661	0.1135094328	0.1120172664	-0.0644817	1.5000000000001124e-05	2.2500000000003368e-10	0.00415788963489	-0.0833112	0.0387437999999999	0.0015010820384399	0.00694075604544	-0.186518	-0.0150919999999999	0.034788964324	0.0002277684639999	-0.000601265	-0.00059642579	3.5572372297712415e-07	3.61519600225e-07	-0.000694468	-0.0001055289999999	1.1136369840999985e-08	4.822858030239999e-07	-0.000183501	-0.000183501	3.3672617001e-08	3.3672617001e-08	0.0	0.0	0.0	0.0	0.0	0.0
781.4827315232175	2.597198142166804	610715.2596689892	6.745438189674695	993.0312320239128	3.443105380671568	11.854974662409504	986111.0277749302	728.983614961763	1.192334227887045	1.421660910990996	531417.11088272	797.0054984701829	587.0973869047389	0.8821989999999998	21.823381	0.0794333499999999	0.0531028	-0.0555766139	-0.0970440438	-0.0845419404	-0.0614537384	0.0221954718	-0.0749894311	-0.1037428715	0.1705961701	0.0418854742	0.0184787116	0.007908999	0.0021665975	0.0209662764	-0.0138765488	0.0307423291	-0.0572386274	0.0815347405	-0.0243454698	0.0482231253	-0.0100837892	-0.0624346281	-0.1402906503	0.0421801228	0.0934102973	-0.001414762	-0.0120524332	-0.0590149101	-0.1603350377	-0.0482406382	0.0447279445	-0.1138792811	0.081133331	-0.0697175602	0.0744380675	-0.0740990539	-0.1880338239	0.12414041	0.0745406857	-0.3006481502	0.0548186675	0.0248309696	-0.0431684668	-0.0520079189	0.011484489	0.0912644509	-0.1331007386	-0.0195267873	0.0498089684	0.096422556	0.1347224867	-0.0220657187	-0.1544138443	0.0177503077	0.0732271252	-0.0122682939	-0.004798526	-0.0570866461	-0.013466237	-0.0583243363	-0.0483315521	-0.0300131341	0.0747850347	0.0980394992	-0.0181466246	0.0181906559	-0.2055350102	0.0292612019	0.1035284605	0.0546724942	0.0515378693	-0.0153298522	-0.0493198268	0.0738460936	0.0914139711	-0.0113652099	0.1360510856	0.0045265669	0.1125137419	0.1798996348	-0.0129402568	0.0092545038	0.1787480674	-0.0476758929	0.0627012344	0.0184601434	0.076274051	-0.0273775362	-0.1651481482	-0.0182596098	0.0667166313	0.0870571358	0.075758982	0.0850610781	-0.0787366061	-0.0618207499	-0.1673837555	-0.0494367619	0.1142120884	0.1127290384	0.1102715368	-0.0644917	-9.999999999996125e-06	9.999999999992248e-11	0.00415917936889	-0.106131	-0.0228198	0.00052074327204	0.011263789161	-0.144204	0.0423139999999999	0.020794793616	0.0017904745959999	-0.000839731	-0.000238466	5.6866033156e-08	7.05148152361e-07	-0.000665009	2.945899999999991e-05	8.678326809999945e-10	4.422369700810001e-07	-0.000201367	-1.7866000000000008e-05	3.1919395600000025e-10	4.0548668689000007e-08	0.0	0.0	0.0	0.0	0.0	0.0
783.1045978560169	1.6218663327994136	613252.8111832339	2.6304504014682184	991.014150718848	-2.017081305064835	4.068616991242058	982109.0469249996	729.7493156071814	0.7657006454184057	0.586297478394163	532534.0636291497	797.4629848675028	601.6566832887379	0.8952259999999999	22.145639	0.0586468	0.0385196	-0.0516660045	-0.0584717606	-0.0598252937	0.0186145636	-0.0207964094	0.0090613378	-0.0664214499	0.0992470135	0.1393189888	0.0294767718	-0.0103422286	0.0703956869	0.0125746117	-0.0204731615	-0.0216180628	-0.0529600395	0.0409841385	-0.0227917933	0.0872214882	0.0085281584	0.0371874554	-0.0709722432	-0.0257954579	0.1037363376	0.0784110443	-0.0025526458	0.0051702457	-0.0836437494	-0.088255991	-0.130711047	0.1264482023	-0.0679325505	0.0323158148	0.1774300322	0.0598749566	0.0524304512	-0.0425797774	0.0621432161	-0.0575106043	-0.0120618915	0.03481986	0.0643037799	-0.1130474379	-0.0049828625	-0.0046866583	-0.0147744841	-0.055004906	0.0990057962	0.027840943	-0.0767893732	0.0027322553	-0.0664647175	-0.0303662922	0.1450634845	-0.0211827951	-0.0441717542	0.1330280123	-0.1304176575	0.0360828927	-0.0544225539	-0.0271258562	0.0299406742	-0.0132588212	0.0048564897	0.0443953868	-0.0510860658	0.0848930962	0.044341541	0.0239191731	-0.0280478469	-0.1020249224	-0.1237091526	0.0072693859	-0.1153609986	-0.0297324735	0.1852774189	-0.0716605015	-0.0743706024	0.1564940647	-0.1039990509	-0.0110025055	-0.0702390668	-0.0118791809	0.010458292	-0.1164371555	-0.0140876213	-0.0819268414	-0.0386395626	-0.0422242882	-0.0769535158	0.012581481	-0.0929652736	-0.0105158425	-0.0003823151	0.0071503592	0.0548512368	0.0305014542	0.1139675232	0.1117560484	0.1081019891	-0.0645329	-4.120000000000512e-05	1.697440000000422e-09	0.00416449518241	-0.0739843	0.0321467	0.00103341032089	0.00547367664649	-0.144931	-0.000727	0.021004994761	5.285290000000079e-07	-0.000601265	0.000238466	5.6866033156e-08	3.61519600225e-07	-0.000590204	7.480500000000005e-05	5.595788025000008e-09	3.48340761616e-07	0.0	0.000201367	4.0548668689000007e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
784.8987561813711	1.7941583253542603	616066.0574550634	3.219004096438004	994.8006997536504	3.78654903480242	14.337953592963135	989628.4322303524	731.5173397477579	1.7680241405764718	3.125909361661172	535117.6183516367	800.4061832499974	619.7637148219824	1.036454	25.639282	0.214178	0.112759	-0.0652029778	-0.0035958478	-0.0823195824	-0.0382012125	-0.0105707299	-0.0669979004	-0.0073528172	-0.0406159982	0.096993229	0.014012954	-0.0135923882	0.1845258851	0.0895399541	0.1650165311	-0.0598978492	-0.0861015295	-0.0663449859	-0.0072171074	0.0517838343	0.0971166324	0.0487309501	-0.063563295	-0.0142430086	0.0903051429	-0.0607360803	-0.0742698474	0.011422804	0.1640076288	0.0677561307	-0.0071913728	0.2696089409	0.0450697283	0.0977973475	-0.1278589269	-0.1190056886	0.0130268435	-0.0498377582	0.1531261207	-0.0080032444	-0.0074842014	-0.0245814482	0.0751338481	-0.0142748248	-0.0584179942	-0.0338715168	0.0632566504	-0.0019586955	0.0545604483	-0.0253529636	0.0766625412	0.0383850968	0.0388774615	-0.0567629997	-0.0784388166	0.0677949476	-0.0303703138	-0.1137257266	-0.0080589889	0.0212955894	-0.0913605917	0.0707840959	-0.0192078211	0.0171633362	-0.044311386	0.1133303343	0.0219432479	0.0509208147	0.164717431	0.0363126316	0.0755137968	-0.0309670314	0.0700250693	-0.1749113193	-0.0298705871	0.0448343682	-0.0669263789	0.0375204233	-0.053675127	-0.0191136331	0.0089181375	0.1805426352	-0.119919464	0.1075760732	-0.1193306041	0.0306146705	0.0195799342	-0.0929755956	-0.0288177111	-0.0314075086	-0.0935353424	0.020988421	0.1530190202	-0.0282547916	-0.0532076939	-0.1146092137	0.100570271	-0.0719261062	0.1136742748	0.110592125	0.105516962	-0.0441609	0.020372	0.000415018384	0.00195018508881	-0.0245758	0.0494085	0.00244119987225	0.0006039699456399	-0.152488	-0.007557	0.023252590144	5.7108249000000126e-05	-0.00257422	-0.0019729549999999	3.892551432024999e-06	6.6266086084e-06	-0.000931158	-0.000340954	1.1624963011599999e-07	8.670552209639999e-07	-0.000422901	-0.000422901	1.78845255801e-07	1.78845255801e-07	0.0	0.0	0.0	0.0	0.0	0.0
785.3792199448433	0.4804637634721302	616820.5191211705	0.2308454280098031	990.7520365394907	-4.04866321415966	16.39167382168963	981589.5979071484	730.504841679606	-1.0124980681518991	1.025152338011328	533637.3237173462	797.8711391611104	611.7770105160351	0.946368	23.410782	0.21384525	0.102554	-0.0572459423	-0.0147302848	-0.0127323911	-0.0046535992	0.0133339954	0.0088924102	-0.0415428136	-0.0910677738	0.1346986791	-0.0066785939	-0.0751877358	-0.0336529097	-0.0401919633	0.0252270292	-0.0235660263	-0.0549655934	-0.0070005052	-0.0271895887	0.0315811238	-0.0244203464	0.1311224966	-0.0158634137	-0.0610061682	0.1258170995	0.0531473099	-0.0842554683	-0.0624752575	0.0077123268	-0.0048033043	0.098439651	0.0324567378	0.1137868709	-0.0406936646	0.0751158583	0.1134307922	-0.0819441513	0.0033023831	0.0068856865	0.0386986331	0.0901581433	-0.1319351722	-0.0660539957	-0.1175621808	-0.0910586397	0.104000252	0.1812307431	-0.0634850404	-0.0994003128	-0.0345670568	0.0052877265	0.055656725	0.0742775896	-0.1136130595	0.0890947614	0.0147352941	-0.1354068944	-0.053098442	-0.1044059388	-0.0216693139	-0.0508978705	0.0055822529	0.0076045473	0.0034289862	-0.0171165863	0.0230818433	0.0914502628	0.1108979021	0.1159601283	-0.0519328477	-0.0046835865	-0.0242331202	-0.0403953642	0.1559197408	-0.0352761499	-0.0009671811	0.0394030601	0.0242910492	-0.0155099503	-0.0401538018	-0.0368627012	-0.0759103244	-0.0518243413	0.0347107368	0.0154587418	0.0286568893	-0.0317941796	0.0421613917	-0.0454661762	0.0490502389	0.0286515032	0.0163946884	-0.0031676873	-0.0587881419	-0.0725556386	-0.1707373302	-0.1304837864	-0.2258239365	0.1133324686	0.1092392569	0.1025263906	-0.0644849	-0.0203239999999999	0.0004130649759999	0.0041583023280099	-0.117488	-0.0929122	0.00863267690884	0.013803430144	-0.121566	0.030922	0.0147782923559999	0.000956170084	-0.00187616	0.0006980599999999	4.872877635999999e-07	3.5199763456e-06	-0.000408813	0.000522345	2.72844299025e-07	1.67128068969e-07	-0.000249565	0.000173336	3.0045368896e-08	6.2282689225e-08	0.0	0.0	0.0	0.0	0.0	0.0
784.3825381912255	-0.996681753617736	615255.9662193094	0.9933745179945253	991.3031383002376	0.5511017607468602	0.3037131506982896	982681.9120039	729.5143225517429	-0.9905191278630808	0.9811281426626384	532191.1468081283	797.5783643943324	615.3339527756323	0.818847	20.256216	0.091618	0.0594615	-0.0538734895	-0.0081378987	-0.0272058392	0.0588761408	-0.0155142838	0.0313706337	-0.0356249766	-0.0536272833	0.1256792275	-0.0146417433	-0.0525747364	0.1035913943	0.0800476715	0.0384186142	-0.0558471073	-0.0637997421	0.0324541594	0.0008302569	-0.023366784	0.0347772714	0.0869929435	0.0180667415	0.0032837681	0.0202746526	0.0782005538	-0.0357719248	-0.0454945475	-0.0712420369	-0.0299132782	-0.1002295309	-0.0559958925	0.0601706075	0.0641705504	-0.050636997	0.0104845916	0.0390102943	-0.0475174832	0.0321846846	0.0064036754	0.0978354425	-0.0347428727	-0.1334375936	-0.0882481381	0.1348838317	-0.0189489909	-0.0925386584	0.1361329305	0.0444284588	-0.0176837353	0.0720764684	0.0812654954	0.0030011521	0.0294383356	0.0180453279	-0.0748431199	0.1248003289	-0.0754727243	0.0329126277	0.0799454392	-0.0640652924	-0.0069814981	0.0344942171	-0.0305960824	0.0171341601	0.0107554392	0.0845942627	0.0816369181	0.0604059488	-0.0230705836	-0.0589592828	-0.084377867	0.0179044215	-0.1102372337	-0.0304727997	0.062567094	0.0546332115	-0.0689340447	-0.0567387511	-0.0379755561	-0.0107174769	-0.0381343009	0.011396918	-0.0058688968	0.1110071701	-0.0321174814	-1.35743e-05	-0.0493930915	-0.0022244444	0.0091996452	0.0511995888	-0.0045151178	-0.0874556198	0.0471947709	0.084305405	-0.0882374146	-0.0574440399	0.0356168229	0.1129422506	0.1076997553	0.099141769	-0.0645312	-4.629999999999912e-05	2.143689999999918e-09	0.00416427577344	-0.0631858	0.0543021999999999	0.0029487289248399	0.00399244532164	-0.140813	-0.019247	0.019828300969	0.000370447009	-0.00185732	1.8840000000000003e-05	3.5494560000000004e-10	3.4496375824e-06	-0.00063679	-0.000227977	5.197351252900002e-08	4.055015041000001e-07	-0.000135932	0.0001136329999999	1.2912458688999994e-08	1.8477508624000004e-08	0.0	0.0	0.0	0.0	0.0	0.0
784.833479677011	0.4509414857855063	615963.5908219253	0.2033482236024399	994.1574718727384	2.854333572500764	8.147220143104972	988349.0788803946	729.7425868849956	0.2282643332526959	0.0521046058352978	532524.2431136053	798.4729031805309	617.3109834480547	0.8619879999999999	21.323429	0.0576395	0.0304744	-0.0499229705	-0.011309411	-0.032203281	-0.0138273366	0.0180912679	0.0166845636	-0.0269429846	-0.1020424764	-0.0228611219	-0.0230958751	0.0059263491	0.1511689289	-0.0359076262	0.0490348883	-0.0327075318	-0.0713186359	0.0452448365	-0.012175091	-0.00317205	-0.0665048266	0.0454481591	0.0015321157	0.023247115	0.0371199529	0.0261602763	-0.0018731997	-0.0364653269	-0.0661846595	0.0358372768	-0.02824635	0.2116351171	0.0794320299	-0.022547157	0.0534890118	0.0676089089	0.0823095207	-0.0924538346	-0.03363109	0.1319739787	-0.0496920753	-0.0073625941	-0.0870924899	-0.0449914462	0.0584190866	0.0270570474	-0.1002549876	0.1520447688	0.026874828	-0.0150543149	-0.0213202225	0.0823598888	0.0159728066	-0.06073239	-0.0445157911	-0.0819643073	-0.0513133584	-0.1381841562	-0.0041193637	-0.0901757221	-0.0644794501	0.0069126108	0.0398272693	-0.0058351855	-0.0286881578	0.0103757459	0.0485250069	-0.0471478565	0.0673887091	-0.0913380715	0.0524251076	-0.0546358037	0.0162949663	-0.0349423651	-0.0431037776	0.0623983926	-0.0690883517	0.0101148399	-0.0202259844	-0.0932473197	0.0426061103	0.0188222606	-0.1229367188	0.1154800033	-0.0102767177	-0.0989382125	-0.1902989327	-0.0112062824	0.1091259751	-0.0423021789	0.1002586908	-0.0102914525	-0.052835012	-0.0497407471	-0.0702015552	-0.090602067	0.1039084239	0.0213962606	0.1125037874	0.1059762505	0.0953761056	-0.052818	0.0117132	0.00013719905424	0.0027897411239999	-0.0446686	0.0185171999999999	0.0003428866958399	0.00199528382596	-0.138425	0.002388	0.0191614806249999	5.7025440000000055e-06	-0.0018899	-3.257999999999993e-05	1.0614563999999955e-09	3.57172201e-06	-0.000197192	0.000439598	1.9324640160400006e-07	3.8884684864e-08	-0.000107688	2.824400000000001e-05	7.977235360000004e-10	1.1596705344e-08	0.0	0.0	0.0	0.0	0.0	0.0
