global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02
736.7754989897849	n/a	n/a	542838.1359116465	795.3189890419966	n/a	632532.2943307835	n/a	707.2165902230345	n/a	500155.3054866954	n/a	717.039410455299	580.6057609169959	n/a	n/a	n/a	n/a	-0.0637889234	0.0438409524	-0.0305981992	0.0685394601	-0.0420920942	0.0333082031	-0.016792394	0.0279437207	-0.0703471706	0.0358160381	-0.0121162464	0.0945139501	-0.004675002	0.0095646327	-0.0446272928	0.1020370762	-0.0814007064	0.0442837722	-0.0335676256	-0.0782083632	0.0699585544	-0.0343477364	0.0530612198	-0.0241149595	0.0456041279	-0.0346895255	6.95781e-05	-0.1136552772	0.0523966942	-0.0816065803	0.0452288672	-0.0836777349	0.0667643905	-0.0390502565	0.0281269477	-0.0031974541	0.0796683289	-0.0213571016	0.0167382108	-0.0434340151	0.0949725252	0.0880292217	-0.0135392747	-0.0535996367	0.0611232318	-0.018224553	-0.0101536186	0.0008126314	0.0028273428	0.1075591524	-0.0704925797	-0.0732651703	0.0329394877	0.017418392	-0.0625580675	0.1489295393	0.0006501542	-0.0662050644	-0.0107908029	-0.0742761655	0.0002075825	0.1820312339	-0.1083329022	0.0540449611	-0.0395376829	0.0326493074	-0.0019302674	0.0401972546	0.0132989606	-0.0256159023	0.0562262661	-0.1575882231	0.1260315721	-0.0794361807	0.0146398633	0.0580803996	-0.0693819741	0.0280468437	-0.0603521619	0.0792733439	-0.0090295607	0.0507627814	-0.0722346791	0.0834399637	-0.032612788	0.0458644866	-0.0339346513	0.0473388137	-0.0134903763	0.0203046766	0.0007341395	-0.1111326494	0.0677365612	0.1042793351	-0.1319308927	0.074901758	0.0538584639	-0.0005463925	-0.0195370322	-0.0583370355	0.0673856944	0.0145836856	-0.1067299852	0.0163945771	0.0428512726	0.1219389223	-0.0510439718	-0.0060198377	-0.0083910862	0.1147017419	0.1146833673	0.1146527451	0.033319	n/a	n/a	0.001110155761	1.48799e-05	n/a	2.2141142401e-10	n/a	-1.99641e-05	n/a	3.9856528881e-10	n/a	-0.000747596	n/a	5.58899779216e-07	n/a	-0.000333355	n/a	1.1112555602500003e-07	n/a	0.000185513	n/a	n/a	3.4415073169e-08	0.0	0.0	0.0
734.0368702118213	-2.7386287779635268	7.50008758349	538810.1268303662	790.6712530788623	-4.647735963134323	625161.0304452983	21.601449583012137	706.2854096817068	-0.9311805413276488	498839.07992925646	0.8670972005472531	715.952490342294	578.1744796460351	1.079043	22.084532	0.1222885412	0.0559864	0.0181309617	0.0236695364	-0.0737139089	0.0462658299	0.1897264031	-0.0822890929	0.0408055369	0.0334411342	0.0406664113	0.172945433	0.0215080178	0.0444700228	-0.1267315619	-0.0033946451	-0.0285443626	0.1282004236	-0.1254779206	-0.0689981129	0.0803814405	-0.0729849268	-0.1313723049	0.0365045449	0.0610905765	0.0186541823	0.1362634278	-0.0425794963	0.0844983465	0.0175845942	0.0114587662	-0.0365755113	-0.0267311654	0.0355116833	0.1264812772	-0.1163462934	-0.1184632578	0.069210537	-0.0613229342	0.0038850726	-0.0709620961	0.0053449306	0.0531742509	0.0061445552	-0.0474767807	0.033420255	-0.0972149102	-0.0024758895	0.0183536059	-0.0278991213	-0.1411242364	0.0592104386	-0.00323838	0.0357657004	0.0472380438	-0.0138069084	-0.1668973818	-0.0243047361	-0.0727498349	0.1414410868	-0.1322284781	-0.0640930204	-0.0314320287	0.0354914515	-0.0803816104	0.1422713321	0.0213829994	-0.0798430277	0.0138531266	-0.0955929234	-0.0791338871	-0.0759645492	0.0094505609	0.0108949608	0.0191500191	-0.0585362804	0.0567644288	-0.0923228371	-0.0679999512	0.0309130206	-0.061819837	0.1363623625	0.157823504	-0.0608149995	-0.159830505	0.0109174942	-0.0926574201	-0.020357822	-0.0449905091	-0.0111185465	-0.0197183796	-0.0485952656	0.0571005147	-0.0571323246	-0.0705532391	-0.0433969029	-0.0520614943	0.1450569287	8.12549e-05	-0.0486199015	0.0274423081	-0.1089090563	0.0791135302	-0.1385671584	0.0925609646	-0.092819555	0.0060965738	0.080696226	-0.0342072793	0.0572698464	-0.0791735339	0.1146527451	0.1144874327	0.1142120884	0.0270534	-0.0062656	3.925774336000004e-05	0.00073188645156	0.0163059	0.0162910201	0.00026588237481	0.0002653973358986	0.0461256	0.0461455641	0.00212757097536	0.0021294130861072	-0.000204514	0.000543082	4.1825976196e-08	2.9493805872400005e-07	-0.0	0.000333355	0.0	1.1112555602500003e-07	-9.77714e-06	-0.00019529014	3.81382387812196e-08	9.559246657959999e-11	0.0	0.0	0.0
732.8707684190846	-1.166101792736754	1.359793391023871	537099.5632031795	788.9248912688345	-1.746361810027793	622402.4840635423	3.049779571523548	706.3367295211337	0.0513198394269238	498911.5754706113	0.0026337259188052	715.5682309322879	568.6373849417298	1.091716	22.343901	0.114405507	0.0587711	0.1328615217	-0.0424138647	0.0204640085	0.0126567889	-0.0258713145	-0.0944184557	0.0229883597	-0.0903508751	0.110574244	0.0579876092	-0.1783664449	-0.0758994048	-0.0048275536	0.0987859968	0.069339967	0.05949609	-0.1299717102	0.0568576118	0.0863017326	-0.0050571023	0.1214544163	0.0242446723	0.0057658936	0.0637087399	-0.030534578	-0.0052003527	-0.0467824323	0.0111851419	0.0225153527	-0.0541312752	0.1825982606	0.095260146	-0.0164566516	0.0562606374	-0.0363926302	-0.038909886	-0.0638054101	-0.0671712274	-0.0189499581	0.0849983454	-0.0675199797	-0.2003956752	-0.0702684612	-0.0783143311	-0.1112787299	-0.0430672602	0.0058099814	0.0064342717	-0.0019509776	0.0691047553	0.149529572	0.0542029254	0.0718474679	0.0747884244	-0.0619882781	-0.1509950227	-0.097562359	0.0047986606	0.0787330606	-0.0428391024	-0.0299629935	0.0838503327	-0.0429975276	0.08128392	0.0057312559	-0.0424698662	0.006219469	0.2266885623	0.0201732934	-0.036152935	-0.1619019625	0.0324572867	-0.1055972624	0.024404078	0.0457949799	-0.013894934	-0.034870939	-0.0159014198	0.095784791	0.047381182	0.0596508015	-0.0614780631	0.0153780088	0.0188001574	-0.0772678897	0.0719216597	0.0395520156	0.1380097375	0.0233775149	0.0154252009	-0.0015723991	0.0191886452	0.0059002581	-0.00845093	0.1002987831	0.0193309252	0.053737147	0.071273196	-0.0387552304	0.0224070162	0.1619494684	-0.1001970085	-0.0134977902	-0.0195348308	-0.0560566702	-0.0251411606	0.2216205207	0.059273966	-0.0576991621	0.1145547726	0.1140958982	0.1133324686	0.0293029	0.0022495	5.060250250000007e-06	0.00085865994841	-0.0162261	-0.032532	0.00026328632121	0.001058331024	0.0597938	0.0136681999999999	0.00357529851844	0.0001868196912399	0.000675806	0.00088032	4.567137496360001e-07	7.749633023999999e-07	-0.0	0.0	0.0	0.0	0.000429019	0.00043879614	1.9254205247889962e-07	1.84057302361e-07	0.0	0.0	0.0
732.9184337403793	0.0476653212947439	0.0022719828541311	537169.4305164508	785.3351141103102	-3.589777158524271	616751.2414546539	12.886500047862588	706.2997657395979	-0.0369637815358601	498859.3590838109	0.0013663211454307	714.7698569683213	567.4645266137444	1.158118	23.70294	0.1235738	0.0761555	-0.0028058383	0.1039112533	0.1101089913	-0.0135959225	0.0080848422	0.0060537378	0.0978725038	-0.1685763629	-0.079828796	-0.0398071106	-0.00546942	0.0678357725	-0.1536743952	-0.1050510739	0.0929907994	0.0091749721	-0.1332584568	-0.0478805879	-0.0691847594	-0.0151242362	0.0609265119	-0.05821556	-0.0059647671	0.0736987786	-0.0841093039	-0.0810282882	-0.0315194329	-0.051484613	0.0819703091	-0.0950208572	0.093482335	0.0900889074	-0.1705265442	0.0544680575	-0.1842949307	-0.0890547408	0.189277732	-0.0584066552	-0.0010409138	0.0391781897	0.0079493601	-0.0633507953	0.1380381331	-0.062242669	-0.0927548019	-0.1149231763	-0.054287126	-0.1204970362	0.043404806	0.0730344025	0.0587252791	-0.0547458399	0.053737658	-0.0814425688	0.0927243576	0.0778738687	0.0406830475	-0.0213847212	-0.0537569783	0.0619328885	0.053344535	0.0551390251	-0.042418716	0.0592140035	-0.1539433073	-0.0757204378	0.1328194696	0.0627561282	0.0221386219	0.0406720245	0.0070244251	-0.0237876179	0.0182658252	0.087555725	0.025689086	0.0047626476	-0.0379065936	-0.0249778141	0.1484129025	0.0106429657	-0.0951081917	-0.1309484476	0.0351390498	0.1504895444	0.0527120984	0.0622595597	0.0141924253	0.2317723214	0.0425339886	0.0721212503	0.1243307945	-0.1652026523	0.0912442396	0.0613728188	-0.0345838523	0.0729478019	0.058490199	-0.0077084861	0.0502405401	0.0313421636	0.0168760309	0.0427454668	-0.0878045143	0.0443898183	0.1156803629	-0.0720434633	-0.133380125	-0.0499024357	-0.0988791574	0.1144078661	0.1135094328	0.1120172664	0.0343068	0.0050038999999999	2.5039015209999982e-05	0.00117695652624	0.052722	0.0689481	0.002779609284	0.00475384049361	0.0742677	0.0144739	0.00551569126329	0.00020949378121	0.000122591	-0.000553215	1.5028553281e-08	3.060468362250001e-07	-7.569780000000001e-24	-7.569780000000001e-24	5.730156924840002e-47	5.730156924840002e-47	0.000279276	-0.0001497429999999	2.2422966048999996e-08	7.7995084176e-08	0.0	0.0	0.0
734.210158650563	1.2917249101836887	1.6685532435890589	539064.5570656849	789.8760159458279	4.5409018355177295	623904.1205664538	20.619789479808286	706.2328321534477	-0.0669335861501849	498764.8132114798	0.0044801049549242	715.8205731988191	566.9981363372734	1.163092	23.804733	0.09754358	0.0628926	0.093176236	0.0606924906	-0.0731338336	-0.0646307766	0.0570702693	-0.050303673	0.0515148826	0.0453880363	0.1832552125	-0.0204399909	0.0121312297	0.0305712159	-0.0773044298	-0.0195204352	0.0733776625	-0.0835179454	-0.1174991513	-0.0350453445	0.0191752603	-0.0156425688	-0.0212931503	0.1622883102	-0.0911362609	0.1053731391	0.0934151265	0.0339429131	0.0107106096	-0.0589167687	0.0087736046	-0.0164825829	-0.1101104888	0.1590407636	-0.0294477324	-0.0545534003	0.0847996068	-0.1658883405	0.1623467348	0.0911659304	-0.0504466488	0.1008729181	0.031735413	-0.1147162986	-0.0093005772	0.0608490723	0.0308146438	-0.0491654739	0.0897520142	0.0562826807	-0.0138221514	-0.1593030285	0.0043489781	0.0156986689	-0.1657530615	-0.0247015757	0.005008192	0.0465936846	-0.0561923143	0.0109421861	0.0490694861	-0.0890400654	-0.0610383464	0.0612109169	0.054411119	0.1106683393	-0.0279717979	-0.0992493468	-0.1158886336	-0.0108833701	-0.0263621875	0.0368152172	0.0620924805	0.1409023063	-0.0505366666	-0.0668580926	-0.0043250617	-0.0694290857	-0.066499155	0.0194110393	0.0524660327	0.0214087708	-0.222301452	-0.1011861156	0.0210536003	-0.0751450113	0.0319486089	0.0921460436	0.0375415186	0.037722283	-0.0076893102	-0.0078290862	-0.1461045982	0.0442761943	0.0855119424	-0.1328412282	-0.0483445333	-0.0401287366	-0.0029243767	-0.052954904	0.0420159887	-0.0268765347	-0.0768046237	0.1053099684	0.0683936957	-0.215822131	-0.0373558728	-0.0334661441	0.0279196543	0.0915209315	0.0755196555	0.1142120884	0.1127290384	0.1102715368	0.0290243	-0.0052824999999999	2.790480624999999e-05	0.0008424099904899	-0.00659953	-0.05932153	4.355379622090001e-05	0.0035190439215408	0.0912122	0.0169444999999999	0.0083196654288399	0.0002871160802499	0.000327627	0.000205036	1.07339451129e-07	4.2039761296e-08	-0.0	7.569780000000001e-24	0.0	5.730156924840002e-47	0.000164411	-0.000114865	1.3193968225000004e-08	2.7030976921e-08	0.0	0.0	0.0
734.4641363010938	0.2539776505308282	0.0645046469691595	539437.5675125117	787.0844853323836	-2.7915306134443654	619501.9870509431	7.792643165797075	708.2745519337292	2.0417197802814826	501652.8409169248	4.168619661192666	716.7064633182802	569.4532013945998	1.112591	22.771137	0.0916149249999999	0.0578152	0.0853334545	0.0210912187	0.1018028924	-0.0704156336	-0.0347478977	-0.0157613278	0.0472681177	-0.0450194872	-0.0088899498	-0.08748158	-0.0399311809	-0.1175689742	-0.197203444	0.1279030224	0.019289464	0.0308308512	-0.0061287578	0.0431740176	-0.0536863334	0.0132504962	0.0045702625	0.0158433961	0.1013329615	0.0338868697	-0.0287384988	0.0263556116	-0.0209341556	-0.0543244443	0.0429249734	0.0165314918	0.0441024078	0.2017740467	0.0353763062	-0.0187278227	0.0039033516	0.037372333	0.1270495665	0.0617015673	0.0767619923	0.0180227156	0.0345336749	-0.0964278331	-0.0044096369	0.0585710302	0.2783286369	0.1023539521	-0.1002861974	0.1005509253	-0.0044374995	-0.0935503785	0.0378236147	-0.0421684612	0.0806346122	-0.0316934466	0.1154644915	0.0095641313	0.0470745166	-0.1356768826	-0.0188140546	-0.0062179751	-0.1008315041	-0.1288652206	-0.0462797155	-0.0119693484	-0.0442817653	0.0548875428	0.0898449922	0.0858337741	0.0237303333	-0.1406568557	-0.0525890345	0.0563104246	-0.0504322965	-0.0442362034	-0.0810121976	0.0288766338	-0.1215649808	0.0206271181	0.1525803914	0.1528987214	-0.1007543038	-0.0332208861	0.067078218	-0.1481243267	0.1455305012	0.0304455765	0.123109402	0.067160859	-0.0160953244	-0.0065808653	-0.0786001728	-0.1048570823	-0.1329012224	-0.0230730496	-0.0059165644	-0.0376177429	-0.069277665	0.1045322254	-0.0363751053	0.0769636435	-0.0128058701	-0.0644433165	-0.1094529104	0.0212349625	0.0208811075	-0.052862316	0.0393194769	0.1299363569	0.1718591378	0.1139675232	0.1117560484	0.1081019891	0.0271452	-0.0018790999999999	3.531016809999993e-06	0.00073686188304	0.0282813	0.03488083	0.00079983192969	0.0012166723014889	0.048372	-0.0428401999999999	0.002339850384	0.0018352827360399	0.000549506	0.0002218789999999	3.01956844036e-07	4.923029064099998e-08	-1.00619e-05	-1.00619e-05	1.0124183160999997e-10	1.0124183160999997e-10	0.000156056	-8.354999999999984e-06	6.980602499999973e-11	2.4353475136000006e-08	0.0	0.0	0.0
735.0821329387377	0.6179966376438415	0.3819198441390935	540345.742165764	794.207011291169	7.122525958785445	630764.7767840511	50.730376033572526	707.7304021240503	-0.5441498096788564	500882.32209067	0.2960990153735356	717.1406889079728	572.1976222774873	1.189843	24.352238	0.071547105	0.0413015	-0.0392157616	0.1096024238	-0.0217620406	-0.041409317	0.0756053787	0.0064999784	0.088963481	0.0067140215	-9.84352e-05	0.0285817037	0.1765182014	-0.1241537211	0.0708907971	0.0498842448	0.0728607162	0.0970046184	-0.046082595	-0.1438375942	0.0503930588	0.0598806588	-0.1166811976	0.0649991187	-0.0977950625	-0.1998292326	0.0465377565	-0.0125187042	0.0625179261	-0.0742593259	-0.0285681071	-0.007310146	0.0921515911	-0.099439795	-0.0330523763	0.0638119524	0.0201979132	0.0171773452	-0.0170339543	0.0111678535	0.0503737897	-0.0116110293	-0.0157413687	0.0340790708	0.1197857092	0.0364036426	0.105387567	-2.32156e-05	0.1106667656	-0.1281698781	-0.0025701441	0.0423329375	-0.1471272022	-0.0178183335	-0.0131585657	-0.0121429287	-0.134175331	-0.172740954	0.0421273063	-0.045983566	-0.1355484166	0.0818478816	0.1238864251	-0.0422066082	0.0384007295	0.0461660429	-0.0634145529	-0.0806118978	-0.0086839959	-0.1531724769	0.0449456429	-0.0542304812	-0.0670070532	-0.1980932294	0.0031850234	-0.0366027609	0.0807654343	-0.0085351524	-0.0037702673	-0.0367509765	-0.0297211241	0.0339656914	0.0049948138	-0.1167277639	0.0403222417	-0.0175540685	0.0848238615	-0.0180105587	-0.0607837217	-0.0665854865	-0.0116586243	-0.0879655957	-0.0034607773	0.0428717265	0.0625602863	-0.1142857395	-0.0099403699	-0.0798507763	0.1056278646	-0.0170781509	0.0615086633	0.0844058013	0.0260007133	-0.0356858513	0.0673537956	0.1703582632	-0.0299657606	0.0071687489	-0.0834180467	-0.1254651921	-0.0084206672	0.1136742748	0.110592125	0.105516962	0.0264779	-0.0006673	4.452892900000035e-07	0.0007010791884099	0.0373805	0.0090991999999999	0.0013973017802499	8.279544063999997e-05	0.0745311	0.0261591	0.00555488486721	0.00068429851281	4.37126e-05	-0.0005057934	1.91079139876e-09	2.5582696348356e-07	-4.8899e-05	-3.88371e-05	2.391112201e-09	1.50832033641e-09	-1.17436e-05	-0.0001677996	2.8156705760160005e-08	1.3791214096e-10	0.0	0.0	0.0
735.4021192569617	0.3199863182239824	0.1023912438505397	540816.2770076304	792.5292640757796	-1.677747215389445	628102.6344164967	2.814835718747037	706.9825373988702	-0.7478647251800794	499824.308186945	0.5593016471686757	716.7262729898407	571.0639013102851	1.124754	23.020088	0.12392044	0.0736777	0.1223767839	-0.0410973126	-0.0532547213	0.0754287609	-0.0751594891	-0.082665695	-0.0450147854	0.0080019414	0.1041937951	0.0043472711	-0.108779557	0.0967855301	0.1530504687	-0.0225185361	0.0737916308	0.0584420734	-0.0654220652	0.0648802254	0.0936237464	0.0084069235	0.0203121805	-0.0285824041	-0.1281810505	-0.0117632693	0.0921522801	-0.0335728923	0.1071926692	-0.0770500366	0.0935507686	0.0854219838	-0.1646142966	-0.0754454133	-0.0104994243	-0.0547172398	0.0517334596	0.0307260149	-0.0687691012	0.0303149971	-0.1594555859	-0.0599865475	-0.0748308864	0.0828893145	0.0258139642	-0.0760331377	-0.0560260269	-0.0866079075	-0.1512715078	-0.1055977609	0.0174877598	-0.0498598657	0.1221182436	0.1335781911	0.0852044044	-0.0313630313	0.0118857082	0.0865882604	0.0485839922	0.040567363	0.1022987313	-0.0633165748	-0.061304897	-0.0471295386	0.1326274289	0.097332095	0.0706100035	-0.0124302662	-0.0974418128	0.0780934533	0.0131755021	0.0932832334	0.0925887719	0.0050955951	0.07773904	0.0082403778	0.0185575653	-0.0475208833	-0.1616454217	-0.1063686914	-0.0884159026	-0.0572902722	-0.0232891227	0.0928863219	0.0851751343	-0.0053910348	-0.1312795661	-0.0641513799	-0.0291770067	-0.1109501474	-0.0290983038	0.048902654	-0.0411141846	-0.0233775089	-0.0106497772	0.007855011	0.1079939818	0.0947171712	-0.0369053064	-0.0125969993	0.0197733413	-0.0203743598	-0.2210151802	-0.0834318959	0.0498747479	-0.0646818816	0.0268713288	-0.0668580775	0.0883376019	-0.0093421367	-0.0396982845	0.1133324686	0.1092392569	0.1025263906	0.025619	-0.0008588999999999	7.377092099999987e-07	0.0006563331609999	-0.022766	-0.0601465	0.000518290756	0.00361760146225	0.0411275	-0.0334036	0.0016914712562499	0.00111580049296	0.000185419	0.0001417064	3.4380205561e-08	2.0080703800960004e-08	0.000380513	0.000429412	1.4479014316900004e-07	1.84394665744e-07	-3.0854e-05	-1.91104e-05	3.6520738816e-10	9.51969316e-10	0.0	0.0	0.0
735.1034570483714	-0.2986622085902581	0.0891991148400108	540377.0925644669	791.8686981317833	-0.6605659439962892	627056.0350809253	0.4363473663677087	708.3118838193135	1.329346420443244	501705.7247596647	1.767161905545266	717.3241393248278	574.5237906158974	1.159144	23.723928	0.110723005	0.0670484	0.0157561947	0.0135687455	0.1392344991	0.0413581742	0.0105717536	-0.0013781113	0.002955711	-0.078744662	-0.0191370696	-0.0372859699	-0.0050688899	-0.0776534718	-0.0810546784	0.0801899666	-0.0487527482	-0.0821105442	0.0080936922	-0.0240180947	-0.0043668224	0.0404939544	0.0354939478	-0.0678149585	0.0555387203	0.0315125553	-0.0687456103	0.1208786091	0.0165002654	0.018534305	0.054687102	-0.0533781498	-0.0672381604	0.0262120743	-0.0390997541	0.0291306198	0.0339205903	-0.0777648774	-0.1245043048	0.0827620408	0.0330003603	0.1657103819	-0.1269004296	0.0920949623	0.0120316461	-0.0456580441	0.0283606022	0.1272680236	-0.0093191274	0.0070777051	-0.0276906368	0.1412466317	-0.0296857763	-0.1470960576	0.1272225483	0.1923811965	-0.0016200967	0.2201974761	0.0408896325	0.0096711323	-0.0259816904	0.0408561456	0.0277500452	-0.1110713545	-0.0996864114	-0.0124436205	-0.0012680054	0.0036223938	0.0899208635	0.0257042569	0.0601645021	-0.1403913455	-0.0223086753	0.0621335766	-0.012524625	0.0293269352	-0.0332137967	0.0688844476	-0.0483502802	-0.0462417301	0.0458475925	-0.0324529734	0.0265462709	-0.0755286974	0.0290003329	-0.0186503839	-0.126284592	-0.1578840664	0.0032226474	-0.0201631573	0.075909198	-0.0757076556	-0.0152596284	0.0583602608	0.1301763113	0.1117562059	-0.0121558359	-0.0536428717	0.0703970033	0.2188372749	0.1270381439	0.0679224294	-0.0563892134	0.0313983467	-0.0538771501	-0.0012424228	-0.0010054728	-0.0365002161	-0.1245128089	-0.1015272982	0.0137394516	0.1129422506	0.1076997553	0.099141769	0.0181721	-0.0074468999999999	5.545631960999999e-05	0.00033022521841	0.0372503	0.0600163	0.00138758485009	0.00360195626569	0.0425419	0.0014144	0.00180981325561	2.0005273600000088e-06	-0.00011408	-0.000299499	1.30142464e-08	8.9699651001e-08	-0.000106372	-0.000486885	1.1315002384e-08	2.3705700322500005e-07	1.96701e-05	5.05241e-05	2.55268468081e-09	3.8691283400999997e-10	0.0	0.0	0.0
734.8675668777238	-0.2358901706476217	0.0556441726081641	540030.3408487858	792.9901555305543	1.1214573987709855	628833.3867683726	1.2576666972581851	707.0813733358896	-1.230510483423927	499964.06851856766	1.5141560498161872	716.9442396498405	571.992772199715	1.22818	25.136873	0.0760111199999999	0.0395544	-0.0417874448	0.1185925379	-0.033381632	-0.007649444	0.0048790634	0.045840523	0.0449272662	-0.034366356	0.1225355375	-0.0867926815	0.1151857663	-0.0609687153	0.0218612842	-0.0161556717	0.0388244919	-0.0103177415	-0.1135638906	-0.0845155771	-0.0211167281	0.007812305	-0.004692943	-0.0013088055	-0.0180817165	0.0478267913	-0.0454614633	-0.0464272893	-0.0534001786	0.0929431748	-0.1068406517	0.0525114898	0.0395374973	0.0258533266	-0.0725685667	0.128789625	0.1150775773	-0.0582194765	-0.0116983948	0.0114411038	-0.05119858	-0.0436185252	0.1101842536	-0.0734364963	-0.1301509955	0.1575466485	-0.0858012028	0.0675881869	-0.0731234278	0.1154831207	0.0662577275	-0.0771595181	-0.1215388633	-0.0472980476	-0.0652717717	-0.0940926756	-0.094349179	0.0752142595	0.0131831608	-0.0323277245	0.0756118572	-0.0091384138	0.1195203004	-0.0468020263	0.1224326824	0.0391753492	-0.0836162298	-0.1106586431	-0.0631424133	-0.008022742	0.0409359225	0.0326163471	-0.0410171338	-0.0521330741	-0.0330605726	0.0831609119	-0.0197137538	-0.0579479391	0.0700436938	0.0414386199	0.0575540996	-0.0471101703	-0.0799926799	0.096425625	-0.0689619886	0.0337800662	0.0169470276	0.0049336614	0.0500886322	-0.087002988	-0.1268773155	0.1473219046	0.0137938545	0.1035002186	0.0224346338	-0.0751861221	0.0453729925	0.0603365595	0.1377937085	0.0611535201	-0.059680293	0.0652951393	-0.0113855443	0.1087820997	-0.0100165225	-0.1330633917	-0.1295442363	0.1243764898	-0.0882220485	0.0608200422	0.1386048128	0.1125037874	0.1059762505	0.0953761056	0.0137788	-0.0043932999999999	1.9301084889999995e-05	0.00018985532944	0.0226764	-0.0145739	0.00051421911696	0.00021239856121	0.0711339	0.028592	0.00506003172921	0.000817502464	0.000424819	0.000538899	1.80471182761e-07	2.9041213220100004e-07	-0.000106372	0.0	1.1315002384e-08	0.0	-1.04693e-05	-3.01394e-05	9.083834323599997e-10	1.0960624249e-10	0.0	0.0	0.0
