global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
767.4732211651321	n/a	589015.1452055839	n/a	744.4942474247778	n/a	n/a	554271.6844485862	768.2423761416605	n/a	n/a	590196.3484997846	763.7078196410391	523.9600928041608	n/a	n/a	n/a	n/a	-0.0744011302	0.0570391219	-0.2229568998	0.1286848105	-0.1345122939	0.000488021	-0.2177005147	0.170463141	-0.263759197	0.0610274892	-0.032512426	0.0189605135	-0.0604333127	-0.1576094808	0.2235778693	-0.0589205884	0.0040068019	0.1228556921	-0.0329005192	0.04055862	-0.1753379518	0.1766632545	-0.1207846747	0.0175628068	-0.1523061539	-0.1045747345	0.0393497469	-0.1068905958	0.0231384765	-0.0266892317	0.0166035109	-0.1850341188	0.0660596693	-0.0765781446	0.104615741	-0.0460469847	0.0753813888	-0.0186263138	0.0638487207	-0.0405735845	0.2202817227	-0.0753412808	0.077660768	-0.0632107951	-0.0835916318	0.050206087	0.0983546462	-0.0562005112	0.0074711493	0.0191915696	-0.0039248994	-0.0013093524	-0.0545388505	0.0711670466	0.1035352423	-0.0661064655	-0.0564729155	0.0124433653	0.0199874968	0.0105432615	-0.0277270221	-0.0579718853	0.008249978	0.0122633188	0.0740612434	-0.0937210347	0.1354874789	-0.0604297719	0.1132757582	-0.1110358271	0.1079389945	-0.0637951236	0.2497797419	-0.1511973638	0.1178997594	-0.0289103126	0.0231949929	-0.056884159	0.0503814607	-0.0533635644	0.0725941695	-0.0779840141	0.2060405021	-0.0610383012	0.104073424	-0.1006722261	0.0186136919	-0.0670520414	0.0555080309	-0.1056253432	0.1090727492	-0.0605519498	0.0096928142	0.1390908224	-0.0366163838	-0.0633893316	0.017952207	0.079822664	-0.1325740543	0.0213839268	0.0710143687	-0.0344800621	-0.0022231768	-0.0806219853	0.0323457145	0.0432544494	-0.0191088552	-0.0155295802	-0.0514190793	0.0629766898	0.0014227753	0.0630898224	-0.0154296248	0.1147017419	0.1146833673	0.1146527451	-0.0341256	n/a	n/a	0.0011645565753599	0.015947	n/a	n/a	0.0002543068089999	0.117715	n/a	0.013856821225	n/a	0.000955853	n/a	n/a	9.13654957609e-07	-0.00218145	n/a	n/a	4.7587241025e-06	0.000755391	n/a	5.70615562881e-07	n/a
767.0058439789702	-0.4673771861619116	588297.9646978924	0.2184414341446261	743.2982996052679	-1.195947819509911	1.4302911869905104	552492.3621960825	768.6285595227886	0.3861833811280348	0.149137603859481	590789.862514077	764.1256002831371	518.6965585978892	1.243482	24.239098	0.39220785	0.222094	0.0637068437	-0.1406056816	-0.3223193626	0.2209595921	-0.1192809762	-0.0482707097	-0.1083797177	0.1803401586	-0.2000440505	0.1112350409	-0.0634607441	-0.1451064092	-0.2680891573	-0.0073050313	0.0749699335	0.0375590448	-0.2586282146	0.0269408931	0.0446657319	-0.0229537661	0.1037930735	0.0271125124	-0.1608199094	0.0796080575	-0.0222347811	-0.2571332415	-0.2249253806	-0.0254610501	0.0063172877	-0.1624775339	0.0367428085	-0.1238157914	0.0735629746	0.0207087517	0.0575576645	-0.0314443262	-0.1623756883	-0.1769542986	-0.0066410575	0.0545176425	0.0888067193	0.0833475846	-0.0283363346	0.0402065799	-0.0508088679	-0.0739844435	0.0300395532	0.0785667073	0.0529098158	-0.1242823404	0.0554636665	-0.0496532349	-0.038515473	0.0486111382	0.0456922421	0.018382544	0.0102910731	0.0683083995	0.1113584604	0.02776315	-0.094787777	0.0235253174	0.1022437962	0.0050453516	0.1324407469	0.0044081641	-0.0480849137	0.0349410231	-0.1382650617	-0.1655940439	-0.017005083	0.0296990429	0.2943479715	-0.2500271447	-0.076503137	0.097106803	0.1835550688	-0.077420933	-0.0043281888	0.0185943726	-0.0799413933	-0.0459870493	0.0257885339	-0.049452917	-0.0875861715	-0.1323290243	0.1385211243	0.149674153	0.0307618696	0.0004903611	0.0327513239	-0.0333964754	-0.1356778016	-0.0863414114	-0.0565512893	-0.0021499848	0.0165769294	-0.0134557616	0.0551087525	0.0716415171	-0.0420214065	0.0609962543	-0.0396861765	-0.0629877082	0.011351601	0.0403652145	0.078290936	-0.0390416537	-0.0869103129	0.0703810478	0.0107835645	0.001549724	0.0129936521	0.1146527451	0.1144874327	0.1142120884	-0.0498286	-0.015703	0.000246584209	0.00248288937796	0.193186	0.177239	0.031413663121	0.037320830596	0.247447	0.129732	0.061230017809	0.016830391824	0.00186441	0.0009085569999999	8.254758222489999e-07	3.4760246481e-06	-0.00247498	-0.0002935299999999	8.615986089999987e-08	6.1255260004e-06	0.000566801	-0.0001885899999999	3.21263373601e-07	3.556618809999999e-08
767.8364827696404	0.8306387906701502	589572.8642720523	0.6899608005659696	743.8726666715215	0.5743670662536715	0.3298975267968494	553346.5442210006	767.1293630087432	-1.4991965140453658	2.247590187725777	588487.4595902001	762.8931206895815	519.756729569206	1.172862	22.86252	0.39101709	0.224356	-0.0078373102	0.0248101459	-0.1803767946	0.2290999654	-0.0778786224	-0.0127375263	-0.0994405986	0.0278855356	-0.2553307545	0.0776211795	-0.0633166244	-0.0622643177	-0.0581316737	0.0093228377	-0.0453895565	-0.0823273752	-0.1046477777	-0.1012644188	-0.0921116964	0.0542808748	0.1592231998	0.0133989733	0.0208091566	-0.0045309725	-0.0257004708	-0.11162108	-0.035122432	-0.1006828923	0.0681292627	-0.0904694371	-0.0919686092	0.0220630256	0.0240138654	-0.0696491927	-0.1136704395	-0.1717914444	-0.0073257906	0.0421608965	-0.0467749103	0.117033537	-0.0637379139	-0.0467384669	0.0261908012	-0.1272691301	0.1337047124	-0.1546227759	0.0904804293	0.1272186438	0.1169660657	-0.0710836329	-0.0262691063	0.0042969623	0.0758676683	-0.0195845782	0.0072048988	0.078982499	0.0040685958	0.0845079411	0.040634147	-0.0531969424	-0.0822756596	0.1146854687	0.0487250669	-0.0488935621	-0.0674737784	0.1371798422	0.0521456601	-0.0229595016	-0.057534722	-0.0931960079	0.0924278346	0.0940140336	0.0625534868	-0.0994426364	-0.0381403566	-0.0135634972	0.0650892645	0.0729605867	0.0056180746	-0.1635726992	0.0915639184	0.1715535319	-0.0426021266	-0.1218825194	-0.108140736	-0.0631798268	-0.0988681548	0.0534036469	-0.1052524482	0.0428181994	-0.1115085943	0.091381436	0.0179745567	-0.1517460246	-0.1678506956	-0.1551496388	-0.0215038192	0.0276626578	-0.0035904754	0.1750955623	-0.1229461524	-0.1102471365	-0.0065483739	0.1015327352	0.0824653236	0.0069839802	0.0407313125	0.1105860534	0.0555671259	0.0011667791	0.1091581958	0.0310553464	0.019504904	0.1145547726	0.1140958982	0.1133324686	-0.0498021	2.6499999999998747e-05	7.022499999999334e-10	0.00248024916441	0.00222431	-0.19096169	0.036466367047656	4.947554976100001e-06	0.133669	-0.1137779999999999	0.017867401561	0.0129454332839999	0.00086459	-0.0009998199999999	9.996400323999995e-07	7.475158681000001e-07	-0.00281721	-0.00034223	1.1712137290000017e-07	7.9366721841e-06	0.000949769	0.000382968	9.02061153361e-07	1.46664489024e-07
768.6999781702324	0.8634954005920008	590899.6564389158	0.74562430684354	748.8036535619813	4.930986890459735	24.314631713885767	560706.9115877716	767.4596492331949	0.3302862244516973	0.1090889900625569	588994.3132011385	763.2483879868902	525.2118345120417	1.031946	20.115656	0.141574415	0.0747908	-0.0215862275	-0.07317198	-0.1730714301	0.0344166175	-0.0441661815	0.0081943488	-0.049466013	0.1554661662	-0.1322674004	0.0034105937	-0.0310664611	-0.06306186	-0.0352085414	-0.0625190814	-0.0402009307	-0.0244139507	0.0341331091	0.1579072066	-0.0206752695	-0.0643948255	-0.0283871053	0.0561441212	-0.1629685992	0.0894081157	0.0051373635	0.0286019507	0.0803493061	-0.052882364	0.1718862717	-0.0239211339	0.0836307398	0.0844992119	-0.0080287191	0.0872649957	-0.1064284781	-0.059001909	0.1138757308	-0.0021754042	-0.0263840595	-0.0299134788	0.0690762657	-0.2288204378	0.0262415496	0.0270324686	-0.0233196958	0.0829819844	-0.0117024824	0.052738592	-0.0819178419	0.0175658771	0.1312960181	0.0098855413	0.0514639986	0.0612440014	0.0251889334	-0.0936963397	-0.029471274	0.0220404613	-0.0100359962	0.0187568787	-0.0005246821	-0.0817896635	0.0140598429	0.1183498824	-0.0645068486	-0.1342543103	0.0089077533	-0.0760916029	0.0018202246	-0.0684076989	0.059323665	-0.0667558305	0.212489586	0.0068879353	0.1398328193	-0.1279704851	-0.096529044	0.0487255524	0.0070559043	-0.1351112118	0.0588281108	0.126255514	-0.0810391226	-0.0012571307	0.1036386042	-0.0324749543	-0.0614052319	-0.0501799483	0.140278367	0.0287510628	0.0713074292	-0.0871674017	0.0427548373	0.0355338569	-0.0301426685	0.1098180225	0.0142373525	-0.0269275544	-0.0029495721	-0.0104792615	0.0975545729	0.0763331473	0.0315139568	-0.0303564667	-0.030720606	-0.1454851935	-0.1236821855	0.0276587671	-0.0158821009	-0.0752139362	0.0179902916	-0.0646894971	-0.0368270989	0.1144078661	0.1135094328	0.1120172664	-0.0681102	-0.0183080999999999	0.0003351865256099	0.0046389993440399	0.056439	0.05421469	0.0029392326117961	0.003185360721	0.154466	0.0207969999999999	0.023859745156	0.0004325152089999	8.645049999999998e-05	-0.0007781395	6.0550108146025e-07	7.473688950249996e-09	-0.00271847	9.873999999999994e-05	9.749587599999989e-09	7.390079140900001e-06	0.0008615559999999	-8.821300000010004e-05	7.422787411358277e-07	7.781533369017649e-09
768.5729768349222	-0.1270013353101831	590704.4207208939	0.0161293391705695	747.0092689534321	-1.794384608549194	3.2198161233982447	558022.847902341	766.3650938320305	-1.0945554011643708	1.1980515262180966	587315.457044177	761.541469853765	523.4020571512634	1.100914	21.460037	0.257240025	0.139652	0.0518101784	-0.1932847459	-0.0131948555	0.2012404247	-0.0232925326	0.0285171797	0.0717769983	0.0115992343	-0.1204633828	0.2420046774	-0.0590034819	-0.063151129	-0.0610729446	-0.0134855421	0.1591152434	0.0342751194	0.0280964181	-0.0935610783	-0.0755643426	-0.0323753457	0.1304621942	-0.0708547432	-0.1863751958	-0.1066160603	-0.0608541663	-0.1848787491	0.0762380142	0.0306384856	0.0004498541	-0.0535713985	0.0331858315	-0.0778583517	-0.0519628053	0.0930966728	-0.2024499312	-0.1529796178	-0.0053447834	-0.0335441126	-0.132374634	-0.0444314795	-0.0474102638	0.0096888442	0.1093548111	0.157029734	-0.0149305593	0.0039649311	0.141385191	-0.1425289628	-0.0237798533	-0.1085811002	0.0605815276	0.0206995481	-0.1213553995	0.0608644838	-0.1921337558	-0.0685009918	-0.0392730501	-0.2326620845	-0.0113860151	0.0086062849	0.1375562871	-0.0048806427	-0.0084989436	0.0886753523	-0.0617307485	0.1150362265	0.0058805857	-0.0494683176	-0.0605851865	-0.1971194099	-0.0472485227	0.1280787917	-0.0027503765	-0.2200243563	0.0099439615	-0.1127391999	-0.0355271827	-0.0169509081	0.1635549012	0.0410937609	0.0240566478	0.1578992003	-0.1186830217	0.0550297458	-0.0378039463	0.0810709281	0.0761416057	0.0777372148	0.1352147089	0.0127648084	-0.0825178846	-0.0776676713	-0.0361125252	-0.0786357177	-0.0839401459	0.0528632324	0.017625123	-0.1396348946	0.0973780725	-0.1804272532	0.0697790801	-0.0633747917	-0.0464211698	0.02759648	0.0296746577	0.1031562705	-0.1066019923	-0.0935804886	0.0480768261	-0.0776767397	-0.0906709998	-0.0397512602	0.0111181436	0.1142120884	0.1127290384	0.1102715368	-0.0662384	0.0018717999999999	3.503635239999973e-06	0.00438752563456	0.135477	0.0790379999999999	0.0062470054439999	0.0183540175289999	0.240536	0.08607	0.057857567296	0.0074080449	-0.00115315	-0.0012396005	1.5366093996002498e-06	1.3297549225e-06	-0.00253227	0.0001862	3.467044000000003e-08	6.4123913529e-06	0.00124096	0.000379404	1.5399817215999998e-06	1.4394739521607584e-07
768.4514657035543	-0.1215111313679244	590517.6551419408	0.0147649550463129	746.4641294077039	-0.5451395457281478	0.2971771243166913	557208.6964924013	765.3822612949347	-0.9828325370958736	0.965959795974312	585810.0059049476	761.0663500200105	526.0184056970533	1.114678	21.72834	0.1158150999999999	0.0707652	-0.1040336504	-0.1301392334	-0.0311670494	0.0187404511	0.0102718555	-0.0197540391	-0.0409692695	0.1520557349	-0.0047207185	0.0669230785	0.0553057388	0.0058156625	0.0789133667	-0.0050780519	-0.0434997507	0.0632499845	0.167445507	0.1419010588	-0.1812266421	-0.0972216356	0.1408024813	0.1666758702	0.113174757	-0.10800312	-0.0161222417	0.126238283	-0.0705937048	-0.0033158303	-0.0695251211	0.0407519098	-0.2218145166	-0.0511805244	-0.0677062178	0.0134516909	-0.0305225893	-0.0567642209	0.1138767588	-0.0189052993	0.0509074723	-0.0070968941	-0.0325038554	-0.0800830885	-0.1907366658	-0.0385802674	-0.020888713	0.1039842986	-0.0048915203	0.0270409509	-0.0285323538	-0.0378725763	-0.003000234	-0.1070653397	0.0859962397	0.0049852265	-0.0092509184	0.1556285391	-0.108172969	-0.0719419371	0.0394635747	0.0469040388	-0.0147083568	-0.0350953775	-0.1309783026	0.0181297765	-0.0156473564	-0.1194664317	0.0833763896	-0.1591244171	-0.0414346633	-0.125136437	0.1703548047	-0.0057534774	-0.1827513413	0.1020544566	0.001458969	0.0467342344	0.0773350848	-0.0958899367	-0.0665799337	0.0387350615	0.0835626338	0.0803239874	-0.0195628022	-0.1808322375	-0.0016084687	-0.0423465107	-0.0444749224	-0.0118743346	0.024040804	-0.0586235463	0.1682485183	0.0433221946	0.0721257373	0.0240872461	-0.0036982832	-0.0425822135	-0.0227778663	-0.1388231971	0.0922833342	-0.0484915003	-0.0228476773	0.0124423914	0.2348266676	0.0776945206	-0.061562789	-0.0271081472	0.0502314119	0.1825626021	0.0329563005	-0.0474566681	-0.0240260636	0.0018551034	-0.081266535	0.1139675232	0.1117560484	0.1081019891	-0.0498306	0.0164078	0.00026921590084	0.00248308869636	0.0789412	-0.0565357999999999	0.0031962966816399	0.00623171305744	0.201389	-0.0391469999999999	0.040557529321	0.0015324876089999	-0.00115578	-2.629999999999993e-06	6.9168999999999654e-12	1.3358274083999998e-06	-0.002496	3.627000000000014e-05	1.3155129000000102e-09	6.230016e-06	0.00127655	3.559000000000006e-05	1.6295799025e-06	1.266648100000004e-09
769.2344527535378	0.7829870499834897	591721.6433030347	0.6130687204418478	750.004759179231	3.540629771527051	12.5360591790237	562507.1387914963	768.7133460067117	3.3310847117770663	11.096125357034902	590920.2083288345	764.4693960594433	524.0941181300445	1.128197	21.991858	0.0792667	0.0523543	0.1038715471	-0.188648972	-0.0154223125	0.1121304717	-0.021132568	-0.0302178394	0.0683751215	0.0468998506	-0.0160095942	0.155163761	-0.0746749434	-0.0517695899	-0.1671400525	-0.0416610854	0.1206381617	-0.0038783132	-0.0071039148	0.0735406124	0.0344104219	0.0550918913	0.1412175206	0.0520386616	-0.0462611302	0.0326413912	-0.10368827	0.0456847308	-0.0833908383	0.0811667053	0.0061416645	0.0220142484	-0.0695640914	-0.1235680904	0.1875666235	0.0752776513	-0.0551005382	0.0267952819	0.1460445449	0.0072258115	-0.1691770829	0.0887378085	-0.0891870108	-0.0069765101	0.0802927738	-0.0449030528	0.064676542	-0.0799192628	7.89782e-05	-0.0539641072	0.0003233551	0.1039706958	-0.0726288058	-0.0993355416	0.0837392103	0.0420185725	0.0863616853	0.0302505372	-0.0168017992	0.0709746945	-0.0317165303	-0.1213538651	0.0720259035	0.0855861343	-0.0670177303	0.068320013	0.0635293738	-0.0019742009	0.00103285	0.081056067	-0.1060156298	-0.1274609072	0.0076993025	0.0157130015	0.1031756623	-0.0863993671	0.0663701229	0.0118533604	-0.056889847	-0.2122336378	-0.1378236826	0.1828749105	0.1370343044	0.0506943882	-0.0286628162	-0.0067933466	0.0888643734	0.0885843087	-0.1164657385	-0.0056896678	-0.0906452962	0.0932752515	-0.0671262632	0.0076441667	-0.0210231829	0.0020725958	0.0732000141	0.0056029793	-0.1178557587	0.0570333889	-0.0905785017	0.0201614896	0.0050525507	-0.2028078911	0.0595104282	-0.037430867	-0.0185141018	-0.043576633	-0.0297726379	0.0755256836	0.0257020477	0.1304296941	-0.0411955321	-0.1161975014	0.0800922605	0.1136742748	0.110592125	0.105516962	-0.0497862	4.44e-05	1.9713599999999997e-09	0.00247866571044	0.122834	0.0438927999999999	0.0019265778918399	0.015088191556	0.228004	0.026615	0.051985824016	0.0007083582249999	-0.00128559	-0.00012981	1.6850636100000044e-08	1.6527416481000002e-06	-0.00248485	1.1150000000000135e-05	1.24322500000003e-10	6.174479522499999e-06	0.00130988	3.3330000000000035e-05	1.7157856144000002e-06	1.1108889000000022e-09
770.0749067370439	0.8404539835061087	593015.3619860668	0.7063628983912864	750.5389218733591	0.5341626941280992	0.2853297837981893	563308.6732468242	768.5522516872576	-0.1610943194541505	0.0259513797603959	590672.5635735537	764.3327689553679	526.8301701618404	1.13897	22.201857	0.1731681	0.0780706	-0.0951718571	-0.1009080087	0.0724915396	0.0979574247	0.026434312	0.0165128046	-0.0411435912	-0.0041291642	0.067266946	0.1875849458	-0.0146425143	-0.116082278	0.0558908342	0.0167031674	-0.0253372672	-0.0375736984	-0.0615252481	0.0228623214	0.0255487183	0.1345236963	0.0390002385	0.1801161698	-0.0282959835	-0.0225410437	0.016712369	0.0444092183	-0.0195767674	0.0887528592	-0.0416962971	-0.1652993272	-0.0475463884	0.103042934	-0.1297474493	0.1275454019	0.0680482943	0.0773036993	-0.0330502604	0.1776440387	-0.1833424624	-0.0928746339	-0.0405016642	-0.0466940409	0.0014705814	0.03541469	-0.120779857	-0.0028061479	0.0236568636	-0.0763349773	-0.063358602	0.0158955478	-0.1292583798	0.0560483412	-0.0675872475	-0.1094285215	-0.0811461466	0.0264169907	0.1200356509	-0.001908828	-0.0173088101	-0.002641469	-0.0667020366	-0.0791004556	-0.0580678252	-0.0418349699	0.1240990019	-0.0262581465	0.1108218449	0.1176009167	0.0678906915	-0.1235727235	0.134913545	-0.0283663347	-0.0544722089	0.0814764638	0.1050081469	-0.0065671962	0.1056751377	0.0190027583	0.047772361	-0.0986328905	-0.1437190889	0.1140932422	-0.0534886125	0.0221062001	-0.0803366748	0.19955576	-0.1288584433	-0.0770367954	0.0972342746	0.0959766562	0.0546921452	0.0078419212	-0.1489729149	0.0619058189	0.1672560728	-0.069781668	0.117996289	0.0121986246	-0.0250071323	-0.1027972546	-0.0464282858	-0.0648205824	-0.0762946558	0.0971834285	0.0586966299	0.0572614746	-0.1223669304	0.0193249775	0.0517407078	-0.0705408249	0.078759393	0.0332074977	-0.0370906909	0.1133324686	0.1092392569	0.1025263906	-0.0294	0.0203862	0.00041559715044	0.00086436	0.0780571	-0.0447768999999999	0.0020049707736099	0.00609291086041	0.181872	-0.046132	0.033077424384	0.002128161424	-0.00182785	-0.0005422599999999	2.940459075999999e-07	3.3410356225e-06	-0.00189656	0.0005882899999999	3.4608512409999975e-07	3.5969398336e-06	0.00120297	-0.0001069099999999	1.4471368209e-06	1.1429748099999998e-08
770.8413643977232	0.7664576606792934	594196.4090665434	0.5874573456139749	757.0497818868827	6.510860013523597	42.3912981157005	573124.3722549767	767.7562828447859	-0.795968842471666	0.6335663981856838	589449.7098476429	763.9513546920501	534.044926025882	1.041032	20.292768	0.0439701999999999	0.0274135	0.0394709018	-0.1030110805	0.0334230825	-0.0419705483	0.0721340143	0.0250533628	0.053072688	0.0696881678	0.0931192055	-0.0278473803	-0.0903664263	-0.0834259066	0.0310359132	0.042610486	-0.0704062534	-0.0711393508	0.0604424845	-0.0057165283	0.0330817249	-0.1147047317	0.0874599815	0.0799157829	0.061601865	0.0530942862	0.1156496601	0.0573001067	0.0425869723	0.0096907058	-0.0935435832	-0.1507584293	-0.0187749452	0.1125081798	-0.0115185938	0.023732074	0.0542700707	0.0864201497	-0.1155415059	-0.0448802354	-0.0721130024	-0.0265240901	-0.0585172673	-0.0897324244	0.0287905629	-0.1666622495	0.0875774547	0.0278393731	-0.1694599088	-0.0466679277	0.116592404	0.1434389865	0.0424867834	-0.0249413033	-0.1745556143	-0.1316443783	0.0246930471	0.0677434509	0.0683942222	0.0157836716	0.039598081	-0.0851574681	0.1556945875	-0.0395196957	0.1422000136	0.093810378	-0.0239951254	-0.0456669063	-0.0999182308	0.0358497403	-0.0930273423	-0.0045296145	0.15080319	-0.0709034086	-0.0779672906	0.1196135468	-0.0929577059	-0.0513137158	0.042583031	0.0078813088	0.0001498392	-0.0142782095	-0.0804089353	0.061639463	0.1139657096	0.0014330326	0.008601666	-0.0365195403	-0.0302528971	-0.0136824197	-0.0023129233	0.3004059325	-0.0226432027	0.1045856775	0.1363712594	-0.0509027709	0.0785857328	0.1480715783	-0.0036048298	-0.0339614821	-0.0131033057	0.0265276516	0.007697531	0.0789100169	-0.1614721479	-0.0512095407	0.0602902897	-0.0356002502	0.071313304	-0.1307038532	0.0220724959	0.0176461759	0.0475755219	-0.094090811	-0.1070099616	0.1129422506	0.1076997553	0.099141769	-0.0310722	-0.0016722	2.796252840000007e-06	0.00096548161284	0.0694511	-0.008606	7.406323600000005e-05	0.00482345529121	0.155869	-0.026003	0.024295145161	0.0006761560089999	-0.00191128	-8.343e-05	6.960564900000001e-09	3.6529912384e-06	-0.00196403	-6.746999999999981e-05	4.552200899999975e-09	3.8574138409e-06	0.00120585	2.8800000000000262e-06	1.4540742225000002e-06	8.294400000000153e-12
770.2931333010577	-0.5482310966655177	593351.5112107609	0.3005573353510762	755.2795992523431	-1.7701826345395375	3.133546559625338	570447.27304678	767.5099257128471	-0.2463571319387938	0.0606918364571082	589071.4860677401	763.4412678945978	530.1260964611125	1.049736	20.462427	0.2259141499999999	0.125922	-0.070283451	-0.1425881427	0.0893114959	0.113451899	0.0763535267	-0.004259269	-0.0187064835	0.0072002451	0.1107520384	0.1505284575	-0.0719450547	-0.039936711	0.0077870264	-0.00417276	0.0297883614	-0.0652201108	0.0567071947	-0.1182636502	0.0020047772	-0.037265978	-0.0180015607	-0.0037071182	-0.0501194124	-0.0443385237	0.0054948987	0.0143407762	0.0987056489	-0.083631788	-0.0153982674	0.0749457474	0.0358771667	0.1097528972	-0.035939657	-0.1806576083	0.165328588	-0.0609833094	-0.0304130151	-0.0036120902	-0.0651533259	0.0343475983	-0.0644810472	0.0490932643	0.0107320697	-0.0405819161	0.109840314	-0.2070266982	-0.1045089754	-0.1787051655	-0.0625337441	-0.0050153674	-0.1466588519	-0.0114139397	0.0600827011	0.0512702423	-0.0228895382	-0.0530708251	-0.0803015237	-0.0303074781	0.0516754307	0.0615202739	0.1245402803	-0.0418753399	0.0709729245	0.0725466335	-0.0574357238	0.0910437075	0.0297029865	0.0453924405	0.0217519025	-0.0585607327	0.0948184654	-0.0429543756	-0.149105665	-0.0781243004	-0.1387730454	-0.0843410646	-0.0023091996	0.1227242673	0.0440396263	-0.0273459328	-0.0129321379	-0.1836023176	-0.0225856289	0.0913468382	0.0857393597	-0.0732711158	-0.0480435694	0.0597702913	-0.0669870197	0.1111850487	-0.0966649362	-0.100268555	-0.0014993683	-0.0567484736	0.108754817	-0.0969122574	-0.0472757785	0.1166630606	-0.0762512825	-0.0744640836	0.0279372559	0.0140318225	0.0795668873	-0.038112217	-0.0309149927	-0.1036948018	0.1006623646	-0.090005612	-0.1121860826	-0.021014787	-0.1123990739	0.1215002419	-0.0484852551	0.1125037874	0.1059762505	0.0953761056	-0.0420332	-0.0109609999999999	0.0001201435209999	0.0017667899022399	0.139392	0.0699408999999999	0.0048917294928099	0.0194301296639999	0.259437	0.1035679999999999	0.0673075569689999	0.0107263306239999	-0.00171183	0.00019945	3.978030250000004e-08	2.9303619489e-06	-0.00167889	0.0002851399999999	8.130481959999996e-08	2.8186716321e-06	0.0008615549999999	-0.0003442950000001	7.422770180248276e-07	1.185390470250689e-07
