global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	motion_outlier55	motion_outlier56	motion_outlier57	motion_outlier58	motion_outlier59
674.8886764188908	n/a	455474.72555844224	n/a	747.8629260160516	n/a	559298.9561092902	n/a	671.5265929662992	n/a	450947.9650609256	n/a	670.6744068771686	513.9148942694344	n/a	n/a	n/a	n/a	-0.0460347167	0.030981831	-0.0124233098	-0.0132443134	-0.0019009654	0.0031162349	-0.0565987577	0.0333401917	-0.0105346138	0.1062968134	-0.0696879216	-0.0373385052	0.058804081	-0.1329304332	0.0497924996	-0.0498285622	0.0198426154	-0.0076797249	0.0451520363	-0.084476497	0.0435196472	-0.031959429	0.0592893792	-0.0740743867	0.0534198072	-0.0055751065	0.0443939787	-0.0598875052	0.075505648	-0.0287409562	0.0052906959	-0.0458368254	0.0841904285	-0.0094687281	-0.1676405977	0.1065284618	-0.0741687214	0.0516615949	0.0172948065	0.0106554278	0.0462504055	-0.1400794772	0.0537474852	-0.0129248041	0.0143237842	-0.0059357766	0.0758918324	-0.1072332571	0.0395577921	-0.1900891402	0.0445831329	-0.0811865248	0.0249773379	-0.0647645878	0.0482020923	-0.1147022543	0.0373333814	-0.0528859353	-0.0138932167	0.0272235892	-0.1070099775	0.0601233506	-0.0236961755	0.0646777607	-0.0578129764	0.0955136577	-0.0506232253	0.0564320044	-0.0266346811	0.0563716219	-0.0379673507	0.1147017419	0.1146833673	0.1146527451	0.0930954	n/a	0.0086667535011599	n/a	-0.150656	n/a	n/a	0.022697230336	-0.232928	n/a	0.054255453184	n/a	0.00203908	n/a	4.1578472464e-06	n/a	-0.00110951	n/a	n/a	1.2310124400999998e-06	1.60513e-06	n/a	n/a	2.5764423169000007e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
672.9494169562316	-1.939259462659152	452860.9177817321	3.7607272635130617	746.1451087796022	-1.7178172364493776	556732.5233557244	2.9508960578425767	671.2924374586552	-0.2341555076440045	450633.5365891825	0.0548288017600214	669.3561859967684	520.9751892001044	0.8750839999999999	35.146427	0.5963348935	0.295356	0.0291471254	-0.0095846796	0.0096733465	0.0364726264	0.0179540411	-0.0896742918	-0.0334492457	0.0128263146	-0.017890227	-0.0622842418	-0.0853708527	0.015650517	-0.027190372	0.000616272	-0.1065539633	-0.1371608957	0.0687510709	0.0366934215	0.0881192281	-0.0802298743	-0.044511111	0.0784579698	0.1079068415	0.0393971818	0.0082948739	-0.0251293674	0.052001199	-0.0830808634	-0.1288205099	0.0284641955	-0.0614052841	0.1433813303	0.0208968134	0.0323239798	-0.1405852871	0.0552213255	-0.043592289	0.1419051984	-0.0265083793	-0.0636933162	-0.0892295817	0.0541830733	0.0906968547	0.0039702005	-0.0346043667	-0.0690049255	-0.0304703505	-0.0706933994	-0.0304558167	0.0863583555	0.0398789882	-0.1097704239	0.1227573476	-0.147791863	0.0883743153	-0.1617127361	0.0192941752	-0.0434973882	0.0916368184	-0.0129216206	0.066909386	0.0404508379	0.0163625413	-0.2231640395	-0.0870836339	0.0557685076	-0.0894641831	0.0211894329	0.0362028724	-0.0089298164	-0.1000806945	0.1146527451	0.1144874327	0.1142120884	-0.0797521999999999	-0.1728475999999998	0.0063604134048399	0.0298762928257599	-0.0471617	0.1034943	0.01071107013249	0.00222422594689	-0.0364403	0.1964877	0.00132789546409	0.0386074162512899	0.000366874	-0.0016722059999999	1.34596531876e-07	2.796272906436e-06	-0.00146044	-0.0003509299999999	1.2315186489999998e-07	2.1328849936e-06	0.000448575	0.00044696987	1.997820646878169e-07	2.01219530625e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
672.0138189698156	-0.9355979864160416	451602.5728863961	0.8753435921857519	740.9276114663849	-5.217497313217336	548973.7254332822	27.222278213430123	669.3624919276241	-1.9299455310310805	448046.1455995586	3.724689752746839	667.3590305021075	514.2321050292198	0.7846659999999999	31.5149	0.5372514549999999	0.268185	-0.0282286442	0.0244559252	-0.0023245462	-0.0166192826	-0.0324008165	0.0783784362	0.0102897092	-0.0144068371	0.0308997204	0.0368818539	0.0209450463	0.0070240125	0.0133836879	-0.0416907619	0.1617010244	-0.0424474862	0.0562648207	0.0210872405	0.0628221552	-0.1240928369	0.005160302	-0.0471354974	-0.0696909977	0.0482355032	0.0634113825	-0.144366474	-0.0073827169	0.0809868414	0.0126748871	0.096253366	-0.0645857626	-0.0420121566	0.0341346486	-0.1170273632	0.075428674	-0.0221444016	0.0994693078	-0.0727071677	-0.1131118531	-0.0796893538	0.0588825462	-0.0267283414	0.0020627634	0.0058620491	0.0052465639	0.0399342924	0.030291406	-0.0058004144	-0.0195216302	-0.1545675081	0.0854465664	0.1022590868	0.030355418	0.0834824527	-0.0571811811	0.0012228251	0.0154233393	-0.1275133921	0.036022087	0.1207119676	-0.1844533213	-0.0399446233	-0.0716863875	-0.0286288608	0.036032961	0.0245875965	-0.0586290266	-0.0051379767	-0.0442212934	0.0695974235	0.0252748627	0.1145547726	0.1140958982	0.1133324686	0.149648	0.2294001999999999	0.022394523904	0.0526244517600399	-0.100916	-0.0537543	0.00288952476849	0.010184039056	-0.14723	-0.1107896999999999	0.0216766729	0.0122743576260899	0.00153888	0.001172006	2.3681516544e-06	1.3735980640360004e-06	-0.000273499	0.001186941	1.408828937481e-06	7.480170300100002e-08	-5.86231e-05	-0.0005071981	2.5724991264361e-07	3.43666785361e-09	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
673.8938291189341	1.8800101491185612	454132.8929245792	3.534438160788796	741.55538520728	0.6277737408951225	549904.3893299174	0.3940998697574564	668.3113736241796	-1.0511183034444684	446640.0921154378	1.1048496878359777	666.1551694829557	521.4072972565448	0.743178	29.848621	0.449942245	0.229246	0.0261164568	0.0023182291	0.0093578465	0.0168317321	0.0296853958	-0.0473173735	0.0063571376	-0.0655740122	0.0573492091	-0.0592167962	0.0746408575	0.0599166181	-0.0219686324	0.0300114481	-0.0676479535	-0.0565863809	-0.059154607	0.0687817586	0.1992338507	-0.0822672609	0.0217459064	-0.0162594779	-0.0747967483	0.1819120682	0.0219674191	-0.0551154503	0.0098322259	-0.0148719969	0.0398685446	-0.0754139685	-0.0539600293	0.0795119989	0.016681582	-0.0696600073	-0.1368443541	0.0484963079	-0.0470835414	0.0695820947	0.0698353079	0.164896275	0.0393931337	0.0142939517	0.0559644227	-0.0063454576	-0.0120863139	0.0154901507	-0.1015934195	0.0789344573	0.0250741676	0.0605613109	0.0540933046	-0.0634336824	0.0098252997	0.0058928544	-0.0484670398	-0.0838297846	0.0252589102	-0.0663327654	0.1191037103	-0.0129512879	-0.0783033383	0.0144644747	0.0598984759	-0.1082834329	-0.1560038687	0.1015620595	-0.0381396156	0.0575739729	-0.0374420316	-0.0711413174	0.12732922	0.1144078661	0.1135094328	0.1120172664	-0.0493578	-0.1990058	0.00243619242084	0.03960330843364	-0.0473396	0.0535764	0.00287043063696	0.00224103772816	-0.0749872	0.0722428	0.00562308016384	0.0052190221518399	0.000289309	-0.001249571	8.369969748100002e-08	1.5614276840410002e-06	-0.00138228	-0.001108781	1.2293953059610002e-06	1.9106979984e-06	8.53698e-05	0.0001439929	2.073395525041e-08	7.288002752040001e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
673.8109261749988	-0.0829029439353234	454021.16423280974	0.0068728981131433	739.8507575605383	-1.704627646741642	547379.1434629025	2.905755414035948	667.1014790569267	-1.2098945672529453	445024.3833599392	1.4638448638681918	665.4665058036796	525.5630797576518	0.708661	28.462301	0.443890685	0.236135	-0.0122848099	-0.0010395665	0.0037433781	0.003565085	-0.0407470934	0.020954949	0.0506175512	-0.0835386716	0.0687764633	0.0583609401	0.1034558883	-0.017122223	-0.0594298438	0.0178819969	-0.0530932848	0.0249392419	0.0674117444	0.1123295175	0.0211339234	-0.0087287469	0.0828517229	0.2025990704	-0.0258204782	-0.0063781044	-0.0710705005	-0.0346892768	0.0759013727	0.0766455251	0.2111756015	0.0104184853	-0.0035735216	-0.1322069761	-0.0026844579	-0.1301598093	-0.0333919809	-0.0319073597	-0.0621701478	-0.0821081565	-0.0481381571	0.0543719579	0.0513229648	-0.2393453821	0.0456927598	0.0068199504	-0.0271474448	0.1073563844	-0.0119605518	0.0674732693	-0.098791091	-0.0275081411	0.1023363935	-0.0665132403	-0.0664712508	0.1474689351	0.0217780386	0.0193697192	0.0713811241	-0.0456816457	0.0558310707	0.1085701816	-0.0717087517	0.1134208852	0.0643127755	0.0236838251	-0.058678929	-0.0551069774	-0.0673792944	0.1533583434	-0.0981684409	0.0368916697	-0.0174831555	0.1142120884	0.1127290384	0.1102715368	0.154649	0.2040068	0.023916313201	0.04161877444624	-0.112042	-0.0647024	0.0041864005657599	0.012553409764	-0.164965	-0.0899778	0.027213451225	0.00809600449284	0.00113028	0.000840971	1.2775328784e-06	7.07232222841e-07	-0.000562567	0.000819713	6.719294023690001e-07	3.164816294890001e-07	4.19801e-05	-4.33897e-05	1.88266606609e-09	1.76232879601e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
673.8295662235003	0.0186400485014246	454046.28431695054	0.0003474514081354	740.3617273387335	0.5109697781952036	548135.4873079932	0.2610901142288556	667.9641188804181	0.8626398234914632	446176.06411169335	0.7441474650733827	665.3002062210827	524.7092204788659	0.7079	28.431732	0.41822605	0.220878	0.0258930398	-0.0078927513	0.0086610341	0.0315655329	0.0046554824	-0.013994307	0.0113882604	-0.0763566276	0.0427111093	-0.0599646253	0.0556615609	0.0012508272	-0.1080828973	0.0007301046	-0.0396634105	-0.082406673	-0.1009165539	-0.1336007077	-0.0117218109	-0.0575275528	0.0100023997	0.0404291409	0.1278905299	0.0206912626	-0.0036721804	-0.0848370536	-0.0019124567	0.011494561	0.0200377	0.0426188201	-0.0115648774	-0.0943568946	-0.0059987827	-0.1235016808	-0.0095467843	0.1337314049	0.1994073437	-0.055433418	-0.050955196	0.2016605899	-0.1607665493	-0.0690202013	0.0440357812	-0.0021055919	-0.0379232342	0.0280495169	-0.0855750128	0.0617567097	-0.0416497932	0.0375729544	0.0684226736	0.0207037883	0.1043346591	-0.0752510116	-0.0200689123	0.0209057987	0.0217505244	-0.0986057463	-0.0026735611	0.119503396	0.1130615597	-0.0112983179	0.0296359434	-0.0158447674	0.0762027657	-0.0693843948	-0.0493641333	0.0142707617	-0.0364269015	-0.0013974738	0.0289307067	0.1139675232	0.1117560484	0.1081019891	-0.0356343	-0.1902833	0.00126980333649	0.03620773425889	-0.0569891	0.0550529	0.00303082179841	0.00324775751881	-0.0823693999999999	0.0825956000000001	0.0067847180563599	0.00682203313936	0.000181268	-0.000949012	3.2858087824e-08	9.006237761439999e-07	-0.00141944	-0.0008568729999999	7.342313381289998e-07	2.0148099136e-06	4.19801e-05	0.0	0.0	1.76232879601e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
674.5443840224387	0.7148177989384976	455010.12601621135	0.5109644856792784	740.2998377254897	-0.0618896132438067	548043.8497363864	0.0038303242274679	669.1368401219438	1.1727212415256645	447744.1108083798	1.375275110325496	666.828863887941	519.6779676877569	0.693877	27.868507	0.43663735	0.203063	-0.0370348806	0.0076256515	0.005954244	-0.0323302905	-0.0038158029	0.0186549379	0.0444568539	-0.0174551214	0.0260785421	0.0725380581	0.0765566577	0.0474923313	0.0200941584	-0.0097071589	0.0537352594	-0.0579673427	0.0402537834	0.20669213	-0.0090444409	0.0820423156	-0.1171631915	-0.0432174297	-0.042697578	0.0427108239	-0.0452428377	-0.0055338086	0.056281395	-0.0218206453	0.0564320003	0.0064045006	0.0978192998	0.1230705621	0.1360000815	0.0134777929	-0.0633195107	-0.0031076318	0.0499893032	-0.0751067212	-0.1243393864	0.0266755192	-0.0986716519	0.1296889555	-0.043994955	0.0110810824	0.0247568096	0.0576695508	0.01030482	0.0710175734	0.0140249014	-0.0638863858	0.0102990289	0.056603321	-0.0899489626	0.0668935077	0.0194235804	-0.0274704846	0.0654848101	0.0018065498	0.0961520602	-0.0729274932	-0.1159393588	0.0025685487	-0.0623323597	-0.056266267	-0.0717874681	-0.2214398497	0.0772453912	0.070300868	-0.0793381077	0.001511702	-0.0836128108	0.1136742748	0.110592125	0.105516962	0.130372	0.1660063	0.016996858384	0.02755809163969	-0.100975	-0.0439858999999999	0.0019347593988099	0.0101959506249999	-0.159929	-0.0775596	0.0255772850409999	0.00601549155216	0.00125082	0.0010695519999999	1.5645506724e-06	1.1439414807039997e-06	3.58829e-05	0.0014553228999999	2.11796474326441e-06	1.28758251241e-09	-0.000414856	-0.0004568361	2.0869922226321e-07	1.72105500736e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
675.3315126381933	0.7871286157545683	456072.6519621903	0.6195714577397028	745.6526551561889	5.352817430699133	555997.8821414743	28.65265444639647	669.6344585386424	0.4976184166986286	448410.3080623408	0.2476240886376499	667.5581584545777	529.219827368276	0.716916	28.793831	0.441180245	0.216487	0.035314333	0.0185236142	-0.0078996348	0.0146423184	-0.0075228838	-0.0393351638	-0.0405108487	-0.0502404433	0.0139661513	-0.0051980705	-0.0281349932	0.0178841558	-0.0081537231	-0.0271587076	-0.1041561478	-0.0136470347	-0.0400936083	-0.0549550547	-0.0412196858	-0.0347590635	-0.0930369054	-0.056236473	0.0959910797	-0.0674724599	0.0102304364	0.128028675	-0.0589793044	0.0301543486	-0.0708515041	-0.0114327431	0.1020440394	0.0929424247	-0.1645959929	-0.0105883495	-0.0852902622	0.1448971577	0.0683639493	0.0945837242	0.2004737388	0.0423286431	0.1583186994	0.0063204084	-0.0687091538	-0.0309635763	-0.025643605	0.0090153527	-0.0370965881	-0.0116051923	0.0057452883	0.0298902342	0.0072062504	-0.1137894655	0.0745251437	-0.0658189297	0.0645008355	-0.0474835032	-0.0641522615	-0.064580398	-0.0028257708	0.0667638574	0.0238197414	-0.0446207448	-0.0432173862	0.0077406132	0.0993149375	-0.0648296465	-0.0133479528	-0.0856994391	-0.0825567148	-0.1802460081	-0.0033010375	0.1133324686	0.1092392569	0.1025263906	-0.0534358	-0.1838078	0.00285538472164	0.0337853073408399	-0.0466753	0.0542996999999999	0.0029484574200899	0.00217858363009	-0.0744337999999999	0.0854952	0.0055403905824399	0.00730942922304	0.000292124	-0.000958696	8.5336431376e-08	9.19098020416e-07	-0.000983472	-0.0010193549	1.03908441215401e-06	9.67217174784e-07	-4.1356e-05	0.0003735	1.3950225e-07	1.710318736e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
674.670348396766	-0.6611642414272865	455180.0790058136	0.4371381541421191	741.5940662155574	-4.058588940631466	549961.7590461245	16.47214418901605	670.1547028766373	0.5202443379948818	449107.32578767405	0.2706541712157328	667.9035306298807	522.1763950086413	0.704994	28.315031	0.404955795	0.222139	-0.0281551675	-0.0136614708	0.0198497502	-0.0013629273	-0.0191528047	0.0733821723	0.0167644977	-0.0035487813	-0.0390091971	0.0228803647	9.28815e-05	0.0132846031	-0.0126610904	-0.0351812398	0.1113727421	-0.1023899298	0.1682835192	0.0488508198	0.0240377477	-0.0825463956	-0.0133060264	0.0040323424	0.0059230395	0.0167852494	-0.2028370491	-0.0581256877	-0.0397356761	0.0671314753	-0.0024160113	0.1665993908	-0.0928871607	-0.1331269126	0.0007617178	-0.049521606	-0.0151417546	0.0630471065	-0.0185078669	0.0121257545	-0.0059733736	-0.0674041888	-0.098547385	-0.051187653	-0.0998954332	0.0254016574	0.0047002112	-0.0089620057	0.0443571348	0.0004558468	0.0209235808	-0.1096403287	0.0371495107	0.1391878041	0.051335225	0.1222767146	0.0299501521	-0.0097727674	0.0300398191	-0.0673844308	-0.0010372291	-0.0401276708	-0.0923585762	-0.1012316054	-0.0738165708	-0.0397131451	-0.0354923337	-0.0719972517	-0.0577878206	0.1722356538	6.55485e-05	0.1296950965	-0.045268707	0.1129422506	0.1076997553	0.099141769	0.149097	0.2025328	0.022229915409	0.04101953507584	-0.101105	-0.0544297	0.0029625922420899	0.010222221025	-0.143954	-0.0695202000000001	0.020722754116	0.00483305820804	0.0007697309999999	0.0004776069999999	5.92485812360846e-07	2.281084464489045e-07	-6.25881e-05	0.0009208839	8.4802715727921e-07	3.91727026161e-09	-0.000212327	-0.000170971	2.9231082841000003e-08	4.5082754929e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
676.8193708877665	2.149022491000437	458084.460808912	4.6182976668257245	744.2969175218113	2.702851306253933	553977.9014324701	7.305405183718593	671.0175552926778	0.8628524160404822	450264.55951096193	0.7445142918668974	668.1822057297724	526.4221361481316	0.759302	30.496197	0.459948445	0.236894	0.041123824	0.0254745603	-0.011308102	0.0032973224	0.0675065325	-0.0551900114	-0.0547523865	-0.0063373225	-0.0163241535	-0.0549853666	0.0071438638	0.0608292922	0.0277845248	-0.0301664161	-0.0232018188	-0.1392192133	0.0050315434	-0.02316988	0.0030408623	-0.0244488325	0.1423847961	-0.0558342195	0.0699229705	-0.0593383798	-0.0120966153	0.0234451835	-0.0066004857	0.1066433293	0.1140048365	-0.0845299783	-0.0147392906	0.0015672042	-0.0018396313	0.0644801772	0.0689593311	-0.1637480941	0.1291372132	-0.0548394239	-0.0130063918	-0.0346533981	-0.0319895999	-0.0185248798	0.1393466598	-0.03227879	0.0144783027	-0.0571260653	-0.0536150017	0.0196790746	0.0576109466	-0.0052802531	-0.0194264884	-0.0800942667	0.0741769018	0.0411857589	-0.0215345204	-0.0827728697	0.0845590901	-0.0400374496	-0.0437503735	-0.0232331215	0.0353307918	-0.09117989	-0.0685261906	0.0888194866	0.0291855415	0.1077420484	-0.0824226281	-0.1354255014	-0.0563208476	0.0094595473	0.0289674409	0.1125037874	0.1059762505	0.0953761056	-0.0604871	-0.2095841	0.00365868926641	0.0439254949728099	-0.0307425	0.0703625	0.00495088140625	0.0009451013062499	-0.0602133	0.0837407	0.00362564149689	0.00701250483649	0.000312151	-0.0004575799999999	9.7438246801e-08	2.093794563999085e-07	-0.00105439	-0.0009918019	9.836710088436104e-07	1.1117382721000005e-06	0.000263514	0.000475841	2.2642465728100002e-07	6.9439628196e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
