global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
756.8696546978925	n/a	572851.6742025071	n/a	866.9724198877487	n/a	751641.1768460189	n/a	726.3251519329654	n/a	527548.2263304451	n/a	754.1260034813702	621.3136611735913	n/a	n/a	n/a	n/a	-0.142404684	0.0711329964	-0.0540011409	0.0841214298	-0.0224645139	0.0502498212	0.0456548871	0.2221761437	-0.0489877974	0.09138045	-0.090603972	0.1312757919	-0.037195916	0.1021115109	0.0941709386	-0.0217458055	0.0989034682	-0.0027571975	0.1440213043	-0.2104703645	0.1905932384	-0.0734040829	0.0209426237	-0.0676336642	0.0415187233	-0.035203764	-0.0007529218	0.0097777383	-0.0891252543	0.0854328609	-0.0322048137	0.0006367604	-0.0050339301	0.0913437143	-0.0974111846	0.0350405053	-0.0539623495	0.0276378622	-0.0744780709	0.0474924415	-0.0553609712	0.0093662416	0.0252378301	-0.0533326652	0.0367009366	0.0149435652	-0.0404264604	0.0809061571	0.0278194321	0.0490984811	-0.0496689528	0.0368066306	0.0430772126	-0.0055649431	-0.0649698122	-0.0662671123	0.0490432835	-0.0298039073	-0.0332635407	0.1116512731	0.0266818931	0.0450605878	0.1125259202	-0.0293431779	-0.1251881642	0.0811714514	-0.0975088837	0.0821933026	0.0194774538	-0.1109774249	0.1084569341	-0.1814308936	0.1705192322	-0.0241529023	0.053733066	-0.034516148	-0.0412524344	0.0834813419	-0.108833941	0.0586185325	-0.0323526032	0.0151212561	-0.0586377122	0.067493162	-0.045939455	0.0558145293	-0.0065709723	0.0690669112	-0.1224827801	0.0344121594	-0.05623557	-0.0284761802	-0.0947618822	0.0781455184	-0.0540618979	0.1083906	0.0191923724	-0.0799873872	-0.0590712221	0.141759191	0.145549334	-0.0917789873	0.0209909715	0.0267142718	0.0090619225	0.1017681874	-0.0437365292	-0.0423611949	0.1147017419	0.1146833673	0.1146527451	-0.103776	n/a	n/a	0.0107694581759999	-0.041951	n/a	n/a	0.001759886401	0.00386894	n/a	n/a	1.49686967236e-05	-0.00232574	n/a	n/a	5.409066547600001e-06	0.00126461	n/a	1.5992384521e-06	n/a	-0.00221171	n/a	n/a	4.8916611241e-06
753.8810616278722	-2.988593070020329	568336.6550811677	8.931688538173535	850.9950051903077	-15.977414697441075	724192.4988588517	255.27778041400612	724.4878546575229	-1.837297275442438	524882.65154626	3.3756612783482063	751.2864268825089	595.7204703133405	1.119718	24.811682	0.2188661599999999	0.123504	-0.0787490455	0.0431014878	0.0484269283	-0.0277302433	-0.0715121908	0.0044969979	-0.0522804505	0.0827567448	0.0068232117	0.0116777443	0.0037285604	-0.1044905156	-0.1024327	0.0573316003	-0.09390325	-0.1478497056	-0.0649038955	-0.1072938523	0.0454232658	-0.0739794418	0.179935398	0.0862757012	-0.0349522834	0.0350819228	-0.0011771134	-0.0280064294	-0.0721050699	0.0876647143	-0.0834847972	-0.0376509226	0.0876836988	0.0486869588	-0.0162624684	-0.0380878331	0.0035958573	0.0368803976	-0.0495821111	-0.1376298622	0.0681617587	0.1440179307	0.0606766949	0.1142076888	-0.0053491769	-0.0114763827	0.0281207259	-0.0641345566	-0.0216254875	-0.0026797606	-0.0017604969	0.1031844485	-0.0553597845	-0.1070297002	-0.0297277247	-0.0529815921	0.1135475686	-0.2453352923	-0.105109895	0.0239979473	0.1415568287	-0.0266526964	-0.1165257937	0.0057632928	0.0192087955	-0.1269908274	0.0147163334	0.0019662074	-0.0428589113	0.0810475831	0.0594249969	-0.0565991336	0.2058463874	-0.0572362221	0.0994718908	0.0050804089	-0.0334197531	-0.1007824253	-0.0622993838	0.0179671289	-0.0198451534	0.0459134396	0.0512232968	0.0169171073	-0.0789783391	0.137586295	-0.0327133528	0.0017978605	-0.0547159969	-0.0404401924	-0.0395119203	0.1102517574	0.1349571484	-0.0297119918	-0.0404416539	-0.0423473749	-0.0663088915	0.1066611338	-0.0743197085	0.0576342519	0.0872806275	-0.0015908026	0.0782926308	-0.1008183663	0.0135133934	0.1574496676	-0.0017444958	-0.1901062035	-0.0795372891	-0.051363463	0.1146527451	0.1144874327	0.1142120884	-0.0923188	0.0114571999999999	0.0001312674318399	0.00852276083344	0.0561712	0.0981221999999999	0.00962796613284	0.00315520370944	0.0713017	0.06743276	0.0045471771212176	0.0050839324228899	-0.00250306	-0.0001773199999999	3.1442382399999974e-08	6.2653093636e-06	0.00101947	-0.00024514	1.0393190809e-06	6.009361960000001e-08	-0.00179709	0.0004146199999999	1.719097443999999e-07	3.2295324681000005e-06
754.4192195111079	0.5381578832357263	569148.3587677493	0.2896139072887576	855.4218753399408	4.426870149633146	731746.5848101012	19.597179321712996	725.6364933264157	1.1486386688927723	526548.3204470574	1.3193707916757598	753.7564754695909	608.1273624734455	1.264968	28.030245	0.16686895	0.0838582999999999	-0.0890294028	-0.0410367297	-0.1241997501	-0.0682993215	-0.1274988525	0.0548378828	0.1498379086	-0.0188001406	-0.0620360725	-0.0164415214	-0.0181876956	0.0155411232	0.0883321559	-0.0835907974	-0.1043039761	-0.1024437383	0.0163042272	-0.0120278245	0.0261955073	-0.1942513127	0.0053637585	0.0846823017	0.0053820993	0.053246568	-0.0832789937	-0.0751016679	-0.0043363345	0.0591540421	0.0068644225	-0.0646407194	0.0131655094	0.0016116045	-0.0178564234	-0.0684197823	0.0419427158	0.0099577843	0.1642382895	0.0604196037	0.0613907283	0.0498852541	0.1288616215	0.0231552017	-0.0332580447	0.0230946786	-0.129108835	0.1131355712	0.0374581364	0.0547405591	-0.1005432424	-0.0402718917	0.0541546704	0.1481427098	0.1840686856	0.0260098934	-0.0669788994	0.0869286702	-0.0730229995	0.1640473353	0.0740010939	0.0224835708	-0.0917400495	0.0340351144	-0.0827581181	0.0685582451	0.0629972383	0.0537612235	-0.1323597395	-0.0055903575	0.1401215949	0.0401875654	0.0245092318	-0.0437662268	0.0264152623	0.0843906313	-0.0388851059	-0.0423510794	0.115239728	0.0119406854	0.1783792786	-0.017682335	0.0038186752	0.1064076452	-0.0295043028	-0.1209247208	0.0713581079	-0.0314865952	-0.0667471949	0.0040803583	0.0618766253	0.0463870455	-0.0551151935	0.1962711079	0.0487475189	0.001471432	-0.0113564917	0.0443376571	0.1347011475	-0.1310447702	0.1380015989	0.0705829457	-0.0510899854	0.1216726109	0.0475332092	-0.0811020749	0.1283186893	0.0730365916	0.1011684141	0.0746208147	0.1145547726	0.1140958982	0.1133324686	-0.0701528	0.022166	0.000491331556	0.00492141534784	0.0704888	0.0143176	0.00020499366976	0.00496867092544	0.0109869	-0.0603147999999999	0.0036378750990399	0.00012071197161	-0.00177097	0.00073209	5.359557681000002e-07	3.1363347409e-06	0.000598199	-0.0004212709999999	3.57842043601e-07	1.77469255441e-07	-0.00204514	-0.0002480499999999	6.152880249999994e-08	4.1825976196e-06
753.5140751411216	-0.905144369986374	567783.4614357798	0.8192863305180298	861.2716034269204	5.849728086979553	741788.7748695784	34.219318691597465	727.8288517070048	2.1923583805890985	529734.8373771372	4.806435268939254	756.7724119721706	618.147711039679	1.118993	24.795616	0.0939892	0.062097	-0.071674445	-0.0482886063	-0.1221380124	0.0341985602	0.1961043865	0.2204060861	0.1818087111	0.069626276	0.1223106503	0.0172190238	-0.1614402483	0.0283104368	0.0467244788	-0.0631346887	-0.123681629	0.0920838923	0.1199877731	0.1130191502	0.0535724775	-0.2151543318	0.1832525375	-0.0681683371	0.0606158485	-0.0385621612	0.0873454475	-0.0206304778	0.0940214014	-0.0502322418	0.0068977407	0.0101577152	0.0090184821	-0.096942516	0.0514346214	-0.0152377256	-0.0883971121	0.1533464127	0.046631124	-0.0629560193	-0.1352282703	-0.0913849459	-0.0494321805	-0.0528446864	-0.0929356199	0.0362530228	0.0123861189	0.0457925532	0.1596181924	-0.0418779855	0.0996622984	-0.0239836019	0.0619165407	0.0802755973	0.0430269736	-0.0462462212	-0.0230844855	0.0834452886	0.0766080245	-0.1675638294	0.023142308	0.0045602893	0.0821004702	0.0159935879	-0.0154555749	0.1401224578	-0.0927452722	-0.0411142403	-0.0825952462	-0.0641860661	0.033792518	-0.2135566581	0.0987740661	-0.1294095718	0.1635873005	0.0031161211	-0.0080688949	-0.0264601239	0.07280555	0.091578779	0.0708605558	-0.0075995613	0.0391773225	-0.250443597	0.1200678806	-0.0342027651	-0.0356504534	-0.0434343807	-0.0393216117	-0.0613036128	0.1135205437	0.1396036642	-0.0206990186	-0.0174727538	0.0244710243	0.0611072707	0.0886413573	-0.0640844503	0.0093367056	-0.0102464473	0.1266757203	-0.0266889113	0.032386444	0.1656587025	0.1206388495	0.0061383603	0.0830361329	-0.0029703577	0.0876997401	0.0913127099	0.1144078661	0.1135094328	0.1120172664	-0.0883874999999999	-0.0182346999999998	0.0003325042840899	0.0078123501562499	0.0123348	-0.058154	0.003381887716	0.00015214729104	0.0151441	0.0041572	1.7282311839999998e-05	0.00022934376481	-0.00187674	-0.00010577	1.1187292900000009e-08	3.5221530276e-06	0.0007464849999999	0.0001482859999999	5.572398552248507e-07	2.1988737795970345e-08	-0.00203033	1.4810000000000084e-05	2.1933610000000247e-10	4.122239908899999e-06
749.9713137429342	-3.5427613981873947	562456.9714373027	12.551158324486703	854.2876820810787	-6.983921345841623	729807.4437554623	48.77515736490226	726.528752287403	-1.3000994196017928	527844.0279002906	1.6902585008489184	753.3823125774296	586.7808808897412	1.202902	26.654943	0.12112255	0.0691768	0.0494163492	0.1284152849	-0.0267552151	-0.0080366972	0.0365988954	0.0433595465	-0.067404481	0.1354837349	0.0956111963	0.0009167199	-0.0712608396	0.0840009159	-0.030427611	0.0826063575	-0.1550682537	0.0928623357	-0.0331657523	0.03281951	0.1674209761	-0.0135101674	0.1675926763	0.044526831	-0.0412931931	0.1057859986	-0.0835439095	-0.0524062411	0.1302311563	0.0231188722	-0.0123191867	-0.0891208221	-0.0556710972	-0.0058351364	0.0071819754	0.114799136	0.0355230827	-0.0773293073	0.2108411997	0.0459043728	-0.120191192	0.1237375413	0.0508126852	0.0908958525	-0.052753137	-0.109313277	-0.024544031	0.042600276	-0.0825602107	-0.0797536511	-0.0287840619	0.0471436854	-0.1539870279	-0.0135494462	-0.2452586787	-0.0585530752	0.0106638851	-0.0539974129	-0.0103472477	-0.0634560165	-0.0169350115	-0.1329348647	-0.0445510014	-0.1176548983	0.0416335806	-0.0612155247	-0.1261983871	0.1200353662	0.0336496038	0.0752425618	-0.0107510124	-0.0911415486	0.1717998735	-0.1332518976	0.0585919275	-0.0127735902	0.144190946	0.1370009144	-0.0513544866	-0.0149818256	0.090408629	0.0981688902	0.0552388093	-0.0228523816	-0.1194895921	0.0148770641	0.0322567699	-0.0344860766	-0.1719086152	-0.0139155441	0.1049389792	0.0137474626	-0.0192239256	0.0692224009	0.03431833	0.0961067099	-0.1355400315	0.0365803803	-0.1320055665	0.1179576049	-0.123654537	-0.0306256039	0.002249899	-0.0468925142	-0.0676993849	0.0416385061	0.0351841852	0.0856778337	0.0539159361	-0.0479824592	0.1142120884	0.1127290384	0.1102715368	-0.0735855	0.0148019999999998	0.0002190992039999	0.00541482581025	0.0069616	-0.0053732	2.887127824e-05	4.846387456e-05	0.0763809	0.0612368	0.00374994567424	0.00583404188481	-0.00177097	0.00010577	1.1187292900000009e-08	3.1363347409e-06	0.000544154	-0.0002023309999998	2.961035757160001e-07	4.093783356095952e-08	-0.00154422	0.0004861099999999	2.363029320999999e-07	2.3846154084e-06
749.5499779913484	-0.4213357515857296	561825.169506831	0.1775238155643117	851.0057467275016	-3.2819353535771825	724210.7809632325	10.771099665059786	724.0665474669025	-2.4622048205004603	524272.3651606402	6.062452578095704	751.0731682812745	574.7164435992499	1.062162	23.536297	0.0963111499999999	0.0483273	0.1211194819	-0.0234790219	0.0638599279	-0.0159739922	-0.0535798233	0.0695457077	-0.0702256479	-0.0455876504	-0.0035874732	0.0272230176	0.0706507381	-0.1636914465	-0.0784895282	-0.0068465055	-0.0354531472	-0.0569839689	-0.0387909406	-0.1286385404	0.0338899968	0.042581183	0.1528871752	0.0234502856	-0.0737118907	-0.0598047135	-0.1037891019	-0.0730114506	-0.0733100283	0.1947068416	0.1084136491	0.1783838946	0.107503593	-0.0335775141	-0.069593246	-0.1049131884	0.1406070747	-0.0325467045	-0.019133379	0.0266584802	0.0029687165	-0.1058406326	0.0978694588	-0.0325235073	0.0597063701	0.0792861005	-0.0075850547	-0.0490699388	-0.02870339	-0.0361979542	0.0128893533	0.0325437027	-0.0893311022	0.0206445426	0.0144067725	0.0399612362	-0.1075708183	0.0748056385	-0.0080458703	0.1356221626	0.000475927	-0.0779125769	-0.0250921748	-0.0268247152	0.0596014879	-0.1056363537	0.0713445071	-0.0286836845	-0.0098735829	0.1432629554	0.0769696098	0.0265147878	0.1311589693	-0.0587583714	0.0501188284	0.038626516	-0.0053709303	-0.0519624268	-0.1086389056	-0.0676765733	-0.0141422274	-0.0301021067	-0.0210695971	0.1471422703	0.2107664783	0.0318188297	0.1330488874	0.0379931291	0.0396688546	-0.0090060779	0.1448430461	0.0059072569	0.0746225352	0.1553179264	-0.0648686764	-0.1275099846	0.068230904	0.1737091126	0.0436488737	-0.0323269298	-0.0475363776	-0.0831071838	-0.048655624	-0.0312363724	-0.0911537102	-0.0275447285	-0.0588497574	-0.0228143313	-0.0581599069	-0.0548897713	0.1139675232	0.1117560484	0.1081019891	-0.0593728	0.0142126999999999	0.0002020008412899	0.00352512937984	0.0473366	0.040375	0.001630140625	0.00224075369956	0.0951748	0.0187939	0.00035321067721	0.00905824255504	-0.00191662	-0.00014565	2.12139225e-08	3.6734322244e-06	0.000687735	0.0001435809999999	4.7297943022500005e-07	2.0615503560999984e-08	-0.00171358	-0.0001693599999999	2.8682809599999972e-08	2.9363564164e-06
750.9287441919386	1.3787662005901211	563893.9788536819	1.900996235889718	850.9946659838699	-0.0110807436316235	724191.9215329983	0.0001227828794297	723.8046019362678	-0.2619455306347618	523893.10178411903	0.0686154610195269	750.6078767876726	581.6908836992708	1.009366	22.366409	0.07069835	0.0365731	0.0788571561	0.0001236949	-0.069428749	0.0340725623	0.0389194624	-0.0630769883	-0.0925556449	0.0331610087	-0.0424913641	0.0845741531	0.0408331794	-0.0696427318	-0.0181513244	-0.1300112775	-0.1327175289	-0.0087074547	0.0879725156	-0.1643050679	0.0809907416	-0.0083968007	0.0134339144	-0.0401854621	-0.1195275388	-0.1562766824	0.0027635229	-0.177860867	0.0267233261	-0.0060709488	-0.0163731659	0.0718579749	-0.1306480202	-0.03470506	-0.1605138012	0.0613276153	-0.0127293005	0.0114386413	0.0488792732	-0.0818286489	0.2450076804	-0.0141024656	-0.0720062322	-0.0151692854	-0.028129195	0.0175043594	-0.0455851626	0.0003797528	-0.0364755458	0.0796465634	0.0123684097	-0.0330284537	0.0111300863	0.0909279661	-0.0767336156	0.0546918403	0.1055095502	0.1162451942	-0.047611429	-0.057799639	-0.1073062518	0.0673470125	0.0478694801	-0.1005273991	-0.0897894685	-0.1437083615	0.0322219715	-0.0712129098	-0.1726206709	0.0257715638	0.0024807536	0.0505434763	0.0547028798	-0.055490115	0.1359674045	0.0091865584	0.1202741935	-0.0670103799	-0.1227915056	-0.1423313774	0.0550298189	-0.1554659702	-0.1241799626	0.0419078763	-0.04415168	-0.0690443695	0.0459512563	0.0684115991	-0.0851026966	0.0926593938	-0.0814074546	-0.1436761526	-0.0126937955	-0.0778094078	0.0290178064	-0.0043175436	0.053690626	-0.0634124961	-0.0132807631	-0.0199292013	0.0330157266	-0.1912167044	-0.0421917409	-0.0670106215	-0.0325005321	0.0373675316	0.0228586809	0.06410564	0.1499358928	-0.0878043534	0.1136742748	0.110592125	0.105516962	-0.0535361	0.0058367	3.406706689e-05	0.00286611400321	0.053776	0.0064393999999999	4.1465872359999976e-05	0.002891858176	0.071042	-0.0241328	0.00058239203584	0.0050469657639999	-0.00202097	-0.00010435	1.0888922500000004e-08	4.0843197409e-06	0.000592696	-9.5039e-05	3.51288548416e-07	9.032411521e-09	-0.00122718	0.0004863999999999	2.365849599999999e-07	1.5059707524e-06
752.6079998776836	1.6792556857450336	566418.8014798875	2.819899658107023	848.79649519875	-2.1981707851199417	720455.4902616816	4.831954800554821	723.5622967226204	-0.2423052136473416	523542.3972385134	0.0587118165606838	750.6738291517075	588.0262027537915	1.073284	23.782753	0.133369	0.0693959	0.0191066937	0.0190213303	0.0492560854	0.0571481275	-0.0434175008	0.108931023	-0.0415528155	-0.0932805504	0.0302532227	-0.0192375541	0.0662866604	-0.2325138227	0.0131494957	0.1053136219	-0.115914852	0.0437826163	-0.019048721	-0.1800341507	-0.0121857487	-0.0613827012	-0.0039764946	0.067000598	-0.0497077883	-0.0323607161	-0.0822927748	-0.1444404689	-0.0463993993	-0.0175575122	-0.0855218882	0.0766546212	-0.1402461612	0.0005564055	0.0601481069	-0.0088154066	-0.01519668	0.0983535516	0.0241866974	0.0757894008	0.0073931825	0.0668091257	-0.0419604483	0.0185690926	0.0378013803	-0.0383283506	0.0146498253	0.176087552	0.0609099741	-0.0215838459	-0.0064645029	0.0325175906	0.001374031	-0.1006981872	0.081093432	0.0368881247	-0.0343177653	-0.0068470038	0.0387213437	0.0600868179	0.0282106234	0.107434372	0.0171869344	0.0375865812	0.0843722806	-0.0773144808	0.1510395998	-0.0743827811	-0.118146263	-0.0219114002	-0.0011336925	-0.052455169	0.1592582701	0.083657119	0.019366927	-0.0528059857	0.0749823712	-0.0342718378	-0.0112001459	-0.1092300948	-0.0095493805	0.0382305915	-0.0757157005	0.0500382133	-0.0131824681	-0.0025062012	-0.0158558225	0.0878530472	0.0500535546	0.0188575327	-0.0523251198	0.0252898114	-0.0922901156	-0.0514878733	0.0360819464	0.0759440598	0.1323909854	-0.0342330078	-0.0502495416	-0.0774514023	-0.0519481425	0.0682219049	-0.0306627425	0.0983310954	-0.0448376843	-0.1703069155	-0.0139792244	0.0023177532	0.0273242085	0.0021358393	0.1133324686	0.1092392569	0.1025263906	-0.0410897	0.0124464	0.00015491287296	0.00168836344609	0.0717847	0.0180087	0.00032431327569	0.00515304315409	0.0151714	-0.0558705999999999	0.0031215239443599	0.0002301713779599	-0.00182631	0.0001946599999999	3.789251559999997e-08	3.3354082161000003e-06	4.23516e-22	-0.000592696	1.7936580225599999e-43	3.51288548416e-07	-0.00138069	-0.0001535099999999	2.3565320099999978e-08	1.9063048761e-06
756.0590279142264	3.451028036542766	571625.2536906049	11.90959450900422	852.4638821343689	3.667386935618879	726694.6703435992	13.44972693554803	726.7093216512366	3.1470249286161334	528106.4381748004	9.90376590133138	753.6529210604334	586.1946165913625	1.169363	25.911753	0.1358663	0.0769085	-0.0425363023	0.0794931007	-0.0921622522	-0.2654171185	0.0195398541	-0.0828165372	0.0415973407	-0.0150333505	-0.0427715594	0.1083673172	0.1936458268	-0.0589785109	0.0493094876	0.0285632656	-0.0794397477	-0.0394103525	0.1328474194	0.0262023904	0.0569490771	-0.069388828	-0.0060274643	-0.031100635	0.0109893121	-0.0446128798	-0.0887964317	0.0532980445	0.0172356729	0.0791308762	-0.0219448079	-0.0673358598	-0.02162869	0.059221441	-0.0943578535	-0.0286786543	-0.0845613204	-0.0273782394	-0.0439786916	-0.0739064209	0.0908564017	-0.1857676548	0.0139424568	-0.0343033672	-0.0250859365	0.0784185791	0.1065686323	-0.0725600314	0.0619160622	0.0258502269	-0.0818449427	0.0892717975	-0.0301513759	-0.0514981275	0.1345957948	-0.0822434893	0.0025795764	0.0688888879	0.0131031145	0.0689663802	-0.0579201758	0.0006730753	0.047546138	0.0154263948	-0.1087647849	0.0089665301	0.0076270306	0.0694049879	-0.1339821381	-0.0275870353	0.0779052819	0.0614606438	-0.0719980077	-0.0252910955	0.0205565667	0.0141336194	0.0167097709	-0.0329899661	0.122211949	-0.031592603	-0.0543237386	-0.1206036719	-0.0925521073	0.0282457045	0.0479633429	0.150821116	0.024327213	-0.1349679993	-0.0107763577	0.0068488426	-0.0808711009	-0.1067262926	-0.0009908088	-0.0245506928	0.0324143803	-0.0446123493	0.1110512127	-0.0714608031	0.0079074417	-0.0379792234	0.0881940284	0.1536399725	-0.0541330141	0.0637069315	-0.0262595643	0.0417910011	-0.0137306004	-0.0793502654	-0.1432041839	-0.0411907239	0.1129422506	0.1076997553	0.099141769	-0.0382096	0.0028800999999999	8.29497600999998e-06	0.00145997353216	0.0330567	-0.038728	0.001499857984	0.00109274541489	-0.0454288	-0.0606002	0.00367238424004	0.00206377586944	-0.00150433	0.00032198	1.0367112040000009e-07	2.2630087489e-06	0.00025251	0.00025251	6.376130010000001e-08	6.376130010000001e-08	-0.00128202	9.866999999999992e-05	9.735768899999985e-09	1.6435752804e-06
756.653998739847	0.594970825620635	572525.2738090004	0.3539902833397	856.5057529772106	4.041870842841718	733602.1048830585	16.33671991021402	726.2323882208099	-0.4769334304266976	527413.4817009011	0.2274654970585776	753.4339996092383	609.6342407264135	1.130604	25.052891	0.1462137939999999	0.0702687	-0.0775335611	-0.0002169994	0.1236257594	-0.0490495476	0.1443046446	0.1123533752	0.0024316908	0.0005902743	-0.0439911147	-0.1159424823	0.0267892038	-0.0373903891	-0.0882790475	0.091874363	0.0527893283	0.151494541	0.197478685	-0.0120733187	0.0287405334	0.0134144172	0.0604306278	-0.0679013015	0.0302884307	0.0182348135	0.0206367147	-0.0463198971	0.0389299963	-0.0530361499	0.0189950885	-0.0870602889	0.1067633389	0.1357103489	-0.0032762439	0.0643892957	-0.0124430666	-0.135447944	-0.0596911225	-0.0710693334	-0.120371067	-0.0333279358	-0.0467335339	-0.0438953279	-0.0055275921	0.1087374514	0.0326103686	-0.1494722339	-0.1819787373	0.0515036465	0.0710835567	-0.0765439395	0.0010001122	0.0948538455	0.065565267	0.1415283728	-0.1067839233	-0.0067341282	0.1801925374	0.0474705259	0.0595611027	0.0530293096	0.0814103912	0.0991465061	-0.1168500352	-0.0439062861	0.041556534	0.0210991627	0.105930386	0.0300024746	0.0940960357	-0.098425121	-0.0429815171	0.0275075952	0.0749178124	-0.0017075315	-0.1491123516	-0.0299876467	0.0333760823	0.0025884638	-0.0594676411	0.0478540497	-0.2815753634	0.0009334196	-0.0414467178	0.0453163197	0.0076039515	-0.0519930704	0.0560011713	0.0554790754	-0.0348842741	0.0496925708	0.0941055706	-0.0152847663	-0.0128708068	0.0282599808	-0.0380738637	-0.0222799687	0.0383811021	0.1282756587	-0.0992250396	-0.0267276504	0.0327893275	-0.0670954654	-0.0385426407	-0.1608638376	-0.0161706142	-0.1404406098	0.0063403365	-0.0822993564	0.1125037874	0.1059762505	0.0953761056	-0.0593252	-0.0211155999999999	0.0004458685633599	0.00351947935504	-0.000518014	-0.033574714	0.0011272614201817	2.6833850419600004e-07	-0.00525102	0.0401777799999999	0.0016142540057283	2.7573211040400004e-05	-0.00199067	-0.00048634	2.3652659560000005e-07	3.9627670489e-06	0.0007794539999999	0.0005269439999998	6.075485381158441e-07	2.776699791358945e-07	-0.00129565	-1.3629999999999936e-05	1.8577689999999824e-10	1.6787089224999998e-06
