global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11
786.9292930696071	n/a	n/a	619257.7122910315	797.2866194904432	n/a	n/a	635665.9536184988	817.5131766046287	n/a	668327.7939221909	n/a	810.347627275841	649.5668578725093	n/a	n/a	n/a	n/a	-0.0308358117	-0.0358079721	0.0271473057	0.1719134308	-0.0526266721	0.0441643661	-0.0478153104	0.1652479973	-0.053520776	0.0483322628	-0.0407135145	0.094018904	-0.1191001515	0.0164993012	-0.1380796286	0.0397608453	-0.0285261492	0.1970752511	-0.0102684402	0.2420127913	-0.0826744931	0.1488397202	-0.221244603	0.0392618229	-0.1307752416	0.0623578085	-0.0064099722	0.1138793512	-0.1113746722	0.0436835281	-0.0844672166	0.0298007083	-0.0266777693	0.0352073845	-0.0255834005	-0.0054460621	-0.0390272132	0.1339137077	-0.0716602898	-0.1067130499	0.1117502255	-0.1172782015	-0.0584668961	0.006698109	0.0294386636	-0.1528287558	0.0214849376	0.010224793	0.0440220972	-0.0494236238	-0.0077073751	-0.0051173772	-0.069819102	0.1364010107	-0.0210033903	-0.0134375307	-0.0430354789	0.0792467308	-0.0118823777	0.1346352686	0.0329259984	-0.1140687629	0.1430474149	-0.1407075175	0.1233177081	-0.0504649276	0.1123474814	0.1308210607	-0.1062930231	0.1848415608	-0.1977192926	0.0960065587	-0.1550501093	0.2177690911	-0.0515958299	0.0942905644	-0.0071672298	0.1129218583	-0.0977874476	0.0266047201	-0.025397031	0.0400668985	-0.0636130588	-0.0274589328	0.0393879864	0.0720315767	-0.0471588425	-0.027699754	0.0624180375	-0.1029991277	-0.0347270992	-0.0328775647	0.1574947027	-0.0289875915	-0.0311989434	0.0034953693	0.0351192648	0.1761845542	-0.1137445627	-0.0285435035	0.022195571	0.1147017419	0.1146833673	0.1146527451	6.95211e-05	n/a	n/a	4.833183345209999e-09	-0.12228	n/a	n/a	0.0149523984	-0.170375	n/a	n/a	0.029027640625	0.0022141	n/a	n/a	4.90223881e-06	-0.000183586	n/a	n/a	3.3703819395999993e-08	-0.000831961	n/a	6.92159105521e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
785.7394816741887	-1.18981139541836	1.415651156667385	617386.5330616228	795.7153916694547	-1.5712278209884971	2.468756865448261	633162.9845396737	816.5272383920284	-0.9859382126003312	666716.7310361123	0.9720741590655356	809.6237299648316	662.9044314700587	1.408886	29.127491	0.5596414789000002	0.330864	-0.0125435615	-0.0940046629	-0.0235896683	0.0587165481	-0.1097820486	0.0501398599	-0.2011894468	0.0563412518	0.0269436117	-0.1110731983	0.009076916	0.04414301	0.1209958094	-0.0142571525	-0.2485601512	0.0085599851	-0.0097277711	0.1998259989	-0.0368450918	0.1248276294	-0.0097563038	0.1796207378	-0.1679532128	-0.1123291653	0.0539504925	-0.0966298009	-0.0678416513	-0.0577762043	0.0163801585	-0.0369226666	0.0905146843	-0.0310975516	0.0026950879	0.1657585898	-0.0979692629	0.0133080065	0.0491044327	0.0316124904	0.0450025522	0.0196967105	0.0227801854	0.0693193724	0.063170636	0.0090882562	0.0398382713	-0.0477666147	-0.0369709729	-0.0508785949	0.0268556565	-0.05072108	0.0278611434	0.080504456	-0.1570561795	-0.0422249704	0.1142623359	0.1140493153	0.0078042527	0.0284405015	-0.03691231	0.0149135512	-0.1085967894	0.1172038245	0.0756135288	-0.2356997789	0.126972583	0.1881890146	0.1356808495	0.1451017976	-0.0927363681	0.1150314065	-0.0778777147	-0.1224323657	-0.0939594777	0.1155390892	-0.0685533072	-0.1080933016	-0.0387368103	0.0330307722	0.135993852	0.0672228445	0.0920301804	0.0330570005	-0.0560957499	-0.0574069869	0.0261743869	-0.0428259706	0.0112171736	-0.027593845	0.0433011714	0.074503818	-0.0861904309	0.0907922845	-0.0129179045	0.0601307081	0.0314597949	0.0635402905	0.1454234012	0.0132819286	-0.0949478241	0.0621068224	0.1115270721	0.1146527451	0.1144874327	0.1142120884	0.0222702	0.0222006789	0.0004928701436209	0.00049596180804	0.113644	0.235924	0.055660133776	0.012914958736	0.0450752	0.2154502	0.04641878868004	0.00203177365504	0.000977607	-0.001236493	1.5289149390490004e-06	9.557154464489998e-07	-0.000290546	-0.0001069599999999	1.14404416e-08	8.441697811599999e-08	-0.000454082	0.0003778789999999	2.06190462724e-07	1.4279253864099998e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
785.9694471568805	0.2299654826917958	0.0528841232296706	617747.9718640924	790.6375700723638	-5.0778215970908605	25.784272171882375	625107.767209932	818.4102752653553	1.883036873326887	669795.3786599146	3.5458278663086986	810.9001511239913	636.7642444770923	1.698251	35.109871	0.38942435	0.254534	-0.0340417687	0.0359554302	0.0397688708	-0.0486780484	-0.1367732187	0.012418048	0.0894374939	-0.0677290907	-0.0541115087	0.1698458528	-0.0643996341	0.0831039221	-0.0169770554	-0.0555405419	0.1026226193	0.047977204	-0.044497315	-0.1670102917	-0.0269995262	-0.1741106646	0.1315453338	-0.058778824	-0.0805147871	-0.0937730923	-0.0995224748	-0.1180354754	-0.0030865005	-0.0620311501	-0.0181628032	0.0818413152	-0.1613459669	0.0972481757	-0.0082317431	0.0291789256	0.1713905221	0.0600721175	0.0977043432	0.1320267623	0.0363353228	0.0344606714	0.0316799078	0.0136788812	0.0693668886	-0.1097068806	0.0234872007	-0.1106397359	-0.0379668624	0.1360483415	0.0810923824	0.0259215709	-0.058727741	0.135314726	-0.129071326	0.0149908453	0.0757953708	-0.0459566607	-0.0520447605	0.0919962508	0.0154531489	-0.1080872202	0.08189976	0.0337011516	-0.2319198473	0.0567582807	-0.0640450079	-0.1114744847	-0.1273329026	-0.0283670662	0.1251797202	-0.0873564211	-0.2166103916	0.1128083156	-0.0350881777	-0.0252966425	-0.0288002784	0.0932852654	0.0013334582	-0.0759206044	0.0126185792	-0.0869817711	-0.0560615801	0.0731284138	-0.0685813465	0.0347868122	-0.0287111204	-0.010757961	-0.1409635397	-0.0344577139	-0.0124543044	0.1747399994	-0.1234151376	-0.0187246304	0.1500450397	0.1398573834	0.0710273955	-0.0080387044	0.0911238906	0.0150143832	-0.0283139382	-0.0678781374	-0.0503376512	0.1145547726	0.1140958982	0.1133324686	0.0109745	-0.0112957	0.00012759283849	0.00012043965025	-0.0781441999999999	-0.1917881999999999	0.0367827136592399	0.0061065159936399	-0.119704	-0.1647792	0.02715218475264	0.014329047616	0.00121134	0.000233733	5.463111528900003e-08	1.4673445956e-06	-9.37e-05	0.0001968459999999	3.874834771599999e-08	8.77969e-09	-0.000453436	6.460000000000341e-07	2.05604206096e-07	4.173160000000441e-13	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
785.765876132821	-0.2035710240595563	0.0414411618366564	617428.0120947798	790.8393985730612	0.2018285006973883	0.0407347436937556	625426.9543354012	817.655585080319	-0.7546901850362246	668560.6558130388	0.569557275390011	809.8380702613181	649.5000815722349	1.296496	26.803919	0.1123773919999999	0.0694553	-0.0501138129	0.0384017371	0.0172535465	-0.0452517834	-0.308475137	0.0119254193	0.0298283382	-0.0199031693	-0.1417054154	0.0058720042	-0.0472700969	0.1056824596	-0.1165445037	0.0872372267	-0.0846427613	0.0595740006	0.0019354771	0.0493012515	-0.0716587626	-0.0925086989	0.0403917659	-0.1015781459	0.1310621356	0.0868069143	0.0246680936	0.0264027274	-0.0277992661	-0.0753612445	0.0657486847	-0.1651133666	-0.0099242142	0.1127552152	-0.0272993362	0.0222018598	-0.0129031534	-0.0237303259	-0.0805380504	-0.0453124944	-0.0265613503	-0.1884827375	-0.0815439572	-0.0996642209	0.0345828783	-0.1527022616	-0.0452026697	0.0091120594	-0.0826058829	0.0900515407	-0.0741600364	-0.1175716761	-0.0349427828	-0.0689931651	-0.016517893	0.0262009453	-0.1579126187	-0.0238395953	-0.043630638	0.0642619053	-0.0559727483	-0.0235818746	0.1283705521	-0.0673500521	-0.075054786	-0.0232531943	0.1411873815	0.0001261713	0.0487457935	-0.0699989347	-0.1302382159	-0.1594935035	0.0658053026	-0.0477972413	0.1130774463	0.0339946945	0.0453581814	-0.0524799664	-0.0026797932	-0.1091001715	-0.0245519758	0.0123984042	0.0665645487	0.1047692742	0.0509720992	-0.0916382089	-0.0272624923	-0.0698409615	0.0882075198	-0.0594531988	0.0833119539	-0.0803082438	-0.2079058623	0.0229949904	0.0077069447	-0.0996914478	-0.0360162868	0.0294450439	-0.1594156046	-0.0611886506	0.0208731499	-0.1224472422	0.0558118951	0.1144078661	0.1135094328	0.1120172664	-0.00308733	-0.01406183	0.0001977350629489	9.5316065289e-06	-0.0699874	0.0081567999999998	6.653338623999829e-05	0.00489823615876	-0.186267	-0.0665629999999999	0.0044306329689999	0.0346953952889999	0.000973378	-0.0002379619999999	5.6625913443999996e-08	9.47464730884e-07	-2.07376e-06	9.162624e-05	8.3953678565376e-09	4.3004805376000006e-12	-0.000595763	-0.000142327	3.5493355216900005e-07	2.025697492900001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
786.2186478429026	0.4527717100816062	0.205002221450222	618139.762215922	790.3281232277632	-0.5112753452980314	0.2614024787096212	624618.5423647184	818.031893510495	0.3763084301759818	669176.1788003659	0.1416080346215117	810.6463208502996	642.7946648412421	1.251779	25.879454	0.0895995019999999	0.0500406	-0.0438596239	-0.1338973412	0.0332341695	0.0915793929	-0.1558431404	-0.0730320806	0.0576289025	-0.1320039022	-0.0691236995	0.1553883532	-0.0578876182	0.0677433919	-0.0527501595	0.1244503348	-0.0402041253	0.0513282588	-0.0160897841	-0.0820805174	-0.1147042197	-0.2256631651	0.0506228805	-0.0855228318	0.0503910781	-0.0474089211	-0.0201224913	0.0197677098	0.0600358706	0.080363365	0.002978049	-0.0734882	0.1629315816	-0.1001253308	0.0275323006	-0.0231139232	0.0190783666	0.0993002556	-0.1225727281	0.0070238136	0.0108953898	0.0776008717	0.0158693969	-0.08426456	-0.0052711978	0.0408113642	-0.0863548253	0.0058137887	0.0395255531	0.0320575861	-0.0898017071	-0.0257943803	-0.0137149726	0.0114371821	0.0942792863	0.1160929809	0.1232119165	0.0810881832	-0.0522269847	0.1021630203	0.0199524468	0.0329741617	0.0081271598	-0.0906873072	-0.2041761436	-0.0201034851	0.0365517755	-0.0671080988	-0.1354352739	-0.1282867243	-0.0265679789	-0.1892209613	-0.0365161878	-0.0258773754	-0.0289808517	-0.0161960754	-0.0124350917	-0.1627969298	0.0413636926	0.0579076979	0.0206050196	-0.0421007749	0.1008264011	-0.1654063779	0.0050569952	-0.0510503959	-0.0993788055	0.1463568554	-0.0632540094	-0.0670843825	0.0278528415	0.0174755264	0.1173345571	0.061307583	0.0081363744	-0.0800155583	-0.0560776808	-0.0708867726	-0.0665724559	0.0935029082	0.0265389684	-0.0362711772	0.0037635912	0.1142120884	0.1127290384	0.1102715368	-0.00645972	-0.00337239	1.1373014312100002e-05	4.17279824784e-05	-0.107135	-0.0371475999999999	0.0013799441857599	0.0114779082249999	-0.179573	0.0066939999999999	4.48096359999997e-05	0.032246462329	0.000423954	-0.000549424	3.01866731776e-07	1.79736994116e-07	-0.000242648	-0.00024057424	5.78759649515776e-08	5.8878051904000015e-08	-0.000653475	-5.771200000000002e-05	4.270295756250001e-07	3.330674944000002e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
785.0209049598711	-1.1977428830314238	1.434588013852427	616257.821224015	793.1771865649677	2.849063337204484	8.11716189940275	629130.0492871176	815.7411590356108	-2.290734474884175	665433.6385447618	5.247464434422878	808.4704803954038	658.9498542845196	1.233245	25.496264	0.1460651	0.0742112999999999	-0.039283338	0.0060721956	0.0297662512	-0.0724125976	-0.0770064077	0.1725361983	0.0651736586	-0.0737936539	-0.0202171454	0.0479397211	0.01405766	-0.0361941111	-0.055875443	0.1401344339	-0.0174059798	0.0418793166	0.0209777386	-0.1213368188	0.1346633619	-0.0332426559	-0.0080711096	-0.0163327326	0.0272808289	-0.2171635225	0.0382889737	-0.0006608413	0.0882608755	0.0568104425	0.0321995763	-0.0432402929	-0.0569657662	0.090068701	0.0561903971	0.0830792807	0.0681597437	0.1036477604	-0.1378127044	-0.0421573361	-0.0538251698	-0.0052950179	-0.0650349325	0.022067727	0.0813555485	0.0751790273	0.0018838315	0.0472567267	-0.0098477056	-0.0627639384	0.0159613422	0.1289689126	0.0283856652	-0.0707776406	0.1668463245	0.087313187	0.1389465507	0.1011300089	0.0020258205	-0.1113593009	-0.11943931	0.0541040464	0.0810350611	-0.0512547142	-0.15629545	0.0034356341	0.0083875055	-0.0215724122	0.0626567116	0.0277677206	0.1217653665	-0.0228659936	0.0675887438	0.0086854387	0.0421896135	0.0149861962	-0.0172008893	-0.0259373875	0.1275241008	0.0279998599	-0.0233719648	-0.0837541293	0.0381961966	0.0448117981	0.1122205495	-0.1889985628	-0.0507940914	-0.0942179435	0.0111930999	0.0140521123	0.0167736136	0.0155073027	0.0960022458	-0.014796345	-0.0902529739	-0.1274707457	0.1525311594	0.0082063216	0.1733809763	0.0444910282	0.1365724137	0.0449733721	0.0863910113	0.1139675232	0.1117560484	0.1081019891	-0.00860762	-0.0021478999999999	4.6134744099999976e-06	7.40911220644e-05	-0.0625684	0.0445666	0.0019861818355599	0.00391480467856	-0.136018	0.043555	0.001897038025	0.018500896324	0.00106999	0.000646036	4.17362513296e-07	1.1448786001000002e-06	-0.000712523	-0.0004698749999999	2.2078251562499995e-07	5.076890255289999e-07	-0.000653474	1.000000000015745e-09	4.270282686760001e-07	1.0000000000314906e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
783.5440755596715	-1.4768294001996765	2.181025077294136	613941.3183446601	784.5823622044132	-8.594824360554412	73.87100578877956	615569.4830822571	818.1974219672564	2.456262931645597	669447.0213138647	6.033227589376222	810.2615553245238	636.5354672845405	1.120521	23.165791	0.0488396999999999	0.0256217	-0.0369395977	0.0519740498	0.0213735333	-0.1304606734	0.0055255336	-0.1346319791	0.0216148801	-0.0063836095	-0.0759366924	0.1224972392	-0.0527806619	0.0430800716	-0.0172034995	0.0559196735	0.048251186	-0.041373187	-0.2557487317	-0.0382096478	0.0559366786	0.0216416193	-0.0187345842	0.0113350637	0.1430354641	-0.0354951177	-0.1146258301	-0.0988782521	0.0703241806	-0.0629131931	-0.1933208366	-0.0623061782	0.2083400254	-0.0015418047	-0.0885648952	0.0189955907	0.1158377445	-0.0513213681	0.1858349068	0.0052362309	0.0375301561	-0.0581184291	0.0073714872	-0.047616316	0.0720475678	-0.0200475603	0.0252306015	0.0401451601	-0.0730184883	-0.063070003	-0.0007709221	-0.108688803	0.0501311518	-0.2177465666	-0.0877071535	-0.0732024193	-0.0912678624	-0.0977570956	-0.0377367837	0.0540324057	0.0268906456	-0.1376658171	0.0290851203	-0.0286946882	-0.124927175	-0.0072333192	-0.0597821187	-0.1581156629	0.0291845865	-0.0573431266	0.0688711998	0.0050170476	0.0235569941	-0.0639363666	-0.0362865961	0.1191534712	0.2807680412	-0.2766686336	-0.0203672457	0.063864591	0.0183070751	0.0768753542	-0.0961233665	0.0902195263	-0.0982501387	0.2071808661	0.1541381825	0.0693673275	0.0415865167	0.0923639249	-0.0324777476	-0.0560878222	-0.0720142099	-0.0895718588	-0.02009922	-0.0680599887	0.0386414539	0.0164967206	-0.0112098592	-0.0232809446	-0.0427838197	0.066494382	0.0054388099	0.1136742748	0.110592125	0.105516962	-0.00625517	0.00235245	5.534021002499999e-06	3.91271517289e-05	-0.0755731	-0.0130047	0.00016912222209	0.00571129344361	-0.133062	0.0029559999999999	8.73793599999992e-06	0.017705495844	0.00131894	0.0002489499999999	6.197610249999997e-08	1.7396027236e-06	-0.000350943	0.0003615799999999	1.307400964e-07	1.23160989249e-07	-0.000653475	-1.000000000015745e-09	4.270295756250001e-07	1.0000000000314906e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
783.7845275156736	0.2404519560021754	0.057817143145272	614318.1855729677	791.7832643761477	7.200902171734469	51.8529920868902	626920.7377461486	816.9239184426476	-1.273503524608827	667364.6885236896	1.621811227191106	809.2881935652165	649.1806667990595	1.137642	23.519766	0.10303518	0.0698365	-0.0373872209	0.0747567355	0.026359739	0.0441960743	-0.0889870178	0.0350513929	0.1923516004	0.0584841273	0.0423557965	0.0268204349	-0.0213832283	0.0221837948	-0.0708405701	0.0783792994	-0.0523606006	0.0284618794	0.0492190061	-0.0060980077	0.1819845829	0.0889356866	-0.1488642894	-0.0444451728	0.1265635568	0.1222889396	-0.050662812	0.0290041264	-0.2143186795	0.0049929693	-0.043723618	-0.0174604655	0.0949014568	-0.0299252405	0.04317944	-0.0563441178	-0.08383654	0.2208979782	0.0876349797	-0.0004323958	-0.1749785544	-0.0266705965	0.0108486624	0.0535453424	-0.0638985806	-0.0720370303	0.0471413295	0.2262072368	-0.0278986323	-0.0058303214	0.0027236714	-0.0017693746	-0.1646336073	0.0262979672	-0.1137606162	-0.0101301524	0.0510997603	-0.0578843161	-0.0240286194	-0.0421518703	-0.0753313995	0.1000783556	0.1230161092	-0.0147471101	0.038442035	0.0567608921	0.0436612222	-0.0800534484	0.0728474998	-0.0529374183	-0.0060021908	0.0485381581	0.1079264569	-0.1445867975	0.0955057663	0.2391673746	0.0611839574	0.0834866357	0.0503878137	0.0926534437	0.0580960038	0.1598360449	0.0197639332	0.1716183934	-0.0027984391	0.0753189633	-0.1734476918	-0.1021936735	-0.0143394027	0.0460829741	-0.0549426701	-0.0271293632	0.106825199	-0.0043511547	0.0098192731	-0.0400153922	0.0249500365	-0.0401011926	-0.1379105134	-0.1162496162	0.0247775582	-0.008943344	-0.2285219741	0.1133324686	0.1092392569	0.1025263906	-0.0146124	-0.00835723	6.98432932729e-05	0.0002135222337599	-0.0804104999999999	-0.0048373999999998	2.340043875999898e-05	0.0064658485102499	-0.127386	0.005676	3.2216976000000164e-05	0.016227192996	0.00264065	0.00132171	1.7469173241e-06	6.9730324225e-06	-0.000712524	-0.000361581	1.30740819561e-07	5.07690450576e-07	-0.000653475	0.0	4.270295756250001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
783.569605118119	-0.2149223975546874	0.0461916369706551	613981.3260649649	791.8208425847566	0.0375782086089202	0.0014121217622555	626980.2467516339	817.2989732346425	0.3750547919948985	667977.6116504009	0.1406660969983366	809.894549423314	650.9901545765093	1.45184	30.015522	0.27097211	0.126579	-0.0289243592	-0.1421149894	0.0405593632	0.0587924639	0.0100377911	-0.1699306878	-0.1638255527	-0.0293488877	-0.0297401159	0.0729381829	-0.031734645	0.0195674534	-0.0222160895	-0.070472134	0.0597292714	0.0897199375	0.0306716933	-0.1555398053	-0.1194909027	0.042410595	0.1845013114	-0.0570562491	0.121211308	-0.0719156999	0.0337492765	0.2147118962	-0.0002192176	0.1318352478	0.0451250126	0.1391891447	-0.0377262963	-0.0592339166	0.1352145925	-0.0786990215	-0.0223170103	-0.0567000361	0.0059936059	0.0140379825	-0.0648445544	0.0842931629	0.2250911866	0.0309389622	-0.0896103864	-0.102195609	0.0038383051	0.0352705851	-0.050699253	0.0227476092	-0.109010097	-0.1481079283	0.0716836681	0.04602624	0.0613869898	-0.0056454159	0.1219082769	-0.0401688879	-0.0245396752	0.0924094389	0.1455515675	-0.0053317368	-0.1171340914	-0.0604969083	-0.1255967216	0.0263184795	-0.0889694145	0.1763275601	-0.0799596944	-0.0886840628	0.0114120264	-0.0143411935	0.0999226816	0.1477626805	0.0955424077	0.0133648565	-0.0113407881	0.0884730937	0.1177101848	0.1492158521	-0.0692129541	0.0890388783	-0.0892090514	0.0337353272	0.1454951796	-0.0012441124	-0.0405035711	0.0682997874	-0.1185698285	-0.0304484795	-0.0065645791	0.0119623459	0.054993886	0.2715311711	0.0812924272	-0.0175703497	-0.0738736843	-0.1256221939	0.0097439351	-0.0644577527	0.0054518454	0.0381766684	0.1724333813	0.1129422506	0.1076997553	0.099141769	0.0107109	0.0253233	0.00064126952289	0.00011472337881	-0.00131979	0.0790907099999999	0.006255340408304	1.7418456440999998e-06	-0.0643528	0.0630332	0.00397318430224	0.00414128286784	0.00143304	-0.00120761	1.4583219121e-06	2.0536036416e-06	-0.000188511	0.0005240129999999	2.74589624169e-07	3.5536397121000005e-08	-0.0003146	0.000338875	9.897316000000001e-08	1.1483626562500003e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
784.9171796003084	1.3475744821894295	1.8159569850481088	616094.9788317027	795.1670673860915	3.34622480133487	11.19722042106859	632290.665055397	817.2510938994942	-0.0478793351483091	667899.3504799199	0.0022924307342441	810.0483608102674	639.955613538491	1.386799	28.670868	0.23429423	0.135093	-0.0198107337	-0.0488128605	0.0226177478	0.0272076891	0.1187634965	0.0687817689	-0.122728322	0.0564186734	-0.0471639228	0.1003029804	-0.036740975	0.0469571535	-0.001138802	0.1485087369	0.0230976952	-0.0879217955	-0.0324837023	0.0292190228	0.0176960122	0.0483923644	0.0212570274	0.0428150205	-0.1643058744	0.0804328872	-0.0079512911	-0.0164070335	0.1081981031	0.1299121445	0.0284645531	-0.0377119651	0.053021197	-0.0789599215	-0.1320753036	-0.1695832661	-0.0195375133	-0.1722924997	-0.0579406026	-0.1089352173	-0.0763113108	0.1657161135	0.0226922542	0.024013831	0.0236345801	-0.0756872843	-0.0012416873	-0.0256274413	0.1148453175	-0.0021842259	0.1183979658	-0.0099631734	-0.0385043234	0.1641469643	0.116092292	0.0281724465	-0.137748236	0.0929729794	-0.038079813	-0.0016521589	-0.2014239531	0.0628060326	-0.1063918564	-0.1281952092	0.1443213564	-0.1007647837	-0.0346843322	-0.0391940901	-0.068403228	-0.0410298447	0.0423207367	0.088053417	-0.070130652	-0.0028083849	0.0056187396	-0.1416842773	0.1071373464	0.1059682698	-0.0935320794	0.108819484	-0.1462139725	-0.1200731833	-0.0145661143	-0.0582925417	-0.0571431797	0.0366979849	-0.0373922681	-0.0012507693	0.064635799	0.0418579481	-0.0860122227	0.0370536965	-0.015891349	-0.034113713	-0.0497693115	0.0430315637	-0.0244794031	-0.0640248129	0.0717499825	-0.0070245506	0.0687193064	0.0101509147	-0.1308975872	0.1125037874	0.1059762505	0.0953761056	-0.00685318	-0.01756408	0.0003084969062464	4.69660761124e-05	-0.106093	-0.10477321	0.0109774255337041	0.011255724649	-0.0699374	-0.0055845999999999	3.1187757159999945e-05	0.00489123991876	-5.67648e-05	-0.0014898048	2.21951834210304e-06	3.22224251904e-09	-0.000712524	-0.0005240129999999	2.74589624169e-07	5.07690450576e-07	-0.000428229	-0.000113629	1.8338007644100006e-07	1.2911549641000005e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
