global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
760.8812614164773	n/a	578940.2939747296	n/a	805.8502563619023	n/a	n/a	649394.6356785437	711.9963084630691	n/a	506938.7432650379	n/a	706.8461661975077	543.8399103538487	n/a	n/a	n/a	n/a	-0.2583887423	0.0730226484	-0.1001750645	0.0582526502	-0.1317878117	0.1813279551	-0.0368565293	0.1873473869	-0.2307162443	0.1328770376	-0.0959219271	0.0692525744	-0.0310911253	0.0820723564	-0.0448279297	0.2423702071	-0.0707417795	0.0090827625	-0.0024094488	0.0149613317	-0.253150168	0.1586373611	-0.0364605591	0.0521948632	-0.0788783046	0.0738178421	-0.026455935	0.0449060759	-0.0459553687	0.0971428006	-0.0890766345	0.0915267585	-0.0375482457	0.0534716298	-0.1976176866	0.0722596128	-0.1056889467	0.0789599621	-0.0344095658	0.1820041906	-0.0641715158	0.0771659915	-0.0718556392	0.0446668112	-0.1301517371	0.1757209901	0.0685075485	-0.0211491338	-0.0411488799	0.074000823	0.0048703771	0.0638846383	-0.0402481199	0.0429474941	0.0731685749	-0.022203906	-0.0184772412	0.0089802555	0.00570855	0.0126938497	-0.0595603069	-0.0488560998	-0.0479171029	0.0588856787	0.1073599466	-0.1400789959	-0.0245969674	0.1405735331	-0.2221378227	0.0267796503	-0.1958792676	-0.0146075012	0.1229277423	-0.0287205715	0.1070877327	-0.0441087817	0.042297293	-0.0442121949	0.0648414351	-0.1188837906	0.0335469025	-0.1434201216	0.1819962797	-0.0883676821	0.1302187547	-0.0362956405	0.082984608	-0.113993671	0.0398220605	-0.0271168561	0.0347036813	-0.0206682783	0.0101950446	0.0798027674	-0.0367119948	0.0028183581	0.0188520159	0.036898065	-0.0398391238	-0.1534979539	0.0998691867	-0.1716346795	-0.0574102847	-0.0390168721	0.0354079638	0.1050143737	-0.0516461298	0.0396720765	0.0080405765	0.0528022359	-0.0349998956	-0.0189782161	-0.0404577535	0.1147017419	0.1146833673	0.1146527451	-0.0362686	n/a	n/a	0.0013154113459599	0.0361558	n/a	0.00130724187364	n/a	0.251236	n/a	0.063119527696	n/a	-0.00527982	n/a	n/a	2.7876499232400003e-05	0.000825531	n/a	6.81501431961e-07	n/a	-0.000693238	n/a	n/a	4.80578924644e-07
761.4000870688948	0.5188256524174903	579730.0925885205	0.2691800576064345	804.8016591717402	-1.048597190162127	1.0995560672159077	647705.7106055858	711.8764567060609	-0.1198517570081776	506768.0896123762	0.0143644436579472	706.9448581732609	548.7268163292393	1.155659	21.761362	0.24114216	0.105208	-0.2865689503	-0.0371860441	0.0273172882	0.1280479452	-0.0561730725	0.1878191637	-0.0751258388	-0.0534861524	-0.0456153079	0.2234126617	0.098216519	-0.0001047799	-0.0907795856	0.0387949148	-0.0694585631	0.0511199684	-0.1334008229	-0.1206959909	0.0404161444	0.0470268287	-0.1394686967	0.0439413826	0.1214278824	0.093662195	0.0516135262	-0.1317628881	-0.081888899	0.1189278311	0.115091511	0.1084180777	-0.1643083163	0.0246583641	-0.0434936102	-0.0267088795	0.0503491847	0.0317114853	0.0489893497	-0.0122037352	0.0158409006	-0.0874412399	0.0215323032	0.1048041285	0.1566752067	-0.0757054667	0.0094936105	0.0064015477	0.033666777	0.0392177912	0.0986093731	-0.1042546424	0.0668459992	0.1373925341	0.1753076991	0.0264207715	0.1405558621	0.1078250675	0.0798407659	0.0666353151	-0.0324419638	-0.1256390695	-0.032198559	0.0448927291	0.029725397	-0.0807460077	0.1379053066	-0.0640349984	-0.0128519582	0.1331033774	0.0436118636	0.0753221688	-0.2123598113	0.0483742134	-0.0594573335	-0.2461498989	-0.1242746764	0.0343331888	-0.0483520321	0.0742759304	-0.0550907	0.0380500518	0.0577189547	-0.0629825157	-0.0422721669	0.0332465022	0.0271303534	0.0743389583	0.0147134745	-0.0508398679	0.2093663505	0.0254143307	0.0943572472	0.0585341717	0.0363427401	0.0590457578	-0.0413947569	0.0686148304	-0.0433772933	-0.0602983747	-0.0121257317	0.1194815455	-0.1212908101	-0.0832381585	0.0288779464	-0.0602809606	0.0909120116	0.0655270272	0.125046743	0.088920001	0.1562593327	-0.0213035527	0.0309199645	-0.0394335676	0.0056722731	0.1146527451	0.1144874327	0.1142120884	-0.0788718	-0.0426032	0.00181503265024	0.00622076083524	-0.0515956	-0.0877514	0.0026621059393599	0.00770030820196	0.256179	0.0049429999999999	0.0656276800409999	2.4433248999999755e-05	-0.00413475	0.0011450699999999	1.3111853048999995e-06	1.7096157562500004e-05	-4.22802e-05	-0.0008678112	1.78761531204e-09	7.5309627884544e-07	-0.0007972479999999	-0.0001040099999999	1.08180800999792e-08	6.356043735038406e-07
760.7824664039402	-0.6176206649545293	578789.9611876624	0.3814552857788749	803.3022618983766	-1.49939727336357	2.2481921833701084	645294.5239710481	712.2138418621693	0.3373851561083256	507248.55654007103	0.1138287435622392	706.9611612096355	552.8094094012221	0.965703	18.184435	0.13758667	0.0720756	-0.1949441215	0.037806084	0.091635866	0.1228762906	-0.0721225441	0.1766009265	0.0495818066	-0.1343657259	-0.030568813	0.2569679629	0.0197503836	0.1745328098	-0.1157935642	0.121477969	0.0429839742	-0.1702537124	-0.085405476	0.1849164223	-0.0470313113	0.0606861583	-0.1303395621	0.1210952812	0.1836300743	0.0849677873	-0.0351210453	-0.1239365683	0.0732908611	0.1065553077	-0.0173620676	0.0187668352	-0.1665897046	0.0481944096	0.0386265556	-0.0030090111	0.0363003329	-0.0034796478	-0.0130438536	-0.0217947945	-0.066142277	-0.0943701215	0.0498629148	-0.1397832692	0.0120401711	-0.0448761873	0.1482035589	0.0942946696	0.1135002675	0.0778981766	0.0645464884	-0.017758304	0.0347437711	-0.0435154685	0.0996400445	-0.0695695803	0.1740184127	0.0376937205	-0.0513484355	-0.0903818499	0.0815288097	-0.0180600333	0.0118544039	0.0028223516	0.1008629078	-0.1067723893	0.025510905	0.0566778653	0.0145634217	0.0334994045	0.0224795929	0.1480448569	-0.2853500818	0.1151715071	0.09636224	-0.1532838372	-0.078529872	0.1176266615	-0.0325826696	-0.0741109383	-0.0771247049	0.0155013969	-0.0716371623	-0.0110135	-0.0229018764	-0.0113268746	0.0271201837	-0.0894618487	0.0576295836	0.0221747782	-0.0208474614	0.1022172352	-0.1089767332	0.0930989309	0.141801824	0.0542750205	-0.0106580973	0.0549034047	-0.0465520028	0.1287312279	0.0092873737	0.0751753967	-0.0552752137	0.0599571047	0.1489080832	0.1287519615	0.140909487	-0.0671139414	0.0872634618	-0.018928625	-0.0572431958	-0.063802274	0.0666944739	0.029965683	0.1036754057	0.1145547726	0.1140958982	0.1133324686	-0.0898879	-0.0110161	0.00012135445921	0.00807983456641	-0.00253897	0.04905663	6.446368660900001e-06	0.0024065529469569	0.297034	0.040855	0.088229197156	0.001669131025	-0.00370366	0.00043109	1.8583858810000025e-07	1.37170973956e-05	-0.000344369	-0.0003020888	1.1859000816100003e-07	9.125764308544e-08	-0.0007972479999999	0.0	0.0	6.356043735038406e-07
760.6972931902873	-0.085173213652979	578660.3718670299	0.007254476323976	804.0208065605681	0.718544662191448	0.516306431563822	646449.4573823065	712.2501939043818	0.0363520422125702	507300.3387168296	0.0013214709730244	706.701868342223	553.1998736508139	0.949521	17.87973	0.12085422	0.0824921	-0.1564006505	0.0940205732	0.0534500445	0.0448005134	-0.1517957467	0.1548427092	0.1009029227	-0.0139289806	-0.0923395345	0.1994298115	-0.0515568805	0.0200629462	-0.0943539099	0.0011605676	0.0458130584	-0.0349685946	0.0151839108	0.0790952725	-0.1164409318	0.0530364228	-0.1184077457	0.1742616326	0.0930310979	0.0494645789	-0.1141974854	0.0241691137	0.1063937412	0.1709088262	-0.0361157181	-0.1222107744	-0.0827755856	-0.0833582655	0.0058158635	-0.0049578859	-0.0887662638	-0.0439123378	0.1016010629	-0.1586160637	0.0488612516	-0.0062073615	0.089667271	0.0501112332	0.0786200078	0.0665405718	0.0588489784	-0.0938574301	-0.0599255032	0.158560689	-0.0127169865	0.0336864799	-0.0437147156	-0.0575777602	-0.0386996629	0.0489294913	-0.0717083204	0.0496474475	-0.0357251897	0.0824842999	0.1421138298	-0.0341112423	0.0002687133	0.1741353119	-0.0224940511	0.0870127155	-0.0045729236	0.1233676187	0.0489293159	0.0140478239	-0.1086349098	0.0965396454	-0.2376625719	-0.0315023115	0.0475285206	-0.0481265883	-0.0123300863	0.2023747035	0.0637879971	0.0044062609	0.038554626	-0.1544744993	0.0204508912	0.1282737601	0.0130233211	0.0666124088	0.0736062889	0.0039055253	-0.0275952417	0.0767147474	0.1017281792	0.051809194	0.0185767134	0.0705370057	0.015880164	-0.0492609377	0.0457019743	-0.0858917312	0.1038760255	0.040423389	0.0010988666	0.0934988144	0.0436088859	0.0303568435	0.0510751095	0.0816816997	-0.1261716773	-0.1681428467	0.0872052005	0.0331778569	-0.0163171721	0.1854947166	-0.1111304326	0.0196738828	0.0652667274	0.1144078661	0.1135094328	0.1120172664	-0.0899516	-6.369999999999987e-05	4.057689999999983e-09	0.00809129034256	0.0127686	0.01530757	0.00016303714596	0.0002343216993049	0.226693	-0.070341	0.051389716249	0.004947856281	-0.00322833	0.0004753299999999	2.2593860889999999e-07	1.0422114588900002e-05	-0.00011686	0.000227509	1.36562596e-08	5.1760345081000016e-08	-0.0007972479999999	0.0	0.0	6.356043735038406e-07
761.7701033663335	1.0728101760462323	580293.6903827544	1.150921673828348	804.9377419427955	0.9169353822273932	0.840770495180496	647924.7684039664	712.9616346286074	0.7114407242255538	508314.29245229583	0.5061479040865805	707.421737970589	544.2639501838302	1.031658	19.42638	0.12373789	0.0791068999999999	-0.1526498879	0.1116643351	-0.0904103689	0.0375247213	-0.1540807739	0.1268861914	0.0061679114	0.1207351123	-0.1610973372	0.1054355926	-0.1008868214	-0.073651807	0.0244506031	0.033766535	0.0449057901	-0.0158198227	0.0236475482	0.0183865204	0.0255330271	-0.013187398	-0.1507356412	0.2395427745	-0.0213478567	-0.0102341338	-0.1011121772	0.0114487548	-0.0326377833	0.0398927681	0.04615781	0.0377794115	0.0696024919	-0.0150139974	-0.0045569139	-0.0557242399	-0.1119448151	-0.0772330167	-0.0103355461	-0.1467990321	-0.0846357842	0.0911343457	0.1304560174	-0.1514339537	-0.1074124971	0.0133823269	0.0771280915	-0.0176859301	-0.06042582	-0.0499315798	-0.0561211466	0.0019689976	-0.1489728314	0.0708624857	0.0257060617	0.1142276354	0.0860516301	-0.1528538695	0.086946143	0.0874445649	-0.0423900086	-0.0112845808	0.0204215962	0.0523229232	0.0233446391	0.1249669686	-0.0395581242	0.1396315786	-0.0071378857	0.0511149558	-0.1912488135	0.029934088	-0.1557528686	-0.0582959449	-0.01946457	-0.0256973504	0.0357563455	0.0192115838	0.0295049634	0.0641290046	0.0547863702	-0.0191528869	0.0900434022	0.0474732579	-0.0144898598	0.0719473812	0.0622736503	-0.0236202722	-0.0593127947	-0.0016389482	-0.0996925688	-0.0963851624	-0.228507829	0.0816824606	0.0560992593	-0.0701254227	0.0835729708	0.0555163696	0.0960398131	-0.036003602	0.0933889854	-0.0915572953	0.0462989816	-0.0743432334	-0.1073324654	-0.0232740833	-0.0399643345	0.0148655722	0.0027209301	0.1082102948	0.0825426763	-0.0751700528	-0.1234134934	0.2159784698	0.0666640479	0.1142120884	0.1127290384	0.1102715368	-0.0861534999999999	0.0037981000000001	1.4425563610000831e-05	0.0074224255622499	0.0548939	0.0421253	0.00301334025721	0.00177454090009	0.157952	-0.068741	0.024948834304	0.004725325081	-0.00333522	-0.0001068899999999	1.142547209999993e-08	1.11236924484e-05	-4.22802e-05	7.45798e-05	1.78761531204e-09	5.562146568039999e-09	-0.0007972479999999	0.0	0.0	6.356043735038406e-07
764.6935818147327	2.923478448399237	584756.2740686453	8.546726238254811	806.8857288178001	1.9479868750046307	3.794652865190307	651064.5793698324	713.5928172214193	0.6311825928119106	509214.7087900019	0.3983914654687661	708.5096939313254	555.820743955357	1.088164	20.490419	0.1676292	0.0910051	-0.1357626237	-0.0570297728	0.0001159034	0.1041122156	0.0017895909	0.0993210782	-0.0879257068	0.0365667841	0.0177514266	0.0782446612	-0.0193106168	0.0037990886	0.0769087592	-0.0588373491	-0.1301250342	-0.0061305421	0.0898710563	-0.1276417798	-0.0809625796	-0.0141643405	-0.0802307356	-0.0354791301	0.0048827508	0.0150651038	0.0813060299	-0.1239164511	-0.0440899603	-0.0351282227	-0.1412503114	-0.121206886	-0.0251953145	-0.0603543979	-0.0254529337	-0.0096365783	0.0580435611	-0.1881410217	0.0047638982	0.0120880802	-0.0894534631	-0.0085184132	-0.0383226636	-0.1057269934	-0.0311517281	0.050812736	-0.0572319773	0.0439479321	-0.1853856763	0.0517741805	-0.1082220726	0.013474001	-0.0552228718	-0.0396096089	-0.1182961074	0.0978875821	0.018101663	0.0741575859	0.0508367229	-0.0257684166	-0.0893408851	0.2397255411	0.1961690069	-0.0597390733	0.032617402	0.0307096693	0.1131068339	0.0985640055	-0.0463874075	0.1045018849	0.0047185498	0.0121355788	-0.0021506413	0.0817399729	-0.1059654263	-0.0252237558	-0.0624289735	0.001677887	-0.1388999511	-0.0235750708	0.0858234266	0.0416545282	-0.0776946915	-0.0392151104	-0.0878145961	0.0509799607	0.0717114799	-0.0121455245	0.0692747703	0.0293716244	-0.1009007954	0.0293374761	0.0305930912	0.0269080003	0.0462572257	-0.1072596851	0.0684308407	-0.2889491232	0.1118531956	-0.000680031	0.0660301215	-0.0794606557	0.0650435079	-0.059909318	-0.0597936608	0.0848126268	-0.0856689263	0.1016223956	-0.1016723344	0.0617558886	-0.0998098185	-0.0833349497	-0.1082738662	-0.0808452244	-0.1272133181	0.1139675232	0.1117560484	0.1081019891	-0.0621231	0.0240303999999998	0.0005774601241599	0.00385927955361	-0.0206774	-0.0755713	0.0004275548707599	0.00571102138369	0.112001	-0.045951	0.012544224001	0.002111494401	-0.00289369	0.0004415299999999	1.949487408999999e-07	8.3734418161e-06	-4.22802e-05	0.0	1.78761531204e-09	0.0	-0.0007972479999999	0.0	0.0	6.356043735038406e-07
765.0186117753742	0.3250299606414728	585253.4763627207	0.1056444753145973	812.598718410367	5.712989592566942	32.63825008477819	660316.677162171	713.4007823487439	-0.1920348726754355	508940.67625579983	0.0368773923234707	708.2970938125362	565.5749240667808	0.927393	17.463043	0.14181234	0.0716634	-0.0700418114	-0.0631473992	0.0322733963	0.1334261138	-0.0333063188	0.0411195792	-0.0336437675	-0.0790525942	-0.0029410316	0.1444256771	-0.0414506717	0.018557652	-0.0679950356	0.0418023354	-0.209120678	0.0930445982	0.0419901876	-0.081297531	0.1743385536	-0.0145144273	-0.0155574638	0.0182771758	0.2160903756	-0.0088359654	-0.1045685767	-0.0841013631	0.2013968307	0.0779884617	0.1321814542	0.0021900533	0.2451953816	-0.0813298616	0.0674003435	0.1294571356	-0.0358453731	-0.020003635	-0.0403705643	0.176767653	-0.0324252406	0.0217476716	-0.104961978	0.0463736499	0.1778191358	0.0493025436	-0.0804673255	0.0006525863	-0.1390947863	-0.1056033172	-0.050851573	-0.0288102988	0.1381845483	-0.0567110166	0.0728476087	0.0081622275	-0.052861616	0.0300404271	-0.1005085616	-0.094198012	-0.0784200212	0.0260349707	-0.0677680154	-0.1646666192	-0.0893681746	-0.0709948635	-0.064240102	-0.056436826	-0.0373733151	0.0248699933	0.0584150616	0.0205813266	-0.1522733065	0.060569124	0.0651157911	0.078835467	0.0685522237	0.0427893326	-0.1601010368	0.0658273772	-0.0688438322	0.1039096791	0.201413324	0.1814190931	0.0296570406	0.1138164338	-0.0935244941	-0.1222360748	-0.0099521383	-0.0216064027	-0.0440014151	0.1012346679	0.2554006052	-0.0907266754	-0.086832476	0.018706113	-0.0293660048	-0.0119764079	-0.0666561576	0.0066871908	0.1394010262	-0.1073658058	-0.0317862688	-0.0075683778	-0.0045032739	-0.1043178625	-0.0173271999	0.036167092	-0.0935526211	-0.1947834249	-0.0214672433	-0.0280881233	0.1365534058	-0.0709826763	0.0611280432	0.1136742748	0.110592125	0.105516962	-0.062146	-2.289999999999931e-05	5.244099999999683e-10	0.003862125316	-0.0426782	-0.0220008	0.00182142875524	0.00048403520064	0.145188	0.033187	0.021079555344	0.001101376969	-0.00158617	0.00130752	1.7096085504e-06	2.5159352689e-06	-0.000129659	-8.737880000000002e-05	1.6811456281000004e-08	7.635054689440003e-09	-0.000460114	0.0003371339999999	1.1365933395593257e-07	2.1170489299600006e-07
763.3432016860774	-1.6754100892968609	582692.8435603514	2.806998967317716	809.5287739884182	-3.0699444219488896	9.424558753855102	655336.8359151914	712.472329194176	-0.9284531545678192	507616.8198673744	0.8620252602269347	707.3843795094585	565.6637216017411	0.864145	16.272083	0.147225626	0.0665916	-0.0650533209	-0.1040124886	0.0133008838	0.0227805423	-0.0059064627	0.0711805739	-0.0798336087	-0.1493124773	-0.0363043938	0.1030147197	-0.0105584131	-0.0099094005	-0.0538295479	0.0823330852	-0.130787759	-0.1463387769	0.0605260968	0.0156356581	0.0129536839	0.0645880454	-0.0903894977	-0.1031982296	0.1146744143	-0.0145328644	-0.0367079409	-0.1076428008	-0.0526906538	0.1003653337	0.0081026836	0.1514674207	-0.0434617958	-0.0207778111	-0.1543879957	0.0973111552	0.020566824	-0.0222223372	0.0733802778	-0.0257104667	0.0518366106	-0.0461959117	-0.0290018752	0.0591674639	0.0416371176	0.0724304462	-0.0251219498	-0.0367032946	0.0423821908	-0.0193737287	0.1045708036	-0.0389881246	0.0447951406	-0.0360807496	-0.013044752	0.0041948015	-0.1033224232	0.0836922266	0.0912392066	0.0574958378	0.0165321582	0.0302420588	0.1235113656	0.1145376117	-0.060604402	-0.0131480592	-0.0351596994	-0.0450642665	-0.0059518824	0.1103500134	0.1257014353	0.0415375696	-0.1216656996	0.0196661419	0.0659036824	-0.0769014967	-0.0412476124	0.0248635552	-0.10927476	0.0221750056	0.0789119777	-0.0219004056	0.0532087715	-0.0970669198	-0.0798132949	-0.044369709	-0.0493828771	0.1172873038	-0.0710201404	0.0566529578	0.069999979	0.031950976	0.1005766684	0.0101294483	-0.0213764571	-0.0397277526	-0.0093972511	0.0900351942	-0.055112462	-0.0576809914	0.0141573507	0.0318129445	-0.0986702401	0.1190404351	0.1468777336	-0.0514369944	-0.1025572538	-0.068875122	-0.1051405055	0.0349077939	-0.0818783555	0.0879983243	-0.0572688878	-0.1344260719	-0.0381831832	0.1133324686	0.1092392569	0.1025263906	-0.0340669	0.0280791	0.00078843585681	0.0011605536756099	0.000470461	0.043148661	2.21333552521e-07	0.0018618069460929	0.162995	0.0178069999999999	0.026567370025	0.0003170892489999	-0.00193137	-0.0003451999999999	1.1916303999999997e-07	3.7301900769e-06	-0.000506307	-0.000376648	2.56346778249e-07	1.41863715904e-07	-1.81447e-05	0.0004419693	1.9533686214249e-07	3.2923013808999996e-10
763.5984247711837	0.2552230851063086	583082.554313033	0.065138823171182	806.9346357223216	-2.594138266096593	6.729553343626637	651143.5063283158	712.4418235791345	-0.0305056150415339	507573.3519847626	0.0009305925490622	707.2529322828454	562.4323287436633	1.015021	19.113102	0.147901244	0.0794823999999999	-0.0636735666	0.0510442563	0.1072197083	-0.0266736073	-0.0690312261	0.1133424416	0.0810708027	-0.0651154065	-0.082870217	0.0496952331	-0.1307830483	-0.090522003	-0.0175070186	0.0348928723	0.0993505208	-0.024852271	0.0987845531	0.1275724006	0.0700103777	0.0316293558	-0.1239580255	0.0974178774	0.0526098814	-0.0981215023	-0.0745893552	-0.0439250802	-0.0127556353	0.0300659846	0.0294731132	-0.027232883	-0.0194207639	0.0465866183	0.1042369333	-0.0781769914	0.1258841137	-0.0614024315	0.1493840071	-0.0899089871	-0.0097484697	-0.0968696731	-0.1134171394	0.040705106	-0.0050624509	-0.0087880611	0.0278144375	0.1224801111	0.1232227143	-0.0552440648	-0.0552115703	0.0350312418	0.036984222	-0.1064673087	-0.1207547004	-0.0627938257	-0.147275445	-0.0544902023	-0.0520618169	0.0082203642	-0.0033607807	0.0391892761	0.0462979551	0.0054151581	-0.0789298617	0.046287005	0.0840572204	-0.0953120286	0.0107643873	0.0274502104	-0.0573183477	0.1663201401	-0.0897312097	-0.0242271715	-0.0143770648	-0.0281435893	-0.0393207256	0.0572441788	0.0100301801	-0.1264876713	-0.0781097821	0.0939410808	-0.0672649543	0.1298629749	-0.0678671329	-0.1079329598	-0.1658120057	0.0302716997	0.0888041868	-0.0294032232	-0.0129907189	-0.0996116594	-0.0375455334	-0.01752961	0.0693839373	0.007086871	0.0146749579	0.0600815366	0.0727338067	-0.0392549374	-0.0605685925	0.0478848049	0.0453376936	0.1332426737	-0.1085396109	0.0338672564	-0.02066586	0.0189209438	-0.1895290976	0.004530764	0.0199376743	0.0391519261	-0.0461616165	-0.1257737205	0.029464785	0.1129422506	0.1076997553	0.099141769	-0.0453884	-0.0113215	0.00012817636225	0.00206010685456	0.0341999	0.033729439	0.0011696331600099	0.0011376750552547	0.100739	-0.062256	0.0101483461209999	0.003875809536	-0.00192721	4.160000000000014e-06	1.730560000000012e-11	3.7141383841e-06	-4.22802e-05	0.0004640268	1.78761531204e-09	2.1532087111824e-07	-0.000361844	-0.0003436993	1.1812920882049e-07	1.30931080336e-07
765.1564920586231	1.558067287439485	585464.4573394578	2.427573672189035	804.2066251667299	-2.728010555591709	7.442041591419784	646748.2959620612	712.9394934563999	0.4976698772653662	508282.721329868	0.2476753067373247	707.1858873777021	551.6025450392823	1.072266	20.191038	0.08590765	0.0539593	-0.0377088724	0.1200959416	-0.0633829605	0.0317335256	-0.0583791809	0.1133172097	0.0131040545	0.1913461683	-0.0784826161	-0.0377905495	-0.0815345345	-0.1158368724	0.0877172659	-0.0933028405	0.0346305878	0.0642518417	0.0985444809	-0.1534423218	0.0151110777	0.0439671204	-0.0625957227	0.1185316374	-0.1325418283	-0.0251515098	0.1353595064	-0.0325731136	-0.1655564277	-0.0458329871	-0.1076468336	0.0098631385	0.1317906741	-0.0268795977	-0.0121288869	0.0016692535	-0.0555574204	-0.0073164561	-0.0648891994	0.019483254	0.1483989071	0.0934110648	0.0673991497	0.1040783188	0.0522384715	0.031795143	-0.0081393582	-0.0399656238	-0.1191627753	0.0281864904	0.0152677969	0.0304321437	0.0490387252	0.0906788433	-0.0839405516	-0.1679933751	0.0236176271	-0.015510684	0.1115894691	-0.1172335012	-0.0955782358	-0.0991590051	-0.1756972358	-0.0449106537	0.0041766301	0.0207210047	-0.0314879169	0.0460808519	0.0900612878	0.0131581477	-0.2037948712	-0.0016442002	0.0434039893	0.0118826365	-0.1614195317	0.026402796	-0.0326566181	-0.0624133335	-0.0355213504	0.0375303693	0.1085693723	-0.1013980597	-0.0133711375	-0.0851321284	0.109759967	-0.0094136925	0.0839416653	0.1186334719	-0.1527391545	-0.0545156168	-0.0236044742	-0.0881269199	0.040739746	-0.1090296293	-0.097634969	0.0530014265	0.0214741367	0.0258577841	-0.0188277432	0.1312171279	-0.0760700807	0.1011977058	0.0593078331	0.0227107702	-0.0713072951	-0.0594550252	0.1065878304	0.1045162275	0.0901919891	-0.1502047036	0.1244874613	-0.0616465314	0.0250834368	-0.0471115633	-0.0496566892	0.1125037874	0.1059762505	0.0953761056	-0.0524194	-0.0070309999999999	4.9434960999999936e-05	0.0027477934963599	0.02461	-0.0095898999999999	0.0006056521	9.196618200999996e-05	0.0499275	-0.0508114999999999	0.00249275525625	0.0025818085322499	-0.00202484	-9.763000000000004e-05	9.531616900000006e-09	4.0999770256e-06	-4.22802e-05	0.0	1.78761531204e-09	0.0	-0.000633719	-0.000271875	7.391601562500003e-08	4.01599770961e-07
