global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	cosine00	cosine01	cosine02	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10
699.631691904394	n/a	489484.5043170048	n/a	679.098481221343	n/a	461174.7471971348	n/a	688.0587961916996	n/a	473424.90701677074	n/a	675.4461733534137	490.1729420179643	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.00143464	n/a	n/a	2.0581919296000003e-06	-0.011703	n/a	0.000136960209	n/a	-0.0485558	n/a	n/a	0.00235766571364	-3.84806e-05	n/a	1.4807565763599996e-09	n/a	-0.00041388	n/a	1.712966544e-07	n/a	0.000289157	n/a	8.3611770649e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
699.3374248865565	-0.2942670178374555	489072.83384696	0.0865930777869494	669.84661847456	-9.25186274678299	448694.4922818028	85.59696428531089	686.0775453940652	-1.9812507976344025	470702.39829394553	3.925354723126955	672.2195313947068	486.7910112655228	1.264925	38.105839	0.4384936849999999	0.238001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0407103	0.03927566	0.0015425774684355	0.00165732852609	0.0241018	0.0358048	0.00058089676324	0.00128198370304	-0.222675	-0.1741192	0.03031749580864	0.049584155625	0.00226147	0.0022999505999999	5.114246560899999e-06	5.289772762440358e-06	-0.00168348	-0.0012696	2.8341049104e-06	1.61188416e-06	7.28271e-05	-0.0002163299	5.303786494410001e-09	4.679862563401e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
698.2734045762891	-1.0640203102674377	487585.7475385619	1.1321392206616143	670.7458850075101	0.8992665329500369	449900.042254508	0.8086802972839798	687.1892883670037	1.111742972938487	472229.1180463489	1.2359724378781047	672.7861993793508	474.3218703787242	1.711384	51.555397	0.218138155	0.11279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0337421	-0.0744524	0.00554315986576	0.0011385293124099	0.0213015	-0.0028002999999999	0.00045375390225	7.841680089999992e-06	-0.264564	-0.041889	0.001754688321	0.069994110096	0.00334017	0.0010787	1.11567356289e-05	1.1635936900000004e-06	-0.00109337	0.00059011	1.1954579569e-06	3.482298121e-07	-0.000238292	-0.0003111191	5.6783077264e-08	9.679509438481003e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
703.9921673367085	5.718762760419395	495604.97167143616	32.70424750995966	680.1770769255183	9.431191918008269	462640.8559749425	88.94738099430445	686.7776192838357	-0.4116690831679079	471663.4983491732	0.1694714340363059	673.1740708941874	491.7324852146861	1.645394	49.567463	0.43173525	0.252752	-0.0838251675	-0.0114059828	0.1255487279	-0.0891926979	0.0238415786	0.0396972407	-0.1354186506	0.0852384307	-0.0754930391	0.0296357758	-0.0666888965	0.0605725305	0.0339263772	-0.0677921868	0.2054696294	-0.1096216359	-0.092163351	0.022034386	-0.0307552919	0.0575555158	-0.0362762881	0.0112292392	-0.0973115746	0.0762350914	-0.1368259472	-0.0948116859	0.0627131449	-0.0410731854	0.1123667482	-0.0505096426	0.0444094212	-0.0819596655	0.0468824164	-0.04894092	0.1023201333	-0.086265836	0.0843407394	-0.0878656796	0.0352158813	-0.055414421	0.0554633414	-0.0223922513	0.0229460886	0.0221728975	-0.0600264426	0.0026701677	0.0694846953	-0.0551658788	-0.0287675788	0.1820508877	-0.1419520369	-0.1426640245	0.2079934695	-0.0585528763	-0.0655490948	-0.0454446979	0.0634329357	0.0107676082	0.0293098863	-0.0450364773	0.1018113451	-0.1162768871	-0.0545397387	0.0215581355	-0.1656361161	0.0381251654	-0.0574412622	0.0180203995	-0.0603776783	0.1418704075	-0.0895180831	-0.0894370078	0.0365167041	-0.0270140432	0.030988161	-0.0773870398	0.0345556245	-0.0504745695	0.0624079239	-0.0044303697	0.1203364428	-0.020840106	0.0025063526	-0.0446276778	0.008975882	-0.0540804857	-0.1097438301	0.0719985107	-0.0744251986	0.0686616866	0.0007442148	0.0511202262	-0.0404587757	0.0878325912	-0.0283423667	-0.0064799647	-0.0994852556	0.0495864747	0.1158504512	0.1158311377	0.115798951	0.0	0.0	0.0	-0.0505465	-0.0168044	0.00028238785936	0.00255494866225	0.0300858	0.0087842999999999	0.00090515536164	7.716392648999997e-05	-0.148535	0.116029	0.013462728841	0.022062646225	-0.000266481	-0.0036066509999999	7.1012123361e-08	1.3007931435801e-05	-0.000693098	0.000400272	4.80384837604e-07	1.6021767398400004e-07	-0.00203372	-0.001795428	4.1360170384e-06	3.223561703184001e-06	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
703.368808913345	-0.6233584233634701	494727.6813521776	0.3885757239781913	679.047939596885	-1.1291373286333055	461106.1042707748	1.2749511069131574	687.9880483459375	1.2104290621017526	473327.55466685205	1.4651385143805284	674.0180376916915	500.4716619023423	0.984582	29.660519	0.1460895	0.0776284	-0.0284234808	-0.0426451734	0.0898681312	-0.0369273215	-0.0305223611	-0.0135673283	-0.0636717286	0.0084822292	0.0218645549	-0.0623539432	0.0029733295	0.1020694557	0.0995298871	0.215768261	0.0697398706	-0.0838192498	-0.0624328876	0.0188576544	0.0325977181	0.065780908	0.1280325418	-0.0134967612	0.0936385988	-0.0255319365	-0.0136825344	0.0711863158	-0.1122215181	-0.0608946207	0.0605611099	-0.0458622656	-0.0579053696	0.1160664785	0.1736045123	0.0837337859	-0.0403344778	0.007743268	0.0349959906	0.007052279	0.0426699331	0.15570141	-0.0432147999	-0.0692582676	0.0985129089	0.077635467	-0.1108819799	0.0143598337	0.0698545583	-0.0860972481	-0.129034136	0.0103106781	-0.0370106911	0.0321021857	0.0952302393	-0.1666157741	-0.0658448114	-0.0056251814	0.0276758268	-0.0679804919	0.0395563536	0.0010330024	0.0830369307	-0.020341012	0.0196050846	-0.1358052809	0.0299463266	-0.0999288049	0.0149636188	-0.0234347043	0.0863723616	-0.0068729121	0.079340028	-0.0389730982	0.0956017859	-0.0633862871	0.004429025	-0.1119806431	0.0985186671	0.1238343178	-0.0802298543	-0.0178174889	-0.086805561	0.0153696423	-0.1193109214	0.0182771932	-0.1365931379	0.0153821111	-0.1342830037	-0.042417676	0.0829253216	-0.0102222004	-0.0290985591	-0.081219994	-0.1705893496	-0.019187907	0.105482232	0.0958052164	0.0279761388	0.0986545027	0.115798951	0.1156251942	0.1153357926	0.0	0.0	0.0	-0.0683415	-0.017795	0.0003166620249999	0.00467056062225	0.0947857	0.0646999	0.00898432892449	0.00418607706001	-0.143	0.005535	3.0636225000000134e-05	0.0204489999999999	-0.000825141	-0.00055866	6.808576698810001e-07	3.1210099560000013e-07	-0.00115571	-0.0004626119999999	1.3356656040999998e-06	2.1400986254399997e-07	-0.0018938	0.00013992	3.58647844e-06	1.957760640000005e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
701.9754747724143	-1.3933341409307332	492769.5671819564	1.941380028283184	678.4390690148334	-0.6088705820516225	460279.5703657139	0.3707233856878815	687.8107742803472	-0.177274065590268	473083.6612161308	0.0314260943309026	674.743217554303	503.8600008437015	1.053475	31.735897	0.3179457999999999	0.19162	0.0066021166	-0.0575579099	-0.0484764543	0.0168032963	0.0299489506	-0.0467486945	-0.1098387246	0.0815218846	-0.0729130797	-0.0524705615	0.0345677525	-0.0009858691	0.0326966812	0.0516804584	0.1023704191	-0.0112030149	-0.0510538002	-0.0094704335	0.0006242979	0.0647093205	-0.1235100272	-0.0807463592	-0.0232007075	0.0273021272	-0.0724681562	0.0640962309	0.0869565154	-0.0439652012	-0.1161979881	0.024669607	0.0319294325	-0.0815539553	0.0649671433	-0.0176065616	0.0630597223	-0.0514201843	0.0773380734	0.0599003425	0.0418226097	0.0086361941	-0.1445238468	0.0133837929	-0.0099502608	-0.1486957467	0.0526016096	0.1173385596	0.1297188796	-0.0038209441	-0.0236406612	-0.1616442342	-0.1595916788	-0.0077272707	-0.1566936375	0.0860401946	0.12943092	0.0293889823	0.0790650282	-0.0577858719	-0.0644170994	-0.0572127989	0.0222056921	-0.0460430352	-0.0213985215	0.1403641467	0.0101724335	-0.0827851358	-0.0318376967	0.0671307	-0.1445861286	0.041970693	0.0037151669	-0.0777820488	-0.0767092682	0.0462850074	-0.0234619191	-0.070726578	-0.0103881122	-0.1037575655	-0.0423396316	-0.0307508653	0.035132565	-0.0099806522	0.0358619356	0.0005455467	-0.0308095577	0.1523941131	0.1112765323	-0.1314820791	-0.017369353	0.0901932299	-0.0592360091	0.0218264714	0.1656051461	0.0341465662	0.1340927914	-0.0281121532	-0.0540127853	-0.0098599143	0.1156959735	0.1152136733	0.1144113283	0.0	0.0	0.0	-0.0222921	0.0460494	0.00212054724036	0.0004969377224099	-0.0827762999999999	-0.1775619999999999	0.0068519158416899	0.0315282638439999	-0.185581	-0.042581	0.001813141561	0.034440307561	-0.0008764689999999	-5.1327999999899935e-05	7.681979079608247e-07	2.6345635839897277e-09	-0.00179477	-0.00063906	3.2211993529e-06	4.083976836000001e-07	-0.00154912	0.00034468	2.3997727744e-06	1.1880430240000001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
701.646705050162	-0.3287697222522183	492308.0987077491	0.1080895302698008	682.7090251196654	4.2699561048319765	466091.6129798439	18.232525137191864	686.0833632688045	-1.7274110115426993	470710.3813542344	2.983948802798972	673.6209023475107	489.7403711637896	0.964415	29.052975	0.30711945	0.180197	-0.093016853	-0.0546363169	0.0925048018	-0.0078800493	0.0180593733	0.0817729234	-0.0884458283	0.063243982	0.0135321574	0.020209272	-0.0015778203	0.0193227363	0.004484151	0.1189213031	0.0049767311	-0.0304066584	-0.1102603118	0.0618561562	0.0323783531	0.1156357525	-0.1638952044	0.0334099834	-0.0002973602	-0.0471317756	-0.0587385232	0.148419889	0.0999319344	-0.0774480176	-0.1196521853	-0.0334355903	-0.1631476946	-0.0101534825	0.0104669855	-0.0067907007	-0.0378901587	0.0230118811	-0.0661340657	-0.0393654118	0.0588135174	-0.0124785385	-0.0135222963	-0.0254769959	-0.0022478995	0.0145960861	-0.0871655729	-0.0514393024	-0.058827658	0.1494271579	-0.1407610419	0.0525064615	0.0358653315	-0.0297800732	0.1414176424	0.0237878453	-0.1084824773	0.1555325447	-0.1369438539	0.0570267236	0.0540163619	-0.027223418	0.0790772263	-0.0364525864	0.1087467711	0.0968532373	0.0296334445	-0.1021467379	-0.0385329624	0.1648588738	-0.0405870298	0.0381140269	0.0020675328	-0.1000389509	0.0402535989	0.0249866331	-0.1446317849	-0.0853669681	0.0218877639	0.1170572657	0.1683828217	-0.0127630234	0.0547352826	0.0444589158	0.0374209557	-0.0075678712	-0.0384370851	-0.0137863205	-0.1455191514	-0.0069556928	0.0359669011	-0.1562706513	-0.0894628691	0.0481960379	-0.0750138248	-0.0960712724	-0.1036109245	-0.1273762286	0.0194836045	-0.1040645747	0.1155415645	0.1145973067	0.1130292557	0.0	0.0	0.0	-0.0271767	-0.0048846	2.3859317160000028e-05	0.00073857302289	0.0712216	0.1539978999999999	0.00507251630656	0.0237153532044099	-0.160015	0.025566	0.000653620356	0.025604800225	0.000178614	0.0010550829999998	3.1902960996e-08	1.1132001368887888e-06	-0.0018199	-2.5129999999999944e-05	3.31203601e-06	6.315168999999972e-10	-0.000175914	0.001373206	3.0945735396e-08	1.885694718436e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
702.1311557101552	0.4844506599931719	492988.1598188782	0.2346924419678198	676.8112543248806	-5.897770794784833	458073.4739808182	34.78370034781692	688.1190905299085	2.0357272611039434	473507.8827517084	4.144185481601763	673.596738812349	485.8836189556649	1.006214	30.312185	0.2501551	0.121758	-0.0836379875	-0.1030799307	0.0079973201	-0.0094599289	0.0735729093	-0.0110502649	-0.080605691	0.1986081931	-0.0540904844	0.0535679537	-0.0697344707	-0.0922681513	-0.005179356	0.0497185912	0.0041641982	-0.0402772358	-0.0488829528	0.0669089518	-0.0185608562	-0.0158322373	0.0177148955	-0.0390392448	-0.0817004315	-0.1059245789	0.1304403599	0.0648136439	0.0153109957	0.1273357144	-0.0801985796	-0.1530579563	-0.0127321532	0.0096196799	0.0358946982	0.0168538582	-0.2622041296	-0.0919600662	0.0138738038	-0.0115543316	-0.0128731139	-0.0060938113	0.0660421875	-0.1244797178	-0.1937837681	-0.0443360255	-0.0416372355	0.1082520693	-0.0692869494	-0.0714020357	0.0045458047	0.0315158473	0.0860744583	0.0008244744	0.0149899495	0.0306444965	-0.0424999884	-0.1142199239	-0.0161306414	0.0772300216	0.0127240331	-0.0565207664	0.0652061729	-0.0330651676	-0.0680194034	0.0558129824	0.0161906952	-0.0293379019	0.089720474	-0.0829491453	-0.1220189139	-0.0781697601	0.108440366	-0.022287202	0.0495605978	-0.1142820375	-0.0701668457	-0.0043173117	0.0701948478	0.1508971017	-0.050155833	0.224385129	0.0363138494	-0.0082776907	-0.028344114	0.0137148278	0.16425907	0.1141976652	-0.0705628073	0.0891299291	-0.1772609613	-0.0582587759	-0.1058206647	-0.0492194395	-0.0138255124	-0.0697568661	0.0153739843	0.0425993049	0.1275269133	-0.009891519	0.1153357926	0.1137771902	0.1111951025	0.0	0.0	0.0	0.00886547	0.03604217	0.0012990380183089	7.85965583209e-05	0.00551397	-0.0657076299999999	3.04038651609e-05	0.0043174926402168	-0.222027	-0.062012	0.003845488144	0.049295988729	0.00124229	0.001063676	1.5432844441e-06	1.131406632976e-06	-0.00115571	0.00066419	1.3356656040999998e-06	4.4114835610000004e-07	-0.000175914	0.0	3.0945735396e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
706.0786217002333	3.947465990078058	498547.0200221011	15.582487742822943	690.7354094660086	13.92415514112804	477115.40589017456	193.8820963942024	687.9574656140184	-0.1616249158901155	473285.4744940632	0.0261226134364869	675.5479157550053	499.16167602884	1.103814	33.252365	0.3117603	0.159619	-0.0377861832	-0.0093663743	0.1174080102	-0.0312222499	0.0542060899	0.0557519844	0.0414122928	0.06403653	0.0630165661	0.1140972454	-0.0853875726	-0.0649249917	0.0618076094	-0.1372495511	-0.0203446037	-0.058156916	-0.0646556613	0.0320295064	-0.1011725918	-0.1390662901	0.0020966839	-0.0332283163	-0.026274915	0.0543964883	0.0284976115	0.1340124021	-0.1140985243	0.1611227909	-0.1104034254	-0.0963183274	0.0740530456	-0.0524932673	0.0066942188	0.0323189624	0.1943544554	-0.1802212838	0.150806714	-0.0449880042	0.0811190013	0.0310118771	0.0767062971	-0.0459109199	-0.2364525724	-0.0660266629	-0.0614057921	0.0374500286	-0.0347150072	-0.096833482	0.0784961467	-0.0965457221	0.1586314503	0.1630184336	-0.0482264475	-0.0301894086	0.051283965	0.0797311009	-0.0933329322	0.1129946138	0.0567431909	-0.0785085303	0.0205574893	0.1147633007	-0.0938500963	0.006699802	-0.1002767917	0.0330453446	-0.0578367204	0.0223265687	-0.0424137914	-0.0331503691	0.1484766511	-0.232491467	-0.0017772008	-0.0309475075	-0.0713828597	0.057576671	0.0255109476	-0.0794002444	-0.072122573	0.0639364677	0.0073352221	-0.1546371272	-0.0270570524	-0.1048460572	-0.0528460171	0.1228195132	-0.074529734	0.264950173	-0.0171859006	0.05001885	0.0278367668	0.085562189	0.1649943247	-0.077179817	0.0943414989	0.1185573901	0.0533651139	0.0888035976	0.1150787493	0.1127547821	0.1089162049	0.0	0.0	0.0	-0.018926	-0.02779147	0.0007723658047609	0.0003581934759999	0.110732	0.1052180299999999	0.0122615758239999	0.0110708338370808	-0.17745	0.044577	0.001987108929	0.0314885025	-0.000639487	-0.001881777	4.08943623169e-07	3.541084677729e-06	-0.0015286	-0.00037289	2.33661796e-06	1.3904695210000005e-07	-0.000604723	-0.000428809	3.6568990672900004e-07	1.8387715848100006e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
708.4378402937056	2.359218593472292	501884.17356000986	5.56591237178538	694.135800041893	3.400390575884444	481824.5088997989	11.56265606856374	689.977294832385	2.019829218366681	476068.667384216	4.0797100713677565	676.4723592177737	500.89199564999615	1.423521	42.883522	0.1910637	0.105856	0.091096963	-0.1156408979	-0.1223068711	0.0713933551	0.0367318735	-0.1625506585	0.1054292228	-0.0734237199	0.0791656844	0.1970052487	0.0238475082	-0.020724027	-0.0974293638	-0.0230837792	0.0732369116	-0.0480993138	0.0666555889	-0.1934449553	0.0729015922	0.1136896038	0.1094117136	-0.0043548353	-0.0913313013	-0.0308065204	0.0223337459	0.0690081339	0.0374583668	-0.1315499182	0.0460207847	-0.1075392488	0.0735708746	0.041399061	0.1146995503	0.0215395486	-0.0324910414	0.067197495	-0.0937221217	0.0723363328	-0.0110210129	0.0482560029	0.0990670412	-0.0342433252	0.0441947335	-0.1097183929	-0.1147049243	-0.0301691375	-0.1358019284	0.0271948216	0.0424563412	0.0983406412	-0.0970466649	-0.0230366731	-0.0075796553	-0.0498508863	0.052027739	0.0104726715	0.0136410278	0.0698814062	-0.1800589586	0.0583215487	-0.0243077054	-0.031543605	0.1364626669	-0.1997642423	0.0096898375	-0.0460865232	0.0359467156	0.0274609431	-0.0671211761	-0.0193055476	-0.0759854501	-0.0268950102	-0.0663629617	0.0233925115	0.0394858209	0.0437389574	-0.0513809239	0.1469481279	-0.080098734	0.1491745402	0.0681582228	0.1392439864	-0.0323969459	-0.0075104476	0.1201290256	-0.0025044744	-0.094128298	-0.0757603493	0.0764160495	-0.0510673679	0.0189107108	-0.1258663681	-0.0251039857	0.0842125743	-0.0517585742	0.1519872697	0.0112693166	0.0212728951	0.1147705489	0.1115319001	0.1062016776	0.0	0.0	0.0	-0.0143211	0.0046048999999999	2.120510400999999e-05	0.00020509390521	0.0341134	-0.0766186	0.00116372405956	0.0058704098659599	-0.183715	-0.0062649999999999	3.925022499999991e-05	0.033751201225	-0.00191818	-0.001278693	3.6794145124e-06	1.635055788249e-06	-0.000887229	0.000641371	7.87175298441e-07	4.11356759641e-07	-0.000756163	-0.0001514399999999	5.71782482569e-07	2.2934073599999992e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
