global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20
752.8260489649454	n/a	566747.0600001703	n/a	777.3173235188162	n/a	n/a	604222.221442456	734.9285962614424	n/a	540120.0416028142	n/a	724.0686619631786	617.3588679522592	n/a	n/a	n/a	n/a	-0.0169727449	0.2406486149	0.0511831135	-0.1775915856	-0.0760140613	0.1507657526	-0.0584581807	0.0879200751	-0.0972559583	-0.0447779173	0.1500082919	-0.046008879	0.0568191142	-0.0295277671	0.0791620804	-0.1524892479	-0.0749467975	0.0489521484	-0.022711756	0.0774427768	-0.0354664438	0.0504301578	-0.0467503228	-0.0624120064	0.0830702398	-0.0417232868	0.0552227728	-0.0310006387	0.0502366298	-0.0327734554	0.0147416955	-0.0478207283	0.0604034729	-0.1409860731	0.0420693205	-0.0118149397	-0.1092939149	0.0979338617	-0.0952247545	0.0905648724	0.0185647121	-0.1097601778	-0.0550031378	0.0743368705	0.0120468865	0.0361534226	-0.0939274914	-0.052682911	-0.1582419997	0.0708819894	-0.007925125	0.0109563484	-0.1360465684	0.1565985669	-0.0317010102	0.0016913802	-0.0754766409	0.1145514378	-0.0085867912	0.0680113291	-0.0475404513	0.1669779367	-0.0071352867	-0.0186851414	0.073503133	-0.0110780235	0.0769750312	-0.0864025821	0.1046951715	-0.0010511056	0.0508663412	-0.06320943	0.0330053087	-0.0875593212	0.1790901499	-0.0666185702	0.0989402366	-0.1241660492	0.1127630928	0.0221578469	0.0004198444	-0.0990021203	0.1147017419	0.1146833673	0.1146527451	0.150703	n/a	n/a	0.022711394209	0.367241	n/a	n/a	0.134865952081	0.271433	n/a	n/a	0.0736758734889999	0.00756562	n/a	n/a	5.7238605984400005e-05	-0.00340741	n/a	n/a	1.16104429081e-05	-0.000734216	n/a	5.39073134656e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
745.2972898417777	-7.528759123167674	555468.0502454988	56.68221393468049	770.0834316638222	-7.233891854993999	52.32919136974852	593028.4917231288	734.4616371131663	-0.4669591482761461	539433.8963909523	0.2180508461587838	723.4129755029498	555.1391115770843	1.551615	42.581726	0.3692212000000001	0.262131	0.0612831003	0.1944168078	-0.036739985	-0.1926092922	-0.057795397	0.0440552272	-0.1549619219	0.042541467	-0.1729520959	-0.058370582	0.1738568503	-0.092112932	0.0890154733	0.0186142925	0.1187159261	-0.0827761565	-0.0138188795	0.071069195	0.1422165729	0.0056638518	0.1476940274	0.1874965794	-0.0638902619	-0.1195660557	-0.0321498168	-0.0303714336	-0.1049394878	-0.049771687	0.0912119468	-0.0537262227	0.0254293707	-0.0323483729	0.0293746091	-0.0506739836	-0.003584175	-0.0999031455	-0.0576415701	0.0093783815	-0.0496886628	0.1219914683	-0.0033187268	-0.022676402	-0.1049694798	0.0392632739	-0.1115767106	0.0320389674	0.0389003586	-0.0679023353	-0.1619907575	0.1079148953	-0.0441433227	0.0726767673	-0.0320349084	0.1496683416	-0.0203205543	-0.0112677625	-0.0362296818	0.0792164384	-0.1884578625	0.1945212309	0.0653719016	0.0988727404	0.0571131648	-0.0138698771	0.040047361	0.0762906287	0.1537060073	-0.1000721066	-0.1058932124	0.0552841122	-0.0262574529	-0.0634495994	-0.1369363835	0.0489286757	-0.0040069005	0.0145942206	-0.0985509971	0.0112658726	0.0963717086	0.0749462125	0.0866662462	0.0284250467	0.1146527451	0.1144874327	0.1142120884	0.161367	0.010664	0.000113720896	0.026039308689	0.406444	0.039203	0.001536875209	0.165196725136	0.302274	0.030841	0.000951167281	0.091369571076	0.0125888	0.00502318	2.5232337312400005e-05	0.00015847788544	-0.00372623	-0.00031882	1.0164619240000002e-07	1.38847900129e-05	-0.00116248	-0.000428264	1.3513597504e-06	1.8341005369600002e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
745.7131869002325	0.4158970584547887	556088.157116901	0.1729703632313459	767.8817718424457	-2.201659821376552	4.847305969063831	589642.4155278938	733.2791237148998	-1.182513398266451	537698.2732760913	1.3983379370796702	722.1750299304427	534.8902495807921	1.142212	31.346272	0.168256	0.0753695999999999	0.0811712314	0.1312866486	-0.0507242015	-0.0986359071	-0.1393577311	0.0044048269	-0.1055292122	-0.0511080387	0.0619350578	-0.0809365598	0.1279387255	-0.060558386	0.0927158032	-0.0699512492	0.1163978223	-0.0549645609	0.1121935945	0.1572985114	0.0096348226	0.0773039025	0.1205737628	0.1635541348	0.0110707458	-0.049237816	0.0584145305	0.0749184797	-0.0096124977	-0.1286378517	0.0129603257	-0.0109865195	0.0246813749	-0.0481324477	-0.0091268278	-0.0135974738	0.0150336446	-0.0300276083	-0.0092861097	-0.0658277486	0.1225543444	-0.0853168587	0.0193919027	0.1271400913	-0.0290608129	-0.0562140018	0.0303012575	0.0147266775	0.0340001724	-0.0907386756	-0.1265472004	0.0918216079	-0.0561948536	-0.0558481783	-0.010358698	0.1144826832	-0.1138852705	-0.0558648003	-0.0890829357	0.0372245237	-0.123066375	0.0951108905	0.1330711567	-0.0503736045	-0.1209840619	-0.0872916593	0.0851061811	0.0478777201	0.0213424475	-0.0582329961	-0.0470844641	-0.0047066663	-0.0346407182	-0.0287228957	-0.0266958892	-0.0220267486	0.0339044107	0.0265328545	-0.0585909294	0.0382364339	-0.0328811584	-0.1233049246	-0.0369520575	-0.023666373	0.1145547726	0.1140958982	0.1133324686	0.167536	0.0061689999999999	3.8056560999999753e-05	0.0280683112959999	0.449401	0.0429569999999999	0.0018453038489999	0.201961258801	0.326801	0.024527	0.000601573729	0.106798893601	0.0115946	-0.0009942	9.884336400000013e-07	0.00013443474916	-0.00328818	0.00043805	1.9188780250000013e-07	1.08121277124e-05	-0.00162229	-0.0004598099999999	2.6318248441e-06	2.1142523609999998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
745.4473800905984	-0.2658068096341139	555691.7964839371	0.0706532600478661	766.3011613411426	-1.5806105013031129	2.498329556829678	587217.4698727839	734.0818903691994	0.802766654299603	538876.2217680173	0.6444343012553784	722.8662952635166	556.516300950044	1.304402	35.797325	0.7141446500000002	0.356927	0.0541115631	0.0738701544	-0.0139981213	-0.0744974643	-0.0459254619	0.0527346914	0.0440882152	0.0881129602	-0.0914415939	-0.0147111003	0.0829687272	-0.0850680836	0.1553214058	0.0530383416	0.0113005119	-0.0092469275	-0.0405015553	0.051163804	0.0714241215	-0.0178511382	0.0448567467	-0.0297511899	0.0589691668	-0.1432304443	-0.0303057275	-0.2044555406	0.0079161535	0.0588439818	-0.0542706363	-0.0595219987	-0.0353686497	-0.0280690316	0.1209242415	0.1157389977	0.0770409193	0.0339624831	0.0164103986	-0.116853571	-0.1187552633	0.2215305285	-0.0652635643	0.1181870604	-0.0669386928	0.0404186279	-0.1084312624	-0.0496687018	0.0443978759	-0.0226531124	-0.0998935063	0.1018438361	-0.1149851755	0.0519931165	-0.0619109022	0.001203829	-0.0132620472	0.074670908	0.0080012199	0.1027670495	-0.0053022242	-0.000601997	-0.0140212614	0.0775293312	0.0944440169	-0.0574672881	0.0619462211	-0.0564878092	0.0479205665	0.0263242346	-0.0781511615	0.1152368006	-0.0551422352	-0.056880989	-0.1245599346	0.0732221084	-0.017683001	-0.009715002	0.2092809808	0.1141737151	0.0081791191	0.0573886987	0.0867016795	0.109667757	0.1144078661	0.1135094328	0.1120172664	0.125214	-0.042322	0.0017911516839999	0.0156785457959999	0.205	-0.244401	0.059731848801	0.0420249999999999	0.163222	-0.163579	0.026758089241	0.026641421284	0.0078858899999999	-0.00370871	1.3754529864100735e-05	6.218726109209843e-05	-0.00245439	0.00083379	6.952057641e-07	6.024030272099999e-06	-0.000887937	0.000734353	7.884321159689999e-07	5.39274328609e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
747.6630491646678	2.2156690740694103	559000.0350862084	4.9091894457875975	776.828347133548	10.527185792405476	110.8216407078237	603462.2809102403	735.4426960884705	1.3608057192710703	540875.9592298784	1.851792205600855	725.0084569078056	547.7205345668664	1.411898	38.747406	0.79316268	0.365452	-0.0387703383	-0.0287241436	0.0648031428	0.0449181987	-0.1063266821	0.001548752	0.0464229201	-0.0053009297	-0.035800753	0.0727048087	0.0353087597	-0.0552796946	0.1367763293	-0.0028082006	-0.1089290073	-0.0205107414	-0.0127040411	0.1063830011	0.087474566	0.0134911618	-0.0913087935	-0.1806611607	0.0658027716	0.0716342197	0.0908517762	-0.0709471246	-0.0451109103	-0.0490344333	-0.0885471566	0.141164949	-0.1485755345	0.1056014862	-0.1053505259	-0.1082149726	-0.1276969152	-0.0404109577	-0.0686796086	0.0331536056	-0.1702854033	-0.086347655	-0.0846239953	0.0481537829	-0.0227989932	-0.0616670046	-0.0017098683	-0.0516356362	0.0917795854	0.0705694611	-0.0658883044	0.0727009671	-0.1196554012	-0.0245902784	-0.0712492503	-0.1198521924	0.0073424791	0.1111800744	0.0049638809	0.0872522216	0.0227646015	-0.0415130395	-0.1894582821	-0.117466639	-0.1178613534	-0.0498194947	-0.0569999251	-0.160213968	-0.1460876953	-0.0422777015	0.0129713192	0.1315312916	-0.0666313025	0.1026457718	-0.1425434213	0.0551810747	-0.040665905	-0.0293820298	0.0392053822	-0.1206865827	0.0951813659	0.0731567509	-0.0696691841	0.055904087	0.1142120884	0.1127290384	0.1102715368	0.0235505	-0.1016634999999999	0.0103354672322499	0.0005546260502499	0.00132017	-0.2036798299999999	0.0414854731488288	1.7428488289000002e-06	0.0154223	-0.1477997	0.02184475132009	0.00023784733729	0.00315625	-0.0047296399999999	2.236949452959906e-05	9.961914062500002e-06	-0.00285518	-0.00040079	1.606326241000002e-07	8.1520528324e-06	0.000782026	0.001669963	6.11564664676e-07	2.788776421369e-06	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
747.8366749101609	0.1736257454931546	559259.6923406858	0.0301458994980537	766.5558448713273	-10.272502262220767	105.52430272733082	587607.8633063944	732.5034726196636	-2.9392234688068584	536561.3373998663	8.63903459958502	721.2730344766998	554.3165119211184	1.084572	29.764435	0.239061555	0.0939527	-0.0635687677	0.0025961405	0.0462354102	-0.0299622775	8.34399e-05	-0.0475868753	0.1006169262	0.0678530568	0.0494179426	0.0431872133	-0.0343611036	-0.0700535782	0.0692115408	0.0377393262	-0.0778643515	-0.0739358892	-0.0649671221	-0.0057920064	-0.0692841135	-0.0506162307	0.0597600715	-0.1692864449	-0.1295356136	0.1114947479	0.0792684933	0.0330409382	-0.01139616	0.024875041	0.04295874	-0.0723677363	-0.1526545454	0.005225929	0.0755000779	0.0639832435	0.0727138779	0.10178538	0.0309384618	0.0493667755	0.0830331711	0.0055503598	-0.0810128417	0.0322608233	-0.0008851254	0.1508272115	-0.0359850357	0.0743593133	-0.0861095071	0.0473563137	0.0181765239	0.0794832311	-0.0492845951	0.035377586	-0.0413849388	-0.006938482	0.1208128296	-0.0586530236	-0.0786847595	-0.0391694289	-0.0261627731	-0.1257207082	-0.0749010646	-0.0852721989	0.0627182682	0.0036408477	-0.012890308	-0.0610921991	0.0075447594	0.0340420252	0.0329863376	0.0515973534	0.0459991349	-0.0718832876	0.0329236991	0.0730666868	0.0999106267	0.1369723468	-0.0484784702	-0.0144076142	-0.1107324926	-0.0804114254	0.1148879254	0.1613260495	0.1139675232	0.1117560484	0.1081019891	0.0652353	0.0416847999999999	0.0017376225510399	0.00425564436609	0.0519526	0.05063243	0.0025636429677049	0.00269907264676	-0.005132	-0.0205543	0.00042247924849	2.6337424e-05	0.00215969	-0.00099656	9.931318336e-07	4.664260896100001e-06	-0.00212961	0.00072557	5.264518249e-07	4.5352387521e-06	-1.96445e-05	-0.0008016705	3.8590638025000006e-10	6.426755905702501e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
746.6144425290481	-1.2222323811128035	557433.1257929613	1.493851993440673	771.7528015743891	5.196956703061801	27.008358973498986	595602.3867379184	732.5480564430047	0.0445838233410995	536626.6549984236	0.0019877173037103	721.3890454411624	555.6277488895192	1.027334	28.193624	0.212325915	0.11955	-0.0446331536	0.0206700602	0.0386838185	0.0281502403	-0.0809785165	-0.098219554	0.0089393431	0.0434844899	-0.0412990392	0.0205752046	-0.0181992555	-0.0549627538	0.0556844755	0.0229460776	-0.0520250447	0.0786876512	0.0057136753	-0.0019024391	0.010072873	-0.0041807479	-0.0263686166	-0.1312257837	-0.0190611864	0.0801486074	0.1112308091	-0.0974495644	-0.0913697458	0.0938810458	0.126810856	0.0591615797	-0.1642805676	0.1895423201	-0.0441135293	0.1216405474	0.0337290726	0.0679013526	-0.0145900715	-0.0786744429	0.002185335	-0.0824428707	-0.05802099	-0.002668505	0.1297403427	-0.0903884568	0.0661597005	-0.0168591181	0.1760840339	0.0278675744	0.0072088566	0.0638999414	-0.0520324556	0.0036408973	0.0487562926	-0.1058364221	-0.0278910737	0.0690127552	-0.0088704364	-0.0093268459	0.0201418357	-0.1379439362	-0.0749524014	-0.1469029947	-0.071896495	0.0917600213	-0.0238097866	-0.2174980463	-0.0242489134	-0.001230565	-0.0181756941	-0.001445079	-0.1161188898	0.159673951	-0.0101149752	0.1111167977	0.1452534599	-0.0517647142	0.0450895128	-0.1000021976	-0.0770408333	-0.0560060962	-0.0208373558	0.0148976634	0.1136742748	0.110592125	0.105516962	0.108389	0.0431537	0.00186224182369	0.011748175321	0.033019	-0.0189336	0.00035848120896	0.001090254361	-0.00927819	-0.00414619	1.71908915161e-05	8.608480967610001e-05	0.00421465	0.00205496	4.222860601600001e-06	1.7763274622500002e-05	-0.00259393	-0.0004643199999999	2.1559306239999985e-07	6.7284728449e-06	0.000382924	0.0004025684999999	1.4663078977599998e-07	1.6206139719225e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
743.7052752798014	-2.909167249246707	553097.5364790052	8.463254084089652	762.5462118576507	-9.206589716738335	84.76129421235207	581476.7252184532	730.9976136997293	-1.5504427432754255	534357.5112346987	2.403872700175427	719.8030343191199	532.304804787332	1.423022	39.052681	0.98454289	0.492688	0.0655008809	0.0663029703	-0.0748731488	0.0114984841	0.0177502189	-0.0005880264	-0.0981123444	-0.051113693	0.1541326358	-0.0796183491	0.0176277124	0.011640419	0.0193865983	0.0385047511	0.0684119092	-0.0195696843	-0.0938222902	-0.110463424	-0.0417976154	0.0610068031	0.0576015676	0.2233825433	-0.0732437011	0.082141497	-0.1619960805	0.0386271969	-0.0903858433	-0.0158259814	0.095554877	0.1492119999	0.0250285572	-0.0311921269	-0.1075029494	0.099215848	0.0400405502	-0.0214723606	0.0700908446	0.0071113067	-0.1237445887	-0.034517456	-0.1791420298	-0.0520904753	0.1272436746	-0.0009722354	0.1108163153	-0.056246862	-0.0146313508	-0.0756759011	-0.0009855342	-0.0180735625	-0.0372209569	0.0728392311	0.0223519626	0.1110776075	0.0784237593	-0.1887442294	0.0060538683	-0.0224269221	-0.0002014415	0.0697351565	0.1648210594	-0.0328581791	-0.0324251134	0.2060312242	-0.0601810823	0.0507256945	-0.0405327167	0.0441413532	-0.0856926522	-0.05518882	-0.1464441297	0.1668143113	0.0335352968	-0.1378363707	-0.052275424	0.0653665163	0.1031143674	-0.1112879493	-0.0253486168	0.1924107213	-0.0218659832	0.0004124066	0.1133324686	0.1092392569	0.1025263906	0.162266	0.0538769999999999	0.0029027311289999	0.026330254756	0.394575	0.361556	0.130722741136	0.155689430625	0.284792	0.29407019	0.0864772766466361	0.081106483264	0.0072559	0.0030412499999999	9.249201562499998e-06	5.264808481e-05	-0.00181486	0.00077907	6.069500649e-07	3.2937168196e-06	-0.00129755	-0.001680474	1.6836360025e-06	2.823992864676e-06	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
739.508847238885	-4.19642804091643	546873.3351445845	17.61000830258971	759.3608685531276	-3.185343304523144	10.146411967670424	576628.9286897604	731.0680668836983	0.0704531839689934	534460.5184170676	0.0049636511313688	719.115948972943	550.2814774893591	1.257923	34.521797	0.212731	0.155493	0.0854354342	0.0300959886	-0.0845741238	-0.0108708102	-0.018282196	-0.005773521	0.04238917	0.0492721982	-0.116927855	-0.0470996771	-0.0292126699	0.0118087566	0.0450171368	0.0509056533	0.007763068	0.0218022955	0.0162795534	0.0576975973	0.0099397278	0.0628677249	-0.0278419128	0.2085196663	0.0068332834	0.0103989159	0.1174826907	-0.1018846356	0.0839110578	0.0079296887	-0.0012711782	0.0445534266	0.0742138839	0.0410556955	0.0158192787	0.0190212252	-0.057389282	-0.0230656989	0.0964051113	0.0775839174	0.0942859007	-0.031989749	0.0363594974	-0.0031784417	0.1190791301	-0.0681437486	0.0015901046	0.1262707301	-0.0361317681	-0.0496711254	0.033365735	0.0001439822	-0.0230960564	0.0292364133	-0.0237564515	-0.0359452103	-0.0716753616	0.0444130305	-0.0243721252	0.0280593949	-0.0056200771	0.1243251056	0.1257253533	0.117401447	0.0276657883	0.0336687712	0.0756177704	-0.1102267204	0.0112929604	0.0527865168	-0.0410381044	-0.1093055427	0.0387302472	-0.0229704011	0.0636194668	0.0246736906	-0.0793225157	0.022154516	-0.0688953952	-0.0349701078	-0.1386510547	0.0236571723	-0.072723528	-0.0688967325	0.1129422506	0.1076997553	0.099141769	0.150317	-0.0119489999999999	0.0001427786009999	0.022595200489	0.243536	-0.151039	0.022812779521	0.059309783296	0.263907	-0.0208849999999999	0.0004361832249999	0.069646904649	0.00708977	-0.00016613	2.7599176900000152e-08	5.026483865289999e-05	-0.00143459	0.00038027	1.4460527290000006e-07	2.0580484681e-06	-0.00132831	-3.076000000000012e-05	1.7644074561000002e-06	9.46177600000007e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
735.8236924881384	-3.6851547507466194	541436.5064268784	13.580365536950378	764.1541431981416	4.79327464501398	22.975481822533897	583931.5545668859	729.5869815292158	-1.4810853544825022	532297.1636169122	2.1936138272625594	718.7795090119645	501.186028551867	1.256256	34.476032	0.1617199999999999	0.102387	0.1091846686	-0.0292590682	-0.1058223914	0.053164725	-0.0964550233	-0.0484102769	-0.0909940385	-0.019868326	-0.0294567551	-0.0747929227	-0.0602018924	-0.0052925546	0.0604312065	0.0523229556	0.0265009076	0.0567890764	-0.0261713431	-0.0127706113	0.0306719716	-0.0025581964	0.000433363	0.1815338329	-0.0006266077	-0.0337316661	0.0810489447	0.13107063	-0.0336544188	0.1212863912	0.0396982879	0.0435153568	-0.0750689246	0.013057961	-0.0883661801	-0.0192676631	0.0791372455	-0.0006755875	-0.0663050953	0.0097891177	-0.1510965412	-0.0829492276	0.0143797907	0.035141032	-0.0695207958	0.0698190151	0.1450148368	0.0553242154	-0.1060276386	-0.0708416087	0.0509904642	-0.0056053311	-0.0887147908	0.0436663233	0.0370600497	0.0027840124	0.0058495081	-0.111454398	-0.0800410017	0.0134143485	-0.063264103	0.1336514705	0.053016926	0.1252103642	0.0140691069	-0.0297055384	-0.0466873582	0.0420897897	-0.024858408	0.0764498169	0.0027530803	-0.0386954548	0.0159729447	0.1125797944	0.0002490374	0.0676787579	0.1443305467	-0.002472106	0.0566917046	-0.0938506865	0.1129593204	0.0907758078	-0.0339784303	0.0351586002	0.1125037874	0.1059762505	0.0953761056	0.159127	0.0088099999999999	7.761609999999973e-05	0.0253214021289999	0.336151	0.0926149999999999	0.0085775382249999	0.1129974948009999	0.302345	0.0384379999999999	0.0014774798439999	0.0914124990249999	0.0071831	9.333000000000084e-05	8.710488900000157e-09	5.159692561000001e-05	-0.00172205	-0.00028746	8.26332516e-08	2.9654562025e-06	-0.00138466	-5.634999999999993e-05	1.9172833156e-06	3.1753224999999923e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
