global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
719.4863436941657	n/a	n/a	517660.5987623992	817.4171961133673	n/a	n/a	668170.8725018391	682.1277405793564	n/a	n/a	465298.2544678978	687.6145952502569	606.3906570324048	n/a	n/a	n/a	n/a	-0.0452707352	0.0349537524	-0.0963418819	0.0440635825	-0.0337074819	0.0283948409	-0.1075696439	0.0457298828	-0.1210933717	0.0783884629	-0.0014567987	0.0178685176	-0.087545792	0.0288481955	0.0069945864	-0.1288945178	0.005930366	0.0131117194	-0.1065278069	0.0208840292	-0.0410897921	0.0579100575	0.0358807425	-0.0402394888	0.0193420329	-0.018091988	0.0380815681	-0.1074088263	0.0876920158	-0.1868365704	0.1469482944	-0.0763326221	0.0597537578	-0.0498746198	0.0086608648	-0.0210202591	0.0341964648	-0.1374715459	-0.008013931	0.1763461722	0.0922936473	-0.0537167819	0.0904435835	-0.0395808415	0.118871935	0.0333854398	0.0036537345	0.0051441163	-0.1928052045	0.0639902521	0.0267942109	-0.1062068105	-0.0395609941	0.0189395121	0.0406156444	0.0247952464	0.0416642262	-0.1116275754	0.000293521	0.0369876261	0.02490162	0.0378649187	-0.0502810037	-0.0226148435	0.0304394108	-0.0838770251	0.1006065696	-0.1267518895	-0.1245118515	0.0331617127	-0.036920338	0.0661446948	-0.0870871207	0.0085060427	-0.0268810084	0.0367990595	-0.0778736437	0.1295675128	-0.0535409039	0.0516785937	-0.0850937905	0.0731096269	-0.1063115462	0.0217867117	-0.0146558697	0.0309779862	-0.0008978582	-0.0515304615	0.0343813294	0.0061777493	-0.071492167	0.113423362	-0.060839668	-0.0213261318	0.1358954413	-0.1877198582	0.0274730221	0.0565705762	-0.0828982564	-0.0123946379	-0.007552014	0.1148683125	0.0563250344	-0.0353242878	-0.0335888503	-0.1424909405	0.0306104291	0.0262466491	0.0580527501	-0.1073513441	0.1147017419	0.1146833673	0.1146527451	-0.0297878	n/a	0.00088731302884	n/a	-0.0288732	n/a	n/a	0.00083366167824	0.0296784	n/a	n/a	0.00088080742656	-0.00154283	n/a	n/a	2.3803244089e-06	-0.000162349	n/a	n/a	2.6357197801e-08	-0.000694702	n/a	4.826108688039999e-07	n/a
717.6419765932372	-1.84436710092848	3.4016900029873254	515010.0065686485	813.7691735938054	-3.6480225195618914	13.30806830323069	662220.267891545	680.7835325368656	-1.3442080424908909	1.8068952614971927	463466.2181733735	685.9464353774114	602.5476191261189	0.982698	22.655985	0.222618	0.145161	-0.012067093	0.0675420436	0.0445003362	-0.0545963481	-0.0960270307	-0.0756486129	0.0436875853	0.0485464275	0.0861810172	-0.0167564189	0.0294162753	-0.062009007	0.0197448394	-0.003744471	-0.0097868763	-0.1547241978	-0.122822018	0.0812623759	0.0404104694	0.0828084728	0.0989644766	-0.0398693478	-0.0509751978	0.0597416677	-0.0249799402	-0.1031195344	-0.0122912912	-0.0038227972	0.0674197703	0.0690124849	0.0644002804	-0.1175121108	-0.0643812361	-0.1096364864	0.0551451507	-0.0717493902	-0.0091348693	-0.0039745681	0.0066914021	-0.0159802164	-0.077099279	-0.0190889962	-0.0001750177	-0.2099149457	0.141499122	0.0028293076	0.0014596953	0.0387155209	0.0698329537	0.0869357796	-0.0507269457	-0.0415911319	0.0433473595	-0.0970666521	-0.0936952998	-0.0394324655	-0.1234836998	-0.1985972391	0.0506467988	-0.0204732649	0.0086099712	0.004235386	0.1564287597	0.042229797	0.0527764257	-0.0415492514	-0.1736887287	-0.0993308458	0.0473186161	0.0657784505	0.0379517046	0.0790688492	0.0009840682	0.0796518457	0.0842732078	-0.0051175582	-0.0367074346	0.0563381201	0.0088013507	0.0417219663	-0.059540385	0.0202923275	-0.0586204051	0.0065982405	0.0321739616	-0.0460178408	-0.0113498554	0.0640310139	0.0035186034	-0.0500745922	0.1369337559	-0.0298090291	-0.1206733283	-0.0361206995	0.0830646375	-0.0325438054	0.2290732365	0.1116802302	0.0221474551	0.0104627131	-0.1144601101	0.0412952634	-0.1231088063	0.1540706844	-0.1205230029	0.0812549954	0.1538165693	0.0253051888	-0.1001989363	-0.0692551821	0.1146527451	0.1144874327	0.1142120884	-0.0271248	0.0026629999999999	0.00073575477504	7.0915689999999934e-06	0.103832	0.1327052	0.01761067010704	0.0107810842239999	0.0748729999999999	0.0451945999999999	0.0020425518691599	0.0056059661289999	-0.00235786	-0.0008150299999999	6.642739008999996e-07	5.559503779599999e-06	-0.000136275	2.6074000000000008e-05	6.798534760000003e-10	1.8570875625e-08	-0.000694702	0.0	4.826108688039999e-07	0.0
716.7728327581073	-0.8691438351299894	0.7554110061444662	513763.2937800816	809.758595187938	-4.010578405867364	16.084739149609604	655708.9824807429	681.8390215047075	1.0554889678419386	1.114056961236041	464904.451246497	686.9530985801758	592.0907357156389	1.055286	24.329485	0.1474767999999999	0.0970526	0.0940964494	-0.0846888404	0.034611853	0.1344022425	0.0641536975	0.0897914978	-0.0120352825	-0.1294288721	-0.0789469092	-0.0579476163	0.1556945504	-0.0486611379	0.1181988008	0.0547823759	0.0082627212	-0.0547102975	-0.1152598939	-0.0368342234	-0.1361469074	-0.1173323659	-0.0139393107	0.0195953532	-0.0817288492	-0.0025736259	-0.0965019623	-0.0622051999	0.0223721552	-0.0650909026	0.1013407345	0.0728797725	-0.0085697725	0.0505385774	0.032387376	-0.0328429776	-0.0694124514	0.0232332341	0.0661136453	-0.1020536066	0.109067792	0.0332870314	-0.0577677938	0.0701669488	0.0794486435	0.0569601338	-0.0273454596	-0.018928137	0.0219829787	-0.1177597482	0.1456601925	0.0780466477	-0.0025036992	0.1277096184	-0.0173339614	-0.0556790138	-0.1725497285	-0.045796612	-0.0610397085	0.0256159844	-0.0840573988	0.0527024038	0.0071914748	-0.0373346834	0.0093936852	-0.0112545964	-0.0931241108	0.0404743825	0.0525070207	-0.2314219797	0.0489868833	0.0021832665	0.1040600279	-0.0191767346	0.0423290771	0.0037751623	-0.0764486482	-0.0216308468	0.0286280596	0.085611711	-0.0064545557	-0.0134537135	-0.0220396708	0.0323706168	-0.009113159	0.0338550151	0.0041308966	0.019595949	0.2151404297	-0.076432753	-0.0504208419	0.01612292	-0.0030659565	-0.0537445369	-0.0066672155	-0.1011190294	0.0036911963	0.1339859038	-0.0085215046	0.0475194609	-0.0110362317	0.0788280231	0.0451193954	-0.1295595524	-0.0129987066	-0.0160862475	-0.0454035777	0.0612371381	-0.0190626867	-0.0829443874	0.0588611125	0.0894449896	0.1145547726	0.1140958982	0.1133324686	-0.0271063	1.8500000000001154e-05	0.00073475149969	3.4225000000004274e-10	0.0109896	-0.0928423999999999	0.0086197112377599	0.00012077130816	0.0664974	-0.0083755999999999	7.015067535999832e-05	0.00442190420676	-0.0018373	0.0005205599999999	2.7098271359999976e-07	3.37567129e-06	-0.000540521	-0.000404246	1.6341482851599997e-07	2.92162951441e-07	-0.000694702	0.0	4.826108688039999e-07	0.0
716.7966938764224	0.0238611183151533	0.0005693529672497	513797.5003521696	808.2925592364597	-1.4660359514782613	2.149261411026771	653336.8613170257	681.4892349074521	-0.3497865972553882	0.1223506636195031	464427.5772947444	686.0139705564297	593.701757874706	1.108331	25.552429	0.0861881	0.0591249	-0.053691641	0.0698750694	-0.1058533821	-0.1637742365	0.018319275	-0.0697061678	0.0040669833	0.1541663209	-0.073286013	-0.1883405544	0.0676886937	0.0278243782	0.0099101163	0.1093845728	-0.0473190312	-0.1705669749	-0.0043289051	0.0457796176	0.031797334	-0.0505696319	0.0701591394	0.1185234005	0.0394140517	-0.0581278313	0.0780742897	0.0307173579	0.1795310793	-0.0203396227	-0.0520185086	0.0916836625	0.0282808959	0.0069757861	0.0996107898	0.0664604526	-0.132420409	-0.1394694005	0.0100606015	-0.0301576427	0.1430767864	-0.1023528789	0.0084657551	-0.0024483295	0.0969564731	0.0270013309	0.064977488	-0.137079256	-0.042428407	0.0556781095	-0.0442233955	0.1077874828	0.0270230708	0.0756423569	-0.137830623	-0.0496092461	0.1191627866	0.0676303107	-0.0456320527	0.0760971779	-0.1358029515	-0.089020568	-0.0196234196	0.1411762144	-0.02851119	0.013436812	0.1641101813	-0.1234723992	-0.0520897776	-0.1125211273	-0.0162688838	0.0145709408	0.04326531	-0.0859323417	-0.1261020426	-0.1132154494	-0.0990624254	-0.0108261592	-0.0148347352	0.1185314479	-0.0424465198	-0.0464783081	0.1267523639	-0.1112235916	0.1037672594	0.1458799877	0.0655094539	0.0337897196	0.0343655351	-0.042487578	-0.1050032984	0.0109354535	-0.0647475716	0.0903598399	0.0141843409	0.1159600264	-0.0295519868	0.0621715869	0.0481544561	0.0644948632	-0.1585401025	-0.0344127188	0.0361708705	-0.0604372136	-0.0588509627	0.0261417972	0.1031845441	0.0451137553	-0.0679054287	-0.0895730512	-0.0207241685	-0.086456598	0.1144078661	0.1135094328	0.1120172664	-0.0271063	0.0	0.00073475149969	0.0	0.0686346	0.057645	0.003322946025	0.00471070831716	0.0529418	-0.0135556	0.00018375429136	0.0028028341872399	-0.00213705	-0.00029975	8.985006250000008e-08	4.566982702500001e-06	-0.000540521	0.0	0.0	2.92162951441e-07	-0.000694702	0.0	4.826108688039999e-07	0.0
717.9808785298686	1.1841846534462093	1.4022932934575187	515496.541934522	807.6206574658542	-0.6719017706055865	0.4514519893429222	652251.1263655785	681.5879495237585	0.098714616306438	0.0097445754725272	464562.1329360016	686.9382367456824	595.4101885107751	1.106941	25.520374	0.0679762	0.0482507	0.0644216197	-0.0470427034	0.13481267	-0.0226829666	-0.0350815337	0.0313852606	-0.015727602	-0.0813793458	0.0907607763	-0.2155758767	0.0413995294	0.0980100172	0.0093443276	-0.0349983282	0.0758758853	-0.0338309732	-0.21228956	0.0401173412	-0.0330583568	-0.0631478921	0.0066170997	-0.0637638291	0.0921410437	-0.0461143633	0.0355628874	-0.0165466873	-0.0756931232	0.0811721092	-0.016840556	-0.0607500164	0.1001734131	0.0350738804	0.0477907964	0.0993875622	0.0079593375	0.1561266887	0.003832749	0.0261378241	-0.0198968126	-0.0539220317	-0.1193099644	0.0345922421	-0.0814089101	0.100434321	-0.0391595492	-0.1986082767	-0.0321366393	-0.0440940625	-0.0244228389	0.0168785619	-0.0253440669	-0.0233762676	0.043451628	-0.023334502	0.0476864252	-0.0340835342	0.0769278133	-0.1969783812	0.0813722586	-0.0435630605	-0.0455187933	0.0536356355	0.116121262	-0.0255273599	-0.1198065515	0.0310107274	-0.1442686793	-0.1519873337	-0.0820874421	0.0051378545	-0.0423785424	-0.0414776418	-0.0361178315	-0.0169667363	-0.0599897793	-0.038502735	0.0278036383	-0.0720718868	-0.0131186747	0.0003320752	-0.1135093249	-0.048751071	-0.0300701296	0.0243483764	0.0659049042	-0.0026557973	-0.0716850614	0.0056832368	-0.0459716915	0.0572318303	0.0201939689	0.1458226141	0.0243689692	-0.1719233818	0.0231818986	0.1344224692	-0.2125625805	-0.0787530849	-0.104697011	0.0616495958	-0.0146393523	0.1694874382	-0.0124001319	0.0560220616	-0.0876932794	0.0859392368	0.0323029594	-0.091505143	-0.0288489054	-0.0982817049	0.1142120884	0.1127290384	0.1102715368	-0.0271063	0.0	0.00073475149969	0.0	0.0422074	-0.0264272	0.00069839689984	0.0017814646147599	0.0529263	-1.5499999999994685e-05	2.4024999999983516e-10	0.00280119323169	-0.00130638	0.00083067	6.900126489000002e-07	1.7066287044e-06	-0.000540521	0.0	0.0	2.92162951441e-07	-0.000694702	0.0	4.826108688039999e-07	0.0
717.7497413153362	-0.2311372145323957	0.0534244119417947	515164.6911582321	809.1259734423977	1.5053159765435566	2.2659761892372816	654684.8408991076	683.1148119963713	1.52686247261272	2.331309010273029	466645.8463688376	687.594972851098	599.0144573306623	1.133521	26.133179	0.0668327	0.0395398	-0.0035640826	0.0100956097	-0.1697002389	0.017095437	-0.1768855026	-0.0667127363	0.0512824495	0.0472906613	-0.1571122046	-0.1278055782	0.0654372704	0.0748831657	-0.0936402492	-0.1525458903	-0.085684986	-0.085009794	0.0751944689	0.1476327083	-0.011303034	-0.0353881644	-0.0051995342	0.0035833689	0.0210187797	-0.1519439505	-0.0324250161	-0.0028302982	0.0206651712	0.0263718141	-0.1484920095	-0.0877024072	0.1106659668	-0.0787358477	-0.0297354982	0.0267486612	-0.1504778178	0.0622312527	0.0145998519	0.043167776	0.0892431927	0.0541808449	0.0386195551	0.031796215	-0.1886265516	0.0848872628	0.0642548545	0.0850442399	0.0627340161	0.0714349304	0.016824228	-0.0888292386	-0.0820184883	-0.0516132863	0.0073049271	0.0198768108	-0.042618686	0.0966245944	0.0360915521	0.0237565412	0.0070504567	0.1511517648	-0.0825188314	0.0420236316	-0.1109968691	0.0441367375	0.1747596586	-0.0081934393	0.0686573388	-0.0999277019	-0.069042947	0.0304631584	-0.0881033855	-0.0713135975	-0.0708482481	-0.0164968048	-0.1512698874	-0.045009733	-0.0436282687	0.0238419005	-0.0394518739	0.0129787258	-0.1555608376	-0.0725175636	-0.1342669279	0.0304650529	-0.0957542712	-0.084555784	0.0358309924	0.0767149589	0.0822251717	0.1406610002	0.0221525923	0.0366789179	0.0504968834	0.0602979058	-0.194558657	-0.1201637456	-0.0363022829	-0.0368424681	-0.0136314422	0.0065094238	0.0626303495	-0.0049774852	-0.067877607	0.0075688976	0.0966922697	0.0991343122	-0.0825387373	0.0523781685	-0.0598159991	-0.0270792851	0.1139675232	0.1117560484	0.1081019891	-0.0271063	0.0	0.00073475149969	0.0	0.0502278	0.0080204	6.432681616000006e-05	0.00252283189284	0.029105	-0.0238213	0.00056745433369	0.000847101025	-0.0020062	-0.00069982	4.897480324000001e-07	4.0248384400000005e-06	-0.000540521	0.0	0.0	2.92162951441e-07	-0.000694702	0.0	4.826108688039999e-07	0.0
717.6709386097339	-0.0788027056023565	0.0062098664102516	515051.5761249764	812.7438770929	3.617903650502285	13.08922682431776	660552.6097519989	681.9752586379644	-1.139553358406829	1.2985818566562828	465090.25339431845	687.003553740448	598.6085692801356	1.177997	27.158567	0.0411972999999999	0.0305813	-0.0499752952	0.020202772	0.1599898476	0.0028820329	-0.0461140549	0.0678111661	0.0107734726	0.0039328634	0.1502636752	-0.1432330177	-0.0447143572	-0.0291059523	0.0547055817	-0.0938054413	0.1134818851	-0.0953037578	-0.1363295092	-0.0240074179	-0.0366589135	-0.0524705632	-0.0790243412	-0.1819394029	0.0950535805	0.1526403557	-0.013484204	-0.0266812758	0.0621665142	0.1437079003	0.1213479304	0.1255699318	0.021907996	0.0929471236	-0.0922910344	0.1531518334	-0.0379153693	0.0442411209	-0.0518343049	0.0109409544	-0.0229756476	-0.0118662551	-0.0527594201	0.057142856	0.2213215563	-0.0320701129	-0.1693431944	0.0600181404	-0.0153676404	0.1001219738	-0.0315657463	-0.1364074535	0.0375420675	-0.0835531633	0.1425340988	-0.1064588048	-0.1759290234	0.1769654797	-0.1632015446	0.0649422608	0.0015026272	0.0361568	-0.0836957348	0.0904544271	-0.0087214277	-0.0887691817	-0.0606574295	-0.012010185	-0.1688355454	-0.1029312687	0.0540127591	0.0886810189	0.0310783717	-0.0995430561	0.1453592018	0.1944344063	0.0867795934	-0.026622411	0.114901784	0.0848477833	-0.0502838004	-0.0584039879	-0.1868892118	-0.0334587104	-0.004289336	0.0694763546	0.1966111729	0.0422755788	-0.0067030959	0.0235721401	0.0390111451	-0.0507462156	-0.1314305374	0.0009507091	-0.0059251038	0.1253779052	0.0524616018	0.0223920728	-0.092875392	-0.1019894027	0.0359242715	0.0022168764	-0.1063328222	-0.177202024	0.0678390888	0.030389363	0.0371390322	0.0905778005	0.0745234832	0.1040781602	-0.0159641672	0.1320587147	0.1136742748	0.110592125	0.105516962	-0.0271063	0.0	0.00073475149969	0.0	0.0642459	0.0140180999999999	0.0001965071276099	0.0041275356668099	0.0562842	0.0271792	0.00073870891264	0.0031679111696399	-0.0020062	0.0	0.0	4.0248384400000005e-06	-0.000540521	0.0	0.0	2.92162951441e-07	-0.000694702	0.0	4.826108688039999e-07	0.0
717.211497581727	-0.4594410280068359	0.2110860582159782	514392.33226342365	807.1804199964323	-5.563457096467687	30.952054864236665	651540.2304256168	682.9237112626331	0.9484526246686756	0.8995623812408995	466384.7954047282	688.3135792342094	596.338963403799	1.159957	26.742661	0.0623677	0.0413543	0.1060800433	0.0106487178	-0.1393092306	0.075447506	0.0617444416	-0.0751105887	-0.005771133	-0.0651711238	-0.1532632583	-0.0675076928	-0.0206147378	0.0124234872	0.1458274521	-0.0327190397	-0.1127259119	-0.0202607428	-0.0005972265	0.0642709236	-0.0971158433	0.073830983	0.0887023857	0.172506464	-0.0219062083	0.0419803395	-0.1159413093	-0.0844208449	-0.0160829492	-0.0614783996	0.227980737	-0.0790890441	-0.0590405151	0.1309772133	-0.0392985352	0.0567093181	0.1096070867	-0.1129290184	-0.0764400122	0.0940053638	0.0452441041	-0.0863922462	0.0546885532	-0.0729600703	-0.0224947355	0.0139358894	0.0453526223	0.0557731912	0.0075926909	0.0725809125	-0.055111037	-0.2355354569	0.0743246399	0.1604792689	0.0261311349	0.1257226852	0.0700238925	0.0398130287	0.0426855803	-0.0128576881	0.0151153139	0.0665553535	0.1873917739	-0.0348540278	0.0205457497	0.1104299707	0.0398861659	0.0103314804	0.1058668351	-0.0907850399	0.0801053391	0.0038495378	0.1384585477	0.053108075	-0.0463143197	0.131731947	0.068479867	0.1512204741	-0.2192803404	0.0791449435	-0.0565299256	-0.0382307449	0.0584063689	0.0233418829	0.077794625	0.0040636324	0.005820627	0.0669082712	0.0786422606	-0.1093687888	-0.0331357807	0.0508826744	0.0736764188	-0.0256269392	0.0711396946	0.2089801732	-0.0492578659	0.0670183468	-0.1020682721	0.0385609934	0.151799567	0.1122415321	-0.0340310239	0.1085023452	-0.0210977544	-0.1373708535	0.0652727319	-0.0492085261	0.0767689301	-0.1508062888	0.1228641509	-0.0271238971	0.1133324686	0.1092392569	0.1025263906	-0.0271063	0.0	0.00073475149969	0.0	0.0280792	-0.0361666999999999	0.0013080301888899	0.0007884414726399	0.0380167	-0.0182675	0.0003337015562499	0.00144526947889	-0.00216487	-0.00015867	2.5176168900000026e-08	4.686662116900001e-06	-0.000540521	0.0	0.0	2.92162951441e-07	-0.000694702	0.0	4.826108688039999e-07	0.0
718.1359921006756	0.9244945189485634	0.8546901155659357	515719.3031504216	812.618632795727	5.438212799294661	29.57415845041227	660349.0423667965	682.2192048288418	-0.7045064337912663	0.4963293152532879	465423.0434372973	686.948696337582	598.6105865006868	1.105354	25.483803	0.1376949	0.090324	-0.1003608893	0.0128702037	0.0677526863	-0.0751858532	0.0152861505	0.0418477639	0.0272804309	0.0795033614	0.0922312998	-0.1372002741	0.0122518076	-0.0799584293	0.040859208	0.0932400626	0.0930121866	-0.1307594249	-0.0270211757	0.0510142043	0.0547900938	-0.0114393346	-0.0903048194	0.1174746203	-0.0217093001	-0.0030577025	-0.052845969	0.0050975219	-0.0008290518	-0.0039182784	0.0179886455	0.1261469134	0.0672106359	0.0326942056	0.0634498087	-0.0376402648	0.129133599	0.0753505349	-0.044555333	0.1053252493	-0.0336131252	0.0347124773	-0.0129810388	-0.0246934712	-0.0976389831	-0.0527039184	0.0428260865	0.1035616166	0.1059175691	0.0207450467	-0.1305233196	0.0277531961	-0.1584725064	0.0089089462	0.0739433052	0.1083329969	-0.0139245234	-0.1240647902	-0.0600542303	-0.0433818525	-0.1011647806	-0.0416858845	-0.0782164143	0.0667296868	0.0545836178	-0.1006509233	0.0501271885	-0.0347659401	-0.1528853913	-0.065900572	-0.0088080062	-0.0222626477	0.1403824521	0.0450525248	0.0630244073	0.0797984648	-0.0451912649	0.0293269266	-0.0806476246	-0.0021375137	0.0384945261	-0.1419843725	-0.0341877132	-0.0227130315	-0.0364915687	-0.0666515156	-0.0208006487	0.0226694534	-0.1271202463	0.0088955857	-0.036554527	0.0170669714	0.0503043763	-0.0297680627	-0.0232691429	-0.0139375052	0.032966894	-0.0189518143	-0.1108129636	0.017154991	0.075299213	-0.0769148428	-0.1082434316	0.0724737412	-0.0567188624	0.0512024823	-0.0226581395	-0.1587877812	-0.0216916128	-0.0493561384	-0.0096608117	0.0127602711	0.1129422506	0.1076997553	0.099141769	-0.0270963	9.999999999999593e-06	0.00073420947369	9.999999999999184e-11	0.103042	0.0749628	0.0056194213838399	0.0106176537639999	0.087386	0.0493693	0.00243732778249	0.007636312996	-0.00201069	0.00015418	2.3771472400000093e-08	4.042874276099999e-06	-0.000540521	0.0	0.0	2.92162951441e-07	-0.000581826	0.0001128759999999	3.385214942760001e-07	1.2740991375999983e-08
718.5557080695203	0.4197159688446845	0.1761614945032322	516322.30559928966	809.290999745787	-3.3276330499400046	11.073141715053016	654951.9222695354	683.2203783339004	1.0011735050585455	1.002348387231214	466790.085370718	688.9189899686075	598.7330550637674	1.118209	25.780159	0.18212626	0.115068	0.1275293772	-0.0179520831	-0.027613406	0.0851268295	0.084977151	-0.0100412139	-0.0885762043	-0.1282288049	-0.0626856839	-0.0395609882	0.0914715509	0.0240971748	0.0834295516	0.0257908628	-0.0882839435	0.0324812808	-0.0152421777	-0.0669647466	-0.0900077519	-0.0016312312	0.0079550472	0.0067859092	0.0336382676	0.0475723479	0.1248718638	-0.0012786646	-0.0925340074	-0.1414831974	-0.0060075397	0.1338335422	0.0055715412	0.0063624379	0.1586935101	0.0647956669	0.0670316775	-0.0069511494	-0.0387573109	0.0446042103	0.0179342938	0.0298714788	-0.1263451122	0.013865948	-0.0624346284	0.118348411	0.0688367139	0.1923555623	-0.0830040504	0.0313627882	0.0504791946	-0.102374849	-0.068457437	0.1750316513	-0.0436936417	0.0587663584	0.0136425978	-0.0738567199	-0.0622371637	-0.0567390601	0.0266494227	0.0440511784	-0.0730867393	-0.0669425345	-0.0211717048	0.0780583849	-0.0665796716	0.0103679511	0.1277856499	-0.087343133	0.0484830275	-0.0483316847	0.0034917377	-0.0851577183	0.0363466696	-0.0112983809	0.0902557148	-0.0468184759	-0.0493516664	0.0429652771	0.1205408044	0.0070474691	0.0497474421	0.0150750826	-0.0156969001	-0.1243299708	-0.0536972155	0.108305477	-0.1468901285	0.1012699966	-0.0568013681	-0.0692862099	-0.0603791026	0.0328652601	-0.0325739654	-0.1494304891	-0.1137372658	-0.0157052086	-0.0544890282	0.1711340332	0.1331423184	0.0225476621	0.0976921226	-0.0208408927	-0.2168945417	-0.039351892	0.0953127947	-0.0223622524	-0.0450875359	-1.1686e-06	0.0451101467	-0.0132777004	0.1125037874	0.1059762505	0.0953761056	-0.0271054	-9.100000000001468e-06	0.00073470270916	8.281000000002671e-11	0.00429319	-0.0987488099999999	0.009751327476416	1.84314803761e-05	0.0435108	-0.0438752	0.00192503317504	0.00189318971664	-0.00122183	0.00078886	6.223000995999999e-07	1.4928685488999998e-06	-0.000540521	0.0	0.0	2.92162951441e-07	-0.000582829	-1.0029999999999631e-06	3.39689643241e-07	1.006008999999926e-12
