global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
724.685248545509	n/a	525168.7094594662	n/a	753.6309896479953	n/a	n/a	567959.6685578168	701.8065859229822	n/a	492532.4840448722	n/a	700.151753880862	493.9708194568714	n/a	n/a	n/a	n/a	-0.0505890566	0.1549160119	-0.039005176	0.0826590465	-0.00972634	0.0219362054	0.0266125827	-0.1596713372	0.0101863653	-0.1002030785	0.0026511921	-0.058803016	0.0377924697	-0.0555447228	0.0250567285	-0.0019048222	0.0872834259	-0.0262257895	-0.1327522438	0.0346056644	-0.0305809233	0.0083768068	-0.0871704387	1.92355e-05	-0.0286560193	0.0713346059	-0.1496226412	0.0800118541	-0.0814096737	0.0792389123	-0.0305368657	-0.0127879976	0.1501825411	-0.1296631761	0.006460512	-0.0203443949	0.0017582578	-0.1825490899	0.0337527244	-0.0888891641	0.0307627343	-0.0586807496	0.0638575335	-0.1291738232	0.0051628507	-0.0423761238	-0.0602882388	0.0429910102	-0.0299212149	-0.1261244885	0.0670667148	-0.0288038427	-0.0337081599	-0.0504875608	0.0163233079	0.068989756	-0.1336055915	-0.0305100434	-0.1265760362	0.0990982305	-0.0581533061	-0.0051475754	-0.0291835562	-0.1323692939	0.0728115772	-0.0560058069	0.0453108045	-0.1105855186	0.0145088705	0.0812713932	-0.0053609386	0.0844840778	-0.0974692351	0.1261424841	-0.0446371853	0.0225919599	-0.0789510186	0.0653196925	-0.0232555821	0.1824006721	0.10765846	-0.0993090876	0.0540284538	-0.1003450328	0.0834991183	-0.1191913528	0.0183878275	-0.0402138699	0.0176392568	-0.1159295378	0.0330889257	-0.0954135793	0.0370350135	-0.0557536999	-0.0502215096	0.022262259	0.0275029302	-0.0840990153	-0.014253593	0.095240056	-0.1295279856	-0.0260726225	-0.0730380387	-0.1196919839	0.1428600528	0.0932843689	-0.0333293361	-0.0812979835	0.1147017419	0.1146833673	0.1146527451	-0.135889	n/a	n/a	0.018465820321	0.0190005	n/a	0.00036101900025	n/a	-0.00247725	n/a	6.1367675625e-06	n/a	-0.00225353	n/a	n/a	5.0783974609000005e-06	-0.000507427	n/a	2.57482160329e-07	n/a	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0
726.7774288140448	2.092180268535799	528205.431033554	4.377218276050527	754.1033036739989	0.4723140260035734	0.2230805391597042	568671.7926120394	702.8582534071849	1.0516674842026532	494009.7243825985	1.106004497329138	700.80233378182	496.7415250505728	0.950763	22.450357	0.1002598499999999	0.0490467	-0.0563073836	0.2082142846	-0.0499836417	-0.0442707393	-0.0922174108	-0.0251017971	-0.1058434452	-0.164610532	-0.0551981972	-0.0871706728	-0.1584233479	-0.0543707318	-0.002613289	-0.0242369283	-0.0254997091	0.0405909287	0.1441690806	-0.0692345606	-0.0686984485	0.0877432327	-0.0041462622	-0.1129624089	-0.1836256385	-0.0059269868	-0.0867357735	0.1151859154	-0.11915011	0.1515817492	-0.0107014913	-0.0498715925	0.0522377877	0.0581799962	-0.0629273913	-0.0017905316	0.0742893003	-0.0500265164	-0.0066082313	-0.0327768977	0.0419269421	0.0929600586	-0.0264208111	-0.0661343522	0.0074629459	-0.1069523242	-0.0658975666	-0.0756401315	-0.0564138106	0.1252951151	0.0576866214	-0.012168267	0.1013451824	-0.0916271888	-0.0583682788	-0.0198201707	0.0660733038	-0.1017069528	-0.0626266902	-0.0008521575	-0.0385283355	0.0300261326	0.0235660255	-0.0024558844	-0.0544307066	-0.0231848125	0.129257552	-0.0710034112	0.1875780676	-0.0963033701	-0.0096153424	0.091464764	-0.0702159843	-0.0433257337	-0.1091611415	0.1215529218	-0.0966277301	0.0565378855	-0.0172446111	-0.039438592	0.0641461916	0.0743974621	0.0308209044	-0.0365777029	0.0622984541	-0.101378254	0.0354271183	0.0222890047	0.1207557991	-0.0432612737	-0.0184542134	0.0202573768	0.0250783705	0.0647312734	0.041118237	-0.0623362805	-0.0884359305	0.1118510262	0.0478354831	0.0593190028	0.0529435408	0.0220300436	-0.0119179324	0.0234847057	0.0141782337	0.0562442607	0.0376241387	0.0489333404	-0.0023548102	0.0508036092	0.1146527451	0.1144874327	0.1142120884	-0.128176	0.0077129999999999	5.949036899999996e-05	0.016429086976	0.0291885	0.010188	0.00085196853225	0.0001037953439999	-0.0155313	-0.01305405	0.00024122127969	0.0001704082214024	-0.00308187	-0.0008283399999999	6.861471555999999e-07	9.4979226969e-06	-0.000318567	0.0001888599999999	1.0148493348900003e-07	3.5668099599999984e-08	-0.000368896	-0.000368896	1.3608425881600001e-07	1.3608425881600001e-07	0.0	0.0	0.0	0.0	0.0
728.8977720733111	2.120343259266292	531291.9621334366	4.495855537116002	752.9687856866893	-1.1345179873095503	1.287131063528913	566961.9922184874	703.0875129316189	0.2292595244340418	494332.05084036937	0.052559929543723	701.2492035492521	512.3010927350066	0.961515	22.704252	0.1291054	0.0587347	-0.1336698684	0.1234280747	-0.024141323	-0.0206291539	-0.068474537	-0.1415630626	-0.126907177	-0.1517174548	-0.0259813746	-0.1039094734	-0.0803218048	-0.1403212115	-0.0377316735	-0.0198623681	0.1927488606	0.1124980016	0.1402465642	0.0014730649	-0.072948945	0.0512231317	0.0449781442	-0.2281331048	-0.1363205189	0.1035373141	0.0896404588	-0.0882243523	0.0025355201	0.0354758499	0.0209023775	-0.0140640434	0.0341304596	-0.0869248194	-0.0065652909	0.0520981052	-0.0845341359	0.0008996107	-0.0125733643	-0.0667932123	0.1283641897	0.0450815155	-0.0328859681	-0.1077717405	-0.014459492	-0.131857422	-0.0670389661	-0.0739945216	0.0738868301	0.021497543	-0.1716829553	-0.0625073588	-0.0086013826	-0.1310990498	0.1659455413	0.0077629964	0.0416452651	-0.0497458788	0.0061984756	-0.0233159445	0.0559102228	0.0287317911	-0.0277933564	-0.0469069634	-0.0125359693	-0.058896862	0.123195575	-0.0688748872	0.1696974466	-0.117674403	-0.0595599416	-0.1647611661	-0.0963414022	0.0047620874	-0.0060025806	0.0470066515	0.0723376149	0.0531472607	0.0008754598	0.0162944613	-0.1497398413	0.0398960935	0.1456524958	-0.0865124353	0.0627496808	-0.0381119367	-0.0794712591	0.0258119911	-0.0116112985	0.0104962147	0.0246197068	0.0478881703	-0.0848811728	-0.0210928315	-0.0323982518	0.0096587434	-0.1190066482	-0.0585083337	-0.0213244483	0.0694119317	0.0219751162	0.0945142587	0.0713995702	0.0269797072	0.1605102045	-0.0174949189	0.0698201519	-0.079567643	0.015313794	0.1536450246	0.1145547726	0.1140958982	0.1133324686	-0.1015	0.026676	0.000711608976	0.01030225	0.0583452	0.0291567	0.00340416236304	0.00085011315489	0.0204677	0.0359989999999999	0.0004189267432899	0.0012959280009999	-0.0031893	-0.0001074299999999	1.1541204899999986e-08	1.017163449e-05	0.000188322	0.000506889	3.5465175684e-08	2.56936458321e-07	-0.000500051	-0.0001311549999999	1.7201634024999982e-08	2.500510026009999e-07	0.0	0.0	0.0	0.0	0.0
728.043350280312	-0.8544217929991191	530047.1198873811	0.7300366003518296	752.2303590230982	-0.738426663591099	0.545273937502282	565850.5130360193	703.7387489816008	0.6512360499818897	495248.22681818856	0.4241083927960143	701.8932085334801	504.9115257317317	1.081332	25.533484	0.15587468	0.0919443	-0.1266745875	0.1343878229	-0.0107362775	0.1313136965	-0.087084766	0.0195800283	0.0762648769	-0.2410894475	0.0653380344	-0.1496261832	-0.0694229394	0.0016243089	-0.0123597642	0.0664493291	0.0133427781	0.0226499544	0.0505674023	-0.0459804301	-0.0534418686	-0.008729507	0.0428438783	0.002854598	-0.139964154	0.1052713933	-0.1308110347	0.0294082567	-0.1407323442	0.0209444924	-0.005991072	0.0511999563	0.0196927863	-0.0007123103	0.1128009508	-0.0496821355	-0.0982193009	0.0170675391	-0.0428393735	-0.2726070477	0.1340603059	-0.150660738	-0.055542831	0.0127814426	-0.0439822569	0.1556718944	0.0719086576	0.0415440945	0.0245395733	-0.035846692	0.0138784696	-0.0594377561	-0.1052233437	-0.0739492635	0.0043660905	0.0596018474	-0.0260139615	0.0475897214	0.0139975102	0.0493594447	0.0686150008	-0.1774307106	-0.0671134714	-0.0436507521	0.0177780186	-0.1529154618	-0.0513008488	-0.1358332067	0.0903027258	-0.17708295	0.0260588757	0.1139950835	-0.0419907778	0.0802489655	-0.0630754946	0.0383977966	-0.0392868537	0.0281906711	-0.0937425954	0.0013922411	-0.0562737751	0.0185246854	0.1921648137	0.0989230595	0.038572568	0.0010396294	-0.0493389153	-0.0534423191	-0.0328330913	0.0980434673	0.0821614975	-0.1724835292	-0.0974436766	-0.0647476289	-0.0123043612	-0.0796427229	0.1756712798	-0.0827480658	-0.0945286894	0.0197994083	-0.0552927062	0.0136014151	0.0764192683	-0.0500190362	0.0073624021	-0.0647815708	-0.0419314294	0.0284364224	-0.0299105291	-0.0857808693	0.1144078661	0.1135094328	0.1120172664	-0.09368	0.00782	6.115240000000012e-05	0.0087759424	-0.020669	-0.0790142	0.000427207561	0.00624324380164	0.00467627	-0.01579143	2.18675011129e-05	0.0002493692614448	-0.00255091	0.00063839	4.075417921e-07	6.5071418281e-06	-0.000238269	-0.000426591	5.6772116361e-08	1.81979881281e-07	-0.000500051	0.0	0.0	2.500510026009999e-07	0.0	0.0	0.0	0.0	0.0
727.9612372720646	-0.0821130082473473	529927.5629706752	0.0067425461234289	757.8030284858563	5.5726694627580855	31.05464494115649	574265.4299823355	703.7151920396406	-0.023556941960237	495215.0715073882	0.0005549295145179	701.8467848804394	507.6829072291342	1.048918	24.768085	0.1513393699999999	0.075807	-0.1138975073	0.1747388805	-0.0675547578	-0.0744140249	-0.0531505403	-0.040869286	-0.1496728601	-0.1219994351	-0.0052110472	0.0090091299	-0.1142976454	0.0192611136	-0.0732278952	0.0795792317	0.0170638921	0.0840175449	0.1198097153	-0.0298582152	-0.0230580883	0.0864827281	0.0475647155	-0.2001498009	-0.0666390685	0.0039057181	-0.0341746672	-0.0261729083	-0.1466639176	0.0266647023	0.0464537337	-0.0661010955	-0.0852976579	-0.0110266629	0.0116318486	-0.0704353253	0.1142765076	0.0462587975	-0.1182374785	0.0738201631	0.0694420423	0.0971841208	-0.1012179069	-0.0148291542	-0.1202216954	0.0805540069	0.1521371548	0.0217671899	-0.0928187128	-0.04838474	-0.008477992	0.0074067995	-0.015510996	0.1170438223	-0.0911752884	0.0781874963	0.1131737884	0.0032640276	-0.039262599	0.0979797422	-0.048331736	0.0068739903	0.1083530119	-0.0853491617	0.0196056333	0.0279929451	0.1122513881	-0.0900384124	0.1855348872	-0.0210851668	0.0021956719	-0.0114366362	-0.0559124685	0.0150637506	0.0039537534	0.0804437338	-0.1269096773	0.058500186	-0.019440468	0.0572294284	-0.0168219179	0.1421730114	-0.0352433595	0.0093109194	-0.0489555789	0.0620860443	-0.1182634431	0.0193775018	0.0357158235	0.1359402763	-0.1347641047	-0.0678755212	-0.0247553981	0.1016852927	0.0980709749	0.0726262368	0.066831205	0.012137214	0.0643244163	-0.015045304	0.0108129507	-0.0907671872	0.0594340888	-0.0074766299	-0.0830923315	0.0147696868	-0.0878341142	-0.144127312	0.0708218319	-0.0765574724	0.1142120884	0.1127290384	0.1102715368	-0.146179	-0.052499	0.002756145001	0.021368300041	0.0127755	0.0334445	0.00016321340025	0.00111853458025	-0.0260809	-0.03075717	0.00068021334481	0.0009460035064089	-0.00238469	0.0001662199999999	2.762908839999997e-08	5.6867463961e-06	-0.000192023	4.6246e-05	3.6872832529e-08	2.138692516e-09	-0.000980359	-0.000480308	2.3069577486400015e-07	9.61103768881e-07	0.0	0.0	0.0	0.0	0.0
728.2939415868877	0.3327043148231041	530412.065352165	0.1106921611019112	755.9105921614238	-1.8924363244325375	3.5813152420317333	571400.8233418344	704.1309501177766	0.4157580781360366	495800.3949137628	0.1728547795353707	702.7864864517998	512.9418788308103	0.934625	22.069288	0.17101035	0.0779741	-0.1214326334	0.0992865723	-0.0389004464	0.0060666045	-0.0812263523	-0.1349625666	-0.0322776172	-0.1520629934	0.0181386026	-0.0038057784	-0.0115894129	0.0093185661	-0.1482098619	0.0535630764	0.1381259777	0.0552133665	0.1392389716	-0.0403558404	-0.0193231947	0.0060942249	0.0348130191	-0.1491228811	-0.0382576363	-0.0209234069	-0.0396657832	0.0019036242	-0.0435820649	-0.0148779323	-0.0698287626	0.0315486377	-0.0039790551	-0.0323586403	-0.0642042538	-0.0436739707	-0.0166865818	-0.0290191894	0.068061241	-0.0329787894	-0.1007652298	-0.0051682117	0.0546227853	0.2061814568	-0.0940809447	-0.0013180082	0.1464622417	-0.094471915	-0.0647938435	-0.0587604858	0.0853775867	0.0782510939	0.0344738417	0.0852008357	0.0478773752	0.0414329309	-0.0370865598	0.0898488609	-0.0571691137	0.0248508995	0.0339277406	0.035537033	-0.0959226	-0.0042961798	-0.0498720448	-0.0381735241	0.0163756284	-0.0464982818	0.1357818684	0.0111531179	-0.0134515167	-0.0900732606	-0.0219899937	0.0933794853	-0.0217852266	0.0280723891	0.0309153023	0.0706631243	-0.0786251047	-0.0730517604	-0.0534042258	0.0530407547	0.0209701479	0.0246604947	0.0456906525	0.0275866609	0.0827202096	0.0725199013	-0.0087779923	-0.04931219	-0.0955568492	0.0436040728	0.1332113429	-0.1007913579	0.0224057621	0.0767784827	0.1718276957	-0.0528555156	-0.0007203892	-0.0523876654	-0.0520619294	-0.0567018422	-0.0637150787	-0.0094250084	-0.1943905871	0.0324331678	-0.0457365203	-0.1090413291	-0.1124589163	0.1219183569	0.1139675232	0.1117560484	0.1081019891	-0.122611	0.023568	0.000555450624	0.015033457321	0.0646263	0.0518507999999999	0.00417655865169	0.0026885054606399	0.0173305	0.0434114	0.0003003462302499	0.00188454964996	-0.00197492	0.00040977	1.6791145290000025e-07	3.900309006399999e-06	-0.000524036	-0.000332013	2.74613729296e-07	1.10232632169e-07	-0.000678539	0.00030182	9.109531240000005e-08	4.60415174521e-07	0.0	0.0	0.0	0.0	0.0
728.1732435590303	-0.1206980278574292	530236.2726352789	0.0145680139286727	756.8149032255466	0.904311064122794	0.8177785006949001	572768.7977442935	704.9295816609705	0.798631543193892	496925.71510071086	0.6378123417842573	703.6031859282048	509.3328175507486	1.045946	24.69791	0.352619065	0.186113	-0.1174030328	-0.0024444461	-0.0108514876	0.1442020195	-0.0122497723	-0.0488988274	0.1389364484	-0.0572610082	0.1491508722	0.0480860282	-0.0254016055	0.093022279	-0.104549374	0.0960987914	-0.019611991	0.0569509528	0.0237217664	0.0705209003	0.0127320144	-0.116429266	0.0680456603	0.0769528427	0.022629954	0.0181197342	-0.038122266	0.0380929369	-0.0214515705	-0.0363587259	0.0651319719	0.0559919872	0.1588678667	-0.0187095706	-0.0734946643	-0.0688620874	-0.0367205147	0.0286461476	0.0149640167	-0.0490448057	0.0752782668	0.0529339388	0.1294709024	0.0368658262	-0.0581467792	-0.0072415986	0.1042772169	0.0327736098	-0.0568637974	0.1835946501	-0.0200297572	-0.1089871997	0.0432516965	0.075054821	0.0759659713	-0.0140840486	-0.164537743	-0.0049057583	0.0964825482	0.0368591205	0.0916898592	0.1100589548	-0.022907795	0.0377084525	0.1660733526	-0.0994167163	-0.1605160556	-0.025299181	-0.005047319	0.0278852392	0.0495416461	0.0423649401	0.0270291545	-0.0557598689	-0.025243326	-0.0478168406	-0.0858085398	0.1635670755	-0.1240426011	0.0233038418	-0.0868339964	-0.0744472278	0.0500026559	0.0623623758	0.0255409729	-0.0502045681	0.0931335586	-0.0396157172	0.1206230073	0.0684125387	-0.0130751682	0.0449648137	0.0794137153	-0.031664625	0.1055217002	0.0456569462	-0.0755014551	0.0032773493	0.0630014582	-0.0547485628	-0.0029514938	0.047386167	0.127953351	0.1162818588	-0.042626451	0.0107343306	0.0434903393	-0.1714021415	-0.0019103484	0.0378565992	0.1136742748	0.110592125	0.105516962	-0.084542	0.0380689999999999	0.0014492487609999	0.007147349764	-0.0420077	-0.106634	0.00176464685929	0.011370809956	-0.111886	-0.1292165	0.012518476996	0.01669690387225	-0.00108788	0.0008870399999999	7.868399615999995e-07	1.1834828944e-06	-0.000485085	3.895099999999996e-05	2.35307457225e-07	1.5171804009999967e-09	-3.05387e-05	0.0006480003	4.199043888000901e-07	9.3261219769e-10	0.0	0.0	0.0	0.0	0.0
726.8240346223781	-1.3492089366521895	528273.1773047519	1.820364754742132	749.0951746293767	-7.71972859616983	59.59420959852221	561143.5806530165	704.2915872460657	-0.6379944149048242	496026.6398655825	0.407036873449749	703.2802539649401	500.4261112224583	1.110116	26.21316	0.228939535	0.109743	-0.0425074869	0.0016688579	-0.0420108411	-0.0302368103	-0.012529999	0.1203949747	-0.002390162	-0.0012619295	-0.0390055029	-0.0784190575	-0.0344332505	0.1853629975	0.1311511481	0.1915160727	-0.0895902842	-0.0411653475	0.0118288709	-0.0293352206	-0.0024024627	0.0099015049	-0.0414664841	0.0731332082	0.0398975861	-0.0158405094	-0.1910752985	0.0067308898	0.1298832294	0.0375549985	0.0505880029	0.0464274288	0.0756305654	-0.0442874142	0.136686243	-0.0189551388	-0.0003467467	-0.1564891005	-0.0386263709	0.1204008615	0.0222660695	0.0365768986	0.0524733582	0.0800259109	0.0085787228	-0.0055564556	-0.101312984	0.0732832316	0.0139103698	0.1026953246	-0.0328088283	0.0336027363	-0.0122889145	-0.0493133577	0.0549165606	-0.0179659512	0.0647870031	-0.0252909746	-0.1918341661	-0.1643424583	0.1261105135	-0.081978414	0.0032226128	0.1148822799	-0.170175087	0.0186027192	-0.006786051	0.003676325	0.0112177854	0.0405949789	0.0424185337	0.1847217712	0.1180613907	-0.0982378277	0.0611497762	-0.0080485542	0.0360704903	-0.0274155956	-0.0083640782	0.0135700445	-0.0078954989	-0.0242087701	0.0396729671	-0.0161066988	-0.0390688974	0.0445819526	0.0304844688	-0.0176985642	0.0817277202	0.0547040898	-0.0006777155	0.0193923299	0.0637127214	-0.0316463707	-0.2936887781	0.0536690541	-0.0784710117	0.069659342	0.0119060707	0.191220243	0.0716545179	0.0142553615	0.0196591077	-0.0366988723	-0.0699633475	0.0167620189	-0.0274368324	0.0202853545	-0.0192312113	0.0553204084	0.1133324686	0.1092392569	0.1025263906	-0.0336408	0.0509012	0.00259093216144	0.00113170342464	-0.0516425	-0.0096347999999999	0.00266694780625	9.282937103999998e-05	-0.0875221999999999	0.0243638000000001	0.0076601354928399	0.00059359475044	0.000225383	0.001313263	1.7246597071690005e-06	5.0797496689000006e-08	-0.00180484	-0.001319755	3.2574474256000004e-06	1.7417532600250005e-06	0.000217238	0.0002477767	6.139329306288999e-08	4.7192348644e-08	0.0	0.0	0.0	0.0	0.0
727.4917104694745	0.6676758470963478	529244.1888018016	0.4457910367958255	756.8329586705023	7.737784041125565	59.873301867097474	572796.1273299463	705.1049784570872	0.8133912110215533	497173.03064496943	0.6616052621671091	703.8041014102174	491.6615503812306	0.992944	23.446384	0.3022207	0.140628	-0.0089349435	0.0020558523	0.0133974916	-0.0490144708	-0.0396462839	0.0135389589	-0.1197875005	-0.008706811	-0.120732692	0.0412031923	0.0799370788	0.0651519843	0.0224815707	0.0049808664	-0.0396775202	-0.06944395	-0.0298380095	0.2768225313	0.0218975307	0.0552563878	0.053379137	-0.0998579568	0.0382585787	0.0293467527	-0.0258975637	-0.035726877	0.171363696	0.0309233872	0.0415788993	0.0784721397	-0.0820889893	-0.0211031327	-0.1509371729	0.1071619763	0.0653041638	-0.0733669658	-0.0510775765	0.0774203043	0.0357870494	0.1132751246	0.0866494592	-0.1124690001	0.0186889811	0.2036414995	-0.0316842646	0.03684286	-0.0657227247	-0.1169984282	-0.0609321146	-0.0246668127	-8.90073e-05	0.1459216859	-0.0736204731	0.0032981981	0.0109179038	0.0153274162	0.0002624754	0.011334781	-0.0587621417	0.0616889742	-0.0367023169	-0.0616629256	0.0377204139	0.0648518939	0.0927695562	-0.0359087778	0.0338076121	0.061688881	-0.0602356994	-0.0608934715	0.0997794758	-0.1156368331	0.0544731154	-0.0228586065	0.0752316479	0.0085854319	0.1443853191	0.062338117	-0.0381840973	-0.1409260487	-0.2388768708	0.0329047041	-0.0111630834	-0.0654264461	-0.0869408957	-0.0158924378	-0.0371044801	0.1273806498	0.1179866355	-0.0197311518	-0.0281767864	0.0784906019	0.0578879288	0.0294219318	0.048125111	-0.134985865	0.0571504362	-0.0257327986	0.0973858819	-0.0347906667	-0.0319805087	0.0820160521	-0.0009591198	-0.0178334669	0.1092508842	-0.0187760498	-0.0042740139	-0.0419254369	0.1129422506	0.1076997553	0.099141769	-0.0582908	-0.02465	0.0006076224999999	0.0033978173646399	0.0158713	0.0675138	0.00025189816369	0.00455811319044	0.00624657	0.0937687699999998	3.90196367649e-05	0.0087925822273128	-0.000712431	-0.000937814	8.79495098596e-07	5.07557929761e-07	-0.000693112	0.001111728	4.80404244544e-07	1.2359391459840004e-06	-5.89826e-05	-0.0002762205999999	7.629781986435999e-08	3.47894710276e-09	0.0	0.0	0.0	0.0	0.0
726.4560494179128	-1.035661051561647	527738.391735881	1.072593813721776	753.9788647266613	-2.854093943841008	8.145852240269917	568484.128454505	704.4963021927741	-0.6086762643130896	496315.0398032925	0.3704867947381381	703.2933164655404	498.6890680976309	1.103112	26.047773	0.24519464	0.131382	-0.0277865853	-0.0670770152	0.0358808406	0.0783923578	-0.037943609	0.0624775827	0.0198053328	0.0473860205	0.0506578103	-0.0505506748	0.0556347599	0.0713561538	-0.0147672806	0.1410909329	0.0555387741	0.0249820507	-0.0426050542	-2.51247e-05	-0.0150880084	-0.1414258636	0.0337510092	0.0664009461	0.0168257632	0.0831021296	-0.1157175886	-0.1644034859	0.036322621	0.1573463176	-0.1752226087	-0.0253239198	0.1452985268	0.1225142432	-0.1174203453	0.2250425833	-0.0273881595	0.0659723237	0.2331193826	0.1854426256	0.0126166895	-0.0652214397	-0.0518770241	-0.0106917436	-0.1384304759	0.0107413563	0.0034470999	0.1214678298	0.0917498846	-0.1176083882	-0.1064252387	-0.1123729875	-0.0318192307	-0.080007458	0.081678641	-0.0380558979	0.0866829389	-0.0193509627	-0.0399463308	0.0938024636	-0.1507330647	0.0428019102	-0.0338017256	-0.0989887184	-0.0084995748	-0.0628033424	-0.0799855529	0.0484710021	-0.0554475267	-0.017459659	-0.1072049263	-0.0364535257	0.1562538428	-0.0632894853	0.1005616485	0.2203292706	0.0776469812	0.0418897922	-0.0671142721	-0.202737796	0.1730427858	-0.155757847	-0.0263306565	-0.0305145758	0.1819374628	-0.1384664954	-0.1705327482	0.1551540072	-0.1230122021	0.0285072131	-0.1383572891	-0.0556394625	0.0465225019	-0.0432969043	-0.0866984548	0.0236049429	-0.0143703939	-0.0907436437	-0.0788219079	0.0026564359	0.0692272935	0.0689928752	0.0784411208	-0.0712800681	0.0984370381	-0.0919417796	0.1236797602	-0.1353736836	0.1542228642	-0.0368615277	0.1125037874	0.1059762505	0.0953761056	-0.0481296	0.0101611999999999	0.0001032499854399	0.00231645839616	-0.0854102	-0.1012815	0.00729490226404	0.01025794224225	-0.0260261	-0.03227267	0.00067735788121	0.0010415252289289	0.000403818	0.001116249	1.2460118300010005e-06	1.6306897712400002e-07	-0.0014444	-0.000751288	2.08629136e-06	5.644336589440001e-07	-0.000221031	-0.0001620484	2.6259683942560006e-08	4.8854702961e-08	0.0	0.0	0.0	0.0	0.0
