global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13
756.7026196703633	n/a	572598.8546159905	n/a	834.0391158748872	n/a	n/a	695621.2468093636	741.5326934760127	n/a	549870.7354937902	n/a	746.8468756930423	545.0776722654099	n/a	n/a	n/a	n/a	-0.1371622893	0.065691793	-0.012671154	0.0563714034	-0.1412001978	0.004671015	-0.0668830376	0.1020558405	-0.1101008787	0.0152742114	-0.0499086472	0.1053387322	-0.2137848574	0.0187398655	0.0672763308	-0.1052118318	0.0891055671	-0.0259056515	0.1355517385	-0.0519748286	-0.1799723087	0.0309937482	-0.040055191	0.0430195744	-0.0163934073	0.0232368408	-0.0192941847	0.1444943984	-0.0364944444	0.0119509842	-0.0526399502	0.0149590669	-0.0129283541	0.2211280358	-0.0939574015	0.0554210897	-0.0569508134	0.0882715973	-0.1085111585	0.0401273294	-0.0617740346	0.0296624878	-0.0805532472	0.0548109167	-0.0828668724	-0.0680322605	0.0003244722	0.1646787236	-0.0303131604	0.0969935089	-0.174078291	-0.006918954	-0.0670072199	0.026493243	0.0569770463	-0.0531880669	-0.0536752632	0.1046371642	0.0279381813	0.0104996166	-0.1285856346	0.0449255231	-0.0797468511	0.1675046577	-0.2047883857	0.0115459538	0.0013556013	-0.0124939417	0.0473020328	-0.0711855366	0.0740378673	-0.1032138997	0.0614718985	-0.0565028922	0.0386739261	-0.0342757799	0.131069907	-0.0126991478	0.1099415812	-0.0231876728	0.0698987207	-0.1921926792	0.0478243664	-0.085764079	0.0935089107	-0.0359109297	0.0095737373	-0.0582404913	0.0515380962	-0.0184447686	0.0665857783	0.014553255	-0.1529658196	0.0542587892	-0.1147658425	-0.0230484619	0.0023147599	0.0762962764	-0.023367019	-0.0333634861	0.1156427526	0.0335197345	0.130206796	-0.0508875778	-0.0210393356	0.1147017419	0.1146833673	0.1146527451	-0.190918	n/a	n/a	0.036449682724	0.15653	n/a	0.0245016409	n/a	0.0950435	n/a	0.00903326689225	n/a	-0.000850774	n/a	n/a	7.23816399076e-07	-0.00396555	n/a	n/a	1.57255868025e-05	0.00325644	n/a	n/a	1.06044014736e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
753.9156411500632	-2.786978520300181	568388.7939707108	7.767249272614587	832.1479309602884	-1.8911849145988529	3.576580381206269	692470.1790014888	740.8093210697654	-0.7233724062473357	548798.4501838468	0.5232676381200605	745.7834450250502	512.8657435166322	1.290843	28.234982	0.2131128	0.0925278	-0.3179011514	0.0819456821	0.0061462343	-0.0781199641	-0.0236121922	0.1791531311	-0.0655722897	0.0814458324	-0.0093652455	-0.052348632	-0.0714390033	0.0266207214	0.0181971333	-0.113476026	0.0439373747	0.0553462751	0.1609124555	0.0473978671	0.2250935291	0.0544939848	-0.0437856718	0.0841683979	-0.0172574306	-0.0049594348	-0.0352667668	-0.0435457325	0.0628837622	-0.0595220352	-0.016134664	-0.0913068986	0.0295693768	0.1185713576	0.1071629353	-0.0071972081	0.0844229062	0.127243765	-0.0835857183	0.0497939606	-0.0025824344	0.1024312157	0.0713873495	-0.1790419643	-0.0035168449	-0.005878297	-0.008742125	0.0340197189	0.0002015075	0.0908800144	-0.0777920763	-0.0580235693	-0.1888525141	-0.0172126444	0.0898677961	-0.0593903407	0.0083579463	-0.0854159559	0.11854634	0.1455103253	0.001871062	-0.0073074805	0.0732802002	0.1405448319	0.0381623374	0.0173916528	-0.2518420508	-0.0089089993	-0.0319344939	0.0242521104	-0.0622838607	0.0293226786	-0.0299738478	0.0689684064	0.0002300795	0.0579932962	0.0149630154	-0.0769006483	0.0401564897	0.1552573617	-0.0661381661	0.0158279442	0.0275729506	0.0368732239	0.0398838017	0.0782978686	-0.0269592382	-0.0582223585	-0.0681869972	-0.0249245143	0.1105693604	-0.0166306795	0.0995703885	-0.0065479682	-0.0049952007	0.1129855129	0.0772032171	0.0897074231	-0.091278521	0.0030223937	0.071276286	0.0174314881	0.1743592755	0.1439679837	-0.1247087817	-0.0069865473	-0.035571387	0.1146527451	0.1144874327	0.1142120884	-0.156702	0.0342159999999999	0.0011707346559999	0.024555516804	0.198115	0.041585	0.039249553225	0.001729312225	0.123296	0.0282525	0.015201903616	0.00079820375625	-0.00175183	-0.000901056	8.11901915136e-07	3.0689083489e-06	-0.0044817	-0.0005161499999999	2.664108225e-07	2.008563489e-05	0.00402042	0.00076398	5.836654404000001e-07	1.61637769764e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
755.2905782251323	1.3749370750691696	570463.8575556547	1.8904519603997636	830.1224707446116	-2.0254602156767305	4.102489085289228	689103.3164351386	740.1939572658745	-0.6153638038908866	547887.0943729152	0.3786726111390616	745.3820051168593	536.5879441365694	1.079013	23.601568	0.0867115	0.0480939	-0.1595696329	0.1073426999	-0.103830281	-0.0061276915	-0.0128087679	0.1336090791	-0.0486263751	0.1229507183	-0.0547624785	0.0571554175	-0.033786139	0.0315983782	0.0227629062	-0.140084558	-0.0346378111	0.1198828316	0.1855344216	-0.0306664701	0.1352584568	0.0147084423	-0.0672057707	-0.0239959315	-0.0062630005	-0.0958528219	0.0226455959	-0.0431827948	-0.035399734	-0.0258131137	-0.0102244581	-0.0414261688	-0.1390235686	0.1404773983	-0.1151721773	-0.0290442881	0.0554756905	0.0492578421	-0.1077303618	-0.1307309986	0.1230728996	-0.010450281	0.1341643531	0.0264973297	0.0172993519	-0.0615374774	-0.0096904966	-0.1131799956	-0.049620874	-0.0241967684	-0.0684503024	-0.06565358	-0.0070524533	0.0247926174	-0.0619513634	0.0901662138	-0.0996209226	-0.0127047171	0.1292978236	-0.0109950425	-0.1705600403	-0.0090742897	0.0167111924	0.164215934	0.0149429238	0.0407541803	-0.1338108375	0.0475053754	0.0372195852	-0.0154237322	0.0449629522	-0.0629326217	-0.0848393518	0.0094283524	-0.0526347126	0.0554525973	0.023839422	-0.0634819222	0.0498319806	-0.036589417	-0.1584118899	0.138444606	0.0808580203	-0.0220909824	0.0357035006	0.0778642324	-0.0083734431	0.0980450901	-0.120221998	-0.1080543801	0.0484092676	-0.0726160351	-0.1087050715	0.0513927241	-0.0654573321	-0.0653042334	0.0373897683	0.0585238051	-0.1176258785	-0.0108514413	-0.0275595368	0.1208176393	0.0379188874	-0.0904883643	-0.0566164094	0.0325919035	0.0008672217	0.1145547726	0.1140958982	0.1133324686	-0.140275	0.0164269999999999	0.0002698463289999	0.019677075625	0.170371	-0.027744	0.029026277641	0.000769729536	0.131465	0.0081689999999999	0.017283046225	6.673256099999992e-05	-0.00175183	0.0	0.0	3.0689083489e-06	-0.0044817	0.0	0.0	2.008563489e-05	0.00470785	0.00068743	4.725600049000002e-07	2.21638516225e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
757.6312770604412	2.340698835308899	574005.151980235	5.478871037616437	827.1167096645188	-3.0057610800928387	9.034599670600867	684122.0514062599	740.3336944994911	0.1397372336166427	548093.9792112658	0.0195264944588321	744.4608418990554	540.8286999524904	0.878807	19.222391	0.0998988999999999	0.0628464	-0.1642769082	0.1213661787	-0.0983332955	-0.0655470312	-0.0759613689	0.1664300636	-0.0880044813	0.1077453109	0.0479049824	0.1606504548	0.0436514766	0.0351482982	0.0026830069	-0.0100245364	-0.0201010275	0.0881949556	0.1871874927	-0.0082255389	0.0972520065	0.0900677266	-0.0713186598	-0.0592616935	-0.042886032	0.0196203782	0.0796149268	0.0313373342	0.0382554535	-0.0450615826	0.0997005372	0.030405824	-0.0311002227	-0.1300298974	0.0176166645	0.011826925	-1.7753e-05	-0.0309493096	-0.0427865407	-0.1295129387	-0.029038226	-0.0948808902	-0.026150586	-0.0208104103	0.0800048806	0.0231208658	-0.0516027634	0.1528281598	-0.0460703531	0.0630549781	-0.0043898779	-0.0539041531	0.054175816	-0.2210878257	-0.051678664	0.12089557	-0.0648296669	-0.0611179991	0.0402103508	-0.0440604008	-0.008242571	-0.0379676036	-0.0086430358	0.2206766895	-0.0088720055	0.0191540925	-0.0805480963	-0.0806826814	0.0045789254	0.0305578991	0.096394603	0.0474923849	-0.0475866485	0.0916999526	-0.0019493263	0.0135823746	0.0482869205	-0.0681276081	-0.0012107138	-0.1356560479	0.1289070314	0.0601787134	0.0348344369	0.0447557451	0.074878369	0.0082111099	-0.0478399892	0.0114108955	0.0483718031	0.115308452	0.0252257479	0.0295775342	-0.0834345069	-0.0061345931	-0.1273450105	-0.003662933	0.0323999769	-0.1146116644	0.1193104577	0.065517846	-0.041389063	0.1150424539	0.009560226	0.0109245616	-0.0803519488	-0.1279178269	-0.0970238687	0.1144078661	0.1135094328	0.1120172664	-0.13805	0.002225	4.950625000000021e-06	0.0190578025	0.131935	-0.038436	0.017406844225	0.0014773260959999	0.0824786	-0.0489864	0.00680271945796	0.00239966738496	-0.00175183	0.0	0.0	3.0689083489e-06	-0.0044817	0.0	0.0	2.008563489e-05	0.00491288	0.0002050299999999	4.20373008999997e-08	2.41363898944e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
757.7905641662683	0.1592871058270475	574246.5391394312	0.025372382082757	831.0811521134128	3.964442448894033	15.71680393059292	690695.8813981577	740.1541513378735	-0.1795431616176301	547828.1677426877	0.0322357468836544	744.8885057456242	556.9748990780545	1.059452	23.173693	0.2641094	0.13218	-0.1093652345	0.1357831015	-0.0748758823	0.0710735758	-0.1579576641	0.0937507722	-0.0552743465	0.0497388497	-0.1049883081	0.130629025	-0.0799710139	0.0386280467	-0.0850788858	0.0135714089	0.0829524313	-0.0569184855	0.1890334789	-0.0443544231	0.0867147154	0.0149081652	-0.115724578	-0.0299445534	0.0035966987	0.0420799983	-0.0151263882	0.0069673956	0.018347527	-0.0668138484	0.026164339	-0.1478837277	0.1024630378	-0.1742574594	0.0300336119	0.02749405	-0.1099098712	0.0919064122	0.046663401	0.0300302261	0.082970663	0.0192159432	0.139733399	0.0249387169	-0.0834928392	-0.0502795591	-0.2229759287	-0.0207125925	0.0280645701	-0.2260488731	-0.029334833	-0.1107400165	0.1236979692	0.0880112135	-0.0977020562	-0.1114751547	-0.0356048912	0.0222648362	0.0063739946	0.1220967793	-0.0140967578	-0.0560634338	-0.0057306283	0.1842468728	-0.0180450058	0.0570812578	-0.0928501232	0.0364374588	-0.0193363701	0.0117587651	0.077603557	-0.0401132053	0.0860288181	0.0329322792	-0.0366951346	-0.0881688703	-0.2068682247	-0.1160004295	0.0398264491	0.0933816615	0.056862269	-0.0391927203	0.0453328585	-0.0738871478	0.0199595962	0.0450398122	-0.1445516525	-0.006941876	0.0836385504	-0.1182123341	0.0529344478	0.2345590589	-0.0284638563	-0.0395275081	-0.0077442598	0.0843537157	0.1917859713	0.1009039998	-0.0863267564	-0.0880750574	-0.0552586445	-0.0589411354	-0.0850049119	-0.0492001929	-0.0367890633	0.1994312545	0.0774154639	0.1142120884	0.1127290384	0.1102715368	-0.146102	-0.008052	6.483470400000006e-05	0.021345794404	0.229031	0.097096	0.052455198961	0.009427633216	0.127307	0.0448284	0.016207072249	0.00200958544656	-0.00175183	0.0	0.0	3.0689083489e-06	-0.00332301	0.00115869	1.3425625161e-06	1.10423954601e-05	0.00378891	-0.0011239699999999	1.2633085608999994e-06	1.43558389881e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
756.7705004188617	-1.0200637474065388	572701.5903042144	1.040530048773071	832.6425746009223	1.5614224875095033	2.438040184500365	693293.6570380526	743.1312914672353	2.9771401293618283	552244.1163577611	8.863363349856563	749.1978810594851	545.8380677627679	1.114104	24.369118	0.4544350799999999	0.241719	-0.0962397528	0.047498446	-0.0461685518	0.0255417189	-0.0260994614	0.0201991516	0.0510379046	0.156316881	-0.0280950297	-0.0639909764	-0.0753052049	0.1246298713	-0.1692265117	-0.0170038477	0.1250646217	0.0399967919	0.0086024373	0.1220516476	0.1737403932	0.0256035088	-0.143063133	0.0655004818	0.0335280509	0.128905114	-0.0531592348	-0.0146266918	-0.0654478501	-0.0501801981	-0.0561454481	-0.0998283537	0.0498207912	-0.0018357921	-0.0453736337	0.125453757	-0.0713532362	-0.0677775044	0.0358227075	0.0260995733	-0.0916241588	-0.1275088448	-0.0233660393	0.0273393481	-0.1034469842	-0.0834759977	0.0485284043	0.0182283085	0.0097189512	0.1036217864	0.0693395865	0.0789656425	0.0838903447	0.0834628226	-0.1251040714	0.1369551905	0.031674421	0.0420676795	-0.0299494614	-0.0905973821	0.0796715845	0.184742835	0.0596340367	-0.0540535291	0.0650539434	0.1160483538	-0.231514672	-0.0369263706	0.0270637822	0.0151589437	0.0182478306	-0.1199728281	-0.0240734871	0.0952658019	-0.0797958299	-0.0665602093	-0.066944479	0.0454048555	0.0893215133	0.0582184008	0.066687423	-0.16489632	0.0245800468	-0.0585875719	-0.0103921023	-0.0973358728	0.152026289	-0.0576079048	-0.0571808589	0.0425703341	-0.163099581	0.0101584334	0.0502646773	-0.1468177835	-0.0726885596	-0.0271785276	-0.0934439231	-0.2206263697	-0.1286223692	-0.017685762	0.0072636073	0.0942442002	-0.1100894869	-0.0712367284	0.0509873941	-0.001053914	0.0637821037	0.1139675232	0.1117560484	0.1081019891	-0.162947	-0.016845	0.0002837540249999	0.026551724809	0.0461318	-0.1828992	0.00212814297124	0.03345211736064	-0.00404178	-0.13134878	1.63359855684e-05	0.0172525020074883	-0.000192438	0.001559392	2.431703409664e-06	3.7032383844e-08	-0.00381257	-0.00048956	2.396689936e-07	1.45356900049e-05	0.00337102	-0.0004178899999999	1.7463205209999978e-07	1.13637758404e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
756.6664694175455	-0.1040310013162297	572544.1459408134	0.0108224492348574	836.892889296049	4.25031469512669	18.065175007609888	700389.7081542889	742.3800019041274	-0.7512895631078891	551128.0672271722	0.5644360076348428	747.7522390741232	549.860934250877	1.06699	23.338585	0.38871908	0.217996	-0.0986753324	0.0993937774	-0.0873823262	-0.0313604568	-0.0667373624	0.1112554662	-0.0376694901	-0.0484233887	-0.0267491098	-0.0339068853	-0.1542385382	0.0417604857	-0.0669006428	-0.107717963	0.1252220257	-0.0751971267	0.059043801	0.0033815561	0.1372407536	-0.0452622048	-0.1135896332	0.1938463456	0.0230790182	0.033128182	0.0107503543	0.0638046032	0.1382912746	0.1027210206	-0.0133697213	-0.0458408235	0.0190399922	-0.0532295924	0.0993308825	-0.0675761411	-0.1234859715	-0.0268203722	-0.02704292	-0.0924244691	0.1404208423	0.0065385095	-0.0256264294	0.0266198597	0.014386429	0.0459884807	0.0260262732	-0.0080992718	-0.0984321319	0.0434381362	-0.0306215345	0.0592005214	0.0872696014	0.0523628016	0.1482668503	-0.0065879563	-0.0006710521	-0.0758315436	-0.0134516806	0.0070311478	0.0258485342	0.0664057169	0.1770114746	0.0272798917	-0.0328086102	0.0482111973	-0.2209032108	-0.0132442011	0.0042103466	-0.093919324	-0.1080098997	0.0727154554	0.022187209	0.0705723992	0.0673639003	-0.0660729645	0.0216136483	-0.1606122922	-0.1001650778	0.0844220152	0.1114904441	-0.1152525239	-0.0516470573	-0.0230261011	0.0239616276	0.0379727789	-0.0724403694	0.0567437557	-0.001687534	0.0565348252	0.0392255306	-0.071068298	-0.1587323418	0.0594349605	0.0500995296	-0.0869379637	0.1157975891	-0.0216035629	-0.0235122119	-0.0163652244	0.0106037859	-0.018715549	-0.0322197608	0.1845991898	0.0121591938	-0.0516508793	0.0787891868	0.1136742748	0.110592125	0.105516962	-0.112516	0.050431	0.002543285761	0.012659850256	0.183436	0.1373042	0.0336487660959999	0.0188524433376399	0.148305	0.15234678	0.0219943730249999	0.0232095413763683	-0.00116518	-0.000972742	9.46226998564e-07	1.3576444324e-06	-0.00381257	0.0	0.0	1.45356900049e-05	0.00337102	0.0	0.0	1.13637758404e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
754.6988313366166	-1.9676380809288505	569570.326020855	3.871599617521369	830.4670802951955	-6.425809000853519	41.2910213154501	689675.5714540267	740.5832324856786	-1.7967694184487757	548463.5242389367	3.2283803430727507	745.6591656114367	535.2143545113609	1.012959	22.156738	0.1145964999999999	0.0558977	-0.1384926514	0.0891670207	-0.0768496104	-0.1027671004	0.0686737853	0.1928344653	-0.0302827446	0.0763015001	-0.0344423633	-0.0160752805	0.0345424817	0.0695744162	0.0860827757	-0.0485980596	-0.0398142007	0.0843380285	0.1581450438	-0.0165073402	0.0377314731	0.0533337548	0.0019325734	-0.0070090123	-0.0282953729	-0.1472894422	0.1167210642	-0.0067292172	-0.0540405416	0.041594254	0.0493862716	-0.1035418716	-0.0349042232	-0.0612312574	-0.0752778614	0.0298859928	0.0110311399	-0.1122287823	0.0387610104	-0.0175799128	0.1114479591	-0.0499175502	0.1171552488	0.1437260911	0.106295027	-0.1313115025	-0.0184482152	-0.0260037808	0.0394838774	-0.0438729085	-0.0104626198	0.1007774006	-0.0043392399	-0.0360113397	0.0093028599	0.0352450953	0.1125330734	0.0186128425	-0.0089258237	-0.0476507953	-0.0122049444	-0.1170102896	0.0215740748	0.1492410353	0.0382642369	-0.0236201084	-0.037527357	0.0373762188	-0.0041852856	-0.0417892919	-0.0163371305	-0.0094044722	-0.2098455699	-0.0300664491	-0.0572213221	0.0509318341	0.0048372078	-0.0626859599	0.0784700761	-0.0210007451	0.0321571783	0.0285916856	0.0490848547	0.0962014655	0.0990096108	-0.1108468643	-0.0079410451	0.043564672	-0.0147690188	-0.0458443427	0.0078897442	-0.0386594784	-0.1648216721	0.0719607976	0.0367626621	-0.0277252497	-0.0319153053	-0.0014772921	-0.0816085989	0.0444520422	-0.0467028789	-0.0907531208	-0.0847678675	-0.1177853703	0.12952862	0.0537077392	0.0631147618	0.1133324686	0.1092392569	0.1025263906	-0.12375	-0.0112339999999999	0.0001262027559999	0.0153140625	0.152945	-0.0304909999999999	0.023392173025	0.0009297010809999	0.130868	-0.0174369999999999	0.017126433424	0.0003040489689999	-0.00114287	2.2309999999999995e-05	4.977360999999998e-10	1.3061518369e-06	-0.00325669	0.0005558799999999	3.090025743999999e-07	1.06060297561e-05	0.00284052	-0.0005305	2.8143025000000017e-07	8.0685538704e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
758.5147888559563	3.8159575193396895	575344.684913196	14.561531789405125	833.110779942702	2.643699647506537	6.989147826226189	694073.5716567372	741.1052025460034	0.5219700603247475	549236.9212407527	0.2724527438754205	745.5640047627763	554.9325996283442	1.080058	23.624407	0.1294363	0.0595537	-0.0493111215	0.0706613457	-0.0419454688	0.0171458826	-0.0020304198	0.095216715	-0.0084484085	-0.0001733923	-0.0107561599	0.1210414553	0.0294133038	0.0956645615	-0.0931394161	0.0525443366	0.0217493073	0.0246129061	0.0948349379	-0.0181722442	0.073915509	0.0575016011	-0.0083539763	-0.1452584082	-0.0177705081	-0.0431162223	-0.0441598665	0.0476155002	0.0581613228	-0.1146028285	-0.0078530389	-0.0596212077	-0.0141426161	-0.0534414585	-0.0517943155	-0.0500217885	0.0465382619	0.1325935847	-0.0411716769	-0.0213405681	0.0589054763	-0.0766437609	0.0020579557	-0.0461094438	0.0363711848	0.0885307542	0.1329846448	0.0697647529	0.0574075875	-0.0027143806	-0.0612722295	-0.0047536739	-0.0582557467	0.0725974566	0.0762189624	-0.1145030775	-0.1222435064	0.0142298279	-0.0689014468	-0.0107824499	0.1112767096	0.2209736464	-0.1047862222	0.128581983	0.000512217	-0.024877336	-0.0580553177	0.0047411418	0.0168256083	0.0013245873	0.1168949947	0.02867703	0.037115589	0.0750260968	0.108935752	0.0638541078	-0.0296239923	0.0010608509	0.0228986863	0.0032301983	-0.0744140913	0.0504889967	0.0859753796	0.0562347004	0.0202478929	0.0541308512	-0.1885651155	-0.0756629858	-0.1016069401	0.017584901	-0.0492647826	-0.0657502218	0.1035289402	-0.0697320571	0.1008807428	0.0306644417	-0.0097422295	-0.1211520999	0.1321575561	0.066802832	0.2301876591	-0.08543829	0.0145886706	-0.0001557512	-0.0017404538	-0.0601199525	0.1210317122	0.1129422506	0.1076997553	0.099141769	-0.129512	-0.0057619999999999	3.320064399999988e-05	0.0167733581439999	0.140377	-0.0125679999999999	0.019705702129	0.0001579546239999	0.0929812	-0.0378868	0.00864550355344	0.00143540961424	-0.0017319	-0.0005890299999999	3.469563408999999e-07	2.99947761e-06	-0.00287233	0.0003843599999999	1.477326095999999e-07	8.250279628900002e-06	0.00234952	-0.000491	2.410810000000001e-07	5.520244230399999e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
757.5413654289231	-0.9734234270332536	573868.9203359172	0.947553168297164	832.5426821121476	-0.5680978305543931	0.3227351450806079	693127.3175384885	741.1708305820229	0.0656280360194614	549334.2001056456	0.0043070391117717	746.440232348984	560.5688557281364	1.155564	25.275976	0.29428975	0.149795	0.0195692016	0.0243548008	-0.011801295	0.0866694012	-0.022583521	-0.0095036108	-0.0792264557	0.0641443189	0.032452013	-0.0313944246	-0.038914401	0.1516641068	-0.1178665867	0.1131996671	-0.1051911003	-0.0684769581	0.0329569925	-0.0058477839	-0.0059762834	-0.116903756	-0.0573460533	-0.0690523133	0.0136791226	0.078252388	-0.035050576	-0.0154495801	-0.0250303423	0.1317695434	0.0573350937	0.0434248759	-0.0126903536	-0.1028085924	-0.0635512732	0.0258614988	-0.0653265462	0.0101969801	-0.0997741222	0.0160434993	-0.0180005822	0.0352478311	-0.0462793496	0.0325858501	0.0561603088	-0.060767149	-0.0128901104	-0.1337897214	-0.0877644043	-0.1007503464	0.0358789897	0.0460531576	-0.0186210078	-0.093014278	-0.0956662282	-0.0280655371	-0.0415424373	0.1363130744	0.0017579818	0.0591155767	-0.0807245054	-0.116661345	0.1732762153	0.0104262825	-0.0690997446	0.1526934364	-0.0280937816	0.0120893299	0.0657030104	0.079800935	0.0165012581	-0.0490592963	0.015274934	-0.1522074328	0.0450905843	-0.0303482395	-0.0733005521	-0.0154485003	-0.023510108	-0.1095941007	0.1553544134	0.0520725916	-0.0132704064	-0.1076112695	0.0166401988	0.0089191499	0.1510238893	-0.079841035	0.0235016255	-0.0474610014	0.0488957957	-0.0236877291	-0.0347639935	-0.0424596124	0.0113315294	-0.1332827935	0.0605825929	0.1456680461	-0.0293973415	0.1844615683	-0.1840311549	-0.0143423255	-0.0184545843	-0.1016865098	-0.0182553217	0.0507034389	-0.0028482182	0.1125037874	0.1059762505	0.0953761056	-0.139991	-0.010479	0.000109809441	0.019597480081	0.0436858	-0.0966912	0.0019084491216399	0.00934918815744	0.0262639	-0.0667173	0.00068979244321	0.00445119811929	-0.000216265	0.001515635	2.297149453225e-06	4.6770550224999993e-08	-0.00287233	0.0	0.0	8.250279628900002e-06	0.00145711	-0.00089241	7.963956080999999e-07	2.1231695521e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
