global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
753.0651804331465	n/a	567107.1659808074	n/a	813.2316064871848	n/a	n/a	661345.6457897273	728.6328585851088	n/a	n/a	530905.8426099072	739.6516364856383	590.9473097361769	n/a	n/a	n/a	n/a	-0.0942702181	-0.0027108624	0.0811402867	-0.0385294735	0.0686377689	-0.0798770636	0.07638227	-0.0856860748	0.0451088738	-0.0090918855	0.1074484535	-0.0736237416	0.1990728803	0.2257863553	-0.0087032194	0.3286184166	-0.2430667873	0.0677181473	-0.041842025	-0.185451812	0.1730359713	-0.0425147039	-0.0253968157	0.0738665685	-0.0718317416	0.0630568617	-0.1565626953	-0.0193331153	0.0249468625	-0.0081367162	0.0139069964	-0.0287267793	0.0519959891	-0.1242882733	0.000319331	-0.03427562	0.0097828203	-0.0349023654	0.0652847663	-0.0535343641	0.0725558386	-0.0623134754	0.0014102029	0.0387902348	-0.0770169646	0.1301365918	-0.0408847084	0.1700283248	0.0715735042	-0.0684504513	-0.1068208883	0.0790742744	-0.0821985203	-0.0174860365	-0.0602938117	0.0757182451	0.0607873946	-0.0717676852	-0.131168562	0.006471765	0.0460261798	0.0218695205	-0.1194665109	-0.0351742595	0.0580382538	0.0481631264	-0.0308434474	-0.1747782813	0.0183256248	-0.1201438333	0.0504092054	-0.0219005515	0.0540762511	-0.0413419284	0.0874959184	-0.2030842009	0.0496535247	-0.0022634194	0.0804821908	-0.1247564214	0.035955579	-0.1062944766	0.0322786758	-0.1522098749	0.0113085252	-0.0860781964	0.0535578448	-0.1005775558	0.0370675788	-0.090171421	0.0076405897	-0.0832656826	0.0359987842	-0.0933473333	0.1088193887	-0.0088542269	-0.001888211	-6.98032e-05	-0.138982037	0.0903491245	-0.0855054552	0.0781601767	0.0368759919	-0.062859746	-0.0206036575	-0.1157500141	0.1132081131	-0.133598483	-0.0061225424	0.146713893	0.1681256504	-0.0728095306	-0.0813183687	0.1147017419	0.1146833673	0.1146527451	-0.0946219	n/a	0.0089533039596099	n/a	-0.186337	n/a	n/a	0.034721477569	-0.109167	n/a	n/a	0.011917433889	0.00140267	n/a	1.9674831289e-06	n/a	-0.0	n/a	n/a	0.0	-0.00124682	n/a	n/a	1.5545601124e-06	0.0
752.4856722893793	-0.579508143767157	566234.6870007991	0.3358296886924559	805.3733600843698	-7.858246402814984	61.75203652735464	648626.2491335879	727.9023346812927	-0.7305239038161062	0.5336651740467236	529841.8088344766	738.1447936368545	587.3520365427182	1.047401	20.838503	0.1705131999999999	0.0944228	-0.0888421548	-0.0136356775	0.0838218815	0.0886557045	0.0617359641	-0.0121124668	-0.0495983791	-0.1889778091	0.0216030373	0.0989785277	-0.0956944884	-0.0972683881	0.0716405907	0.0815203255	-0.1129937632	0.0894574011	-0.1416057133	0.0128140994	0.1124770398	-0.1419499992	0.1263173364	0.1088352891	-0.0114824159	0.0313713698	-0.1011181142	0.0363462612	0.0136309478	0.0285253704	0.0482843125	-0.0854768286	0.1217085696	0.0298364674	-0.0717635394	-0.0192732825	0.0320430711	-0.1369508922	0.081861724	0.009288951	-0.0126464477	-0.1127915917	0.0673295894	-0.0088147656	-0.0196952283	-0.0221219064	-0.1683638012	-0.0924219957	0.0342379903	-0.0623675103	0.0594273545	-0.0125686735	-0.1123330036	0.0587841717	0.0164873374	0.0400885767	-0.1220270895	0.0937856856	-0.0255454787	0.0284527359	0.0448339608	0.0273309278	-0.0449119784	-0.0226718385	-0.0538765531	0.0545849827	0.2298968266	-0.0535105584	0.0350032099	-0.1307324578	-0.1069736029	-0.0512731796	0.0170064522	-0.1323871111	0.0694861849	-0.1025160751	0.035338412	0.01309817	-0.0730726904	-0.0193459866	-0.015976991	-0.1556530315	0.016949269	-0.0698652791	0.1043913461	-0.000209359	-0.0343767221	-0.1339401106	0.0379379949	-0.036761864	0.1472171442	-0.16314426	0.0337015062	-0.0823191801	0.0206023071	-6.5885e-06	-0.0434315301	-0.0520687389	0.0950898978	-0.0362899506	0.0165137748	0.0850234807	0.0241162863	-0.018718184	-0.1478209159	0.01796803	0.0626144687	-0.0285313664	0.1215440507	-0.0769856069	0.0697655294	0.0466104176	-0.0161791729	0.0756485994	0.0927193099	0.1146527451	0.1144874327	0.1142120884	-0.090339	0.0042828999999999	0.008161134921	1.8343232409999934e-05	-0.121451	0.064886	0.004210192996	0.014750345401	-0.0422752	0.0668918	0.00447451290724	0.0017871925350399	0.00178343	0.0003807599999999	3.1806225649e-06	1.4497817759999997e-07	-0.0	0.0	0.0	0.0	-0.00155511	-0.0003082899999999	9.504272409999997e-08	2.4183671121e-06	0.0
752.0469874793988	-0.4386848099804865	565574.671376839	0.1924443625076155	807.547267543152	2.173907458782196	4.725873639348865	652132.5893164111	727.5443659246142	-0.3579687566784741	0.1281416307579326	529320.804388649	738.031690094631	593.1580879206336	1.082975	21.546263	0.0288995999999999	0.0157662	-0.0624952983	-0.0601299064	0.0368273317	0.0282141931	0.0289095553	0.0469786272	-0.0709686986	-0.0551810436	0.0008412795	0.0214269459	0.1470044317	-0.0173633069	0.0880101405	0.0248823846	-0.0249534042	-0.0139224042	-0.0412867934	-0.0053765694	0.0157239822	-0.0927662863	0.0759290413	0.1256127742	-0.0378258213	0.1336465412	0.0028390509	-0.0146184461	-0.0485750625	-0.1150405671	0.0572581753	-0.0135983287	-0.0670589985	-0.0862159259	0.0871991404	0.1070531363	0.024917481	-0.0588104005	-0.0168575647	0.0414013117	0.1103473895	0.0246103889	-0.0721173713	-0.0487749399	-0.0121532439	-0.0042504773	-0.001102883	-0.0447853324	-0.0561166751	-0.0088320547	0.1541732172	0.060128168	0.0518459501	0.0151942535	-0.1410629783	0.1781991759	0.118075169	0.087207831	-0.0186509103	-0.1377351811	0.0263837912	-0.106425065	0.1056465184	-0.0184269411	0.0108777046	-0.0859015526	0.0669846965	-0.0567910778	-0.0074573191	-0.0654053171	-0.0921443111	0.0101683871	0.0814806111	0.0425838745	0.13573831	0.0075960034	0.1274949206	-0.0092837781	-0.021886046	0.0400086877	0.0770327433	-0.1065877501	0.1332293296	0.0182072136	0.00039932	0.0155291608	0.0178099282	-0.0589458306	-0.0078398255	0.0615064442	-0.1196870901	0.0653212631	-0.0310652615	-0.021618648	0.0645836382	0.0785805734	-0.1157847072	-0.0930813649	-0.0334817251	0.1955334953	-0.1339859777	0.0161813139	0.025698972	0.0252247909	0.0698804346	-0.0307362091	0.1764676188	-0.0183558916	0.0092545415	0.075302405	-0.024558954	-0.0589542935	0.0449602549	0.1341642217	0.0036211812	0.1145547726	0.1140958982	0.1133324686	-0.0977721	-0.0074330999999999	0.00955938353841	5.525097560999997e-05	-0.130652	-0.0092009999999999	8.465840099999975e-05	0.017069945104	-0.0422337	4.149999999999987e-05	1.722249999999989e-09	0.00178368541569	0.00197723	0.0001938	3.9094384729e-06	3.7558440000000026e-08	-0.0	0.0	0.0	0.0	-0.00160579	-5.068e-05	2.5684623999999996e-09	2.5785615241e-06	0.0
749.9480773978114	-2.0989100815874053	562422.1187926737	4.405423530589249	804.0156690642237	-3.531598478928231	12.472187816368196	646441.1961007913	725.87730207926	-1.667063845354278	2.779101864487392	526897.8576738652	736.5701739166631	595.1294358126328	1.132116	22.523943	0.2361898	0.112435	-0.0640134182	-0.0444215741	-0.0570630533	0.10038665	0.0014784283	0.086047792	-0.0387887276	-0.0341541762	-0.0227205267	-0.0294188529	0.1132629077	-0.0393251597	-0.1216539108	0.1622204185	0.0345477649	0.055321846	-0.0720750027	0.190336115	0.0209232116	0.0029902553	0.0097164787	0.1072149185	-0.0354188844	0.0593277227	0.0770505062	-0.0828692394	-0.2544292197	0.0411199434	0.0960767438	0.0192732728	-0.0138298277	0.0406735595	-0.025607498	0.0503379368	0.1356505452	-0.1093704913	-0.1377697605	-0.0161146108	-0.0155182186	0.0397465107	0.0778248631	-0.1347326033	0.0171436002	0.000524067	0.135650583	-0.0111839537	0.000231906	-0.0147320869	0.1290596416	0.0430649961	-0.0392848835	-0.0084536297	-0.058534014	-0.0007319045	0.0845076204	-0.0443896739	-0.0035362479	0.1768475144	0.0161871266	0.0704691462	0.0274474929	0.00952373	0.1361614781	0.0797036063	-0.0045872797	-0.1514930387	-0.0512888839	-0.008946333	-0.0918142295	0.0297954957	0.0184253201	0.0260151327	-0.0965730393	0.0863595787	0.0845095494	-0.1650988887	-0.0715361034	0.0809282334	0.087049416	-0.1020349333	0.0690379834	0.0193360533	0.1016656644	0.1289241406	0.0515980672	0.0121918943	0.0825507466	0.0695342263	-0.0734871201	0.0701209876	0.0314646988	0.0560933672	0.1236347502	0.0978135931	-0.0085360429	-0.0557966425	0.0841952542	-0.0840128	-0.0225090863	0.102016852	-0.0357137763	0.0749528602	0.0844070586	0.1069314191	0.0379774291	-0.0669793048	-0.0901197028	0.1807665145	-0.0743822777	-0.0269635091	0.0786757487	-0.0386232824	0.0435365947	0.1144078661	0.1135094328	0.1120172664	-0.0373302	0.0604419	0.00139354383204	0.00365322327561	-0.068643	0.0620089999999999	0.0038451160809999	0.0047118614489999	-0.0170004	0.0252333	0.00063671942889	0.0002890136001599	0.00150314	-0.0004740899999999	2.2594298596e-06	2.2476132809999995e-07	-0.00034306	-0.00034306	1.1769016360000001e-07	1.1769016360000001e-07	-0.000652828	0.0009529619999999	9.081365734439998e-07	4.261843975840001e-07	0.0
749.2443339120456	-0.7037434857658127	561367.0718993049	0.4952548937578166	802.0562919467687	-1.9593771174550056	3.839158688406287	643294.2954514003	726.2435342268637	0.3662321476037959	0.1341259859384886	527429.6710063259	736.4179144640035	585.6206517999108	1.121457	22.311871	0.08248627	0.0396723	-0.0903315078	-0.0823408805	-0.0685925081	0.0485823244	-0.0541248405	0.0778504781	0.0293230388	0.0337936863	-0.0773657257	0.1736258343	-0.0047952408	0.0707718184	-0.0267495187	0.0740756029	0.0205638928	0.0127241159	-0.0695342075	0.0393632284	0.0364431288	-0.0139272124	-0.0602853706	-0.0387054577	0.070762282	-0.0356150448	-0.0092525065	0.0020702192	0.0847157658	-0.0114362916	-0.0027113976	-0.062838689	0.0699421966	0.1617780404	-0.0891366323	0.0791261268	-0.0232642747	-0.012387561	0.0268185034	0.0480698287	-0.0546221646	0.2359160323	-0.1137860857	-0.0153549825	0.0799028933	0.0207565154	-0.1710628933	-0.0045215469	-0.0651735122	-0.11278975	-0.0548629459	-0.0239088244	-0.0335579697	0.0069784119	-0.053688635	-0.0703046749	-0.1029383719	-0.0543698775	-0.0091548013	0.1186110185	0.0493505675	0.0760924217	0.0057643839	0.1523681328	0.0697640812	0.029005547	0.0738731966	-0.0458934849	-0.2305549081	0.0211846836	0.0353117315	0.1024927033	-0.1000535527	-0.0353798993	0.0690551435	0.0529780031	-0.0395745687	-0.1111458146	-0.0658861087	-0.0278118672	-0.0888551288	-0.0921781142	-0.0217395037	-0.0330844755	0.0177391522	0.0138975721	-0.0862687099	0.0444464515	0.1482621587	0.0030407835	-0.0748707793	-0.0883460378	0.0357241838	0.0677666269	0.0450192836	-0.0316121663	-0.199949277	-0.122656415	-0.0198763712	-0.0146595534	0.1492418885	-0.0400804042	0.070240607	-0.1188693415	-0.0516177876	-0.0368119101	-0.0932677329	0.0956325381	-0.1331025226	0.0331995205	-0.0288087276	0.1041067152	-0.1408332125	-0.1323916847	0.0971143042	0.1142120884	0.1127290384	0.1102715368	-0.0373973	-6.710000000000049e-05	0.00139855804729	4.502410000000066e-09	-0.0887118999999999	-0.0200688999999999	0.0004027607472099	0.0078698012016099	0.00659782	0.02359822	0.0005568759871683	4.35312287524e-05	0.00154599	4.284999999999988e-05	2.3900850801e-06	1.836122499999989e-09	5.293960000000001e-23	0.00034306	1.1769016360000001e-07	2.802601248160001e-45	-0.000263697	0.000389131	1.5142293516100002e-07	6.953610780900003e-08	0.0
749.0319287155767	-0.2124051964689215	561048.8302353767	0.0451159674870011	800.622943226248	-1.433348720520712	2.0544885546183624	640997.09722026	725.2960544924813	-0.9474797343824548	0.8977178470654471	526054.3666623604	735.1897301628948	579.4535011752843	1.069093	21.270067	0.0807017199999999	0.0370142	-0.0986375061	-0.0433334416	-0.1695732259	-0.0483269412	-0.1507923416	0.0653399118	0.1445072693	0.0096312267	0.0361581232	-0.0242239304	0.0306238888	0.0506065923	-0.0180963469	0.0979509808	0.0393365569	-0.0807819244	0.0279484599	0.0210234848	0.02292565	0.0646745244	-0.0291692281	-0.0142528923	0.0930927464	0.1235517576	0.0703858503	-0.1451668469	-0.1335628353	-0.0698077895	0.0222973141	-0.0481244052	-0.0639959898	-0.030828349	-0.0922845009	-0.0574808435	0.0720035569	-0.0751452673	0.0378405877	0.0318754728	0.1832669476	-0.0366406571	-0.0170955657	-0.0289837549	0.0187054652	-0.1231351116	0.0971588571	0.1476405033	0.1298752868	0.0291187906	-0.0075165077	0.0127637695	-0.0540378112	0.0186464034	0.034735214	-0.070928593	-0.0261989387	0.0003547004	0.1049713329	-0.030694116	0.0859756202	-0.0936637223	0.066362507	0.1862701063	-0.1134722877	0.0649778687	0.0171165088	-0.0101274364	-0.048643901	0.0705616118	0.0546373354	-0.0233980376	0.1080764406	0.0218273582	-0.0399839311	0.086871215	0.0137741269	-0.1534716206	-0.0826948413	0.0247977055	-0.0237124174	0.0284521429	0.0107846971	-0.0171490784	0.0399940544	-0.0256459599	0.0557703287	-0.0778411372	-0.0511045547	-0.084949643	-0.0307424907	-0.0725826729	-0.0272698539	-0.1812010748	0.0382625381	0.016915517	-0.0042167752	-0.0847630011	-0.0442321733	-0.051785847	-0.0784171313	0.058295982	-0.0303042401	-0.0455443195	0.0841814137	-0.068939646	0.1336528136	0.1545380151	-0.0581207935	-0.0220392113	0.041601782	0.1023721915	0.0734049708	-0.0492564977	0.0301646238	0.1139675232	0.1117560484	0.1081019891	-0.0496657	-0.0122683999999999	0.00246668175649	0.0001505136385599	-0.0694673	0.0192445999999999	0.0003703546291599	0.0048257057692899	-0.010526	-0.01712382	0.0002932252113924	0.000110796676	0.00137551	-0.0001704799999999	1.8920277601e-06	2.9063430399999992e-08	-0.000470818	-0.000470818	2.2166958912400006e-07	2.2166958912400006e-07	-0.000263697	0.0	0.0	6.953610780900003e-08	0.0
751.0515515906077	2.0196228750310183	564078.4331466593	4.078876557348556	805.1812839187681	4.558340692520119	20.7784698690848	648316.899973076	724.8747219203683	-0.4213325721129877	0.1775211363233459	525443.3624791313	735.5605441451884	587.3000830111574	1.101697	21.918736	0.0579948	0.0298595	-0.0572328238	-0.0247659419	-0.1392377017	-0.1209899809	-0.078569566	0.0418296373	0.0683753103	0.0067174745	-0.0083962225	0.1148919891	-0.0951839777	-0.0489646698	0.0074042292	-0.0642038572	-0.049903277	0.0412802967	0.0343866327	-0.0948150077	0.0204787729	0.0976219423	-0.0283977779	-0.0375907444	0.0691995992	-0.1665346772	-0.0001522752	-0.0146519506	0.0189701608	-0.0192288814	0.0115020652	-0.0153563505	0.0046566366	0.079446761	-0.1418630348	-0.0412640272	-0.0186643628	-0.0834346535	0.0576521096	-0.0311760517	-0.095388596	0.1521478028	0.0480763756	-0.0352786357	-0.1362415984	0.0172759244	0.010265508	-0.0049939354	-0.0823395142	0.0473275111	-0.145386879	-0.057740405	0.0283640983	0.0327901803	0.0453823514	0.2055380535	0.128339275	-0.0635580688	0.0349825076	0.0388500854	-0.0872781691	0.0912545994	0.0567448189	0.1173368993	-0.0975948472	0.0105163367	-0.1282595323	0.0280702615	0.0939946368	0.0749605777	0.0929936414	-0.0094397022	-0.0553189124	-0.0976975651	-0.0749512668	0.0682583224	-0.0393520915	0.0699818831	-0.1044364155	0.0344427777	-0.0001689775	-0.0540178512	-0.0976555845	-0.1126013327	-0.034653771	-0.1069943244	-0.0384554439	0.0065649681	-0.0260467351	0.0008425808	-0.099326652	-0.1424248663	0.001798309	0.0939153995	-0.0815955912	-0.0216082839	0.0549717942	-0.0483960305	-0.128607622	-0.2168112216	-0.001871502	-0.0461386306	0.059741051	-0.0879650387	0.0151727381	-0.0638358443	-0.0467487362	-0.1258843948	-0.0011315138	-0.0026169608	-0.0030804352	-0.0682529371	0.0235036064	0.0076650331	0.0681084435	0.1136742748	0.110592125	0.105516962	-0.0374011	0.0122646	0.00139884228121	0.00015042041316	-0.0583053	0.0111619999999999	0.0001245902439999	0.00339950800809	0.0131032	0.0236292	0.00055833909264	0.00017169385024	0.00159429	0.00021878	2.5417606041e-06	4.786468840000001e-08	-0.000470818	0.0	0.0	2.2166958912400006e-07	-0.000263697	0.0	0.0	6.953610780900003e-08	0.0
753.491758114941	2.440206524333348	567749.8295471448	5.954607881399039	804.7545115597546	-0.4267723590135119	0.1821346464179579	647629.8238757793	725.7754649862386	0.9007430658703016	0.8113380707134303	526750.0255759909	735.6948596762172	596.3832921123598	1.078094	21.449139	0.11899585	0.0667145	0.0108259052	-0.0565089228	0.0010550891	-0.1642433056	-0.0660252614	0.0440134182	0.1086727838	0.0993878447	0.0380456185	-0.0371809409	-0.0680441224	-0.0136100407	0.1427984741	-0.0295737445	-0.0370441117	0.042585157	0.0944724797	0.0165234922	0.0316754533	0.0121066813	0.0112971848	-0.1978661747	0.0469600014	-0.0327318305	-0.0378144483	0.0289471184	-0.0080653932	-0.0338884724	-0.0534402186	-0.1025193209	0.027891805	0.1345182007	-0.002958345	0.036959591	-0.0259490678	-0.1073794808	0.0424123946	0.1050379041	0.1159485926	-0.0158837976	0.0915959088	-0.1503746219	-0.0084400263	0.0421230469	0.0132006341	-0.0097155918	-0.0053471886	0.0268570056	0.0654334973	-0.0417956796	0.0881563976	-0.0193528561	0.0007895196	-0.0187304919	-0.0169197341	-0.0890989649	0.0051251167	-0.1415782619	0.1118898872	0.0248587475	-0.0747752894	-0.029463687	0.0722696026	0.0022096699	-0.1985995305	0.0589519865	0.0290166404	0.0563998153	0.1378388391	-0.0813807704	0.0175424403	0.0215778376	0.0344323716	0.0270340214	-0.0502363192	0.0004023655	-0.0396679105	0.041924072	-0.0639401929	-0.0302560917	0.01356074	-0.0939873215	0.1264037385	0.1197444386	-0.0026935365	-0.0528962009	0.0317261797	-0.0129134295	0.1038986846	-0.1514916462	0.0496938279	0.0454339558	0.0246204007	-0.0701558707	-0.1213506593	0.0024532008	0.0212445499	0.0058322011	-0.0560872595	-0.143411028	-0.0124003705	-0.0019153071	-0.0158865214	-0.1040389856	-0.0612089741	-0.088014357	-0.0838763141	-0.0107961794	-0.0407294584	-0.0275399012	0.005235784	0.0377709967	-0.0349481164	0.1133324686	0.1092392569	0.1025263906	-0.0304236	0.0069775	0.00092559543696	4.8685506250000016e-05	-0.100586	-0.0422807	0.0017876575924899	0.010117543396	-0.0338317	-0.0469349	0.00220288483801	0.0011445839248899	0.00163279	3.850000000000012e-05	2.6660031841000004e-06	1.4822500000000092e-09	-0.000123189	0.000347629	1.2084592164100002e-07	1.5175529721000002e-08	-0.000193771	6.992600000000002e-05	4.889645476000003e-09	3.7547200441e-08	0.0
756.0711193111841	2.5793611962430987	571643.5374564668	6.653104180684629	808.5768701612949	3.822358601540259	14.610425278768805	653796.5549598355	728.8076610854495	3.0321960992108643	9.194213184069582	531160.6068568433	739.8515975399175	611.4363616324412	1.078733	21.461857	0.10415225	0.0508566	0.0782039329	-0.0458062342	0.092979728	-0.0155003926	0.0760841356	-0.1392941192	0.0106572001	-0.0597132425	-0.0420516085	-0.1217636746	-0.0139088231	-0.1142218746	0.0171408003	-0.0128880596	-0.112870982	0.001619264	-0.1020989208	0.0470728259	0.0182727064	-0.1809582909	-0.0536908403	0.0701424522	-0.0950932921	-0.0069429529	-0.0132883097	0.0585149123	-0.1657807171	-0.0178133569	-0.0620613358	-0.0380175435	0.073183288	0.0162490318	-0.0067337229	-0.0157065397	-0.1306653268	-0.0872577807	0.028792288	-0.0316323065	-0.0163987021	-0.019806423	-0.0492848941	-0.0106807758	-0.1096478629	-0.0310948502	-0.1372499799	0.0155743543	0.036004668	0.1191302337	-0.0397251231	0.0402077624	-0.0248682241	-0.002686983	0.0628375613	-0.0103326411	0.0453897714	-0.0360968535	-0.1629919642	0.0796819682	0.0476712135	-0.0577519806	0.1030763105	-0.0301720327	0.0780238943	0.1580692892	-0.0523777881	0.0462568083	0.0770757766	-0.1757444641	0.027483389	0.0221763334	0.0533080046	0.0224437848	-0.0919409031	-0.1265986446	-0.0335788228	-0.0687305509	0.0770019893	0.1380829302	0.086960186	-0.1307552789	0.0574632175	-0.0589633431	-0.017526086	0.0064172552	-0.0102698486	0.0006163025	0.0404117591	0.0007708913	0.0263948489	0.0038622483	0.002269263	0.0041161333	-0.0126180705	0.1088685276	0.0323494524	0.1115186126	-0.0376081453	0.1426938915	-0.0970502314	0.0099790589	0.0704160791	-0.094596377	-0.058781245	0.0386475807	-0.1100004895	-0.0447464526	-0.030111489	0.0352308662	0.0774561934	-0.0262447174	-0.111348544	0.0472318964	0.0193103429	0.1129422506	0.1076997553	0.099141769	-0.0254997	0.0049238999999999	0.00065023470009	2.4244791209999984e-05	-0.061425	0.0391609999999999	0.0015335839209999	0.003773030625	-0.0613177	-0.027486	0.000755480196	0.00375986033329	0.00128298	-0.00034981	1.6460376804e-06	1.223670361000001e-07	-0.00035508	-0.000231891	5.377343588100001e-08	1.2608180640000002e-07	-0.000263697	-6.992600000000002e-05	4.889645476000003e-09	6.953610780900003e-08	0.0
754.3641537364002	-1.706965574783908	569065.2764424352	2.913731473497357	809.1518114760518	0.5749413147568703	0.3305575154143585	654726.654014976	726.4558732641196	-2.351787821329822	5.530905956555269	527738.1357999346	737.7211628173633	611.3154919632888	1.011402	20.122288	0.0380089	0.0232823	0.0857386159	-0.0209108724	0.0568168272	0.1191473146	0.0982421342	-0.0953270358	-0.1381648137	-0.0032329735	-0.073025908	-0.0012297604	0.0372352651	0.0400246649	0.0246518373	0.0492349052	0.0345176173	-0.0368402498	0.014550933	0.2369275264	0.0055491115	-0.0410024211	-0.0227204423	-0.0029578058	-0.0521192958	0.0443369382	-0.0008774482	-0.005852612	0.0122364741	-0.059814174	0.048917791	0.0761875894	-0.0519138357	0.2309895753	0.0798340091	0.1005455747	-0.0677592707	0.0786436619	-0.0900906656	0.0181167934	-0.0547370193	0.0223499989	0.1178372376	0.1275095813	0.1311299635	0.0369278828	-0.0548977906	0.0236236894	-0.0676969097	-0.1377413293	0.1627808954	0.0707358662	-0.0468596221	-0.081518183	-0.0324061661	-0.0047375977	0.0124042027	0.0554514799	-0.0950239461	-0.1213573011	0.1344793228	0.0463240152	0.1440408013	-0.0499992015	-0.0381887447	0.0621097309	-0.0812157766	-0.0533685609	0.0528627011	-0.0787968694	-0.0589930162	0.1126137833	-0.0595421	0.1161328713	0.0958067235	0.0621317204	0.0338657664	-0.0618304762	0.0201914125	-0.0815602336	0.0315217425	0.0541221043	-0.0212471229	-0.1149470678	0.1028547351	0.0534915848	0.049887605	0.1207083422	0.0805429878	-0.0403029175	0.0514889604	-0.0112294057	0.0232503336	0.2580654833	-0.0186272143	-0.105095521	-0.055531033	0.1609514297	0.1002795479	0.1069978189	0.1264262552	0.0006305652	-0.0694736195	-0.0066352341	-0.0571378102	-0.0767024818	0.131739407	0.0657991826	-0.0516094575	-0.0054475927	-0.1784788555	-0.0343006236	0.0132492383	0.0777831681	0.0258536073	0.1125037874	0.1059762505	0.0953761056	-0.0261105	-0.0006107999999999	0.0006817582102499	3.730766399999977e-07	-0.0795219	-0.0180969	0.00032749778961	0.00632373257961	-0.0612884	2.930000000000293e-05	8.584900000001721e-10	0.00375626797456	0.00155268	0.0002697	2.4108151824000004e-06	7.273809000000006e-08	-0.000470818	-0.000115738	1.3395284643999998e-08	2.2166958912400006e-07	-0.000263697	0.0	0.0	6.953610780900003e-08	0.0
