global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
773.7561094057571	n/a	n/a	598698.516842734	885.5224815583788	n/a	784150.0653453093	n/a	704.8360012550187	n/a	n/a	496793.7886651647	720.6007377024956	620.9239563854193	n/a	n/a	n/a	n/a	-0.0277982476	0.0182774842	0.003127811	-0.0232398747	-0.0299818919	0.0059030735	-0.1322501735	0.0763236987	-0.1234943541	0.0268928361	0.2845476031	-0.1108852339	0.119049216	-0.0997332446	0.2381991496	-0.0565451267	0.0184908782	-0.067892284	0.0121663016	-0.0048726255	0.0653293422	-0.160008334	0.0004122423	-0.12510669	0.0405431789	-0.0197485642	0.0085787979	-0.0971216917	0.0015379351	-0.1133636797	0.0114754639	-0.0480773016	0.0624933734	-0.0429730646	0.1991694453	-0.040350955	0.0624205041	-0.0055959831	-0.0257401934	0.0021336793	-0.0242389624	-0.0277383585	0.0675531558	-0.038506297	-0.0061321839	0.0293766283	-0.0084098233	-0.0319705728	-0.0062593845	0.0435205987	-0.1328310889	-0.036568591	-0.0219911281	0.0979655991	-0.0128181065	-0.1121037664	0.0369989049	0.2063799206	-0.0657683037	-0.0405445529	-0.0488849578	-0.0653984562	0.0884669954	0.0149808241	-0.0637224511	0.0159893474	-0.0589722755	0.0163301648	-0.0953076356	0.2275997035	-0.0377008445	0.1356314773	-0.0098107041	0.0574491427	-0.1025174276	0.0765760368	-0.128431272	-0.0229541037	0.0306965507	-0.0441660416	0.0140169559	-0.0238496003	0.1323046725	-0.11638964	0.0194090696	-0.0258423867	0.0918132281	-0.0081421422	0.0224313714	-0.0881612825	0.0891029627	-0.0283241802	0.0259790026	0.0050503239	0.0718965246	-0.1283749795	0.0196483341	0.0792824074	-0.0081155624	-0.0285253487	-0.0513310275	0.1029383731	0.0596562076	-0.0342290846	-0.0995302098	-0.0178691973	0.0811585188	0.0728756995	-0.0166524538	-0.264529799	0.0885917915	0.04853443	0.1147017419	0.1146833673	0.1146527451	-0.0799855	n/a	n/a	0.00639768021025	-0.0711617	n/a	0.0050639875468899	n/a	-0.132017	n/a	n/a	0.017428488289	-4.32985e-05	n/a	1.87476010225e-09	n/a	-0.00107636	n/a	1.1585508496e-06	n/a	0.0005171	n/a	2.673924100000001e-07	n/a
771.7945155737806	-1.9615938319765287	3.847850361648364	595666.7742697666	882.1663226592354	-3.356158899143338	778217.4208341183	11.263802556299025	704.5839186219439	-0.2520826330747923	0.0635456538979203	496438.4983806541	719.7279694802718	619.1449483763404	1.07428	23.176594	0.100197775	0.0517961	-0.0279286723	-0.081596308	0.0146730516	-0.0285140782	0.0730119736	-0.0457834434	0.1796141391	0.065672808	-0.0135882841	0.0029161312	0.0485895971	0.1439274158	0.0687325402	-0.0945739062	-0.0990196003	0.0366421681	0.015498403	-0.0386289263	0.0164726446	-0.0647388933	-0.0273322566	-0.0760630046	0.0060818749	0.1175390717	0.0835819549	-0.0157830463	0.1551076107	-0.0865121786	-0.1669792735	-0.0275950421	0.1104701875	-0.0744712101	-0.0296106863	-0.1629586712	-0.1114672214	0.0447842469	0.0070119781	-0.0103040355	0.0928163198	-0.0756413717	-0.0864484456	0.0419383548	0.0569096226	0.0010639575	0.1767137263	0.0361361467	-0.0665524876	-0.0412014968	-0.0187766914	0.0552710276	-0.0231182262	-0.0089179395	0.1985740979	0.0894479039	0.0801398123	0.1755844002	-0.0985339876	0.0854731436	-0.0719398247	-0.0306501081	-0.1622896944	0.0729756018	0.0928397797	-0.0074012668	-0.0030178941	-0.0550064965	-0.0791184921	0.0817266999	-0.0136897324	-0.0392783296	-0.0677762616	0.0511708008	-0.0781189856	0.0956340858	0.0568583352	-0.0812825973	0.0950003792	0.106531396	0.0719280338	-0.0157324385	-0.0218161811	0.090944165	0.2901904374	-0.0003357015	-0.1428160489	-0.0086934039	-0.1755555389	0.0700627421	0.1047963824	-0.0169890919	0.0503674044	0.010528335	-0.0093857896	0.0330990988	-0.1199710044	0.0223074272	-0.0735382031	0.0459046979	0.1928399001	0.0232403576	-0.0536918677	-0.0210543715	0.0505172241	-0.0865083672	-0.040212806	-0.0265448499	0.0105213218	-0.0162593631	0.0092940865	0.1301158131	-0.0396055451	0.0772992095	0.1146527451	0.1144874327	0.1142120884	-0.0693941	0.0105914	0.00011217775396	0.00481554111481	-0.111103	-0.0399413	0.0123438766089999	0.00159530744569	-0.139416	-0.007399	5.4745201000000246e-05	0.019436821056	0.000498763	0.0005420615	2.4876453016900005e-07	2.938306697822501e-07	-0.000969834	0.0001065259999999	9.40577987556e-07	1.134778867599998e-08	0.000320366	-0.000196734	1.02634373956e-07	3.8704266756000026e-08
771.2269605648276	-0.5675550089530361	0.3221186881876809	594791.024702062	883.5474231680855	1.381100508850068	780656.0489869639	1.9074386155459164	703.7876614808675	-0.796257141076353	0.6340254347150872	495317.0724527082	719.7050817530167	621.4140476553293	1.037103	22.374542	0.0658365	0.0412618	-0.0491229335	0.0427807898	-0.0696924178	-0.0934180908	0.0012155104	-0.0103771204	0.0804975748	0.0105867717	0.0078183849	-0.0268142042	0.0526103316	-0.1621457089	-0.0178601565	0.0226841476	-0.0897391192	-0.0918300035	-0.1124549323	-0.0678879643	0.0798240294	-0.0142414486	0.036808134	-0.0090442749	0.0329908105	0.17284957	-0.0677036107	-0.0325739689	-0.0358768897	0.0159338409	0.0368427846	-0.0357341553	0.0674661932	-0.0587205397	0.0578540873	0.0828369471	-0.0405455098	-0.0850459461	0.0360975254	-0.0516201294	-0.0031920341	0.0246604747	-0.0633447164	0.0048624299	0.0141084862	0.0994296908	-0.0937717271	0.0875782929	0.0811706782	-0.1308660307	-0.0933958777	0.0246729118	-0.0193499031	-0.0270527091	-0.0924156854	0.027069825	0.147766027	0.1705837034	-0.0692286927	-0.1297993392	0.035475095	0.0956966272	-0.0660628805	-0.0223753891	0.0214987358	0.0031991798	-0.1232154465	-0.045052098	-0.0411930151	-0.0465735796	0.0497023051	0.0313043852	-0.1262804932	0.035937955	-0.0400605527	-0.0790596313	0.1571609644	-0.1516025352	-0.0919229964	0.0273965545	-0.0720191504	-0.0733913095	-0.0318676532	-0.0321306792	-0.0169152129	-0.1407479181	0.0341200003	-0.1049619379	-0.0835045844	0.1091238511	-0.0067473134	0.0147096809	-0.0398822524	-0.0397203193	-0.043508145	-0.0431309758	-0.0219802078	-0.1084550639	-0.0176480514	0.0164285813	0.1533305305	0.0055314305	0.0441011692	0.0465347025	-0.0369915555	0.0348234141	0.0852843315	0.0381451818	0.0059542204	0.017745937	-0.1371067068	0.0555085425	-0.051844611	-0.1242997081	0.1145547726	0.1140958982	0.1133324686	-0.0613815	0.0080126	6.420175876000002e-05	0.0037676885422499	-0.0838465	0.0272564999999999	0.00703023556225	0.0007429167922499	-0.109472	0.029944	0.000896643136	0.011984118784	0.000498763	0.0	2.4876453016900005e-07	0.0	-0.000963227	6.607000000000054e-06	9.27806253529e-07	4.365244900000071e-11	0.000314505	-5.860999999999963e-06	9.891339502500003e-08	3.4351320999999563e-11
770.9638810781673	-0.2630794866602173	0.0692108163014034	594385.3059271105	879.2496398156509	-4.297783352434635	773079.9291159518	18.47094174446429	705.1516593056781	1.3639978248105535	1.8604900660879216	497238.8626215511	719.6991937493033	604.8916871443198	1.022108	22.051031	0.1373496	0.075672	-0.0779300429	-0.0692089036	-0.0031321515	0.0197611268	-0.0284156649	-0.1014269396	0.1596535866	-0.0098063726	0.0569470584	0.1185692264	-0.0161619827	0.0907418784	-0.0980355345	0.00704593	0.0688569971	-0.0069742231	0.0115536261	-0.0289406671	0.0017457425	-0.0744181121	-0.0478286323	-0.0078661393	-0.161439041	-0.0216800662	0.0150613711	-0.1906131143	0.0177932622	0.1189436268	0.0314554279	-0.1125001678	-0.118027369	-0.1381245817	0.0104162631	-0.0539084151	-0.0321321689	-0.0520995507	0.1415532809	0.1655593401	-0.026823989	-0.1063253025	-0.0039597469	-0.0462854342	0.0807250609	0.0519051663	0.1411881927	-0.0714328952	0.2147109464	-0.0077429114	0.0818219727	-0.075480405	-0.0171176453	0.0894022718	-0.120611482	0.122708172	-0.0760794179	-0.0742036256	-0.0534716017	0.0109092632	-0.1299713267	-0.0001152275	0.0470029797	0.0030905555	-0.0096964587	-0.1415382111	-0.001048308	0.0121806192	-0.0279191601	0.0554762725	0.0590041627	-0.0742671528	-0.1193523197	-0.0782622828	-0.1146974816	0.1400575822	0.0998627013	0.0497656328	0.0922222767	0.0862282555	-0.0396043836	-0.1896967649	-0.0236913753	0.0218849663	0.0376638542	-0.0482150564	-0.0358374124	-0.0989003353	0.2329547522	-0.1346060095	-0.0513726136	0.0646878816	0.0290397262	-0.0864244412	-0.1496914933	-0.0462812436	-0.1015090335	0.0627880044	0.1637964911	-0.0099583207	0.0908735576	0.0489039581	-0.0856939544	0.0732380494	-0.0504169061	-0.0780439015	0.0577241761	-0.0437871489	-0.0486178238	0.1045981737	-0.1005603748	-0.1005006626	0.0608837452	0.100559567	0.1144078661	0.1135094328	0.1120172664	-0.0693877	-0.0080061999999999	6.409923843999997e-05	0.0048146529112899	-0.02939	0.0544565	0.0008637721	0.00296551039225	-0.0747706	0.0347013999999999	0.0012041871619599	0.00559064262436	-0.00022577	-0.000724533	5.09720929e-08	5.249480680890001e-07	-0.000995228	-3.2000999999999926e-05	9.90478771984e-07	1.024064000999995e-09	0.000361681	4.717599999999996e-05	1.30813145761e-07	2.2255749759999957e-09
772.5453807981678	1.5814997200004657	2.5011413643615508	596826.3653925861	880.5967653179541	1.347125502303243	775450.6630884439	1.814747118955764	703.737400286861	-1.4142590188171198	2.000128572305562	495246.3285625096	719.0967905796418	614.8172003947113	1.098401	23.696983	0.1760035499999999	0.0969483	-0.0486176226	0.0603023415	-0.0303738359	-0.0020608396	0.0095717128	0.0350254372	-0.1822356975	0.0575984958	0.0619232452	0.0849079747	0.044776594	0.1575814273	0.0309912647	-0.1289370354	-0.0595291427	-0.0120927852	-0.0325673098	0.0289598245	-0.0043586217	0.0129474766	0.096849307	-0.1142248251	-0.0248832948	-0.038552779	-0.117954307	0.0413141592	-0.039264147	-0.0264861724	0.0247080306	-0.0089591159	0.047225328	-0.1343181152	0.0023751739	0.0576370015	0.1246369494	-0.0066843183	0.0442312684	-0.0059298038	0.0408333897	0.1111038097	0.1281057537	-0.0731477698	0.0667917799	-0.0254632976	-0.0193046147	-0.092079886	0.0219582073	0.0401879474	0.0536844689	0.0395154089	-0.0166336531	0.0404732778	-0.0245733686	0.0594983339	0.0284017791	-0.0055735449	-0.0181403302	-0.1858043376	-0.0068741957	0.0854743727	-0.0540734292	0.0212486752	-0.0703984584	0.0111808469	-0.0145738903	0.001260099	0.0767128774	0.0079902585	-0.0691653376	0.1121911294	0.0981645731	0.0555951731	-0.1372562406	0.0107096975	-0.0539240658	0.1264141456	-0.0262955763	0.0029662034	-0.0534089757	0.0125816158	-0.0391389274	0.0322511186	-0.0386418438	-0.179907571	-0.0622471009	0.0306160871	0.0197123048	0.0165965489	0.015442241	-0.019706103	-0.1377052191	-0.1053077444	-0.105737988	0.0785402099	0.0333245575	0.0109467385	0.0492954804	0.0609754374	0.0820298804	0.0113817871	0.0838059613	0.0403769281	-0.0399383223	-0.0500533787	0.0389181592	-0.017234429	0.0798168507	-0.021871296	0.0114950988	0.182719465	0.0377031419	-0.0495474613	0.1142120884	0.1127290384	0.1102715368	-0.0565338	0.0128538999999999	0.0001652227452099	0.00319607054244	-0.114822	-0.085432	0.013184091684	0.0072986266239999	-0.104893	-0.0301223999999999	0.0009073589817599	0.011002541449	0.000105004	0.000330774	1.1025840016e-08	1.09411439076e-07	-0.000532796	0.0004624319999999	2.83871577616e-07	2.1384335462399997e-07	0.000202982	-0.000158699	4.1201692324e-08	2.5185372601e-08
773.8132931906453	1.2679123924774558	1.607601834997906	598787.0127185516	880.4412939287722	-0.1554713891819119	775176.8720549707	0.0241713528541535	705.6139291483028	1.876528861441784	3.5213605678239985	497891.0170081061	719.7015489507886	628.744963872324	1.105632	23.852985	0.1508956	0.0946702	0.0089727603	-0.0276750261	0.0860213307	0.0524480713	-0.0035278774	-0.0011839462	0.089790812	0.1153349902	-0.1376930934	0.0459995355	0.0149069873	0.0706553752	0.1030445371	0.0547086475	-0.0957483401	-0.0111036716	0.1207820954	-0.074684721	0.012408303	0.0424053464	-0.0395349195	-0.0738750911	0.0682668251	0.0273720742	0.1120733505	-0.1068313427	-0.0839295239	0.0899910717	0.0652120183	-0.1186066574	-0.0969479679	0.1402609372	-0.0202668022	0.1128944643	-0.111713134	-0.0441811084	0.156213498	0.0026385664	0.0067446214	-0.0382668926	0.0741162561	-0.1221436127	0.0233438214	0.022970917	-0.0315439965	-0.0574323183	0.0069227724	-0.0153676037	-0.0050159942	0.0214909978	-0.0944319963	-0.1202399521	-0.0906942919	-0.0751754422	-0.1407529949	0.0016808396	-0.1057696581	0.0998329385	-0.0839965205	-0.0327943724	0.0842872905	-0.1186787687	-0.1488357969	0.0425261681	0.0507290278	0.0740073539	-0.08280337	-0.0305745761	0.0095576954	0.0107971965	-0.1696337531	0.0196160006	-0.0221345145	0.0571003194	-0.0252345002	0.0369625808	0.144448763	-0.1046723648	-0.0941274854	-0.1619814045	0.0241035144	0.1737172342	-0.0542170693	0.0209093828	0.0827452134	0.055469199	0.0497578516	0.0177962115	-0.0016028634	0.1430786672	0.0770408082	-0.0508210638	0.0295795685	-0.1401322686	0.0046510314	-0.0697815215	-0.0707901625	0.0403902117	-0.1995080906	0.0280900739	0.0140779236	0.1659758095	0.0735398061	0.0081929892	0.0694642308	0.1108580927	0.0366597044	0.1146881636	0.0350786231	-0.0958185933	0.063588173	-0.022615738	0.1139675232	0.1117560484	0.1081019891	-0.0624468	-0.0059129999999999	3.496356899999994e-05	0.0038996028302399	-0.0261051	0.0887168999999999	0.00068147624601	0.0078706883456099	-0.0816521	0.0232408999999999	0.0005401394328099	0.00666706543441	-0.00022577	-0.000330774	5.09720929e-08	1.09411439076e-07	-0.0007288509999999	-0.0001960549999999	5.312237802008542e-07	3.84375630249608e-08	0.000336649	0.000133667	1.1333254920100001e-07	1.7866866889000006e-08
773.7359403455638	-0.0773528450814637	0.0059834626421969	598667.3053824338	881.3112300187349	0.8699360899627209	776709.4841571355	0.7567888006196272	704.8310528019223	-0.7828763463804762	0.6128953737220434	496786.81299386616	719.808016135883	624.5715182662185	0.999494	21.56316	0.13519923	0.0785112	0.0009265892	0.0347657619	-0.0505339479	-0.0212520253	0.026591973	0.0053665077	-0.045085434	0.0766762416	0.0167492733	0.0729938762	-0.0482750599	0.1049158342	0.0491813866	-0.0635903414	-0.1342855611	-0.0330364713	-0.0406312017	-0.079465239	-0.08241182	0.000306401	0.0394581419	-0.0993303129	0.0037351222	-0.0724128265	-0.0997375681	0.0400144882	-0.0430111251	0.0206220949	0.1127140363	0.0366851872	-0.0332776516	0.0808952902	-0.0390332256	-0.074228672	0.0018152593	-0.0142889285	-0.0072423383	0.0489916299	0.0047389567	0.0082920968	0.162459764	0.0339732006	0.0200452464	-0.1027354472	0.0175186942	-0.0561454575	-0.0126330394	-0.0046009629	-0.0918056804	0.0928279054	0.0406279403	0.0838413063	0.0257731228	0.0221103801	0.0010528287	0.0601765565	0.0492084236	0.0434912467	0.1715858933	-0.044943567	-0.0475000869	-0.0663266325	-0.0900235224	0.0428479068	-0.0337701737	-0.0444905367	0.029511072	-0.008132625	-0.1309923112	0.029306419	0.0413847171	0.0415611045	-0.0773328818	-0.0080635325	-0.0513195879	0.100206955	0.0228341871	0.0025814176	-0.0893599265	-0.0302113788	0.0158160926	0.0680361383	-0.0922889328	0.074024146	-0.0449885424	0.1113767555	-0.056176889	-0.0624858971	-0.0180295647	-0.0906018824	-0.0142572424	0.0240919724	-0.0526498956	-0.0169079972	-0.0572238837	-0.0583703537	-0.0496804095	0.0705454048	-0.0363490363	-0.0510260724	-0.0009479792	0.0633101264	0.0143411886	0.0813773289	0.0836616046	-0.0155520693	-0.037617103	0.0659073308	-0.0183304653	0.0336971584	-0.0229145254	0.1218298424	0.1136742748	0.110592125	0.105516962	-0.0504371	0.0120096999999999	0.0001442328940899	0.00254390105641	-0.097221	-0.0711159	0.009451922841	0.00505747123281	-0.10517	-0.0235178999999999	0.0005530916204099	0.0110607289	8.55376e-05	0.0003113076	7.316681013760001e-09	9.691242181776001e-08	-0.00061367	0.0001151809999999	3.765908689e-07	1.3266662760976974e-08	0.000192023	-0.000144626	3.6872832529e-08	2.091667987600001e-08
774.1950762095712	0.4591358640074077	0.2108057416178287	599378.0160271438	880.2861523940228	-1.0250776247121394	774903.7100966728	1.0507841366854815	705.8400490454007	1.0089962434784638	1.0180734193536516	498210.17483641376	720.2609847907876	635.4817123849111	1.044287	22.529526	0.13982843	0.0822259	0.0343435438	0.0049627549	0.1229796996	0.0800453898	-0.0325572532	0.0470118898	0.0917429753	0.0525579115	-0.135193115	0.0507720226	-0.0110240919	0.0347828661	0.0235295446	0.0925845684	-0.0386778992	-0.0168501238	0.1194459055	-0.07015571	0.0952032467	-0.0521971986	0.0215446422	-0.1630832693	0.0435623135	-0.0388278576	0.0509712803	-0.0018953581	-0.1388008107	-0.0936361588	0.1161794079	-0.1393643678	-0.0431631539	0.0068298915	-0.0586392778	-0.0539839074	-0.046575883	-0.0694567313	0.1066131239	-0.0541163879	0.1176320746	0.042861079	-0.0142335567	-0.105430537	0.074653478	-0.0277189785	-0.0874115406	0.0901946416	-0.0462032154	-0.1268542552	-0.1692386044	0.0306239128	0.1382056546	0.0968649154	-0.0477478723	-0.0389637598	0.0619954429	-0.0100882884	0.134641308	0.0919871783	0.0661658479	-0.0708293447	0.0262075554	0.0889269778	0.0194033391	0.0788080649	0.0420788965	0.0930705091	-0.121847118	-0.0010699345	0.0106005113	0.0902982207	-0.129478444	0.0798019241	-0.0764280048	0.0482727007	0.0044262034	0.193876197	-0.0271149827	-0.0122481866	-0.0296737548	0.0003476034	-0.0156100344	0.1502613502	0.0134174937	-0.0374973451	0.1294584483	0.0264106035	-0.0690250472	-0.0111491203	0.0364077013	0.0168363528	-0.0083154282	-0.0430062318	0.0953710239	-0.0981694447	0.0360287723	-0.0199058337	0.0769812159	0.1193847632	0.0183232883	-0.1390437073	-0.0603086863	-0.0495709944	-0.0098557221	0.1436455963	0.0649513718	-0.0077467113	0.0077696025	-0.2536647539	0.0674253906	-0.0655469383	-0.2086333586	0.0015893587	0.1133324686	0.1092392569	0.1025263906	-0.0587514	-0.0083143	6.912758449000006e-05	0.00345172700196	-0.0225017	0.0747193	0.00050632650289	0.00558297379249	-0.0798544	0.0253155999999999	0.0006408796033599	0.00637672519936	-0.00022577	-0.0003113076	5.09720929e-08	9.691242181776001e-08	-0.000807326	-0.000193656	6.517752702760001e-07	3.7502646336000025e-08	0.000316644	0.000124621	1.00263422736e-07	1.5530393640999998e-08
772.6258782364087	-1.5691979731625452	2.46238227897744	596950.7477205817	884.053749721963	3.767597327940166	781551.0323974631	14.194789625501878	704.1345857665624	-1.7054632788383517	2.9086049954660607	495805.5148726484	719.4481987192132	628.0849069823951	1.146938	24.744122	0.121579	0.0720429	-0.0024404819	0.0158868373	-0.1066603479	-0.0837006744	0.052531852	-0.0703043343	0.0510433194	0.0468624595	0.0539707278	0.0190697732	-0.0580482936	-0.0740471399	-0.0159926292	0.0240187543	-0.1546435095	-0.0126957249	-0.0922703881	-0.0262103629	-0.074314206	-0.0496925457	-0.0537903481	-0.0971377375	-0.0217161673	0.0249453516	0.0414286349	0.0385832076	0.0072016138	-0.0100841995	-0.1777863098	0.1601098366	-0.006225302	0.0413202601	0.0772056271	-0.0909725985	-0.0724317656	-0.0567864977	-0.0427127141	-0.0597050667	0.132460794	-0.0117386166	-0.0856985774	0.0171148656	0.0485197158	-0.1098807555	0.0085503894	0.0217245901	-0.0494723831	0.1014908475	-0.0568075816	-0.0391215342	0.1063075361	-0.1349612092	-0.2012511683	-0.0349919031	0.0966461689	-0.0200187191	-0.1452071983	0.0648578127	0.1045753621	0.0555384287	0.1675137443	-0.0524930738	0.0703020738	-0.0303117728	-0.060384483	-0.1034859886	0.0330358837	-0.0315816134	-0.0266519591	-0.0881879451	-0.0649261362	0.0884187291	-0.1258149066	-0.053349574	-0.0022892546	-0.0503532299	0.0707231939	0.0581996095	-0.0058073565	0.0212200555	0.0639691225	-0.0360840621	0.034162628	0.0931920232	-0.1359723922	-0.0188505205	-0.0018557894	0.0357118675	0.1212105077	-0.0035032898	0.0716376528	0.0548030554	0.146435905	0.1577526613	0.0530790806	-0.0057354633	-0.0010105906	0.0980002152	-0.0265021696	0.0314774124	0.1340537599	-0.0136805458	-0.0074772196	-0.0936586569	0.1273515759	-0.1173351441	-0.0217965765	-0.0003964362	-0.2145046122	-0.0857329885	-0.2161142716	-0.0603559561	0.1129422506	0.1076997553	0.099141769	-0.0545368	0.0042145999999999	1.776285315999999e-05	0.00297426255424	-0.0840814	-0.0615797	0.00706968182596	0.00379205945209	-0.102798	-0.0229435999999999	0.0005264087809599	0.010567428804	0.000317279	0.000543049	1.00665963841e-07	2.94902216401e-07	-0.000837397	-3.0071000000000004e-05	7.012337356090001e-07	9.042650410000001e-10	0.000232942	-8.370199999999998e-05	5.4261975364e-08	7.006024803999996e-09
773.3695738661773	0.7436956297686947	0.5530831897370555	598100.4977819527	880.0842814813368	-3.969468240626156	774548.3425105208	15.756678113339714	705.723438637231	1.5888528706685747	2.524453444631771	498045.5718419575	720.1738423358295	629.446573667071	1.122458	24.215996	0.1218368	0.0730099	-0.0004934395	0.0618104477	0.1202828792	0.0392018568	-0.1366667665	0.0429186997	0.0997457545	-0.0510460465	0.0618229025	0.053953418	0.0757675446	-0.0842812222	0.0461358646	0.0741834561	-0.0118028983	-0.1036747643	0.1190961425	0.0252675845	0.0224583712	-0.0718958048	-0.0403671484	-0.0531507013	-0.0357935233	0.0843083773	-0.0421178677	-0.0481052291	-0.0594355322	-0.0998460799	-0.0991983536	0.0023904115	0.0180889139	0.0872820059	0.0167175073	-0.0117105716	-0.0110606798	-0.0696831742	0.0079847674	0.0470888374	-0.0023006079	0.0325200799	0.0786767697	-0.0644443335	0.1014073227	-0.1824497596	0.1122475279	-0.0306201998	-0.1279917698	0.1583323346	-0.062250622	-0.0672433085	-0.1116731647	-0.0421146378	0.0501578122	-0.1100776828	-0.0123953394	0.0629833045	0.2713944937	-0.1050971518	-0.0614804107	0.1197130021	0.1276057385	0.0120949903	-0.0155395222	0.029129353	-0.0394335668	0.1379176125	-0.0620085939	0.0757795412	0.0130231145	-0.0527362525	-0.0952733543	-0.039808721	-0.1465603777	0.0033747284	-0.0048363508	-0.0276869551	-0.0493184894	-0.0241478084	0.0395212613	0.1071316411	0.0045357199	0.1363050287	0.0845786864	-0.0134324468	0.0401531726	0.1309497778	0.0497114841	-0.0806898288	0.1000514673	-0.0519920705	-0.0493861737	0.1522038767	0.04581987	0.1053670251	-0.0141609271	-0.0020123718	-0.0951526403	0.0276836112	0.0329893519	-0.0067903904	0.1181917594	0.0115273351	3.85818e-05	0.0600432654	-0.0269632613	0.1498759775	-0.0723528713	-0.0679994205	0.0984180601	0.0020759205	0.0288174624	0.0542295074	0.1125037874	0.1059762505	0.0953761056	-0.0543905	0.0001463	2.140369000000058e-08	0.00295832649025	-0.0278455	0.0562359	0.00077537187025	0.00316247644881	-0.0641874	0.0386105999999999	0.0014907784323599	0.00412002231876	-0.000150181	-0.00046746	2.2554332761e-08	2.185188516e-07	-0.000837397	0.0	7.012337356090001e-07	0.0	0.000302362	6.941999999999997e-05	9.1422779044e-08	4.8191363999999955e-09
