global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	motion_outlier55	motion_outlier56	motion_outlier57	motion_outlier58	motion_outlier59	motion_outlier60	motion_outlier61
687.6420229444867	n/a	472851.551719186	n/a	740.7664663368762	n/a	548734.9576492223	n/a	694.1394712829759	n/a	n/a	481829.6055930094	698.4698931456006	482.48254873553657	n/a	n/a	n/a	n/a	-0.1394346588	-0.0104004923	-0.1074642943	0.0471262747	0.0118306191	0.098662505	0.0378246111	-0.0577484378	0.0860499413	-0.0381824238	0.1032548578	0.050676503	-0.0252426851	0.1385469106	-0.1014652267	-0.027645509	0.0235054301	-0.0206769347	0.0316169777	-0.069414644	0.0254793304	-0.0262587767	0.0401083979	-0.0933827154	0.0678460244	0.0751219105	-0.0466995065	0.0667084973	-0.1097223935	0.0679562267	-0.016753221	0.0371830117	-0.1299805425	0.0771320833	-0.0133535035	0.0395496746	-0.0498010755	-0.1014508394	-0.0544394426	0.0026665827	-0.03314069	0.0826055419	-0.1274515736	0.0117274762	-0.0818349299	0.0114705133	-0.0123504787	0.0474804789	-0.0106285627	0.0507764524	-0.0673078278	0.0732687328	-0.0572540585	0.0555674932	-0.022496205	0.0479131529	-0.0314575966	0.1147017419	0.1146833673	0.1146527451	-0.0486664	n/a	n/a	0.00236841848896	-0.300943	n/a	n/a	0.090566689249	-0.542395	n/a	0.2941923360249999	n/a	0.00267058	n/a	n/a	7.1319975364e-06	-0.00246405	n/a	n/a	6.071542402500001e-06	0.00124547	n/a	1.5511955209000002e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
685.7595133108998	-1.882509633586892	470266.1100964022	3.543842520547454	740.3829317772761	-0.3835345596000934	548166.8856671146	0.1470987584076376	695.6660517695195	1.526580486543594	2.330447981895676	483951.2555845918	698.3892347868422	460.25756556669626	1.029303	37.166561	0.7705951999999998	0.428984	-0.0147213889	-0.0157968997	-0.1496446227	-0.0061032201	0.0418832187	-0.0221507976	0.0033750662	-0.0730996397	0.0177501433	-0.0705455781	0.011009501	0.0291411186	-0.0246111031	-0.0289746153	-0.0262121169	-0.041368794	-0.0992713048	-0.0263834029	0.0513313193	-0.0426411265	0.0732466264	-0.1097465012	0.0398922501	-0.0714339287	0.0608419089	0.0028338148	-0.1097315649	0.0418820029	0.0818615775	0.0801591838	0.0195730932	-0.06045112	0.049667065	0.0149967353	-0.0886166595	0.0333349738	-0.0566735964	0.0231389344	-0.0535173084	0.012626388	-0.0664904368	-0.0373771821	-0.0098238909	0.029967919	-0.0314221078	0.090967765	-0.0558981911	0.0406472553	0.0299096776	0.0916549808	-0.0313144462	0.0627524698	0.0780666279	-0.008691494	-0.0559667106	-0.0562968793	-0.0368019752	0.1146527451	0.1144874327	0.1142120884	-0.0202649	0.0284015	0.00080664520225	0.0004106661720099	-0.0950299	0.2059131	0.04240020475161	0.00903068189401	-0.245307	0.2970879999999999	0.0601755242489999	0.0882612797439999	-0.0008264999999999	-0.0034970799999999	1.22295685263993e-05	6.831022499998347e-07	-0.0014409	0.00102315	1.0468359225000003e-06	2.07619281e-06	0.000981848	-0.000263622	9.64025495104e-07	6.949655888400002e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
688.063513951966	2.3040006410661817	473431.3992319273	5.308418954033376	743.449756649904	3.066824872627876	552717.5406628015	9.40541479936899	695.5568329321643	-0.1092188373552289	0.0119287544332279	483799.3078386227	700.5381643350928	483.61661449537047	1.000745	36.135372	0.2872242	0.148524	-0.0007981714	-0.0204920454	0.024924941	0.0996251437	0.0539598689	0.0233962854	0.0432763101	0.0926363897	-0.0024558857	-0.0620495964	0.0095713247	-0.0030019516	0.0257436319	-0.0927374552	-0.0543759999	0.0411793351	-0.0344622253	0.0103799983	0.0514579879	0.0258625603	-0.071550839	-0.0285392164	-0.0125262365	0.0256722525	-0.0481780114	-0.0208240909	-0.0765962018	0.027886722	0.0642986969	-0.2007697116	0.0160626165	0.04516903	-0.1756716849	-0.1131518845	-0.1538039488	-0.0070240635	-0.0656412955	-0.007221568	-0.0400218277	0.0011617894	0.0630658	-0.0865974563	0.0508434316	0.0425050622	-0.0033265754	0.0453397675	-0.0057179284	0.0185008179	-0.0867246996	0.0017120685	0.1084579841	0.0418913392	0.0373416711	-0.0588567146	-0.0487786233	0.0474853397	0.0306742724	0.1145547726	0.1140958982	0.1133324686	0.043813	0.0640779	0.0041059772684099	0.0019195789689999	0.0239833	0.1190132	0.01416414177424	0.00057519867889	-0.220187	0.02512	0.048482314969	0.0006310144	-0.000526992	0.0002995079999999	8.970504206394012e-08	2.77720568064e-07	-0.000621408	0.0008194919999999	6.715671380639999e-07	3.861479024640001e-07	0.00144311	0.000461262	2.0825664721e-06	2.1276263264400005e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
687.9455143868805	-0.1179995650854834	473269.0307650296	0.0139238973603632	743.266232408084	-0.1835242418200096	552444.6922381079	0.0336811473356093	694.2564012229286	-1.3004317092356814	1.691122630385636	481991.950639012	696.6502159435032	474.1441089348656	0.947749	34.221771	0.35909795	0.213058	0.017853252	-0.0001393414	-0.0794271127	0.06440864	-0.0030436874	-0.0234385951	0.0357455857	0.0183162478	0.0399373418	-0.0417182746	-0.0599487065	0.0189453385	-0.0132070711	0.0570020025	0.0205652327	0.0583546067	-0.0619780477	0.0203865081	0.0186060065	0.1311394897	0.0064997116	0.1032492347	0.0735155672	-0.0012963363	-0.0893605842	-0.116818441	-0.0378387833	-0.0769476897	0.0086642766	-0.1027163431	-0.0503406992	0.0092344601	-0.036313122	0.0870437005	-0.0039056158	-0.0967100801	-0.022449536	0.0554968739	-0.0282978206	0.0195302735	-0.0146040745	0.0441256758	-0.0082447607	-0.029010961	0.0428166194	0.0632491337	0.0140222846	0.0525441765	-0.1155183169	-0.0994203193	-0.0875899512	0.0409453974	-0.0055015302	-0.0318239871	-0.024021226	-0.044260517	-0.0574397714	0.1144078661	0.1135094328	0.1120172664	0.0653366	0.0215235999999999	0.0004632653569599	0.00426887129956	-0.169245	-0.1932283	0.03733717592089	0.028643870025	-0.171741	0.0484459999999999	0.029494971081	0.0023470149159999	-0.00065202	-0.000125028	1.5632000784000002e-08	4.251300804e-07	0.00070139	0.001322798	1.7497945488040002e-06	4.919479321e-07	0.000972935	-0.000470175	9.46602514225e-07	2.210645306250001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
685.7082265343344	-2.23728785254616	470195.771936862	5.005456935150609	739.9117825372591	-3.354449870824851	547469.4459374642	11.25233393587686	692.5640102477635	-1.6923909751651536	2.8641872128204597	479644.9082904642	696.6937468287263	471.9305261452658	0.834215	30.12224	0.1528761	0.077752	-1.98363e-05	-0.0470400459	-0.0387329005	-0.0175585171	0.0055320376	-0.0096947694	0.049030122	-0.0218927297	0.0444619719	-0.0039147625	0.0104466513	0.0255601105	0.0377792656	0.0707843048	0.0424476514	0.077692939	0.0663417577	-0.0761137145	-0.0707117058	-0.0756604924	0.0385801845	0.0047870348	-0.0279464065	-0.0441678748	-0.1142586159	-0.1137173654	0.0054933501	0.1398516213	-0.0002504662	0.0561829909	0.1164793916	0.1115598987	-0.0203722302	0.0675136109	0.1106248186	-0.035911328	-0.0076465032	-0.0040074196	-0.0308104057	0.0253049125	0.0355102332	0.05267359	-0.0113523303	-0.0017201157	0.0815151163	-0.016135472	0.0688159371	-0.0004877369	0.1043534659	0.0012158467	0.0090578171	-0.0570247593	-0.0904457774	0.1050840371	-0.1477591358	0.041674243	0.0491330232	0.1142120884	0.1127290384	0.1102715368	0.0521105	-0.0132260999999999	0.0001749297212099	0.00271550421025	-0.119977	0.049268	0.002427335824	0.014394480529	-0.184959	-0.013218	0.034209831681	0.000174715524	0.000119927	0.000771947	5.95902170809e-07	1.4382485329e-08	0.000849871	0.000148481	2.2046607361000002e-08	7.22280716641e-07	0.000350083	-0.0006228519999999	1.22558106889e-07	3.879446139039999e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
686.1485451117782	0.4403185774438043	470799.8259590099	0.1938804496421355	738.6041982357949	-1.3075843014642032	545536.1616515415	1.7097767054356283	695.3045448240174	2.7405345762539355	7.510529763643338	483448.410052934	697.016626548825	462.72979551913534	0.835779	30.178698	0.13141955	0.0541625	0.0598071678	-0.0631788669	-0.0109312391	-0.087117638	-0.0160079184	-0.0632094197	0.0229230962	-0.0759628851	0.0896509293	-0.0433907422	0.0054103367	0.0248067696	0.0369793071	-0.082650787	0.178366422	0.0526940873	-0.0542251572	-0.1390113843	-0.083271844	-0.1270876956	0.1432956904	-0.062615669	-0.0869672979	-0.0307815183	-0.0850063596	0.1971973222	0.1050909037	0.0556619044	-0.0951312991	-0.0768723898	-0.0974113369	-0.0017347929	-0.0141404227	0.0097158025	-0.0999537535	0.0302284261	-0.0186076598	0.0449371673	-0.0594652898	0.0377678906	-0.0847386633	-0.0330701438	0.0781622849	-0.0399903135	0.0685580846	0.0309652147	0.0247321946	0.1090327422	0.2085825162	0.0453077987	0.1785116949	-0.0402597576	0.0471990096	0.1109315116	0.0317992372	0.0920095119	0.0712355072	0.1139675232	0.1117560484	0.1081019891	0.0605207	0.0084102	7.073146404e-05	0.0036627551284899	-0.102245	0.0177319999999999	0.0003144238239999	0.010454040025	-0.155084	0.029875	0.024051047056	0.000892515625	0.000753548	0.000633621	4.01475571641e-07	5.678345883040001e-07	0.000446049	-0.0004038219999999	1.6307220768399997e-07	1.9895971040100002e-07	-0.000120521	-0.000470604	1.4525311441e-08	2.21468124816e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
690.0935875565166	3.9450424447384194	476229.1595866236	15.563359890787684	743.6830501776412	5.078851941846324	553064.4791215201	25.794737047196172	695.3065924049332	0.0020475809158142	4.192587606806727e-06	483451.2574417599	701.0763895588235	492.3411377143672	1.143077	41.274773	0.7652160999999998	0.415743	-0.0278524069	-0.0601803094	0.1970064644	-0.0088473216	0.0558621474	0.089780745	0.0657467127	0.0575627606	0.0147737115	-0.0559100651	0.0541934742	0.0186255459	0.0522662378	-0.154513387	-0.0899253358	-0.0680914572	-0.01581238	0.0244244504	-0.0936428275	0.0813061594	0.1020608196	-0.0071661608	0.0114181018	0.0679373494	-0.1155426415	0.1599905644	-0.0566247662	-0.0339955641	0.015851259	0.2668424636	-0.1334216038	-0.0857184119	-0.0494684229	0.0216638927	-0.0740122524	-0.0388753622	-0.0677432342	-0.0645393924	-0.0389993067	-0.0146910717	0.1194095713	-0.0610454443	0.0794287727	-0.1010812572	-0.0957542836	0.0448364781	-0.0816927801	-0.1033530668	0.040286131	-0.0719985242	0.151161179	-0.1133761329	0.0697810695	-0.0005185963	-0.0471677182	-0.1133296335	-0.2209582457	0.1136742748	0.110592125	0.105516962	-0.048441	-0.1089617	0.01187265206689	0.0023465304809999	0.0676067	0.1698517	0.02884959999289	0.00457066588489	-0.378855	-0.223771	0.143531111025	0.050073460441	0.00512277	0.004369222	1.9090100885284e-05	2.6242772472899994e-05	0.000279126	-0.000166923	2.7863287929000013e-08	7.7911323876e-08	-0.00083701	-0.000716489	7.005857401e-07	5.133564871210001e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
690.3518432249757	0.2582556684591282	476585.66744412144	0.0666959902912711	740.8305442924947	-2.85250588514657	548829.8953567139	8.136789824795818	695.5056434092714	0.1990510043382301	0.039621302328058	483728.1000141447	699.467470801024	500.0565261291052	1.004231	36.261246	0.51581773	0.346567	-0.0745532747	-0.0397433612	0.0946128067	0.0684515632	-0.0128858616	0.0713962207	0.082068901	0.0407470845	-0.023701231	-0.0683183695	0.1112297237	0.0367246041	0.0803196589	0.0690189625	-0.0577909633	-0.0429955356	-0.0243254987	0.0548356983	0.0154235412	-0.1009367239	0.0390531297	0.044554096	-0.1091804638	-0.1376652897	0.0295969275	-0.1763458865	0.0068821203	-0.0761781394	-0.0583025896	-0.0241435097	-0.0213403778	-0.1359492125	0.0470959892	-0.0686789801	0.0922778424	0.0186338114	-0.0566258858	-0.0771719937	-0.1031850529	0.0344051898	-0.0112096264	0.0275700185	-0.030493515	0.0508662565	-0.0496871719	0.0086603807	0.0018663525	-0.0760098167	-0.0191192194	0.0864504104	-0.1656516343	0.0071053836	0.0517936674	0.1875663322	-0.0486689039	-0.0166804076	0.0801271742	0.1133324686	0.1092392569	0.1025263906	-0.00650072	0.0419402799999999	0.0017589870864783	4.22593605184e-05	-0.255843	-0.3234497	0.10461970843009	0.0654556406489999	-0.407884	-0.029029	0.166369357456	0.000842682841	0.0032828	-0.0018399699999999	3.385489600899997e-06	1.0776775840000002e-05	0.0007962639999999	0.0005171379999999	2.674317110438966e-07	6.340363576958408e-07	-0.000766143	7.086699999999996e-05	5.869750964490001e-07	5.022131688999994e-09	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
686.2455115762847	-4.106331648691025	470932.9021585967	16.861959609041556	740.0505144217536	-0.780029870741032	547674.7638959022	0.6084465992482712	693.5553879353805	-1.950255473890934	3.803496413441551	481019.0761341961	697.0016339454986	471.2720331165882	0.953508	34.429726	0.21829387	0.10701	-0.0601333368	-0.0516793558	-0.0283198996	-0.0335552882	0.000787341	0.0265508886	0.0365205416	-0.0184147028	0.0408237046	-0.0318508549	0.0375358872	0.0198809677	0.0086937107	0.0287674251	-0.0186120887	0.080637282	-0.0385679453	-0.0244584945	0.0466618211	0.1177494429	-0.0960058849	0.0714216812	-0.0318079626	0.1660489139	-0.0089091207	-0.0886533677	-0.0298769991	0.0329592536	-0.1111964273	-0.0303977039	-0.0893355469	-0.0227870904	0.0407350918	0.0071120767	-0.1047281296	-0.056591636	-0.0307707061	-0.0301416533	-0.0550684419	0.0390044142	-0.035800321	-0.008012663	-0.0541591506	0.0711160799	0.0295194403	0.0754499703	0.0766441206	0.0802179539	-0.0581681045	-0.1590817933	-0.0704499105	-0.0738543735	-0.0471121568	-0.0895850918	0.0060991815	-0.0632740783	-0.0214944657	0.1129422506	0.1076997553	0.099141769	0.017776	0.02427672	0.0005893591339584	0.000315986176	-0.283623	-0.02778	0.0007717284	0.080442006129	-0.351149	0.056735	0.123305620201	0.003218860225	0.00210123	-0.00118157	1.3961076649000006e-06	4.4151675129e-06	0.00153552	0.0007392560000001	5.46499433536148e-07	2.3578216704e-06	-0.000496926	0.000269217	2.46935449476e-07	7.247779308900005e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
685.0692143175044	-1.176297258780323	469319.8284056027	1.3836752410141029	737.9284764934555	-2.122037928298141	544538.4364199523	4.503044969135867	692.8058861891261	-0.7495017462543956	0.5617528676383884	479979.9959383004	695.8478807732884	466.0490840735735	0.8645279999999999	31.216789	0.22250332	0.134545	-0.0015581119	-0.0782759896	0.0336588107	-0.102216969	-0.0173297678	0.0015070328	0.0859315384	-0.0738949421	0.0838449272	-0.0115761616	0.0569253927	0.0322113422	0.0616169664	0.094532037	-0.0068320523	0.0352941206	0.020373273	0.0234182459	-0.0100667532	0.0957139359	0.0923582773	-0.037860251	-0.1165148374	0.0235141418	-0.0063066956	-0.1366788342	0.0940354902	-0.1101232812	0.0008137617	-0.0120254305	0.0141196472	0.1302575031	0.0008911631	0.0681944849	-0.0957422074	0.1490818666	-0.0161192557	-0.0204591662	-0.0398451476	0.0681707687	-0.014688716	0.0873131858	-0.0142356095	-0.0321217147	0.0296700642	0.0286655312	0.0279092044	-0.0317162889	-0.0770481279	-0.0402268432	0.0170835811	-0.0821170406	0.0602681448	0.083817482	-0.0401550059	0.0550194149	0.1099648578	0.1125037874	0.1059762505	0.0953761056	0.0176291	-0.0001468999999999	2.1579609999999537e-08	0.00031078516681	-0.164509	0.119114	0.014188144996	0.0270632110809999	-0.316574	0.0345749999999999	0.100219097476	0.0011954306249999	0.00287452	0.00077329	5.979774241000004e-07	8.262865230400002e-06	0.0014146	-0.00012092	1.4621646400000012e-08	2.00109316e-06	-1.77876e-05	0.0004791383999999	3.1639871375999994e-10	2.2957360635456e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
