global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01
773.6808811681706	n/a	n/a	598582.1058851569	855.3079563837498	n/a	731551.7002533465	n/a	747.5375294348007	n/a	558812.3579134855	n/a	750.0786957991821	553.2890228291791	n/a	n/a	n/a	n/a	-0.1019920507	0.0077344906	-0.0282235022	-0.0005697634	-0.0894086018	0.0451667896	-0.0846275138	0.1522713814	-0.0147500666	0.0660704294	-0.0933084827	-0.0808958495	0.0761244154	-0.0127512705	0.0105677206	-0.0353379211	0.0438401105	-0.230355238	0.0860773476	-0.030350339	0.0354607492	0.0967273635	-0.0166880801	0.0413434847	-0.0705479289	0.0342310934	-0.0296099957	0.0326628961	-0.1042108451	0.0006968155	-0.0470518042	0.0726677144	-0.1003371265	0.0559070609	-0.0645115579	0.006519382	0.0703518042	-0.149218517	0.0998628506	-0.0067289775	-0.0771973979	0.1710990653	-0.076965417	-0.0064084471	-0.0133801449	-0.0157571728	0.145157437	-0.0733114868	-0.0222173262	0.0078786895	0.0410451248	0.0109419463	-0.1942759762	-0.0941362311	0.1744861646	-0.0188105715	-0.0279508074	-0.0455992114	-0.0185452727	0.0972898393	0.0234471024	-0.0637522955	0.1280799745	-0.0383251712	0.0128469724	-0.0619275297	0.0247857315	-0.1594171503	0.0786609108	-0.0690506467	0.1987077765	-0.0493476948	0.0318112662	-0.024628983	0.0202078334	-0.0197182341	0.0979321159	-0.0064309637	0.0322184142	-0.1196174172	0.0523237368	-0.1597286896	0.1148106683	-0.0261287645	0.0358921197	-0.0666909002	0.1648678713	-0.0137582635	-0.044580189	0.2481259518	0.0559771997	-0.1600582017	-0.0108522726	0.0447582473	0.0392199631	-0.0376782902	-0.0456585729	0.0518059548	0.0233088074	-0.0957648979	-0.0750770308	0.0111372133	0.0247905698	0.0798173154	-0.1766864915	0.0676338097	0.0289654395	0.022373441	0.1147017419	0.1146833673	0.1146527451	-0.022403	n/a	0.000501894409	n/a	0.121588	n/a	n/a	0.014783641744	0.0252321	n/a	0.00063665887041	n/a	-0.00141404	n/a	1.9995091216e-06	n/a	-0.000645294	n/a	n/a	4.1640434643600003e-07	-0.000140877	n/a	n/a	1.9846329129e-08	0.0	0.0
772.2056591418349	-1.4752220263357003	2.1762800269860096	596301.5800106757	848.1022244054824	-7.2057319782674085	719277.3830415272	51.92257334262554	746.0527121338093	-1.4848173009913808	556594.6492822126	2.204682417323329	747.7954985361453	550.2241113757991	0.963033	22.903173	0.26618249	0.147778	-0.069649811	-0.0439153433	-0.046844837	0.0117457419	-0.0631409902	-0.0316416513	0.0484830439	0.0856148467	0.0060381585	-0.0475150759	-0.0842394945	0.1018355703	0.0199385502	-0.0039159593	0.0157188921	0.0870983082	0.089774495	-0.1440192834	0.0083231652	-0.0593968956	0.0456974839	-0.0727753218	0.0193571744	-0.0511178981	-0.1194374824	-0.0900410485	0.0120183916	0.112512062	-0.0358178183	0.0346398617	-0.0608805063	0.0816397464	-0.1320181435	0.0500083966	0.1047125207	0.023471668	0.0130398114	-0.1096468437	-0.0790463961	0.1458526623	-0.1183576577	0.0083397351	0.0416192607	0.0484082793	0.0146834416	-0.109984592	-0.0259884321	-0.1452898674	0.1174433903	-0.0308400837	-0.1775253821	-0.0702684496	-0.0599202967	0.0512654503	0.0788374995	-0.0260033784	-0.1331578292	0.1368782202	-0.0094542476	-0.0124032978	-0.0621401268	0.0200014325	0.0473048148	-0.0952816983	-0.0641883915	-0.0466773282	0.0037401678	-0.0875806547	0.0857681904	-0.0433677566	0.053982884	-0.0837786864	0.0282319164	-0.0586624197	-0.0075334552	0.1000404735	0.0307297234	-0.0035457681	-0.0293072041	0.0370515418	-0.057950916	0.1429157783	0.1232656378	0.0740316727	0.1828816197	0.0915550888	-0.0396272238	-0.0354852108	0.0689707156	-0.1212840046	0.0576583983	-0.1602447246	-0.008548753	0.0507049038	-0.1158864377	0.0225080156	-0.2113116543	-0.1427023534	-0.0219705599	-0.0927055221	-0.083545071	0.0172930292	0.1290278814	-0.0020505299	0.0134836407	-0.0963286152	-0.0082232821	-0.0313785789	0.1146527451	0.1144874327	0.1142120884	-0.00961059	0.0127924099999999	9.23634401481e-05	0.000163645753608	0.00127453	-0.12031347	0.0144753310634409	1.6244267209000005e-06	0.0331259	0.0078938	0.00109732525081	6.231207843999999e-05	2.35452e-05	0.0014375852	5.5437644304e-10	2.0666512072590407e-06	1.90296e-24	0.000645294	4.1640434643600003e-07	3.6212567616000005e-48	-0.000561654	-0.000420777	1.77053283729e-07	3.15455215716e-07	0.0	0.0
771.3026206393731	-0.9030385024617544	0.815478536928368	594907.7326051648	843.7627806482836	-4.339443757198751	711935.6300073236	18.83077212189121	745.9951144087559	-0.0575977250534833	556508.7107217327	0.0033174979313366	747.1552885858634	553.9432272440698	1.037286	24.669088	0.22533904	0.140816	0.0103870026	-0.0865949076	-0.0206072234	-0.0656577403	-0.0507336704	0.106361641	0.0566085222	0.027002138	0.0388883367	0.0616051305	0.0076389763	-0.0152500468	-0.0121214587	0.125443026	0.013928418	-0.037087155	0.0520601247	0.0346650242	-0.0704207354	0.0330222024	-0.0418986053	0.1135456601	0.1178134314	0.0828810213	-0.1385744849	0.0175479397	-0.0006644706	-0.0335311081	0.0596936028	0.0720172669	-0.0473735906	0.1404270876	-0.0463063618	-0.0781752537	0.140937961	0.0785203463	-0.081955954	0.0302529354	-0.0507565695	-0.0583070329	0.0779751924	0.0081842568	0.04084219	-0.0036071857	0.2268834602	-0.0794152403	0.1265153423	-0.0835615371	0.086223575	0.0448693713	0.0602721114	0.0217940654	0.0808839951	-0.0877479619	0.0584829255	-0.0072745618	0.1132815644	-0.0849324036	0.1360861562	-0.1117026439	-0.0081523624	-0.094258808	-0.0675083594	-0.054163432	0.0095109261	-0.0574553767	-0.0230835617	-0.0031842725	-0.0692812886	0.0398606747	0.1077502344	-0.0594379438	0.0774281119	0.1586235798	-0.0865555067	-0.0363852409	-0.034994317	-0.0058122827	-0.0087616939	0.0741238051	0.0479197032	0.0714690743	0.1132023275	-0.0649596402	0.0552046224	0.0186392802	0.0294798363	-0.094055499	0.1756612755	-0.0309894729	-0.0482840715	-0.0293863093	0.1855960113	0.0671762514	0.0633714525	0.0135347849	0.0611648568	0.0077382415	0.0642943936	0.1770267034	0.0052727472	0.0830491791	-0.0320786613	0.0108283299	-0.0730315112	0.007595789	0.0187812099	-0.0657758359	0.1145547726	0.1140958982	0.1133324686	-0.0173744	-0.00776381	0.00030186977536	6.027674571610002e-05	0.12008	0.11880547	0.0141147397019209	0.0144192064	0.015591	-0.0175349	0.000243079281	0.0003074727180099	-0.00139516	-0.0014187052	1.9464714256000004e-06	2.0127244445070407e-06	-0.0	-1.90296e-24	3.6212567616000005e-48	0.0	-0.000355662	0.0002059919999999	4.243270406399998e-08	1.26495458244e-07	0.0	0.0
771.3788143004992	0.0761936611261262	0.0058054739958029	595025.2751516441	839.4990161219612	-4.263764526322461	704758.5980697408	18.1796879359258	745.595084932654	-0.4000294761018494	555912.0306757315	0.1600235817503201	746.7796826106215	544.976744294376	1.13465	26.984627	0.1197512	0.074725	0.0258595676	-0.0771963921	-0.0105590326	0.0910670893	-0.0016120454	-0.1326396038	0.0707786757	-0.0399803619	0.0573894611	0.0278663148	0.0610121897	0.0585437603	-0.1144527794	-0.0611739271	-0.0280742215	0.0153113458	-0.0528840985	-0.0613336171	-0.0530771226	-0.0269533102	0.0483422308	-0.0170655483	-0.1053738759	-0.0253229675	0.0599856797	-0.0585778206	-0.2348235972	-0.1023292516	-0.0837070015	-0.0184492887	-0.1550341113	-0.0994401398	-0.0345908014	-0.0935017758	-0.0585165353	-0.0257770869	-0.019392755	0.0754290917	0.0466920144	-0.0004375336	0.040806134	-0.0248945849	0.0305190255	0.0881704377	0.0666639405	-0.0537464992	-0.020755877	0.0340787402	0.0397180644	0.0528953027	0.1166604317	0.1463181925	0.0822509394	0.0556017038	0.1297990308	-0.0206610545	-0.0056101621	-0.0436801257	-0.0987699993	-0.0109144284	-0.0278524654	0.126839126	-0.055359216	-0.0413270536	0.0393828385	0.0133251188	0.0091508267	-0.024502168	-0.0092239098	0.0868475977	-0.0220884204	-0.0818477383	0.008568227	-0.1354287047	0.0413477441	-0.0469405842	-0.0039247574	0.0084292963	-0.1195696214	-0.160362086	0.0186645502	-0.0196772525	-0.0064076436	-0.0502377555	-0.0435882567	0.1174449322	-0.0569845818	-0.104096621	-0.0197972675	0.1537623496	-0.1127835716	-0.0494662322	-0.0029702536	0.1325497121	-0.0489226313	0.0481031478	-0.0467268446	-0.0361745347	0.0639900021	0.0430616251	0.0549682445	-0.0043161122	-0.1568027437	-0.0353484398	0.0853905269	0.0775138933	-0.0995801121	-0.1187172959	0.1144078661	0.1135094328	0.1120172664	-0.0156914	0.001683	0.00024622003396	2.8324890000000016e-06	0.0645716	-0.0555084	0.00308118247056	0.00416949152656	0.0657103	0.0501193	0.00431784352609	0.00251194423249	-0.00123152	0.00016364	1.5166415104e-06	2.6778049600000016e-08	-5.293960000000001e-23	-5.293960000000001e-23	2.802601248160001e-45	2.802601248160001e-45	-0.000270492	8.517000000000003e-05	7.2539289000000054e-09	7.3165922064e-08	0.0	0.0
772.4818246996276	1.1030103991283795	1.216631940585347	596728.1694912662	840.2576461162419	0.7586299942806818	706032.9118568075	0.5755194682223073	745.91932516123	0.3242402285759453	556395.6396489847	0.1051317258269813	747.0224639555208	549.5966995524933	1.12098	26.659538	0.1943256154	0.105592	0.053273414	-0.0760624428	-0.0166256357	-0.0694772474	0.0030746558	0.0808987067	0.0789300664	0.0199449891	0.0419230852	-0.0800514292	0.0273812021	0.0694309397	-0.0047624748	0.1255444123	-0.0611759542	-0.0152079651	-0.013735882	-0.029597978	-0.1520972279	0.0265433331	-0.0047492117	-0.0558893176	-0.0424300127	0.1082001161	-0.0336710595	0.0306828909	0.0101258946	-0.0161550714	-0.097734986	-0.1159360631	0.144389486	-0.1269624258	-0.022619148	0.0313692738	0.0466279902	-0.0133198448	-0.0447265653	0.0203004582	-0.0793850409	0.1304851785	-0.0235550239	-0.0130419386	0.0050895618	0.0658864602	-0.0033585036	0.0002001299	-0.0521716327	-0.1802296384	-0.0554413487	-0.0495995272	-0.1883562729	0.0063560441	-0.0536722388	-0.0028587151	0.0523814731	-0.048627913	-0.0029345224	0.0874565153	-0.0077960047	-0.0456456869	-0.1483796057	-0.0760455732	-0.0966471706	-0.0037833994	-0.0655296239	-0.0138405697	-0.0473457786	-0.0409233161	-0.1318549517	0.0178075073	-0.0417874768	-0.0831832756	0.0065845512	-0.0408239149	0.0127192124	-0.0833984728	-0.0416946692	-0.0326648235	0.0565966856	-0.0532990534	-0.1410921817	-0.0068827964	-0.0699041512	0.0831490224	0.0883498996	-0.0504808723	-0.0245304536	-0.1286472731	-0.0015668048	-0.1080042328	-0.031730534	-0.0440841354	0.0222884028	-0.0292588101	0.0239760806	-0.0751453332	-0.1502250952	-0.0211991655	0.0030482424	-0.0598942644	-0.0754370869	0.0809983067	0.114081924	0.0028897779	0.0023491808	-0.0490557791	0.0110309162	0.0175617572	0.1142120884	0.1127290384	0.1102715368	-7.428459999999998e-05	0.0156171154	5.518201797159998e-09	0.0002438942934169	0.0141083	-0.0504633	0.00254654464689	0.00019904412889	-0.0242898	-0.0900001	0.00058999438404	0.00810001800001	-0.00170526	-0.0004737399999999	2.9079116676e-06	2.2442958759999985e-07	-2.11758e-22	-1.5881839999999998e-22	2.522328417856e-44	4.4841450563999997e-44	-0.000561654	-0.000291162	8.477531024399999e-08	3.15455215716e-07	0.0	0.0
771.0433098531713	-1.4385148464563144	2.0693249634752338	594507.7856693335	837.5881573079154	-2.6694888083264914	701553.9212624691	7.126170497780391	745.8054967041411	-0.1138284570888572	556225.8389141106	0.0129569176432298	746.8415378471458	566.6509668514072	1.355452	32.235813	0.2287388654	0.114591	0.1302899316	0.0610874562	0.0143293882	0.1424342572	0.0904692096	-0.0524650891	-0.0155156884	-0.0617725334	0.0827001137	0.0788563489	-0.0110248463	0.0317218121	-0.1351357262	-0.0260818246	0.0232333768	-0.132626431	-0.0059702168	-0.0404597332	-0.00038898	-0.0965990164	0.0027648257	-0.1095963259	0.1242556634	-0.0389645033	0.0957684165	0.0425746858	-0.1570258167	0.0640266229	0.0521981058	0.0675334751	0.0566184335	0.1163289154	0.0670951264	-0.021755003	-0.0479587962	0.0517179732	0.0370148146	0.0546515132	-0.0810432438	-0.0262831167	-0.0169695188	-0.0430443938	-0.0393615243	-0.0385460605	-0.0734971789	0.0618175614	-0.0038167234	-0.0900953297	0.0581018672	-0.237474597	0.021966561	0.0219649616	-0.0615532616	-0.035134812	-0.0788203591	0.1003760548	-0.1096983877	-0.1471935217	-0.02839307	-0.0709246775	0.022806586	0.0717982996	-0.0831179823	0.0793480901	0.145031387	-0.0294808914	-0.0339571381	-0.042833351	0.0730776541	-0.0818366115	-0.054336132	-0.0604041536	-0.021104018	-0.0347092259	-0.0867239787	0.1515547287	-0.0302057287	0.1294712012	-0.1007958233	0.0098100193	0.0283710229	-0.0593757086	-0.0690345844	-0.0087580003	-0.1125793879	0.052674446	0.080366026	0.0664301281	0.0694950452	-0.1784716036	-0.0116990476	0.0096560661	-0.0608935808	-0.1288506355	0.1885354181	0.0263342322	-0.0405551948	-0.0751065647	0.0750403215	-0.0330531178	0.0196393627	-0.1115534755	-0.0694896762	0.1364697248	-0.0231813916	0.0105551255	0.0919125563	0.0010744301	0.1139675232	0.1117560484	0.1081019891	-0.0173129	-0.0172386154	0.0002997365064099	0.0002971698609091	0.0921359	0.0780276	0.00608830636176	0.00848902406881	0.0525287	0.0768185	0.0027592643236899	0.00590108194225	-0.00120653	0.00049873	1.4557146409e-06	2.487316129e-07	0.000129546	0.000129546	1.6782166116e-08	1.6782166116e-08	-5.6847e-05	0.000504807	2.548301072490001e-07	3.231581409e-09	0.0	0.0
770.1298449439045	-0.9134649092668496	0.8344181404618939	593099.9780733223	839.2597828799859	1.6716255720705249	704356.9831597611	2.794332053200109	746.3609427710765	0.5554460669353602	557054.65689413	0.3085203332739607	747.5319215084061	552.3316908797806	1.347894	32.05608	0.1488216999999999	0.0960102	0.0195056263	0.1574900723	0.0865863483	-0.063201747	0.1136708003	0.0153980134	-0.0905035965	-0.0193192914	0.0145897121	-0.0581709512	0.0939313232	-0.1121020724	0.069470725	-0.0283819072	-0.0898190143	0.0320784305	-0.1828736964	0.0103906018	-0.0412680357	-0.1332275455	0.0951913124	-0.0596654807	0.1202182335	-0.0433213573	0.2360650169	-0.0684643406	0.1248762778	0.0489738285	-0.0356245686	0.0166369565	0.0090043511	-0.0391394341	0.0386710275	0.0505997522	-0.0648978293	0.0185439808	-0.0595166674	0.1892595709	0.0444739299	0.0785139379	-0.0952376459	0.0806022382	-0.1216772381	0.0666826887	0.0504503334	-0.0254082653	0.1046608566	0.0298448524	-0.1028885406	0.1406994105	0.0613726243	-0.0615585267	-0.0281920574	-0.0637860831	-0.1101938997	0.043622244	-0.1005706437	0.1449130811	0.0578522634	-0.0170971545	0.0345676794	0.0199060915	0.0207502334	0.1651545808	-0.0820953203	0.1169920442	-0.0916279267	-0.0236915505	0.1060514078	0.0098358473	-0.2227424783	-0.0740082191	-0.0674503733	0.1401584959	-0.0398213351	0.076287144	0.0512035459	0.0741214241	0.0276233276	-0.0185100483	-0.0479781567	-0.0122187284	-0.0284921646	-0.0876399758	0.0172579698	-0.0744625619	-0.1122647266	-0.0618533859	-0.0943137524	0.1484977487	-0.1038153122	-0.0723547755	-0.0588757422	0.1004855222	0.01081971	-0.1183743212	0.0220407744	0.0229221077	-0.1548440587	0.0076899102	-0.1157204124	0.0361727746	-0.0487868171	0.0251230868	0.0676058276	-0.0770472829	0.0373367401	0.1820970084	0.1136742748	0.110592125	0.105516962	-0.015863	0.0014499	0.0002516347689999	2.1022100100000013e-06	0.0342168	-0.0579191	0.00335462214481	0.00117078940224	-0.0219516	-0.0744803	0.00048187274256	0.00554731508809	-0.00101292	0.0001936099999999	1.0260069264e-06	3.7484832099999956e-08	0.000106081	-2.3464999999999996e-05	5.506062249999995e-10	1.1253178561e-08	-0.00013922	-8.2373e-05	6.785311129000001e-09	1.9382208400000005e-08	0.0	0.0
771.8266835934949	1.6968386495904042	2.8792614027437864	595716.4295069329	842.7121257189661	3.452342838980257	710163.7268337787	11.918671077858264	746.8602895476129	0.499346776536413	557800.2921031441	0.2493472032373064	747.67960019792	540.1304162382442	1.052465	25.030087	0.1744812349999999	0.1016	-0.0024085889	0.1260863174	0.0094459083	-0.033665484	0.1120223977	0.0702442912	-0.1097850054	0.0082420405	-0.0837242626	0.039279662	-0.0472064926	0.0393943553	0.0646530371	-0.0092018886	0.0585786687	-0.0770790488	-0.0983803213	-0.0549569324	0.0852704718	0.0226938125	0.0476757899	-0.0991112173	0.1293254642	0.0111606387	0.0738480883	0.2184226071	0.1028294437	0.1092768924	-0.0562011085	-0.0148709064	-0.036504041	-0.069974002	-0.1358122473	-0.0591794893	-0.1390434216	0.031495988	0.0657918539	0.038290485	-0.0348702967	-0.0268459283	0.217763083	-0.0194482672	0.0732797231	-0.0920427573	-0.1281027953	-0.0540715011	-0.0737496209	-0.0032133164	-0.0739884309	0.0475957104	-0.0815323098	0.0377776214	-0.0574280563	-0.1286714036	-0.0060843762	0.0146290928	0.1068606594	0.0756212097	-0.0041738985	-0.1501405767	-0.0569787377	-0.0467851388	0.0129464221	0.1513077002	0.0723834615	0.0690173525	0.1391814557	-0.0629529444	0.0088289227	-0.0562846351	-0.1180999239	-0.0522133104	0.139563714	0.1412546799	0.0550599003	0.1865659405	0.1173823142	-0.1057242136	0.0366320791	-0.0163509254	-0.1068647753	-0.1175059666	-0.0285870215	-0.0289066451	-0.1310668172	0.0071774264	-0.0388592238	0.0658403078	0.0662548823	0.069621467	0.0917120999	0.1054725631	-0.0476465837	-0.0624955018	0.0143503008	0.0751611364	-0.0703171309	0.0525585717	0.0345483006	0.0057006852	-0.0269702363	-0.076999591	0.0157515047	-0.0664304752	0.0595595816	0.040479672	0.0026814315	-0.0036865189	0.1133324686	0.1092392569	0.1025263906	-0.0100973	0.0057656999999999	0.00010195546729	3.3243296489999984e-05	0.120177	0.0859602	0.00738915598404	0.014442511329	0.022177	0.0441286	0.000491819329	0.00194733333796	-0.00116472	-0.0001517999999999	1.3565726784e-06	2.3043239999999967e-08	-0.00038768	-0.000493761	2.43799925121e-07	1.502957824e-07	-1.22463e-05	0.0001269737	1.612232049169e-08	1.4997186369e-10	0.0	0.0
775.3253059164049	3.4986223229100237	12.240358158364328	601129.3299943669	848.1760659508407	5.463940231874517	719402.6388518448	29.85464285749695	748.5906135369997	1.730323989386875	560387.9066757017	2.99402110824771	749.6707593223119	556.4862422723886	1.026891	24.421864	0.203267915	0.117249	-0.0225097952	0.1448379109	-0.0973461611	-0.0648859186	0.1060076798	-0.0312774937	-0.0919972639	0.1806294371	-0.1708107356	-0.1201376478	0.018932927	-0.032850131	0.1084689224	-0.1254916882	-0.0773467361	-0.0250910534	0.0126592487	-0.0450947574	-0.0963190763	0.1861920537	-0.1458107137	-0.2099837949	0.0319959626	-0.0351784854	-0.0247706785	-0.1123108999	0.1460664059	0.0017208874	0.0063688227	-0.1128124835	-0.0793691288	0.0663545985	0.0635784539	0.0436993977	0.0853091668	0.069091292	0.0715698906	0.1253333618	-0.0282671126	-0.0164592438	0.096263439	-0.0934942186	0.013215964	0.1141314911	0.0026344589	0.0241995065	0.0268220215	-0.0613380861	0.0279369883	0.0163168656	-0.0022311225	0.1665522048	0.1497227434	-0.0794440735	-0.1598123908	0.1352155697	-0.0003693002	-0.0208898653	-0.1024336708	0.1098010905	0.055110072	0.0641465795	0.1064872813	0.1102808759	-0.08538987	-0.0171010211	0.0666729896	-0.0579627147	-0.2302679266	-0.1181310595	0.0052425195	0.0290897124	-0.0747731506	0.0968152925	0.0113609886	0.1355093738	0.0603782737	-0.1589633016	-0.0101520766	0.1204945805	-0.0656763085	0.1931758946	0.0953693214	-0.0323669406	-0.0465888857	0.0260698648	-0.0761632568	0.0255988684	-0.0844062883	-0.0694526487	-0.208164613	0.0833696295	0.02726394	0.0439236986	0.1221869532	0.0219962807	0.0197039243	0.0108594427	0.0017493383	0.1097341328	-0.0311018584	-0.0203890847	-0.1099267665	0.0258758123	0.0008239438	0.0656727539	0.1304094872	-0.1023987784	0.1129422506	0.1076997553	0.099141769	-0.00280467	0.00729263	7.8661738089e-06	5.318245231689999e-05	0.0257435	-0.0944335	0.00891768592225	0.00066272779225	-0.0385266	-0.0607035999999999	0.00148429890756	0.0036849270529599	-0.00126187	-9.715000000000006e-05	1.5923158969e-06	9.43812250000001e-09	0.000218924	0.000606604	3.679684128159999e-07	4.7927717776e-08	-0.000125256	-0.0001130097	1.277119229409e-08	1.5689065535999997e-08	0.0	0.0
774.9344373563206	-0.3908685600843	0.152778231262374	600523.3822007572	852.4222889335826	4.246222982741983	726623.7586707682	18.030409619166225	748.0478384438096	-0.5427750931901301	559575.5686004559	0.2946048017875544	750.4304802647162	566.539323598326	1.098027	26.113646	0.122229015	0.0788482999999999	-0.0971813789	0.0352084578	-0.155244772	-0.0335213705	-0.1144781226	0.0510057185	-0.0514679111	0.1430872174	-0.0016968179	0.0006378869	-0.0236616992	0.0115967742	0.1096954848	-0.0448822962	0.0461600272	-0.0302566692	0.1197785712	-0.1009283665	0.0377718936	0.1016839064	-0.0118302945	0.1542799173	0.095213364	-0.1182926223	-0.0495998106	-0.0079935966	-0.1481733366	0.0427683246	0.2452232004	-0.0742856809	0.0154197264	-0.1427685875	0.1051053076	0.0503081293	0.0780703497	-0.1213761976	-0.0341250024	0.0187720536	0.0718943074	-0.0138550695	0.00505121	-0.0974300411	-0.1333132353	-0.0637011627	-0.0302988243	0.0199029813	-0.0090276229	0.0600608243	0.013168078	0.1477457519	-0.0037486471	-0.062837297	0.0292506314	-0.0462443942	0.0964910332	-0.0555441141	-0.04996989	-0.0154467189	-0.0120002597	0.0610005746	-0.0256044116	-0.085988461	0.154940617	-0.0453918364	0.0050785105	-0.1212347231	0.0485263934	-0.0810862932	-0.064851211	-0.005476347	0.1155675993	0.0279395456	-0.0415048994	-0.0028370963	0.0367045099	-0.0264175247	-0.1120208305	0.1347324244	-0.0296298498	0.042005725	0.0226622494	0.0208772763	-0.0596086414	0.054152611	0.0517748693	-0.0010177402	-0.0862960484	-0.0017428925	-0.1340652511	0.0574283281	0.1012131795	0.1214391299	0.0619867639	0.023875103	-0.0284643286	0.1119227971	0.2032471116	0.064371285	-0.1354889496	-0.1265316254	0.0660901175	0.041222552	0.1272509369	0.1705960703	-0.0024661301	0.0315341973	-0.032506597	-0.060605279	0.1125037874	0.1059762505	0.0953761056	-0.00241927	0.0003854	5.8528673329e-06	1.4853316000000013e-07	0.0977086	0.0719651	0.00517897561801	0.00954697051396	-0.0177245	0.0208021	0.00031415790025	0.00043272736441	-0.00164048	-0.0003786099999999	2.6911746304e-06	1.4334553209999998e-07	3.03997e-05	-0.0001885243	3.5541411690490005e-08	9.2414176009e-10	-0.00013965	-1.4394000000000012e-05	2.0718723600000035e-10	1.9502122500000006e-08	0.0	0.0
