global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15
762.6661023442069	n/a	n/a	581659.5836649043	816.5969311652877	n/a	n/a	666830.5479885656	737.8407853346005	n/a	n/a	544409.02450318	739.9244865466721	633.4422794024588	n/a	n/a	n/a	n/a	-0.0017683401	-0.0017867467	0.0586911405	-0.0063212527	0.0591485298	-0.0783086828	0.0417595441	-0.0493179505	0.1654732114	-0.0870789147	0.0186699828	0.0305098459	-0.0031980772	-0.0054389731	0.1051479318	-0.0842683614	-0.0200559868	0.0469131752	-0.0229592002	0.0217099151	-0.0344273749	0.0414664337	-0.054170385	-0.0009268862	0.0004487418	-0.0466809483	0.0673514636	-6.35533e-05	0.0264158697	-0.0776030055	0.1005675045	-0.0401205546	0.1208681865	-0.0337291399	0.0315097632	-0.164110944	0.0542742246	-0.0547350328	0.0147293645	-0.1396812732	0.0144391993	0.0391482806	-0.087385639	0.0314135065	0.0143499637	-0.0822637885	-0.0275701988	0.1425959587	0.011150674	0.0169032413	-0.0529703231	0.116194265	0.0539132849	-0.0448286242	-0.0770657782	0.0343096881	0.0433852589	0.1816424583	-0.005506995	-0.0626839962	0.0373760648	-0.0603692384	0.0479675002	-0.0176719736	0.0870006715	-0.0049396212	0.0848046485	-0.1992611835	0.0732772338	-0.0363937698	0.0094252746	-0.0281702135	0.0256247723	-0.0449252761	0.0063214969	-0.0566728938	0.1161660794	-0.0094948508	0.1010373145	-0.0997495975	0.0646632804	-0.014500407	0.0757236257	-0.0017795772	0.0538713776	-0.0160167483	-0.0822479244	0.0671949075	-0.0614719298	0.0144095855	-0.1227186724	-0.0466390771	0.0956193189	-0.0501697635	-0.0116946345	-0.0385513836	0.0793694534	0.1267528141	-0.1543049147	0.1147017419	0.1146833673	0.1146527451	5.89573e-06	n/a	3.4759632232899996e-11	n/a	0.0593424	n/a	0.0035215204377599	n/a	0.0142042	n/a	n/a	0.00020175929764	0.00363358	n/a	n/a	1.32029036164e-05	-0.0	n/a	0.0	n/a	0.000129818	n/a	1.6852713124e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
762.0033374616103	-0.6627648825966617	0.4392572896033667	580649.0863026327	811.6864230017796	-4.910508163508098	24.113090423879672	658834.849285424	738.1697374311614	0.3289520965608972	0.1082094818318098	544894.5612591897	740.3644966996111	632.3779408144266	1.022284	25.427591	0.11809954573	0.0592468	0.0011835163	-0.0792575272	0.1002854462	-0.0097995096	0.0747950763	-0.1049025557	0.0817944911	-0.0431043422	-0.0844438356	0.0357795984	-0.0412642339	0.0593168735	0.1238578095	0.0007394002	0.0623946527	-0.1082366937	-0.1402934347	-0.0798786817	0.0311477269	-0.0195116787	-0.0035249109	0.0258064352	-0.1497774599	-0.0225132502	0.0987415473	0.0250497744	-0.0261092691	-0.0719123175	0.0782481834	-0.0875363284	0.0334070243	0.0107976954	0.0985057598	-0.0766201545	0.0107033865	-0.0142835211	0.0043267713	-0.0786687123	0.1424777861	0.0417999351	0.0025630568	0.0052806021	0.0451450465	-0.06628874	0.045906956	0.0651270418	-0.0587028303	0.1579968969	0.1516639156	0.041035658	-0.053748432	-0.0795428214	0.0404405818	0.0282732492	0.0384358363	0.0727842414	-0.126552222	0.1667371239	-0.0052037868	-0.0298803572	0.1063465863	-0.1366796704	0.0063068829	-0.0701016787	0.0626534471	0.0294214504	0.0011216712	-0.0320123823	0.1013963098	0.0299395838	0.0669679366	0.1159853676	-0.008393214	0.0768560272	0.0003957454	0.0677074697	0.135720615	-0.0148868102	0.0611449597	0.0637846262	0.0878004156	-0.0498141968	0.0673799126	0.0056815478	0.0235794318	-0.0515515699	0.1467990845	0.0646530083	0.0401753059	0.0080758268	-0.1259709441	0.0539803726	0.0574665225	-0.0767087602	-0.0065786097	-0.0855653298	-0.1050465527	-0.1151526491	0.0283974363	0.1146527451	0.1144874327	0.1142120884	-0.0073675499999999	-0.0073734457299999	5.428079300249852e-05	5.436770193325376e-05	0.0141346	-0.0452077999999999	0.00019978691716	0.0020437451808399	0.0399973	0.0257931	0.00066528400761	0.00159978400729	0.0040219	0.00038832	1.5079242240000013e-07	1.617567961e-05	-0.000354481	-0.000354481	1.25656779361e-07	1.25656779361e-07	0.000181521	5.1703e-05	3.2949873441e-08	2.673200209e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
763.2676396845618	1.2643022229515282	1.5984601109601757	582577.489789642	815.6553840816506	3.968961079870951	15.752652053530383	665293.705581385	739.1181319667159	0.9483945355544848	0.8994521950696068	546295.6130019675	741.4562436920993	638.0450818294764	0.985439	24.511141	0.18837426	0.120025	-0.0046645678	0.011780224	0.1178831465	0.0159948787	0.1162206319	-0.0250983406	0.0794612645	0.0052216333	0.108157059	0.0127711775	-0.0295940397	-0.0022347033	0.0354080985	-0.0042719587	0.0329982878	0.0402641248	-0.0984773434	0.0816425877	-0.0027187196	0.1099599867	0.0136842118	0.0687100267	0.1143897953	-0.0609995373	0.125438908	0.0779779015	-0.0366702253	0.0145906505	-0.0613749115	-0.0429592039	0.0143170774	0.0742829268	-0.0260240393	-0.0928841479	0.0459177578	0.0162471013	-0.0715002189	-0.0517138669	-0.018760138	-0.0376522973	0.0529138857	0.1870277973	-0.0748260547	-0.056253895	0.0831869105	-0.0361038002	-0.0295822566	0.0545048141	-0.0013946958	-0.0055578968	-0.0610929221	-0.088253113	-0.0056389909	-0.0231560641	0.0075355685	-0.0297761401	0.0372202945	-0.0656092249	-0.0152408249	-0.004905691	0.0779128692	0.0464422784	0.1146429396	-0.1146819196	-0.0036275017	-0.0940877864	-0.0056302259	-0.0866624313	0.0020828194	-0.0790548847	-0.0219365502	-0.0120563426	0.0984549054	0.051981636	0.0076828509	7.35256e-05	0.0401211008	0.0178027017	-0.0357585185	0.0265536582	-0.0327950332	-0.1154485447	0.0865287391	0.011759569	0.0763592426	-0.0003354839	-0.0411905947	0.0399075412	0.0508319898	-0.0270791423	-0.1091837624	0.0142408348	-0.0713983066	-0.0785991671	0.0367247908	0.0694265392	-0.030253463	-0.0025633479	-0.1596186752	0.1145547726	0.1140958982	0.1133324686	-0.00659414	0.0007734099999998	4.34826823396e-05	5.98163028099845e-07	0.114848	0.1007134	0.013190063104	0.01014318893956	0.0733758	0.0333785	0.00111412426225	0.00538400802564	0.00307423	-0.00094767	8.980784289000006e-07	9.4508900929e-06	-0.0002721	8.238100000000002e-05	7.403841e-08	6.786629161000004e-09	0.000141393	-4.0128000000000006e-05	1.9991980449e-08	1.6102563840000004e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
763.4115725139455	0.1439328293837434	0.0207166593744097	582797.2290482151	815.0979216143943	-0.5574624672563004	0.3107644023994818	664384.6218201052	740.4670875912037	1.348955624487871	1.8196812768374628	548291.5078057994	743.0098738344292	636.1188406209457	0.904912	22.508167	0.1053238099999999	0.0744326	0.0050996654	-0.0379943945	0.1291698065	-0.0072639879	0.1137025185	-0.0195500861	0.0048153765	0.0025772313	-0.0296702308	-0.0162969236	0.0115278452	-0.0015651424	0.1309370678	-0.0208703258	-0.0472390408	-0.0296118203	-0.0524660764	-0.0617222023	0.0288672163	0.0471970575	-0.092323651	0.0140964112	0.023781417	0.0281387855	0.0096170714	-0.0162272719	-0.0443543093	0.106303583	-0.0326678263	-0.1386848132	0.0061720437	-0.0106825666	0.051555132	0.1253648574	0.1087301456	0.0837006141	-0.0535733478	0.024846172	0.0228616481	-0.01979601	-0.1154115184	0.0329591536	0.0506322684	-0.0703958871	0.0945736399	-0.0472298995	-0.0319120899	-0.0873006649	0.0032185175	0.0716976868	-0.0677921175	0.0828717386	-0.0098874455	0.0165517193	-0.0396422105	-0.0711888619	-0.136293662	0.0600107061	0.0037692991	0.0617286401	0.0321688651	-0.0281899639	0.0456480094	-0.0594621858	0.0254153287	-0.0294737549	0.0371431733	0.0810423483	0.0258329012	0.0191294216	-0.0480895168	-0.0083503517	0.0545917292	0.0027386269	-0.0840936281	0.0826200742	0.0161721161	-0.1225809571	-0.0113442555	0.1231253866	0.1008294644	-0.0293003718	0.0027138999	-0.0475073749	0.0053845443	0.0209116019	-0.0575684726	0.0426162376	-0.0259357526	-0.0001735649	0.1329115054	-0.0174087449	-0.0694062157	-0.0267561957	-0.1047712524	-0.0029064497	0.0202089909	-0.1785568711	0.0266910002	0.1144078661	0.1135094328	0.1120172664	-0.0104888	-0.0038946599999999	0.0001100149254399	1.5168376515599997e-05	0.0453147	-0.0695333	0.00205342203609	0.00483487980889	0.0470277	-0.0263481	0.00069422237361	0.00221160456729	0.00304055	-3.367999999999991e-05	1.1343423999999938e-09	9.2449443025e-06	-0.000308362	-3.626200000000001e-05	9.5087123044e-08	1.3149326440000011e-09	0.00010038	-4.1013e-05	1.00761444e-08	1.6820661689999995e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
763.8165159154223	0.4049434014767712	0.1639791583995775	583415.6699851746	817.1873003064162	2.08937869202191	4.365503318675187	667795.0837820888	740.5034673700372	0.0363797788335205	0.0013234883079758	548345.3851870478	742.9972600792647	641.0108260060708	0.8591109999999998	21.368958	0.1241069901499999	0.0716062	-0.0028413741	0.0193775669	0.127490892	0.0020998604	0.1318934021	0.0076932115	0.02915602	0.0637857449	0.1033402928	0.0398773604	0.0111941782	-0.0394724564	0.0666111774	0.0140559451	-0.0564313902	0.0306801704	-0.0038693424	0.0525357873	-0.0605702425	0.1116965564	-0.0145389961	-0.0611440129	-0.0294754914	-0.1077969283	0.1080781568	0.0040574474	-0.0034149525	0.0546925566	-0.0204356466	-0.0347831216	-0.0385472885	0.0134791951	0.0141185635	-0.0406605744	0.1370715991	0.0103380692	0.0008657325	0.1446092048	-0.0272080927	0.2043555376	0.0673598588	-0.0663818124	0.0300696322	-0.0934690554	0.0148213827	-0.0061200557	-0.0131671775	0.0728580635	-0.0684955751	-0.0015557058	0.0134394506	-0.0980464606	-0.0093967258	0.1518287193	-0.0248548382	0.1133346155	-0.0137843216	0.0539953678	-0.0186932486	0.049415275	0.0242912978	0.0483332108	0.0970070517	-0.0463484336	-0.0607884368	-0.0919842261	-0.0208875108	-0.0308603857	0.0313935758	-0.0982812816	0.004905352	0.0388544686	0.101076993	-0.0099474874	-0.1118301343	0.0594996428	0.0870430616	0.0077457222	0.007501943	0.0386643426	0.0027052572	0.0474633278	0.0101352973	-0.1155139892	0.0774473244	-0.097688421	0.0705920138	0.1071733993	0.0066267615	-0.1458383352	0.0759216262	0.1105385325	0.0123462357	0.0702156266	-0.0438546866	0.0992047654	-0.1043357192	0.0327036926	0.0543998658	0.1142120884	0.1127290384	0.1102715368	6.84015e-06	0.0104956401499999	4.67876520225e-11	0.0001101584621582	0.105503	0.0601883	0.011130883009	0.00362263145689	0.0734697	0.026442	0.000699179364	0.00539779681809	0.0026231	-0.0004174499999999	1.7426450249999984e-07	6.880653610000001e-06	-0.000330153	-2.179100000000001e-05	1.0900100340900003e-07	4.748476810000002e-10	0.0	-0.00010038	0.0	1.00761444e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
763.1350362707598	-0.6814796446625451	0.4644145060893886	582375.0835839738	817.2247592869504	0.0374589805342111	0.0014031752226624	667856.3071916141	740.3501408473481	-0.1533265226890989	0.0235090225599307	548118.3310526882	743.4858616342915	639.3567895098822	0.832798	20.714457	0.0953219670499999	0.072966	0.0069475878	-0.0361311491	0.1368802813	-0.0254269078	0.0864810101	-0.002861257	-0.038712077	-0.0490159823	-0.0328773748	-0.104735061	0.0215781176	-0.0561321819	0.1132633563	-0.0080881748	-0.0505905149	-0.0401864297	-0.0461840409	-0.0607428164	-0.0029131708	0.0819089405	-0.0170418029	-0.0234986107	-0.0180656819	-0.1019921933	0.0217891032	0.0350945313	0.0160895438	-0.0038982194	-0.0603705498	-0.0961329856	0.0161661363	-0.0476824492	0.0905965253	-0.0145833722	-0.0673020964	0.0346968527	-0.1368610179	-0.0068541972	-0.0373064984	0.0983802974	-0.1189129671	-0.1376435522	0.0944076246	-0.0117817992	-0.0191921038	-0.0870429278	0.1478863545	0.0053958079	-0.0121040695	-0.0117981822	0.0639056955	0.1638457506	-0.0973495978	-0.0503316932	-0.0304338197	0.0681494734	0.0266239653	-0.0393981613	0.0127166692	0.0797315996	-0.0025004952	-0.0219844974	0.0604847127	-0.0286776995	0.0075238634	0.0562311382	0.0005210369	0.0694511952	0.0515813821	-0.0342431306	0.0301506945	-0.0142623009	0.1280753285	0.0122146222	-0.0528295847	0.0495782451	0.0040796199	-0.0207873216	0.0420303177	0.0914334928	0.0780642692	0.0459611082	0.0504225584	0.1312152481	0.0527982577	-0.018236467	0.1045446387	0.0120043751	-0.1033710426	-0.0952042134	0.1088320199	-0.0113172897	-0.0165534243	0.1368094318	0.0016568806	-0.0541049981	0.0483825717	-0.0958440123	-0.0296320246	0.1139675232	0.1117560484	0.1081019891	9.3572e-06	2.5170500000000007e-06	8.755719184000002e-11	6.3355407025000034e-12	0.0360111	-0.0694919	0.0012967993232099	0.0048291241656099	0.0662713	-0.0071983999999999	5.181696255999991e-05	0.00439188520369	0.00295658	0.0003334799999999	1.1120891039999981e-07	8.7413652964e-06	-0.00029105	3.910300000000002e-05	8.47101025e-08	1.5290446090000015e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
762.4002701891469	-0.7347660816128609	0.5398811946887174	581254.1719844842	815.1308282882663	-2.0939309986840726	4.384547027250078	664438.2672259151	738.955628316083	-1.3945125312651498	1.9446651998555355	546055.420620017	741.2813185679906	637.6880253725994	0.875774	21.783413	0.1247219571878781	0.075922	-0.0027255793	0.0130990892	0.1255598732	-0.0092527656	0.0759524212	0.0017878463	0.0329305508	0.0913829823	0.0616713728	0.0246563001	-0.0229349057	0.0449759718	0.0691422838	0.0204423802	-0.0089355368	0.0132039738	-0.024090475	0.0694816051	-0.0058824075	-0.0297762282	0.0472183678	0.0042349729	0.0533696089	-0.1081562759	-0.0212471701	0.0921861073	0.0256606822	-0.0532236619	-0.1192779317	-0.0787956658	0.1140697156	0.0771224987	-0.0169142593	-0.0457783832	-0.0698799147	-0.0063140074	-0.1041274011	0.106746764	0.0642297944	-0.1036630184	-0.0517210385	-0.0025258258	0.092124659	-0.1403592227	0.0144555748	-0.0955098314	0.0113825556	0.0560509384	0.145641887	-0.0902389413	0.0269297125	0.0836592433	0.0057743535	0.0757110261	-0.0471883414	-0.03921701	0.0514192355	-0.0919444901	-0.0269905231	0.0153031103	0.0239796791	0.0303744549	0.0088938856	-0.0798132855	-0.0143140013	0.0015028063	-0.032334034	-0.0765794977	-0.0050230503	-0.0362347628	-0.088801955	0.0018944065	0.0775930905	-0.0129186419	0.044763544	-0.0307549586	0.0992414965	0.0420249024	-0.0458556828	0.0913418307	0.0138206937	-0.0121899159	0.1348037052	0.0826401853	0.0839883868	-0.0291576095	-0.0781155576	0.089822964	-0.1042821103	0.0445507359	0.0833811943	-0.0010368206	-0.1978784594	0.0030052396	-0.1157417934	-0.0693971069	-0.0864440199	-0.0971277249	-0.0094984302	0.1136742748	0.110592125	0.105516962	1.2121899999999999e-11	-9.3571878781e-06	1.4694045960999998e-22	8.755696498606159e-11	0.100081	0.0640699	0.010016206561	0.00410495208601	0.100111	0.0338397	0.00114512529609	0.010022212321	0.00271157	-0.0002450099999999	6.002990009999998e-08	7.3526118649e-06	-0.0	0.00029105	0.0	8.47101025e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
763.068013974772	0.6677437856251345	0.4458817632409855	582272.7939514029	815.2178423784658	0.0870140901994318	0.0075714518932348	664580.130532201	739.9425120001774	0.9868836840944368	0.9739394059318082	547514.9210651327	742.5147201888504	638.7561544527096	0.824387	20.505241	0.0920722400121219	0.038911	0.0014151982	-0.0366132555	0.1364615431	-0.0078179418	0.0712308923	-0.0141934602	-0.0731998602	0.0196098001	-0.0657349808	-0.1344877452	0.0902067046	-0.0815550539	-0.0009954267	0.0131785235	-0.0224467335	-0.0763227005	-0.0183255664	0.0009801766	0.0034448817	-0.0477485397	-0.1014756802	0.0215766785	0.0758534196	-0.0229081707	0.0441842524	0.1201751499	-0.054411781	0.0016652382	0.0228616403	-0.0161951796	0.0372927919	0.0277753638	0.0252815691	-0.0286675142	0.0494974011	-0.1181591954	-0.037719945	-0.0618272548	-0.0742126105	0.0121668905	0.0775058869	-0.0905613188	0.0168026789	-0.0109734169	0.0949619365	0.0486843758	-0.0223170785	-0.0908952805	0.0522996582	0.041475706	0.0952701635	0.1061364917	0.0593105743	0.0081405596	0.0088873212	0.023180502	-0.0026532146	-0.010219927	-0.0039279536	0.0256742723	-0.0252755156	-0.0290901579	-0.0355954318	-0.053741263	0.0177811323	-0.0351631622	0.0705250024	0.0619684198	-0.054418886	0.0175252009	0.0727956277	-0.0772815459	0.0938157173	-0.0459976772	0.0631730087	0.0558522311	0.0405676631	0.0723200994	-0.0005149836	0.0628704401	-0.0441483453	0.0397643961	0.1346630218	-0.035131987	-0.0353506087	0.0399815339	0.0339203274	0.077497278	-0.0401611472	0.0078517743	0.0296648855	-0.002292733	-0.1012634764	0.0087135194	-0.0050444943	-0.0122898995	0.0246101361	0.0115370455	0.1571475753	0.1133324686	0.1092392569	0.1025263906	-0.00831979	-0.0083197900121219	6.921890564410001e-05	6.921890584580334e-05	0.0830034	-0.0170776	0.00688956441156	0.0002916444217599	0.0818898	-0.0182212	0.00033201212944	0.00670593934404	0.00218585	-0.0005257199999999	2.763815183999999e-07	4.7779402225e-06	-0.000262651	-0.000262651	6.898554780099999e-08	6.898554780099999e-08	0.000180702	0.000180702	3.2653212804000004e-08	3.2653212804000004e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
762.8162014872798	-0.2518124874922023	0.0634095288570105	581888.5572514823	813.2457831324227	-1.9720592460430453	3.889017669903864	661368.7037826675	738.553916661855	-1.388595338322375	1.9281970136106312	545461.8878165664	740.9359410043419	636.390571521778	0.848631	21.108278	0.0658549277	0.03224	-0.0001726807	-0.0053831174	0.0957418647	-0.0047469557	0.052819249	-0.0221630447	0.0187492316	0.0594128935	0.0956173818	0.0201988886	0.0298093016	0.0053278938	0.0213736517	0.0058990148	0.0560230112	-0.008041841	-0.0335023742	0.0290678254	-0.060523406	0.0596057936	0.0189089348	-0.0013130989	0.0457648823	-0.0362017131	0.1034539491	-0.0284054308	-0.0350402554	-0.1017038855	0.0286643437	-0.0021511798	-0.0566447117	-0.041949312	0.0026941776	-0.0715662569	0.10596855	0.033690479	-0.0063890274	0.1028750319	0.0414117622	0.0743410581	-0.0338064788	-0.027414784	0.0118717521	0.0096624459	-0.0783224886	0.0871856903	-0.0149349575	-0.1214750227	-0.0304956981	0.1288167011	0.0505994635	-0.0690329517	-0.0935870161	0.1173962466	0.1416776843	-0.116610917	0.0225869869	-0.15550723	-0.0102221121	-0.0531154202	0.0120942012	-0.0148259506	0.0195943775	-0.0255881806	-0.0215621239	-0.0600755717	0.0006029912	-0.0515144248	0.0330787116	-0.02805314	0.0627386177	-0.0220114317	0.0724345854	0.1393435138	-0.0480823572	0.0220690493	0.0194962482	-0.0565986889	0.0099153183	-0.0343768566	0.0055025458	0.0403845148	-0.0615868429	0.0528767112	-0.03562371	-0.0863549975	0.0115379281	-0.0257390609	0.0706731631	-0.038787225	0.0550196493	0.0136911275	-0.0652898886	-0.0030161744	0.0461308589	0.0378047332	-0.0778800301	0.0597775885	0.1098785975	0.1129422506	0.1076997553	0.099141769	1.57177e-05	0.0083355077	2.4704609329e-10	6.948068861675931e-05	0.0627943	-0.0202091	0.00394312411249	0.00040840772281	0.103266	0.0213761999999999	0.0004569419264399	0.010663866756	0.0023718	0.0001859499999999	3.4577402499999944e-08	5.62543524e-06	-0.000282237	-1.958600000000004e-05	7.9657724169e-08	3.836113960000016e-10	6.75556e-05	-0.0001131464	4.56375909136e-09	1.2802107832960002e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
762.2280640209106	-0.5881374663692895	0.3459056793472871	580991.6215810654	814.3041293984201	1.0583462659973293	1.1200968187504896	663091.2151553188	739.1800159429093	0.6260992810542803	0.3920003097366866	546387.0959693597	741.7035949189566	634.8157405163	0.864244	21.49663	0.0547827377	0.0269429	-0.0069597244	-0.0439170395	0.1007333414	0.0151903152	0.0059980108	-0.037910455	-0.0556128844	-0.0220548942	-0.0364221565	-0.1007924405	-0.023999142	-0.0960787068	0.0055467971	-0.0099741623	0.0186614862	-0.0286907382	-0.092825861	-0.0270696418	0.0437552067	0.0182941435	-0.1224417706	-0.0223860124	0.0283462119	0.0162880506	0.0431728389	-0.0232601828	-0.0282819717	-0.0459049056	0.0613393101	-0.0430774737	-0.0294185679	-0.0828061336	-0.0144680915	0.064907636	-0.0272944114	-0.1324930919	0.0298486396	-0.2158231197	-0.0405093979	0.1054695504	-0.0155606745	0.0057063975	0.0403609287	0.0054126308	0.0345273446	-0.0705520249	0.0518189202	-0.2386109383	-0.1037211624	-0.0111327414	0.0149993241	0.034045581	-0.2041700742	-0.0533857778	-0.0534812599	-0.0603654124	0.09889573	0.09036909	-0.0011967844	-0.0158612881	0.0194064496	-0.0135910076	-0.0076359302	-0.0679751859	0.0267653757	-0.0096922854	0.0304154579	0.0482627314	0.0730862828	0.1079436762	0.036043111	-0.0865722638	0.0357351178	0.024914209	0.0452804508	0.0407634275	0.0365381426	-0.1031176262	0.0061055997	0.0567209014	-0.0324851538	0.0808988726	-0.006249903	-0.0995075891	0.063276883	0.2447870284	0.1319823803	-0.0205565339	-0.0461612551	-0.0662124109	-0.0210675085	-0.0171191164	-0.0086403007	0.0741084915	0.1539579844	0.0873554232	0.1910391511	-0.0561687885	0.0991598461	0.1125037874	0.1059762505	0.0953761056	-0.0114589	-0.0114746177	0.0001313063892099	0.0001316668513611	0.0572025	-0.0055917999999999	0.00327212600625	3.1268227239999935e-05	0.0855654	-0.0177005999999999	0.0003133112403599	0.00732143767716	0.00263799	0.00026619	7.08571161000002e-08	6.958991240100001e-06	-0.000239818	4.241900000000003e-05	5.7512673124e-08	1.7993715610000023e-09	0.000159261	9.17054e-05	2.5364066121e-08	8.40988038916e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
