global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09
765.7345813179307	n/a	n/a	586349.4490261467	985.7971791110502	n/a	971796.078343304	n/a	756.9107272639286	n/a	572913.8490472094	n/a	815.621822178645	524.60148821397	n/a	n/a	n/a	n/a	-0.0751926298	0.1543830912	-0.1858043408	0.1393120133	-0.0191069119	-0.3041798833	0.0539502551	-0.0112254368	0.0066598684	-0.004139727	0.130709307	-0.2801213569	0.0582661932	-0.0902112529	-0.0096658607	0.0395022067	-0.0407746989	0.0417849385	-0.0924978256	0.0642140551	-0.1771273652	0.154880734	-0.0354300314	0.0848536355	0.0153582437	-0.0642494071	0.0518302163	-0.0185456781	0.0395310011	-0.0870157867	0.1892410613	-0.2442808011	0.0569201767	-0.044630428	0.0241211653	-0.0130982728	0.0519934534	-0.0606178552	0.0642364423	-0.0029741343	-0.1197735544	0.0118522686	-0.0856920941	0.0232913851	0.0100706631	-0.1285712413	-0.0363887202	-0.0991554888	0.0571140774	-0.0658275214	-0.0510369612	0.0394239926	0.0902128305	-0.011792621	-0.0010734217	-0.0737260618	-0.0860129758	-0.0890849766	0.0680034406	-0.1049392374	0.057546898	-0.0457732142	0.1575800147	-0.137668282	0.0019310762	-0.2904465314	0.0392793569	-0.0238198066	0.2521894462	-0.096579463	0.0229777165	-0.0347097695	0.2500998391	-0.1646967808	0.1571056786	-0.1635770791	0.0507891081	-0.0434820019	0.0717672515	-0.0855360675	0.0687938031	-0.0531348114	0.0170018666	-0.0928457618	0.0439988966	-0.0240062819	0.0769026395	-0.0874215979	0.0023112425	0.0318090188	-0.0315332963	0.0231069573	0.1147017419	0.1146833673	0.1146527451	-0.00105099	n/a	n/a	1.1045799801e-06	-0.089448	n/a	n/a	0.008000944704	-0.423835	n/a	n/a	0.179636107225	0.000401892	n/a	n/a	1.61517179664e-07	-0.00215175	n/a	4.6300280625e-06	n/a	-8.912999999999998e-05	n/a	n/a	7.944156899999997e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
763.7785864202021	-1.9559948977286008	3.825916039940321	583357.7290740422	971.5151474687148	-14.282031642335484	943841.6817611586	203.976427832672	756.680137642524	-0.230589621404647	572564.830702709	0.0531715734995384	813.5170652879631	534.0017711107771	1.078442	24.541801	0.171675713	0.10683	-0.1068176548	0.051529963	-0.1435339365	0.0892249535	-0.0457409431	0.0119733905	0.2578245117	-0.1090477603	-0.0501001484	-0.0434554698	-0.0133163022	-0.0736932868	-0.0221782138	-0.1018027873	-0.0272337712	0.0515497509	-0.0189487349	0.1606996765	0.0493579863	0.0203932672	-0.1311968348	0.186913932	0.0232163319	-0.105064459	0.0217674702	0.0010366568	-0.0572117522	0.1192579125	0.0674302117	0.0323462161	0.0769182588	-0.0286189746	0.1313224325	-0.0483997522	-0.0740984757	0.0136366541	0.0766295241	-0.1013090958	-0.2156450072	-0.0715547961	0.0210939278	0.1382138963	-0.080732252	0.1400583346	-0.0168901756	-0.1612729203	-0.067094381	-0.1467150613	0.1992882846	0.0776963272	-0.0023903631	0.093557169	-0.1168298918	-0.0857788502	-0.1126830351	-0.020306611	-0.0892961103	-0.069004767	-0.0367195079	-0.0538157921	0.0228345244	0.1581621988	-0.0370076419	0.00632535	0.0577032305	-0.0963477628	0.035146355	0.0936494736	0.3427169083	-0.037895435	0.0312478204	-0.187036553	-0.1617646572	-0.0866938462	0.0483755617	-0.1020312867	0.0279275721	-0.0268313404	-0.0379377843	-0.0347744487	-0.0214925367	-0.0520054256	-0.0395686433	-0.0091131708	0.0775319645	0.0180943152	0.1288606891	-0.018787264	0.0163740156	-0.1888453951	0.009640661	0.0943924736	0.1146527451	0.1144874327	0.1142120884	-0.000958477	9.25129999999999e-05	8.558655168999982e-09	9.18678159529e-07	-0.15599	-0.0665419999999999	0.0044278377639999	0.0243328800999999	-0.34712	0.076715	0.005885191225	0.1204922943999999	0.000128298	-0.000273594	7.485367683599999e-08	1.6460376803999998e-08	-0.00194795	0.0002038	3.7945092025e-06	4.1534440000000034e-08	0.0	8.912999999999998e-05	7.944156899999997e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
761.7244905361953	-2.0540958840068697	4.219309900693964	580224.1994826263	975.90131242066	4.386164951945261	952383.3715843668	19.23844298567297	755.0878148513951	-1.5923227911288222	570157.6081370548	2.535491871148283	812.4217029156093	507.7737469931097	1.118327	25.449457	0.066029712	0.0391299	-0.0326148384	0.1490707568	-0.0205000362	0.0045926828	-0.0378350961	-0.1310651302	-0.0460854512	-0.0973913739	-0.0365854678	0.0873582127	0.0090414845	-0.1290254208	0.0163930593	-0.0486647378	0.083971703	0.1152481366	-0.0855146248	-0.0713272318	-0.0444611755	0.2750328113	-0.0356422326	0.112692533	0.1083496063	0.0244476828	-0.135953442	-0.0078328556	-0.0174996702	-0.017258193	0.0973620643	0.1049860333	0.0582492543	-0.1808407535	0.0748805988	-0.0411578647	0.0602985483	-0.1108166906	-0.0705961317	0.0391409303	0.0407645041	0.0597332932	-0.0718888343	-0.0080436768	-0.0255086026	-0.0002513501	-0.0003960375	0.0356431477	-0.0003188491	0.0370294174	0.0255128724	0.105890825	-0.1336849142	-0.0270073414	-0.0252276506	-0.1107302631	0.1106025563	-0.0700686061	-0.0509735913	0.0339963694	-0.0081342926	-0.0704981169	-0.0670663563	0.0529704976	0.2239302064	-0.1144171298	-0.1070735338	-0.1680091773	-0.1209040666	-0.023833512	0.1755922607	-0.0062543756	0.0758671523	-0.1191767712	-0.0154078827	-0.0526209667	0.1106706517	-0.0601378376	-0.0543079941	-0.0104973259	0.0695856684	-0.1241448207	0.063550977	0.1125885682	-0.0744018768	-0.1401172167	-0.0323719427	-0.0930314469	0.0601276059	-0.0607124719	0.003850397	-0.0116901755	-0.0217351964	0.0812437566	0.1145547726	0.1140958982	0.1133324686	0.0135294	0.014487877	0.0002098985799671	0.00018304466436	-0.155935	5.499999999999949e-05	3.024999999999944e-09	0.0243157242249999	-0.314999	0.032121	0.001031758641	0.0992243700009999	-4.88447e-05	-0.0001771427	3.137953616329e-08	2.3858047180899995e-09	-0.00187849	6.945999999999992e-05	3.5287246801e-06	4.824691599999989e-09	0.000140714	0.000140714	1.9800429796000003e-08	1.9800429796000003e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
764.9383048890209	3.21381435282558	10.3286026944277	585130.6102864887	969.1016964970162	-6.799615923643842	939158.0981533948	46.23477670907089	757.489420251944	2.401605400548874	573790.2217936262	5.767708499945518	815.2446211675745	557.1946237476815	1.850537	42.112164	0.418757665	0.231588	-0.1795094783	-0.1896391859	-0.1260713813	-0.0822727248	-0.1240444626	0.0691893078	0.3766912239	0.1268089422	0.175177937	0.1045135391	-0.1441937203	0.0077430905	0.0346414936	-0.1831377234	-0.0952558871	-0.1283182405	-0.1373624088	0.3474205273	0.1329519149	-0.0160222888	-0.0919967584	0.0402322536	-0.1204816849	0.082976765	0.0830576439	0.0481824079	-0.0338374714	0.1260399128	-0.0213719829	-0.0304785258	0.0950542967	-0.1008381196	-0.1493953478	0.0149843892	0.0780611791	0.1303333836	-0.0721769756	0.0662722404	-0.0711533433	-0.0413064885	-0.1131671331	0.0410909143	0.0497384037	-0.0009442216	-0.0114484836	0.1646097862	-0.0562931926	0.0613180692	-0.080859784	-0.0836708921	-0.0108412361	-0.0760344409	0.0861607046	-0.0981518485	0.0587305628	-0.0098813522	-0.1751410462	-0.2147878822	-0.0261675228	0.2239787006	-0.0911925641	0.1347591848	-0.216217109	0.0906124376	-0.0710051108	-0.0489819453	0.1733564073	0.1661702356	0.1218902883	-0.1594849911	-0.2265266827	0.0032521019	0.0718745345	-0.1106924904	-0.0738588151	-0.0507192873	0.2013048937	-0.1955581494	0.0448666654	0.0910247075	-0.0394390017	-0.0601637247	0.0277805246	0.0539066336	0.0034618455	0.0191689327	-0.127186106	-0.0545537973	-0.0618858852	0.1551362819	-0.0527183522	-0.0836610336	0.1144078661	0.1135094328	0.1120172664	-0.0511679	-0.0646973	0.00418574062729	0.00261815399041	0.0266934	0.1826284	0.03335313248656	0.0007125376035599	-0.448265	-0.133266	0.017759826756	0.200941510225	-0.000531467	-0.0004826223	2.3292428445729003e-07	2.82457172089e-07	-0.00191419	-3.5700000000000055e-05	3.6641233561e-06	1.274490000000004e-09	-0.000104283	-0.000244997	6.0023530009e-08	1.0874944089e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
763.9206092208461	-1.0176956681747242	1.0357044730215983	583574.6971923487	963.2505133034985	-5.851183193517727	927851.5513794532	34.23634476410431	754.8082547563824	-2.681165495561572	569735.501448376	7.188648414589931	813.1297107040795	552.0320790906891	1.687595	38.404125	0.82125315	0.448504	-0.2632728415	-0.0690361711	-0.0249932072	-0.0234887531	-0.2912723014	-0.1486137613	-0.0627681991	-0.0368370653	0.3518380553	-0.0139648174	-0.4537721967	0.1549164816	-0.1621838682	-0.2654294315	0.1784858991	-0.2923438973	-0.0035605253	0.2741322485	0.2590605516	-0.0442402844	0.1125912183	0.099462468	0.0307781301	-0.2441849051	0.0170174164	0.0494780797	0.0009216569	0.0649229297	0.0958997391	-0.0535168032	-0.20232311	0.0027695718	0.0058361843	-0.1267920576	-0.0915117337	-0.09639557	-0.0670038121	0.0582247742	0.059919965	-0.0368299048	0.0657956561	-0.0775016078	-0.0825363552	0.0734306741	-0.0133444293	0.1253940849	-0.0020804215	0.040422328	-0.0216695679	-0.030163005	-0.0899446605	-0.0863432225	0.0464724938	0.2089749526	-0.0460402201	-0.0135508299	-0.291188249	0.0385256303	0.1387983639	0.4525471134	0.010877448	0.053195519	0.141862863	0.4215662114	0.1604002448	-0.0361382679	0.2903427719	-0.0192067129	-0.1034260679	0.1600198863	0.0273355446	-0.1349992487	-0.0181638343	-0.1153538523	-0.1092052935	0.0861351448	-0.1582655589	0.0364698323	-0.1106883059	0.0318405374	-0.0553795427	0.0656428639	-0.071565937	-0.030016779	-0.0308265791	-0.0752385317	-0.0149735791	0.0208681813	0.0924962059	-0.1406382486	-0.0141033799	0.0098579093	0.1142120884	0.1127290384	0.1102715368	-0.0776102999999999	-0.0264423999999998	0.0006992005177599	0.0060233586660899	-0.228353	-0.2550464	0.06504866615296	0.052145092609	-0.7379029999999999	-0.2896379999999998	0.0838901710439999	0.5445008374089998	0.00352517	0.004056637	1.6456303749769e-05	1.2426823528900002e-05	-0.00208533	-0.0001711399999999	4.348601208899999e-06	2.9288899599999917e-08	0.000670467	0.00077475	6.002375625e-07	4.49525998089e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
764.2785896820014	0.3579804611553072	0.1281500105689664	584121.7626463091	969.2780239166166	6.027510613118125	939499.8876477012	36.330884191251634	756.4147376844581	1.6064829280757067	572163.2553862476	2.580787398198696	810.4125049269564	503.2283483047184	2.280467	51.895943	0.90086479	0.604144	-0.005502198	0.1337639614	-0.0030896775	-0.0227640798	-0.1173063801	-0.1143677659	-0.5607402222	0.0685452333	-0.0116718728	0.0988913049	-0.0931512641	-0.3289846022	-0.0362310366	-0.061604706	0.049756713	-0.0670684427	0.0919106784	-0.1978112798	-0.0657618053	0.1781997612	0.0948977564	0.0299580453	0.2687181466	-0.1009967241	-0.0761929814	-0.063129389	0.0726569539	0.0908883938	-0.1179313871	-0.04973389	-0.0696848442	0.001239976	-0.0560147077	0.1160763524	-0.0628022299	-0.1154077737	0.0044868201	0.0688671687	-0.1086096345	-0.0954584247	-0.0946149218	-0.0801730999	-0.155923706	-0.0864234008	-0.0056497783	-0.0542131091	-0.0379782889	0.0172648922	-0.1443961184	-0.0255068794	-0.0447827532	-0.1390650215	0.0494332407	-0.1277425846	-0.1986842146	0.1189930851	-0.0353587447	0.2102663826	-0.1399116445	-0.0075858499	0.0839770049	-0.3522587423	0.4349780532	-0.0385721692	-0.0547039478	-0.1483314008	0.0725729686	0.0825070999	-0.0784217596	0.3094745404	0.0347288922	0.1494120899	-0.0618465767	0.0042042698	-0.1367620435	-0.0102112574	-0.001752427	-0.0376768747	-0.0289262019	-0.0857343721	-0.0947024316	-0.0557413882	-0.031965385	0.0946485803	0.0612839427	0.0495738354	-0.0133183066	-0.043734187	-0.0361888324	0.1019856405	-0.0092042964	-0.060087846	0.1139675232	0.1117560484	0.1081019891	-0.0348144	0.0427958999999998	0.0018314890568099	0.00121204244736	-0.280305	-0.051952	0.002699010304	0.078570893025	-0.187285	0.5506179999999998	0.3031801819239998	0.035075671225	0.00108566	-0.00243951	5.951209040100001e-06	1.1786576356e-06	-8.532919999999998e-05	0.0020000008	7.281072372639997e-09	4.00000320000064e-06	0.0	-0.000670467	4.49525998089e-07	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
763.2113614567062	-1.0672282252952527	1.1389760848668546	582491.582256599	960.4213635077004	-8.856660408916127	922409.1954819903	78.44043359886238	755.0300199446174	-1.3847177398407666	570070.3310175693	1.917443219029721	808.9225595269158	535.5180171710532	1.323937	30.128468	0.31817414	0.177065	-0.0416564645	-0.1513984235	0.0171556958	0.0355522027	-0.0730459045	0.3168159344	0.0001877915	0.053982307	0.0658790661	-0.19420865	-0.0063875176	0.074039823	-0.1162357877	0.0067050801	0.0230856848	-0.034331081	0.0327369216	-0.1041321679	0.0984867713	-0.0432841297	-0.0185448929	-0.124649991	-0.0992185732	0.1433595677	-0.0895207129	-0.0315570372	-0.1327596488	-0.0270020114	-0.116979058	-0.1266267748	-0.0389207331	0.030366601	-0.0201020383	0.004982858	-0.1363766538	-0.0123516143	-0.0086484077	-0.0831255235	-0.0168661356	-0.05010252	0.1406437545	0.1180079484	0.1485081721	0.0565514606	0.0842767559	-0.0567902248	-0.0887339927	0.0220209973	-0.0848846294	0.1460320327	-0.1274122741	0.0705535324	0.1597667755	-0.1949117611	-0.0672864243	0.0807835649	0.0090430811	0.1106940929	-0.0908114099	0.0662712253	0.0328590531	-0.0456102988	-0.2083537027	0.0099698691	-0.0926931758	0.1270863587	-0.1276856066	-0.0312411989	0.0225942065	-0.0999583051	0.0189214002	0.0689397607	-0.1068521843	-0.0899667981	0.0024964048	-0.0727374575	0.1101497783	0.0496103795	-0.045054554	-0.1808001157	0.0003934655	0.0250304525	-0.1209829427	0.1532271458	0.2180674914	-0.1928372518	0.1225291003	0.0115676437	-0.1746421356	-0.0371865864	0.1521326378	-0.0712963691	0.1136742748	0.110592125	0.105516962	-0.00175467	0.03305973	0.0010929457476729	3.0788668089e-06	-0.122369	0.157936	0.024943780096	0.014974172161	-0.126256	0.061029	0.003724538841	0.015940577536	2.4487e-05	-0.001061173	1.1260881359290005e-06	5.996131690000001e-10	0.000176486	0.0002618152	3.1147308196e-08	6.854719895104e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
764.1538085338882	0.9424470771820096	0.888206493288913	583931.0430968462	970.6827711299356	10.261407622235197	942225.042168491	105.2964863896666	757.2255594391985	2.195539494581112	573390.5478680071	4.820393672265485	812.4559747396336	523.4702933979303	1.069794	24.344999	0.22456178	0.136827	0.035304287	-0.0477569112	0.012780497	0.1144592599	0.0153878902	0.0353170884	-0.0560380894	-0.0412508137	0.0179922395	-0.0481843295	0.0226310412	-0.08101634	-0.101130907	-0.0014294148	-0.090438587	-0.0127391399	0.0381367654	-0.2434205061	-0.1013450896	-0.0220703924	0.0292932004	-0.0233985571	-0.0064812319	0.0399493276	0.0872186507	-0.1376324494	-0.0258286311	0.0984533453	-0.030934077	0.0325890761	-0.0461748663	0.0345637436	-0.0190055145	0.0073355426	0.0413785244	-0.0520949649	-0.0842991201	-0.0950627002	0.0093297484	0.0594389882	-0.1521079734	-0.0816337663	-0.0726013772	0.2219334234	-0.2293139837	-0.0874027376	0.0360032167	0.0021033393	0.095128794	0.0461815132	-0.1163630863	0.0339186738	0.0444534504	0.1431331575	0.0369679441	0.0147903221	0.0278182332	-0.000702622	-0.0839532967	-0.0321616376	0.057985405	-0.0821681952	0.0267019371	-0.1101496455	0.1152555092	-0.0332034384	-0.0666684612	-0.045211244	-0.1292034712	0.0442542783	0.0471106075	0.043610427	-0.0216169161	-0.0536088661	-0.0184556276	-0.0599629562	-0.0544975002	0.0773879537	-0.0082985377	-0.1897073634	0.0179129569	-0.0922123846	0.1009150305	0.1757667207	0.075376267	0.0256935708	-0.0549852097	-0.1342418094	0.1784622278	-0.0470668859	-0.0417664006	0.1262412128	0.1133324686	0.1092392569	0.1025263906	-0.00710221	-0.00534754	2.859618405160001e-05	5.0441386884100006e-05	0.00582933	0.12819833	0.0164348118147889	3.3981088248899994e-05	-0.0864522999999999	0.0398037000000001	0.00158433453369	0.0074740001752899	-0.000737942	-0.000762429	5.81297980041e-07	5.44558395364e-07	-8.532919999999998e-05	-0.0002618152	7.281072372639997e-09	6.854719895104e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
762.3886472575484	-1.765161276339768	3.1157943314894387	581236.4494671946	968.9165608621907	-1.7662102677448956	938799.3019130154	3.119498709887496	756.2351194255778	-0.9904400136207414	571891.5558526178	0.9809714205810544	812.4193121851686	520.7662364754168	1.042304	23.719418	0.26256284	0.180322	-0.0090409488	0.0154869129	0.0011109927	0.0751232878	0.0009067987	0.0729264505	0.0993734929	0.0334018381	-0.0508051902	-0.0851413187	-0.0372258692	0.048803829	-0.1390336402	0.0017501879	-0.053111149	0.0166587804	0.1001595728	0.0173737941	0.0228633739	-0.0618869834	-0.1451038116	-0.0585938402	-0.0045763523	0.0116326745	-0.0435153283	0.0427600019	-0.1118099483	-0.0900842982	0.1013034882	-0.0460441307	-0.1833160247	-0.0076076393	-0.1011432779	-0.0694116697	0.0483450254	0.1746211975	0.0200099792	-0.002656641	-0.0330692515	0.0809567761	-0.0639719615	0.1683470929	-0.0963974682	-0.0862213994	-0.0440239939	0.0978836173	0.1818255223	-0.0669669818	0.0138592065	-0.1322645567	0.0260898798	-0.0054117788	-0.1187673873	0.0164262961	0.1123089093	0.0116266736	-0.0026709614	-0.0214484054	0.020436311	0.0307733993	0.096140685	0.0887332373	-0.1459938341	-0.0509991728	-0.0189861827	0.0438686083	-0.0189142144	-0.073284574	0.0316748495	0.0172005014	0.107986429	0.0789997574	-0.0176453159	-0.0044497155	-0.1100249772	-0.1192785701	0.0204071767	-0.0156469322	0.0014878214	0.1121499349	0.0371320081	-0.0471975558	0.086888259	-0.0164916509	-0.1320884762	-0.0547528785	-0.1217901158	-0.1263312477	0.1543198729	-0.0163677795	-0.0683484773	0.023018954	0.1129422506	0.1076997553	0.099141769	0.0132612	0.02036341	0.0004146684668281	0.00017585942544	-0.171246	-0.17707533	0.0313556724946089	0.029325192516	-0.116186	-0.0297337000000001	0.00088409291569	0.013499186596	-0.000308165	0.000429777	1.84708269729e-07	9.4965667225e-08	-8.532919999999998e-05	0.0	7.281072372639997e-09	0.0	0.000278031	0.000278031	7.7301236961e-08	7.7301236961e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
762.0063367449334	-0.3823105126150494	0.1461613280559819	580653.6572394328	971.246089116605	2.3295282544142992	943318.9656243004	5.426701888114532	758.3950533584156	2.1599339328378164	575163.056958514	4.665314594224237	814.0612658518805	517.6163184812694	0.9594990000000002	21.835052	0.21378579	0.136215	0.0251643612	0.0052541443	0.008658798	0.0846079581	0.0307495234	-0.0013101954	0.0299158484	-0.0558490743	-0.0748610545	0.0792746933	-0.0306429918	-0.1408284453	-0.1213689661	-0.0148562366	-0.1736325613	0.1282991821	0.0115514613	-0.0504571121	-0.0622725047	0.1190502319	-0.1439016784	0.0367444171	-0.1317344891	0.1158723797	0.0559965293	0.0672595762	0.195918956	-0.0078358841	0.030394741	-0.0203224879	0.0126771819	-0.001924572	0.0284339001	0.0567704748	-0.0601727037	-0.0177826491	0.0450016771	0.0774465283	0.0083658649	-0.008125289	0.0625828381	-0.1277078584	0.1258978312	0.157500988	0.1560659608	0.0487206666	0.0978280298	0.1670945626	0.0005292896	-0.1336321853	0.0554428222	0.0623367141	-0.0543419696	0.0149552531	-0.0932481783	0.1440592344	0.0046907153	-0.085566998	-0.0897369321	-0.0412794226	0.0511801232	0.1110352585	0.0176692826	-0.1747586349	-0.0120518846	-0.1258758364	0.0855151704	-0.0647101963	-0.0630233502	0.0600355679	-0.0468572663	0.0428810602	0.0192969565	-0.046997121	0.0202246539	0.1193876812	-0.0436006314	0.107724062	0.0322941841	0.0944766878	0.0038334885	-0.0347179891	0.0162903239	0.0199091775	-0.0290481577	-0.057435545	-0.0992798874	0.2501813331	-0.0150452988	0.2578096173	-0.0414124704	0.1053526535	0.1125037874	0.1059762505	0.0953761056	0.0208748	0.0076135999999999	5.796690495999997e-05	0.0004357572750399	-0.0390289	0.1322171	0.01748136153241	0.00152325503521	-0.0853257	0.0308602999999999	0.0009523581160899	0.00728047508049	-0.000765833	-0.000457668	2.0945999822400005e-07	5.865001838890001e-07	-0.00028537	-0.0002000408	8.143603690000002e-08	4.001632166464001e-08	0.000482218	0.000204187	4.169233096900002e-08	2.3253419952400006e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
