global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
753.1667119556728	n/a	n/a	567260.0959981193	970.7063134956406	n/a	n/a	942270.7470602968	748.5390552457335	n/a	560310.7172281753	n/a	799.2544291648026	561.3604086124028	n/a	n/a	n/a	n/a	-0.0690884809	0.0687604789	0.0694610725	-0.0746879196	0.0311751033	-0.0940020803	0.0148662763	-0.0212753336	0.1318419679	-0.0173876524	0.1439777061	-0.2798190034	0.1763728561	-0.0975101771	0.098590775	-0.2011261527	0.1118585881	-0.0708864424	0.0992535808	0.0230617581	-0.0303524387	0.1308948065	-0.1063962329	0.1843201895	-0.0432895914	0.0098278662	-0.1742286303	0.1068367031	-0.1097763613	0.05017824	-0.018103759	-0.0243603657	0.0012596288	-0.0181021698	0.0152727556	-0.0421008123	0.0268002874	-0.0346270058	0.0711875223	0.1134180975	-0.0134675437	0.0469081053	-0.1515822601	0.1369797586	-0.009252452	0.015700643	-0.0528612976	0.0179442691	-0.0176894625	0.0194084579	-0.0344892235	0.0377746976	-0.0224689952	0.0021228457	-0.0949504043	0.0212124425	-0.0432776523	-0.1266135549	0.1087186532	-0.0157850333	-0.1566553452	0.1215948854	-0.0236405872	-0.0806496101	0.1728472791	0.0615333844	-0.1084982186	0.0101538162	0.0080383058	0.0206373979	-0.0421623552	-0.0379826273	-0.0208675439	0.0458490028	-0.020472804	-0.0182835237	0.0517070319	-0.0016155779	0.1873389213	-0.0179409816	0.1905972637	-0.1394572158	0.079723624	-0.0860010544	0.0219178462	-0.0276984817	0.0908084785	0.0889899215	-0.0193131876	0.0512372631	-0.0685683412	0.0868322895	-0.02066035	0.127862162	-0.0246841267	0.0731489677	-0.1022561943	0.01466494	-0.0656774046	0.0846121767	-0.1643093162	0.0309460147	-0.0441656954	-0.0150741437	0.2116089471	0.0178939073	-0.0822551152	0.0827717885	0.1390934216	-0.0348313053	-0.0043233836	-0.1262343479	0.1101223218	0.1807357015	-0.087770648	-0.0083410494	-0.0332729822	-0.0368948673	0.1147017419	0.1146833673	0.1146527451	-0.00542678	n/a	n/a	2.94499411684e-05	-0.0908452	n/a	0.00825285036304	n/a	-0.0353314	n/a	n/a	0.00124830782596	-0.000566402	n/a	n/a	3.2081122560400005e-07	-0.00166401	n/a	n/a	2.7689292801e-06	0.000384916	n/a	n/a	1.4816032705600001e-07	0.0
752.8621369134266	-0.3045750422461424	0.0927659563592394	566801.3971978512	970.8231149659114	0.1168014702707296	0.0136425834574041	942497.5205521152	747.6309258725947	-0.9081293731387632	558952.0013211132	0.8246989583574029	799.0367123901974	574.9227376140896	1.063767	23.720945	0.147614985	0.104221	-0.1331173406	-0.0272550549	0.0272821376	-0.1254583052	-0.0033468163	-0.0926261081	0.1084621743	-0.0681293348	-0.0092332192	-0.0104528018	0.1232780211	-0.0065923945	-0.0078398194	-0.0492573378	-0.1184984498	0.0011010844	0.0109961601	-0.0489619362	0.0935941162	0.1254849907	0.0531228932	0.013341632	0.112753047	-0.1525659804	-0.0813505611	-0.1219585687	0.0956067116	-0.0427763291	0.0919804433	0.0770858732	0.050198929	0.078891655	0.0032695426	0.0920045329	0.0335427605	0.1554881314	-0.0583011071	-0.0616785695	-0.0324726716	-0.034152514	0.0266570215	-0.0284908619	0.0965919217	0.0919857429	0.0130167654	-0.1821445073	0.13540179	-0.0081141419	-0.0824342774	0.0212001863	0.0022380057	0.0182508272	0.0045311717	-0.1581783825	-0.0361813908	-0.0204066383	-0.0900518754	0.0372363736	0.1039609872	0.039163881	-0.064559554	0.0864425911	-0.1358575128	0.1164302547	-0.032082417	-0.0101976347	-0.1149644687	0.0252083121	0.0281436439	-0.0225570438	0.1162407556	-0.0815789222	-0.0375927892	-0.2032054618	0.0083968624	-0.0992180003	0.1318185548	-0.1492250101	-0.0316336351	-0.0843133486	0.0163396455	-0.0465935069	-0.0562569115	-0.0658603027	-0.1750188638	-0.0121961287	0.1195353193	-0.0504600688	-0.1041034409	-0.1576054808	0.0925046998	0.0658690222	0.0363640557	0.0234832751	0.0668387737	-0.0104624481	-0.0364564676	0.0285177818	-0.1321201071	0.1490022723	-0.017239092	-0.0411045985	0.0614972983	0.0646323946	0.0420810525	0.0621390537	0.0607815459	0.0099577266	0.0188000575	0.0232117766	-0.1650688701	-0.0567181013	-0.0355684367	-0.1279232336	-0.1377403281	-0.1329375601	-0.083487377	-0.1175711863	0.1146527451	0.1144874327	0.1142120884	-0.000112475	0.005314305	2.8241837633025e-05	1.2650625625e-08	0.0076149499999999	0.0984601499999999	5.798746350249847e-05	0.0096944011380224	-0.00245437	0.03287703	0.0010808991016209	6.0239320969e-06	-0.000505088	6.131400000000003e-05	3.759406596000004e-09	2.55113887744e-07	-0.00163537	2.864000000000013e-05	8.202496000000076e-10	2.6744350369e-06	0.000514232	0.0001293159999999	1.6722627855999996e-08	2.64434549824e-07	0.0
752.3047316178977	-0.5574052955289517	0.3107006634837179	565962.409214677	967.5737887681316	-3.2493261977797374	10.558120739577726	936199.036711117	747.5337339150511	-0.0971919575436004	558806.6833409785	0.009446276611157	798.6495128021743	558.7505850640594	1.279381	28.528925	0.2727387545	0.173255	0.0588969677	0.0289028922	0.0902101086	-0.1592347648	0.0889437544	0.0174785712	-0.0193899282	-0.1280657298	-0.0708541842	0.0966084072	-0.0036466458	-0.0119713633	0.0531353251	0.0024971551	0.0167382689	-0.0900801035	-0.041325311	0.064112213	0.0707531426	0.0444533036	0.0526884592	-0.1865439144	-0.0389653936	0.004696191	-0.0353658776	-0.0865367952	0.1219220406	-0.0600748847	0.0899275046	-0.0579114302	0.0100589691	-0.1360341685	-0.0478043241	0.0515531801	0.0053304568	0.0498584299	-0.0386296176	-0.0687228986	-0.0692024559	-0.0413677766	-0.07739281	-0.0150618881	0.061053567	-0.0199685224	0.0613151957	0.1177181201	0.0061249816	-0.0244196485	0.0951844716	0.038084564	0.1433706889	-0.0805191898	-0.0554871146	-0.0669784205	-0.0601862074	-0.0639172944	-0.0156666884	-0.0221617548	0.0599830237	0.023742938	0.1040084072	0.0036342568	-0.0141235701	-0.0520039281	-0.0701913804	0.0861545012	0.0425280175	0.0294010898	0.1549419314	-0.2005544497	-0.141512979	0.0766423815	0.0403082923	-0.1571941714	0.1320691326	0.083863887	0.0515437724	0.1278888641	0.004671101	-0.0232022523	-0.0039327513	-0.0514297674	0.0471818188	-0.0334127247	0.0907222228	0.0571655756	-0.0063845598	0.0849920053	0.0949389174	-0.0748824399	-0.1221594935	-0.0626025382	0.1423497661	0.0487211578	0.0778610418	0.0202803522	0.0639807316	-0.0290705809	0.1264986821	-0.1254783053	0.1067689937	-0.0004706704	-0.0607591995	0.0721307817	0.0378789905	-0.0225011571	0.1020440758	-0.0480568396	-0.057138075	-0.0115927191	-0.1037684659	-0.0814020276	0.0100653161	0.0891417184	-0.0479269559	-0.2234519142	-0.0032889933	0.0223674653	0.1145547726	0.1140958982	0.1133324686	-3.13005e-05	8.11745e-05	6.58929945025e-09	9.7972130025e-10	-0.15026	-0.1578749499999999	0.0225780676	0.0249244998375024	-0.0637316	-0.06127723	0.0037548989164729	0.00406171683856	-0.000309911	0.000195177	3.8094061329e-08	9.6044827921e-08	-0.0010905	0.0005448699999999	2.968833168999998e-07	1.1891902500000002e-06	0.000184171	-0.000330061	1.0894026372100001e-07	3.3918957241e-08	0.0
753.8640514657815	1.5593198478837849	2.43147838800431	568311.0080924024	965.1822210442624	-2.3915677238692297	5.719596177853048	931576.7198199354	747.1987970482245	-0.3349368668266379	558306.0423103138	0.112182704759645	795.5504905598648	563.3098162552867	1.154117	25.735657	0.2924376495	0.163171	-0.0560131335	0.0186081815	0.1171507931	0.0181007496	-0.0280067601	-0.1033399203	-0.054747411	0.0844316698	-0.0177129152	0.0050841448	0.0554817982	0.0025861182	-0.0137445357	0.0747596271	0.1499453393	0.0186437374	0.0421670138	0.0430973856	-0.0008163637	0.0224135889	0.0130820262	-0.1353118254	-0.0283909112	-0.0623481445	0.0381452107	-0.0594452835	0.0658125176	0.0415870796	-0.0033092235	-0.0482108496	-0.043690162	0.0344995755	0.0080616906	-0.0218505544	0.0204129577	0.0083951837	0.0425721642	-0.0188998255	-0.0111997024	-0.0753191965	-0.0063332208	0.0794946546	0.0316258002	-0.0141907017	0.1102057216	-0.081903896	0.0597402938	-0.001757333	-0.1536812425	0.1119174887	0.0601160808	0.0532313249	-0.1060738185	0.0355279987	0.0353235876	0.1601255782	-0.0288488384	-0.0030894651	0.0483844834	0.0960537388	-0.0087034656	-0.1107121197	0.1012938807	0.0424226071	0.1090468821	-0.0441272754	-0.0030495438	-0.0561132097	-0.0142588001	-0.0040502495	-0.048686111	0.0565588989	0.0326795749	-0.0157299821	-0.1416579477	0.0127194015	-0.0137132091	-0.0273519753	-0.0646531702	-0.0650255752	0.0302186876	-0.073692102	0.0395361345	-0.0127726075	0.0930167633	-0.0207154078	0.0227563356	0.0552524989	0.03920607	0.024882224	0.049708994	-0.0104427859	0.140811601	0.0715830167	0.0017179075	0.0981301505	-0.0223031722	-0.2043509255	-0.0273390274	-0.0028986959	0.0441907793	-0.085754076	0.0502024222	0.0374507481	-0.1204640874	-0.051075004	0.1940308185	0.0939737496	-0.102275706	0.0429385116	0.02017442	0.0923676734	0.0990597052	-0.0741345545	-0.0601843647	-0.0602259789	0.0288960607	-0.0284345373	0.1144078661	0.1135094328	0.1120172664	-0.011609	-0.0115776995	0.0001340431257123	0.0001347688809999	-0.0235782	0.1266818	0.00055593151524	0.01604827845124	0.0245599	0.0882915	0.0077953889722499	0.0006031886880099	-0.00103454	-0.000724629	5.250871876410001e-07	1.0702730116e-06	-0.00148874	-0.0003982399999999	1.5859509759999984e-07	2.2163467876e-06	0.000379035	0.000194864	3.7971978496e-08	1.4366753122500001e-07	0.0
754.0224537691028	0.1584023033212815	0.0250912896974872	568549.8607879787	966.0348494726932	0.8526284284307621	0.7269752369683112	933223.3303957288	746.0563957311799	-1.1424013170445733	556600.145611399	1.3050807691851756	796.8107443732935	574.1731078105599	1.00756	22.467573	0.06008377	0.03528	-0.0496071637	-0.0804319758	0.0225667354	-0.0808793705	0.0563385009	0.02973212	0.0939393997	-0.0069551805	-0.1483975329	-0.0714685212	0.0569867557	0.0977791826	-0.0146459321	-0.1142306226	0.1206800154	0.0314163804	-0.0040669114	-0.0315105425	-0.0022906585	0.0523000244	-0.0056752478	-0.1027718	-0.0590428484	-0.0019516478	-0.0682774867	0.0271948349	0.0464083888	0.0975074898	0.1467559091	-0.0309180131	0.0568030837	0.133443036	-0.1460690213	-0.0430535229	0.0029313353	-0.0139861568	-0.0203731654	-0.0258987021	0.0038464917	0.0176364044	0.0245915703	-0.004289739	0.15363805	0.0353949318	0.1008331421	-0.0763705562	-0.0631750283	-0.1027291319	0.0082426182	0.0958654827	0.0438506073	-0.0570971867	-0.0073388233	0.0054045594	-0.0309207655	0.0147945716	-0.0176876654	0.0103906029	-0.0007477805	-0.0559775675	0.0113072687	0.062818066	-0.1328604174	-0.1179966442	0.1673904057	-0.0794576925	-0.0852269058	-0.0782028024	0.1381918026	0.0151962487	-0.0723823737	0.0155000943	0.1069605231	-0.0226673452	0.0526179855	-0.0950284779	-0.0244100512	-0.023914807	-0.1970700393	-0.0179090059	-0.0109895765	-0.0056724338	0.0947673145	-0.015926104	-0.0348126316	-0.0171419808	0.0147879316	-0.0810243722	-0.0098942502	0.1133096613	0.0126713318	-0.0350133433	0.1666014758	0.0917236004	0.0234118451	-0.101845134	-0.0278305571	-0.0694674175	-0.069951273	-0.1509318965	-0.0403875516	-0.0572709583	0.0977690316	-0.0863889561	-0.1008118016	-0.1044149496	-0.0036683089	0.0332993479	-0.0045882886	-0.150245472	0.0106786112	-0.0106807348	-0.0785016669	0.0231557456	0.0353595986	-0.0503908886	0.0014118835	-0.0447719977	0.1142120884	0.1127290384	0.1102715368	-0.0136848	-0.0020758	4.308945640000004e-06	0.00018727375104	-0.0142457	0.0093325	0.00020293996849	8.709555625e-05	-0.00698732	-0.03154722	0.0009952270897284	4.88226407824e-05	-0.000918513	0.0001160269999999	1.3462264728999998e-08	8.43666131169e-07	-0.00158385	-9.511000000000004e-05	9.045912100000004e-09	2.5085808225e-06	0.000247607	-0.000131428	1.7273319184000002e-08	6.1309226449e-08	0.0
753.6477330332217	-0.3747207358810556	0.1404156298992398	567984.9055061142	964.2506345245348	-1.784214948158365	3.183422981231756	929779.286180968	747.4238758484845	1.3674801173045807	558642.4501883708	1.87000187122335	796.6650075099983	563.5761898303156	1.025169	22.860247	0.1953247918	0.1173	0.0736875601	-0.0094115286	0.1060272621	-0.0424774692	-0.0238352406	-0.026976196	-0.1374997791	-0.0555274674	-0.1412459762	0.0040841719	0.0574792064	0.0646336546	0.0672276321	0.0158334198	0.0514457337	0.0067472716	-0.0261418013	-0.0218120489	-0.0416910675	0.0453879617	-0.079734415	-0.084044046	-0.0490182012	0.0364733676	-0.0350816586	0.0265632011	0.0244671529	0.0321708396	0.0490483169	-0.077591921	-0.0284998532	-0.0954537484	-0.0264475862	0.0310496501	-0.012128648	-0.0313003801	-0.010268566	0.0285946695	0.0247842108	-0.0902549131	-0.0319585893	0.0134938242	0.0091412846	0.1027707598	-0.025268254	-0.0264519607	0.0128237678	-0.066241922	0.0260581062	-0.0900281377	0.1333806239	-0.0615830547	-0.0561028305	-0.0552062143	0.0301888149	0.0681269334	0.0456742061	0.0555104215	0.0839829536	0.1017403111	-0.0998308826	-0.064226934	0.0322423484	0.0982398131	0.0752821435	-0.1677937833	0.1463258791	0.0490219356	-0.0906187082	-0.0338005219	-0.0854835785	-0.0345732874	0.0920790618	0.100584792	-0.0224380207	0.1075117664	0.0451304396	0.0096446353	-0.1189802595	-0.0432668377	-0.0442367707	-0.046019996	0.0087397095	0.0243084565	0.0878847456	-0.078190516	-0.0207563117	-0.0244504498	-0.0122157458	0.0245296394	-0.0521633506	0.0478048148	0.158432634	-0.025963663	0.018264469	-0.1229666384	-0.0461918364	0.0505398075	0.029198163	-0.0154034677	0.1198076473	0.0464121077	0.1468071052	0.1011711226	-0.0380807368	-0.1066161253	-0.0101505235	0.0942049237	-0.0759496643	-0.0652108016	0.080647428	0.0737188153	0.046135971	0.0655524593	0.0106645182	0.1640550227	0.0492012129	0.0991809211	0.1139675232	0.1117560484	0.1081019891	-4.36882e-05	0.0136411118	0.00018607993114	1.90865881924e-09	-0.124009	-0.1097633	0.0153782320809999	0.01204798202689	-0.0351561	-0.02816878	0.0007934801666884	0.00123595136721	-0.000700018	0.000218495	4.7740065025000045e-08	4.90025200324e-07	-0.00117492	0.0004089299999999	1.6722374489999986e-07	1.3804370064000002e-06	-1.05879e-22	-0.000247607	6.1309226449e-08	1.1210362640999999e-44	0.0
755.0507031208589	1.4029700876371862	1.968325066804694	570101.5642833033	967.1704482358472	2.919813711312372	8.525312108767729	935418.6759407296	747.8527359995585	0.4288601510739909	559283.7147420254	0.1839210291792063	796.8886803000536	574.5470658750402	1.049441	23.401485	0.2347273433	0.152033	-0.0532641676	-0.0733159215	0.0587439166	0.0304612888	-0.0159697759	-0.0784380532	0.0280074853	0.0630302391	-0.0670772933	-0.0346540933	-0.0264286956	0.0158794277	0.0363277958	0.027150101	-0.0759501361	-0.0298594397	-0.1561882705	-0.0650341321	0.0183298502	-0.0562701493	-0.0237043011	0.0351217453	0.0824295635	0.1290855201	0.0640987632	-0.0150338386	-0.0993748863	0.1500311811	-0.0824599909	0.1454755488	0.0522313352	0.0711916729	0.016376318	0.0115360669	-0.2030851154	-0.0117570001	-0.0095864953	-0.018518422	-0.1811289964	0.0424440549	0.0704401663	0.0526313876	0.0588153759	0.0389303304	0.0538330825	0.0758340678	0.0912457268	0.0925082778	-0.0839612742	-0.0274928093	-0.0108314795	0.0745270341	0.0066014398	-0.139316314	-0.0501415524	0.005237979	0.0341572931	0.0510795256	-0.0437167673	0.0631757132	-0.1242844478	-0.0562231283	0.0941639062	-0.1261490916	-0.1588761315	-0.0432775209	-0.0230436781	-0.0403518777	-0.1533631571	-0.0774782614	0.0340015789	-0.0773324429	-0.0778265961	-0.0111859616	-0.0825065379	-0.0487820311	-0.0078983523	0.0251438576	-0.0662461235	-0.0187483941	0.0188233217	0.0516504702	-0.1035055767	-0.0495742801	0.0844228277	0.0224383276	0.0295281936	-0.1531450118	-0.1344076258	-0.0828454859	0.2019660875	0.0704352573	-0.0634787357	0.0262896758	0.0441386135	-0.045105232	-0.0493301215	-0.1173537545	0.0755806823	0.1439579689	0.0805191113	0.0838445972	-0.1053130625	-0.0130657687	0.0570801601	0.1515783182	-0.0173310473	-0.042648794	0.0463079341	0.0674942457	-0.0131646396	-0.0320410964	-0.0977505363	0.1367166548	0.0408427329	0.0222253763	0.1013263721	0.0270817262	0.1136742748	0.110592125	0.105516962	-6.15315e-05	-1.78433e-05	3.1838335488999997e-10	3.7861254922499995e-09	0.0130374	0.1370463999999999	0.0001699737987599	0.0187817157529599	0.0219578	0.0571139	0.00326199757321	0.00048214498084	-0.00118526	-0.000485242	2.354597985640001e-07	1.4048412676000002e-06	-0.00129318	-0.0001182599999999	1.3985427599999952e-08	1.6723145123999996e-06	0.000207482	0.000207482	4.3048780324e-08	4.3048780324e-08	0.0
754.402945482771	-0.64775763808791	0.4195899577012277	569123.8041530807	965.51716097015	-1.653287265697145	2.733358782916342	932223.3881278586	747.5601897395428	-0.2925462600156834	558846.2372834212	0.0855833142491638	797.683154177355	570.6615829774204	1.123567	25.054422	0.3278110351	0.19611	0.1148617161	-0.036230833	0.0438400615	-0.0143653263	0.0652129826	0.0587119229	-0.0380158748	-0.0436955729	-0.166887532	0.0649016367	-0.1053790787	-0.0576741672	0.0575572051	-0.0664021471	0.0683842699	0.0121759032	-0.1735721135	0.0024204808	-0.0662567678	-0.127848812	-0.0986504286	-0.1164478904	-0.0311012278	0.1651537064	-0.1020380849	0.0815056495	0.0926328491	-0.0712621808	-0.0203550684	0.0339502333	0.0987290805	-0.0501841348	-0.2126799864	0.0700274993	-0.1139322732	-0.0137409253	0.1129825513	-0.0481514205	0.0680036443	-0.0584530152	-0.0268202556	-0.1648924725	-0.0468419094	-0.0185383578	0.0503123447	0.0734444169	0.1326790553	-0.0734240357	0.0872370284	0.0120932754	0.0376305551	-0.0071286093	0.0309417536	0.1157742648	-0.0514093667	-0.0225538714	0.0308085159	-0.0953344297	-0.1165399702	-0.0793408783	0.1075405777	0.1318234041	-0.0197400515	-0.0186738012	-0.0746724677	0.001357827	0.2182107573	0.002952801	-0.0308951911	0.0700423271	-0.0203172006	-0.0125345521	0.0079258465	-0.0165678357	0.0734915535	0.0535434816	-0.0314443119	0.1471855843	-0.0922264443	-0.0516557927	0.0444329323	0.0780663446	-0.0516600112	-0.1211433714	0.0087057987	-0.0965934684	-0.0036527606	-0.0298994055	-0.1084392104	-0.016017569	-0.1618591243	0.0232214912	0.1273725161	0.1220373992	-0.0989949251	-0.0326561995	0.1172743578	0.1243282177	0.0841723409	-0.0108881724	-0.0372731422	0.2329628262	0.0307586501	0.0130742821	-0.088372139	-0.0199302156	-0.0047709397	-0.1338143623	0.041381596	0.0726637685	0.0903400109	0.0268549729	-0.0072183475	0.0196886938	0.0203608304	0.0027184444	-0.0401689964	0.0340708109	0.1133324686	0.1092392569	0.1025263906	2.65036e-05	8.80351e-05	7.75017883201e-09	7.024408129600001e-10	-0.146852	-0.1598894	0.021565509904	0.02556462023236	-0.080351	-0.1023088	0.01046709055744	0.006456283201	-0.000626452	0.000558808	3.1226638086400005e-07	3.92442108304e-07	-0.000748974	0.0005442059999999	2.9616017043599984e-07	5.60962052676e-07	0.0	-0.000207482	4.3048780324e-08	0.0	0.0
756.5620343198747	2.159088837103696	4.661664606505788	572386.1117742272	967.0495575988898	1.5323966287397752	2.3482394277730285	935184.8468522084	749.5565830282567	1.9963932887138756	561835.0711609959	3.985586163221803	797.6124435808132	577.11343063631	1.105049	24.641502	0.3550074844	0.210052	-0.0182871068	-0.0683216197	0.045649805	0.1148118422	-0.0245122729	-0.092359311	-0.0292122138	0.1114460061	-0.0703704891	-0.0207803581	-0.0716296486	-0.0624928909	0.0101688285	-0.037512861	-0.0996306156	-0.0822959021	-0.1339069248	0.0654135007	0.021792581	-0.0626298988	0.0401304646	-0.0357333594	0.0833996873	-0.0956911043	-0.0034747461	-0.0875872908	0.0295610079	0.1495311802	0.009913987	-0.1188935982	-0.0965281483	0.0004939164	0.1337948915	0.0070191451	-0.0831700899	0.0004252801	-0.0734551411	0.0358723146	-0.0503024472	-0.154873643	0.0971130341	-0.095647772	-0.023058267	0.009770159	0.089323975	0.058081286	-0.0158984238	-0.0823995772	-0.0038458243	-0.0590708105	-0.0142186223	0.0150774705	-0.2043963687	0.074270025	-0.0687446724	-0.2055816926	0.0919461996	-0.0074562544	0.0805650705	-0.0529306207	0.030296988	-0.2546007223	0.1032373175	-0.0178943839	0.1127993658	-0.0955916478	0.0980410891	-0.1208511914	0.0626628094	0.0315584131	0.0793920862	-0.1008545626	0.0487902442	-0.0400901278	-0.1237898796	0.0165460531	-0.0090510284	0.0590960391	0.0060559455	-0.0668180165	0.0191192488	0.0219732601	-0.0654190181	-0.0007429493	0.1078739138	0.0208838823	0.0312588189	0.0513810022	0.0261867785	0.0750185288	-0.039148362	-0.2236351209	0.0777327316	-0.0891170559	0.0376490435	0.0085975193	-0.1714412986	-0.0204908385	-0.0224852239	0.1421914813	-0.0332939387	-0.0194432521	-0.0849804305	0.0082534221	-0.0924356292	-0.032770648	-0.0311169104	0.0082085654	-0.0338957337	-0.0500200327	0.0943300697	0.1434997989	0.0433779195	-0.0738476838	0.088315753	0.1012902879	0.002054868	0.0474649038	0.1129422506	0.1076997553	0.099141769	-4.70808e-05	-7.358439999999999e-05	5.4146639233599995e-09	2.2166017286399997e-09	0.0247994	0.1716514	0.00061501024036	0.02946420312196	0.0293302	0.1096812	0.01202996563344	0.00086026063204	-0.00112259	-0.0004961379999999	2.461529150439999e-07	1.2602083080999995e-06	-0.00124426	-0.000495286	2.453082217960001e-07	1.5481829476000002e-06	0.000480602	0.000480602	2.30978282404e-07	2.30978282404e-07	0.0
756.7700534583653	0.2080191384906129	0.0432719619783768	572700.913811377	969.43101392877	2.381456329880166	5.671334251126309	939796.490766963	747.5594236442389	-1.9971593840177773	558845.0918793067	3.988645605170269	797.7574383831671	583.3604599106945	1.013627	22.602871	0.2083312192	0.12393	0.0409465156	-0.1351277599	-0.0299077657	0.003507398	0.1064990681	0.0434786838	0.1029675602	-0.0556916881	-0.1231965152	-0.0247874948	-0.1725765763	0.0390642727	0.04261274	-0.0399267673	0.0624733017	-0.0274998175	0.0534961588	0.047749434	-0.0195649108	-0.0527105771	-0.0777167367	-0.1196742901	-0.0207581158	0.0395996918	0.0729294523	0.1273309526	0.04714034	-0.0427344756	-0.1509537919	-0.0303697352	-0.0034567121	0.0852313671	0.0052152115	-0.0150667684	-0.0902235503	-0.0320041459	-0.0945673653	0.0251897763	0.0582471998	-0.1363732301	-0.0251771392	0.041538796	0.0918185248	-0.0364401211	-0.0708634641	-0.1363536191	-0.1647239244	0.0621088198	0.01923145	0.0308173004	-0.1363481381	0.0202432993	-0.0525076471	0.1099230543	0.1158529521	-0.0274792484	0.0277015543	-0.0027342988	-0.0559861339	0.040478235	-0.0280329888	-0.0593501354	0.1109299727	-0.0522519966	-0.0734292317	0.0472873619	0.0611237776	0.0175343515	0.1014172986	0.115748171	0.0292397051	0.135414061	0.0552483834	-0.05619459	0.0466985598	-0.0820888497	-0.0212959609	0.0896082842	-0.123018026	0.0399374304	0.0841072115	0.0335418672	0.0305127769	0.073085213	0.0706953999	-0.0438889699	-0.0585261927	0.0635617174	0.1009849761	0.008818744	0.0349303225	-0.1278391032	-0.0570008119	0.0290125012	-0.1607997911	-0.0583469599	0.0170215568	0.068514233	-0.112381843	-0.0433894344	-0.0145908781	-0.1328162561	-0.1868317804	-0.036923433	0.1001196196	0.0663068564	-0.0470515869	0.0759767753	0.047549689	-0.0576769781	-0.0227516154	0.0652699598	-0.0382992829	-0.0407020606	0.0293910611	0.0568853964	-0.024186226	-0.0629616355	0.1125037874	0.1059762505	0.0953761056	-0.00640495	-0.0063578692	4.042250076430865e-05	4.1023384502500006e-05	-0.0586751	-0.0834745	0.00344276736001	0.00696799215025	-0.0585065	-0.0878367	0.00771528586689	0.00342301054225	-0.00109438	2.8209999999999867e-05	7.958040999999924e-10	1.1976675844e-06	-0.000815354	0.000428906	1.839603568360001e-07	6.648021453160001e-07	0.000324475	-0.000156127	2.4375640129e-08	1.05284025625e-07	0.0
