global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05
740.6393034171381	n/a	n/a	548546.5777662236	914.2025479687442	n/a	n/a	835766.298712544	693.3250921040895	n/a	480699.6833411442	n/a	722.4594530285984	561.9757604930809	n/a	n/a	n/a	n/a	-0.1525236411	0.1704906686	-0.1403677368	0.0372686007	-0.0779795052	-0.0430737141	-0.1882029003	0.0404748663	-0.4072924214	0.1312097374	-0.2405606404	0.3913749802	0.0253533927	-0.169493106	0.3299326974	-0.127052934	0.0750008401	-0.0077518941	0.1901732459	-0.0126267849	0.0076786257	-0.0122559109	0.1433384827	-0.1377071379	0.0037501789	-0.1907583347	0.0893114823	-0.2231306002	0.1036841731	-0.1446475324	0.1503780601	-0.0182167608	0.0520199799	-0.1622972109	0.1197910447	-0.10649598	0.0405821095	-0.0796346119	0.1028433297	-0.1395287643	0.0253085421	-0.038227359	0.0548081688	-0.0523129381	0.1595744157	-0.0990089154	0.0425905696	-0.0731360981	-0.0077418398	-0.0189661179	-0.0927579812	0.1171238194	-0.0007492511	-0.0468095461	0.1644421792	0.0956792154	-0.0889646373	0.137259575	0.0038426545	0.0635825062	-0.0982757982	-0.123556878	0.1059740214	-0.1428436978	0.1306845442	-0.0430579064	0.2108664801	-0.1937013283	0.0301088202	-0.0624258923	0.1256142502	-0.4310587996	0.2296011422	-0.0342961983	0.0439168467	-0.1632907358	0.2148077098	-0.2507836327	0.0518701162	-0.1271949942	0.0221073376	-0.04606769	0.1516672107	-0.1415190755	0.0562070018	-0.0434850338	0.0844415768	-0.0535396149	0.1063579609	-0.1033687084	0.0791429206	-0.0201495508	0.1882299476	-0.0062983867	-0.0251337848	-0.0853636226	0.0282348804	-0.0438056475	-0.0211390178	0.0270043514	0.0849063254	-0.0412219709	-0.0205532678	0.1483605398	-0.0017361515	-0.0542988671	0.1147017419	0.1146833673	0.1146527451	0.0357541	n/a	0.0012783556668099	n/a	-0.283783	n/a	0.080532791089	n/a	0.0684559	n/a	n/a	0.00468621024481	-0.0115393	n/a	n/a	0.00013315544449	-0.00179956	n/a	n/a	3.2384161936e-06	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0
739.6451430336745	-0.9941603834636226	0.9883548680485372	547074.9376133047	917.7233970807094	3.5208491119652763	12.396378469226674	842216.2335493575	693.7049335321702	0.379841428080681	481226.5348068727	0.1442795104863711	723.9942449304708	557.6022831950195	1.244457	31.529242	0.2783135	0.189771	-0.1595265649	0.1448972229	-0.1676533258	-0.0008133062	-0.0542596984	0.0256940477	-0.1045803838	-0.0120629358	0.0064542704	-0.0781522261	-0.2243897563	-0.1245008945	-0.1456812879	-0.0059038073	-0.0637406913	-0.0582898948	-0.004675471	-0.0808330659	0.0941412323	0.1334502958	0.2033780815	0.0167618615	0.0880890126	-0.0854669553	0.0611265735	-0.0191917803	0.1865750917	-0.0878992308	0.0019808538	-0.198337158	0.0288026083	-0.0437528255	0.0338334572	-0.0746402611	0.1022940136	-0.1107008826	-0.0854545848	0.0687551595	0.0244900393	0.1137280888	-0.0710511083	-0.0469810733	-0.0971462235	0.0214647848	-0.095559575	0.1178741147	0.065456701	-0.0365886039	-0.0091275485	-0.1917532233	0.1042643074	-0.0425711917	0.0931621918	-0.0090602373	0.0150293741	-0.064532535	0.0490007083	-0.0054887213	-0.1325900557	0.0712936356	-0.0426216944	0.002850225	-0.1548752621	0.0592235903	0.041490843	-0.0957100771	0.2328834779	-0.068398655	0.070577684	0.1107702882	0.0365164375	0.0447266456	-0.0922305292	-0.0709394732	0.0187971853	-0.1357397464	0.1870480129	0.044490914	0.1142106865	0.0097049073	0.0109520923	-0.0009162646	-0.1081243937	-0.2038199764	-0.0394454859	-0.1428933617	0.0079339685	0.0176909801	-0.1894312012	-0.0166714415	-0.0027441053	-0.0281371284	-0.0243277168	0.0370437107	-0.0463595802	0.1252886578	-0.027629495	-0.1317171681	0.0405255419	0.1444363425	-0.0069031836	-0.0812322073	-0.0629448748	-0.029919021	0.0300497618	-0.0026776097	0.1146527451	0.1144874327	0.1142120884	0.038758	0.0030039	0.001502182564	9.023415210000023e-06	-0.107515	0.176268	0.011559475225	0.031070407824	0.0905297	0.0220738	0.00048725264644	0.00819562658209	-0.0106423	0.000897	8.046090000000005e-07	0.00011325854929	-0.00151982	0.0002797399999999	7.825446759999995e-08	2.3098528324000004e-06	-0.000362616	-0.000362616	1.3149036345600004e-07	1.3149036345600004e-07	0.0	0.0	0.0	0.0	0.0	0.0
739.3023042413759	-0.3428387922986076	0.1175384375047677	546567.8970566079	920.6881952828504	2.964798202140969	8.790028379418322	847666.7529331921	692.3426273186607	-1.3623062135095552	479338.3136025059	1.8558782193667416	724.0645218211542	557.2174032426192	1.184808	30.018	0.2211123	0.104093	-0.1078880556	0.1457438889	-0.0185954695	0.0818783262	-0.0095107209	0.0147776683	-0.0396229898	0.1743122097	0.0568693663	-0.062159546	-0.026857019	-0.1143630151	0.073646783	0.1428070622	-0.0158439129	-0.1030801096	0.1253468275	-0.0113206691	0.1141771838	-0.0865714515	0.0581646515	0.1153673267	0.0951803969	0.1196481584	-0.0477367761	0.110447985	0.0438758806	-0.1349665697	0.0372049142	-0.0662956911	-0.070945594	-0.0859863178	0.1007064674	0.0942503117	-0.0816986	-0.1618549646	-0.0814570504	0.0239369053	-0.2408837372	0.0203363409	0.305882348	0.0691963555	-0.037610918	0.0609452821	-0.1645993638	-0.0304351	-0.0083611465	-0.0307689235	-0.0035871668	-0.1322326782	-0.0517494276	-0.0403750932	-0.0741963063	-0.0217026434	0.0103925583	-0.0972154771	-0.0330226029	-0.1218402871	-0.0608886989	0.0028622578	0.0308259409	0.1503342095	0.1425364269	0.0425517726	0.0721441843	0.1593324759	0.0360905709	-0.0143395247	0.0556613058	0.0257236671	0.1636372014	0.0558153885	-0.1288042498	-0.0009531258	-0.0388861795	0.071173152	-0.0947559334	0.1500174038	-0.0172710286	-0.1082588538	-0.066672869	-0.2475190883	0.0219712913	-0.2894875059	-0.0513700661	-0.0537763869	0.0039439467	-0.0220383695	0.0435740318	0.1736070637	-0.0192953489	-0.0214084009	-0.1293399743	0.0228901803	0.1192475937	0.0557015765	-0.0055476698	0.2073454552	-0.1106475598	0.0863993433	0.0046784109	-0.1403465032	0.0356323509	0.0610159103	0.0518407938	0.1516636503	0.1145547726	0.1140958982	0.1133324686	0.0539591	0.0152011	0.00291158447281	0.00023107344121	-0.0928487	0.0146662999999999	0.00862088109169	0.0002151003556899	0.130578	0.0400482999999999	0.0016038663328899	0.017050614084	-0.00909695	0.00154535	2.388106622500003e-06	8.27544993025e-05	-0.000403854	0.001115966	1.2453801131560003e-06	1.63098053316e-07	0.0	0.000362616	0.0	1.3149036345600004e-07	0.0	0.0	0.0	0.0	0.0	0.0
739.489961844672	0.187657603296202	0.0352153760748747	546845.4036690345	914.386733110538	-6.301462172312426	39.70842550908444	836103.0976885622	691.2283654081467	-1.1142619105139602	477796.6531448184	1.2415796052222206	722.0593801914096	553.4072957022045	1.137423	28.817469	0.12564735	0.067826	-0.1476954234	0.152209336	-0.0762392176	-0.1003869802	-0.1345807579	-0.0335180224	-0.0247260577	-0.0447151602	-0.0854111913	-0.0860555786	-0.1933403551	-0.0188388258	-0.010659811	0.0261974605	0.0131425001	0.216916674	-0.1314954847	-0.0209361513	0.016892898	-0.0422324683	0.086762299	0.0144700902	0.1789184582	-0.0477060066	0.0639256492	-0.0303745919	-0.0356769895	-0.0763393997	-0.0781475541	0.0086878606	0.0771853934	0.0218566384	-0.0352033691	-0.0841251608	-0.0018184017	0.005682439	-0.0964949211	0.0503543623	-0.079741613	0.0295527099	-0.1165461909	0.0949359632	0.0685383968	0.09893592	-0.1097166292	0.0798191577	0.0323306629	-0.0894547081	0.0616415766	-0.103549612	-0.0727947033	0.1349382092	-0.019649154	0.1139594055	0.0282524538	-0.0117834912	0.0282233275	-0.0397357693	0.0779016656	-0.0398460566	0.0418705537	0.0033593257	-0.0228904487	-0.0707707765	-0.0234291858	-0.0800604777	0.13657262	-0.1678971385	0.1016956041	0.0246591635	0.0284718186	0.0722610509	0.0443331824	-0.0333898452	0.0942821946	0.0271864299	-0.0423126474	0.0230826289	0.0501052634	0.095245584	0.0054336327	-0.0343191184	-0.0086851353	0.013609166	-0.0768162029	-0.101145598	0.0671627515	-0.1587371701	-0.0391938751	0.1745501987	0.0929176183	-0.0332821024	-0.1007984708	0.0210233836	-0.0436709228	0.0783783643	-0.0175401075	0.0033073365	-0.0130312003	-0.147021281	-0.0373983134	0.0511419637	0.0760644601	0.0059551851	0.0743393921	0.0104923888	0.1144078661	0.1135094328	0.1120172664	0.0517402	-0.0022189	0.00267704829604	4.923517210000013e-06	-0.138291	-0.0454422999999999	0.019124400681	0.0020650026292899	0.0889974999999999	-0.0415805000000001	0.00172893798025	0.0079205550062499	-0.0087980799999999	0.0002988700000001	8.932327690005997e-08	7.740621168639823e-05	-0.000616584	-0.00021273	4.52540529e-08	3.80175829056e-07	0.000216513	0.000216513	4.6877879169e-08	4.6877879169e-08	0.0	0.0	0.0	0.0	0.0	0.0
737.2218340445162	-2.2681278001558667	5.144403717839891	543496.0325919602	916.4491585595982	2.0624254490602425	4.253598732931343	839879.0602245956	690.4371045848259	-0.7912608233208402	476703.39538747777	0.626093690522374	722.6937831850801	559.9915131816334	1.017213	25.771845	0.17825925	0.0898594999999999	-0.1266255864	0.132116949	-0.0776823211	0.0932656478	-0.1226952504	0.0387099098	-0.0390586453	0.0180153332	0.0268079376	0.0066818206	-0.1917236254	-0.152931129	0.1044132362	0.0506302755	0.0349789463	0.0710512401	-0.0158819265	-0.0461332316	0.002259024	-0.0336169289	-0.0142479213	0.1148875391	0.0877478282	-0.0566066552	-0.0339184339	0.1502213979	0.0711355543	0.1452644742	0.0032099062	0.0645410653	0.0563228644	0.003966579	-0.0570467009	-0.0443027297	-0.1486867153	0.0349890003	0.0097849057	-0.139294951	0.0292410478	0.2277318157	-0.0634708983	0.0398598399	-0.0843634204	0.0411004249	0.0831073677	0.0102890182	0.1895467229	-0.0154004105	0.0635947787	0.039254622	0.085367294	0.1293663551	0.037322712	0.0500662135	0.2064831987	-0.1403028794	0.0470329194	0.0561145597	0.1092573419	0.0200030565	0.1292885148	0.0978002465	0.0370572182	0.0455668309	0.0493328188	0.0196673864	-0.0081681604	-0.0700661357	0.1522480261	0.023277906	0.1048368129	0.0797100662	0.04309388	0.1220625378	-0.0119844605	0.0014756615	0.0896896144	0.0467557048	0.0550634191	0.0999370285	-0.0016611196	0.1387455151	-0.1765861951	0.0180012958	-0.0537746969	0.081382715	0.0040821477	-0.0978791154	0.0135903198	0.0873949971	-0.0881076433	-0.0347075937	0.0261489268	-0.0180036101	-0.0783096838	-0.1293870143	0.065727366	0.0200565226	-0.0575246663	-0.1194251387	0.034539201	0.011964118	0.1378526018	0.1543229858	0.1489277989	-0.0235792082	0.1142120884	0.1127290384	0.1102715368	0.0303396	-0.0214006	0.00092049132816	0.0004579856803599	-0.0739152	0.0643758	0.00546345679104	0.00414424362564	0.117157	0.0281595000000001	0.00079295744025	0.0137257626489999	-0.00970854	-0.0009104600000001	8.289374116001834e-07	9.42557489316e-05	-0.000776078	-0.000159494	2.543833603600001e-08	6.02297062084e-07	0.0	-0.000216513	0.0	4.6877879169e-08	0.0	0.0	0.0	0.0	0.0	0.0
737.1296497099663	-0.09218433454987	0.0084979515364023	543360.1204815377	914.4870266257046	-1.9621319338936016	3.849961726005046	836286.5218667223	691.6423009760689	1.205196391243021	478369.0724994711	1.452498341465201	722.4336409844144	550.5699493750458	1.04336	26.434311	0.136137	0.084591	-0.113370039	0.1263220123	-0.0416814228	-0.0683295051	-0.0198297103	-0.0150809876	0.0036939275	0.0110495343	-0.0328002451	-0.0241098541	-0.1054344495	-0.0742451014	0.160784768	0.1180669259	-0.1476421682	0.0725279419	-0.0408061276	0.0892953116	0.0048188831	-0.074566769	0.1108870332	-0.0552381534	0.1352669007	0.1211206264	0.0737727959	-0.1327291581	-0.0040717214	-0.0195289417	0.0654987672	-0.0980262584	0.1715787751	-0.0622350163	0.0108593599	-0.0282921933	-0.1500978607	0.1283334587	0.0032013067	-0.0852002638	-0.0624373475	0.1306305714	0.0260979236	0.0952621906	0.0380016826	0.0045062642	-0.059972132	-0.0409836875	-0.0720699619	0.0314662973	-0.0651286976	0.1354936885	-0.0236382387	-0.1578205964	-0.0326523638	0.0064681593	-0.0071895135	0.1227098585	0.0431206761	-0.1231585974	0.1032434464	-0.1515625347	-0.0472962782	0.0686958414	-0.121547217	-0.0532665315	-0.0378829513	0.0368667627	0.1026083415	-0.0131295603	0.1078541552	-0.1033051751	0.077469868	0.0322467907	-0.094399254	-0.2406128779	0.0244050126	-0.0058932603	-0.1151585757	0.0407333692	0.0983007094	0.0121881845	0.0143632806	-0.0080724012	-0.0897822183	0.0941857397	-0.1289524709	-0.1302334204	-0.0363535803	0.0235663678	-0.0072465363	0.0014527881	0.0247770591	-0.030504489	-0.130109138	0.0403698686	0.2060205894	-0.1787496278	0.0914474197	-0.0511097735	-0.0806879023	-0.0308032268	-0.1091656078	0.1115866912	-0.1299573254	0.0330020644	-0.06134285	-0.0010319936	0.1139675232	0.1117560484	0.1081019891	0.0103584	-0.0199812	0.00010729645056	0.00039924835344	-0.0826791	-0.0087639	0.00683583357681	7.680594321000009e-05	0.128982	0.011825	0.000139830625	0.016636356324	-0.00813872	0.0015698199999999	2.4643348323999986e-06	6.623876323840001e-05	-0.00043456	0.000341518	1.1663454432400001e-07	1.888423936e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
738.2198141753602	1.0901644653938547	1.188458561607469	544968.4940411033	915.9899056804976	1.5028790547929702	2.2586454533354114	839037.507308567	690.9054398061338	-0.7368611699350822	477350.3267537072	0.5429643837580981	722.6135082815744	550.0803773377986	0.959155	24.300907	0.1641607	0.0785618	-0.1218992412	0.1019336399	-0.1153246833	-0.0441935661	0.0069213081	0.0392668049	0.0088402416	-0.035180228	-0.0381516373	-0.0758968023	-0.1289824896	-0.1653215585	0.1211267423	0.0239139566	0.0388528679	-0.0362569978	0.0067519194	-0.0319139037	0.0055755265	-0.01860414	0.0919480179	0.1302972888	0.1031502155	-0.0098027388	0.042569931	0.0534647218	0.0538236178	-0.0003333539	0.1544933052	-0.012482383	0.053193816	-0.0948104489	0.0301708102	0.0717727615	0.1890948005	-0.0881615282	-0.0965853297	0.0476048265	0.2158355126	-0.0757238495	0.0070291195	0.0071893169	0.0595966936	0.1082694028	-0.0486127668	0.095762311	-0.1348481052	0.0340954637	-0.0572247276	0.1280546898	0.1062232517	0.1336156083	0.059384663	0.1794840584	-0.1755184541	0.0014106582	0.0501464977	-0.0311345009	-0.0201157599	0.0351474188	0.0825734867	-0.1031410916	-0.1086418838	0.0641761757	-0.0015697768	-0.0020904017	0.0447902997	-0.1053522008	0.1246220767	0.0667520889	0.0217667774	0.0535347331	-0.1335701274	0.039545857	0.0757158732	-0.0714962889	0.0778458453	-0.0262662376	0.0184778715	0.0156584497	-0.1519230153	-0.0931062122	0.0396314566	-0.0048334656	-0.1183378155	0.0645314169	-0.1334401561	-0.0030520785	-0.0757250778	-0.00392767	0.0380618909	0.0118656704	-0.0084104728	-0.0457060391	-0.0402528105	0.1340103678	-0.2033438506	0.0586173869	-0.0845363717	-0.0122231951	-0.1620734188	0.1433523984	0.0631324874	-0.0921426388	-0.1499698874	-0.2093171397	0.1136742748	0.110592125	0.105516962	0.029594	0.0192356	0.0008758048359999	0.0003700083073599	-0.0370866	0.0455925	0.00137541589956	0.00207867605625	0.153367	0.0243849999999999	0.0005946282249999	0.023521436689	-0.00908347	-0.0009447499999999	8.925525624999989e-07	8.25094272409e-05	-0.000813359	-0.000378799	1.4348868240100004e-07	6.615528628810001e-07	0.000175403	0.000175403	3.0766212409000004e-08	3.0766212409000004e-08	0.0	0.0	0.0	0.0	0.0	0.0
738.8124598366435	0.5926456612833135	0.351228879837936	545843.8508098719	913.579903598894	-2.4100020816035794	5.808110033333586	834628.2402597645	691.626021338816	0.7205815326822176	478346.5533929604	0.5192377452426538	722.0958687839121	551.6069011154974	0.990066	25.084068	0.1877161	0.0998993	-0.1070475718	0.1094047098	-0.0263847075	-0.0133172516	-0.059336889	-0.0600407998	0.0023717678	0.0197936271	0.0007786315	-0.0465888252	-0.0120416063	0.0653822567	0.1472690775	0.1362624718	-0.0585158174	-0.000642044	0.0412909544	0.182144258	0.0530610786	-0.0458230503	0.0566930146	0.0259905669	0.0992374669	0.0582498914	-0.1138657573	-0.0207469218	0.09588252	-0.0324041242	-0.0331498474	0.0449459637	-0.1073074421	-0.1256731517	0.0079844632	0.0205668855	0.0662828392	-0.0871618617	0.0859188026	-0.0307884913	0.1345245716	-0.1073288391	-0.0715683491	0.0216954054	-0.1161690611	-0.0126039615	-0.0985457133	-0.1754760086	-0.0149744129	-0.1563125258	0.0624200111	0.1014846145	0.074332582	-0.0758469807	-0.0337992667	0.0443891843	0.0101435235	0.2553169349	0.0417439304	-0.0231425797	0.1018623501	-0.0745422897	-0.0576646759	0.1784666393	0.0994555749	-0.0754762445	0.0120067065	0.045046276	0.0852132745	-0.0433874889	0.0300309768	-0.1076267563	0.0903070838	0.0506323161	0.09338048	0.0103271766	-0.0238805159	-0.0045000091	0.0854173784	0.1434288489	-0.0117391813	-0.1169090897	-0.1230255699	-0.0790107391	0.1045560534	0.1238726034	-0.0584617334	0.0284246134	-0.0404913024	0.0377517734	0.0306415534	-0.1588752909	0.066948257	0.0024660292	0.0844328931	0.0584391738	0.0296930473	0.0114521639	0.0683462893	0.1386346861	0.0188600558	0.0431254092	0.0394026317	-0.0325255237	0.067523651	-0.0414507067	0.0229786859	0.1438577362	0.1133324686	0.1092392569	0.1025263906	0.0351168	0.0055227999999999	0.0012331896422399	3.0501319839999976e-05	-0.108343	-0.0712564	0.011738205649	0.0050774745409599	0.125945	-0.027422	0.000751966084	0.015862143025	-0.0079384799999999	0.00114499	1.3110021001002269e-06	6.301946471039842e-05	-0.000619576	0.000193783	3.7551851089e-08	3.838744197760001e-07	0.000506928	0.000331525	2.56975997184e-07	1.0990882562500005e-07	0.0	0.0	0.0	0.0	0.0	0.0
740.0183428904913	1.205883053847856	1.4541539395574312	547627.1478143889	915.1802080790544	1.6003044801603892	2.5609744292214134	837554.8132596214	692.8919833003303	1.265961961514222	480099.30052186514	1.6026596880009365	722.8774170466273	540.1370639769997	1.050526	26.615852	0.1354981499999999	0.0714157	-0.0973788286	0.0436370048	-0.1225389556	-0.0849811602	0.1619434097	0.0533333375	0.0214136029	-0.0040858042	-0.095801858	-0.121958851	-0.0049145987	-0.036085366	0.0378406843	0.0058004729	-0.1111145405	-0.1048611549	0.0450782058	-0.1215698276	0.063037024	-0.0073902699	0.1362193888	0.0011564529	-0.0101594363	-0.1347705125	0.117411465	0.1197652884	0.0744068801	-0.0816315908	0.1194922896	0.0124106165	-0.092134321	0.0966206804	0.0134811419	0.0441921414	0.0732273107	0.0705077081	0.0108100509	0.0457738995	0.0207201623	0.0794274702	0.044826966	-0.0928693582	0.0215666134	0.0454673119	0.0593024417	-0.0958163447	-0.0852735434	0.0295736041	-0.0396889601	-0.1005788589	-0.119398282	-0.0895679572	0.0122262725	-0.0338845856	-0.0006004265	-0.1012841149	-0.065914708	0.0682247152	-0.025532624	-0.0294544125	0.1135656876	-0.0430288068	-0.0512028287	0.0585511745	-0.0299488619	0.000819102	0.1342588976	-0.0556485333	0.0695521924	0.008729019	-0.0677456481	-0.0076984636	-0.1034303289	-0.054641559	-0.1048741251	-0.1223371964	0.0904968089	0.0555658168	-0.0637217444	0.0364151948	-0.0009715081	0.0290704844	-0.11946985	0.0237213918	0.1809564626	0.0478545039	0.1103679615	0.0685750421	-0.0171528345	0.0072107168	-0.0150422625	0.0346751439	0.0329428784	0.0511580639	0.0170433367	0.0555480352	-0.0396595147	0.0955281627	-0.0642515406	-0.063018652	0.0183576096	-0.0234593927	-0.0864784634	-0.0310396707	-0.0538735096	0.0688372731	0.1129422506	0.1076997553	0.099141769	0.0453456	0.0102288	0.00205622343936	0.00010462834944	-0.0601125	0.0482304999999999	0.00361351265625	0.0023261811302499	0.0867703999999999	-0.0391746000000001	0.00153464928516	0.0075291023161599	-0.00776398	0.0001744999999999	3.045024999996525e-08	6.0279385440400005e-05	-0.000695433	-7.585699999999992e-05	5.754284448999988e-09	4.83627057489e-07	0.0	-0.000506928	0.0	2.56975997184e-07	0.0	0.0	0.0	0.0	0.0	0.0
740.0747256547992	0.0563827643078411	0.0031790161109935	547710.5995530263	913.7138971692016	-1.4663109098528366	2.1500676843534534	834873.0858801303	690.2331939506735	-2.658789349656786	476421.862031348	7.069160805848354	721.3191948986395	557.8644082232956	1.08957	27.605062	0.11868295	0.0626653	-0.0864395859	0.0946806591	0.0291604847	0.0266384579	0.10398116	0.012514238	0.0272063786	0.1367673234	-0.0430167442	-0.0743713126	-0.0606539106	0.0181007856	0.0578067668	-0.078184708	-0.1638859517	-0.0124601937	0.1280533779	0.1041002708	0.0080705314	-0.1342735209	-0.020482865	0.0849284523	0.0909980278	0.0172786426	0.0147608328	-0.003416168	0.0138324874	0.1053815625	-0.3399163792	-0.0310416021	-0.0130007777	0.1561337832	-0.068614163	-0.0531543751	-0.0435748269	0.032501696	0.1879490495	0.0609338923	-0.1081961359	-0.049427647	0.0897975078	-0.0002599431	0.0881232896	0.1391630558	0.0423749862	-0.0418018269	-0.0029810815	0.0292248764	-0.0833608241	0.0479707062	0.1032824287	-0.0358225552	0.0194704015	0.1303578174	-0.0971579696	-0.1542222614	0.0708204475	-0.015345431	0.0337626677	-0.0088806687	-0.0190753227	0.0374879842	0.0736650354	-0.0125465556	-0.0023820448	0.1700932694	-0.0337294642	-0.144470769	0.0429836474	0.0155964992	-0.0240243659	0.0968292366	0.1100931879	-0.088642087	0.0422925488	0.1286641768	-0.0601817375	0.0483953533	0.0740486469	-0.0971904746	0.1097896217	-0.0420588145	-0.0040190237	-0.0697148649	0.0380166171	0.1410671489	-0.1836129639	0.0900114712	0.0624672834	0.1265806556	-0.0246852824	-0.0538802253	0.0356084366	-0.0731701341	-0.0165520439	0.1572033042	0.0809290959	-0.1356627058	0.1025081236	-0.0607867881	-0.0537964476	0.0003952453	0.0770003265	-0.0305351792	-0.1035520452	0.1161571078	0.1125037874	0.1059762505	0.0953761056	0.035084	-0.0102616	0.0012308870559999	0.00010530043456	-0.0614385	-0.001326	0.00377468928225	1.758276000000002e-06	0.101013	0.0142426000000001	0.00020285165476	0.010203626169	-0.00665769	0.00110629	1.2238775641000005e-06	4.43248361361e-05	-0.000302448	0.000392985	1.54437210225e-07	9.1474792704e-08	0.00035778	0.00035778	1.2800652839999998e-07	1.2800652839999998e-07	0.0	0.0	0.0	0.0	0.0	0.0
