global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
753.6908988346589	n/a	n/a	568049.9709861961	882.1062544850387	n/a	778111.4442016238	n/a	712.4643849437275	n/a	n/a	507605.4998132439	733.8103654744788	561.5675101489174	n/a	n/a	n/a	n/a	0.0528841418	-0.0318551826	0.006008124	-0.0232071047	0.0418777324	-0.1090450386	0.0476656703	0.0213977154	-0.0028771273	0.1300762882	-0.077415683	0.2176845171	-0.2216904107	-0.0380747847	0.1637833381	-0.0470464579	0.0751994294	-0.1873327912	0.1795322682	-0.176405798	0.0796585455	-0.1846149591	0.0781929157	-0.0269574142	0.0609483912	-0.1058212617	0.0437179147	0.0432128346	-0.0540009677	0.0377702588	-0.047960324	0.0739964224	-0.0937076531	0.0939898948	0.0297817193	-0.114193321	0.0903003346	-0.0604446158	0.0426274197	-0.1721147853	0.0156003945	-0.0786518555	0.0341967842	-0.0254272249	0.0692990468	-0.0054407556	0.0469214801	-0.0121214568	0.0252407525	0.070611001	-0.0244684432	0.0106096007	0.0085716988	0.1334225742	-0.1272851842	0.1033670362	0.1563776334	-0.1240233692	0.0766636009	-0.0467813809	-0.0063863992	-0.0053419322	-0.0014757923	-0.0035565057	0.0746957103	0.0367711193	0.0082243461	-0.0056553933	0.0037788631	-0.0620266906	0.2090869691	-0.0761577531	0.0421540707	0.0656854881	-0.1121353949	0.0035353317	-0.0267428605	0.0683419301	-0.0072308996	0.033926965	-0.2285586754	0.1212625838	0.043642093	-0.163658098	0.1251253574	-0.0765019273	0.1526349746	-0.0032700748	0.1583431821	-0.071769254	0.1177467952	-0.0180191808	0.0475518322	-0.0873848281	0.1404735556	-0.0430621917	0.0450043848	-0.0820701798	-0.0673400863	0.0803639261	-0.0158002825	-0.0832387347	0.0428504527	0.0627369172	-0.0749413918	-0.0195821097	-0.0546239371	0.0167764328	0.1147017419	0.1146833673	0.1146527451	0.0738869	n/a	0.00545927399161	n/a	-0.123251	n/a	0.015190809001	n/a	-0.0405179	n/a	0.00164170022041	n/a	0.00332427	n/a	n/a	1.10507710329e-05	0.00041905	n/a	1.7560290250000006e-07	n/a	0.00127308	n/a	n/a	1.6207326864e-06	0.0
752.7277339478637	-0.963164886795198	0.9276865991552068	566599.041454286	873.7215237694951	-8.384730715543583	763389.3010980884	70.30370917218	711.1500933024612	-1.3142916412663226	1.727362518302524	505734.4552040992	730.5178334343494	562.5210683070236	1.16011	30.117584	0.24125471	0.140755	0.0439725247	0.1446097383	0.0232031991	0.0355848638	0.0624635006	-0.0146228082	0.0094884325	0.0454792703	0.0331591993	-0.0248095383	-0.0054310751	0.0500690989	0.1195946372	0.0053143806	-0.0387121856	0.1595107648	0.1059043734	-0.101594731	0.0849529044	-0.167830945	0.1457298309	-0.0841434713	-0.0182298845	0.0347991865	-0.0695533861	-0.0014600186	0.0277448778	0.1639008971	0.0403434535	0.1006027805	-0.0374111691	-0.0099089432	-0.0806244902	0.1813654952	0.0257475126	0.0300882977	0.0360343166	-0.0380277774	0.1381913204	-0.1398181247	0.0211413921	-0.0794703498	0.0877919026	-0.0412802588	-0.0190187655	0.0837680372	-0.2423206652	-0.0062376716	0.1337548409	-0.0354204277	0.0893582184	0.1627524611	-0.0791780024	-0.0424585677	-0.0088661421	0.1254402354	-0.1045166859	0.0666721803	0.0796809455	0.0261785196	0.1415336904	0.0709739546	0.0198435401	0.0410381236	0.0343263149	-0.0266816902	-0.0093216695	-0.0316285495	0.0166203952	0.0055522002	-0.0858889419	0.0137665943	-0.1136677008	0.1283310014	0.0254606545	0.0564261642	-0.0280093171	0.1064680202	-0.0015915004	0.144795901	-0.1356961406	0.0278371657	0.1247716034	-0.1642970052	0.0092486144	-0.0114965387	0.1609868577	-0.0903588897	0.129576143	-0.0901678601	-0.1732585202	-0.0012421343	-0.0700570265	-0.0064755796	0.0929420194	-0.0610205566	0.1085824262	-0.1234712161	0.0453840624	-0.055972777	0.0256235076	-0.0023361296	0.0487682483	0.0517669627	0.1421588453	-0.0250514258	0.0638061844	-0.0015916316	0.1146527451	0.1144874327	0.1142120884	0.0591741	-0.0147128	0.00350157411081	0.00021646648384	-0.00598689	0.11726411	3.58428518721e-05	0.0137508714940921	-0.0125337	0.0279842	0.00015709363569	0.00078311544964	0.00197469	-0.00134958	1.8213661764e-06	3.899400596099999e-06	0.000349248	-6.980200000000005e-05	1.21974165504e-07	4.872319204000007e-09	0.00106659	-0.0002064899999999	4.2638120099999975e-08	1.1376142281e-06	0.0
753.5764712707187	0.8487373228549586	0.7203550432070023	567877.4980528282	868.649572254127	-5.071951515368141	754552.0793772778	25.724692174245185	710.7844209258535	-0.3656723766076766	0.1337162870139064	505214.4930309009	729.5254941392614	544.6793436363068	1.24356	32.284012	0.19787011	0.142364	0.1626436444	-0.0896664113	-0.075543646	0.0242109352	0.0304699482	0.076683793	-0.1117649018	-0.0243128442	-0.0528398273	-0.1205611506	0.1322955121	0.0060732826	0.0315028171	0.0006976499	-0.0146539674	0.0144791549	-0.0204095381	-0.2931806445	0.0955704281	0.0279267933	-0.1695503101	0.1319246844	0.0520881975	0.1092735866	-0.0998701124	-0.075776787	-0.1431906336	0.0424939022	-0.0414374702	-0.019466461	0.1199771869	0.0222948273	0.1902889708	0.0704669043	0.0060917349	0.1103887834	-0.2239778463	-0.0368867831	0.0061471903	-0.0714910994	-0.0798797683	-0.0766107268	-0.1387407251	-0.048822917	0.0115662947	-0.0040771229	-0.0060051952	0.0151139852	0.0622035203	0.1276011039	-0.108570574	0.1550220174	0.0289555154	0.0791066929	0.045725054	0.031023429	-0.1027932204	0.0184015312	-0.1065486659	-0.0128663675	0.0457760817	0.0091796831	0.0477094944	-0.0705845011	-0.0774183282	0.0595069256	-0.0246882257	0.0172155277	-0.012254481	0.1343704773	-0.0151608271	-0.1371348019	0.1165624376	0.0585882937	-0.1642254344	-0.045178391	-0.1448194171	0.0242078154	-0.0028116127	0.1767160332	0.1601798627	0.0026315454	-0.0582048579	0.0276949396	0.0841193566	0.134564253	0.0708237662	0.0522836546	-0.106463659	-0.0070671452	-0.0308728974	-0.0680727241	-0.0477417954	0.0641373719	0.1301241822	-0.077424134	0.039999651	0.0742147166	0.0036455872	0.0368931995	-0.0811645713	0.0332480932	0.1035709266	-0.1064874267	0.0836714035	-0.0737085069	-0.0063965949	-0.0717798545	0.1145547726	0.1140958982	0.1133324686	0.0751991	0.016025	0.00565490464081	0.000256800625	-0.145253	-0.13926611	0.0210984340089999	0.0193950493945321	-0.0102489	0.0022848	0.00010503995121	5.22031104e-06	0.00240985	0.00043516	1.8936422560000002e-07	5.807377022499999e-06	0.000612134	0.000262886	3.7470803395599993e-07	6.9109048996e-08	0.000958752	-0.000107838	1.1629034244000017e-08	9.19205397504e-07	0.0
756.9147529819895	3.338281711270838	11.144124783805356	572919.9432817862	867.9231569915447	-0.7264152625822362	753290.6064421695	0.5276791337124191	711.1097746016158	0.3253536757622441	0.1058550143320035	505677.11153396073	729.0369372029162	566.0037330845278	1.20279	31.225595	0.2897139	0.200408	-0.0146517458	-0.0645736156	0.1034383607	0.0106562055	0.0049045088	0.0531910474	0.0627806345	-0.00013141	-0.0618548827	-0.0187860106	0.0923905896	-0.0555905237	0.1271271082	-0.0317576495	0.0601810321	0.0361598439	0.1693467274	0.1291996612	-0.0583445338	-0.0269053556	0.0280311249	0.1574839268	-0.0406126289	0.0308922016	-0.1628187077	0.0177809493	0.1548150401	0.0933285237	0.0522547366	0.1016769169	0.0362435348	-0.1014535313	0.0656842471	0.0542556044	-0.0025762135	-0.1333729258	-0.0353470502	-0.1001712666	-0.0617847879	0.0469603696	-0.0392614251	-0.0733665122	-0.0487297801	-0.0731395195	-0.0914110422	0.0502864053	0.0696828386	0.0823005153	0.0123545458	0.0859406842	-0.0985834593	-0.1072864702	0.0292753591	0.0093607989	0.0064476393	0.0054551906	0.0310735771	-0.0774452316	-0.0668476016	0.0363247338	-0.1553835916	-0.0638123196	0.0244187724	0.1367216128	-0.0962732374	0.0711749932	0.0066332851	-0.0057071358	0.0646996469	0.1671825988	-0.0713906984	0.1247674473	-0.1138342107	0.0637389273	0.0978408198	0.0073543758	0.0828362003	0.1331070158	0.1228116145	0.0831577686	-0.0017448815	0.0975248648	-0.0571931305	0.0985914514	-0.0721424887	-0.0031437206	-0.0246490041	0.012005308	-0.0899626116	0.2024280698	0.1446630117	0.0245239863	0.0035853923	0.0653529164	0.0216913252	0.0029645752	0.0243316258	0.0875939537	0.0603411498	0.0443095611	-0.0664963402	0.0112552908	-0.0189236422	-0.1012729241	-0.1173410016	0.0906606201	0.0099955696	-0.0285030553	0.1144078661	0.1135094328	0.1120172664	0.0592468	-0.0159523	0.00351018331024	0.00025447587529	0.0478743	0.1931273	0.00229194860049	0.03729815400529	-0.0114921	-0.0012431999999999	0.00013206836241	1.5455462399999997e-06	0.00142025	-0.0009895999999999	9.793081599999996e-07	2.0171100625e-06	0.00031425	-0.0002978839999999	9.875306250000001e-08	8.873487745599997e-08	0.000658414	-0.000300338	9.020291424400005e-08	4.3350899539600006e-07	0.0
757.4841487235051	0.5693957415155637	0.3242115104560586	573782.2355673732	875.8085918629366	7.885434871391908	767040.68958094	62.18008311096352	712.8352570987697	1.725482497153962	2.977289847984673	508134.10376306914	732.8032313402058	574.5567104458275	1.118499	29.03731	0.32604755	0.238726	-0.0051794664	-0.0741791239	0.003825304	0.0562806373	-0.0595770064	-0.0294391621	0.1379093733	-0.0597298962	0.005545438	0.0165999365	-0.0188515437	-0.0804591009	-0.128694542	-0.1070229912	0.0812042982	-0.0151611763	0.0731864515	-0.0559279521	-0.0655967294	0.1113348183	-0.0374719568	-0.0241091791	-0.0191492138	0.0511731336	0.0328671191	0.0692482763	-0.0402922925	-0.0812512649	-0.0369433481	-0.1370961775	0.1397751066	0.0781528965	0.0681575395	-0.0587779658	-0.0006086889	-0.0764249952	-0.1052222802	0.0311770689	-0.0296048109	0.0133308655	0.0508862161	0.0557026897	0.0915652322	-0.0186293328	-0.054739143	-0.0368483996	0.0558702343	-0.1097543463	0.0572917184	-0.0151928549	-0.0537426173	-0.0764480145	0.0990570216	0.1293632157	0.0728620562	-0.1722139075	-0.0587074891	-0.0269991806	0.108869032	0.0897817612	0.0702956896	-0.0545123809	-0.0980649107	0.007798082	-0.0068104019	-0.0687310652	0.0044417636	0.0392202179	-0.078994066	-0.0263511296	-0.021016635	0.0118364979	0.084804454	-0.0944969059	-0.0917019396	0.0087208663	-0.1117556461	-0.0290487755	0.0301191356	-0.0471510332	-0.001734403	-0.0107001259	-0.0943011587	0.1556644845	-0.015942127	0.0232516823	0.0496635455	-0.1588177889	-0.0506421098	0.0355670086	0.0486631244	0.0177054955	0.124751674	-0.0116833707	-0.0497850359	-0.1227614853	-0.0697877135	0.1186617241	0.1237071004	-0.0182378605	0.0504251043	0.0054517128	-0.0668042784	-0.1068188221	-0.0508213338	-0.0265674821	-0.0704486788	0.0662756013	0.1142120884	0.1127290384	0.1102715368	0.0592738	2.6999999999999247e-05	0.00351338336644	7.289999999999592e-10	-0.181446	-0.2293203	0.0329226509159999	0.05258779999209	-0.0724004	-0.0609083	0.00524181792016	0.00370982100889	0.00185927	0.00043902	1.9273856040000007e-07	3.4568849329000003e-06	0.000341498	2.7247999999999957e-05	1.1662088400399999e-07	7.424535039999973e-10	0.000907985	0.000249571	6.228568404100006e-08	8.24436760225e-07	0.0
754.7977571683044	-2.6863915552006574	7.216699587853407	569719.6542263026	873.5075889715187	-2.3010028914179657	763015.5079908356	5.2946143063138384	713.5195316063661	0.6842745075963421	0.4682316017462165	509110.121983768	732.2126434058027	569.647735184784	1.104544	28.675034	0.27384107	0.197906	-0.040686897	-0.0086080388	0.0929754363	0.0037197504	-0.011043912	-0.0083338038	0.1053237429	0.0112154563	-0.0406333589	0.0615321089	0.0423636101	-0.014838757	-0.0557710744	-0.0349823155	0.0744436336	0.0770246676	0.0023572063	0.0574407718	-0.065500831	-0.0426975201	0.0666793321	0.0573133109	-0.0434095666	-0.0969615389	0.0102428419	0.1001424546	0.1611093118	0.0268255435	-0.0845504808	-0.0745299497	0.0537351477	-0.0244926208	-0.070662532	0.0215076913	-0.1199278618	0.0276839499	-0.0010683986	-0.0484541137	0.048331068	-0.0173093634	-0.020904783	0.0127548631	-0.0221112259	-0.0771775888	0.0186659546	0.0800457847	0.1198660235	-0.0127851753	0.0055809056	0.1198712283	0.0363425024	-0.0709972828	0.0033711987	-0.0835004722	-0.1533471647	0.1684068532	-0.0274690583	0.0148189794	-0.0338827335	-0.0986968852	-0.0527843444	-0.0880533527	-0.0119138977	-0.0527423436	0.1250483279	0.0042932334	0.027753738	0.0057205142	0.0795950285	-0.0077949839	0.0381165974	0.1235181062	-0.136755903	-0.1769401394	0.0482541328	-0.0129636927	0.0551590572	0.0125817796	-0.0236890612	0.0454869321	-0.0209242619	0.0176524476	-0.0727270312	-0.0994250463	-0.0713686701	0.0805100265	0.0282927009	0.0094990883	-0.0870826934	-0.035961086	0.0860548096	-0.0914382435	0.0513236447	-0.0515522142	0.0047916699	0.009924616	0.1159970386	-0.0198871409	-0.0578132002	0.0368981508	0.0547608962	0.1428303295	-0.009718473	0.1247575418	-0.0012624638	0.060658907	0.0642515178	-0.1328663432	0.1139675232	0.1117560484	0.1081019891	0.0592492	-2.4599999999999626e-05	0.00351046770064	6.051599999999814e-10	0.00460219	0.18604819	2.11801527961e-05	0.0346139290022761	-0.00533277	0.06706763	2.84384358729e-05	0.0044980669938169	0.0019161	5.68299999999999e-05	3.2296488999999892e-09	3.67143921e-06	0.000406636	6.513800000000001e-05	1.65352836496e-07	4.242959044000001e-09	0.00061594	-0.000292045	8.5290282025e-08	3.793820836000001e-07	0.0
753.9901075053044	-0.8076496630000065	0.6522979781440241	568501.0822158605	876.928367410544	3.420778439025298	769003.361569322	11.701725128900357	713.2108662247417	-0.308665381624337	0.0952743178132976	508669.7397010464	734.4043808512541	577.2825745525184	1.123124	29.157393	0.23215182	0.142786	0.0561682621	0.0251080645	-0.0153250945	0.0111261369	-0.0323504012	-0.043867162	0.1080045518	-0.1462354374	0.0590083495	0.0942707086	-0.0891812828	-0.0019432438	-0.0276776788	-0.0873423688	0.0474648512	-0.0191866133	0.0475333767	-0.1277134638	-0.0036714055	-0.00668042	0.0259089559	0.0962749407	0.0112546062	0.0208362636	0.1202197667	0.0950926298	0.0187451456	-0.0721531346	-0.0169387059	-0.03559994	0.030676207	0.0362122716	0.0670688199	0.009975918	0.1133883157	-0.1149502768	-0.0058660409	-0.0738050379	0.0545767361	-0.0390384061	0.0621234968	-0.0343916156	0.152572329	0.1100644836	-0.0169993048	-0.0376675956	-0.0950741581	-0.0662080597	0.0063553581	0.0918914349	2.12947e-05	-0.0902224751	0.0818200207	-0.1238291518	-0.0078529753	-0.1380775056	-0.1394187401	-0.101845685	-0.0737469214	0.0133824252	0.0734405985	-0.0069803722	-0.0805456764	0.0110252832	0.0523260996	0.0228066191	0.1884617197	0.0390260912	-0.1542777652	-0.1275924852	0.0628510081	0.0594005218	0.043812099	-0.0185302236	-0.0739585576	0.0553527772	-0.1121989118	0.0004476412	0.0684235535	0.0531726289	-0.0821254062	0.020486189	-0.0512807089	0.0600610844	-0.0138985147	-0.0199882524	-0.0542863134	-0.1119417347	0.014610267	-0.0739308524	0.0756158395	0.0462759479	0.0082485338	-0.109947136	-0.025595356	0.048292088	-0.1298051346	-0.0609940326	0.12949201	-0.0283476947	0.0358754311	-0.0726557327	-0.0268738566	-0.0547748297	-0.0036205014	-0.104658893	0.0681751649	-0.0811095978	0.1136742748	0.110592125	0.105516962	0.0432147	-0.0160345	0.00186751029609	0.00025710519025	-0.126104	-0.13070619	0.015902218816	0.0170841081043161	-0.0519202	-0.04658743	0.0026957071680399	0.0021703886340049	0.00127025	-0.00064585	4.171222225000002e-07	1.6135350624999998e-06	0.00031838	-8.825599999999999e-05	1.013658244e-07	7.789121535999999e-09	0.000573572	-4.236800000000009e-05	1.7950474240000076e-09	3.28984839184e-07	0.0
751.6934719815127	-2.2966355237916787	5.274534729141879	565043.0758196213	870.0354478371593	-6.892919573384688	756961.6804932063	47.51234024514975	711.5959130492843	-1.6149531754574582	2.608073758920128	506368.7434684445	730.103319587243	532.191292865712	1.239958	32.190521	0.18967265	0.0921318	0.1571655598	-0.0140758177	-0.016373359	-0.1217805962	0.0861477395	0.1370932163	0.0584327285	-0.0055544084	-0.010970304	-0.0464584662	0.1505375461	0.0371531368	0.0789665792	0.0119752327	0.0164319501	0.1127198039	-0.019437274	-0.015774342	0.0782547165	0.0937102279	0.1263833698	-0.1012312644	0.014267849	0.0493133094	0.0060868759	0.0253658	0.0836085365	0.0167606371	-0.0923018201	-0.0961073883	0.0303809768	0.0333666539	0.0426930816	0.0227930765	-0.102934331	-0.0700442772	-0.0775575574	0.092879373	0.0011998437	-0.0414327753	0.0681225203	-0.012564516	0.0686380322	0.0360508217	-0.0078506602	-0.1033124246	0.0176869654	0.0824009788	-0.1570918867	-0.0355003187	-0.0388463887	0.1797984039	-0.0220588865	-0.0596843955	0.0033240739	-0.0442401374	0.162157934	0.0798466942	-0.1804654744	-0.055688256	0.0303464715	-0.0460638475	-0.0327720648	0.0880630478	-0.0981207124	-0.0280593212	-0.0258110227	-0.0167123399	-0.0054759336	0.0806903367	-0.0012906103	-0.0009333064	-0.0854189155	-0.0847601748	-0.0593050389	-0.0113795606	-0.0256109287	-0.0653139532	-0.0215301863	0.0192309637	0.0579873353	0.0272815746	-0.1008207151	-0.0232560061	-0.1716949862	0.1734522206	0.0396194938	0.0133460006	0.1480863332	0.1108412892	0.0680111791	-0.0561581925	-0.0812549945	-0.1057417918	-0.1586898116	0.0850446415	0.0757748316	0.0089400391	0.0728988496	-0.1134658815	0.0069040144	0.0755509848	0.162373345	0.0705411834	-0.0147939089	0.0652927675	-0.1823998281	0.0122425038	0.1133324686	0.1092392569	0.1025263906	0.0299574	-0.0132573	0.0008974458147599	0.00017575600329	-0.0730224	0.0530815999999999	0.00533227090176	0.0028176562585599	0.0135523	0.0654725	0.00018366483529	0.00428664825625	0.00189445	0.0006242	3.896256400000002e-07	3.5889408025e-06	0.0008514049999999	0.0005330249999998	7.248904740248297e-07	2.8411565062489334e-07	0.000573572	0.0	0.0	3.28984839184e-07	0.0
755.5297706657537	3.836298684241001	14.717187594709236	570825.2343622465	873.7045557362151	3.6691078990558026	763359.650714217	13.462352774913686	711.9939002793042	0.3979872300199076	0.1583938352589189	506935.3140349357	732.1388242198344	559.8604719604239	1.079529	28.025625	0.2183408	0.106461	0.0673666576	0.0406129404	-0.0701205746	-0.0627747387	0.0474473044	-0.0472629241	0.0722225009	-0.1089589316	0.0208131277	0.0493983561	-0.0431664557	0.0115918906	0.1202562086	0.0331936452	-0.0843935791	0.0168505577	-0.0526865273	0.0644594297	0.0592453873	0.0470868621	-0.1108102388	0.1074116198	0.0087674366	0.0823278084	0.0519459305	0.0624804415	-0.0141344867	-0.0197821006	0.0587251659	0.0210790311	0.0502814029	-0.0517983951	0.2358219913	-0.020190471	-0.0004665586	-0.0012789223	-0.0601994906	-0.037791275	-0.0922705457	0.0974052416	-0.0055922201	-0.0105538158	-0.0037842945	-0.1647113611	0.0451943468	-0.0515294109	0.0003236429	-0.1348651229	0.0116154566	0.0308729238	0.0574994088	-0.0120607645	-0.0497044697	-0.0284981314	0.0084475458	-0.0335187124	-0.0177736066	-0.0309458182	0.0700488887	0.0730850472	0.1009837938	0.0789792689	0.1989735205	0.0839657697	0.032384967	-0.0072153558	0.0775363294	0.0313818479	-0.130932239	-0.0274177418	0.0192201712	0.0330024073	-0.0021083182	0.0819652356	-0.0337007785	-0.0555911215	-0.0916038939	0.0624279752	0.0688070193	-0.0247103794	0.1376761015	-0.0485435149	-0.0395328836	0.0437998282	0.0562025896	-0.0416121248	-0.1055196553	-0.077650513	-0.0460006372	0.0073996591	0.0302173398	0.0077883517	0.0090552449	0.1084351619	-0.0699738359	0.0512162574	0.0530530964	-0.0802317105	0.0661958353	0.012564268	-0.029660106	0.0502885219	0.1080946933	0.0846176303	0.0485400931	0.0073499676	-0.1212038884	-0.2010922286	0.1129422506	0.1076997553	0.099141769	0.0188846	-0.0110727999999999	0.00035662811716	0.0001226068998399	-0.104438	-0.0314156	0.010907295844	0.00098693992336	-0.0728894999999999	-0.0864417999999999	0.0053128792102499	0.0074721847872399	0.000779687	-0.001114763	1.242696546169e-06	6.079118179690001e-07	0.000337094	-0.0005143109999999	1.1363236483600003e-07	2.645158047208971e-07	0.000414434	-0.0001591379999999	2.5324903043999992e-08	1.71755540356e-07	0.0
757.2243475027794	1.6945768370256928	2.8715906565840017	573388.7124510101	873.4492326949003	-0.2553230413147958	762913.5620953101	0.0651898554262369	713.4761365968133	1.4822363175090914	2.197024500942912	509048.1974931145	731.6101713747319	544.9334298812938	1.085639	28.184237	0.1661308	0.0762797999999999	0.0187488275	0.0382551347	-0.0907710643	-0.0653366036	0.0439044628	0.076176041	0.0698749597	0.0958710276	-0.0018607242	-0.1007091227	0.0584740382	0.1088585659	-0.0854751338	-0.045193206	-0.0123052808	0.0167541035	-0.059727615	0.1809972337	0.0933799687	0.0616071678	0.027467682	-0.1144392821	0.0295861667	-0.05024109	0.0803979578	-0.0592769644	-0.1044740534	0.0498202894	-0.1753296116	0.0702960448	-0.0514543193	-0.1023622209	-0.0461882478	0.0295778415	0.1476951397	0.0210548887	-0.0927613781	0.1020693995	0.0271931543	0.0782076102	0.0094502909	0.1357108858	0.0251630626	-0.1052734363	-0.0355343554	-0.0651872797	0.0770449922	0.0091103962	-0.0383031647	-0.0344737986	0.0013639039	0.0477644388	0.0567233471	0.1463688118	0.0125376946	-0.0848386108	0.1823022322	-0.076171648	0.070009376	-0.0663383673	-0.1361746251	0.0603520458	0.0121688879	0.0066238478	0.0474067455	-0.0987583447	0.0172787822	-0.0498949712	0.0851737496	0.0214630074	0.0119531661	-0.1637432326	-0.0395183409	-0.0516271584	0.1136999868	-0.1651162211	0.0141245061	-0.0375177555	0.0847606259	-0.0482923895	0.0664673999	-0.0316446561	0.0672994491	0.1104865489	-0.0279772076	-0.0607905457	-0.0404782423	-0.0579510197	0.0949863353	-0.0163483033	0.0908070929	-0.2200562107	0.1158263479	0.0341791542	0.0200078256	-0.0597948127	0.0195254947	0.104976619	0.0081322938	-0.0400991198	0.1304993888	-0.0575790168	0.0317064327	0.0033643323	-0.09379729	-0.0231166985	-0.1242459432	0.002313767	0.1125037874	0.1059762505	0.0953761056	0.0300532	0.0111685999999999	0.00090319483024	0.0001247376259599	-0.074731	0.0297069999999999	0.005584722361	0.0008825058489999	-0.0172961	0.0555933999999999	0.0002991550752099	0.0030906261235599	0.00166892	0.0008892329999999	7.907353282889999e-07	2.7852939664e-06	0.000581517	0.000244423	3.3816202128900005e-07	5.9742602929e-08	0.000154854	-0.00025958	6.738177639999999e-08	2.3979761316e-08	0.0
