global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11
770.8448663246583	n/a	n/a	594201.8079390803	910.149494095867	n/a	n/a	828372.1016029626	747.691399762771	n/a	n/a	559042.4292792118	765.4158553519402	538.0340519008665	n/a	n/a	n/a	n/a	-0.1107732765	0.112415391	-0.1026130037	0.0288745029	-0.02811438	-0.1852039441	0.0792396018	-0.0111127135	0.063608772	-0.1255452781	0.1373297509	-0.164918425	0.0818651411	-0.1226060326	0.1332921512	-0.1113367496	-0.0658239754	0.115104643	-0.2257241935	0.0093704585	-0.033295951	0.0129054139	-0.0631062319	0.1355054914	-0.0120282436	0.0166321243	-0.0789675874	0.0001313245	-0.1108618601	0.0488463153	-0.0313747787	0.0142091997	-0.0334397573	0.0258911741	-0.0598503123	0.0186310014	-0.1076231897	0.0254780135	-0.0188015651	0.038656142	-0.0977040124	0.0316968226	0.0392152721	-0.0251520513	-0.1261010394	0.0459568707	0.1513344838	-0.1369794105	0.0850941099	-0.0725144912	-0.0375426374	0.007202624	0.1191071744	-0.2065381606	-0.0186721499	-0.0094305992	0.0358174162	0.0550481217	-0.0563500831	-0.0215276295	-0.0426059786	0.138014792	0.0856845992	-0.1698942385	-0.1221217006	0.0216684811	-0.0425892547	0.0605379352	-0.0753112509	0.1769051638	-0.0848199434	0.0099231599	-0.0853768554	0.0505373795	-0.0181968664	0.0335920734	-0.1585211977	0.101313647	-0.0589285086	0.1707372838	-0.0116796422	0.0561623939	-0.0644548656	0.0071349186	-0.0568992333	0.0554418289	-0.0106733546	0.0853434474	-0.0331418281	0.1018964329	-0.0284658205	-0.072599443	0.0949885667	-0.0978012767	-0.101426243	0.1686930095	-0.0412467398	-0.1192305714	0.1142794214	-0.0703148349	-0.0471937118	-0.0918163234	0.0056672094	0.0111243637	0.0819716042	-0.1166609081	-0.1045147584	0.1147017419	0.1146833673	0.1146527451	0.0627989	n/a	n/a	0.00394370184121	-0.0885742	n/a	n/a	0.00784538890564	-0.452012	n/a	0.204314848144	n/a	0.00377351	n/a	n/a	1.42393777201e-05	0.00222548	n/a	4.952761230400001e-06	n/a	-0.00041874	n/a	1.7534318760000002e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
772.3767755635826	1.5319092389242996	2.346745916301627	596565.8834299968	908.1266504178078	-2.022843678059189	4.091896545864029	824694.0131990673	747.6501389658048	-0.0412607969661849	0.0017024533662847	558980.7302955872	764.7147363522639	559.6387927748405	1.521991	36.531658	0.7828544500000002	0.478035	0.0476810797	0.0406835986	-0.1951983882	-0.0008063562	-0.1187212624	-0.0426866699	-0.0331292328	-0.0794246017	0.0577904985	0.0909331882	0.1202666382	-0.1603127866	-0.0463886034	-0.0916604604	0.036573713	0.0356694338	0.047288235	0.0200728256	-0.2128502619	-0.0814178019	-0.0478740853	-0.0365173612	-0.0151324569	0.0052299021	0.1294382962	0.0728789652	0.0221816393	0.0378824413	-0.0162221482	0.1695016481	-0.0377222971	-0.0951762065	-0.0233775084	-0.0633072418	0.0966831857	0.0266351014	0.0201449361	0.0192060611	-0.0130219044	-0.0549046065	0.0110219354	-0.0416716046	0.0422502296	0.020860836	0.1138815638	-0.0372816247	-0.1015825141	-0.1376852573	-0.0798194482	-0.0068559563	0.0163327015	-0.0141096784	-0.0817769709	-0.0134740358	0.1853915092	0.1272688963	0.0348548401	0.0099155664	0.0294575138	0.0003060754	-0.1451948741	0.0935546158	0.1517599136	-0.015225387	-0.1061183383	0.051396827	-0.0835310917	0.1683743997	-0.0856774332	0.0577375411	-0.0800904816	0.0862778037	-0.1426373513	0.0978404039	-0.065111653	0.1159195611	-0.0400120023	-0.1006536067	-0.024438774	-0.0795635706	0.143896859	0.06245853	-0.0258807737	-0.0208135291	0.0164310426	0.076774235	-0.0245309352	0.042656959	0.0018169689	0.0062610395	0.1152358802	0.0250583834	-0.0132593882	0.0758816573	0.0902822272	-0.2485939668	0.1309502291	-0.1013531035	-0.0792788077	0.1000248722	-0.1067017377	0.1290884875	-0.0768300522	0.0728954598	-0.113331446	-0.0787546371	-0.0488311427	0.1146527451	0.1144874327	0.1142120884	0.0689984	0.0061994999999999	3.843380024999996e-05	0.00476077920256	0.120158	0.2087322	0.04356913131684	0.014437944964	-0.180344	0.271668	0.032523958336	0.073803502224	-0.00178319	-0.0055566999999999	3.0876914889999995e-05	3.1797665761e-06	0.00192543	-0.00030005	3.7072806849e-06	9.003000250000017e-08	-0.000350395	6.834500000000004e-05	1.22776656025e-07	4.6710390250000055e-09	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
768.9693679511724	-3.407407612410111	11.610426637110374	591313.8888472256	904.4401671465804	-3.686483271227417	13.590158909039593	818012.0159481342	748.3299735001674	0.6798345343626124	0.46217499411203	559997.7492387613	766.5080047891488	530.2822034319493	1.596155	38.311798	0.51305565	0.30184	-0.1174497666	0.1716711722	-0.065837603	0.0539785001	-0.0659273923	-0.2243039751	0.0210894865	0.0030724926	-0.1148395562	-0.0818913841	0.0293414974	-0.119056143	-0.0277390189	0.0747951486	-0.0425449619	-0.1250769261	-0.1254257654	0.2143323136	-0.077130931	-0.0642764534	-0.1038873008	-0.039707187	0.3087331738	-0.0279957218	-0.0721680603	0.1859770511	-0.1857309814	0.0775862029	0.0021334843	0.0440229269	-0.0312312463	-0.0794480038	-0.2185567061	-0.0304751965	0.0173694585	0.1902237799	-0.0776925601	-0.0657112041	0.2736665336	0.0107706888	0.0619424635	0.038890188	-0.0255302832	-0.0133403898	-0.0746950355	0.0118534237	0.0175217681	-0.0838092191	0.0849269992	0.0685162447	-0.0204972114	0.0782183294	0.0192137858	-0.0258584101	-0.0129697174	-0.0736967321	0.0419967812	-0.0243548144	-0.0029900673	0.1065346909	-0.000822208	-0.1375442809	0.0651547902	-0.2248846915	-0.1449020581	0.0687094267	0.0325495348	-0.0073862801	0.1773410772	-0.053258254	-0.1931842101	-0.1325653922	0.0972527172	0.0965955806	-0.0122309899	0.0054966986	0.0473345501	0.3253078265	-0.1287214727	0.1073908099	0.249301831	0.1922415031	0.001693709	0.0310764592	-0.047557987	-0.0990671422	0.1340521754	0.0198085242	-0.0738227323	0.0226352271	-0.0789498496	0.0115045794	-0.0638214999	-0.0220951234	0.063703445	0.063635428	0.0049957513	-0.0387200037	0.0699483565	-0.0433271578	-0.0425940372	-0.012578115	0.0225948325	-0.0160986337	0.0864860485	0.0493414404	-0.0014393687	0.1145547726	0.1140958982	0.1133324686	0.052974	-0.0160244	0.00025678139536	0.002806244676	-0.0637782	-0.1839362	0.03383252567044	0.0040676587952399	-0.376031	-0.195687	0.141399312961	0.038293401969	0.000229772	0.002012962	4.052016013444e-06	5.2795171984e-08	0.00188284	-4.25899999999999e-05	3.5450864656e-06	1.8139080999999917e-09	-0.000643004	-0.000292609	4.13454144016e-07	8.5620026881e-08	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
767.7972896319308	-1.1720783192416775	1.3737675864363956	589512.6779661389	898.4932206411369	-5.94694650544352	35.3661727386069	807290.0675380827	746.0842104462986	-2.2457630538688136	5.043451694122179	556641.6490772767	762.8524584345325	528.3569912493067	1.296094	31.109558	0.1693112499999999	0.0864245	-0.1399471964	0.1445731402	-0.0742647968	0.1261127348	-0.013851565	-0.2363043456	0.0925866542	0.1798667879	0.0582272658	0.185572782	0.0113500824	-0.0795426702	0.0775727548	-0.1082611007	-0.0956678442	-0.0272678501	-0.1796844731	0.0132167018	-0.127197311	0.0284437735	-0.0854453669	0.0939539383	-0.0356820707	0.0288879062	-0.0986617767	0.1571170577	-0.0764967514	-0.0454728351	-0.1283150855	-0.0116086257	0.0226013896	-0.1318172173	-0.0230174927	0.1776608438	0.2262829738	-0.1073946216	0.0496433606	-0.0270238253	-0.1291624445	0.1038944032	-0.0351411769	-0.0438518193	-0.1002754772	0.1233284237	-0.105710831	-0.0437929071	0.0096240384	0.0791652597	0.2071601236	0.0413158841	-0.0452856207	-0.1099097982	-0.1341799887	0.0279464915	-0.1014668582	-0.0686377855	0.0604321422	0.1104344618	0.0879613848	-0.0515759157	-0.0019323392	-0.01197749	-0.125860422	-0.2040146284	0.0711358525	-0.0927669748	-0.2426182065	0.0706606605	-0.0227594979	0.1378661179	0.0054173529	-0.0146245077	0.0512930775	0.0480901785	-0.0562177846	0.0799843067	0.0334998347	0.0668851262	0.106206744	0.0066079317	0.1599302533	0.041404163	-0.1155610503	0.0576932735	0.0506122696	-0.1406089697	-0.1902302054	0.0247845095	-0.0467861192	-0.1738851423	0.1246164152	-0.0711220893	-0.0760234124	0.0162708901	-0.1321587501	0.1153538432	-0.0554712065	0.0200372405	-0.1587654531	-0.0618318989	0.0686589865	0.0371090488	0.2551723055	0.0652866523	-0.0350692281	-0.0968386998	-0.0278050148	0.1144078661	0.1135094328	0.1120172664	0.0429213	-0.0100526999999999	0.0001010567772899	0.00184223799369	-0.116004	-0.0522258	0.00272753418564	0.013456928016	-0.383383	-0.0073519999999999	0.1469825246889999	5.4051903999999554e-05	0.00143898	0.001209208	1.462183987264e-06	2.0706634404e-06	0.00140757	-0.00047527	1.9812533049e-06	2.258815729000001e-07	-0.000333867	0.0003091369999999	1.11467173689e-07	9.556568476899997e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
768.6630298166383	0.8657401847075334	0.7495060674174341	590842.8534068941	906.5159833371584	8.022762696021573	64.36472127667534	821771.2280457353	746.9514887954809	0.8672783491823566	0.7521717349604736	557936.5266137855	764.4730983766088	546.0594511942415	1.455898	34.945255	0.7679443999999999	0.427216	0.0612781573	-0.0419261218	-0.0682314781	0.1518324963	0.040642439	-0.0187872156	-0.0745329323	-0.0206106943	-0.1505822155	0.0501618526	0.2081428511	-0.0309841148	-0.0193088919	-0.0182683679	0.1035257248	0.0545240912	0.0876935398	0.0045144247	-0.0714219825	-0.0879251956	-0.026688076	-0.0301181445	0.0221778995	-0.0509732624	-0.068581903	-0.1660245183	0.0269229459	0.1302267277	0.0571498486	0.1903200005	0.0793352004	-0.0427062286	0.1441874707	-0.1259016731	0.0769429007	-0.0332770583	0.0303654806	0.0267096475	0.1001654536	0.0161135111	-0.0675464169	-0.0472784217	0.0851463076	0.0223072311	-0.0638936796	0.0199139846	-0.037440383	0.0688916924	-0.1148331545	-0.0569594002	-0.0840246005	0.0266449581	-0.0108463686	0.0622245166	-0.0070045531	-0.0298493897	0.0830596965	-0.0354717394	0.0744198385	-0.0633835178	0.0238912597	0.0041364385	-0.127824761	0.018705151	-0.1181897356	0.1266819941	0.0005249952	0.1038220204	0.0023957897	0.0900898568	-0.0450851485	0.0312446516	0.0608629025	-0.0198833706	-0.225735061	0.006861497	-0.0723777243	-0.0255879505	0.021068231	-0.1671853628	0.0231945824	-0.0122261631	0.1521076859	-0.056835906	-0.0057259415	-0.032085589	0.0397014196	0.0225973057	-0.1064668196	0.0001240098	-0.0110031917	-0.0020963102	0.1242849798	0.1448599508	-0.0070007968	-0.1625838897	0.0752270337	0.032128896	-0.0494576305	0.0629530723	0.0709693884	-0.0647573499	0.0017781845	-0.0675064896	-0.0262872017	-0.0252862609	0.1309064264	0.1142120884	0.1127290384	0.1102715368	0.0803344	0.0374131	0.00139974005161	0.00645361582336	0.163503	0.279507	0.078124163049	0.026733231009	-0.128473	0.2549099999999999	0.016505311729	0.0649791080999999	-0.00154721	-0.00298619	8.917330716100001e-06	2.3938587841e-06	0.0023262	0.00091863	5.4112064400000005e-06	8.438810769000003e-07	-0.000316401	1.7466e-05	1.00109592801e-07	3.0506115599999995e-10	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
770.3512915067457	1.6882616901074243	2.850227534284377	593441.1123261112	901.9541923590692	-4.5617909780892205	20.809936927776207	813521.3651141009	748.0352471598305	1.0837583643495918	1.1745321922977026	559556.7309934688	765.5674554465313	524.6117328893931	1.279832	30.719236	0.43020615	0.254846	0.0092880317	0.1228539844	0.0018314806	0.0893796094	0.0727976794	-0.0443577107	0.0870684327	0.1130245787	-0.1445996462	-0.0388490048	0.1193261088	0.0040828736	-0.0768187937	-0.0599980487	0.0699418601	-0.1985413664	0.0527126463	-0.0275461793	-0.1443719311	0.0837325881	-0.0041425105	0.0221020762	0.1260066228	-0.0015684486	-0.0822930097	0.0148230737	-0.0884189129	0.2266284105	0.0001268576	0.0479924116	-0.0805463409	0.083440849	-0.0269679123	-0.0996211904	-0.0559186979	-0.012660072	0.0791698445	0.0368616948	0.061166562	-0.1392599058	0.0742753565	-0.0133852446	-0.0272642855	0.1158233227	-0.0082484743	0.1151949052	-0.0221362277	0.0374306968	0.0013578264	0.0162139193	-0.0208889074	-0.1279464498	0.0221984713	0.0952806136	-0.0179306424	-0.0831366558	-0.0442823233	-0.0087065093	0.0437105144	-0.0777180792	0.117556278	0.1434197827	0.0141149545	-0.0339257406	-0.1143766482	0.1006068565	-0.1462727718	-0.0769952511	-0.0445850192	0.0324156362	0.0102933856	-0.0762225624	0.1050078455	0.0234377038	-0.1396926215	-0.0341919069	0.0072538609	0.0557304536	-0.0863596583	0.0176623743	0.0381502129	0.1202831262	0.0419516714	0.0038310194	-0.0878502769	0.0527581258	-0.055513822	0.1121179345	0.0212314227	-0.0746417005	-0.1392293663	0.1175196614	0.0905010561	-0.0030783178	0.0715616765	0.0355900683	-0.0475224948	0.142360629	-0.0382784914	0.0346302612	0.0444862096	-0.0740167617	-0.0500857385	0.0721347699	-0.1194603319	-0.0273575053	-0.0327078368	0.1139675232	0.1117560484	0.1081019891	0.0592777	-0.0210566999999999	0.0004433846148899	0.00351384571729	-0.0451891	-0.2086921	0.04355239260241	0.00204205475881	-0.275774	-0.147301	0.076051299076	0.021697584601	-0.00172776	-0.00018055	3.259830250000001e-08	2.9851546176000003e-06	0.00189233	-0.00043387	3.5809128289e-06	1.8824317690000006e-07	0.000132306	0.000448707	1.7504877636e-08	2.0133797184900002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
769.6360808101635	-0.7152106965821758	0.5115263405055612	592339.6968848286	903.960387533194	2.006195174124741	4.024819076681401	817144.3822291623	747.3145749019732	-0.720672257857359	0.5193685032452238	558479.0738609169	764.8223514608852	528.8758921663529	1.14958	27.592846	0.14887295	0.0839072	-0.0747755618	0.2181175362	-0.0393735834	0.0069681951	0.1516383464	-0.121994423	0.1180623263	0.0858154871	0.0131757552	-0.0439469671	0.0353053794	-0.0208307819	-0.1194868582	-0.0793471184	-0.0948749201	0.0541908701	-0.1036100733	-0.0286525618	-0.0837560484	0.1232890879	-0.0686770029	0.0001440611	-0.0592654621	0.1128864709	-0.0482253766	-0.004408857	0.1213865942	-0.0018895851	0.0762825621	0.1147305216	-0.0406540336	-0.0847412284	0.0492317184	-0.1104204893	-0.0780820047	0.1759716642	-0.0610199042	0.1021738042	-0.0797318906	0.030160632	-0.0306543945	0.1792369833	-0.0026293289	0.0070960768	-0.0881010955	-0.0746740252	0.1269969582	0.0188748736	-0.000533565	0.0968606195	0.1044388793	-0.048725067	-0.0748333782	0.0955634795	0.0283773479	0.0318187428	-0.0308682623	0.0371321386	0.0262203232	0.0320749366	-0.1045477158	-0.0424495683	-0.0159558235	-0.1159362745	0.0396602504	-0.0383730273	-0.1032404161	-0.150183125	-0.0220944526	0.1241531935	-0.0526672877	0.0783306622	-0.0491477325	-0.1010456183	-0.0546337408	0.1226601162	-0.0911327749	-0.0193282681	-0.0930275545	-0.0944852831	0.0085810341	0.0226511777	0.0498601649	0.0509466759	0.0978211785	0.1325125483	0.0122876671	0.0282461246	-0.0530045429	0.0544500716	-0.0222746973	0.0406994767	-0.2230503337	0.0438477936	0.1268688778	0.1376473843	-0.0741106945	-0.0329010032	-0.0397454227	0.0809828621	0.0261085191	-0.069990816	-0.0397152166	-0.0020265154	-0.0022833883	0.0539070875	-0.0126050468	0.1136742748	0.110592125	0.105516962	0.0428448	-0.0164329	0.00027004020241	0.00183567688704	-0.122237	-0.0770479	0.00593637889441	0.0149418841689999	-0.276625	-0.0008509999999999	0.076521390625	7.242009999999841e-07	-0.0014723	0.00025546	6.525981160000007e-08	2.16766729e-06	0.00137014	-0.00052219	1.8772836196e-06	2.726823961000001e-07	0.000445479	0.000313173	1.98451539441e-07	9.8077327929e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
769.5527212821372	-0.0833595280263352	0.0069488109127733	592211.3908327428	907.303104423179	3.342716889985013	11.173756206591078	823198.9232959381	748.4633084447078	1.1487335427345895	1.3195887522035614	560197.3240879978	765.6528125873476	533.7813293804245	1.330238	31.9291	0.3754903	0.224764	0.1102375082	0.11219339	-0.0670166783	-0.077181676	-0.1162053421	0.0059440755	0.0593832427	-0.0603393042	-0.0511351352	-0.091780042	0.0128797627	-0.2747202732	-0.0559736318	0.0218815753	0.0582064222	0.1186567355	0.0414818659	0.0642192207	0.0173262235	0.0115194324	-0.1015949745	0.1682378357	0.0180368141	-0.0002758531	-0.0241526837	-0.0068365765	0.1195040488	0.0749712735	0.1007256141	0.0019432752	-0.1329979152	-0.0798517817	0.0278940688	0.0202791583	-0.0539650395	-0.020105723	-0.139410241	-0.093820839	-0.1147084877	0.0658009544	-0.0984394524	-0.0775337888	-0.0644111083	-0.0757155851	0.105323277	-0.0657475182	-0.0275151343	0.049708824	-0.0108728245	-0.0531053134	0.086766675	-0.011256463	0.0226663618	-0.1048442645	0.0329721561	0.074937438	-0.0686781386	0.0493948569	-0.0675352148	0.024698656	-0.0250155836	-0.0184425208	0.0054618989	0.0169027183	-0.0661472006	0.012494818	-0.0541021155	0.0208215281	0.1533496546	0.0574030653	-0.0926288786	-0.1523626495	-0.1831723593	-0.1280669025	-0.0389179411	0.0858880789	0.062966609	-0.1519054042	-0.1128803315	-0.0983289648	-0.0577310218	-0.1336626529	0.0750918971	-0.0265694007	0.0022796164	-0.1184862696	0.1204406354	-0.0696332123	0.0961489913	0.1722875246	0.0893012772	-0.1030618764	0.0495654401	-0.1256403619	-0.014415827	-0.0243180941	-0.0772643154	0.0476881866	0.0571351021	-0.0422618344	-0.019487768	0.0195591129	0.0450159467	0.0352607768	0.1065629404	-0.1194477579	-0.0465283097	0.1133324686	0.1092392569	0.1025263906	0.0627658	0.0199209999999999	0.0003968462409999	0.00393954564964	0.0636421	0.1858791	0.03455103981681	0.0040503168924099	-0.171832	0.104793	0.029526236224	0.0109815728489999	-0.00243187	-0.00095957	9.207745849000002e-07	5.9139916969e-06	0.00110416	-0.0002659799999999	1.2191693056e-06	7.074536039999994e-08	0.000373085	-7.239399999999998e-05	1.39192417225e-07	5.240891235999997e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
768.9993503178364	-0.5533709643008251	0.306219424131225	591360.0007892544	904.3269573198252	-2.97614710335381	8.857451580801275	817807.2457353328	749.3414531019956	0.8781446572878622	0.7711380391232169	561512.6133370103	766.6727528735105	538.5271362958714	1.048254	25.160767	0.25341735	0.157061	0.1348125719	0.0762838492	-0.0190121024	-0.0189162913	-0.141274412	0.0711505436	0.2119729497	0.0323981402	-0.0455584664	0.1145212458	-0.0772245829	-0.0466494961	-0.0292883907	0.0999730713	0.0834339277	0.0411886837	0.1199642503	0.0866847788	-0.0508886733	0.0332341404	-0.0480288627	0.1177563028	-0.0183518304	-0.0504589399	0.1212088676	0.0924462578	0.0086863555	0.0529601626	0.0595443858	0.0310204379	0.0924297663	0.0618372243	-0.001453825	-0.0294735665	-0.0940376036	-0.2034219744	-0.1512551817	-0.0443933957	-0.0459628005	-0.1715027472	-0.0676187041	-0.0140676118	-0.1615790103	0.0312445165	0.0380284792	-0.0163274224	-0.1021704403	0.0430293246	0.0199093033	-0.0760643415	0.0151932258	-0.0021404344	-0.0112163638	-0.0450374979	0.0508583369	0.0388064334	-0.0320945189	0.0082438954	0.0170458291	-0.1577959177	0.2221012084	-0.1331928184	0.0956566899	0.0874506048	-0.0794421402	-0.1730021438	-0.2156038325	0.0301938075	-0.0262531046	-0.0088011398	0.0548678947	-0.0687791863	-0.0084747021	0.1042137533	-0.004330951	0.0582503483	-0.0643737522	-0.1763109797	-0.1482830396	-0.022096669	-0.0586125603	-0.0097170678	-0.1731755453	-0.0281122955	-0.192217501	0.0105665623	0.0953217448	-0.0166936176	0.1275748028	0.0137226405	0.0422961571	0.0448317606	-0.0327273342	0.0302095911	-0.0389296665	-0.0743524019	-0.1532691851	0.0854231117	-0.004968646	-0.0575604259	-0.0972377343	0.037223232	0.0368418998	-0.037311901	0.0403866232	0.1204104429	0.1878569632	0.1129422506	0.1076997553	0.099141769	0.0630612	0.0002954	8.726116000000073e-08	0.00397671494544	0.102605	0.0389629	0.00151810757641	0.010527786025	-0.0887063	0.0831257	0.00786880765969	0.00690988200049	-0.00462231	-0.00219044	4.7980273936e-06	2.13657497361e-05	0.00139109	0.0002869299999999	1.9351313881e-06	8.232882489999996e-08	0.000516382	0.000143297	2.66650369924e-07	2.053403020900001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
768.5613427995822	-0.4380075182541532	0.1918505860471623	590686.537645897	902.838581068077	-1.48837625174815	2.2152638667678723	815117.5034650187	747.568374450716	-1.7730786512796612	3.1438079036237028	558858.4744788859	765.1176712396204	519.4239158238454	1.205819	28.942736	0.35971165	0.20438	0.0261128095	0.19662079	0.0224313036	0.0715321176	-0.0610504274	-0.0687306306	-0.0607493568	0.01534458	-0.0445308538	0.0215304667	-0.0816320775	-0.0492834337	-0.1490146275	0.1896092648	-0.0510407872	0.0363836227	-0.0345502033	-0.0306474227	-0.0350679157	0.0879671741	-0.1257477602	0.1821120017	0.0092866404	-0.1082947399	0.121359929	-0.1069515372	-0.0023355011	-0.0115395371	0.0260499993	0.0459428125	-0.0164816556	-0.0341542472	0.0387411349	0.0556918812	0.0332158558	0.1688288221	-0.0032371326	0.1763962403	0.0980429955	-0.0307543253	0.0339502817	-0.1623989895	-0.0895292531	0.0185772669	0.1176594055	-0.0862504433	0.0838184314	0.008528387	-0.0355321078	0.0899774299	0.0424688708	0.1945079432	0.0672213309	0.051288776	0.038700617	-0.076357862	0.0629492538	-0.0782770061	0.0008156872	0.1327429904	0.0072091727	-0.0065760511	-0.0541304712	-0.0943033945	-0.0283086561	0.1145122344	-0.0939747315	-0.0290964354	0.1477856001	-0.1159140411	0.1123528736	-0.0321882429	-0.1170607608	-0.0438809304	0.0088888565	-0.1110212666	-0.0850325184	-0.0649227846	0.06934403	-0.1128839762	0.0794062061	0.0222631861	0.0474356632	-0.0527000285	0.2063481401	0.0618937562	0.0879221502	0.0979642192	0.080644065	-0.1196654049	-0.1026094899	0.0372767318	-0.0661416663	-0.0486308742	0.0682517991	-0.0580156503	0.0137740005	0.072387157	0.0387008325	0.0644378413	-0.0839322963	-0.1368896158	-0.0927052574	-0.0114423956	0.0683170293	0.0689647521	0.0599242592	0.1125037874	0.1059762505	0.0953761056	0.0429102	-0.0201509999999999	0.0004060628009999	0.00184128526404	-0.06135	-0.163955	0.026881242025	0.0037638225	-0.15725	-0.0685437	0.0247275625	0.0046982388096899	-0.00298907	0.00163324	2.667472897600001e-06	8.9345394649e-06	0.00115768	-0.00023341	1.3402229823999997e-06	5.4480228100000043e-08	0.000241793	-0.000274589	5.8463854849e-08	7.5399118921e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
