global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07
770.1578165012116	n/a	n/a	593143.062317914	778.7778291784954	n/a	606494.9072199698	n/a	744.8353899166718	n/a	554779.7580723206	n/a	736.4966262908014	581.0347153035376	n/a	n/a	n/a	n/a	-0.0634960525	0.0510469383	-0.0067295633	0.1877373069	-0.1232994396	0.0623913395	-0.1155312087	0.022175094	-0.166105155	0.1424711012	-0.0565656251	0.0680137047	-0.1535850499	0.0117222989	-0.0518600957	0.0984039646	-0.1623958698	0.0208170238	0.1432479006	-0.0108273464	0.1277158514	-0.0317309303	0.0545555109	-0.0681906559	0.2137413984	-0.1047593241	-0.0038350432	7.0161e-05	-0.1013439578	0.070612174	-0.0370550354	0.0697631908	-0.128515679	0.020381081	-0.132733596	0.0274064432	-0.0190765293	0.0270444751	-0.1002519616	0.0247813394	-0.0777844597	0.0405221652	0.0525092301	-0.0723256547	-0.1099366825	0.1175224246	-0.1318022764	-0.0333699704	0.0478780388	0.0483428533	-0.0031299644	-0.0483728889	0.1827229778	0.1815342048	-0.0462471849	-0.0958534258	0.200272635	0.0557590815	-0.0544889082	-0.0399322223	0.1316798745	-0.1228856919	0.1076265897	-0.1304265518	0.0235788064	-0.0400117966	0.012496091	-0.2059612248	0.0735994761	-0.0464878868	0.0728620334	-0.1366464128	0.0576896226	-0.0009956973	0.0771833842	-0.2115651566	0.0008019427	-0.0530363591	0.0098914128	-0.0066700654	0.1216970931	-0.1647108387	0.0055780514	-0.0187460055	0.0454657306	-0.146885943	0.134397993	-0.0937312582	-0.0013240973	-0.0457243972	0.0110874261	-0.059616006	-0.0173970784	0.0599778491	-0.0437642021	-0.0013066235	-0.0423346109	0.0712788496	-0.2480566136	0.1147017419	0.1146833673	0.1146527451	-0.0536967	n/a	0.00288333559089	n/a	0.100686	n/a	0.0101376705959999	n/a	-0.0107512	n/a	0.00011558830144	n/a	0.00313466	n/a	n/a	9.8260933156e-06	0.00130507	n/a	n/a	1.7032077049e-06	-0.00105621	n/a	n/a	1.1155795640999998e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
766.6101734026813	-3.5476430985303296	12.585771554549876	587691.1579644891	766.0709331881982	-12.706895990297198	586864.6746758368	161.46520570823105	743.4294756580072	-1.4059142586646658	552687.3852771395	1.9765949027166168	735.4417450479204	581.3517553584335	1.324143	26.30864	0.3956408	0.199808	-0.0090378773	0.0613214475	-0.009277557	0.1391871219	-0.0514201545	-0.1015059704	-0.062496573	0.0741477383	0.0177495935	-0.0695890234	-0.1116669437	-0.1049389263	0.0407674573	-0.0878068024	-0.0282536286	0.1137549334	0.0231734098	0.1288466476	0.087642868	-0.0729547171	0.0218364133	0.0011465156	-0.0120660942	-0.0316485388	0.1982986272	-0.06809888	0.0850309265	0.1033801546	0.0972291972	0.1422593972	0.1147555609	0.0204638617	-0.0012056982	0.0571594081	0.0017958064	-0.0439977108	0.0722225531	-0.0945704547	0.1961839606	0.0442094575	-0.0537403139	0.0109210757	0.061057108	0.0177343014	0.1096283733	0.1382716602	0.1100002275	-0.0886406436	0.1373164657	0.0107313335	0.0085151348	0.0191210358	-0.0391650281	0.0965283286	0.0513390252	0.0970391968	0.0388379888	-0.0054972416	-0.0211710031	-0.1222230018	0.0122738472	-0.0698162919	0.0484222152	-0.0315880197	-0.1225201152	0.1532945216	-0.0342065592	-0.1150276712	0.1348560901	-0.1160273752	-0.0152003641	-0.0577993322	0.1543317104	-0.0666993865	0.0066914408	0.0304338759	0.0174760857	-0.0212759758	0.0589302538	0.2241190398	0.0769659022	0.1202255434	-0.1373569994	-0.1361922679	-0.0116753676	0.0549261996	-0.1535239437	0.0986065695	-0.0781685546	0.0307664725	0.0293918275	-0.088936088	0.027592489	0.0478634366	-0.136594601	-0.1049436803	-0.1223320486	0.0915153395	-0.0208879929	0.1146527451	0.1144874327	0.1142120884	-0.018252	0.0354446999999999	0.000333135504	0.0012563267580899	-0.0485896	-0.1492756	0.0023609492281599	0.02228320475536	-0.114232	-0.1034808	0.013048949824	0.01070827596864	0.00379296	0.0006583	4.333588900000002e-07	1.4386545561600002e-05	0.000157645	-0.0011474249999999	1.3165841306249996e-06	2.4851946025000005e-08	-0.000713141	0.0003430689999999	1.1769633876099994e-07	5.08570085881e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
766.1782336416301	-0.4319397610512396	0.186571957177002	587029.0857062083	763.5656978410283	-2.5052353471699007	583032.5749194565	6.276204144709493	742.8299044980321	-0.5995711599750848	551796.2670165554	0.3594855758738687	734.262417698472	591.674195749768	1.130848	22.468185	0.12458887	0.0741352	-0.0123588902	0.0244213765	0.1222587195	0.0979025471	-0.0523560996	-0.0152675547	-0.0573373721	-0.0231694297	0.0232991324	-0.0365957794	0.0194777617	-0.0733899377	-0.0480578575	0.0992181333	-0.0718125912	0.0483833585	-0.0110913681	0.0817108533	0.0355786128	-0.0409902787	-0.0932421653	0.0708555157	0.0331249178	0.0595720329	0.1920314328	-0.1034144961	0.1614651366	-0.0039971132	0.0382298802	-0.0593774371	0.0226186614	0.2354139211	0.0709184423	0.0417563245	0.0693329291	-0.0393358688	-0.0454423639	0.0293869337	0.1046095818	-0.0499754824	0.1452074311	-0.0510873996	-0.1371141832	0.0133459588	-0.0524188235	0.0078077942	0.0673818258	0.0735771501	-0.0166938521	0.0709303525	-0.0365921543	-0.0232810415	-0.1012164403	-0.0812311982	-0.000776653	-0.1842795806	0.0201327281	-0.0854658098	-0.0534177214	-0.0383233475	-0.014976281	-0.0468329261	0.0740761018	0.0003315431	-0.1374046736	0.0605458208	-0.1512886282	0.0104366549	0.0911196193	-0.0360927582	-0.0558799453	-0.0103036919	0.2381974856	0.0411552162	-0.0598598069	-0.1237557982	0.015966203	0.0313955069	-0.0602632692	-0.0679872487	-0.0884728904	0.0898969545	0.1222315751	0.0185334184	-0.0897364999	0.0973598595	0.093315099	0.0010121578	0.0314924409	0.0212937425	-0.0235107354	0.0441516564	0.0037896254	-0.0238443333	-0.0368445122	0.0423260747	-0.154491601	0.0513099422	0.0991904214	0.1145547726	0.1140958982	0.1133324686	-0.0119054	0.0063466	0.00014173854916	4.027933156000001e-05	0.0158921	0.0644817	0.00025255884241	0.00415788963489	-0.0820883	0.0321437	0.00673848899689	0.0010332174496899	0.00372147	-7.149000000000001e-05	5.110820100000001e-09	1.3849338960900002e-05	-2.15734e-05	-0.0001792184	3.211923489856e-08	4.6541158756e-10	-0.000531512	0.000181629	3.2989093641e-08	2.8250500614400004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
764.8409496507376	-1.3372839908925016	1.7883284722973762	584981.6782626421	763.7494374729874	0.1837396319591562	583313.2032403047	0.0337602523524861	741.4785784809366	-1.3513260170955164	549790.4823461104	1.826082004479232	732.9002885035729	588.8903268427541	1.034939	20.562624	0.04892815	0.0355765	0.0061147893	-0.1051336972	0.0643675876	0.0309125268	-0.1467548013	0.0602489162	0.0489436971	-0.0358761623	0.0719799248	-0.1258809402	-0.076066221	-0.0277453458	-0.0592509449	-0.0237951881	-0.0188618788	-0.0210357278	0.0617112888	0.0364887982	-0.0109605293	-0.0824932742	-0.0890553807	-0.0693870504	0.0055399507	-0.1391465019	0.1291596194	-0.042875464	-0.0737745067	0.0400330508	0.0917266472	-0.0119032049	-0.0466098207	0.0647428008	-0.0292648325	0.0013280264	-0.0279160939	0.1723752574	0.0651569154	-0.0935734507	-0.042786541	0.0683961366	-0.0132975882	0.0602581408	-0.0002166526	0.04604845	-0.0287451224	-0.0693379371	-0.0155597503	0.0912088821	-0.0415219017	-0.0943193028	-0.0850824806	0.0424155722	-0.0008915058	0.0160007882	0.066398174	-0.0114207217	-0.0189631477	-0.0229282702	-0.0286237075	0.0514719146	0.0060494447	0.1033027494	-0.032740981	0.0317581169	-0.1093417934	0.092635721	-0.0993908052	-0.0850236183	0.0814578221	-0.1042755495	0.0684973488	-0.0654535988	-0.0634576715	-0.0148931505	-0.0732115064	-0.1022336523	0.0559741215	-0.021276156	0.0231820485	-0.0073123037	0.1328242474	-0.0857444595	-0.0218850134	-0.0488250977	-0.0458387747	0.0428442108	0.0068005406	0.050316327	-0.0249522654	-0.0376046953	0.0204988016	0.1021537984	0.0870180598	-0.0840347019	0.0471169677	0.022231555	0.0374914057	-0.0125426117	-0.063765722	0.1144078661	0.1135094328	0.1120172664	-0.0119125	-7.099999999999468e-06	0.00014190765625	5.0409999999992436e-11	-0.0184701	-0.0343621999999999	0.0003411445940099	0.0011807607888399	-0.079276	0.0028123	0.006284684176	7.90903129000002e-06	0.00360735	-0.00011412	1.3023374400000024e-08	1.30129740225e-05	-2.15734e-05	0.0	0.0	4.6541158756e-10	-0.000410701	0.000120811	1.4595297721000005e-08	1.6867531140100004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
766.2946025483116	1.4536528975739884	2.1131067466252524	587207.4178946748	767.8150334024302	4.065595929442793	589539.925518775	16.529070261501808	740.360166042442	-1.1184124384946017	548133.1754623923	1.2508463825794411	732.0049848654501	578.03812538094	1.146443	22.778032	0.10094562	0.0527566	-0.0358559906	-0.0570031798	-0.0887867312	0.0371846244	-0.0820363879	0.0495080046	0.0229782987	0.0480717293	0.0441016748	0.0868390096	0.0645271379	-0.0390787873	0.0251944234	-0.0584796515	-0.0520173618	-0.0913453117	0.1298157041	0.0238402159	0.0863488293	-0.0742155844	0.0216535771	-0.115803052	-0.0827200592	-0.1576364616	-0.0865618956	0.0927736657	-0.0220448807	0.0380609568	0.0810872034	-0.1052608546	0.1059386185	0.0588608726	0.0173405356	0.1591586389	0.0268015196	0.0370118015	-0.069956687	-0.0408942182	0.0747113741	-0.0745994367	0.0743359882	-0.033573795	-0.075451446	-0.0478558183	0.050572885	-0.0708819141	0.1070868155	0.1255540363	0.0214997983	-0.0322623389	0.0457783441	-0.0062658539	0.0164064824	-0.1053009871	-0.1650202987	-0.0985287291	0.0177830893	-0.1291755891	-0.0579988398	-0.0081157912	-0.0551239546	0.0830906451	-0.1550895502	-0.1151340902	0.0453766891	0.0280553356	-0.1227443836	0.043862779	-0.0375755229	-0.1514416509	-0.0863912403	-0.0576299536	-0.0143078146	-0.0978571331	-0.0536827579	0.0683584052	0.0764517931	0.0176086655	-0.0095279703	0.0234238943	-0.010737479	0.036443462	0.0937162716	0.0673336657	-0.0305367316	0.074885648	-0.1094454759	0.0289066023	-0.0408656867	0.0566335684	-0.0599588554	0.0733869696	0.038578592	-0.0991195143	0.1435897222	-0.085567786	-0.0231066767	0.0553538596	0.0650575832	0.1142120884	0.1127290384	0.1102715368	-0.0232179	-0.0113054	0.00053907088041	0.00012781206916	0.0100857	0.0285558	0.0001017213444899	0.0008154337136399	-0.0848323	-0.0055563	0.00719651912329	3.087246969e-05	0.00277851	-0.00082884	6.869757456e-07	7.7201178201e-06	0.000139338	0.0001609114	2.589247864996e-08	1.9415078244e-08	-0.000531512	-0.000120811	1.4595297721000005e-08	2.8250500614400004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
767.8653381770381	1.5707356287265384	2.4672104153509538	589617.1775737371	768.1054930398013	0.2904596373711001	589986.0484379163	0.0843668009417509	741.6450698067937	1.284903764351725	550037.4095687239	1.650977683645233	733.0945294579359	576.1165727597471	1.077273	21.40373	0.10442745	0.059812	-0.0219808874	0.0870527778	-0.0256016141	0.056423684	0.0826376887	-0.0551766601	-0.0902398998	0.0065778448	0.0056846522	0.0555897671	0.1047793169	0.0312693941	0.0890437374	-0.1097564791	-0.0530746451	-0.0321756256	0.1296183233	-0.013322354	-0.0357135747	-0.0279596151	0.1001692242	0.0832950401	0.0168035019	-0.0149730755	0.0162270025	-0.0118362165	0.0176027338	0.1105522111	-0.2120155015	-0.0330650542	-0.0914671623	-0.0112286867	0.0355634856	-0.0162236999	0.1401882084	0.1190316601	-0.0435644813	0.0871878649	-0.011633391	-0.1044478183	0.0163839875	-0.0448788522	0.0914827178	-0.0329334806	-0.0580192006	-0.056761272	-0.029099912	-0.0333843718	-0.0972703023	0.1234920053	-0.0006448643	0.1745187204	-0.1684635764	-0.0599918685	-0.0771293662	-0.0673446882	-0.0500910866	-0.0372054861	-0.0387982367	0.0259513106	-0.1718048476	-0.0213753813	-0.0452219183	0.0267214462	0.0270753599	0.0337551596	0.0337899332	-0.2006186147	-0.1523278414	0.0563996275	0.065424038	0.0531359246	0.0214293227	-0.0491040738	-0.0207710402	0.051499363	0.0277825347	0.1032551331	0.0861667479	0.0039842015	-0.0088290931	0.0544220417	0.0785888946	0.1106795781	-0.0521695246	0.0291771398	-0.0668554475	-0.1269217744	0.0628580339	0.0018375988	0.049096197	-0.0130697847	-0.0444410689	-0.1745075528	0.0248436013	0.2381212732	-0.0696823704	-0.083627057	-0.0037890543	0.1139675232	0.1117560484	0.1081019891	-0.0301929	-0.006975	0.00091161121041	4.865062500000003e-05	-0.0170355	-0.0271211999999999	0.0002902082602499	0.0007355594894399	-0.0505606	0.0342717	0.0025563742723599	0.00117454942089	0.00209921	-0.0006793	4.614484900000004e-07	4.406682624099999e-06	0.000181229	4.189100000000001e-05	1.7548558810000007e-09	3.2843950441000005e-08	-0.000531512	0.0	0.0	2.8250500614400004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
768.1855652251248	0.3202270480867355	0.1025453623263444	590109.0626202446	769.7677074637173	1.662214423915998	592542.3234539471	2.762956791074393	742.2930451644941	0.6479753577003748	550998.9648995777	0.4198720641869287	733.5263252879531	582.1536441772557	1.122918	22.310623	0.15700055	0.0786988	-0.0519300162	0.0213605311	0.1089939577	0.0035806335	0.1194629517	-0.0125658795	-0.0661980362	-0.1281750256	-0.0941512546	0.1205015087	0.0468529021	0.0672940142	0.02806744	0.0228072603	-0.0581482533	-0.00785143	0.0440914284	-0.0426524477	-0.0013657946	0.0236045386	-0.0702446766	0.1603428201	0.0083239395	-0.0386307392	-0.0330222358	-0.0145715663	-0.0837122984	-0.0015336958	-0.059979212	-0.1035386102	0.0561617561	-0.0019577852	0.0158081518	-0.0605439985	0.1444354096	0.0821667356	0.0189710366	-0.0848326806	0.0146115351	-0.0438900196	-0.0743677567	-0.1395275596	-0.009889808	0.02674137	-0.0076962764	0.0422150132	0.0457230583	-0.2547758484	0.0733172834	-0.0366309584	0.0828072086	0.0859882106	0.095570574	0.096174437	0.0459458671	-0.0648126565	0.0132874675	-0.0022556194	-0.0478250579	0.0759195652	-0.0942994602	-0.0189134992	0.0954515358	0.0287025786	0.0105674679	-0.030884981	-0.1554815927	-0.0299003841	-0.1072734192	-0.0308149441	0.039609122	0.0429082934	0.0999865425	0.0072664426	0.0302904076	0.1688992525	-0.0510662258	0.0866750889	-0.0141232608	-0.0089045697	-0.1014016873	0.0307242597	0.0583387559	-0.0610841444	0.1433865023	0.0183028265	0.0179388844	0.021901751	-0.050374847	-0.097051905	0.0989223913	0.1136346727	-0.0411448023	0.0690832549	-0.052917308	0.0392526995	0.0843643969	-0.0184264296	-0.1113455311	0.1136742748	0.110592125	0.105516962	-0.0326682	-0.0024752999999999	0.00106721129124	6.1271100899999984e-06	0.0163005	0.033336	0.00026570630025	0.0011112888959999	-0.0740876	-0.023527	0.00548897247376	0.000553519729	0.00101096	-0.0010882499999999	1.1842880624999997e-06	1.0220401216e-06	-0.000683766	-0.000864995	7.482163500250001e-07	4.675359427560001e-07	-0.000531512	0.0	0.0	2.8250500614400004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
768.2595187470836	0.0739535219587423	0.0054691234101021	590222.6881455005	773.4349491591224	3.667241695405096	598201.6205807743	13.448661652517645	744.1229037379616	1.8298585734675044	553718.8958674156	3.34838239889253	735.7048649071942	589.4825568487122	1.145411	22.757532	0.1540775	0.0758883	-0.0143549078	-0.1299596834	-0.0118743776	0.0687124875	0.1363945932	0.0531037704	0.0485535674	0.041382706	-0.0845056035	0.0057726523	-0.1384660007	0.1104691487	-0.0250751953	0.0722673044	-0.0331016629	0.0711186383	-0.1402882331	0.0807928778	0.0835912013	-0.0245743144	-0.1331690179	-0.0057868946	0.1185671872	-0.0240884815	0.0051360513	0.0338568264	-0.0157454804	0.064312212	-0.0582323908	0.0148256291	-0.1393953848	-0.1345422687	0.0334196502	-0.1501718721	-0.1502418561	0.1798045473	0.1186205139	0.0488853648	-0.13981033	-0.0107803289	-0.1298869514	-0.1364789273	0.0535040126	0.0524488809	0.0358900531	-0.0264352482	0.0482665405	0.0301302468	-0.0669311102	0.0985545413	-0.0288914736	0.0261184474	0.0837977389	-0.1116806156	0.0209834652	-0.1353050509	0.0884074027	0.0713503549	-0.038858244	-0.0052596482	0.1782970329	0.02155124	0.0593373138	-0.0642799427	-0.1558519554	0.0156432355	0.0551951083	-0.1254572345	-0.1004750443	0.0956640651	0.083189554	0.1453283768	-0.0805867737	-0.0396343947	0.0922962242	0.044994827	-0.1470241961	0.0460641759	-0.0473436042	0.0045962458	0.0460843721	-0.1922312867	-0.0955337697	-0.0830144138	0.14180258	0.0356757649	0.0617034046	-0.0091458237	0.0585242439	0.1612718164	0.0360107715	0.069040253	0.0857107371	-0.0610320763	-0.078018957	0.1467457468	0.0605543757	-0.022867292	0.0044398628	0.1133324686	0.1092392569	0.1025263906	-0.0301959	0.0024723	0.00091179237681	6.112267290000001e-06	-0.0179984	-0.0342989	0.00032394240256	0.00117641454121	-0.0488846	0.025203	0.00238970411716	0.000635191209	0.00191989	0.00090893	8.261537449000001e-07	3.6859776121e-06	0.00024937	0.000933136	8.707427944959999e-07	6.21853969e-08	-0.000531512	0.0	0.0	2.8250500614400004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
767.6670093167178	-0.5925094303657943	0.351067425072398	589312.6371932736	778.0015921579992	4.566642998876773	605286.4774003817	20.85422827919025	743.311782059938	-0.8111216780235964	552512.4053491207	0.6579183765598148	735.6800530321686	585.8742613108602	1.212032	24.081175	0.11388888	0.0489919	-0.0745724651	0.0057787997	-0.1078730249	0.0877301079	0.1178853705	0.0186749976	-0.0454510578	0.1480010517	-0.0620875919	0.0231835107	-0.0143015176	0.1930328998	-0.0267330797	0.0141093745	-0.0405859044	0.0079546064	-0.1569475682	0.0211523435	-0.2368970788	-0.2198015882	0.0935565702	0.1481955859	0.2228913811	0.1126456753	-0.1790853526	-0.0482882113	0.0296649879	-0.0890837951	0.0418891466	0.096717569	-0.0154220995	-0.0691871683	0.1548877587	0.1575390777	-0.0944192525	-0.0770121695	-0.0223061021	-0.0173576137	-0.0789672913	-0.0245309056	0.0637085588	-0.0882195784	0.0979320767	-0.0163950663	-0.105922794	-0.0183913295	-0.0140400467	0.11145885	-0.029657093	0.0245116399	0.1234181049	-0.0199099122	-0.1109474254	0.0069425216	-0.0089718979	-0.0523218253	0.0126142177	0.0248362843	-0.0418133255	-0.1029050722	0.0896264157	-0.0900151679	-0.0337796217	0.1392746482	0.1051772674	0.1455725834	-0.0412504097	0.0554288004	0.1481128155	0.3619997863	0.0459137447	0.0610593011	-0.023782955	0.0629003996	0.1353768865	0.1591798393	-0.0972487763	-0.1016534695	-0.0970621308	0.0244625667	0.2010601027	0.0909316429	-0.0209873304	0.1870122751	-0.0360291464	-0.0185508722	0.0157872008	0.0546507385	0.0619141321	0.0361073385	-0.0736122364	0.0599767453	0.1008751627	-0.005371107	0.0119570954	0.0247886171	0.1475385689	0.0440998835	0.0791732282	0.1129422506	0.1076997553	0.099141769	-0.0108163	0.0193796	0.0001169923456899	0.00037556889616	0.0109552	0.0289536	0.00012001640704	0.00083831095296	-0.0674485	-0.0185638999999999	0.0045493001522499	0.0003446183832099	0.00144762	-0.00047227	2.230389529000001e-07	2.0956036644e-06	8.35874e-05	-0.0001657826	2.748387046276e-08	6.98685343876e-09	-0.000229729	0.000301783	9.107297908900003e-08	5.2775413441e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
766.2197988075036	-1.4472105092141874	2.094418257979988	587092.7800846113	766.6642695704884	-11.337322587510812	587774.1022360505	128.53488345328284	743.0061778568789	-0.3056042030590333	552058.180333488	0.0933939289273469	734.3550500555195	583.6177037121502	1.221738	24.274021	0.10060875	0.0547987	-0.0426276665	0.1005183447	0.04669839	0.0217000106	0.0384771579	-0.051439313	-0.098029492	0.0127504428	0.0063672725	-0.0241015269	-0.1291986302	-0.0881174418	0.010668046	0.0604700225	-0.0511017422	0.0449127183	-0.0245159904	0.0119672298	0.0047315211	0.0140178965	0.1207044536	0.0884703259	0.0569113082	0.1006629426	-0.0310878863	-0.1095979935	-0.0710387452	-0.0682151409	0.0740666641	0.0169453271	-0.0056609102	0.0045816586	-0.0283259832	0.0521919064	-0.0319500697	0.0129515723	0.0218473829	-0.2034004834	0.1151282323	0.0469695944	0.0895941089	0.0576547438	-0.0501815954	-0.0053965709	0.018516975	0.0236246608	-0.021046096	-0.1431495073	0.0839794073	-0.0828710881	0.0257489315	-0.0918012257	-0.0716640156	-0.095893786	0.0037109157	-0.0521329857	0.1424411994	0.0126406123	-0.052745708	-0.0495200829	-0.0286618381	-0.0961924781	0.053806118	-0.0531328019	-0.0084708103	-0.0014818397	0.0091736985	0.0162323808	0.1352891549	0.0727671397	-0.0100577009	-0.0633517727	0.0423007459	0.0596154649	0.0052749323	0.0421285247	-0.1425952173	-0.1405787572	-0.0278899492	-0.1137793098	-0.0134968392	0.0002656484	0.0107054028	0.0010264972	-0.1047580877	-0.0454692953	-0.0162765148	0.0227721123	-0.1259773848	-0.0904640927	-0.0086951797	0.0252190021	-0.1048024004	0.0617782597	-0.0332547078	-0.0040365466	0.0242380724	-0.0041850377	0.1067662833	0.1125037874	0.1059762505	0.0953761056	-0.0328421	-0.0220257999999999	0.00107860353241	0.0004851358656399	0.0331406	0.0221854	0.00109829936836	0.00049219197316	-0.0226915	0.0447569999999999	0.00051490417225	0.0020031890489999	0.0015481	0.00010048	1.0096230400000002e-08	2.39661361e-06	5.49364e-05	-2.8651e-05	8.20879801e-10	3.01800804496e-09	-0.000333409	-0.00010368	1.0749542400000002e-08	1.11161561281e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
