global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02
750.8344785299957	n/a	563752.4141494107	n/a	876.7984714653041	n/a	768775.5595638938	n/a	720.9494978478025	n/a	n/a	519768.1784469986	737.5678012974536	575.9614145707505	n/a	n/a	n/a	n/a	-0.1247091269	-0.0780331237	0.1554858565	-0.0685029306	0.0098100163	0.0750032339	-0.0769129537	0.0863208547	-0.1668703202	0.2071482214	-0.0717586271	-0.0882210497	0.1751044324	-0.0877162479	0.2356959993	-0.0319508785	0.0533873178	-0.025662435	0.128218325	-0.327650943	0.1159382517	-0.1518993041	0.0462181166	-0.0675882998	0.1283814589	-0.0911653175	0.0010598437	-0.0273593664	0.0579329467	-0.0144065475	0.0073019142	-0.0146475253	0.0565404579	-0.0513679999	0.1256301666	-0.0459443113	0.0179280408	-0.1405813449	0.0705640287	-0.033551354	0.0759153543	-0.0563240809	0.0501842829	-0.0239328168	0.0473153841	-0.142121017	0.0711823403	0.1475779817	-0.0402942183	0.1167610908	0.0555953179	0.0377336169	-0.1055372329	0.0276228728	0.0078628404	0.0887748399	-0.0273689992	-0.1077092626	0.0697794156	0.0868316664	-0.0784502826	-0.0746006866	-0.0804937059	0.0363700187	0.1412062003	-0.1259146094	-0.0304477631	-0.0722604034	-0.1443025053	0.0415656084	-0.0700041867	0.1458391508	0.139488837	-0.039008471	0.1177884279	-0.0789405367	0.0048957514	-0.0230047152	0.0121250546	-0.1664039408	-0.0666389749	0.0559511588	-0.0342771141	0.0103732015	-0.1761654517	0.0453036658	-0.0322365186	0.1308914394	-0.0549872626	0.0171784047	-0.0128553937	0.0874911715	-0.0722333612	0.0002637434	0.162137164	-0.0263134856	0.035729117	0.0138646064	-0.0383876086	0.0870536109	-0.1542585564	-0.0198666545	-0.0492955155	0.127235424	0.0643929064	-0.1031616285	0.0033927384	0.0016145557	0.0267658246	0.0135549776	0.0275588319	-0.1796062451	0.1147017419	0.1146833673	0.1146527451	-6.17699e-05	n/a	n/a	3.815520546010001e-09	-0.0872053	n/a	n/a	0.0076047643480899	-0.240672	n/a	n/a	0.057923011584	0.00104129	n/a	1.0842848641000002e-06	n/a	-0.000285934	n/a	8.1758252356e-08	n/a	0.0	n/a	n/a	0.0	0.0	0.0	0.0
750.3303998148103	-0.5040787151854147	562995.7088862532	0.2540953511029784	873.0242872286487	-3.774184236655401	762171.4060910902	14.244466652218112	720.1926059604083	-0.7568918873942039	0.5728853292031602	518677.3896800439	736.0344681815632	579.7207324244233	1.079942	24.282936	0.1181853506999999	0.068904	-0.0903034127	-0.0788448709	-0.0704515223	-0.0292645231	-0.0419332694	-0.0208779156	-0.139706417	0.0497200716	-0.0401720249	-0.0632098632	-0.0615263169	-0.1897108531	-0.0071847405	-0.0406338917	-0.1392168184	-0.0945815259	0.0428336707	0.0423222398	0.1000704626	-0.0546143144	0.1795904366	0.0253337301	0.0397595758	-0.0218267518	0.1166364513	0.003470429	0.0465987175	0.0288627521	-0.0396821692	0.1270089855	0.0017608451	-0.0671114058	0.0485201521	-0.2747270364	0.1136858202	-0.1586377873	0.0254903111	0.0254516384	0.0058033431	-0.020776093	0.108206182	-0.1007030443	-0.003453413	-0.094249425	-0.0201974632	-0.0383902225	-0.0584344453	0.134811656	-0.0600644818	-0.0884400203	0.0808239332	-0.0292717606	0.0235428469	0.0138274735	0.0201586234	-0.0261416827	0.0153627759	0.002830673	-0.0431475934	0.0325672296	0.0030023153	0.0852095532	-0.125458604	-0.0161435184	-0.147700274	0.0951030482	-0.0691480501	0.0295487504	-0.1922389636	-0.0219740489	0.0321010082	-0.0066243836	-0.1524784655	0.0180001311	0.1115003578	0.1067498489	0.0777187299	-0.0138194538	-0.078530462	0.068744549	-0.1333354472	0.0707475391	0.0653495101	-0.137687267	-0.2535810139	0.0815980507	-0.0052078915	0.0506191313	0.0143031397	-0.114981287	-0.0410561471	0.1660783954	-0.0225394701	0.0777065209	-0.0275890956	0.0229034284	0.0202711164	-0.0882166659	0.0353508496	0.1159185119	0.0196343464	0.0136345587	0.033361161	-0.0240183683	-0.0261487223	0.0304532055	-0.0410469525	-0.042386298	0.0431317732	-0.1141780978	-0.1491952792	-0.0011166432	0.1146527451	0.1144874327	0.1142120884	-8.12206e-05	-1.9450699999999997e-05	3.783297304899997e-10	6.59678586436e-09	-0.148112	-0.0609066999999999	0.0037096261048899	0.0219371645439999	-0.222712	0.01796	0.0003225616	0.0496006349439999	0.00160011	0.00055882	2.5603520121000004e-06	3.122797924e-07	-0.000399158	-0.0001132239999999	1.59327108964e-07	1.2819674175999997e-08	0.00011394	0.00011394	1.29823236e-08	1.29823236e-08	0.0	0.0	0.0
748.4641175024326	-1.8662823123777343	560198.5351886952	3.4830096694939834	870.5286650109936	-2.495622217655182	757820.1566058226	6.228130253254168	721.0444174609336	0.8518115005252866	0.7255828324271404	519905.0519515771	735.6856336678833	575.5291205548082	1.038083	23.341728	0.2018255863	0.118319	-0.0485769083	-0.0784889049	0.1514797483	-0.0392396379	-0.1056431367	0.0533644172	-0.0985610532	-0.0749682515	0.0070987414	0.1170096914	0.0176337127	0.0040939812	-0.1038234874	-0.0887536576	0.0645347131	-0.087505472	0.007595549	0.0338888518	-0.0512247343	-0.0109863368	0.066480007	-0.1157013048	0.0550507419	-0.0730045432	0.0190603191	-0.0245040476	-0.1264538348	-0.0911721669	0.0685533501	-0.0641915143	-0.123101471	-0.1084038634	0.011595034	-0.036332482	-0.0348009525	0.0772225135	0.0353955182	-0.0058417249	-0.0556064952	-0.051158362	-0.1065149106	0.0463236204	-0.003927872	-0.0028088102	0.0121300671	-0.0388158761	-0.1210574817	0.1067278392	-0.0624156613	-0.0598916877	0.1435266616	-0.0534879495	0.0357914878	-0.0271649897	0.1012157799	-0.1584660666	-0.018106607	-0.0330875272	0.0477883481	0.0110317027	0.0407388204	-0.0039988485	-0.1477906701	-0.0495497268	-0.1909265744	-0.0784115168	0.0055959888	-0.0323298874	-0.0919817457	0.0146448372	-0.1100757896	-0.0193240974	-0.0538425437	0.1249145049	0.1329461544	-0.1290271172	0.0260853647	0.0192827496	-0.0549217041	-0.0398241364	-0.0366152096	-0.0172705999	0.0600939558	0.0635149238	0.0682006525	-0.0109233804	0.0102283792	-0.0427997934	0.0519755969	-0.0025564417	0.0673804832	0.1061597573	-0.022716423	0.0459831354	0.0114469984	-0.0426472243	0.1779369199	-0.0138639721	-0.0334028719	0.0054413008	0.0305971663	0.0247713915	-0.0697178278	0.0155455934	-0.1115324678	0.1095021331	0.0439660291	-0.1801709006	-0.0105549204	0.0726600345	0.0318938738	0.1026589104	0.1145547726	0.1140958982	0.1133324686	-2.91343e-05	5.20863e-05	2.7129826476899996e-09	8.4880743649e-10	-0.0574231	0.0906888999999999	0.0082244765832099	0.0032974124136099	-0.167016	0.0556959999999999	0.0031020444159999	0.027894344256	0.0007906019999999	-0.0008095080000001	6.250515224038419e-07	6.553032020641621e-07	-0.000214834	0.0001843239999999	4.6153647556e-08	3.397533697599999e-08	0.0	-0.00011394	1.29823236e-08	0.0	0.0	0.0	0.0
747.8438008995095	-0.6203166029231397	559270.3505438252	0.3847926878621042	871.108944823613	0.5802798126194375	758830.7937517085	0.3367246609336495	719.7239568040249	-1.3204606569087218	1.7436163464438132	518002.57399764186	735.184479210025	568.7137776038908	1.020786	22.952789	0.0939130506	0.0709558	0.0759462787	-0.0467467978	-0.0454292935	-0.1237503923	-0.1368114008	-0.0096545189	-0.0587428768	-0.1136536505	-0.0204870365	-0.1270237271	-0.018178463	-0.0592317476	-0.0988091661	-0.0542190199	-0.0454250799	-0.0291070814	-0.084737094	-0.0156309406	-0.0555327551	-0.035150885	0.1093502357	-0.0241649215	-0.0215566807	0.082583961	0.0263637829	-0.0229579548	-0.0744316617	0.0310092283	-0.1013549807	-0.0065109664	-0.1047078084	-0.1053276835	0.0219644465	0.1655382423	-0.1106993937	-0.0342791086	0.0300426138	0.0669933169	-0.0242811463	-0.0176761501	-0.0047353653	-0.0321504543	-0.0004137846	-0.0851067579	0.0278467332	-0.1205609434	-0.06351591	0.0661504819	-0.0510799467	-0.0732117301	-0.130521573	0.0807985131	0.0353201948	-0.0056765105	-0.1298465874	-0.0109978964	-0.021555565	-0.1393539147	0.0955709094	-0.1577504107	0.0319105964	-0.0100261385	0.1466867262	0.0853246576	-0.1053641017	0.057477517	0.1151966663	0.0121880712	-0.0780414144	0.0975135512	0.0291292807	-0.1045506032	-0.0972896986	0.0543087957	0.0694898056	0.0326771812	0.0595934207	-0.0551643214	-0.043488047	0.0500928458	0.0295478857	-0.0878297064	0.0805405558	0.0573378227	0.0069440481	-0.1021766741	0.0227322508	-0.1418784756	-0.0023539828	0.045087014	0.0287797776	0.102486754	0.1588437545	0.0150406061	0.031214298	0.0089584329	0.0740269554	-0.0717003578	0.0364046932	0.1222077755	0.0256178319	0.050472178	0.1301600061	0.08374118	-0.0515645687	-0.1361967562	-0.1686576056	-0.0278158685	0.0852786332	0.1218332971	0.1160627641	-0.0226657991	0.1144078661	0.1135094328	0.1120172664	-2.91349e-05	-6.000000000013155e-10	3.600000000015788e-19	8.4884239801e-10	-0.125062	-0.0676389	0.00457502079321	0.015640503844	-0.183687	-0.0166709999999999	0.0002779222409999	0.0337409139689999	0.000982665	0.000192063	9.65630502225e-07	3.6888195969038413e-08	-0.000214834	0.0	4.6153647556e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
747.5531316676603	-0.290669231849165	558835.6846661263	0.0844886023437836	870.8217110472757	-0.2872337763373025	758330.452431305	0.0825032422689875	720.6194812842815	0.895524480256654	0.8019640947389503	519292.43680642697	735.3185388637762	577.9470918333	1.057549	23.77943	0.2292017593	0.141236	0.114811875	-0.0253836573	0.1346088981	-0.0388051122	-0.0182164618	0.0053569819	0.0295177539	-0.0940452063	-0.022373593	0.0284865452	0.0851402004	0.1243529233	-0.0505069643	-0.1503227049	0.0102200097	-0.1275590948	-0.0106704196	0.0637546889	0.0123214058	0.0836230786	-0.0278740217	-0.1256214571	0.0986014872	0.1035598894	-0.0376885885	-0.0347231359	0.008153733	-0.1095120059	0.0792824734	0.0558695834	0.0269589599	0.046290859	-0.0269034074	-0.1700791715	-0.060350764	-0.089688436	-0.1133365223	0.0025412961	0.0586663362	-0.0117077182	0.0298988282	0.0439750146	0.0242042333	-0.0396192982	0.1062629987	0.1232903171	-0.0699404314	-0.0912581971	0.0604100176	-0.0703035388	-0.0952595688	-0.0422249522	0.0051545407	0.0263878279	0.0855753671	-0.0411145021	-0.0181905429	-0.0467046043	-0.03771811	0.102595019	-0.1122331612	0.0322069633	-0.0706253861	0.0424975682	0.0874261921	0.0856682428	-0.0465004677	-0.0239293945	0.0474507508	0.1048091516	-0.0721218954	0.0110861339	-0.0087844078	0.0889394995	0.022041366	-0.1273198419	0.038513207	-0.0586556256	-0.1318193796	0.0117559462	-0.026314196	0.2023998469	0.0748272188	-0.0800801587	-0.0575151384	-0.1143280204	0.0321036286	0.0607237455	0.0047788492	-0.1072329938	-0.0409774686	-0.0649893891	-0.0812582397	-0.0108593778	0.0449784837	-0.0366466416	-0.1052458623	0.0831090296	0.0164205395	-0.0514711901	0.1069480031	-0.0108268272	-0.0503358282	-0.0080221939	-0.0340421287	0.0422054588	0.0072476175	0.0039440237	-0.0477010945	0.034337069	0.0237203959	-0.0400962691	0.1142120884	0.1127290384	0.1102715368	-6.05942e-05	-3.1459300000000006e-05	9.896875564900003e-10	3.6716570736400005e-09	-0.0142758	0.1107862	0.01227358211044	0.00020379846564	-0.113804	0.0698829999999999	0.0048836336889999	0.012951350416	0.000262643	-0.000720022	6.898134544900001e-08	5.184316804839999e-07	-0.000464834	-0.00025	2.1607064755600002e-07	6.25e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
747.7940241165103	0.2408924488499906	559195.9025043639	0.0580291719129453	871.7619454699594	0.9402344226837158	759968.8895695684	0.8840407695993804	720.0524943569534	-0.5669869273281165	0.3214741757609788	518475.5946296704	735.8422235291122	571.429434438466	1.035488	23.283363	0.1378584974	0.0851154999999999	0.0452349832	-0.0419731481	-0.0918938409	-0.0833235497	0.0407393817	-0.0680212162	0.0707425313	-0.1060607927	-0.0594775324	-0.1260847329	0.0785757733	0.0160505594	0.0220691814	-0.0193117661	-0.0507936455	0.0248706986	0.0710136075	0.0842124504	0.1299821569	-0.0658530332	0.0650832347	-0.0041816099	-0.0306266703	0.1588432415	0.0571409088	0.057469836	0.08866369	0.1223783381	-0.0762757535	-0.0234507073	0.0109371422	0.0320673671	-0.0062555005	0.0934427058	0.0766973882	-0.0315574453	0.0213610131	0.0817468504	0.0739105642	-0.040979384	0.1001600751	0.1027786352	0.0521767575	-0.1110446087	0.0662203094	0.0944718834	-0.0566468047	0.00218759	0.0528675611	0.0633003655	0.0409929881	0.0457957196	-0.0689976894	0.1898425372	-0.0863098183	0.0203605986	-0.0690321378	-0.0349150895	-0.0886916843	-0.0344228766	0.1560920182	-0.0839148992	-0.0517168549	-0.0929381905	0.18627537	0.0606446547	0.0102203001	-0.0131519706	0.0286762268	0.1667169958	0.0791705011	0.0131749326	-0.0736379937	0.0167225413	-0.0623568884	0.120010913	-0.0020773161	-0.054629477	-0.0117511359	-0.1032834993	-0.0532942806	-0.0981500111	0.016023415	0.0801208837	-0.1010778519	-0.0526052474	0.1051478994	0.0585893328	0.1034280427	-0.0780611918	-0.1110053311	-0.0531389374	-0.0110141146	-0.0994478557	-0.0050365133	0.017265864	0.1045563267	0.0949125334	0.0511399488	-0.093660936	-0.0517667078	0.0202129293	0.1037862769	-0.0668813117	0.2585122887	-0.0201683039	-0.0115252462	0.05029187	-0.004719474	-0.0571539649	0.1522450559	-0.1063255559	0.1139675232	0.1117560484	0.1081019891	-6.54916e-05	-4.897399999999998e-06	2.3984526759999985e-11	4.28914967056e-09	-0.0913222	-0.0770464	0.00593614775296	0.00833974421284	-0.141935	-0.028131	0.000791353161	0.020145544225	0.000567397	0.0003047539999999	3.21939355609e-07	9.2875000516e-08	-0.000359896	0.000104938	1.29525130816e-07	1.1011983844000001e-08	0.000243832	0.000243832	5.945404422400001e-08	5.945404422400001e-08	0.0	0.0	0.0
748.0881517004871	0.2941275839767741	559635.882714651	0.0865110356560142	870.7360140053001	-1.0259314646592657	758181.2060858383	1.052535370177906	720.3465873965298	0.2940930395764098	0.0864907159272917	518899.2059738264	735.4751680790791	567.7771473186701	0.984212	22.130405	0.1430302616	0.0839503999999999	-0.056999355	-0.0210278176	0.0302628357	0.0426867774	0.0107848505	0.0227837806	0.0761572764	0.1114534718	-0.1039355477	0.0180082394	0.170813177	0.0706369171	0.0392729135	-0.1171724874	0.0265467804	0.1164118143	0.0833906735	0.0075368652	-0.0152509415	-0.071174432	0.0219274997	-0.0392851516	0.1159271355	-0.078886003	-0.066599331	-0.1198638202	-0.1328980357	0.0113849376	0.1548054608	-0.0299370177	0.0834003292	0.1500456136	-0.0347939072	0.0335354689	0.116148662	0.115274537	0.0222392684	0.159156411	0.0946994011	0.2119917215	-0.1074068133	0.0918897553	-0.0472869913	-0.0129459111	0.0293399135	0.0336233626	0.0952477005	0.0894642111	0.1196061554	-0.109411478	0.0533325175	0.0234732946	0.0433509268	-0.0924150442	-0.0983156094	0.0748093761	-0.0098939796	0.053937661	-0.0265618246	0.0283283205	-0.054411473	-0.0147288091	0.0337653527	-0.0983182177	-0.0990166952	-0.1191964613	0.0100816535	0.0207307582	-0.0009738737	0.0033949744	-0.0760972665	0.1949650924	0.0224041826	-0.0393617486	-0.0702587837	-0.1677464296	-0.0818106939	-0.1190530641	0.1031351522	-0.0545263264	-0.0267567747	0.0809547989	0.0686600808	-0.0978509191	0.0913536031	-0.007231208	0.0928498117	-0.0342411337	0.0889446466	-0.0302365415	-0.2067670713	-0.0072159143	0.0294378755	-0.0648711566	-0.1745931251	0.008653728	0.06103365	-0.1249532284	0.0560616008	-0.0727462168	-0.1367133051	0.0615472627	-0.0183439394	-0.0286330275	-0.0753722569	0.0312126119	-0.222756877	-0.0542507874	0.0167163003	0.1112386492	-0.2029099441	0.0607358296	0.1136742748	0.110592125	0.105516962	0.00268957	0.0027550616	7.590364419794562e-06	7.2337867849e-06	-0.0164028	0.0749194	0.00561291649636	0.0002690518478399	-0.111096	0.030839	0.000951043921	0.012342321216	0.000265955	-0.0003014419999999	7.0732062025e-08	9.086727936399999e-08	-0.000214834	0.000145062	4.6153647556e-08	2.1042983844e-08	0.0	-0.000243832	5.945404422400001e-08	0.0	0.0	0.0	0.0
749.5254161173805	1.437264416893413	561788.3494059324	2.0657290040679626	870.962421805472	0.2264078001718417	758575.5401972529	0.0512604919786526	721.1265847160678	0.7799973195379835	0.6083958184864391	520023.5511842601	736.629915001197	570.3517568410649	0.959099	21.565739	0.0984913178	0.0686626	-0.0738898415	0.0287738988	-0.0923441113	-0.0075053885	-0.0388918179	-0.0152200772	-0.0906408459	0.0706451531	-0.0242230997	-0.1493303978	0.0054617442	-0.0340584618	0.1378612368	-0.0433692715	-0.1646086477	0.0531643847	-0.1235531363	-0.0154319277	0.0939398726	-0.044248553	0.0677988612	-0.0073965324	-0.0317913992	-0.0401249748	0.0676451945	-0.0381498334	0.1143135124	0.0302829457	-0.0679776135	0.0222862001	0.0264508126	0.0934113147	-0.1113966034	-0.0670600867	0.0193345164	-0.0062438365	0.0154655365	0.1734208088	-0.0936107852	-0.0306001196	-0.0322475712	0.0434230939	-0.04281141	0.0020599252	0.0155548181	-0.1531645472	0.0866995439	0.0311996407	-0.0060234838	-0.0314344284	-0.0011639923	0.11325751	-0.1729089905	0.0038798646	-0.0960820012	0.0987676081	0.0558288802	0.1365553881	0.0860930464	-0.0986225905	-0.1854786999	0.0547167477	0.066218908	-0.0073637507	0.0579183735	0.0092299088	0.0427578362	-0.024749476	-0.0864515818	-0.0360799016	0.0789301559	0.070580324	-0.0754332558	-0.0222429478	-0.0649768195	0.2159641819	0.064254337	-0.031798515	0.0606775493	-0.0215339711	-0.0250305681	0.111768518	0.1522965062	-0.0103097421	0.0158959588	-0.0595096753	0.0015786231	0.0161444452	0.108357757	0.017687624	0.1280846593	0.0160139511	0.0696191949	-0.0619665856	-0.0279265935	-0.012242447	-0.1589850363	-0.0805263341	0.0191366445	0.0631285967	0.0120144238	-0.1137438075	-0.0726118493	0.0222266949	-0.0977040807	-0.1276936575	0.0265174939	-0.0108789586	-0.0262186751	-0.0181477234	-0.1015649072	0.0174889618	0.1133324686	0.1092392569	0.1025263906	-4.89478e-05	-0.0027385178	7.49947974091684e-06	2.39588712484e-09	-0.0836564999999999	-0.0672536999999999	0.0045230601636899	0.0069984099922499	-0.117009	-0.005913	3.496356900000002e-05	0.013691106081	0.000470363	0.000204408	2.21241351769e-07	4.1782630464e-08	-0.000305839	-9.1005e-05	9.353749392100003e-08	8.281910025000002e-09	0.000156309	0.000156309	2.4432503481e-08	2.4432503481e-08	0.0	0.0	0.0
750.0713757198059	0.5459596024254552	562607.0686742023	0.298071887480561	871.7892495748159	0.8268277693439359	760016.4956742207	0.6836441601582688	721.2918723664958	0.1652876504280129	0.027320007384013	520261.96514196525	735.9804743917653	570.7940128549391	0.898368	20.200167	0.1096849178	0.0637942	-0.0569525521	0.0194370278	-0.0047718415	0.0634049864	-0.0723040837	0.0336185052	-0.0572406278	0.0218509556	0.091172338	-0.0145351912	-0.0069942628	0.010548968	0.014135116	0.0005053027	0.0700016887	0.0710504163	-0.00898844	0.0178620373	0.0422279299	-0.0823254662	-0.0158250461	-0.0373598778	0.0351558552	-0.1284717865	-0.0564056642	-0.0204211908	0.0252639684	-0.1119351456	-0.1240248273	-0.0558281382	-0.0118576365	-0.1247667156	0.0184143147	0.1266485299	0.0286293383	-0.0213954026	-0.1404669113	-0.1098262456	0.0378080429	0.1022603458	0.0356633542	-0.1060001965	0.0377514373	-0.0886992307	0.0318587754	0.0039702757	-0.0338255538	0.1462155879	0.0623911805	0.0192173658	-0.043601997	-0.0943709675	-0.0406996569	0.0738555879	-0.0255837691	-0.029230594	-0.1318014207	0.0720429712	0.0399895566	0.1012092769	-0.0035252138	-0.081936918	-0.0457911112	-0.002050406	-0.0069076338	-0.0369799457	0.0626925935	0.0132112276	-0.0348317678	-0.1005384506	-0.033286216	0.0198449249	0.031569222	0.0983846716	0.0204259989	-0.0808799482	0.0991851486	-0.0539327417	-0.079275244	0.0031142748	0.0069968324	-0.0545608886	-0.0806009136	0.1603189575	-0.0071269908	0.0732957244	0.0986618285	-0.0351128587	-0.0649849624	-0.1274272469	-0.1039452213	0.100528666	0.1367734405	-0.1096676126	0.0577842502	-0.1203082563	-0.0663039112	0.083391539	-0.0098267954	-0.0010472008	-0.0942738299	-0.0982923578	0.0598629672	-0.0841230463	-0.0558873184	-0.0314500718	0.0479407835	-0.053747681	0.053949121	0.0021563102	-0.0670695548	0.1261351792	0.1129422506	0.1076997553	0.099141769	0.00748952	0.0075384678	5.6828496771636846e-05	5.60929098304e-05	-0.0253841	0.0582723999999999	0.0033956726017599	0.00064435253281	-0.100533	0.016476	0.000271458576	0.010106884089	0.000169716	-0.000300647	2.8803520656000005e-08	9.038861860900003e-08	-0.000214834	9.1005e-05	4.6153647556e-08	8.281910025000002e-09	0.0	-0.000156309	2.4432503481e-08	0.0	0.0	0.0	0.0
750.3272216944946	0.2558459746886683	562990.9396157792	0.0654571627643947	871.7545111839836	-0.0347383908323308	759955.9277696261	0.0012067557976197	720.9250448726746	-0.3668274938212335	0.1345624102231671	519732.9203246678	736.1312988811243	573.4530563841947	0.8730919999999999	19.63184	0.11435938	0.07269	-0.0390864596	0.0129468925	-0.0698712012	-0.0018920476	-0.0492926635	-0.0042999672	-0.0683724445	0.0151321988	0.066850661	-0.0263453541	-0.0704233053	-0.0538196903	-0.0056270164	0.0253822397	0.020485295	0.0524991491	0.0025962304	-0.0144453672	-0.0367864212	0.0958733393	0.035928858	0.0785213464	-0.132448776	-0.0301127464	0.0485231034	0.0574015054	0.0127654142	0.0363906027	-0.2094386052	-0.085603392	-0.0551668703	0.0652764709	-0.0555165341	-0.1549561303	-0.0169632564	0.0054814566	0.05263399	-0.0188679934	-0.1311947695	0.0462522195	-0.0765226389	-0.003518171	0.0013076715	-0.0833853822	0.1868707111	0.0291626585	-0.0345126693	-0.0783231389	0.025791499	-0.0664593556	-0.0226101604	-0.0278234333	0.1130153829	0.0056153711	-0.0353776844	0.0016460925	0.021694627	0.0444617281	-0.0219961719	-0.0700795954	-0.1220490253	-0.0604145819	-0.1065537812	-0.0478849516	0.0218635691	0.1496716896	0.0494342128	0.0073992892	-0.0656748918	-0.0694768901	0.0714618631	-0.0515721744	-0.0409691105	0.0313304867	0.0106498999	0.1342460435	0.0921334212	0.0356911811	0.0566936565	0.1170442467	-0.0100677707	-0.1031866314	0.0827085907	-0.0372702521	0.0918746459	0.0614391003	0.0837608906	0.0631225072	-0.0349735363	-0.1080035523	0.0514955521	0.0751327715	0.0329263076	0.1149697387	-0.0679029148	0.0614982391	-0.0529097821	-0.0591899452	0.0517159565	-0.1511460005	-0.0403311296	-0.1205177741	0.0346223632	-0.0039490129	-0.0334963642	0.0075253719	0.055965032	0.0711384019	0.0181917936	-0.021510406	0.0223877984	-0.0118012587	0.1125037874	0.1059762505	0.0953761056	-0.00279441	-0.01028393	0.0001057592162449	7.808727248100002e-06	-0.0914565	-0.0660724	0.00436556204176	0.00836429139225	-0.102003	-0.0014699999999999	2.1608999999999974e-06	0.010404612009	0.00070779	0.000538074	5.009666841000001e-07	2.895236294760001e-07	-0.000214834	0.0	4.6153647556e-08	0.0	0.000192587	0.000192587	3.7089752569e-08	3.7089752569e-08	0.0	0.0	0.0
