global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
787.8943758561052	n/a	n/a	620777.5475056815	909.9013651554428	n/a	827920.4943117385	n/a	734.797204252564	n/a	539926.9313773843	n/a	761.1787334977196	565.5356428987344	n/a	n/a	n/a	n/a	-0.0310587272	0.07146751	-0.0468439407	0.0615757367	-0.0768977911	0.0266594637	-0.1484268365	0.0409685833	-0.0769990453	0.1282510652	-0.0117668874	0.0482200945	-0.2142556384	0.0446639644	-0.0452630432	0.0584862048	-0.0286090752	0.0266036374	-0.0972757026	0.043253521	-0.0320857515	0.1167840863	-0.130696687	0.0919941739	-0.0758194101	0.1601610238	-0.0573893084	0.1506725698	-0.0361921352	0.07397205	-0.0284826499	0.1294627028	-0.0490547451	0.169579679	-0.0277003364	0.0262112787	-0.048923883	0.0122188962	-0.1128766487	0.0154288756	0.0333445077	-0.0434083055	-0.0994605356	0.049884165	-0.0102744313	-0.0791086904	0.0768334731	-0.0102459284	-0.113915405	0.0855972163	0.0121826021	0.0284571628	-0.0773596086	0.1031592671	0.0999402807	-0.0208894765	-0.0226956325	-0.0276562465	0.031168889	0.184150197	-0.1360122298	-0.143827775	-0.0275271475	0.1406682377	-0.0199235185	0.0480278599	-0.0547740106	0.0552665903	0.079343207	-0.0293035151	0.0360313723	-0.0975906924	0.111553998	-0.0283900009	0.095639779	-0.2339046994	0.0834260046	-0.0164413303	0.1021773327	-0.0734776636	0.1899651418	-0.0798877183	0.0759436204	-0.1334621121	0.1218152039	-0.0510087815	0.0289387839	-0.0069804556	0.0273766954	-0.0384817579	-0.0054957468	-0.0250903687	0.076719866	0.0115177957	-0.05630055	0.0558662871	0.0330017786	0.0747034665	-0.1136380517	0.0351436455	0.0052434269	0.0195836951	-0.1809252744	-0.0287983789	0.1147017419	0.1146833673	0.1146527451	0.0318801	n/a	0.00101634077601	n/a	-0.0236646	n/a	n/a	0.00056001329316	-0.00662801	n/a	4.39305165601e-05	n/a	-0.00122735	n/a	1.5063880225000002e-06	n/a	-0.00245161	n/a	n/a	6.010391592099999e-06	0.000910499	n/a	n/a	8.290084290010001e-07
787.5650395178893	-0.3293363382158532	0.1084624236694268	620258.6914708145	904.9081895831854	-4.993175572257428	818858.8315747182	24.93180229538829	735.8399991528754	1.042794900311378	541460.5043533037	1.087421204115417	761.5169043806139	560.312629574151	1.051065	19.629923	0.14875029	0.0724932999999999	-0.0971809143	0.0612419744	0.0248307276	0.0432984466	-0.0137227878	0.0611557116	0.0246947856	-0.0573088611	-0.0142472054	0.1894358174	0.0258417928	-0.0812331014	-0.008475894	0.0258185159	-0.1338856549	0.1474879375	0.0475240692	0.0066658876	-0.0118613747	-0.0088217738	-0.0053897147	-0.0381333047	-0.0576330842	0.1228722534	-0.0684041402	-0.0043430837	-0.1040070391	0.1490729123	-0.0421226608	-0.0405264423	0.0053465236	0.0413520989	0.0629943437	0.0017425374	-0.0948291989	-0.0920605334	-0.0799435516	-0.0038460081	0.0680047494	0.0734450911	0.0370522807	-0.1681389648	-0.0103302411	-0.0038215778	0.0662576232	-0.1116306692	-0.0022133389	0.0999962662	-0.0406223842	-0.1468813756	0.0217370191	0.0341891164	-0.0527504633	-0.1131354735	0.1031313712	-0.0805654443	-0.0540338768	-0.0794630791	0.0168263962	-0.0058763388	-0.0138338823	-0.0972531339	-0.0425908111	-0.0858515078	0.0278334588	0.1184977984	0.0379735523	0.0594005611	0.1520294278	0.01379311	-0.003153288	0.0151979767	0.0871013032	-0.051974049	0.0079385977	-0.0360979243	0.1528273741	-0.0593704845	0.1402790295	-0.0702522865	-0.0035264632	-0.0617529361	0.0775870688	-0.0846167865	0.0403541147	-0.0180236829	0.0224932589	-0.117625751	-0.0604792896	0.0228705815	0.0625177155	0.0302341056	0.0546316702	0.0375343789	0.0862056445	-0.0059352619	-0.0368880281	0.0406157817	0.0888872407	-0.0695842446	0.1009430026	0.0382497108	-0.0879315696	-0.0444730378	0.1146527451	0.1144874327	0.1142120884	0.0304095	-0.0014706	0.00092473769025	2.162664360000007e-06	-0.045725	-0.0220604	0.00048666124816	0.002090775625	-0.0334823	-0.02685429	0.00112106441329	0.000721152891404	-0.00173138	-0.0005040299999999	2.9976767044e-06	2.540462408999999e-07	-0.00135575	0.00109586	1.2009091395999998e-06	1.8380580625e-06	0.000543089	-0.00036741	1.3499010810000006e-07	2.94945661921e-07
788.249060635578	0.6840211176886442	0.4678848894440219	621336.5815928711	906.658960620858	1.7507710376726209	822030.4708740945	3.0651992263532657	734.9218954452804	-0.9181037075950372	540110.1924048836	0.8429144178997534	760.4699796112081	567.1801564265307	0.978675	18.277935	0.12561071	0.0576276	-0.0904906663	0.0754814001	-0.0367896791	0.1327129176	0.0533846046	0.0332746306	0.0522769188	-0.0022589002	-0.0525022112	-0.0035627309	-0.1132617253	-0.0767008775	-0.1194978769	-0.0551954265	0.0320019095	0.071494341	0.0611132971	0.0366706534	0.0663512788	0.0993143811	-0.0241171247	-0.0684012001	0.0371516551	0.0829926294	0.0020058122	-0.0242361946	0.0894222722	-0.2117048538	0.0100051816	-0.0402969311	0.1005311232	0.0592751956	-0.0475601848	0.0892179019	0.0266314392	-0.094240338	-0.0943728957	-0.094622492	-0.0731663936	0.0599729586	0.1221869154	-0.0015137882	-0.0109994188	0.0915863001	-0.0399166654	-0.0547289037	0.0286407715	0.1416409121	-0.0073207413	0.0761710964	-0.0217856132	-0.0799040583	0.0414765126	-0.076755133	0.0513156748	-0.0551492458	-0.1554694674	-0.056292051	-0.0802808369	-0.006220176	0.0259810029	-0.1076254201	-0.0725047558	-0.0870048452	-0.0407179949	-0.0459158914	-0.0937254558	-0.0256879447	0.1544578803	0.0673472098	0.0362951268	-0.000786227	0.0166047619	-0.074061517	0.0130216196	0.0012555265	-0.0767744813	-0.0037048753	-0.0592977694	0.0617996209	-0.1308179723	0.0117613841	0.1270190062	-0.2187665907	0.0190478908	0.0164181157	-0.0453235439	0.1936630216	-0.0017699614	0.0060630835	-0.0513380517	-0.0192110581	-0.1003039473	-0.1327105708	-0.0056761024	0.0545996035	0.0216413721	0.0144873991	0.0661096683	-0.1492293582	-0.039012057	-0.0377974932	-0.0438961926	-0.0234057246	0.1145547726	0.1140958982	0.1133324686	0.0213262	-0.0090832999999999	0.00045480680644	8.250633888999998e-05	-0.00625874	0.03946626	0.0015575856783876	3.91718263876e-05	-0.0142897	0.0191925999999999	0.00020419552609	0.0003683558947599	-0.00104599	0.00068539	1.0940950800999998e-06	4.697594521000002e-07	-0.00158036	-0.00022461	5.044965210000004e-08	2.4975377296e-06	0.000295718	-0.000247371	6.119241164099998e-08	8.7449135524e-08
786.6904658851079	-1.5585947504700923	2.42921759619293	618881.8891145281	906.1235261542042	-0.5354344666537827	821059.8446501289	0.2866900680808207	733.3893943027651	-1.5325011425152295	537860.0036757768	2.3485597518104844	759.1569403828689	571.9069571125711	1.031835	19.270765	0.08013996	0.0413662	-0.0038509768	0.0686688097	-0.0793990965	0.0925764328	-0.0938661029	0.0083938148	-0.0462952471	0.0467394989	-0.1079100323	0.1847571898	0.0072898407	0.0500704355	0.0062348875	0.0270867213	-0.0384340021	0.0555774375	-0.0102249322	-0.1327321537	-0.0218942765	0.0958620605	-0.1077978966	-0.0372013334	-0.1003776086	0.0691000628	0.0872471268	0.042842688	0.0480863209	0.0345201592	-0.0141984777	0.1140289648	-0.1428674661	0.1222890052	-0.0883457644	-0.0679106436	-0.0454041562	-0.078943046	-0.0426980863	-0.0372516917	0.066381995	-0.0440867018	-0.0615271392	0.136073338	-0.0806004228	0.056052363	0.0189523115	-0.020347375	-0.0861031752	0.0175966775	0.0106988229	0.0645575278	0.033267681	-0.0435812343	-0.0420071179	0.0465471563	0.0844545763	0.0573986192	-0.0654470177	0.0164848591	0.0444543452	-0.0451357394	-0.0362154599	-0.1064183684	0.0149798542	0.0748264236	-0.0197576761	-0.0272641483	0.0819082711	0.0522946751	0.1215111624	0.0389211152	-0.1666841192	-0.058195438	-0.035765823	0.0198369541	0.008343581	-0.1111421094	-0.0089954789	-0.0156946828	0.0413744912	0.1473717396	0.0749794913	-0.0352940592	0.0079737836	0.0611304211	0.0653472318	-0.0234005204	-0.1181780466	0.0986109111	0.0053255349	-0.0469336642	-0.0947674065	-0.0013133057	0.075765216	0.0374919618	-0.067957038	0.008215679	0.0504480524	-0.0636447029	0.0729322384	0.0792927489	-0.0771895519	0.0058871638	0.0807824561	0.0671117109	0.1144078661	0.1135094328	0.1120172664	0.0271083	0.0057820999999999	0.0007348599288899	3.3432680409999984e-05	-0.0404383	-0.03417956	0.0011682423217936	0.00163525610689	-0.0334736	-0.0191838999999999	0.00112048189696	0.0003680220192099	-0.00116709	-0.0001211	1.3620990681e-06	1.4665210000000017e-08	-0.00150766	7.269999999999998e-05	5.285289999999997e-09	2.2730386756000003e-06	0.000521806	0.000226088	5.1115783744e-08	2.72281501636e-07
786.2994318542425	-0.3910340308653985	0.1529076132948414	618266.7965343045	903.248866765686	-2.874659388518239	815858.515313496	8.263666599996057	732.3443347702885	-1.045059532476671	536328.2246701363	1.092149426420358	757.4906024036214	567.4998747905307	1.014823	18.953049	0.10840317	0.0622316	0.0669654368	0.0337992028	-0.0079580362	-0.0023854661	-0.0738226	0.0629459024	0.0343947335	-0.1225498334	-0.0271882563	0.0086325644	-0.1045896609	-0.0442921305	-0.0898929894	-0.0641482761	-0.0973605839	-0.0203667755	-0.1027936987	-0.0716578881	0.1177031184	0.1173319103	-0.0931914385	-0.0776824129	0.0234389077	0.0547900833	0.0201638476	-0.0623934419	-0.048771933	0.0415771076	0.1421083853	0.0141225569	0.1459266112	0.02126193	0.0790443893	0.0168967048	0.0447546403	0.030563973	-0.0397656343	0.021138536	0.0298651001	0.047292979	-0.0535617663	-0.0608472764	-0.0821157104	0.0103554701	-0.0247356401	0.0927769127	-0.0161665606	0.1042826081	0.1159763462	-0.0446364414	-0.1021373574	0.0159035971	0.094186046	-0.0494659025	0.0147513569	-0.0446635675	0.0881655199	-0.0582336037	0.0554974792	-0.1015730291	0.0299381066	0.0079036685	0.0799650391	-0.0557488147	-0.1311105539	-0.0970351054	0.0038582167	-0.0166155433	0.1286292538	0.0349947099	-0.0423391922	0.0817141935	-0.0574906911	-0.0655604962	-0.0143085432	0.0701624913	0.0355831564	-0.033358648	-0.082521191	-0.0196269995	-0.0409477266	0.1264702572	0.0447095067	-0.0425676237	-0.03374076	0.1117295887	0.0435956306	-0.0203363046	-0.0238484318	-0.1219549053	0.016598674	-0.0405378013	0.0281941268	0.0395646951	0.0319379495	-5.14018e-05	-0.0255390741	-0.0218870595	0.0673664719	0.0457649737	0.0027572235	-0.1698499634	-0.0954351518	0.1483581228	0.1142120884	0.1127290384	0.1102715368	0.0248524	-0.0022558999999999	0.00061764178576	5.089084809999991e-06	0.00871394	0.04915224	0.0024159426970176	7.59327503236e-05	0.00108983	0.03456343	1.1877294289e-06	0.0011946306933649	-0.00127046	-0.0001033699999999	1.6140686116e-06	1.0685356899999996e-08	-0.00145864	4.9020000000000096e-05	2.402960400000009e-09	2.1276306496e-06	0.000225564	-0.0002962419999999	8.775932256399997e-08	5.0879118096000014e-08
786.7809090349334	0.4814771806909448	0.2318202755261007	619024.1988218362	904.17043877325	0.9215720075640093	817524.1823514114	0.8492949651255584	732.9859896453669	0.6416548750784159	537268.4610163979	0.4117209787118975	757.7451055603511	564.9817791523311	1.001641	18.706856	0.0825903699999999	0.0464107	0.0857718186	0.0199318323	0.0936752913	-0.0766891509	-0.1437788268	0.0521771316	-0.121154079	-0.043459835	0.0420399	0.0560001608	-0.0184717047	0.0045507842	-0.016351274	-0.0286039748	0.0367076069	-0.0320502754	-0.1538672313	-0.1151665781	-0.0638638012	0.0338789	-0.0592927176	-0.0485017828	-0.0494548289	-0.1046173349	-0.0978160371	-0.0577981878	-0.0118577065	-0.0641750514	0.003857714	0.0306689553	0.0592209697	-0.1446735568	-0.0178463196	-0.026621301	0.0667961888	0.1375686765	-0.193214358	0.1172566121	-0.0107359158	-0.1535911189	-0.0398140682	0.0474394086	0.0184701095	0.1431633591	-0.1257177466	0.0663677198	0.1021280172	-0.0772024722	0.0478651751	-0.0017117327	-0.1060205969	0.080067985	-0.1687836002	0.0559814388	-0.0335680651	-0.0905264114	0.0390261015	0.0427280812	-0.0456065273	0.0234424964	-0.0461517338	0.0215118193	0.147845766	0.107895334	-0.0662776791	-0.0166990526	0.1183839935	-0.0352593092	0.0513271662	-0.035060648	0.0933699175	0.0961177741	-0.0081910002	0.1252266356	0.0512796833	0.0929598534	-0.0700934486	-0.0227378163	-0.025147975	-0.0435478946	0.0841563527	0.0667232095	-0.0048666033	0.0439194614	-0.0095979714	-0.03537792	0.0898855089	-0.0502863776	0.0331007909	0.0683429036	-0.077290716	-0.1485345694	0.0169494314	-0.129348959	-0.0762728532	-0.0065227087	-0.1479971708	-0.0283855498	0.0049461353	0.06864566	0.0143030083	0.0493482767	0.0787218521	0.0789846829	0.1139675232	0.1117560484	0.1081019891	0.0236846	-0.0011678	0.00056096027716	1.36375684e-06	-0.0282331	-0.03694704	0.0013650837647616	0.00079710793561	-0.0206339	-0.02172373	0.00042575782921	0.0004719204451129	-0.00102299	0.0002474699999999	1.0465085401000002e-06	6.124140089999992e-08	-0.00165235	-0.0001937099999999	3.752356409999997e-08	2.7302605225e-06	0.00023942	1.3855999999999996e-05	1.9198873599999992e-10	5.73219364e-08
787.7951360442394	1.014227009305955	1.028656426405702	620621.1763749616	902.729461425265	-1.44097734798504	814920.4805251489	2.0764157174059994	734.5373991022261	1.5514094568592327	539545.190679863	2.4068713028322595	759.099729838154	564.4505996230321	0.984958	18.395277	0.09295815	0.0511217	0.0601211973	0.0203104407	0.1335746951	-0.0946038506	-0.0693769278	0.0996796191	0.0620767137	-0.1743341731	0.0730249917	-0.0363005916	-0.0883397985	0.0553499546	0.0292554419	-0.0743324344	-0.0110783331	0.0448701215	-0.1545518461	0.0634447247	0.0453759987	0.0025684659	-0.0239760764	-0.0693120685	-0.0324512472	-0.1442879124	-0.146724837	-0.0025881861	0.0168921671	0.0505465525	-0.0160666964	0.0016485529	0.0911927991	-0.1221445695	-0.0057260621	0.2007514436	-0.0205716725	0.0878632075	-0.0353854027	0.1498507639	-0.0886322663	0.2084654935	-0.2090090961	0.1253416829	0.1457747734	-0.0748741441	-0.0824014397	0.1286799348	0.0011221712	0.165628959	-0.0013632327	-0.0051440271	0.0411113717	0.0308801604	-0.0074935058	0.0528728465	-0.133747732	-0.0106834022	-0.1552454234	-0.0455629187	-0.0727163476	-0.035713699	0.0223081349	0.0571965331	0.1348936866	-0.0740124381	-0.0857976712	0.0356492254	-0.0387553075	-0.0530978413	0.0366651207	-0.1115648082	0.1594373542	0.0996612893	0.1009098536	0.1021349464	0.0679632128	-0.0368842345	-0.143169849	0.0984406278	-0.0069368875	-0.0205351181	-0.0274411595	0.1633530184	-0.0433813485	-0.0494735922	0.1949897355	-0.0073264981	0.2686052306	0.0255225893	-0.0656584675	-0.2010715182	-0.0387489821	-0.0267533513	0.0013663211	0.0329805454	-0.1517484377	0.0590937588	-0.1174561538	-0.1574855254	-0.0173293817	-0.0260202329	0.0435494645	-0.1038252027	0.0574966731	-0.0033115958	0.1136742748	0.110592125	0.105516962	0.0197772	-0.0039073999999999	0.00039113763984	1.526777475999999e-05	0.0160452	0.0442783	0.00196056785089	0.0002574484430399	-0.0108036	0.0098303	0.00011671777296	9.663479809e-05	-0.00132058	-0.0002975899999999	1.7439315364e-06	8.855980809999995e-08	-0.00135221	0.0003001399999999	9.008401959999996e-08	1.8284718841e-06	0.000340533	0.000101113	1.0223838769e-08	1.1596272408900001e-07
788.5628557366878	0.7677196924483951	0.5893935261730584	621831.3774476002	907.3228335989904	4.59337217372547	823234.7243701012	21.09906792635545	735.6059234981024	1.0685243958762385	541116.074685496	1.1417443845826805	761.0507271847116	567.7816017014943	1.077596	20.125406	0.07874625	0.0470107	-0.0271712833	0.0380559288	0.1221556009	-0.0955326903	0.0145524227	0.0669244338	-0.0574101136	0.0714619902	0.074974105	-0.0148947674	-0.0640205722	0.0804373916	-0.0014046363	0.0655805508	-0.1829268907	0.1130970235	-0.0238442073	0.0525056162	-0.0488953752	-0.0211940237	0.0442585775	-0.0001679105	0.0546359993	-0.0811267522	-0.080093042	-0.0674024807	0.0093939629	-0.0564413148	-0.0230589438	-0.0356262491	-0.0061870088	0.0157647076	-0.0736815712	-0.0347282167	-0.0323591517	-0.1160324365	0.1659757873	-0.0570529146	-0.1295227465	0.0538880013	0.0843556243	-0.0281250614	-0.0878583383	-0.0389883131	-0.0001046931	-0.0531228509	-0.0444235922	0.0653802846	0.0030056275	-0.0103026479	-0.0344188084	0.0067859361	-0.004948421	-0.0513572611	-0.0418182202	-0.0968680943	-0.0893735603	-0.0874353294	-0.046500636	-0.0466515244	0.130087514	-0.0210196619	0.057218817	-0.0049811248	0.1154395809	0.1241012906	-0.0544946787	0.0091126411	-0.0137696669	0.0067673508	-0.0673656844	0.0525013759	0.0255079597	0.0542965599	-0.0375536485	0.0461866834	-0.0056016264	-0.0483700792	-0.062437252	0.0494979183	-0.1580228353	-0.0035757571	0.0680602865	-0.0199635642	0.1777606749	0.066418436	-0.0658629299	-0.047335096	0.0391338735	0.0855638287	0.061335887	0.1567917932	0.0009751048	0.0551070772	-0.0702019413	0.0562415978	-0.0859308373	0.0613195233	-0.0741695338	-0.117933404	-0.0172996818	0.036996967	-0.0215641888	-0.0525702782	0.1133324686	0.1092392569	0.1025263906	0.0204502	0.000673	0.00041821068004	4.52929e-07	-0.022976	-0.0390212	0.0015226540494399	0.000527896576	-0.0195983	-0.0087946999999999	0.0003840933628899	7.734674808999998e-05	-0.000894791	0.000425789	8.006509336810001e-07	1.81296272521e-07	-0.00152153	-0.00016932	2.8669262400000054e-08	2.3150535409e-06	0.000330495	-1.0038000000000028e-05	1.0076144400000056e-10	1.09226945025e-07
787.7347596593899	-0.8280960772979142	0.6857431132361932	620526.0515756367	906.7339687115616	-0.5888648874288265	822166.4900154192	0.3467618556465645	736.017186156267	0.4112626581646736	541721.298317389	0.1691369740006732	762.0278680278734	566.6834273993056	1.0192	19.034805	0.06621272	0.036033	-0.1018167215	0.0382824783	0.0759621713	-0.0064868838	0.2020958666	0.1018716547	0.0744410413	0.0368553731	-0.1106443064	0.0900685924	-0.0765466403	-0.1419981036	0.1156092749	0.060337557	0.0568846848	0.1540993908	0.0951923237	0.0961555473	0.0631891432	-0.0725354832	0.0660399762	-0.0870060197	-0.148216705	0.0771497311	-0.1064169509	-0.0285983003	0.0160739061	-0.1235249128	0.0140919791	0.1380191357	-0.0040501666	-0.0400616263	-0.0814591235	-0.1310565982	-0.090716377	0.0690391782	-0.0325006023	-0.0588646427	0.0162114556	0.0041669589	0.0967114648	-0.0465720117	0.0633377683	-0.0603115191	0.015285404	0.0096911794	-0.0694701052	-0.010818666	-0.0585778269	0.0692734093	-0.0693088682	0.0669175355	0.1107859339	0.0478480785	-0.0610014501	0.1318996572	-0.1123662339	0.0058228154	-0.0474586965	-0.0410961841	-0.0266474399	-0.054219505	-0.0735010295	-0.1529565275	0.101777174	0.1402352655	-0.1019711017	0.0262400865	0.1190207968	0.0007100522	0.030629368	-0.0277173279	-0.0978347753	0.1033169562	0.0662623776	0.0446016662	-0.0653931404	-0.0291057701	-0.0325947571	0.0117600851	0.0922908962	0.0157947672	0.023546711	0.0294675765	-0.1693723841	-0.0847360386	-0.0780886404	-0.0385079228	-0.0524841352	0.125904594	-0.0260462544	0.065811319	0.0172396764	-0.1038155427	-0.0973868696	-0.1080946417	-0.0260888489	0.0015925123	-0.1055373253	-0.0695088903	-0.023107657	-0.1052025266	0.0399630797	0.0731668726	0.1129422506	0.1076997553	0.099141769	0.0185276	-0.0019226	0.00034327196176	3.69639076e-06	0.00711576	0.03009176	0.0009055140198975	5.06340403776e-05	-0.00345434	0.01614396	1.19324648356e-05	0.0002606274444815	-0.00103197	-0.0001371789999999	1.0649620809e-06	1.881807804099996e-08	-0.00141589	0.00010564	1.1159809600000034e-08	2.0047444921e-06	0.000212226	-0.0001182689999999	1.3987556360999994e-08	4.5039875076000006e-08
788.475658279821	0.7408986204311532	0.548930765756786	621693.8636997971	906.1285609438544	-0.60540776770722	821068.9689581804	0.3665185652002393	735.2402263304928	-0.77695982577427	540578.1904145143	0.603666570867184	761.3410595025268	562.8743231710779	1.022379	19.094162	0.07024356	0.0435994	-0.0914450299	0.0406781126	-0.0136648851	0.0556897299	0.0101152845	-0.0025622057	-0.1202541397	0.0132739893	-0.0787702347	0.0251874412	-0.0226898611	0.1234159374	0.1967713504	0.0226847421	-0.0711175817	0.0993235259	0.0624506471	0.0135586927	-0.1060964673	0.0064167355	-0.0179192781	0.0113613567	-0.1176225716	-0.0659567958	-0.0239897049	0.0569910978	-0.0180265683	-0.1964327732	0.028311732	0.0019276931	-0.1650380441	-0.0194560324	-0.0172494319	0.0117629802	0.0096191067	0.0315112569	0.1437111582	0.0746697012	0.0334110536	0.0482139508	0.0373496514	-0.1242267751	0.139066039	-0.0120999749	-0.1097781144	-0.091688808	0.0679845702	0.0323944443	-0.0527413237	0.111223905	-0.08071641	-0.0119581869	-0.0398182822	0.1522836454	0.0543072542	-0.0398901243	-0.0010487796	0.0734522174	0.1744311646	0.0766285458	0.1009459274	-0.1367360347	-0.0694170715	0.0894667687	0.0726122244	0.0743463346	0.0017015918	0.0433200837	0.0477184059	-0.0245186501	0.1016125757	-0.0332780633	-0.1439588603	0.0663529493	0.0132349055	-0.0283431076	-0.0858877121	0.1368742505	-0.0838915131	-0.0340275216	-0.0625478895	-0.0521921272	-0.12433563	0.0734617322	0.1033160683	0.0268706478	0.0334128978	0.0350741702	0.0906683206	-0.0084417921	0.1126255454	0.1109009488	0.0086613283	-0.1291269148	-0.0957339512	-0.0564928809	0.0204548282	0.1150811325	0.031234282	-0.1373579466	0.0293251801	0.1032480036	0.0955675454	-0.0353575431	0.1125037874	0.1059762505	0.0953761056	0.0223401	0.0038125	0.00049908006801	1.453515625e-05	-0.0195302	-0.02664596	0.0007100071843216	0.00038142871204	-0.00702279	-0.00356845	4.93195793841e-05	1.27338354025e-05	-0.000381373	0.0006505969999999	1.45445365129e-07	4.2327645640900005e-07	-0.00136319	5.2699999999999926e-05	2.777289999999992e-09	1.8582869761e-06	0.000233262	2.1035999999999996e-05	4.425132959999997e-10	5.441116064400001e-08
