global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13
706.8611054442613	n/a	n/a	499652.6223898831	759.733627465048	n/a	n/a	577195.1847012003	676.0976806669793	n/a	n/a	457108.0738032687	681.9222503009474	520.3388570096754	n/a	n/a	n/a	n/a	-0.0380572978	-0.1360704474	-0.0477446442	-0.0268544176	-0.1451628359	0.0737229496	-0.0378758888	0.1033276899	-0.0491122045	0.0277102848	-0.0425575088	0.0644541007	0.1131723113	-0.0041290803	0.0749793367	-0.0331890114	0.0390731262	-0.0930893226	0.0822988644	-0.0144338239	0.0625953349	0.0283307337	-0.0069827775	0.0102214481	-0.1202827528	0.0183891299	-0.1483001457	0.0017123211	-0.0168859626	0.0225963861	-0.0751893744	0.1593535627	-0.0010244255	0.0231009301	-0.1122250622	0.0064729238	-0.0996393943	-0.0694759425	0.016928748	-0.1022957254	0.2304401001	0.0849588485	-0.0044684001	-0.0267976952	-0.050012381	0.0564513363	0.0823840988	-0.1159635019	-0.0663239701	0.1224749143	0.0846046924	-0.0867748472	-0.0519149345	-0.0599856491	0.0351677102	-0.1205325947	0.0912045228	-0.0409836341	-0.007807926	0.0432568335	-0.0155017049	0.0496909447	-0.0190347047	0.0699258869	-0.0402947574	0.0158320022	-0.0003429157	-0.055255008	0.0989090263	-0.1473877795	0.1703246391	-0.1254557353	0.1051544564	-0.0789411919	0.0525241909	-0.0464360938	0.119304515	-0.0608167636	0.1327417371	-0.0841652039	0.0522836342	-0.0851905332	0.0535235275	0.0437809194	-0.0576635679	-0.1295596213	0.2510389126	-0.0148933795	-0.009842225	0.1147017419	0.1146833673	0.1146527451	-0.000667126	n/a	4.45057099876e-07	n/a	-0.0571123	n/a	0.0032618148112899	n/a	-0.26593	n/a	n/a	0.0707187649	0.00249843	n/a	n/a	6.242152464899999e-06	-0.00217909	n/a	4.748433228099999e-06	n/a	-0.000453611	n/a	n/a	2.0576293932100003e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
707.8242722540607	0.963166809799418	0.927690303499188	501015.20039199066	761.1997001046049	1.4660726395568418	2.149368984457165	579424.9834393404	675.6417489480746	-0.4559317189047078	0.2078737323034015	456491.772921613	682.1347736180956	530.9205104975842	0.86624	21.170811	0.1081255739999999	0.0568093	-0.0347688234	-0.1505783709	-0.0539149908	-0.0269975352	-0.0738662644	0.0507475479	-0.0762786494	0.1490003686	0.0961687738	0.0133436083	-0.0497424825	0.0504180213	0.1056168993	-0.0374092949	0.0050905404	-0.0231116126	0.0331100032	-0.1049249165	0.0088174166	0.075985019	0.0585492096	-0.0318201615	0.102316384	-0.1325776676	0.1397549485	0.007179995	0.0754146799	-0.084731816	-0.1155078738	-0.1273372231	-0.0792607721	0.0835514635	0.172582231	0.1838224712	0.1665164881	-0.0330961346	-0.1466475049	-0.044841162	-0.123230176	-0.1180285246	-0.0373588543	0.0921115406	-0.0017995383	-0.1204012047	-0.0398719446	0.1120742554	-0.1207118878	-0.0396765043	0.0199172052	0.0818848788	0.1051285235	-0.0321638606	-0.0600957447	-0.0354276257	0.0336475994	-0.1158419426	0.03297878	-0.0277964246	0.0398387417	0.1064902019	-0.0348216094	0.0025949538	-0.0794388787	-0.0191147942	-0.1080753792	0.0386054455	0.0674760571	-0.0280926015	0.000637504	-0.0551069817	-0.0026652082	-0.2277011485	0.0538107509	-0.0303224439	-0.1431650578	0.0727227425	0.0911638976	-0.1977714185	-0.0186168878	-0.0168446096	-0.0426222966	0.1080873512	0.0234868019	0.0159957551	-0.0470915548	-0.0403674609	-0.0141698366	-0.007326803	0.0948668045	0.1146527451	0.1144874327	0.1142120884	-0.0202137	-0.019546574	0.00040859366769	0.0003820685551374	-0.0228628	0.0342495	0.0005227076238399	0.00117302825025	-0.229657	0.036273	0.001315730529	0.052742337649	0.00214157	-0.0003568599999999	1.2734905959999977e-07	4.5863220649000005e-06	-0.00217482	4.269999999999795e-06	4.7298420324e-06	1.8232899999998247e-11	-0.000453611	0.0	0.0	2.0576293932100003e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
706.8738851149931	-0.9503871390676296	0.9032357141051538	499670.6894575645	758.2068353761786	-2.992864728426298	8.957239282658218	574877.6052111596	675.9091422378577	0.2673932897831719	0.0714991714210673	456853.1685607166	681.3506638326769	531.1139016468424	0.944364	23.080156	0.09508401	0.0461207	-0.0292609031	-0.1587683363	-0.0444488337	-0.1605504069	-0.0339104552	0.0382358248	-0.0212399855	0.070540667	0.0706430139	-0.1372730556	-0.0417041055	0.0561288528	0.092820447	-0.0890813379	0.0169748132	0.0874182807	-0.113668831	-0.0196298043	0.1596983039	0.1251462362	0.0444764505	-0.0148543757	0.0635645183	-0.05222423	-0.0023389516	-0.0877696933	0.0229414948	-0.0570295601	-0.1011098308	0.0869809705	0.1135687609	-0.1596042193	0.1254031551	0.0218871678	-0.146935988	-0.0589178673	-0.0322135782	-0.0787763843	-0.106608577	-0.0377852102	-0.0672870293	-0.1284960847	0.0740412007	0.0673238067	-0.043706233	-0.0334151777	0.128722715	0.0132616827	0.0301034269	0.0187371333	-0.001241881	-0.026052218	-0.0419999802	0.0488605496	0.143773912	-0.0702069018	0.0657545157	0.0357589696	0.1095354993	0.0346745726	-0.0686799666	0.0396886599	-0.0893889817	0.0878473254	-0.0478465996	-0.0139344061	-0.0543820469	-0.0866903316	0.0270341253	-0.0406245501	-0.1148767832	0.1040104384	-0.0209081602	-0.0302076567	-0.0686454715	0.140634816	-0.0366396267	-0.0893716068	-0.0189502735	0.023166729	-0.2579460049	0.1394658797	0.0674173893	-0.029044433	0.0929424477	-0.0026034049	0.0239779177	-0.0244958929	0.0971612687	0.1145547726	0.1140958982	0.1133324686	-0.00800209	0.01221161	6.40334443681e-05	0.0001491234187921	-0.0600045	-0.0371417	0.00360054002025	0.00137950587889	-0.250248	-0.020591	0.000423989281	0.062624061504	0.00236471	0.0002231399999999	4.9791459599999874e-08	5.5918533841e-06	-0.00204639	0.00012843	4.1877120321e-06	1.6494264900000032e-08	-0.000604835	-0.000151224	2.2868698176e-08	3.65825377225e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
706.3468807662811	-0.527004348712012	0.2777335835613719	498925.9159682549	755.1799759476313	-3.0268594285472545	9.161878000185412	570296.796072265	675.2685901980524	-0.6405520398053568	0.4103069156988034	455987.6689080652	681.0008590677054	529.0825680781556	0.909367	22.224838	0.0442178889999999	0.0197652	-0.0269643777	-0.1498642068	-0.0679781712	-0.0195735966	-0.1070795198	0.0004398125	-0.1318854529	0.0428261874	0.115600202	-0.0269049363	-0.0456520967	0.0589721024	0.1007076657	-0.0522999886	0.1298726834	0.033988503	0.0456982576	-0.0613291116	0.0598029244	0.0585281983	-0.0230189598	-0.0507703844	-0.2613185578	-0.1921219981	0.0067138067	0.046014188	-0.0317884055	-0.0586832067	0.0292354324	0.0347684768	-0.029124351	-0.0102203438	-0.1497445302	0.0628178391	0.024479076	-0.0646590522	-0.0215441367	0.0242261826	0.1464155863	0.06914708	-0.0506463481	-0.0704805386	-0.1431597814	0.0327912857	-0.0670746083	0.0025642642	-0.0037549129	0.1022934746	0.0541668312	0.0217329102	-0.0499139977	0.0192973956	-0.0630962057	-0.0526712053	0.0419512635	-0.1072649652	0.1131290142	-0.0549372604	0.0428228758	0.0926255833	0.0086541839	0.0402818116	-0.084774619	0.0502835294	0.1448584541	0.0052686827	-0.0034623177	-0.0387854799	-0.0298543284	-0.044658084	-0.0118999547	0.0374105552	0.1933472443	0.0871919114	0.0795349997	0.0433697831	-0.0981631137	-0.001749548	0.1155081006	-0.0848378946	0.0407422482	0.1417116496	-0.1142227268	0.0698707036	0.0202495278	0.0324884733	0.0566768362	-0.0277098179	-0.1815949002	0.1144078661	0.1135094328	0.1120172664	-0.000700301	0.0073017889999999	4.90421490601e-07	5.331612260052099e-05	-0.0519701	0.0080344	0.00270089129401	6.455158336000006e-05	-0.252507	-0.0022589999999999	5.103080999999799e-06	0.0637597850489999	0.00211191	-0.0002528	6.390784000000003e-08	4.460163848099999e-06	-0.00217482	-0.00012843	4.7298420324e-06	1.6494264900000032e-08	-0.000453611	0.000151224	2.2868698176e-08	2.0576293932100003e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
705.3748202360111	-0.972060530269914	0.9449016745086266	497553.637022985	756.120461853088	0.9404859054567396	0.8845137383627834	571718.1528329272	675.09506727349	-0.1735229245623486	0.0301102053486705	455753.349856998	680.6385652712642	529.6063933625946	0.870981	21.286676	0.0960047099999999	0.0539399	-0.0342501525	-0.1493345497	-0.0639495754	-0.0824659942	-0.0741569793	0.0143549443	-0.0290269828	0.0331337736	0.046979962	-0.0646839935	-0.0403035591	0.0902558418	0.0663879274	-0.164250281	0.0792397738	-0.0891309257	-0.0821967425	-0.0965487627	-0.1226639444	-0.0715489902	0.0256456113	-0.0682944687	0.043038873	0.0129896818	-0.0102485272	0.0116958104	0.01265516	-0.1734646167	-0.0915301949	0.0074310209	0.0596296898	-0.0484694796	0.1640133085	-0.0162065381	-0.1716995143	-0.0242307648	0.0271229651	0.1551911267	0.108281933	0.1170548558	-0.0740487364	-0.0452045398	-0.0386934704	-0.1267514954	0.0168710113	-0.024865035	-0.1931729117	-0.0413008682	0.0140011972	-0.0745756235	0.1360594124	-0.0299224942	-0.0506234425	-0.0119418982	0.1076291376	-0.0696075581	0.0724606635	-0.0951017663	-0.0330814099	0.031721176	0.0399695334	-0.0536683363	-0.1499990237	-0.0353476342	-0.0840043734	0.0015268974	0.0107004822	-0.000443154	0.0034252325	-0.0336724049	-0.0962670005	0.0718552395	-0.1003896596	-0.0470126296	-0.0383352523	0.1342723306	0.0553243761	-0.0030238558	0.1247572071	0.0257938996	-0.115390153	0.0782714814	0.0737746662	0.0746028645	-0.0927792773	0.0804942201	0.0206760338	0.2351610527	-0.0511303721	0.1142120884	0.1127290384	0.1102715368	-0.000605291	9.500999999999996e-05	3.66377194681e-07	9.026900099999997e-09	-0.0243654	0.0276047	0.00059367271716	0.00076201946209	-0.210932	0.0415749999999999	0.0017284806249999	0.044492308624	0.00194316	-0.0001687499999999	2.8476562499999952e-08	3.7758707856e-06	-0.00180897	0.00036585	3.2723724609e-06	1.3384622250000006e-07	-0.000453611	0.0	0.0	2.0576293932100003e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
705.3110941972999	-0.0637260387112519	0.0040610080098279	497463.7395977925	754.6322721797175	-1.4881896733705844	2.214708503926847	569469.8662151232	674.3231295687916	-0.7719377046984164	0.5958878199350595	454711.6830714493	679.7678294377793	522.4611272998201	0.856082	20.92255	0.0850856609999999	0.0500283	-0.0263728626	-0.1323761714	-0.0424976933	-0.1063195282	-0.050889895	0.0121054742	-0.0593124346	-0.0025262173	0.0089649658	-0.0689047899	-0.0481521102	0.084678281	0.022512732	-0.1118600075	0.1393690347	0.0379120086	-0.0283337403	-0.1255817937	0.1166507085	-0.0326201548	-0.0122958513	0.1172993626	-0.1704621792	0.0322954805	-0.010739408	-0.0078557601	-0.0227681253	0.0370237879	0.033961269	0.1766694897	0.0044285357	0.0810189238	-0.0711315957	-0.0706172609	-0.0190371442	-0.1267450182	-0.0453463355	0.0843519266	0.0392888946	-0.1047345031	0.0427022083	-0.1101512331	0.047438437	-0.1254162677	0.0646698835	0.087815245	-0.0218956494	0.0272615625	-0.0479082399	0.0162069059	0.047806474	0.0317157006	-0.0473785685	-0.0022511025	0.1377876379	-0.0248330206	0.1002468793	-0.0726393773	0.0278662571	0.0174060707	-0.0249997798	0.0564862796	-0.0736472957	0.1351353573	0.0010627149	-0.1011116339	-0.0404897265	-0.0069575119	0.0369353954	0.0959833161	-0.0277799376	0.1017761507	0.090896857	0.0151681019	-0.0021900032	-0.00808297	-0.0760199664	-0.0632118818	0.0242540864	-0.0428076094	0.0069879066	-0.0800950071	0.0558970087	0.0814158313	-0.1430087609	-0.0677233637	-0.0553774232	-0.0184166535	-0.0521115631	0.1139675232	0.1117560484	0.1081019891	0.00320167	0.003806961	1.02506907889e-05	1.4492952055521e-05	-0.0706421	-0.0462767	0.00499030629241	0.00214153296289	-0.216215	-0.0052829999999999	2.7910088999999813e-05	0.0467489262249999	0.00232602	0.0003828599999999	1.465817795999999e-07	5.410369040399999e-06	-0.00159745	0.0002115199999999	2.5518465025e-06	4.474071039999999e-08	-0.000453611	0.0	0.0	2.0576293932100003e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
705.3368875467171	0.0257933494171993	0.0006652968741577	497500.12493409024	755.8749218202861	1.2426496405686294	1.5441781292053438	571346.8974368236	675.1123351037331	0.7892055349415159	0.6228453763823243	455776.6650092152	680.5918258052264	522.6289314214504	0.849121	20.752426	0.1078905309999999	0.0572269	-0.0377282439	-0.125115874	-0.0493260301	-0.041522115	-0.0872668261	0.0209810031	-0.0927745248	0.0525680178	0.0317084019	0.0080811658	-0.0321221879	0.0714519046	0.054561003	-0.0210152073	0.1460056092	0.0114432328	-0.009229786	-0.1158572899	0.0572144756	-0.0272003265	-0.0269535854	-0.0034379064	-0.1038578386	-0.0216270851	-0.0561718076	0.0066561135	0.0265300517	-0.0582600549	0.1223762845	-0.0431231622	-0.1338826543	0.0090494668	-0.0911913841	-0.0401668711	0.1214119016	0.0007357111	0.0471262871	0.0187996831	-0.0731415936	0.0853174094	-0.0312095963	0.1141092136	0.1190047345	-0.0070189126	0.1766510889	-0.0058804021	0.0206329353	0.0221641941	0.0830673322	0.0459759109	-0.0427417727	0.1217484716	-0.042297067	-0.0476537423	0.0553193949	-0.0678576413	0.1403840116	-0.0675848133	-0.0282836134	0.0503776325	-0.034461358	0.0402031851	-0.0784115036	0.0775235559	0.0896445509	-0.034775844	0.0202341675	0.0662347441	-0.0309673245	-0.0627076351	0.0141213681	-0.0455761635	0.0350669088	0.0108083133	0.0721553467	0.0685540793	-0.1174672954	-0.0336562271	-0.0880733356	-0.0227717292	0.074895932	-0.1829091873	0.0191029604	0.0904669372	-0.0836419249	0.0301040843	-0.0962014002	-0.0397941965	0.0666021966	0.1136742748	0.110592125	0.105516962	-0.000574811	-0.003776481	3.304076857210001e-07	1.4261808743361003e-05	-0.0279203	0.0427218	0.0007795431520899	0.00182515219524	-0.190658	0.0255569999999999	0.0006531602489999	0.036350472964	0.00176029	-0.0005657299999999	3.200504328999997e-07	3.0986208841e-06	-0.00166359	-6.61399999999999e-05	2.7675316881e-06	4.374499599999987e-09	-0.000368776	8.483499999999996e-05	7.196977224999992e-09	1.3599573817600002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
704.2756891321947	-1.061198414522437	1.1261420749849338	496004.24630262767	755.092429355452	-0.7824924648340357	0.6122944575220446	570164.5768699184	675.1011673222173	-0.0111677815158373	0.0001247193439854	455761.5861198204	681.0117117982994	529.6051884333158	0.933388	22.811914	0.0788836509999999	0.0389061	-0.0278777741	-0.1160798923	-0.0316615108	-0.0849661811	-0.0368616209	-0.001878353	-0.0128509009	-0.0268304578	0.0306288864	-0.0268925711	-0.0480581229	0.0620708743	0.0432428399	-0.0842181318	-0.0283927861	0.0005550033	-0.0179430711	-0.1744805569	-0.1617957868	0.0556581626	0.0194919228	0.1132368421	0.1011959358	-0.0810177023	-0.137606063	-0.1693575678	-0.0389938996	0.143077633	0.0875318268	0.0350371788	0.0190534642	-0.0674292178	-0.0901274616	0.0904800459	0.0699725224	0.0856164565	-0.0062943569	0.0253127304	-0.270453779	-0.0016306589	-0.0354378081	-0.0313865564	-0.0749110242	0.0960840293	0.1431031829	-0.2256992793	-0.0403936589	-0.0243022314	-0.0705592948	0.04930206	-0.0744405415	-0.0157387484	-0.0380616124	-0.0047538314	0.092980459	-0.0451781101	-0.0158283493	-0.0583427595	-0.0141352799	-0.0368584668	-0.0168315777	-0.0697962766	-0.188365262	-0.0563378928	0.018593266	-0.0128099255	0.0533818101	-0.0380911232	0.0772982462	-0.0298703792	-0.0973199494	-0.0458280763	0.1105782204	-0.1953218797	0.1309810974	-0.1886281982	-0.0756380597	0.0114755015	-0.109117792	0.0347808325	-0.0010931765	-0.0705206697	-0.0106846646	-0.2696482408	0.0929886519	0.0559544013	-0.1237519803	-0.1019449643	0.0039612614	0.1133324686	0.1092392569	0.1025263906	0.00400029	0.004575101	1.60023200841e-05	2.0931549160201e-05	-0.0284757	-0.0005554	0.00081086549049	3.084691600000012e-07	-0.161888	0.0287699999999999	0.0008277128999999	0.026207724544	0.00218463	0.0004243399999999	1.8006443559999984e-07	4.772608236899999e-06	-0.00129373	0.0003698599999999	1.6737373129000002e-06	1.3679641959999988e-07	-0.000263313	0.000105463	1.1122444369000008e-08	6.9333735969e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
702.6307358946141	-1.6449532375805802	2.7058711538268327	493689.9510238069	752.7749533077435	-2.31747604770851	5.370695231702657	566670.1303274755	675.0829610229392	-0.0182062992780629	0.0003314693334023	455737.0042634993	680.7533860421108	521.2145925217362	0.902699	22.061874	0.03615156	0.0186151	-0.0345842109	-0.0761481705	-0.0350752078	-0.0473531098	-0.0610407621	-0.0339512802	-0.0447151622	-0.0452067564	-0.0509568694	-0.025940376	-0.0261763228	0.0732441657	0.0597557085	-0.0202706337	0.0823902684	0.041859681	-0.1535078378	-0.0293734104	0.0925494678	-0.0198882704	0.1339236809	0.0450453404	-0.0203030304	0.0027568119	0.0339841321	-0.1482835298	-0.0394792693	0.0026309732	-0.0129458719	0.0686532864	0.0712833939	-0.0986085299	-0.0928623165	-0.0760168093	0.1267908977	0.0694063046	0.0789371854	-0.1300397471	0.0552839926	-0.0080381115	0.1065080151	-0.1416287328	-0.0643543018	0.0164107467	0.022289239	0.0446130919	0.1101891438	0.0367020854	0.0208049888	0.0662218123	-0.0069625791	0.1441085401	-0.0242978667	-0.0222767981	0.0751227175	-0.0485460224	0.0852859662	0.0010246902	-0.0528177023	-0.0322542921	-0.023544798	0.0879917112	-0.0440894482	0.0399648518	0.079103675	0.0427448139	-0.0361354622	-0.0375748248	-7.37954e-05	0.1077108454	-0.0190118283	-0.0166242625	0.0589406234	-0.0750776675	-0.0713062866	0.0482759684	-0.0816176083	0.2467568382	-0.0984776069	0.0299791093	-0.0510636249	0.0521833598	-0.0473023856	-0.0216118534	-0.0538502106	-0.120740075	-0.1290923697	-0.0603661003	-0.0112708614	0.1129422506	0.1076997553	0.099141769	0.0071974	0.0031971099999999	5.180256675999999e-05	1.0221512352099997e-05	-0.0436777	-0.015202	0.00190774147729	0.000231100804	-0.169798	-0.00791	6.256810000000001e-05	0.028831360804	0.00228818	0.00010355	1.0722602499999998e-08	5.235767712399999e-06	-0.00129373	0.0	1.6737373129000002e-06	0.0	-0.000356612	-9.329900000000004e-05	8.704703401000006e-09	1.27172118544e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
702.4206931918372	-0.2100427027768319	0.0441179369897965	493394.83022410114	754.3099368906181	1.534983582874588	2.356174599694508	568983.4808919283	675.7529340669903	0.6699730440510621	0.4488638797550463	456642.02790014615	681.582808774855	512.766797908507	0.842101	20.580873	0.16381434	0.0798693	-0.0333246051	-0.0621252131	-0.0282620789	-0.0026746697	-0.0464545251	-0.0065783148	-0.055922984	-0.0659111923	-0.016416562	0.059534024	-0.0057377706	0.0164606835	0.0889510452	0.0316394785	0.0319072979	-0.0513586638	-0.0133477296	0.0142699532	-0.1036146135	-0.0214677448	0.0891729436	-0.0898099717	0.0420058033	0.1145740725	-0.0418368646	-0.0886908979	-0.0373868347	-0.0512093615	-0.1443285064	-0.0912916226	-0.0637619073	-0.0800371006	-0.0369296148	-0.0689667838	-0.1070967294	0.1237183543	0.0871325783	0.1054518262	0.0128492858	0.1076039045	-0.0698445471	0.0772907601	0.1328665972	0.0955929637	-0.1180222688	-0.0320459233	-0.0088851914	0.03032886	-0.0262629753	0.1486599242	-0.1120404656	-0.0370103988	-0.0134340856	-0.025038287	-0.0032826948	-0.0765606347	-0.01300354	0.0207695526	-0.1403363689	0.0027731438	0.1183122698	-0.0110180078	-0.0131620233	-0.0439174598	0.0436442137	-0.0583572002	0.0568147929	-0.0427017665	-0.0233067704	0.1083081055	-0.0385738902	-0.0881185938	-0.0177385029	-0.0337746071	0.014514371	0.0688187468	0.0663191732	0.1137038101	0.046705489	0.1143422003	-0.1137483892	-0.0300143011	-0.0198894454	-0.0496936611	-0.0310524639	-0.0314185137	-0.114962197	0.0950629645	0.0897978594	0.1125037874	0.1059762505	0.0953761056	-0.00317585	-0.01037325	1.00860232225e-05	0.0001076043155625	0.00359213	0.04726983	1.2903397936899998e-05	0.0022344368282288	-0.115883	0.053915	0.002906827225	0.013428869689	0.00177673	-0.0005114499999999	2.6158110249999986e-07	3.1567694929e-06	-0.00154373	-0.00025	2.3831023129000005e-06	6.25e-08	-7.293679999999998e-05	0.0002836752	8.047161909504001e-08	5.319776794239997e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
