global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
774.176219996999	n/a	599348.8196088417	n/a	897.8276585324651	n/a	n/a	806094.5044258888	723.2926524352276	n/a	523152.261066787	n/a	738.652043433984	580.6399793139911	n/a	n/a	n/a	n/a	-0.1698442794	-0.1187107271	-0.0035857583	0.0819544976	-0.2572664078	0.1836257327	-0.0141432901	0.2391267159	-0.3298188363	0.0242974679	-0.0566379987	0.0202455992	-0.1000494797	0.0304857487	-0.0488974214	0.0395271272	-0.2424827938	-0.2934700195	0.2466970625	-0.0611699877	0.0651395584	-0.0211125339	0.0114966242	-0.1275047846	0.0578427389	-0.0551242967	0.0795883965	-0.1104878154	0.0674559584	-0.0204807935	0.1507567992	-0.0449232554	0.070040024	-0.0144224142	0.0704746399	-0.0012397643	0.002164945	-0.0464654381	0.0739059735	-0.0520424635	0.0532354166	-0.0710465998	0.0273447844	0.0529089244	-0.1625527927	0.015338358	-0.0041966174	-0.0061401968	-0.0113498121	0.1158681161	-0.041308037	-0.0836390948	-0.0185216519	0.0702794394	-0.0635257357	-0.0087572503	-0.0063030891	-0.0012334942	-0.0313171975	0.0611977885	-0.0454027665	-0.03763094	-0.0501823429	0.133404963	-0.2979942306	0.3056089147	-0.0954898582	0.0752230853	-0.1030809502	0.0616431269	0.1100581133	-0.0403441541	0.0493002638	-0.1279026397	0.0352627976	-0.1362155441	0.0478422703	-0.025130424	0.1469575629	-0.0654650309	0.0034024341	-0.1196022691	0.1360174489	-0.0083931683	0.1010224505	-0.0980801014	0.0450822576	-0.0129809321	0.0775998374	-0.0336783325	0.0042843913	-0.1696914005	-0.0440776944	0.0827087981	-0.1016935422	0.1178841733	-0.0875072233	-0.0074022532	-0.0304044151	0.0770234705	-0.1494946879	-0.0141252011	0.0395484904	0.0535049355	0.040301532	-0.1627148855	-0.1188112895	0.1001700762	0.0175781763	0.0113612165	0.1147017419	0.1146833673	0.1146527451	-0.145041	n/a	0.021036891681	n/a	-0.256409	n/a	0.065745575281	n/a	-0.621226	n/a	0.3859217430759999	n/a	-0.00252893	n/a	n/a	6.3954869449e-06	0.00265729	n/a	7.061190144100001e-06	n/a	0.00110679	n/a	1.2249841041e-06	n/a	0.0	0.0
774.4338247812291	0.257604784230125	599747.7489652834	0.0663602248582492	895.7808015079526	-2.0468570245125197	4.189623678796244	802423.2443502299	722.956745669403	-0.3359067658246886	522666.4561088938	0.1128333553268021	737.769466761396	589.8254055171064	1.060535	21.566704	0.1485252499999999	0.101484	-0.1369319359	-0.0966777485	-0.0532830075	0.0784152938	-0.2416939246	0.1865119592	-0.0932736058	0.2304918782	-0.1707616329	0.0006442842	-0.0767494712	-0.0497504408	-0.0528410754	0.0911935802	0.0688035757	0.0485234426	-0.239718726	-0.247751127	0.1575907177	-0.0064242129	0.1238030868	-0.1030528886	-0.0395817702	-0.0657894416	-0.0576529197	-0.0771795055	0.0175739241	-0.0907174163	-0.0240049188	-0.0343128373	0.023192657	0.0845551445	0.0756121183	0.0874400623	0.0173368175	-0.0622562256	0.0344927752	0.0264389485	-0.0871777639	-0.0403099945	0.0566115025	0.069344955	0.0398154218	-0.0662822357	-0.0069230052	-0.012658376	0.0506736752	-0.0904698145	0.1025158564	0.0049135526	0.0102495222	-0.0655616666	-0.0269778536	0.0434295956	-0.0663031993	0.1658239079	-0.0186736576	0.0927532459	0.0881173366	-0.0344382194	0.1092841065	0.0919131466	0.0631130812	0.0504614881	-0.3103531909	0.2482122942	-0.108081317	0.0432680642	-0.0318853722	0.0520741029	0.1899943707	0.0292252068	0.0622714848	0.0244026959	-0.0042391714	-0.1256615429	0.0180947539	0.0289948165	0.0904602829	-0.0065883725	0.0776014949	0.1003296005	-0.0217075533	-0.1053945679	0.0976271369	0.0375199321	-0.0160276624	0.0058679737	0.0364736949	-0.0751177757	-0.0469151059	-0.0028947763	0.0038141336	-0.0117604078	-0.0789105612	-0.0162287941	0.0102178362	0.0239814477	-0.0001931604	-0.014755627	-0.0307745189	-0.0411892852	-0.0617024051	0.021275361	0.1567886045	-0.0286146707	-0.1244094761	-0.0967049263	-0.0896074515	0.0218245515	0.1146527451	0.1144874327	0.1142120884	-0.125186	0.019855	0.0156715345959999	0.000394221025	-0.249161	0.007248	0.062081203921	5.253350400000007e-05	-0.523595	0.0976309999999999	0.274151724025	0.0095318121609999	-0.00261051	-8.157999999999993e-05	6.655296399999989e-09	6.814762460099999e-06	0.00256688	-9.040999999999996e-05	6.5888729344e-06	8.173968099999994e-09	0.000802955	-0.000303835	6.447367320250001e-07	9.231570722500001e-08	0.0	0.0
774.7951459925865	0.3613212113574491	600307.5182536735	0.1305530177768144	894.3143248064681	-1.4664767014844529	2.150553915996721	799798.111554049	724.4999540161854	1.5432083467824214	524900.1833694547	2.381492001578934	739.11626915313	591.8300644568375	0.969217	19.70969	0.20680025	0.101577	-0.1252954688	-0.0567401246	-0.1365184424	0.1247215851	-0.1464812082	0.1043480479	-0.002671143	0.2298449968	-0.136920352	-0.0380852011	-0.0360770094	0.013869974	-0.0474599467	0.0063982836	-0.0374926405	-0.0433369562	-0.1590365267	-0.2871304988	0.0598899658	0.0429136835	-0.015734126	0.0580246919	-0.0766980613	0.0087983803	-0.0599229822	-0.1054941349	0.0480572956	0.0379834677	-0.0312628885	0.022824691	-0.106995378	0.0874667477	0.074919451	-0.0876061196	-0.0636972599	-0.0278130271	-0.01359622	0.0749389211	0.052714199	0.05010652	-0.1538167751	-0.0246282446	-0.0745212808	-0.0541592112	0.0432175038	0.0201284812	0.1029273064	0.0429097655	0.0254478641	-0.0968986213	0.1346525034	0.0504108989	-0.0065008709	-0.1030561204	-0.0193309488	0.0718817829	-0.0174803249	0.1167817132	0.0856566261	0.0470978661	-0.0306533483	0.0134978356	-0.1200050224	-0.0460501983	-0.231568995	0.1678880941	-0.1824953839	0.0727658469	-0.0736367959	-0.0094132056	0.0354631641	0.0276955917	0.0619828768	0.0073879442	0.0633367118	0.0458996057	0.0884038701	0.0394275267	0.0184498447	0.0262530042	0.0536551111	-0.0190035011	-0.1696724291	-0.1304385823	-0.1085709807	0.0694583777	-0.0254278951	-0.0312256109	0.0477042434	-0.0376335979	0.1228384468	-0.0407420086	-0.0524819321	0.0546452437	0.0509350096	-0.1042453474	0.0701300058	-0.0278325143	0.0944947023	-0.034900433	0.0632726308	-0.0778705791	0.0309812451	-0.0808601276	-0.0851579635	0.0147964665	0.0411298686	-0.0499677465	0.0229394453	-0.0098383652	0.1145547726	0.1140958982	0.1133324686	-0.106804	0.0183819999999999	0.011407094416	0.0003378979239999	-0.197923	0.051238	0.0391735139289999	0.002625332644	-0.454367	0.069228	0.206449370689	0.004792515984	-0.00290667	-0.00029616	8.77107456000001e-08	8.4487304889e-06	0.00169585	-0.00087103	2.8759072225e-06	7.586932609000001e-07	0.0006111	-0.000191855	3.7344320999999993e-07	3.6808341025000046e-08	0.0	0.0
775.8600219521506	1.0648759595641195	601958.7736635917	1.1339608092576043	899.3550650306859	5.040740224217757	25.40906200804688	808839.5329963492	725.4521432992916	0.952189283106236	526280.8122175359	0.9066644308623676	740.1130522082145	600.4471064015843	1.015544	20.651772	0.15215585	0.0917399	-0.1024961685	-0.0524248882	-0.0898810001	-0.0043816916	-0.0385443944	0.167021019	0.0165958495	0.1102702113	-0.0733142721	0.012475355	-0.0278685506	-0.0669925874	-0.0463311068	-0.0707357741	-0.02531016	-0.1606250944	-0.0886895906	-0.240833248	0.0738497173	0.0031370053	0.0383485044	0.1762499176	0.0145405232	0.0044467436	-0.0315071078	0.0792510634	-0.0282314951	-0.046692404	0.0104673297	0.0760090854	0.0250211021	0.0873629095	0.0392477656	0.1431673293	-0.0369802835	0.0299308129	-0.0182782426	-0.0012043389	-0.0620341633	-0.0048618157	-0.1310548643	-0.0162505715	0.097301632	0.1374290012	0.1001049719	-0.0833235024	-0.0330195486	0.0850660174	0.1064933408	-0.0493645754	-0.120640163	0.186829123	-0.0479819944	-0.1231135164	0.0430433237	-0.0578375473	-0.0643265746	-0.02597709	-0.0845381641	0.0545589987	-0.0492271082	0.0430160557	0.0439367113	-0.0060190025	-0.1478682046	0.1135200862	-0.1210911212	0.1202377624	-0.1769669971	-0.0017481377	0.0090356962	-0.0349891636	-0.0102126131	0.0679334944	0.0045081485	0.0229339053	-0.0160489604	-0.0192156722	-0.0194611567	0.1354763391	0.0035725795	-0.0014425659	-0.0206760664	-0.0669865776	-0.0035689764	-0.0524819374	-0.1165924523	-0.0017006784	-0.0413220201	0.1091909403	-0.1175566189	0.1038017757	0.0971830983	-0.1825467881	0.1733927875	-0.1494019667	0.0246349304	0.1373113256	-0.019855353	0.082829769	0.1622926839	-0.0192719938	0.0010958943	-0.0517887237	-0.1773577469	0.1372422554	0.0485151046	0.0128301326	0.0690186292	-0.004228745	0.1144078661	0.1135094328	0.1120172664	-0.0857806	0.0210233999999999	0.00735831133636	0.0004419833475599	-0.169345	0.0285779999999999	0.0286777290249999	0.0008167020839999	-0.371125	0.083242	0.1377337656249999	0.006929230564	-0.00257795	0.00032872	1.0805683840000017e-07	6.645826202499999e-06	0.00169585	0.0	2.8759072225e-06	0.0	0.000553571	-5.752899999999996e-05	3.06440852041e-07	3.309585840999995e-09	0.0	0.0
776.9590622740068	1.0990403218561369	603665.384449704	1.207889629065641	899.4880221703243	0.1329571396383926	0.017677600980823	809078.7020278818	726.1346937987232	0.6825504994316134	527271.5935381656	0.4658751842743449	740.4038379961304	599.2781053166542	1.031252	20.971203	0.0729232499999999	0.0391431	-0.0761323625	-0.0859406645	0.0573982815	-0.0413248327	-0.0806276862	0.0803106333	0.0794231745	0.0374135972	-0.2208456362	-0.0216125876	0.0794024159	-0.0015787095	0.0073236332	-0.0957987296	0.0536808949	0.0919138829	-0.0313247987	-0.1714488439	0.1442138749	-0.0903613725	-0.0402347238	0.0344990871	0.048622038	-0.1568058922	-0.1035389329	0.0855066969	-0.0160085831	0.156388762	-0.1310732471	-0.0380662888	-0.0409079653	-0.1227225917	-0.0080153501	0.1180127905	0.0071977017	0.1386533166	-0.0326342843	0.0438554474	-0.0047966422	0.0413350811	0.0676140187	0.0615346095	-0.066094057	-0.0775827441	-0.0180659895	-0.0431920274	-0.0089477482	-0.0652247711	0.0379495311	0.0632286313	0.1255718925	0.0101732158	0.0224596451	-0.034546571	0.1110067796	-0.200035205	-0.0522602637	-0.137677367	0.0244646692	-0.0240796574	-0.0802520544	-0.0644047308	-0.0909662779	0.0190297901	-0.0781016884	0.1520938225	-0.0671936746	0.0910182424	-0.0466293422	-0.0486700691	-0.0068453444	-0.1770670333	-0.0272816282	0.0142604533	0.1815297017	0.0067193297	-0.0905317614	-0.0451404068	-0.107110747	-0.0131348735	0.1058852135	0.0371804172	0.0407108795	0.1064709618	-0.0039128292	-0.0530929448	-0.0098736536	0.1079996455	-0.1224783714	-0.0664070625	0.0183666967	0.157879164	0.0163338882	0.0118293243	0.0086533967	0.0041231794	-0.008995372	-0.0312973372	-0.1937133453	-0.0858459366	0.0765589072	0.1025092424	0.0344097681	0.0471733198	0.0738358621	0.0462791596	0.1968313627	0.0503688895	0.0349513495	0.0724496105	0.1142120884	0.1127290384	0.1102715368	-0.0850150999999999	0.0007655	0.0072275672280099	5.859902500001522e-07	-0.163994	0.0053509999999999	0.026894032036	2.8633200999999944e-05	-0.338854	0.0322709999999999	0.114822033316	0.0010414174409999	-0.00228247	0.0002954799999999	8.730843039999994e-08	5.2096693009e-06	0.0014146	-0.00028125	2.00109316e-06	7.910156250000003e-08	0.000439586	-0.0001139849999999	1.93235851396e-07	1.2992580224999997e-08	0.0	0.0
779.4473349182964	2.488272644289623	607538.1479112349	6.191500752320072	897.2118514274467	-2.2761707428775253	5.180953250731625	804989.1063418668	725.9622950196476	-0.1723987790755927	527021.2537901939	0.029721339026755	740.5185409281158	609.7092275761412	1.086921	22.10327	0.19148825	0.098454	-0.031523995	-0.0939820618	-0.0554964307	0.0525476601	-0.0842663174	0.0434488668	-0.1405274755	0.0434498059	-0.0155706551	-0.0810315809	-0.0070361185	0.0569735571	0.007936944	0.0262853853	0.0039101286	-0.0787743276	-0.0570608879	-0.0379040181	0.159705354	0.1050069372	0.0655753328	0.1088851585	0.0144461475	0.0745034793	0.1065086273	0.071733433	-0.0188765427	-0.029935172	0.0533009066	0.0197062458	-0.00048005	-0.0393852231	-0.1165876096	0.0018353003	-0.0584436249	0.1269408464	-0.0140818226	-0.0717212367	0.1372804928	0.017563128	-0.0951827179	0.0446409054	-0.0475532429	-0.0847119458	-0.0694176876	-0.1334415862	-0.011498605	-0.0164318665	-0.1739118325	-0.0673692371	-0.1080941926	-0.0461448841	-0.0176591454	0.099385727	-0.0185608361	-0.0764638358	0.0813025754	-0.0036033511	-0.0589989836	-0.0924349542	0.0505664809	-0.1221093667	-0.0236261919	-0.1304077078	-0.0723039979	0.0452623637	-0.0573881632	0.0082702845	0.0293675088	0.1978209288	0.0220483369	-0.0693861815	-0.0402326573	0.0464575838	-0.1027538005	0.0441398889	-0.0039896845	0.0463875834	-0.1252556891	-0.0201169101	-0.0609950706	-0.0364057029	0.2004298591	0.0531586686	-0.2169511322	0.057598009	0.0147737708	-0.0866941799	-0.1259685434	0.0934762323	0.0598819417	0.063167611	0.013713751	0.0170419727	0.0322309223	0.0413105212	-0.1484988541	0.1027858716	0.1029290273	-0.0744507112	-0.0340867959	0.2066895096	-0.1285137908	0.1143720132	-0.1067474565	0.0539144571	0.0162215787	0.0046718661	-0.0466724948	-0.0017589304	0.1139675232	0.1117560484	0.1081019891	-0.0573544	0.0276606999999999	0.00328952719936	0.0007651143244899	-0.123293	0.040701	0.015201163849	0.001656571401	-0.261598	0.0772559999999999	0.068433513604	0.0059684895359999	-0.00269849	-0.00041602	1.7307264040000005e-07	7.2818482801e-06	0.000935162	-0.000479438	8.74527966244e-07	2.29860795844e-07	0.000417633	-2.195300000000001e-05	1.74417322689e-07	4.819342090000004e-10	0.0	0.0
780.6626260899586	1.2152911716622157	609434.1357736705	1.476932631920121	893.9850264654376	-3.2268249620091183	10.412399335445148	799209.2275444092	726.9033829582368	0.9410879385891348	528388.5281561291	0.8856465081579473	740.9037832430417	632.4398557299415	1.159974	23.588863	0.0488889499999999	0.0242556	0.034204656	-0.041130767	-0.0520250999	0.0403898806	0.0074821112	-0.115803743	0.1356409768	-0.0292626225	-0.1562171485	0.0661280793	0.0854839457	-0.2889586807	-0.0871074742	-0.0103085999	0.1089423414	0.0485885497	0.0177000311	-0.1132887981	0.0028710901	0.0208687365	-0.0511174756	0.0045242484	0.0292719492	0.0325394714	0.0615804535	0.0402174209	-0.036124915	0.1222703651	0.0307203712	0.0874122876	0.0166676505	-0.0267092599	0.0013340501	-0.1310042873	0.0367849991	-0.0554826706	-0.1236111786	-0.0926307331	-0.196380793	0.0365112002	0.0155823937	0.1306048814	0.054280603	0.0581133487	0.085383209	0.0636075567	-0.0085592377	0.06738953	-0.1178017247	0.0188038601	0.0384024881	0.0633733053	-0.1360434745	0.060298528	-0.0737098998	-0.0651088246	0.1040648005	0.0033240999	0.0277238366	-0.0977928123	-0.0021100371	-0.1032522828	0.0472804469	-0.0017815854	-0.0047933737	0.005378753	-0.1131464982	-0.0020863795	-0.0945921832	-0.0183433887	-0.1678276524	-0.0854128252	-0.1780983602	-0.1530251226	-0.0271426725	0.0596224365	-0.0511414019	0.001867253	-0.0342168062	-0.0744718812	-0.0738984787	0.0210791421	-0.0924853142	-0.0183898973	0.0410492212	0.1002439315	0.1271312641	0.0589474157	-0.0184928693	0.0046868311	-0.0319131246	0.0807555604	0.0029983125	-0.1925211696	0.0997386897	0.0596493407	0.1023135009	-0.0994717371	0.1092489504	-0.0752698234	-0.1170647208	0.0497342798	0.0494445629	0.0111921246	-0.0066719386	-0.1537459876	0.1272140302	0.0307326222	0.1181133886	-0.0036852966	0.1136742748	0.110592125	0.105516962	-0.0598043	-0.0024498999999999	0.0035765542984899	6.00201000999999e-06	-0.141197	-0.0179039999999999	0.019936592809	0.0003205532159999	-0.261564	3.399999999997849e-05	0.068415726096	1.1559999999985375e-09	-0.00253093	0.00016756	2.8076353600000066e-08	6.405606664899999e-06	0.000727903	-0.000207259	5.29842777409e-07	4.2956293081e-08	0.000222431	-0.0001952019999999	4.9475549761000014e-08	3.810382080399999e-08	0.0	0.0
780.0691876573537	-0.5934384326048985	608507.9375324037	0.3521691732925586	898.7189835624803	4.733957097042662	22.41034979664059	807695.8114155777	725.5715617011425	-1.3318212570942478	526454.0911494349	1.7737478608481023	740.6403236947526	631.298451998752	1.092352	22.213722	0.16649705	0.0914142	0.0488266466	-0.0393833476	0.0228646929	-0.0436773147	-0.0355849456	-0.0662286393	-0.0385957931	-0.0391133839	-0.0089345556	0.1067359597	0.0504264073	-0.1626523776	0.0227171056	0.1979245318	0.1085146813	0.1510289507	-0.0229158602	0.02930977	0.1001088674	0.0336761115	-0.0743876513	0.0215350985	-0.0784237499	0.0683007829	0.1258190588	0.0913787976	0.0010799036	0.1293430171	0.0649767732	0.0496672637	0.0980333182	-0.1344612235	-0.0545300452	-0.1304837974	0.0129752962	0.0557093664	0.0750639072	0.0782655282	0.0344482787	0.1197664291	0.1014575683	-0.1532559557	0.0444108109	0.0801760061	-0.0125257203	0.0293356435	-0.012665426	0.0773604592	-0.0185477257	0.1378145372	0.056686578	-0.0580209373	0.0088864297	0.0317561987	0.0668825299	0.0869570764	0.1005048016	0.0907531899	0.0400659286	-0.0478536771	-0.0129085548	0.0289576584	0.0216027951	0.1344503591	-0.006526259	0.0521222892	0.0260338828	-0.0186958857	0.0295733835	0.0728848841	-0.1080837576	-0.038554277	-0.0312584389	-0.1687061484	-0.1090400407	0.1796343049	-0.0746052578	0.0919405822	0.0609995799	0.0334169402	-0.0425862836	-0.1031658459	0.049347395	0.1806901548	-0.0791191136	-0.0450702988	0.0416499138	0.036838714	-0.0323717822	0.0210388081	0.064238508	-0.0679772509	-0.0500347901	0.0315893321	-0.0293733341	0.0542386348	0.0376729237	-0.0346240732	-0.0421568295	-0.0157335552	0.1166668325	-0.0864494546	0.1092584567	-0.0264106326	0.0957678956	-0.1385921155	-0.029676577	0.1332230833	-0.0477283616	-0.1773033463	0.1133324686	0.1092392569	0.1025263906	-0.057521	0.0022832999999999	0.003308665441	5.213458889999977e-06	-0.0814039	0.0597930999999999	0.00662659493521	0.0035752148076099	-0.197458	0.064106	0.038989661764	0.004109579236	-0.00296978	-0.00043885	1.9258932250000017e-07	8.8195932484e-06	0.00049937	-0.000228533	2.493703969e-07	5.222733208900002e-08	0.000361341	0.0001389099999999	1.30567318281e-07	1.9295988099999997e-08	0.0	0.0
780.8081807536768	0.7389930963230427	609661.4151318663	0.5461107964131178	895.5375091497058	-3.181474412774492	10.121779439138797	801987.4302940593	726.5810310069428	1.0094693058002804	527919.994619112	1.0190282793529	740.4423606258504	636.3796097371197	1.15029	23.391928	0.100603115	0.0484402	0.0549109181	-0.0203970681	-0.105606302	0.0927474253	0.0844864255	-0.0553712668	-0.0274589065	-0.0151462508	-0.0292499883	0.0470549251	-0.0204295839	-0.0906939302	0.0370310466	-0.0020593563	-0.1367873406	-0.0203177775	0.0161058234	-0.0686129278	-0.0995583844	0.0950649041	-0.0699259795	0.093212218	0.0018035035	0.0656575007	0.1600442492	0.0123686702	-0.0365463487	0.0918812426	0.0460086208	0.0493972112	-0.0151178108	0.0637902843	-0.0572896512	-0.0516387148	0.0126855869	0.0369968053	-0.023289834	0.0661577479	0.0648004026	-0.0647930924	-0.0885278176	0.1698670342	0.0731497084	0.035946569	0.1305962198	-0.052471011	-0.2203455091	-0.0303844609	0.0080674958	-0.0627823693	-0.0070623387	-0.0084096726	-0.0469880539	-0.0215108006	-0.0226610264	-0.0302770634	-0.1522605964	9.68496e-05	-0.0748510593	-0.0669068669	0.0242671661	0.1460360501	0.2310681824	-0.0469696645	-0.0020636777	-0.0966838282	-0.122930437	-0.0777003745	-0.06273751	-0.0163081467	-0.0812806539	-0.063478065	-0.0367971014	-0.1209446325	-0.0981593253	0.1297489951	0.0344929758	0.0394953678	-0.0451152173	0.0247925193	-0.0783356324	0.0609179517	-0.0511869766	0.0282283116	-0.1838684132	0.0560020099	0.021495427	-0.0747784516	0.1158914368	-0.0132452874	-0.0857321139	0.0735606674	-0.0037165321	-0.1249022961	-0.088674879	0.0665833051	0.0239160275	-0.1208454108	-0.0098691564	-0.0357317331	0.0436830712	0.0549730056	-0.2195424001	-0.0040963867	-0.0676142168	0.1168401284	-0.0453630009	-0.1558789356	-0.0902290245	-0.0702986978	0.1129422506	0.1076997553	0.099141769	-0.0576026	-8.159999999999418e-05	0.0033180595267599	6.658559999999049e-09	-0.112461	-0.0310571	0.012647476521	0.00096454346041	-0.212093	-0.014635	0.044983440649	0.000214183225	-0.00245867	0.00051111	2.612334321e-07	6.0450581689e-06	2.00727e-05	-0.0004792972999999	4.0291328528999987e-10	2.2972590178728998e-07	0.00025516	-0.000106181	6.51066256e-08	1.1274404761e-08	0.0	0.0
782.0103461620956	1.202165408418864	611540.1815045606	1.445201669198894	901.737622826709	6.2001136770031735	38.44140960776181	813130.740421164	726.7719644159233	0.190933408980527	528197.4882609801	0.0364555666649251	741.8325870712938	634.6127016433081	1.263057	25.685112	0.225673915	0.109345	0.0823252853	-0.0647451745	0.0956794644	-0.0969221103	0.0335925463	-0.0792646525	-0.0533033709	0.0402420034	0.0013104492	0.0939385284	0.2703159961	0.0676326321	0.1001685265	0.1380068278	-0.186687124	-0.0334931466	0.0789813375	0.0870997844	0.0206916794	-0.0080588767	-0.1557199167	-0.057600969	0.0178817227	-0.1022411387	0.0885171287	-0.0254114831	-0.0870126861	-0.0691376135	0.0507236073	-0.1223412872	0.0840118425	-0.0116807203	0.006416778	-0.1382787372	-0.0219575953	-0.0963677211	-0.013125967	-0.018204505	-0.0268648708	-0.1072492062	0.0358086159	-0.0984227764	-0.0137345739	0.0475293239	0.1673639637	0.0261525664	0.0601778226	-0.0911140229	-0.1602182304	0.0585787981	0.0782883283	0.0686172434	-0.115826263	0.1033135544	0.0419152852	-0.0695071259	-0.0911589933	-0.0216957273	-0.0201633378	0.0440116296	-0.1478071869	-0.1304045726	-0.0945015667	-0.0795010669	0.0911338239	-0.0146823775	0.0474072448	0.1085325941	0.0952206276	-0.02420392	-0.0256104169	-0.0977545947	0.0453632878	-0.0762327052	-0.062633302	-0.0046566178	0.0127802566	-0.0450309036	-0.0424195583	-0.2512492412	-0.1297851209	-0.1111185108	-0.0458937393	0.0228588398	0.0514484444	0.007075573	-0.0979806305	0.0344048722	0.1041977359	-0.0738184509	-0.0580591688	0.0246302273	0.0349001708	0.041417803	-0.0408752353	-0.0672664684	0.166306823	-0.0880400271	0.0696048266	-0.0307688894	-0.0191986581	0.0271316417	0.1492476918	0.0366037573	-0.0024802887	0.0868043351	0.0530145555	0.0067086385	0.0508480485	0.0687090806	0.1125037874	0.1059762505	0.0953761056	-0.0279339	0.0296686999999999	0.00078030276921	0.0008802317596899	-0.0556038	0.0568572	0.00309178257444	0.00323274119184	-0.136349	0.075744	0.018591049801	0.005737153536	-0.00160639	0.00085228	7.263811983999999e-07	2.5804888321e-06	0.000353146	0.0003330732999999	1.2471209731599998e-07	1.1093782317288999e-07	0.000172433	-8.2727e-05	2.9733139489e-08	6.8437565289999994e-09	0.0	0.0
