global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	motion_outlier55	motion_outlier56	motion_outlier57	motion_outlier58	motion_outlier59	motion_outlier60	motion_outlier61	motion_outlier62	motion_outlier63	motion_outlier64	motion_outlier65	motion_outlier66	motion_outlier67	motion_outlier68	motion_outlier69	motion_outlier70	motion_outlier71	motion_outlier72	motion_outlier73	motion_outlier74	motion_outlier75	motion_outlier76	motion_outlier77	motion_outlier78	motion_outlier79	motion_outlier80	motion_outlier81	motion_outlier82	motion_outlier83	motion_outlier84	motion_outlier85	motion_outlier86	motion_outlier87	motion_outlier88
677.1525113479313	n/a	n/a	458535.5236248102	710.6844170472074	n/a	505072.340633729	n/a	674.4735904518508	n/a	454914.6242170109	n/a	664.0763584788089	569.1098152548847	n/a	n/a	n/a	n/a	-0.0059467758	-0.0135087252	0.0342654961	-0.0249096175	0.0017974474	-0.0525346255	0.0391441533	-0.0381604664	-0.0598655244	0.1111657235	-0.0043470515	0.0513964472	-0.0988112875	0.0414194793	-0.1030888626	0.0069955717	-0.0441606283	0.0404544636	-0.0219349647	0.1028294902	-0.0128651702	0.0543421223	-0.0133303855	0.0047606061	-0.0781983912	-0.0509783843	-0.0914954142	0.0285682909	-0.0542639218	0.0287466187	-0.0150757609	0.1109744578	-0.0987219222	0.0988961802	-0.0387232611	0.0675739672	-0.0693642932	0.0067414949	-0.0811024092	0.1554368289	-0.1010840964	0.1147017419	0.1146833673	0.1146527451	0.399131	n/a	0.159305555161	n/a	-0.287482	n/a	n/a	0.082645900324	0.20355	n/a	0.0414326025	n/a	-0.021266	n/a	n/a	0.000452242756	-0.00100255	n/a	1.0051065025000002e-06	n/a	0.00264585	n/a	n/a	7.0005222225e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
680.3405040089933	3.187992661062026	10.163297206985336	462863.20139521104	727.5818621998627	16.897445152655337	529375.36620222	285.5236526869953	677.5957215222744	3.1221310704236203	459135.9618252916	9.74770242090454	668.7137267177022	571.202357991084	0.854182	47.289192	0.4404442	0.212023	-0.0031929092	-0.0269310173	-0.0052735953	0.0433634516	0.012009817	0.0659677418	0.0534128798	0.0226737597	-0.0655903371	0.1400975782	-0.0342673526	0.0760105988	-0.0568775151	0.1077855111	-0.1025095311	0.0261836904	-0.030946293	0.0604357635	2.14375e-05	0.0086255368	-0.0257108418	0.0908848137	-0.1875676513	-0.0677370754	-0.0281701108	0.0092322182	-0.0512697643	0.0666396774	-0.0753703155	-0.0071123117	-0.1173425152	0.0565474974	-0.0866900657	0.1461789645	-0.0420154354	0.0010059693	-0.0118993408	-0.1303918009	-0.0455457989	0.2103649178	0.0096806662	0.1146527451	0.1144874327	0.1142120884	0.479048	0.0799169999999999	0.2294869863039999	0.0063867268889999	-0.205751	0.081731	0.006679956361	0.0423334740009999	0.178877	-0.024673	0.031996981129	0.000608756929	-0.0184994	0.0027666	7.654075560000005e-06	0.0003422278003599	0.000656494	0.001659044	4.3098437203600005e-07	2.7524269939360003e-06	0.00330267	0.00065682	4.314125124000004e-07	1.09076291289e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
673.2909902444518	-7.04951376454153	49.69564431646049	453320.7575443545	712.3766634401775	-15.205198759685231	507480.5106141599	231.1980693215333	672.4768452530365	-5.118876269237944	452225.1074014764	26.202894259767373	662.2313363365463	570.3034875341306	0.962978	53.312336	0.5136799	0.252978	-0.006657463	0.0436514309	-0.005781843	-0.0568165083	-0.0912128451	0.0439281002	0.055259921	-0.0955263608	0.0445595838	0.0946453321	-0.0415512156	-0.0199124911	-0.1890988819	0.0258060629	-0.0257360014	0.1314973151	-0.1040738162	-0.0077370063	0.0092621938	-0.0822058904	0.0565941424	-0.1742404181	-0.0573129709	0.0263633661	0.0163814207	-0.1035062909	0.0803742372	0.0307990391	-0.0466457844	0.0500833514	-0.1053839256	0.1804108411	-0.038981657	0.0815921116	0.1031347871	-0.054895556	0.0130438504	0.0960520049	0.1011583684	-0.0453143804	0.2041601706	0.1145547726	0.1140958982	0.1133324686	0.472651	-0.0063969999999999	0.223398967801	4.092160899999982e-05	-0.0678739	0.1378770999999999	0.0190100947044099	0.00460686630121	0.364743	0.1858659999999999	0.133037456049	0.0345461699559999	-0.0203044	-0.001805	3.258025000000004e-06	0.00041226865936	0.00147554	0.000819046	2.1772182916e-06	6.70836350116e-07	0.00225592	-0.00104675	1.0956855625000009e-06	5.089175046399999e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
673.3510533686014	0.0600631241495648	0.003607578882606	453401.641072605	717.2420013550549	4.8653379148773865	514436.08850780455	23.67151302594344	677.1922129835388	4.715367730502294	458589.2933255425	22.234692833862358	668.0368020945577	588.5589705775209	0.894568	49.525036	0.5533338	0.271416	-0.0018569074	-0.0897890777	0.0133641678	0.0166453125	-0.0440162941	-0.028826695	0.003640747	0.0070667894	-0.0076212286	0.131574176	-0.0317507682	0.0480613732	-0.1524271465	0.0184174761	0.0021374771	-0.0001958957	-0.045240234	-0.0559493718	0.0010631057	-0.0422523123	0.0958259549	-0.0450184315	0.0342557055	0.1462884477	-0.029706848	-0.0060758417	-0.0547258257	0.0108256067	-0.1123120574	0.0015312543	-0.0375177424	0.1666743597	-0.0199543618	0.049010919	0.0388340143	0.0745600478	-0.0571054633	-0.0495650868	-0.0142271554	-0.0134154944	-0.0629512577	0.1144078661	0.1135094328	0.1120172664	0.423267	-0.0493839999999999	0.179154953289	0.0024387794559999	0.0954808	0.1633547	0.02668475801209	0.00911658316864	0.535741	0.170998	0.287018419081	0.029240316004	-0.0223979	-0.0020934999999999	4.3827422499999925e-06	0.0005016659244099	0.000751618	-0.000723922	5.64929617924e-07	5.24063062084e-07	0.0016814	-0.0005745199999999	3.300732303999998e-07	2.82710596e-06	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
672.8527529135752	-0.4983004550261967	0.2483033434793146	452730.8271033766	720.5443318850159	3.3023305299610684	519184.134211624	10.90538692911295	677.8172829296074	0.6250699460686064	459436.2690380754	0.3907124374782105	669.3043482306842	572.2138423891842	0.716408	39.661762	0.3901277999999999	0.228183	-0.013089274	-0.0291206802	0.0377581742	0.0396370502	0.0151107605	0.0620679986	-0.0176487356	0.0233632122	0.0197789604	0.1413954894	-0.0437843307	0.071278941	-0.1000156995	0.0344909269	0.0072981318	0.0857880185	-0.0085680064	-0.0299301737	-0.0364106803	-0.0621858431	0.0311855313	-0.0217378078	0.0202644714	-0.1314439559	-0.0286563741	0.020188733	-0.0394942362	-0.0005551522	-0.1205134096	-0.0173741725	-0.1090792273	0.11622134	-0.0473265875	-0.0034543013	0.0675447889	0.0251917283	0.0351555024	-0.0315577788	0.0333620432	-0.047287366	0.0217832894	0.1142120884	0.1127290384	0.1102715368	0.425043	0.0017759999999999	0.180661551849	3.154175999999999e-06	0.0317901	-0.0636907	0.00405650526649	0.00101061045801	0.402383	-0.133358	0.1619120786889999	0.017784356164	-0.019199	0.0031988999999999	1.0232961209999985e-05	0.000368601601	0.00122473	0.000473112	1.4999635729e-06	2.2383496454400002e-07	0.00183545	0.0001540499999999	2.3731402499999997e-08	3.3688767025e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
672.1163334995838	-0.7364194139913707	0.5423135533033938	451740.3657569237	719.4917667678768	-1.0525651171391246	517668.40244676085	1.1078933258180992	675.5420617504631	-2.275221179144296	456357.0771940664	5.176631414026761	667.3479341773374	569.4197920054166	0.688174	38.09864	0.2754157999999999	0.180366	-0.0059834974	-0.0284481453	-0.0236696898	-0.0014735757	-0.0417609518	0.0289967296	-0.0167056595	0.0097055816	0.0022792763	0.1150018461	-0.0687576961	0.0593026742	-0.074542877	0.107507118	0.0291989142	0.0664089229	-0.1013122053	0.0146279935	-0.0155840155	-0.0426148391	0.0967310892	-0.1234081396	0.0881475243	-0.0805828974	-0.0103850406	0.0131105172	-0.0004491985	0.0323181256	-0.0854724474	-0.0215660939	-0.1472777723	0.0830327149	0.0178403523	0.0581395869	0.098324298	0.0161943519	-0.0062618146	0.0487025818	0.027983189	0.0006715287	0.0992826184	0.1139675232	0.1117560484	0.1081019891	0.455987	0.0309439999999999	0.2079241441689999	0.0009575311359999	0.0134008	-0.0183893	0.00033816635449	0.0001795814406399	0.450837	0.048454	0.2032540005689999	0.0023477901159999	-0.0157655	0.0034334999999999	1.1788922249999994e-05	0.00024855099025	0.00119752	-2.720999999999995e-05	1.4340541504000002e-06	7.403840999999974e-10	0.00192731	9.186000000000005e-05	8.438259600000006e-09	3.7145238361e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
671.4976200161273	-0.6187134834565313	0.3828063746109154	450909.0536873232	710.7775342706504	-8.714232497226362	505204.70322386565	75.937848015716	675.1989340338683	-0.3431277165947222	455893.6005204721	0.1177366298955079	665.8665518353962	560.7086732577152	0.8015489999999998	44.37529	0.6673041500000001	0.302485	-0.012951276	0.0321030687	-0.0046682704	-0.0366574136	-0.0411707335	-0.0564361871	0.0038162399	-0.0055380443	-0.0141349904	0.0521513177	-0.0281819485	-0.0443101893	-0.0504754304	-0.0166079417	-0.0160957801	0.0370098972	-0.0595844663	0.0200531461	-0.0124253888	0.0201993631	0.0612221118	-0.0669087661	-0.0509046605	0.0573118252	0.0368685693	-0.0083162562	0.030916438	0.0570486512	-0.0273788128	0.0241804008	-0.0010650138	0.0807837721	-0.0333976796	0.0218003791	0.0663053878	-0.0295427908	-0.0109176821	0.0433638589	0.0566950257	0.0020877246	0.0181119733	0.1136742748	0.110592125	0.105516962	0.24245	-0.2135369999999999	0.0587820025	0.0455980503689999	-0.0613752	-0.074776	0.005591450176	0.00376691517504	0.31576	-0.135077	0.0997043775999999	0.018245795929	-0.0135745	0.002191	4.800481000000009e-06	0.00018426705025	-0.000356742	-0.001554262	1.27264854564e-07	2.415730364644e-06	0.000794289	-0.001133021	1.2837365864410003e-06	6.30895015521e-07	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
672.898693670022	1.4010736538947413	1.963007383637961	452792.6519428221	713.2354440652864	2.4579097946359525	508704.7986710063	6.04132055856735	673.9680442039412	-1.2308898299271505	454232.92460808565	1.5150897734180897	665.6796964374856	577.0028633828383	0.7568669999999998	41.901627	0.1385375	0.0664057	-0.0104097181	-0.0948805843	0.0452595463	0.0436092224	0.0354577273	-0.0417454138	-0.051431963	-0.0208345824	-0.0414939259	0.0727109571	0.0092673108	0.053987725	-0.0083494145	-0.0181988262	-0.0240673691	0.0512545391	-0.0151604359	0.0160104675	-0.0699813032	0.0024228447	-0.0036449001	0.029753888	-0.0974187949	-0.0772443759	-0.047043375	-0.0143088448	-0.0933634385	-0.0050410051	-0.0470143132	-0.0051956383	-0.0260188562	0.0357932854	-0.0875907699	-0.0181731315	0.0792819059	0.0531872225	0.0029003683	-0.0051703825	0.0135568229	0.0771832867	-0.0699516883	0.1133324686	0.1092392569	0.1025263906	0.287611	0.045161	0.082720087321	0.002039515921	-0.0882133999999999	-0.0268381999999999	0.0007202889792399	0.0077816039395599	0.281099	-0.034661	0.079016647801	0.0012013849209999	-0.0139766	-0.0004021	1.6168441000000057e-07	0.00019534534756	-0.000406668	-4.9926e-05	1.65378862224e-07	2.4926054759999997e-09	0.000608769	-0.00018552	3.44176704e-08	3.70599695361e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
671.9472726168111	-0.9514210532108792	0.9052020204928984	451513.1371771711	711.5118131709332	-1.723630894353164	506249.060281789	2.970903459968688	674.4444058720051	0.4763616680638733	454875.2566120419	0.2269204388005958	664.7734842181709	560.2425988535371	0.7299639999999998	40.412251	0.4338388	0.210785	-0.0175632129	0.0443754945	0.0055312242	-0.0161582612	0.0088189016	-0.0095067999	-0.0183997335	-0.0346768595	0.0219792685	0.0655682208	0.0006197944	0.0610845803	0.0155815133	0.1107819059	-0.0091348405	0.0577437111	-0.0250614735	0.09184818	-0.0162034926	0.0358912515	-0.065840284	-0.0535026321	-0.0206663667	-0.0519097954	-0.053122361	-0.0370061314	0.004835279	-0.0002253494	-0.0518441739	0.0011862235	-0.1207493739	-0.0244919774	-0.0282671676	0.0404378385	0.0452868244	-0.0102991373	0.0015084627	0.0199353594	0.0126628242	0.1391721523	0.0616663261	0.1129422506	0.1076997553	0.099141769	0.307407	0.0197959999999999	0.0944990636489999	0.0003918816159999	0.0464624	0.1346757999999999	0.0181375711056399	0.00215875461376	0.370761	0.089662	0.137463719121	0.008039274244	-0.0164169	-0.0024403	5.955064090000006e-06	0.00026951460561	0.000876775	0.001283443	7.68734400625e-07	1.647225934249e-06	0.000538412	-7.035699999999995e-05	4.950107448999993e-09	2.8988748174400005e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
673.7047962165911	1.7575235997800291	3.088889203783752	453878.1524452386	726.1914695725532	14.679656401619924	527354.0504799444	215.4923120696208	674.7315165265419	0.287110654536832	455262.6193942071	0.0824325279485681	666.6119434612135	558.5026291576652	0.683989	37.866955	0.2225122	0.132848	-0.0151106307	-0.0250858674	-0.0869201625	0.0158231254	-0.035932133	0.0206178566	-0.0017768313	-0.0029475236	-0.0120151372	0.0542989438	0.0047543755	-0.0019698522	-0.0616028421	0.0230914415	0.0320295188	0.0202034116	-0.072424409	0.1355349037	-0.0348768133	0.0365727111	-0.0369394874	-0.1540595931	-0.0332917338	0.00773826	-0.0898350683	0.0052934791	0.0323600662	0.0484656347	-0.0205275439	0.0373724409	-0.1144464685	0.0545134735	0.048343077	0.0498316761	0.1117913863	-0.1064894849	0.0304612025	0.204557254	0.1030633024	0.0222179025	0.1040307675	0.1125037874	0.1059762505	0.0953761056	0.298815	-0.0085919999999999	0.089290404225	7.38224639999998e-05	0.0185381	-0.0279243	0.00077976653049	0.0003436611516099	0.35445	-0.016311	0.1256348025	0.000266048721	-0.0139816	0.0024353	5.930686090000007e-06	0.00019548513856	0.00020666	-0.000670115	4.27083556e-08	4.49054113225e-07	0.000250129	-0.000288283	8.310708808900006e-08	6.2564516641e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
