global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37
797.9469296577158	n/a	n/a	636719.3025501757	929.0722955575088	n/a	n/a	863175.3303724991	752.0747023292042	n/a	565616.3578835612	n/a	750.4805366413578	670.0046485289087	n/a	n/a	n/a	n/a	-0.0759483659	-0.000601143	-0.0377311411	0.1277141532	-0.0322687133	0.0952096966	-0.029202562	0.1191365618	-0.0517667222	0.1072687907	0.048270971	-0.0821865861	0.0031667235	-0.0137928077	0.0572816525	-0.0304473669	0.0271116435	-0.0831227053	0.0708658588	-0.0926318764	0.0804337597	-0.0443269992	0.0858500773	-0.0382709184	0.1244984689	0.0181641619	-0.1028691838	0.0134409555	-0.0210748173	0.0498667381	-0.0691170308	0.1305726572	-0.0747955358	0.1064028798	-0.0524567467	0.0410064363	-0.0243582801	0.0191312836	-0.0397114362	0.0067116323	-0.0474202517	-0.1224753568	0.0175823764	0.0205677336	-0.0689447647	-0.0015776196	0.1304675521	-0.0357110177	-0.0695337548	0.0863683367	-0.0187347304	0.0058634112	-0.0618220535	0.0571788398	-0.0738512291	0.0945196221	-0.058252231	-0.0280184898	0.0117797778	-0.0665183806	0.1149563716	-0.0118806924	0.0770606722	-0.0404252151	0.0473290326	-0.0349714305	0.0593260783	-0.2425724385	-0.0112763296	0.0372036024	-0.0110069099	0.0734902446	-0.0182309926	0.101056878	-0.0277873715	0.0668676446	-0.0350692341	0.0217178433	-0.0173881331	0.0012124108	-0.0599728687	0.0330838706	0.036770792	-0.0931761158	0.1147017419	0.1146833673	0.1146527451	-0.0316783	n/a	n/a	0.00100351469089	-0.298545	n/a	0.089129117025	n/a	-0.290294	n/a	0.084270606436	n/a	-0.00147918	n/a	2.1879734724000003e-06	n/a	0.00115962	n/a	1.3447185444000002e-06	n/a	-0.000245092	n/a	6.0070088464e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
797.4597901282666	-0.4871395294492231	0.2373049211520105	635942.116871419	921.210914595099	-7.861380962409839	61.80131063613985	848629.5491691388	751.5121550973171	-0.5625472318871516	564770.5192590139	0.3164593881038967	750.1908798537763	680.7757754729187	0.8551499999999999	25.417995	0.2453881	0.165556	-0.0932303803	0.0190868491	-0.0099167206	0.1413592671	0.0230714671	-0.0110316412	-0.0171923778	0.0494373251	-0.0155511867	0.0054757328	0.0501955632	-0.0342805616	-0.0065982669	-0.0296807971	0.0692867004	-0.0703278576	-0.0107258625	-0.0469453942	0.0224982971	0.0387062903	0.0644746083	0.0187425535	0.0667021217	0.0134102704	-0.0252240857	-0.0111328548	-0.0428459851	0.0043705582	-0.0167724293	0.0776726045	0.0546829984	0.1438841223	0.0485918867	-0.0120007058	-0.0240970238	0.0294833151	-0.0479720102	-0.0759347334	0.0423938331	0.0205181277	0.1130796572	-0.0116962241	0.0223718717	-0.0429623736	0.0616787859	-0.0583771882	0.0480970665	-0.10516386	-0.1402118205	-0.0789113337	-0.0271870844	-0.024277544	-0.0817877786	0.0096897016	-0.0675198224	0.0543188185	0.0493373081	-0.0214375542	-0.0046547686	0.0409026859	0.0834719042	-0.0910153938	0.0492477546	-0.0452536226	0.0567564868	-0.0585777146	0.0216793814	-0.0213236869	0.0101350525	-0.0204540929	-0.012089627	-0.0948193232	0.0130417667	0.0322791092	-0.0735948093	-0.0145950707	-0.015198029	0.0213615119	0.1163456035	0.0442217345	-9.39949e-05	0.0128844107	0.0150480323	-0.0288477861	0.1146527451	0.1144874327	0.1142120884	-0.0235104	0.0081678999999999	6.671459040999998e-05	0.00055273890816	-0.142184	0.156361	0.020216289856	0.024448762321	-0.238592	0.051702	0.056926142464	0.0026730968039999	-0.00185262	-0.0003734399999999	3.4322008644e-06	1.394574335999999e-07	0.00123311	7.348999999999984e-05	1.5205602720999998e-06	5.400780099999977e-09	-0.000108878	0.0001362139999999	1.1854418884e-08	1.8554253796e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
794.9694507117355	-2.4903394165311283	6.2017904095286	631976.4275649184	916.3176021612784	-4.893312433820597	23.94450657498325	839637.9480305949	749.807805350446	-1.7043497468711166	562211.7449644522	2.9048080596596395	748.7427372980717	667.9277288245878	0.768823	22.852062	0.058054735	0.0417476	-0.069985386	-0.0023463743	-0.0048763817	0.0933142933	0.0064961974	-0.0229935076	-0.0725671702	-0.0133966954	-0.0182950172	-0.0024137802	-0.0363720449	0.0292143374	-0.0303442538	-0.0536776946	0.0312927771	-0.0676504678	-0.0080883757	-0.060452362	0.0020597505	0.0231821306	0.0613999663	0.0132082876	0.0900570357	0.1000700456	-0.0107153844	0.0160004262	0.0251879498	-0.0567666162	-0.0348024629	0.0080776679	0.0818408202	-0.0537465584	0.1529291981	0.0102708477	-0.129117728	-0.034651142	0.0420493157	-0.0088098018	0.0341765121	-0.0737960236	-0.0510345642	-0.1044644583	0.0053366316	-0.0260576356	0.072262356	-0.0636413584	0.0513491857	-0.0714654119	0.0413064453	0.0251607639	-0.0498790836	-0.0198733448	-0.0509205472	0.0237282848	-0.0510008943	0.0196306641	0.0012490899	-0.0336512937	-0.1128338861	0.0253802582	-0.0213440238	-0.0848290812	0.0782636819	-0.0181506383	-0.0065462474	-0.0587298997	0.0600984071	-0.0335702608	-0.0298954776	0.0049813805	-0.1290193971	-0.0907202916	-0.0462350883	-0.0078253046	0.0025517694	-0.0183021359	0.0156464314	0.0422098789	0.0682780509	0.1047858747	0.0773231652	-0.0792028034	-0.0110984231	-0.0457297458	0.1145547726	0.1140958982	0.1133324686	-0.025594	-0.0020835999999999	4.341388959999992e-06	0.000655052836	-0.183448	-0.0412639999999999	0.033653168704	0.0017027176959999	-0.236235	0.0023569999999999	0.055806975225	5.555448999999991e-06	-0.00177747	7.514999999999996e-05	3.1593996009e-06	5.647522499999994e-09	0.00132832	9.521000000000009e-05	1.7644340224e-06	9.064944100000016e-09	-3.22353e-05	7.66427e-05	1.03911456609e-09	5.87410346329e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
794.8447784810801	-0.124672230655392	0.0155431650965912	631778.2218786373	915.70611218546	-0.6114899758183583	0.3739199905263364	838517.6838938103	749.6767114101845	-0.1310939402615076	562015.171630789	0.0171856211732877	748.0803440061046	661.0954567863059	0.7868549999999999	23.388042	0.0753939649999999	0.0360403	-0.055474573	-0.0134652107	0.0191703488	0.0534454915	0.0311460504	-0.0288935234	-0.1325706168	-0.0008728469	0.0142762928	-0.1033944349	0.0199336089	-0.0570249223	-0.0074574525	-0.0543302062	0.001567424	-0.0815696584	-0.0366204614	-0.1202155495	0.0225943132	0.0463885162	0.0225332265	-0.0270795036	0.019542365	0.089403145	0.0763845376	0.0423245105	-0.0840933567	0.1475667503	0.0222151506	0.1199259582	-0.0360432557	0.0566524715	-0.0990800895	-0.147037717	0.0577165813	0.0113769423	-0.0243953763	-0.0780789159	-0.0879742371	0.1687655742	-0.0171524073	0.0018320198	0.0084116496	0.0057887334	-0.0029678515	-0.0568919236	0.1435018686	-0.0972516983	0.1252782997	0.1915626286	-0.0598426191	-0.0562518353	-0.0179165997	0.0432582605	-0.1248594736	-0.0133502468	0.0929157696	0.0643494856	-0.0297279121	-0.0129246829	-0.0461122316	-0.058906775	0.0664430606	-0.0999057092	0.1288463203	-0.0751419122	0.0576122004	0.0288074869	-0.0596681016	-0.046090196	0.1130858439	0.0205701842	0.0722896417	-0.0088625735	0.0177107239	0.0112541721	-0.0336654383	0.0751397161	0.0545607066	0.001390259	0.03901368	0.120732298	0.0794661242	-0.1122197913	0.1144078661	0.1135094328	0.1120172664	-0.0418219	-0.0162279	0.00026334473841	0.00174907131961	-0.202865	-0.0194169999999999	0.0411542082249999	0.0003770198889999	-0.233429	0.002806	0.054489098041	7.873636000000016e-06	-0.00125987	0.0005176	1.5872724169e-06	2.6790976e-07	0.00132832	0.0	1.7644340224e-06	0.0	0.000189026	0.0002212613	3.5730828676e-08	4.8956562877689993e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
797.3892040425827	2.544425561502635	6.474101438028	635829.5427236636	916.7867909501774	1.0806787647173903	1.1678665925111051	840498.0200607243	750.2022438824683	0.525532472283885	562803.4067262905	0.2761843794248123	748.760251018419	672.0463962845353	0.789757	23.474295	0.1139844349999999	0.0646209	-0.0780522911	0.0020494239	0.0046206927	0.1014022584	0.0449346024	-0.0067790723	-0.0772469746	-0.009942436	-0.0497314094	-0.0498074638	-0.0364990783	0.0479670463	-0.0012926825	-0.0639746929	0.0478986511	-0.0597083709	0.0246476568	-0.1305001472	-0.0281682657	0.0750555758	0.055219553	0.0762758618	0.058756931	0.0970187438	-0.1201983619	0.0662559223	0.0685747528	-0.0439567363	0.1095042634	-0.0918765837	-0.0753285609	-0.0793021512	-0.1485381218	0.1139362296	0.0027024024	-0.0413928194	-0.0516987567	-0.0775832972	-0.1065893416	-0.030928968	0.1418509179	-0.0931046021	0.0457998044	-0.0020478542	0.0889685928	-0.0145449774	0.1502240035	0.0241672231	-0.1062306981	0.0153523096	-0.0710310569	-0.0249778236	-0.0722176449	0.0717406614	-0.0742274657	-0.0373336079	0.0214575571	-0.0753961363	-0.1165356575	-0.0238412473	-0.0476854453	-0.0273545074	0.0048565423	-0.0612643579	-0.0722143945	0.0226946761	0.1588499224	0.0216952084	-0.0819467997	0.0026012817	-0.0108552298	0.0219910272	0.0081539886	0.026012189	0.0276257206	-0.0017016856	0.0156271602	0.0221045793	-0.0708155604	0.0725828944	-0.122082484	0.0940147502	-0.0237145213	-0.058671396	0.1142120884	0.1127290384	0.1102715368	-0.0657611	-0.0239392	0.00057308529664	0.00432452227321	-0.153492	0.049373	0.0235597940639999	0.002437693129	-0.244693	-0.0112639999999999	0.0598746642489999	0.0001268776959999	-0.0008495589999999	0.000410311	7.2175049448083e-07	1.6835511672108206e-07	0.00132832	0.0	1.7644340224e-06	0.0	1.11723e-05	-0.0001778537	1.2482028729e-10	3.163193860369e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
797.6124858497956	0.2232818072128566	0.0498547654322392	636185.6775834904	917.0639237777274	0.2771328275499627	0.0768026041058373	841006.2402946014	751.3099362682901	1.1076923858217924	564466.6203354622	1.2269824216075746	749.8353212870069	694.9744733528755	0.859819	25.556791	0.063949515	0.0433128	-0.0920967684	0.039281533	-0.0158494999	0.0885187525	-0.0262612931	0.0167030422	-0.1399025573	-0.0028644776	0.0237345872	-0.022921406	-0.0701707409	0.033736361	0.0128962774	-0.0297327281	0.0640795761	-0.0128744746	-0.0435568995	-0.1140942546	-0.0037001885	0.0006498615	-0.1130063344	-0.0405948837	0.0421470161	0.0596285425	0.036633331	0.0475702738	0.0054536405	0.0426075066	0.006585915	-0.0323396219	0.15813949	-0.030746192	0.0712055469	0.0155482822	0.1244826744	-0.0180523164	0.121136811	-0.0721604411	-0.1138281374	0.0577917863	-0.0482919527	0.0315622121	0.0723265664	0.0114939914	-0.0761171288	-0.0348359365	0.0172601936	-0.0249320809	-0.0046307015	-0.1009167897	-0.0343678293	0.0049100514	-0.0697757224	0.0302634299	-0.1052535291	-0.0245877414	0.0195418293	0.0944208362	-0.0636899222	-0.0940349755	-0.0447943727	0.0154039538	0.0635631538	0.039705617	0.1268961954	0.0794036706	-0.0042679412	0.0053167089	0.0599081302	0.0081644928	0.0304738576	-0.1094844546	0.0206004871	0.0254768263	0.0280050528	0.0617219108	0.1042993917	0.0246953033	0.0981829897	0.0332963533	-0.0908408821	-0.0252330693	0.0528076108	0.0966930685	0.1139675232	0.1117560484	0.1081019891	-0.0686569	-0.0028958	8.385657640000023e-06	0.00471376991761	-0.153646	-0.000154	0.023607093316	2.3716000000004694e-08	-0.274364	-0.029671	0.075275604496	0.000880368241	-0.000398167	0.0004513919999999	1.58536959889e-07	2.037547376639097e-07	0.00132832	0.0	1.7644340224e-06	0.0	-0.00016201	-0.0001731823	2.62472401e-08	2.999210903329e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
796.2801739874234	-1.332311862372194	1.7750548986176635	634062.1154854413	920.2491155585996	3.1851917808721737	10.145446680935647	846858.4346863847	752.8498016771742	1.5398654088841113	566782.8238853606	2.371185477477831	751.8203450843184	688.4246256090405	0.8903729999999999	26.464949	0.2010825	0.098746	-0.104643217	0.0337802498	-0.0676867436	0.1152797711	-0.0938347075	0.0623082545	-0.0283304597	-0.0180463436	0.0312843372	0.0314364623	-0.0626182868	-0.014415816	0.0798800893	-0.0207108669	0.1273185843	0.0602554405	0.0518960163	-0.0949922123	-0.0019053872	-0.0557445097	0.026757008	0.0919221071	0.00938969	0.0984163127	0.0437615081	0.0266209955	0.0349829469	-0.117620425	-0.0254199726	-0.1473550656	-0.1404307595	-0.1273721593	-0.0795518424	0.1314269749	-0.0897235394	0.1486676325	0.1572918383	-0.0559779949	-0.0042274466	-0.0319698986	0.0240987305	0.010279015	-0.1115655572	0.0974998565	0.0042851498	0.0705752383	-0.1290916739	0.0377327412	0.1378758083	-0.0548194803	-0.0207126909	0.1049588143	-0.1086352989	0.0824802761	-0.04842353	-0.0166283729	-0.0624148277	0.0062864489	-0.077330291	-0.0628470276	-0.0097414658	-0.020885622	0.0209265717	0.0082315918	-0.0483764626	0.0377517383	0.0780884958	0.0312747797	-0.1131423076	0.1060902864	-0.1632709208	0.1609985592	0.1691121998	0.1445645713	0.1362368858	-0.0072169987	0.1267091002	0.0231859154	-0.0305011085	-0.0130341138	-0.0019839083	0.0206311682	-0.0936665085	0.1694740615	0.1136742748	0.110592125	0.105516962	-0.0904726	-0.0218156999999999	0.0004759247664899	0.00818529135076	-0.164922	-0.011276	0.027199266084	0.000127148176	-0.302427	-0.028063	0.091462090329	0.000787531969	0.000718727	0.001116894	5.16568500529e-07	1.247452207236e-06	0.00225024	0.00092192	5.063580057600001e-06	8.499364864000002e-07	-0.000921752	-0.000759742	8.49626749504e-07	5.77207906564e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
793.1756541393484	-3.1045198480750287	9.6380434870918	629127.6183193831	917.5578000501224	-2.691315508477146	7.243179166169599	841912.3164328204	752.8526034888387	0.0028018116644261	566787.0425799226	7.850148602914534e-06	751.8786122245659	670.9946259472038	0.905267	26.907642	0.12859445	0.0689548	-0.0862240629	0.0203363717	-0.0265329719	0.0494595617	-0.1528528024	0.0025654534	-0.1030401671	0.0137036014	0.0003027332	0.1078978446	0.0259501555	-0.0875874902	0.0897327278	-0.0125113638	0.1460617084	0.1363483572	-0.0500517842	-0.0732769278	0.0582051826	-0.0618844072	-0.078293457	0.0124893343	0.0601690313	0.0957660995	0.1106818389	-0.0096235208	-0.1010894547	-0.0043426421	0.0140905487	-0.0546047196	0.0579493466	0.0828895106	0.0080822856	0.1053357212	0.052863683	-0.1088625513	-0.0699965809	-0.1299279387	-0.0611026051	0.0111520324	0.0827593366	0.0856570185	-0.0439055622	0.0264448169	-0.0101095722	0.1692730532	0.0300483004	0.0429425089	0.0501626494	-0.001902094	-0.0099547799	0.1586413301	-0.0746004858	0.0214574471	-0.0953315724	0.037522581	-0.0304677441	0.1296145373	0.0271936879	-0.0854928146	0.0594579125	-0.0182806271	0.1018107017	0.1083763684	0.1342214572	0.0742062006	0.0718111474	-0.0186657436	-0.0638936128	0.0154511962	-0.0478626101	-0.0220259366	0.0207057436	-0.0353022035	-0.128950109	0.0687006041	0.0675981483	0.0120560048	-0.0264325693	-0.1336053689	-0.0531548637	-0.0113649576	0.038972838	0.2689900113	0.1133324686	0.1092392569	0.1025263906	-0.119453	-0.0289804	0.00083986358416	0.014269019209	-0.160728	0.004194	0.025833489984	1.7589636000000027e-05	-0.310991	-0.008564	0.096715402081	7.334209600000027e-05	0.00141937	0.000700643	2.0146111969e-06	4.909006134490002e-07	0.00257992	0.0003296799999999	6.655987206399999e-06	1.0868890239999982e-07	-0.00162855	-0.000706798	2.6521751025000005e-06	4.995634128040002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
793.3884937639357	0.2128396245873318	0.0453007057944763	629465.3020370066	916.3838152580388	-1.1739847920836155	1.37824029204361	839759.2968668793	753.6094525039487	0.7568490151099923	567927.2069033013	0.5728204316729653	752.0201888276969	659.7614638285454	1.077254	32.019684	0.53260437	0.253301	-0.046429162	0.005970428	-0.0184379747	0.0701244112	-0.0346011204	0.0360046535	0.0749196495	-0.0387049865	0.0357783224	-0.0239335368	0.1151758026	-0.0543799494	-0.0525688655	0.0088044538	0.1344676621	0.0546930722	-0.004014601	0.0643858629	-0.0365092916	-0.0156010843	0.0280369418	0.0613450529	0.1006281111	-0.037937781	-0.1224769562	-0.1373592396	-0.0722986775	-0.0215132744	-0.0902608119	0.110446717	-0.0312301403	0.0037181669	-0.1406877432	0.1185540509	0.0409364055	0.0390648315	-0.1066655097	-0.03758981	0.025666683	-0.0560275929	0.0106583151	0.103730125	0.0987678336	0.1607913746	-0.0286099119	0.0813943666	-0.1389944708	0.011461999	-0.0101519476	-0.0951994173	0.0037041619	0.0707696732	-0.109600316	-0.05510215	0.0497277869	-0.0279860937	0.0046602275	-0.0999502663	0.0863032817	0.0169809674	0.0848683279	-0.1014687358	0.0556391748	-0.0669429051	-0.0035957477	0.015519467	0.0165018017	0.1205100927	-0.015580956	-0.0612041773	0.0253358277	0.0143447317	-0.057928985	0.1023976558	-0.0925688222	0.0150606406	-0.0903633613	0.1641243806	-0.1088675979	-0.1009092049	-0.0326685936	-0.0058988973	-0.1337214602	-0.098452006	0.1129422506	0.1076997553	0.099141769	-0.0470075	0.0724455	0.0052483504702499	0.00220970505625	-0.00478878	0.15593922	2.2932413888400003e-05	0.0243170403342084	-0.206168	0.104823	0.042505244224	0.010987861329	-0.00104792	-0.00246729	1.0981363263999998e-06	6.0875199441e-06	0.00209521	-0.0004847099999999	4.389904944100001e-06	2.3494378409999978e-07	-0.000592617	0.001035933	3.51194908689e-07	1.0731571804890004e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
792.8940818559366	-0.4944119079990514	0.2444431347712625	628681.0250421688	912.8504666586364	-3.533348599402416	12.484552324899012	833295.9744788902	751.0663842910394	-2.5430682129092474	564100.7136120152	6.467195935509434	749.8590911698194	643.6308498630245	0.99018	29.431557	0.28367147	0.215892	-0.0345162521	-0.0168194087	0.0312853055	0.0099964521	-0.0210764384	0.0219434101	-0.0804506083	-0.0240141568	-0.0668275447	-0.0232220888	-0.0563636963	-0.0868561978	-0.0553730731	-0.0325816767	0.0341314846	-0.0100175587	-0.0542222572	-0.0910700761	0.0467083207	-0.0157490712	0.0981155449	0.0132852209	0.0766441611	-0.1096270915	0.0482857554	0.1224991348	0.0276870003	0.0116811774	0.015790994	-0.0896118148	-0.0605342584	0.1942960832	-0.0103792125	0.1171977772	-0.0509889775	-0.1567496482	-0.0637512497	-0.0885541556	0.0240231193	0.0632439562	-0.017424568	-0.0185637135	-0.1113483826	-0.0233821284	-0.0767443145	0.0776781972	-0.1531905614	0.2200858666	-0.0047810472	-0.0220098875	-0.0301496252	0.0192709671	-0.0106581872	0.0132551434	-0.0998000403	0.0397671845	-0.007894265	-0.0126361796	-0.0246217849	0.0350397369	-0.0487956068	-0.0566759031	0.0654106025	-0.1340783871	0.0187970682	-0.0135226665	-0.0656457654	-0.1485503816	-0.0136555586	0.0321914151	-0.0395617852	0.0267970498	-0.1055819947	-0.016875959	-0.1445661061	-0.0109862119	0.0057741452	-0.0142131021	-0.0493926027	-0.0980386627	-0.0740071076	0.1091353093	-0.1025136909	0.084710274	0.1125037874	0.1059762505	0.0953761056	-0.0331515	0.013856	0.000191988736	0.00109902195225	-0.218165	-0.21337622	0.047595967225	0.0455294112614884	-0.232062	-0.025894	0.0538527718439999	0.000670499236	-0.0007820289999999	0.000265891	6.115693568408436e-07	7.069802388105316e-08	0.00193576	-0.00015945	3.7471667776e-06	2.5424302500000068e-08	-0.000407053	0.000185564	1.65692144809e-07	3.4433998096000016e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
