	ADHD	Bipolar	Control	Schizophrenia	macro avg	weighted avg
precision	0.0	0.08333333333333333	0.5283018867924528	0.5833333333333334	0.2987421383647799	0.37401480773823736
recall	0.0	0.06666666666666667	0.7567567567567568	0.4666666666666667	0.32252252252252256	0.45569620253164556
f1-score	0.0	0.07407407407407407	0.6222222222222221	0.5185185185185186	0.3037037037037037	0.4039381153305204
support	12.0	15.0	37.0	15.0	79.0	79.0
