	ADHD	Bipolar	Control	Schizophrenia	macro avg	weighted avg
precision	0.17647058823529413	0.29411764705882354	0.38461538461538464	0.5	0.3388009049773756	0.3473446058585377
recall	0.25	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.31249999999999994	0.3157894736842105
f1-score	0.20689655172413793	0.3125	0.3571428571428571	0.4	0.31913485221674875	0.3250421311900441
support	12.0	15.0	15.0	15.0	57.0	57.0
