global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20
605.8665501150873	n/a	n/a	367074.2765483576	683.8802103373138	n/a	467692.1420910085	n/a	623.500375019403	n/a	n/a	388752.7176493362	617.6753826045326	438.3863925636008	n/a	n/a	n/a	n/a	-0.0559246257	0.0137723062	-0.0044595556	-0.0322014517	-0.126281648	0.1822128479	-0.0072528886	0.0454764775	0.087935948	-0.0649681077	0.0174730637	-0.0537154015	0.0012104231	-0.0240904749	0.1548806143	-0.065991531	0.0034342488	0.0475502501	-0.0278408603	0.0056713408	-0.0478456405	0.0461555994	-0.0335987221	0.007750561	-0.0355932898	0.0138831207	-0.0860079313	0.0322210583	-0.0430872491	0.0997681992	-0.1216213872	0.0223789039	-0.1474659627	0.0205563556	0.0050559776	0.0399349603	-0.0195472788	0.0933966886	-0.0892519604	-0.0166913072	-0.0208221878	0.1049631305	0.0801317966	-0.1260004573	-0.0622305946	0.0994896886	-0.003311815	0.0405246895	0.1246273365	-0.07907754	0.0742215837	-0.0621306891	0.0136610424	-0.0349858661	0.0139552425	-0.1142197369	0.0846579278	-0.0857105444	0.0889938621	-0.0698656584	0.07809029	-0.0403872496	0.0750417146	-0.0601962482	0.0184830913	-0.1462731523	0.079050054	-0.1081748645	0.031338581	-0.1007470687	0.1114165352	-0.0111848445	0.0649038697	-0.0424686361	-0.0297347298	0.0017957567	0.1559031831	-0.1953346723	0.1040370277	0.0811502445	0.1147017419	0.1146833673	0.1146527451	7.32353e-05	n/a	n/a	5.363409166090001e-09	-0.0447696	n/a	n/a	0.00200431708416	-0.184206	n/a	n/a	0.033931850436	-0.00236603	n/a	5.5980979609e-06	n/a	0.000306649	n/a	n/a	9.4033609201e-08	0.000117287	n/a	n/a	1.3756240369e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
609.0268204140696	3.160270298982254	9.987308362629388	370913.66798367136	715.1476958922365	31.2674855549227	511436.2269399748	977.6556529272996	626.4423723541254	2.941997334722373	8.655348317513548	392430.0458806647	623.7374444289627	444.51054237638	0.945003	41.960243	0.2086461352999999	0.11343	-0.0527728888	-0.109341254	0.1041089523	-0.0687296574	0.0846091072	-0.1059049743	-0.1054938756	0.0083166919	-0.0473102707	0.0471377754	-0.0722955425	0.0334431328	0.0840404703	-0.0052022184	-0.0939190234	0.0361483526	0.0785999073	0.0581733357	0.0611324159	0.0996425923	0.0467077583	0.0114556387	0.1118294977	0.0398885892	0.1069157025	0.0654475418	0.0799232886	0.1035729737	0.0281776905	0.1385475108	0.0790500188	-0.0333227007	-0.0310450341	0.1727159447	-0.1011988612	-0.0024516932	-0.0175006661	-0.109866375	-0.079097922	0.0216755703	-0.0902207559	-0.034644568	-0.044733252	0.0234645366	-0.0394884426	-0.0143735006	-0.0832617298	0.0543079743	-0.0878696518	0.0131230995	-0.0329009796	-0.0058015812	-0.0456673528	0.0249019779	-0.1291357867	0.0568404977	0.0015051936	-0.0502195723	0.0053891705	-0.0513315926	-0.038143151	0.0155007173	0.1010507292	0.1150319607	-0.0573388869	-0.0254583824	-0.0888016378	0.0738962126	0.0553247473	0.0602588984	0.2546684935	0.188433666	-0.0647698745	-0.0621341951	0.0302498711	-0.0237368712	0.0749385517	0.1832948837	0.0660475082	0.0400218759	0.1146527451	0.1144874327	0.1142120884	-0.0168925	-0.0169657353	0.0002878361742696	0.00028535655625	-0.0375551	0.0072144999999999	5.204901024999998e-05	0.00141038553601	-0.125368	0.058838	0.003461910244	0.015717135424	-0.000384405	0.001981625	1.47767204025e-07	3.926837640625e-06	-0.000106997	-0.000413646	1.71103013316e-07	1.1448358009e-08	0.0	-0.000117287	1.3756240369e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
608.2420434289138	-0.7847769851557587	0.6158749164301619	369958.3833945807	701.8207821331241	-13.326913759112358	492552.41023395007	177.60663034281828	624.6473279688493	-1.7950443852761282	3.2221843451113528	390184.2843386231	620.4603509710223	415.153875601972	1.185548	52.640995	0.241196	0.140794	0.1436706601	-0.0120092237	0.0569772758	0.0946835736	-0.0217465592	-0.0007359306	0.0328600753	-0.1180740355	-0.0283509372	-0.0782910085	-0.0082684324	-0.0795303605	0.0935823735	-0.0212503246	-0.0303045777	0.0391293888	-0.0243346337	0.0975140561	0.0235617131	0.1569490721	0.0833284018	0.0060973336	0.0530230246	-0.0687075262	-0.1378415961	0.0419484892	-0.0657523293	0.0259878152	-0.0402322526	0.1839666956	-0.0721828292	-0.0039302996	0.0971846088	-0.1848631373	-0.0039944755	-0.0600232317	-0.0321067686	-0.1232803875	-0.0586800745	-0.0816465939	-0.025643879	0.0549270971	-0.1100306792	-0.0025738188	-0.0900357341	-0.0598861497	-0.0197144522	-0.1372165139	-0.0081550671	-0.039274021	0.0855378867	-0.0259911164	0.0517036418	0.0506109707	-0.0976104581	0.0586395695	0.0154267727	-0.1259270188	0.0132417795	-0.0481232623	-0.1406108115	-0.0040601971	-0.0372612055	-0.0025744827	-0.1182334451	-0.0324510734	0.0292904938	0.1700443633	-0.086423659	-0.0561967773	0.0076402262	-0.1012691933	-0.1210904244	0.092034309	0.1054290534	0.0195993246	-0.0266663602	-0.0347937308	-0.1195963611	0.1528184374	0.1145547726	0.1140958982	0.1133324686	-0.0168772	1.530000000000281e-05	2.3409000000008604e-10	0.0002848398798399	-0.116068	-0.0785129	0.0061642754664099	0.013471780624	-0.233919	-0.1085509999999999	0.0117833196009999	0.0547180985609999	0.00010943	0.000493835	1.19749249e-08	2.43873007225e-07	0.000366076	0.000473073	2.23798063329e-07	1.34011637776e-07	0.000115428	0.000115428	1.3323623184e-08	1.3323623184e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
607.5014470169283	-0.7405964119855071	0.548483045445807	369058.0081276617	700.9402240907604	-0.8805580423637593	491317.1977484053	0.7753824659714962	625.1920905165862	0.5447625477369229	0.2967662334168232	390865.15004449926	622.2114376264884	445.97570276252645	1.313894	58.339867	0.10771702	0.0541571	-0.0536622795	0.1065787631	-0.1487475178	0.0860422069	0.0194531331	0.0114799913	0.047675881	0.0728337514	0.1031432814	0.0181156179	-0.0115804551	0.1597758033	0.0139257282	0.0015444409	-0.0435359097	0.0301481006	-0.0318718963	-0.0470531537	-0.1229455025	-0.0483840215	0.0259332214	0.1556822011	-0.0691246509	-0.0795840717	-0.2044100665	0.0315851368	-0.1670785436	-0.1591248034	0.0861411001	-0.0514654262	0.0203323392	-0.074913034	-0.0114969473	0.0272777933	0.0364482129	0.0364431926	-0.0373816667	0.0252938195	0.0474312649	-0.115596003	-0.0972493262	0.1399712457	-0.0717423256	-0.1682838165	-0.0969731721	-0.0304814184	0.1077521473	0.0371063385	0.0726297619	-0.0617422561	-0.158582767	0.0853727703	-0.0530077015	-0.0298363184	-0.0070084169	0.0040937474	0.052968293	-0.046408053	0.1455927723	0.0130536917	-0.1280815653	0.0036923798	-0.1160875853	0.0215748782	0.0197391293	-0.0574109247	0.0130537978	-0.0854969467	0.0775317458	-0.0352564947	-0.1900043333	-0.0276077804	-0.0804050051	0.1845753749	-0.0315223121	0.1532205861	0.0096514872	0.0171458977	-0.058550419	0.089947124	0.1144078661	0.1135094328	0.1120172664	-0.0101895	0.0066876999999999	4.472533128999997e-05	0.00010382591025	-0.130196	-0.014128	0.000199600384	0.016950998416	-0.257275	-0.0233559999999999	0.0005455027359999	0.066190425625	-0.0008086979999999	-0.0009181279999999	6.539924552038382e-07	8.429590243838163e-07	0.000117173	-0.000248903	6.195270340900003e-08	1.3729511929e-08	1.15526e-05	-0.0001038753999999	1.0790098725159998e-08	1.3346256676e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
608.1738500903309	0.6724030734026201	0.4521258931212892	369875.4319336963	703.9919812354175	3.051757144657131	495604.7096437684	9.313221669965843	624.0882428318334	-1.1038476847527363	1.2184797111339762	389486.1348409255	621.4166982992899	456.6491296156835	1.203271	53.427933	0.5857451300000001	0.341574	-0.0861071046	-0.0649196503	0.0496889438	-0.1124452336	0.0864600059	0.0195038804	-0.0866103667	0.0672130443	-0.1533383038	-0.1282520796	-0.0034592195	-0.0913110702	-0.0006685568	-0.051377817	-0.0535213923	0.0540836774	-0.024925195	-0.0281067882	0.0119015259	0.0356734821	0.0305887393	0.2112585271	0.1042495936	-0.0103104682	-0.002784474	-0.0315467708	-0.0304318649	0.0870189858	0.0397038727	-0.0402639536	0.1179812761	0.0741977108	0.1480161236	0.077660754	0.0481059566	0.0130614237	-0.0525270925	0.0251763907	0.0180121871	0.0225523541	0.0202397825	-0.1075440376	-0.106174743	0.1047382024	0.0291783247	0.1356740155	-0.0205998271	0.0854009619	-0.1467372721	-0.0943452989	0.1030793996	-0.0479291985	0.059946794	-0.0245087329	0.0634905229	0.1451103192	0.002542109	0.018514733	0.0588307907	0.0424573952	-0.0522776128	-0.0889795673	0.0513292684	0.1039511294	0.049989871	0.0581957285	-0.0896330117	0.106838664	0.0489724819	-0.0182231779	-0.0403889125	-0.0504065608	0.130665964	0.0291802662	0.0376603533	-0.003940696	0.0342875253	0.1529382027	0.1416262166	0.0189903337	0.1142120884	0.1127290384	0.1102715368	-0.0309492	-0.0207597	0.00043096514409	0.00095785298064	0.0404152	0.1706112	0.02910818156544	0.0016333883910399	0.010139	0.267414	0.071510247396	0.000102799321	-0.00263627	-0.0018275720000001	6.9499195129e-06	3.340019415184366e-06	0.000262634	0.000145461	2.1158902521e-08	6.8976617956e-08	-0.000554619	-0.0005661716	3.2055028064656e-07	3.076022351610001e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
610.1492756705726	1.9754255802416765	3.902306223073164	372282.1386013244	707.1282199634747	3.136238728057265	500030.3194687123	9.83599335936625	626.9773497088671	2.8891068770336688	8.346938546923239	393100.59704795503	623.3534865470276	416.1736419374841	1.280445	56.854637	0.6519199400000001	0.361396	0.1402087957	-0.0350778141	0.05890899	0.1053524455	-0.0629956521	-0.0549708292	0.0433102771	-0.1509266314	0.0071652735	0.0594107466	0.0501993081	-0.000827412	0.0359390531	0.0702037882	0.0322757689	-0.09291197	-0.1283579126	0.0005614368	0.0158485396	0.1448244531	-0.0787616557	-0.1377572672	0.0243554333	-0.0264072794	-0.0382909864	0.0347542287	0.066829619	-0.0617104492	-0.0128963065	0.0080292394	-0.0521188415	0.0749342932	-0.0381660664	0.1003572574	0.0072445993	-0.119732362	0.0908807343	-0.0180594194	-0.0819831559	0.0003617982	0.0741762939	0.0045381919	0.051623002	-0.1017065696	-0.1425722242	0.0116468588	-0.0522693832	-0.1338816466	0.0292149246	0.0970858841	0.0285411923	0.0631965418	0.0224808365	0.1169720704	0.0537829275	-0.0070697164	0.0818575583	0.0617855237	-0.0520204987	-0.009915202	-0.040607767	-0.0507542934	0.0612033279	-0.0542627802	-0.0543338819	-0.1004757502	0.0538275443	-0.0178874652	-0.1472685673	0.0976190234	0.0002876225	0.1101795524	0.0205513693	-0.0865843113	-0.0194198228	-0.1361586986	0.0124151279	-0.0009322216	-0.0158313346	0.0764636943	0.1139675232	0.1117560484	0.1081019891	-0.009894	0.0210552	0.00044332144704	9.7891236e-05	-0.158252	-0.1986672	0.0394686563558399	0.025043695504	-0.240787	-0.250926	0.0629638574759999	0.057978379369	1.01244e-05	0.0026463944	1.0250347536000002e-10	7.00340332035136e-06	9.31246e-05	-0.0001695093999999	2.8733436688359992e-08	8.67219112516e-09	0.000254908	0.000809527	6.55333963729e-07	6.497808846399999e-08	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
607.7984267464491	-2.350848924123511	5.52649066405267	369418.9275554586	703.0556250119752	-4.072594951499582	494287.21186097903	16.58602963897988	625.5039563045785	-1.473393404288572	2.170888123801068	391255.1993526801	622.3081929176411	448.11906511812975	1.206661	53.578461	0.1656820899999999	0.0857133	-0.0436916696	0.0799041237	-0.1077041884	0.0211864306	0.05920493	0.0300814955	0.06671914	0.0398582582	-0.0196969113	-0.060944134	-0.0030713415	0.1372299626	0.0763102519	0.0060107031	-0.0874519178	0.085640374	0.0582977569	-0.0224271957	0.0154609532	-0.1069620986	0.0787951031	-0.1411933529	-0.0306251653	0.0149771064	-0.084923529	0.1410507263	0.1337199616	-0.0751223667	-0.0038896096	-0.0315064099	0.1596349703	0.0207852585	0.052770085	0.1070883004	0.0693533471	0.0588346088	0.1141929917	-0.087979716	0.0394349652	0.0422703869	-0.0762758068	-0.0425115071	0.0352592428	-0.1200549042	0.0345225921	-0.0180424675	0.1021928953	-0.007063357	-0.0305526604	-0.0673308006	-0.0304364241	0.0724095688	-0.1277155345	0.0179196651	-0.051012853	-0.0120783644	-0.0219802996	-0.0357348881	-0.0312662849	0.039453689	0.0310019899	0.0754241647	-0.1151273458	0.0861581537	-0.0905333165	-0.0102854228	0.0553196177	-0.0761333771	0.1037729238	0.108932039	-0.0272392759	0.132810334	-0.0012235986	0.1162793863	0.09099794	-0.0751884281	0.0546892228	0.1325096793	-0.1012198012	-0.1684808583	0.1136742748	0.110592125	0.105516962	-0.0169403	-0.0070462999999999	4.965034368999998e-05	0.0002869737640899	-0.182284	-0.0240319999999999	0.0005775370239999	0.033227456656	-0.309266	-0.0684789999999999	0.0046893734409999	0.0956454587559999	-0.00103696	-0.0010470844	1.0752860416e-06	1.0963857407233595e-06	0.000238546	0.0001454214	2.114738357796e-08	5.6904194116e-08	0.000124918	-0.0001299899999999	1.6897400099999993e-08	1.5604506724000003e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
607.843673277629	0.0452465311799414	0.0020472485838174	369473.931143641	702.3850384381684	-0.6705865738067587	493344.74222178734	0.4496863529698874	624.1655618977961	-1.3383944067824132	1.7912995881064475	389582.6486591916	621.609574004357	458.6625210311356	0.953169	42.322845	0.4901648999999999	0.255491	-0.1308712056	-0.0280834221	0.005203175	-0.1244524079	0.0021687017	0.0299895502	-0.0576123295	0.1024293371	-0.03429056	-0.1428192591	-0.0125270192	-0.0114882001	0.1109594641	0.082756162	-0.0210114452	0.0616304444	0.031930092	0.0388151868	-0.0255541123	-0.1105634073	-0.0203254455	-0.0988096593	0.0178149566	0.056671921	-0.2159614117	-0.0464292459	-0.1080855082	0.0211356803	-0.1380360483	-0.0149460401	-0.0458526202	0.0367621229	-0.0232432534	-0.0592067532	-0.0003630664	-0.03705973	-0.011627331	0.1606727133	-0.023302355	0.0406991567	-0.1050327929	-0.1133515384	0.1173300483	0.0814634773	0.0535764939	0.1854622273	-0.0018557379	0.1119287902	-0.0398943588	-0.1134251806	0.0773799998	0.0217922378	-0.0267007469	0.0979894784	-0.1006184642	0.0163430739	-0.0364308284	-0.0454301117	-0.0336766534	0.0395178404	0.113060785	0.1418608312	-0.1694091816	0.0408594483	-0.0682644642	-0.0225202431	0.1105939822	0.0437137963	-0.0315144193	-0.0779209763	-0.1161036804	-0.0702960959	0.0819642478	0.0184927227	0.0391673436	0.0702965069	0.0289070089	-0.0538424987	0.0318654865	0.0760170723	0.1133324686	0.1092392569	0.1025263906	-0.0809272999999999	-0.0639869999999999	0.0040943361689999	0.0065492278852899	-0.0169747	0.1653093	0.0273271646664899	0.0002881404400899	-0.129054	0.1802119999999999	0.032476364944	0.016654934916	-0.000422748	0.0006142119999999	1.7871587150400001e-07	3.7725638094399993e-07	-0.000372877	-0.0006114229999999	3.738380849289999e-07	1.39037257129e-07	-0.000262579	-0.000387497	1.50153925009e-07	6.894773124099999e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
609.1944747020798	1.350801424450765	1.8246644882982157	371117.90800754295	702.6122647659345	0.2272263277660613	493663.9945995156	0.0516318040300495	626.0042157029084	1.8386538051122443	3.380647815053735	391881.2780778135	621.9852784821911	420.01317102066815	1.400807	62.198982	0.21561575	0.12233	0.1177911393	-0.1043373301	0.1089382123	0.1243391815	-0.0769958885	-0.0250129918	-0.0481584564	-0.1823954491	0.0528338325	0.0538507761	0.0783854202	0.0358686974	0.0186978073	0.0376775468	-0.0562689361	0.0182978556	-0.0876198663	0.0373632581	0.0044386666	-0.1067417254	-0.0020724612	-0.0123587222	-0.0644918992	0.0018192303	0.0760585926	-0.1096399896	-0.1577264176	-0.121168964	0.0379342557	0.0384893038	-0.0745403837	-0.1327531844	0.0999054627	-0.0315482403	0.0356071345	-0.0812531247	-0.0386489935	0.0719447236	0.0770171942	-0.0387971573	0.0520233475	-0.0035532192	0.0664150487	0.0707234246	-0.0041251451	0.0508917574	-0.117964692	-0.1294460624	0.0511471992	0.026745074	-0.0281702213	0.1079421667	0.0309629448	0.0107372422	-0.0017846486	0.0322936192	0.0150971149	-0.0024505373	0.0148413721	0.0694451994	0.0758610959	0.0193757373	-0.0786370585	-0.0165269024	0.053236747	-0.1131370602	-0.1345247632	-0.0735150242	-0.093707152	0.0526167335	0.0347105302	-0.1059639431	-0.0260521599	0.0891843369	-0.071838765	0.0436156185	-0.0282841347	-0.0842130385	0.0462349416	0.0405206429	0.1129422506	0.1076997553	0.099141769	-0.0684733	0.0124539999999998	0.0001551021159999	0.00468859281289	-0.0594644	-0.0424897	0.00180537460609	0.00353601486736	-0.232384	-0.10333	0.0106770889	0.054002323456	0.000192039	0.000614787	3.6878977521e-08	3.77963055369e-07	-0.000221946	0.0001509309999999	2.2780166761e-08	4.9260026916e-08	0.000118544	0.000381123	1.45254741129e-07	1.4052679936e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
607.5530863515309	-1.6413883505489366	2.694155717317759	369120.7527352707	698.2554128156467	-4.356851950287819	487560.6215263491	18.98215891672677	624.9075866031521	-1.0966290997562282	1.2025953824321556	390509.4917941761	621.5699259208104	425.8246184724894	1.317388	58.494987	0.22817502	0.139829	0.0167587624	0.0897508319	-0.1253242437	0.0465601152	0.1301715824	0.0949470121	0.0710621751	0.0290342428	0.0225229348	-0.1111777753	-0.0253960461	0.1423835211	-0.0833939622	0.0003084708	-0.1422304324	0.11026975	0.0158116559	-0.0395796701	0.0670531023	-0.0868518453	0.0323944615	-0.1181779962	-0.096489543	0.0159692214	0.0648707338	-0.0934132256	-0.0513294747	0.1497086926	0.0176712273	0.0601045792	-0.1347259516	0.111616078	0.0281683314	0.0562000883	0.0131627436	0.0409893602	-0.0129969532	-0.0009502861	0.0858922211	0.0812809585	0.1759807808	0.0168041249	0.1476580503	0.0235906749	-0.0027975043	-0.0236161837	0.1306869804	-0.0256021314	-0.0104124659	-0.1223854455	-0.0603138385	0.037655844	-0.059715142	-0.0413350234	0.024069392	-0.0511525038	-0.0562277968	0.0433039237	-0.0369440397	0.1632286971	0.0655385171	-0.0812307255	-0.0908165811	0.0367569953	-0.0376188417	0.0644664995	0.0160175444	0.0247256488	-0.1525044474	-0.0412651149	0.1288429089	-0.136489644	0.1093045658	-0.0392329024	-0.0434952541	-0.0467062761	0.0649356873	-0.0987870028	-0.2299581415	-0.0836196657	0.1125037874	0.1059762505	0.0953761056	-0.0501264	0.0183469	0.00033660873961	0.00251265597696	-0.188942	-0.1294776	0.01676444890176	0.035699079364	-0.277275	-0.0448909999999999	0.0020152018809999	0.076881425625	-4.89624e-05	-0.0002410014	2.3973166137599997e-09	5.808167480196e-08	-0.000360086	-0.00013814	1.9082659600000007e-08	1.29661927396e-07	-0.000211505	-0.000330049	1.08932342401e-07	4.4734365025e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
