global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
794.0279021455162	n/a	n/a	630480.3093856095	835.8634518833368	n/a	698667.7101943273	n/a	789.1480230872826	n/a	622754.6023425662	n/a	786.0718595969997	583.2486869568373	n/a	n/a	n/a	n/a	-0.0858305841	0.0640792765	-0.0367192082	-0.1096715472	0.0393824195	-0.0763840406	0.0511726782	-0.1717594486	0.1695384826	-0.0405648521	0.0126947493	0.0149082083	-0.2865670821	0.0280530098	-0.2076046198	-0.0108157599	-0.0256427256	0.0376842907	-0.0779822316	-0.0690496884	0.0759406162	-0.0641910932	0.0295803906	-0.0187386785	0.0009222982	-0.0543090445	0.0195658799	-0.0098388325	0.0389076224	-0.1211304843	0.0462929561	-0.0029909449	0.0988620903	-0.0744009601	0.0339737107	-0.0255690213	0.0902018576	-0.0278703351	0.1144986612	-0.0908568126	-0.0570222958	0.0446297321	-0.0284721331	-0.075909332	0.0561096125	0.0271068764	-0.076076223	-0.0217804512	0.0677020208	0.0349075569	-0.0681041175	0.054385968	0.0307254262	-0.0027852242	-0.046347977	-0.0262631021	0.0802317575	0.061083194	-0.065738063	-0.006843214	0.0494269836	0.0472334247	-1.6604e-06	0.0437981631	-0.0604307195	0.0447176255	-0.1584708388	0.0294296458	-0.0216737044	0.0023991118	-0.0715029035	0.0734299053	-0.0114956572	0.0051558025	-0.0143019269	0.0762165398	-0.0447111086	0.0153651687	-0.0485643275	0.0455105449	-0.0482606488	0.0340274416	-0.0159033823	0.0096410726	-0.099570618	0.0931291593	-0.0547423328	0.0651435017	-0.0187164134	-0.006399126	0.0402514154	0.00427722	-0.1687107806	-7.23657e-05	0.0364569438	0.0076554378	-0.0405531924	0.0067755231	0.0064989291	0.096625206	-0.0561375266	-0.0001291933	-0.1298043345	0.010065679	0.0664374476	-0.0852405156	0.1028718726	0.068021584	-0.0256944716	0.1147017419	0.1146833673	0.1146527451	3.3415e-05	n/a	n/a	1.1165622249999998e-09	-2.58954e-05	n/a	6.705717411599998e-10	n/a	-0.0331888	n/a	n/a	0.0011014964454399	0.000702312	n/a	4.93242145344e-07	n/a	0.00102524	n/a	n/a	1.0511170576e-06	-0.000400497	n/a	1.60397847009e-07	n/a
790.2859656770555	-3.7419364684607217	14.002088533996298	624551.9075461162	825.399104855325	-10.46434702801173	681283.6822959719	109.50255872265792	786.9740964489038	-2.1739266383788163	619328.2284815685	4.725957029053021	783.0281133104729	563.856394496389	1.132716	22.632389	0.1071200568	0.0500883	-0.1458235831	-0.0189394114	0.1031100843	-0.0049001397	0.1582565367	-0.0283106032	0.0573729389	0.0117986537	-0.1228312603	0.0140388453	0.1110045237	0.0024110323	-0.0083468635	-0.0376073634	0.1875081404	-0.1049249606	-0.0279889495	0.136338227	-0.0503709826	-0.0010191242	-0.0659329358	-0.0747730961	-0.0214120785	-0.0556672609	-0.01412634	0.1449639766	-0.0387202203	-0.0139320431	0.0248213218	-0.0317413499	-0.093255651	0.0068672273	0.0670268725	-0.0570750058	0.1224242802	0.0019543579	0.06188147	0.1007810102	0.1313357456	-0.0682574743	0.0161640984	-0.086129726	-0.1313918001	0.0077511923	-0.0638024349	-0.02820677	0.1095497115	0.0739024105	-0.075964216	-0.1111507859	0.0684082523	-0.0779248612	0.0652633349	0.0130219822	-0.0579564397	-0.0706927833	0.0253127255	-0.0360813145	0.0501353487	-0.0155355669	-0.0097373962	-0.023862755	0.1078788178	-0.0378551718	-0.0777075397	0.1461427879	-0.0013289564	-0.0076268184	-0.0688907372	-0.0701294822	0.078350484	-0.0591208638	-0.0249570824	-0.0342908029	0.0695781859	-0.0850104808	-0.0120918089	-0.0402129409	0.0238529633	0.0163913846	-0.0619190718	0.0312114054	-0.0749388331	-0.0117680317	0.0578433577	0.1410062337	0.0894840774	0.0316230351	-0.1009785139	0.0001358524	-0.0907888621	-0.05165418	0.0259762405	-0.0224868157	-0.0616526443	-0.1130902111	-0.0201382197	-0.0910211191	-0.0285038423	0.0298548288	0.1407308075	-0.0805770679	0.0386268983	-0.070095031	-0.0023280365	0.0257405116	0.1893757586	0.0412698909	-0.0969551224	0.1146527451	0.1144874327	0.1142120884	-0.00560955	-0.005642965	3.1843053991225e-05	3.14670512025e-05	-2.09236e-05	4.971799999999999e-06	4.3779703696e-10	2.4718795239999988e-11	0.00551287	0.0387016699999999	0.0014978192607888	3.0391735636899995e-05	0.00122572	0.000523408	1.5023895184e-06	2.739559344640001e-07	0.000693736	-0.0003315039999999	1.0989490201599997e-07	4.81269637696e-07	0.0	0.000400497	0.0	1.60397847009e-07
790.7034292398827	0.4174635628271517	0.1742758262883392	625211.9130117102	829.2000653620267	3.800960506701699	687572.7483963894	14.447300773506038	785.7124367055117	-1.2616597433921015	617344.0331937127	1.5917853080962234	782.5742001581135	563.3749170748322	1.089077	21.76046	0.2180000436	0.115363	-0.0764698318	-0.1535045131	0.0024461808	-0.0465622725	0.0406980479	-0.1520670935	-0.0562882756	0.1064852067	0.0438801639	0.042277113	-0.1491840819	0.0900986072	-0.0836127775	0.0122695953	0.0272744255	-0.1373631087	-0.089764183	-0.1932577407	0.0395519055	0.0175656533	0.0746185164	-0.1702075056	0.0146306358	-0.1184306077	-0.1408591614	0.0199558181	-0.0596706354	-0.0023815193	-0.0559192994	0.065001588	0.0215671064	-0.0439977522	0.0535958082	-0.012236181	-0.0753447804	0.055342893	-0.145924389	-0.0537392398	0.0876616702	0.0917492073	0.0394367053	-0.0914849112	0.1447448507	0.0141872081	0.0637087271	-0.0192066047	0.1409412174	0.0862003231	0.0455798917	-0.0606866366	0.0111185157	-0.0490902969	-0.0497380222	-0.0784168931	0.00211102	-0.1079085024	-0.0129032336	-0.1274214862	0.021065664	-0.0280328724	-0.0384930779	0.0781526745	0.1181235374	0.160530403	0.0948969023	-0.02905635	-0.0133554157	0.1173017601	-0.0828647314	-0.1237820427	0.0658119318	-0.0853337622	-0.002093467	-0.1772210055	0.0322695275	0.0102162873	0.0904713375	0.048782153	0.0235204326	0.014212384	0.0421960852	0.0578060582	-0.0047337012	-0.0573814659	-0.0163744854	0.0321726793	-0.1100239327	0.0723419346	0.0644135154	-0.0071480749	0.0687464804	-0.1134749839	0.1079669864	-0.0923216748	0.0125447601	-0.0036071458	0.1289580684	0.0848714265	-0.1683603036	-0.0146879642	0.0378396134	-0.0392472126	0.0539015887	-0.0061435107	0.0838213395	0.1122746027	-0.0155876688	0.0586724752	-0.0741596327	0.1145547726	0.1140958982	0.1133324686	-0.00230623	0.0033033199999999	1.09119230224e-05	5.318696812899999e-06	0.0852396	0.0852605236	0.00726578940816	0.0072693568845461	0.0150389	0.00952603	9.07452475609e-05	0.0002261685132099	5.38856e-05	-0.0011718344	2.90365788736e-09	1.37319586102336e-06	0.00147143	0.0007776939999999	6.048079576359999e-07	2.1651062449e-06	-0.000448675	-0.000448675	2.01309255625e-07	2.01309255625e-07
792.5930026353823	1.8895733954996103	3.5704876169799267	628203.6678265712	828.896454295432	-0.3036110665947262	687069.3319435392	0.0921796797587873	785.2164110208757	-0.4960256846359243	616564.8121365049	0.2460414798185374	781.6105559200614	556.753539999438	1.082946	21.637955	0.1046423599999999	0.0631497	-0.1443694662	-0.0175553143	-0.1331360488	-0.0088060659	0.1054626536	-0.0680665367	-0.142653615	-0.0234522726	0.1055010683	-0.0463708726	-0.0223897622	-0.0331190221	0.0854490571	0.0845965494	0.0743422855	-0.2041622685	-0.0065025646	0.0559392162	0.0140026337	-0.1255774068	-0.0076138129	0.0685088458	0.0810546917	-0.0084848029	-0.2080300273	-0.0085737562	-0.118603834	0.0062187471	-0.0218309876	0.0512288777	0.0485697517	-0.0028357863	0.0520156927	-0.0635689154	0.0635544091	0.0263716077	0.1249549726	-0.058553751	0.0369185571	0.0470500588	0.0562685673	0.0524402023	0.0215182351	0.0168002077	0.0186479359	0.0913220188	0.0474572856	-0.0185378965	-0.1029294713	-0.0030302045	-0.0131738057	-0.0520801865	-0.1078692376	0.0793983164	0.185383285	0.0470710126	0.1162825809	0.1113080985	-0.0346670536	-0.0102026578	-0.1343728892	-0.0230794777	0.1952426041	0.0545696742	-0.0822022174	-0.0059398115	-0.014651353	-0.1007312705	0.0624851705	-0.0422075255	-0.0939365886	-0.035954136	-0.0540227221	-0.17366373	0.023689093	0.0319832546	0.1032888894	-0.1616955792	-0.0693729295	0.0594517467	0.012368733	-0.0340269533	-0.098389977	0.0742024864	0.0373176114	0.1441674716	0.0575384398	0.0309593684	0.0381906423	0.033006114	0.1540730383	-0.0589811724	-0.0042476419	-0.0166140111	0.0212478401	-0.0327930501	0.0560877287	-0.0022896699	0.1127062549	0.0065347747	0.0110549185	0.1397216904	0.1247558419	0.0170028081	-0.0088376006	0.0860840784	0.0133724564	-0.1117278133	0.0867173017	0.1144078661	0.1135094328	0.1120172664	-0.00559383	-0.0032876	1.0808313760000002e-05	3.12909340689e-05	0.02591	-0.0593295999999999	0.0006713280999999	0.0035200014361599	0.00205371	-0.0129851899999999	0.000168615159336	4.217724764099999e-06	0.000237429	0.0001835434	5.6372530041e-08	3.3688179683559993e-08	0.0013009	-0.0001705299999999	2.908048089999997e-08	1.69234081e-06	-0.000221949	0.0002267259999999	4.9261358601000014e-08	5.1404679076e-08
795.369851066184	2.7768484308016923	7.710887207645821	632613.1999850436	831.3605210179804	2.4640667225484094	691160.3159072879	6.07162481317046	787.0318023489405	1.8153913280647205	619419.0579086217	3.295645674012589	782.9863903141238	579.7571787538094	1.113746	22.253359	0.13720015	0.0690519	-0.0831380121	0.1023433161	0.036963744	0.0100137375	0.0968466489	0.1033781902	-0.0523904403	0.0176242049	-0.035164922	-0.0155905253	-0.0595525784	0.0833643766	-0.0332041597	-0.0305331107	-0.0811872464	-0.1346191127	0.0978941408	-0.0375497859	0.035003414	0.0290339296	-0.0948964895	-0.0219897884	0.0556849649	-0.0807834159	0.0352250625	-0.0264443169	0.0162451486	0.1080058789	-0.0858694681	0.0251560408	0.0261076004	-0.1626618556	-0.0648070542	0.0191186655	0.004261996	-0.0994126383	-0.0288754257	-0.0536160609	-0.081132837	-0.0102976913	0.0083210605	0.0230772933	-0.0280229345	0.1294984614	-0.0168954694	0.0785208998	-0.0864424791	0.0228000667	-0.1077490653	0.0572673068	0.0586109737	0.0323323015	0.0992468551	0.0839055921	-0.0468607765	0.0112501209	-0.0727847092	-0.2256824209	0.1007544407	-0.0035932291	-0.0625306828	0.0314124426	0.1547166751	-0.0706945002	0.0185577962	-0.0662575944	0.0613437884	-0.0248369222	-0.0789255439	0.0129976045	0.0242665515	0.0847772814	0.0375457463	-0.0872705466	0.0397049387	-0.0693160556	0.0779810852	0.1826903616	0.0016830014	-0.0737286672	-0.0903862471	-0.1238637668	-0.0679626548	-0.009049135	0.0622966651	0.0322704265	0.1236092076	-0.0047966601	0.0180812669	-0.17410554	-0.0264584179	0.0892046037	0.1158395133	0.0114295754	0.061257837	0.005718245	0.0208105909	-0.0720155275	-0.0009281456	0.0369622095	-0.0185031614	-0.0244289714	-0.1306820797	-0.0573864385	0.1067797353	0.031682042	-0.0014940223	0.1299249994	0.022578009	0.1142120884	0.1127290384	0.1102715368	-0.00519069	0.0004031399999999	1.625218595999998e-07	2.6943262676100004e-05	0.0701864	0.0442763999999999	0.00492613074496	0.0019603995969599	-0.0187268	-0.02078051	0.00043182959586	0.0003506930382399	-0.000444051	-0.0006814799999999	1.97181290601e-07	4.644149903999999e-07	0.000550992	-0.000749908	5.623620084639999e-07	3.03592184064e-07	-0.000225363	-3.413999999999978e-06	5.078848176899999e-08	1.1655395999999848e-11
794.8744916864548	-0.495359379729166	0.245380915085664	631825.4575337999	832.0499890234688	0.6894680054883793	692307.1842339545	0.4753661305921238	789.6759060103218	2.6441036613813367	623588.0365332225	6.99128417213019	786.6647061962116	581.1524690527707	1.086325	21.705469	0.0449566705	0.0324017	-0.0082310275	-0.0688363173	0.0981011148	-0.0066791905	0.0237111714	0.0148230322	0.0928915039	0.0475102179	0.0023458739	0.0492176377	-0.0502862609	-0.022617222	0.1408323372	0.0416379065	-0.0721943112	0.0193047321	-0.0445459111	0.081899368	0.145577717	0.1123421232	0.0698562329	0.0677782539	-0.0839933514	-0.0106336087	0.0152764309	-0.1939417532	-0.0078192432	0.0401257776	-0.0098583798	0.0104574907	-0.0095575416	-0.0130455478	0.0151973971	0.007748166	0.0717609738	0.0118213274	-0.016627297	-0.0252117229	-0.0285964946	-0.0344479767	-0.0836045854	-0.0184497457	-0.0588014909	-0.055964389	-0.0540100226	-0.0798812105	0.1016222723	-0.0029532208	0.0343470327	0.1686144797	0.0677107918	0.0451319728	0.0056486416	0.0791641631	-0.0597312145	-0.034860418	-0.0855573301	-0.0743967286	-0.140862963	-0.1083166987	0.1722727367	-0.0063335518	-0.0229158618	0.004957438	0.0994624794	0.1291099768	0.0379618396	-0.0249067478	0.0857669489	0.0956677755	0.0134808222	0.0104758338	-0.0104578624	-0.0662936377	-0.0634320389	0.080486777	-0.0493446053	0.0892232297	-0.0953284794	0.0240020287	0.0177515083	-0.0508057827	0.0771004057	0.0588819893	0.0101967623	-0.1112411438	0.0355452646	0.1047040875	-0.0020841661	-0.0597408386	-0.0164851339	0.002264118	-0.0900753411	0.1413948547	-0.1758579298	-0.0300218315	-0.0219950518	0.0066961923	0.0688220953	0.1082262661	-0.0846830224	-0.1081578749	0.095673591	0.072428348	-0.0535239704	0.0657016497	-0.1133117252	0.0952222566	0.0226911379	0.1139675232	0.1117560484	0.1081019891	-9.35695e-05	0.0050971205	2.5980637391520256e-05	8.75525133025e-09	0.0384102	-0.0317762	0.0014753434640399	0.0010097268864399	-0.0197389	-0.0010121	1.024346410000004e-06	0.00038962417321	-0.000480627	-3.657600000000002e-05	2.31002313129e-07	1.3378037760000016e-09	0.000500552	-5.044000000000001e-05	2.5441936000000004e-09	2.50552304704e-07	-0.000170954	5.4409e-05	2.9225270116e-08	2.960339281e-09
793.8065031576643	-1.0679885287904654	1.1405994976280227	630128.764455399	829.9758241187799	-2.074164904688928	688859.8686216478	4.302160051843229	789.6708870814905	-0.0050189288313049	623580.109904068	2.5189646613704043e-05	786.762230601935	569.2762789707956	1.026358	20.507292	0.1143871425	0.0615352	-0.0273090889	-0.1114178942	-0.0677646757	-0.0403035912	-0.0169098727	-0.1236908939	-0.0609716261	0.0013235216	-0.1095658055	0.0319734212	0.0213094145	0.0120746443	0.0422583357	-0.0663195201	-0.039153609	0.0679532649	-0.1841648642	-0.0653396869	-0.0592262104	-0.0880349545	-0.0700166358	-0.0573092217	-0.0737862771	-0.1368414252	0.013957808	0.1575769161	-0.0915511199	0.0876263784	-0.0096994321	0.1021974451	0.0004013105	0.06268482	-0.0732088616	0.0533711873	-0.0047566031	-0.1048019212	-0.0093661153	0.0031627606	-0.0238439147	0.0217327551	-0.0414926056	-0.0070640581	-0.0139376901	0.0136589433	-0.1240134985	0.06238387	-0.0127251055	-0.0427824951	-0.0194880623	0.0753930675	0.0533075774	0.0948852179	-0.2470008144	0.0239488792	-0.0218501588	0.0819250508	-0.1374039753	0.0619613267	0.0089931291	-0.0200946746	-0.0996216198	0.0002509322	-0.0819651041	0.1447548862	-0.0940934733	0.0031160738	0.0145180386	0.0782825132	-0.0199422335	-0.0052584378	0.2276606922	-0.08836723	0.0501346412	-0.0129973375	0.1421458527	-0.0924322198	0.0265230507	0.0010817519	-0.1434807776	-0.0433735042	-0.0733623131	0.037502211	-0.0202376226	-0.033336618	0.0506849437	-0.0659540424	-0.04504076	-0.0789953415	-0.0465815911	-0.0307045983	-0.0362086282	-0.0065474111	0.0108635683	0.0808887949	0.1159626604	0.0245391701	-0.0497296603	-0.0003429668	-0.0491266379	0.0376345058	-0.00965563	0.0137958148	-0.1070754466	0.1021691216	-0.1862788064	-0.0151043636	0.1187078364	-0.061888022	0.1015454538	0.1136742748	0.110592125	0.105516962	-0.000105762	-1.2192499999999989e-05	1.4865705624999971e-10	1.1185600643999998e-08	0.0654021	0.0269919	0.00427743468441	0.00072856266561	0.0362067	0.0559456	0.0031299101593599	0.00131092512489	-0.000109027	0.0003716	1.1886886729e-08	1.3808656000000006e-07	0.000590857	9.030499999999994e-05	8.154993024999989e-09	3.49111994449e-07	-0.000337798	-0.000166844	1.14107488804e-07	2.7836920336e-08
794.8139793263415	1.007476168677158	1.0150082304524055	631729.261732574	832.0949729804491	2.1191488616692595	692382.0440593344	4.490791897914119	790.7443959013247	1.07350881983416	625276.6996493508	1.152421186261731	787.4094575500517	574.0321966699044	1.040545	20.790758	0.094226022	0.0489822	-0.0963638036	0.0729255781	-0.0439105188	-0.0520456285	0.091089502	-0.018115868	0.0126378032	-0.131635643	0.0860219086	0.0069478766	0.0227419151	-0.044899614	0.0495864866	0.019480562	-0.0646902341	0.0743296001	-0.0359323901	0.0384169109	-0.1880944042	-0.1051354724	0.0395846986	-0.0379635025	-0.0018231827	0.0089011777	-0.0038328937	-0.0836566333	-0.0351443211	0.0071535675	0.1043013367	-0.0799092332	0.0059732204	0.0039581612	-0.1137685865	-0.0260927715	0.0567719136	-0.1613288518	-0.0180453965	0.0089799652	-0.0423924242	0.087742622	-0.0280955577	0.0496682936	-0.121114694	-0.0735405544	-0.0613656187	-0.1399053004	0.0377957725	0.0067019044	-0.0404109746	0.092325609	-0.0975147666	0.1155796556	0.0394297743	-0.0761281635	-0.0237142299	-0.0455483913	0.1078620464	-0.0465553048	0.1573324639	-0.0336483583	0.0344255864	0.0831508106	-0.074211131	-0.0010490096	-0.1213786471	0.0172832063	-0.0918009042	0.0870312837	0.0236022079	0.0807778291	-0.1516329831	-0.077312318	-0.0050377868	-0.0306152595	0.0146248183	0.076845255	-0.0709290563	0.0303035811	-0.0647334002	-0.1325622022	-0.1041338465	-0.0015667795	-0.107993851	-0.1278583201	0.0917515446	0.0332316191	-0.0248211328	0.0267163552	-0.0987949856	-0.0683936849	-0.0770031176	0.0893033632	0.0056351686	0.1033586336	-0.0328315365	0.0894987583	0.0566453742	-0.1741538252	-0.0098730512	0.0476392867	0.0064106468	-0.0782397795	-0.0941016791	-0.0056954262	0.0214777018	-0.1188152372	0.0166650025	0.0302180909	0.1683135103	0.1133324686	0.1092392569	0.1025263906	0.00251426	0.002620022	6.864515280484e-06	6.3215033476e-06	0.0605703	-0.0048318	0.00366876124209	2.334629124000004e-05	-0.0022099	-0.0384166	0.00147583515556	4.88365801e-06	-0.000853129	-0.000744102	7.27829090641e-07	5.536877864039999e-07	0.000513414	-7.744299999999996e-05	5.997418248999993e-09	2.63593935396e-07	-0.000192191	0.000145607	3.6937380481e-08	2.1201398449e-08
795.5378346725005	0.7238553461589845	0.5239665621629432	632880.4463954107	831.809012294795	-0.2859606856541177	691906.2329348425	0.0817735137397731	788.665334086771	-2.0790618145535973	621993.0091901982	4.322498028734897	785.2166621015372	571.6825656021274	1.056804	21.115608	0.0797450829999999	0.0505076	-0.0644125452	-0.023160257	0.0967881965	0.0820570448	0.0987515365	0.0769273033	0.0113397168	0.079626568	-0.0948426034	0.0191072454	0.0596666804	-0.0357257489	-0.0274481784	-0.1415637043	-0.0064513461	-0.0091124306	-0.0535990838	0.1135098503	-0.0701760352	0.1787931835	-0.0542963668	-0.0410809618	0.0636976648	0.2336403344	0.0924922698	0.0887121182	0.0190872731	-0.1521879462	-0.065167532	0.1603408414	0.0614669439	-0.0267995242	-0.0778164506	-0.1820712514	-0.1384249067	-0.0674201114	-0.0612255848	0.0760253565	0.0470370516	-0.0117567215	0.1105817308	0.1724443144	0.1249618675	-0.0867396367	0.0008643673	-0.1009817703	-0.0352709502	-0.0898161285	0.0122941766	-0.0593866666	-0.1021500412	-0.0953167777	-0.0679193455	0.1174352289	-0.0290676023	-0.0732690979	0.0790914367	-0.0286664978	-0.029249289	-0.012613731	0.0256421621	-0.0364160135	0.0169992551	-0.0626627901	-0.0368431967	0.1618279315	0.0808954252	0.0557987703	0.0347130734	-0.1132381231	-0.0245383978	-0.0926145972	-0.0422624854	0.1433201004	-0.0585030996	-0.1613899362	0.2063509183	-0.1339866451	0.1922977393	-0.03720106	-0.08827971	-0.0240998093	0.0047218746	0.0134703764	-0.0226722746	-0.099847927	-0.0268278038	0.0573509801	0.1491720493	0.102074284	0.0440240519	-0.0618696441	-0.0851533224	0.0481592573	-0.039015229	0.152698358	-0.0800096532	-0.0683593997	-0.0304809173	-0.0322717314	-0.0264555619	-0.0265485005	-0.1464684867	-0.0521312851	-0.009614079	-0.1068366996	-0.0609390592	0.0400270427	0.0563278485	0.1129422506	0.1076997553	0.099141769	-7.3593e-05	-0.0025878529999999	6.696983149608999e-06	5.415929649e-09	0.0136405	-0.0469298	0.00018606324025	0.00220240612804	-0.00342578	-0.00121588	1.4783641743999998e-06	1.1735968608399998e-05	-0.000662481	0.0001906479999999	4.388810753610001e-07	3.634665990399999e-08	0.000215855	-0.000297559	8.854135848099998e-08	4.6593381025000003e-08	-0.000100167	9.2024e-05	1.0033427889e-08	8.468416576e-09
798.0550329128505	2.5171982403500124	6.336286981221199	636891.8355575309	835.7972629548099	3.9882506600148417	698557.0647627516	15.90614332710882	789.3100425926532	0.6447085058821358	623010.343337616	0.4156490575567759	785.8300810296419	582.8557409684845	1.04832	20.946108	0.104314368	0.0696698	0.0445812087	-0.0894389928	-0.0344177143	0.0142360235	-0.0773498828	-0.0564074285	-0.0351902758	0.1044341239	-0.0001088685	0.0118591579	0.0057910715	0.0133101099	-0.0572340658	-0.1272869481	0.0823934975	-0.0021278188	-0.0851284905	-0.0798953103	0.0228101982	0.0755078696	0.0606224088	0.030747939	0.2154431094	0.0736015844	0.0189673177	0.0561806588	-0.0577714092	0.1276519456	-0.0287661784	0.0273861678	-0.017071119	0.044238594	-0.1156870468	0.0416971714	-0.0635872034	-0.1466393796	-0.0411453894	0.0812725861	0.1164893891	-0.0570401541	-0.1553064444	-0.0416841673	-0.0378456853	0.0332252577	0.0065676306	0.0035273675	-0.0758171471	0.0247752459	0.1295949708	-0.0274690307	-0.0910665017	-0.0696271255	0.0743052472	-0.0295499624	-0.1120379139	0.1792084888	-0.0232514796	0.0925788301	0.0754543874	0.0547128316	0.055525208	0.0908949012	0.010130912	0.0964378722	0.0281546099	-0.0227557002	0.0905300741	0.0439575114	0.0787966793	-0.1751617354	-0.074416621	0.0602401394	-0.0320599959	0.115590141	0.025284235	-0.0377896175	0.062265501	0.0962784751	-0.0283147028	-0.0275239363	-0.0406330765	-0.0269605996	-0.1173190425	-0.0831928761	0.1259335588	-0.0977455907	-0.0893856867	-0.1270277298	-0.0324170046	-0.0550181869	-0.096099348	-0.089258971	-0.0736819923	-0.0111497762	0.1005489143	0.0168437405	-0.0515687215	0.106040127	-0.0285676237	0.1008029135	-0.0076097357	0.0621726649	-0.0348368757	-0.0355488421	0.1033148898	-0.0546427988	-0.0070710367	-0.0706312096	-0.0976728715	0.1125037874	0.1059762505	0.0953761056	0.00392812	0.004001713	1.6013706934369005e-05	1.5430126734400002e-05	0.0816189999999999	0.0679784999999999	0.0066616611609999	0.0046210764622499	-0.0142422	-0.01081642	0.0001169949416164	0.00020284026084	-0.000717834	-5.535299999999996e-05	5.15285651556e-07	3.0639546089999953e-09	7.848429999999998e-05	-0.0001373707	1.8870709218490005e-08	6.1597853464899985e-09	-0.000337798	-0.0002376309999999	1.14107488804e-07	5.6468492161e-08
