global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
756.1446214146486	n/a	n/a	571754.6884943022	837.5664719897138	n/a	701517.595001296	n/a	678.7726642067233	n/a	n/a	460732.3296742932	686.5572291742867	552.8432760760473	n/a	n/a	n/a	n/a	-0.0323362243	-0.0297106463	-0.0262701738	-0.0742635405	0.0343817504	-0.0329760043	0.0423253347	-0.1162583531	0.0351412515	-0.0347766078	0.0325710611	-0.0266211831	-0.055034472	0.0568471799	-0.0538163773	-0.0747181124	0.1573597379	-0.1065810021	0.0417228656	-0.0035645883	0.0805427464	-0.0722342103	0.0033933043	-0.1355670385	0.0318518358	-0.0827560965	0.0035727103	-0.0867685763	0.0765908989	-0.1157206195	0.0997705931	-0.0067386257	0.1053375546	-0.0120680302	0.0100167171	-0.0277004164	-0.0424954154	0.0820364549	-0.0365996424	0.1257476509	0.0445024801	-0.0619169367	0.0837951761	0.0275253329	-0.15971558	-0.0410547792	0.066910709	0.0084277007	0.0335074919	-0.0096903457	-0.0474848291	0.0245625597	-0.0379338042	-0.0412841453	0.0706007595	-0.100960329	0.0860205721	-0.0444318719	0.0161705456	-0.0065976781	0.0871608962	-0.0605773453	0.0212094846	-0.0202752913	0.0284120546	-0.0513218889	0.1185107413	0.1594606724	-0.1410846133	0.0920686602	-0.0270145836	0.0862059171	-0.0006183164	0.0177907558	-0.0762617521	0.0223738187	-0.0166957307	0.0238496553	-0.0153246748	0.0271230364	-0.0306579411	0.0210691632	0.0061382506	-0.0674694949	-0.0939559327	0.0630957047	0.0151701222	0.0892293083	-0.0292467313	-0.0620763567	0.0463201758	0.121607876	0.1147017419	0.1146833673	0.1146527451	-0.0424993	n/a	n/a	0.0018061905004899	-0.128008	n/a	0.016386048064	n/a	-0.179438	n/a	0.0321979958439999	n/a	-0.00186103	n/a	3.4634326609e-06	n/a	0.000342905	n/a	1.17583839025e-07	n/a	-0.00134333	n/a	1.8045354889e-06	n/a	0.0	0.0	0.0	0.0
754.0779818160408	-2.066639598607708	4.270999230533428	568633.6026597532	830.4931475928232	-7.073324396890598	689718.8681986348	50.03191802364774	677.5529241456057	-1.2197400611175908	1.4877658166951442	459077.965018261	685.3296046064021	545.7922407927202	0.949542	19.822367	0.0982951	0.0636863	-0.0433739429	-0.0469404689	0.0197950892	-0.1116402462	-0.0403515328	-0.0381954321	0.0445549945	-0.0101998742	-0.0038940033	0.0291465021	0.0236678954	-0.0446863455	-0.0245184613	0.0769852477	0.0114426958	-0.0262666565	0.0943757545	-0.0267057076	-0.0215457621	0.0843839984	0.1234403209	-0.0811789778	0.0151950219	-0.1499773838	0.0111996517	0.0171842604	-0.0727176454	0.0008916072	0.117012092	-0.0464221187	-0.0143203222	-0.0545402035	0.0917987424	-0.0301146945	-0.0031303523	0.0119832773	-0.0681483779	0.146600287	0.0431376268	0.0395926769	-0.0606712198	-0.0092984483	-0.0347197347	-0.057095608	-0.0514683076	-0.0821122021	-0.041230402	-0.0170971115	0.0463753746	0.038528989	0.0807509206	-0.041887153	-0.058911606	-0.0076530334	0.0943962584	-0.0325059151	0.0379872695	-0.0160884749	0.0039690373	-0.0043346738	0.0526107429	0.0036638859	0.0543624582	0.076666064	0.0015162618	-0.028427435	0.1568223821	0.1341486485	-0.0828164725	0.0482041016	0.0176432317	0.1289264156	-0.0202586817	-0.0935255569	0.0707087624	0.0241620985	-0.0025192131	0.0066052684	0.0273108723	-0.023507392	0.0228530042	0.0863093355	0.0188460405	-0.0463916722	-0.0580113422	-0.0122970073	-0.0281262437	-0.1241459656	0.0857140367	0.0515815722	0.037879931	-0.0255275718	0.1146527451	0.1144874327	0.1142120884	-0.0424461	5.319999999999631e-05	2.830239999999607e-09	0.00180167140521	-0.181825	-0.0538169999999999	0.0330603306249999	0.0028962694889999	-0.18368	-0.004242	0.0337383424	1.79945640000002e-05	-0.00115923	0.0007018	1.3438141929e-06	4.925232400000001e-07	0.000312367	-3.0537999999999984e-05	9.757314268900003e-08	9.32569443999999e-10	-0.00141465	-7.131999999999993e-05	2.0012346225e-06	5.086542399999991e-09	0.0	0.0	0.0	0.0
752.0415099621441	-2.036471853896728	4.147217611713577	565566.4327061417	831.6890275795118	1.1958799866886238	691706.638596154	1.430128942562383	677.191243256539	-0.3616808890667471	0.1308130655161126	458587.979943337	684.8911036469328	548.9096868437193	0.920782	19.221981	0.0995276999999999	0.0767578	-0.0385513379	-0.0444635604	-0.0502245267	-0.1152769483	-0.0515040298	-0.0685772581	0.0189694278	0.1048342906	0.0533885689	0.0404538341	0.0491765399	-0.0590044024	0.0097164435	0.0583695004	-0.0431907731	0.0222923156	0.1602724917	-0.018524126	0.0514220624	0.0220606771	0.0432940299	0.0151196789	0.1818117403	-0.0285709296	0.0404738542	-0.1293888139	-0.0680902497	-0.0117049447	0.0485911599	0.0528454701	0.0562615584	-0.0647006739	0.1484808368	-0.0171948518	-0.0013491168	-0.0305737167	-0.0121631099	0.0021873077	0.0471274264	-0.0013145522	-0.2233866533	-0.0311914602	0.0049316362	-0.1006185753	0.0264674214	-0.257637784	0.025695626	-0.0751403106	-0.058072398	0.0222053049	0.0579832844	0.0399705565	-0.0671609522	0.0085299048	0.075240273	-0.0867874111	-0.0434822319	-0.0714885412	0.0608318082	0.0216327362	0.106866319	-0.0353865425	0.0655430259	0.0136442568	0.1934933551	-0.0452085988	0.0689541479	0.0701243195	0.0098443004	0.0527125169	-0.0112187933	0.1766171935	0.1352042392	-0.0607013192	0.0172772881	0.022009625	0.0388988822	-0.0672877884	-0.1676002749	0.0085039825	0.0073432887	0.1561094527	-0.1101986344	-0.0330937927	0.019606339	-0.079500384	-0.0052562919	0.0581305879	0.0710186317	0.1135075217	-0.0077969704	-0.0724271189	0.1145547726	0.1140958982	0.1133324686	-0.0424264	1.9699999999997497e-05	3.8808999999990136e-10	0.00179999941696	-0.105715	0.0761099999999999	0.011175661225	0.0057927320999999	-0.183902	-0.0002219999999999	0.033819945604	4.928399999999999e-08	-0.00142995	-0.0002707199999999	2.0447570025e-06	7.328931839999994e-08	0.000394057	8.168999999999999e-05	1.5528091924900002e-07	6.6732560999999985e-09	-0.00152576	-0.0001111099999999	2.3279435776e-06	1.2345432099999996e-08	0.0	0.0	0.0	0.0
750.264384404038	-1.7771255581061496	3.1581752492740938	562896.64650517	831.3817390359643	-0.3072885435475427	691195.5960024643	0.09442624899557	676.3143890992903	-0.8768541572486583	0.7688732130842548	457401.1529027463	684.3197881445718	544.1527962921022	0.910406	19.00539	0.11563956	0.0697908	-0.0290010252	-0.0668452485	-0.0865565622	-0.0788057069	0.0199750663	-0.0030615731	0.0401741296	0.1355593527	-0.0304982308	0.0643829905	-0.0306017402	-0.0703992607	0.0479064267	0.0104557908	0.0138449584	-0.058160839	0.0902383959	-0.0241270177	-0.0531961537	-0.0586440412	-0.0479212262	-0.0761042527	0.0568332273	-0.0529289736	0.053365484	0.0022257542	-0.0285829443	0.0417905756	0.0417004556	-0.1090745658	-0.0360528563	-0.0219648683	0.0033640635	-0.0766960281	-0.0860918834	0.0303765526	-0.1756247981	-0.1220074261	-0.0240930344	0.1308970022	-0.0057335435	-0.0432741328	-0.0801976412	-0.1368507836	0.0334129791	-0.1131675979	0.0702506912	-0.0115016783	0.1151492982	0.1046288859	-0.0603896312	0.0070492314	-0.0731471631	0.0521757558	0.0116426633	-0.0261827469	0.0231494796	-0.0395067713	0.0562888973	-0.0064487153	-0.0109298298	-0.0196210258	0.1082549642	0.0152294457	-0.0903960417	-0.0085365262	0.1154069701	0.0350801965	0.0491743439	0.0374244755	0.082576265	0.1683872254	0.0910505628	0.0339718187	0.0223746163	-0.023990885	0.0817600694	-0.0311760049	0.1673737621	0.0778717316	0.0003569543	0.0770096099	0.0835092011	-0.1462997905	-0.0331343703	-0.0799209048	-0.1831917079	0.0969637543	0.051809342	0.0097342995	-0.0311516707	0.0365786777	0.1144078661	0.1135094328	0.1120172664	-0.0424089	1.7500000000003624e-05	3.0625000000012677e-10	0.00179851479921	-0.168234	-0.0625189999999999	0.0283026787559999	0.0039086253609999	-0.18593	-0.002028	0.0345699649	4.112784000000008e-06	-0.00121633	0.0002136199999999	1.4794586689000002e-06	4.5633504399999945e-08	-2.03842e-05	-0.0004144412	4.1551560964e-10	1.7176150825744e-07	-0.0019192	-0.00039344	3.68332864e-06	1.547950336000001e-07	0.0	0.0	0.0	0.0
749.4162535682666	-0.8481308357713715	0.7193259145862452	561624.7211122965	827.9259160494611	-3.4558229865032217	685461.3224663392	11.942712514044048	674.6393200924249	-1.675069006865442	2.8058561777611786	455138.2122147693	682.323736578527	541.2045285984908	0.861947	17.993765	0.1131765099999999	0.0654516	-0.0272809425	-0.0635173548	-0.1158475471	-0.0521036679	0.0246805377	-0.0087360858	0.0540211338	0.1266847451	-0.0005016649	0.0804293781	-0.0703804293	-0.0980878813	0.1032449058	-0.0860272089	-0.0110084568	0.0118002308	0.1425876785	0.0406489217	0.1097686351	-0.0319068225	-0.0332274047	-0.0454060503	-0.0936410707	-0.047555985	0.0668236128	0.0638098308	-0.0949397887	0.02736524	0.098758141	-0.0899138869	0.0710690089	0.041674616	0.0832219662	0.1131649985	0.1031438732	-0.1232369404	0.186814204	-0.1790448327	-0.0269186027	0.0423480722	0.1280472243	0.0044363042	-0.0217788559	-0.1705894306	-0.0324102212	-0.0120740919	-0.005762925	0.1038025256	-0.0806906806	-0.0298579746	-0.0610331122	-0.0653860174	-0.0954986226	0.0811255735	-0.0657434235	-0.0250478713	-0.062994087	-0.0757003419	0.0942091479	-0.0664083605	0.084770692	-0.0301670585	0.0186676648	-0.1021696186	-0.0925895421	-0.0125617858	0.0240256431	0.0581280873	-0.0718775056	-0.0965936912	-0.0057058309	0.0263564291	-0.0187429301	0.1010505422	0.1483511374	-0.0255259789	0.0671698233	-0.0446105438	-0.0360159831	0.2173615203	-0.0391092962	-0.0654151174	0.0594647436	-0.0457475929	-0.0748918088	0.0751302191	0.0793097632	0.0975680818	-0.0095695907	0.1768349527	0.0389672999	0.1342865243	0.1142120884	0.1127290384	0.1102715368	-0.0545371	-0.0121281999999999	0.0001470932352399	0.00297429527641	-0.110742	0.057492	0.0122637905639999	0.003305330064	-0.201518	-0.0155879999999999	0.040609504324	0.0002429857439999	-0.00102157	0.0001947599999999	1.0436052649e-06	3.793145759999999e-08	0.000344222	0.0003646061999999	1.18488785284e-07	1.3293768107844e-07	-0.0019192	0.0	3.68332864e-06	0.0	0.0	0.0	0.0	0.0
750.0440978448295	0.6278442765628824	0.3941884356127692	562566.1487118641	829.1180989042051	1.1921828547440327	687436.8219305233	1.4212999591456317	675.1824679255316	0.5431478331066728	0.2950095686084741	455871.3649940114	682.3901438499729	542.0268678024628	0.862174	17.998497	0.1588299	0.0857745	-0.0479922248	-0.0547710046	-0.1432621616	-0.0179669303	0.1120162821	0.077880514	0.066492298	0.0679997743	-0.0431429676	0.0150713323	0.0316129565	-0.1143543409	0.0395265739	-0.1157066945	-0.055819946	0.0001559367	0.0876444531	-0.0334879997	-0.0494814883	-0.0124663128	-0.0587784335	-0.117733	0.017809413	-0.0238837977	-0.0654319676	-0.1261908053	0.0677966877	-0.0696354888	0.0303555858	-0.0644588206	0.0727621013	0.0838121911	-0.1064280034	0.1351467289	-0.1145102135	-0.0073016887	-0.0170593563	-0.0521135621	-0.0482694435	-0.0812149596	0.0608486469	0.0061534188	-0.179133113	0.124639389	-0.0453510183	0.0592077069	0.0340295327	0.0358256702	0.0316811239	-0.0067584219	0.0952411135	-0.0121892132	-0.1055419779	0.0397106898	-0.1254318936	-0.0252727434	-0.0004306896	-0.0285248188	0.0531227401	0.0763997859	0.0157825919	0.0393855267	0.073589141	0.0051578361	-0.0652994385	0.0216793516	0.0722187045	-0.0613312415	-0.1447709901	-0.0078105726	-0.1277484482	-0.009762988	-0.019722037	0.0347179872	-0.1151570325	-0.0036482239	0.0380626312	-0.0291951915	0.0647342411	0.0040045831	-0.0326296967	-0.1385010678	-0.116704783	0.077922011	0.0081998542	-0.0711083981	-0.1766037534	0.0932138654	-0.0757402303	-0.0500415108	0.0242372107	0.1087419741	0.1139675232	0.1117560484	0.1081019891	-0.0423762	0.0121608999999999	0.0001478874888099	0.00179574232644	-0.180859	-0.070117	0.0327099778809999	0.004916393689	-0.230972	-0.029454	0.053348064784	0.000867538116	-0.00032092	0.00070065	1.029896464e-07	4.909104225000002e-07	0.000102912	-0.0002413099999999	1.0590879744000002e-08	5.8230516099999993e-08	-0.0019192	0.0	3.68332864e-06	0.0	0.0	0.0	0.0	0.0
752.4064375858997	2.3623397410701727	5.580649052239491	566115.4473207043	830.9885632733967	1.870464369191609	690541.992291184	3.498636956415364	676.5138066161496	1.331338690618054	1.7724627091365943	457670.9305422731	683.3228078404585	549.7265227480766	0.856778	17.885864	0.1004763399999999	0.0543919	-0.0622152831	-0.0320072194	-0.1222701044	-0.0439852633	0.1241172354	0.0375493781	0.0671636621	0.0401484938	0.0033988999	-0.0386673528	0.0586808255	-0.0934801214	0.0003005342	-0.0281113576	-0.0162207782	-0.0163781759	0.0852063686	0.0685607565	0.0300696046	-0.1077298524	-0.0347577199	0.0577232145	-0.0132420833	-0.083209909	-0.0223854413	0.0784709721	-0.1210297649	-0.0235205417	-0.0848174304	-0.0221707985	-0.0289390912	0.0634886227	-0.0639220976	0.0433478635	-0.0768598259	-0.0969379136	-0.0122377655	-0.084607794	-0.0601391861	0.0188571969	0.0673816769	0.0926944014	-0.0187696255	0.083142412	-0.0490041007	0.1224141538	-0.0030689383	-0.0772275227	-0.1009422596	0.0685595004	0.1375570953	-0.1083423207	-0.0960656008	-0.0120793027	-0.0770837551	-0.033018571	0.0215261837	-0.0330042644	0.0337077264	-0.0333676169	0.0987348021	0.0086559602	0.1155981083	-0.0548671565	-0.0416462454	0.1162306513	-0.0679703104	0.033597377	0.0374380239	-0.0304713125	0.0469436257	-0.112682082	-0.0735967881	0.0298832722	0.0201416714	-0.0565725426	0.0292990405	-0.0150053924	0.0285364356	-0.0002113218	0.0111854733	-0.1144958395	-0.0389670939	0.0435473805	0.0438339846	0.0737368739	0.0172764611	0.0974103064	-0.2384768079	0.0867922933	0.0530295963	-0.0414046443	0.1136742748	0.110592125	0.105516962	-0.0424476	-7.139999999999924e-05	5.097959999999892e-09	0.00180179874576	-0.146374	0.0344849999999999	0.021425347876	0.0011892152249999	-0.264435	-0.0334629999999999	0.0699258692249999	0.0011197723689999	1.03326e-05	0.0003312525999999	1.0676262276e-10	1.0972828500675997e-07	-2.03842e-05	-0.0001232962	4.1551560964e-10	1.5201952934440005e-08	-0.00172461	0.00019459	2.9742796521e-06	3.7865268100000056e-08	0.0	0.0	0.0	0.0
753.8605144058018	1.454076819902184	2.114339398176849	568305.6751801801	833.6458057598711	2.657242486474388	694965.3294610247	7.060937631924588	677.1092262993934	0.5954196832437901	0.3545245991941353	458476.9043397632	683.981846767578	554.0698961363337	0.90136	18.816536	0.15326856	0.0818283	-0.098480229	-0.0061840855	-0.0750434858	-0.0769377726	0.1026093737	-0.0016361686	0.0600150678	-0.0374926591	-0.041946488	0.0408409942	0.1017828459	-0.1084582734	-0.0494994605	0.0023200979	-0.0977394153	0.0074340021	0.0104908058	0.0670021338	-0.070592983	-0.1180392045	-0.0786338716	-0.0845719771	0.0433329996	0.0788903	-0.0271933275	0.0209552758	-0.050560554	0.004296378	-0.1159332526	-0.0365129193	0.0691691349	-0.0548148897	-0.022527568	0.0295424562	0.1310963257	0.0456836313	-0.0312057293	0.0056844964	-0.0489320282	-0.0286461756	0.0018242332	-0.0719953191	0.0365722504	0.0034223615	0.0101353776	-0.0068009413	-0.0599650622	0.1637599693	0.0978814804	0.0930223074	-0.039166058	-0.0712564619	-0.1046415877	-0.0407840682	-0.0402728861	-0.0747715341	0.0533475502	0.0177861859	-0.0401558269	0.0465237634	-0.0003016256	0.1538206459	0.0880080765	-0.0336836862	-0.0841173653	0.0236975651	0.0027762831	-0.0976321453	0.0626574139	-0.068880041	-0.0514713158	0.0383577318	0.0777759353	0.0228228687	0.0031797427	0.0026965432	0.0128882642	0.0335531845	0.025792369	-0.0594077838	-0.0154165125	-0.0588842401	0.1155604888	0.0228939007	-0.1164286888	0.0928749598	-0.0153886275	-0.0493471104	-0.0028348293	0.0382393829	-0.0910285048	0.007542077	0.1133324686	0.1092392569	0.1025263906	-0.0457204	-0.0032727999999999	1.0711219839999996e-05	0.00209035497616	-0.216864	-0.07049	0.047029994496	0.0049688401	-0.291926	-0.027491	0.085220789476	0.000755755081	0.000530748	0.0005204154	2.816934395040001e-07	2.7083218855716e-07	-0.000319084	-0.0002986998	1.0181459905600001e-07	8.922157052004004e-08	-0.00150343	0.0002211799999999	2.2603017649000003e-06	4.8920592399999935e-08	0.0	0.0	0.0	0.0
753.655232745795	-0.2052816600067899	0.0421405599351433	567996.2098451185	832.6916613234049	-0.9541444364662084	693375.4028375321	0.9103916056394185	676.8127558372302	-0.2964704621632563	0.0878947349352948	458075.5064639861	684.187225291047	560.5824162342816	0.8744659999999999	18.255116	0.1192184499999999	0.0691529	-0.1158814688	0.0269987649	-0.0932435077	-0.1022516174	0.0733887506	-0.0559912389	0.0380022452	0.0604496819	0.0072258352	-0.0056029835	0.10476503	-0.1181682996	-0.0316071777	0.049410453	-0.0811655018	0.065785309	0.1153583618	0.0954443634	-0.0088815377	-0.0924050672	-0.1397777738	-0.0794743281	-0.050803268	-0.0520405174	-0.0326551209	0.0074529911	0.137894935	0.0360587592	-0.0941944013	0.0565251483	-0.0562421817	-0.0156447372	-0.0880664928	0.0106038181	0.0447105093	0.022954413	0.0407077302	0.1205795126	0.2370326751	0.0319663513	-0.011629155	-0.1102073321	-0.0129174586	0.1126178129	0.1058700312	0.0139107888	-0.0248452301	-0.0209388711	-0.0183123843	0.0205020453	0.0465135829	0.0907394919	-0.1258737719	-0.0350167971	0.0241700519	-0.115579267	-0.05511034	-0.0459714007	0.0597030378	0.0004776309	0.0383186967	0.026711142	0.0820854711	-0.1217305393	-0.1194277873	0.0245737624	-0.0104962294	-0.0427421545	0.0613192954	0.0453128471	-0.0828542332	0.0233710724	0.0150544912	-0.0505041017	0.0389904203	-0.0718382392	-0.0469556958	-0.0387428718	-0.0348945327	-0.0367083569	0.1008317411	-0.0061554658	0.0967698028	0.1475250155	0.1346682622	0.0348814825	0.0252472337	-0.0707573776	0.0284436507	-0.1509286435	-0.0254775697	0.0278976907	0.1129422506	0.1076997553	0.099141769	-0.0427198	0.0030005999999999	9.003600359999995e-06	0.00182498131204	-0.155535	0.0613289999999999	0.024191136225	0.0037612462409999	-0.30971	-0.0177839999999999	0.0959202840999999	0.0003162706559999	0.0007214279999999	0.0001906799999998	5.204583591838558e-07	3.6358862399961854e-08	-0.000533291	-0.0002142069999999	2.84399290681e-07	4.5884638848999983e-08	-0.00116622	0.00033721	1.3600690884e-06	1.1371058410000009e-07	0.0	0.0	0.0	0.0
753.2075897965655	-0.4476429492295892	0.2003842099949646	567321.6733271512	834.0769482235619	1.3852869001569843	695684.3555579303	1.919019795746547	675.4841410575104	-1.3286147797197143	1.7652172328896656	456278.82482020266	683.3025952482167	558.9950029300212	0.8812489999999998	18.396715	0.1527691	0.101852	-0.1141007669	0.0137272523	-0.1376976198	-0.0705593417	0.1263577113	-0.0169891285	0.0028429061	0.0962115635	-0.060731654	-0.0289158575	0.0895843381	-0.1372211405	0.0155566571	-0.0625537292	-0.0694710064	0.0064583064	-0.0416578807	0.01657154	0.0357013968	-0.0868524279	-0.0119645386	0.0303347653	0.0799362176	0.0737948235	0.0150896373	0.0532781441	0.0869361466	-0.0025041195	-0.0710223993	0.1597648342	0.0562657427	0.1506676424	-0.036913037	-0.2388299739	0.0868830236	-0.0090209945	0.15443037	0.0379610423	0.0784242211	-0.0726605606	0.0595021942	-0.1221649351	0.0252549862	0.0190394508	-0.027204815	0.0036212282	0.0689037179	0.0620538228	0.0016964861	-0.1414739704	-0.0398981798	-0.0130684115	-0.1391022732	0.000367581	-0.0647025515	-0.0503234551	-0.0196493151	-0.0241263319	0.0221058499	0.0158041771	-0.1032698555	0.0404801213	0.0631090227	-0.1024470272	-0.0023669975	-0.0293714257	0.0226329048	0.0127356094	0.1443909505	-0.0343192222	-0.007859822	-0.1624286561	0.0237205434	0.0502959105	0.0640230465	0.1776444995	-0.1316918005	0.0397766884	-0.182057384	0.0531673036	0.0348552427	-0.0088121543	-0.009386091	0.1325818522	0.0218076501	-0.0157323964	0.03915308	0.040689103	0.1803888177	-0.1699578581	-0.0161611675	0.0854229435	0.1125037874	0.1059762505	0.0953761056	-0.0427198	0.0	0.0	0.00182498131204	-0.248373	-0.092838	0.061689147129	0.008618894244	-0.339736	-0.0300259999999999	0.1154205496959999	0.0009015606759999	0.00131953	0.0005981020000001	1.7411594209e-06	3.577260024041196e-07	-0.000533291	0.0	2.84399290681e-07	0.0	-0.00116622	0.0	1.3600690884e-06	0.0	0.0	0.0	0.0	0.0
