global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12
739.8952155435057	n/a	547444.9299841708	n/a	878.2557896053046	n/a	n/a	771333.231975237	721.4042401837341	n/a	520424.0777550708	n/a	731.2081845648758	519.4307888990118	n/a	n/a	n/a	n/a	-0.1346735244	-0.1255686976	-0.0020848737	-0.0761334286	0.0655085899	-0.1661044518	0.0889435881	-0.016236558	0.0858493381	-0.0574166582	-0.1384931142	0.1233020507	-0.1001881177	0.1029703522	-0.011315725	0.0490675681	-0.0191984502	0.0298397917	-0.0250542458	0.0654603539	-0.0138398839	0.0418589907	-0.1226640362	-0.0475091488	0.0417721222	-0.1093843756	0.0212712938	-0.0966416337	0.0344829352	-0.0101835285	0.0018679944	-8.42271e-05	0.0229869635	0.03709106	-0.052412153	0.0453008847	-0.0214961828	0.1066637537	-0.0091410497	-0.0128534134	0.0062806216	-0.0138446098	-0.0318652846	0.1085974892	0.0107640017	-0.0115110494	-0.0305039178	-0.0806667907	-0.1025353836	0.1187594885	-0.1444868676	0.0418952904	-0.0570026146	0.0032154626	-0.0106023605	0.0405013518	-0.0136327028	0.0083629571	-0.0905001647	0.0298765263	-0.0542418128	0.0352882626	-0.0197039944	0.0098552982	-0.0454867896	0.0470613064	-0.0786101466	0.0313605527	-0.0478714165	0.0009711033	-0.0770323019	0.0571516453	-0.0612223419	0.0356084348	-0.0376079299	0.1356979101	-0.009875951	-0.0150238419	0.0230215381	0.0253915109	0.1147017419	0.1146833673	0.1146527451	0.252904	n/a	n/a	0.063960433216	0.0960876	n/a	0.00923282687376	n/a	0.369133	n/a	0.1362591716889999	n/a	-0.014552	n/a	0.000211760704	n/a	0.00499157	n/a	2.49157710649e-05	n/a	0.00120461	n/a	1.4510852521e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
738.5153862472489	-1.379829296256844	545404.9757239232	1.9039288868086568	875.5537690858542	-2.7020205194503437	7.300914887530703	766594.4025604454	722.4916643591533	1.0874241754191871	521994.2050684595	1.182491337286099	731.0170612643857	516.3945972994838	0.867568	19.114519	0.14200355	0.0757496	-0.136968303	-0.139116208	0.0261838092	-0.083223942	0.0487135777	-0.1265524729	0.1176213262	-0.0175849573	0.0850685297	-0.0308929983	-0.1455586154	0.1128646449	-0.0502955763	0.1049488759	-0.0074246625	0.0793844911	-0.0050669686	-0.0105547681	0.0340356177	0.0578523872	-0.0402267634	-0.0229607361	0.0097805405	-0.0421168056	0.0144781318	-0.0268741808	0.0027486425	0.0142000007	-0.0272926409	0.0090301433	-0.0102911301	0.1258498804	-0.0353667423	0.026389981	0.0265525653	-0.0260225877	0.1201820072	0.117463273	-0.1069331089	0.034309545	0.0384881284	0.0234350351	-0.026057272	-0.1252712262	-0.0042286747	-0.0591968283	0.0370799376	-0.1018631325	-0.1078977253	0.0946761539	-0.1237762378	0.06100624	-0.0412147672	-0.0088800152	0.0336217774	0.00056016	-0.0286563211	0.0278281832	-0.0092807174	0.0241176563	-0.0622090645	0.0931041325	0.0595930018	-0.0147193975	0.0184852634	0.0228488695	-0.0397821453	-0.0190476275	-0.0362299316	0.1366094596	0.0644049735	-0.040282529	-0.0876612648	0.0697899841	0.1508589342	-0.067827753	-0.0468125587	-0.0890598166	0.0182442893	0.0737639711	0.1146527451	0.1144874327	0.1142120884	0.236015	-0.016889	0.000285238321	0.055703080225	0.120617	0.0245294	0.014548460689	0.00060169146436	0.405714	0.036581	0.164603849796	0.001338169561	-0.0155308	-0.0009788	0.00024120574864	9.580494400000004e-07	0.00502564	3.406999999999976e-05	2.5257057409599995e-05	1.1607648999999834e-09	0.000937397	-0.000267213	8.787131356089999e-07	7.140278736900006e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
739.4616175634095	0.9462313161606062	546803.4838494941	0.895353703683033	874.5926891441643	-0.9610799416899454	0.9236746543187488	764912.3719044208	722.9849530316045	0.4932886724511718	522707.24231011135	0.2433337143686394	731.5604488773454	522.4154758446215	0.809324	17.831278	0.0521563000000001	0.0260301	-0.1416480161	-0.1132932532	0.0314609562	-0.0624392713	0.0309792099	-0.1367800563	0.1406409552	-0.031319621	0.0467088403	0.0423708243	-0.139895925	0.0893593253	-0.0585173135	0.0799568569	-0.0242658855	0.049990697	-0.0527415626	0.091969626	-0.0342821955	-0.0206273781	-0.087853082	0.0763038234	0.0995882183	-0.1188709132	0.0611388922	-0.0690518898	-0.0652270075	-0.0120889056	-0.0120640012	0.1200790119	0.0403051929	0.039180853	0.15530026	0.0420764526	0.0011106646	-0.0583005917	0.1215384984	0.0350895935	0.0482053817	-0.0636228369	-0.1460056289	0.1060240359	-0.0244163216	-0.0616213276	0.0357093488	0.0950774549	-0.0579835854	-0.0977512972	-0.0982403109	0.0912851298	-0.1172684065	0.0306985411	-0.0602286638	-0.0364812312	-0.0306054459	-0.0260926477	0.0077250344	0.0007900112	-0.0190122944	0.0439123553	-0.0619108624	0.1059560692	-0.0068625604	0.0036393701	-0.0500041188	-0.0259852936	0.0627358737	-0.0448495897	-0.094744296	0.1092692112	0.0430529343	0.1757930648	-0.0221513493	-0.0691246765	0.1422497791	-0.1014953979	-0.0046850592	-0.0586795859	-0.0146222782	0.0352453312	0.1145547726	0.1140958982	0.1133324686	0.231598	-0.004417	1.950988900000004e-05	0.053637633604	0.134644	0.014027	0.018129006736	0.000196756729	0.401142	-0.004572	0.160914904164	2.0903184000000183e-05	-0.0154699	6.090000000000088e-05	0.00023931780601	3.7088100000001077e-09	0.00520194	0.0001763	2.7060179763600004e-05	3.108169000000027e-08	0.000591791	-0.0003456059999999	3.502165876810001e-07	1.1944350723599998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
740.6773962064577	1.2157786430482247	548603.0052511779	1.4781177088921826	877.1589834837615	2.5662943395972206	6.585866637448735	769407.8823062658	723.4341629569424	0.4492099253378683	523356.9881332119	0.2017895570220532	732.0311200643077	528.0594973683623	0.7937539999999998	17.488234	0.0765972499999999	0.0478243	-0.1506883467	-0.0943913017	0.0574087234	-0.046197877	0.0418723904	-0.0965252417	0.1254650124	-0.0134016212	0.0267448657	0.0708621668	-0.1500641332	0.0758832817	-0.0372247808	0.0856121177	-0.0045167871	0.0395754907	-0.0678254256	0.0438205901	-0.0379242988	0.0523596386	-0.0800790344	-0.0085406179	-0.0115081298	-0.0106415262	0.0641607554	0.1232006723	-0.0136905021	-0.0233576196	-0.0709533153	0.0725445378	0.0218388352	0.0275269605	-0.0030004977	-0.0813950815	0.070075839	-0.1083907109	-0.0433110579	0.0777168668	0.0834798417	-0.0953439201	-0.0546048918	0.038725147	-0.0730537254	-0.0402696599	0.0261285076	-0.141717105	0.0399382151	-0.1126562409	-0.0928228186	0.0537127836	-0.0953166756	0.0505647511	-0.0629207687	-0.0295134067	-0.0762979493	-0.0627047599	-0.0178004325	0.0010118939	0.0036431658	0.0552644084	-0.0913397557	0.0666390044	0.1033887778	0.0925333465	0.0135039111	-0.0496100674	0.000867066	0.0274451088	-0.014196531	0.0442288503	-0.083749253	-0.0520983546	-0.0871551432	0.0377461385	0.0278749741	0.0117165933	-0.1617138872	-0.0362260385	0.0591098095	0.0537615564	0.1144078661	0.1135094328	0.1120172664	0.237474	0.0058759999999999	3.452737599999991e-05	0.0563939006759999	0.140892	0.0062479999999999	0.0198505556639999	3.90375039999997e-05	0.365993	-0.0351489999999999	0.133950876049	0.0012354522009999	-0.0149855	0.0004843999999999	0.00022456521025	2.3464335999999947e-07	0.00524495	4.3009999999999576e-05	2.75095005025e-05	1.8498600999999635e-09	0.000650866	5.907500000000001e-05	4.236265499560001e-07	3.4898556250000013e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
741.0379563568783	0.3605601504206106	549137.2527615788	0.1300036220713333	876.0407865547389	-1.118196929022588	1.2503643720755466	767447.4597074457	722.8224033757934	-0.6117595811489309	522472.2268219583	0.3742497851275154	731.2421600794497	530.7949782452649	0.774112	17.055468	0.0512299999999999	0.0256682	-0.1502920288	-0.0846579453	0.0479087065	-0.0316737546	0.0338900051	-0.1278847864	0.1199473425	-0.0197600263	0.0245828469	0.076305534	-0.1387513087	0.1032328088	-0.0335858747	0.0583888139	-0.0082889664	0.0234072279	0.0066444684	0.0322359897	-0.0084520234	-0.0052376729	-0.0430503076	0.0104316858	-0.0400453338	-0.0509730687	0.1751484175	0.1173397967	0.0908696503	0.0100899776	-0.056819972	0.0623564886	0.0116937285	-0.0166613166	-0.0356945115	0.0258686202	-0.0435129933	-0.0035766039	-0.1396478266	0.0011380874	0.0279613336	0.0047111706	-0.0250724381	0.0391522858	0.0013285024	-0.0919813346	-0.0026928	-0.0444071746	0.1360595642	-0.1110301905	-0.1007313908	0.0715851663	-0.0734006246	0.0425255074	-0.0313484387	0.0284387029	-0.0374987298	-0.034364772	0.013408812	0.0087364165	-0.0176549871	0.0613350083	-0.0861195879	0.0713551288	0.0204618548	0.1206815608	0.0233203451	-0.063370361	0.1082410629	0.1185206305	0.023712446	0.0092240356	0.0448964484	0.0239102219	-0.0182964903	0.0016155298	-0.0425455689	-0.0239932498	-0.0076772196	-0.0183427559	0.0254177422	0.0473312169	0.1142120884	0.1127290384	0.1102715368	0.229862	-0.0076119999999999	5.794254399999969e-05	0.052836539044	0.124573	-0.0163189999999999	0.015518432329	0.0002663097609999	0.371096	0.0051029999999999	0.1377122412159999	2.604060899999968e-05	-0.0152701	-0.0002845999999999	0.00023317595401	8.099715999999967e-08	0.00540427	0.00015932	2.92061342329e-05	2.5382862400000042e-08	0.000650866	0.0	4.236265499560001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
742.333937173704	1.295980816825704	551059.6742798128	1.6795662775802191	877.8053775323183	1.7645909775793598	3.1137813181544804	770542.2808246559	724.3283530288546	1.5059496530611796	524651.563001493	2.267884357555087	732.2489604739856	532.7588191867866	0.7856539999999999	17.309772	0.0656821499999999	0.0342964	-0.1583367816	-0.0779428205	0.0860465441	-0.0380167386	0.0028289957	-0.0595604891	0.122148317	-0.0333863887	-0.0519002639	0.0793670755	-0.1536872733	0.0749544088	-0.0025721728	0.0256399313	0.0306354613	0.0291650966	0.0020899411	0.0084737285	-0.0940542399	0.0002623753	-0.0768157691	-0.0024831788	-0.0272983472	-0.0625508568	0.0023580014	-0.0158250804	0.0695177396	0.0964205533	-0.0478780723	0.0500260471	0.0583245448	-0.0813986891	-0.1058914268	-0.0760695898	0.0853976218	-0.0423676395	-0.0210051836	-0.0407654912	0.0325734491	-0.0019827436	-0.0570364141	-0.0518496821	0.1550390095	-0.0028348602	0.0151727489	0.0691802937	-0.0682499001	-0.1313008868	-0.0839784544	0.0225229039	-0.0407636039	0.0616045178	-0.0224292014	0.0457912727	-0.0459169065	-0.0127560324	0.0033177778	-0.0272349443	-0.0004074386	0.0139268193	-0.0783068218	0.067849562	-0.0357639706	-0.0043383062	-0.0290291936	0.0581541102	0.0155770122	0.048148783	0.0455130381	0.0259046938	0.0125055038	-0.080579966	0.0935967045	-0.0428366929	0.0383154848	0.0849266808	-0.0356995328	0.0001062527	-0.1408076178	-0.0721457373	0.1139675232	0.1117560484	0.1081019891	0.224417	-0.005445	2.9648025000000057e-05	0.050362989889	0.124777	0.0002039999999999	0.015569299729	4.161599999999831e-08	0.357524	-0.0135719999999999	0.127823410576	0.0001841991839999	-0.0148876	0.0003824999999999	0.00022164063376	1.4630624999999938e-07	0.00521491	-0.00018936	2.71952863081e-05	3.5857209600000154e-08	0.000293503	-0.000357363	8.614401100900002e-08	1.2770831376900006e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
742.7074523119285	0.3735151382244339	551614.3597196755	0.139513558482818	877.9167001149058	0.1113225825874906	0.0123927173939486	770737.7323406454	722.6652337017427	-1.6631193271118718	522245.04000119446	2.765965896213045	731.5328492872596	536.5597283308981	0.841261	18.534927	0.0531374499999999	0.0364212	-0.1602795954	-0.058594276	0.0823660547	-0.0045770824	0.0010777588	-0.0644107262	0.0991129523	-0.0792121451	0.0435569614	0.1090539317	-0.1426827021	0.1252320721	-0.039642175	0.0083597792	0.0859338309	-0.0045307757	-0.0004839664	-0.0397621579	-0.0519499839	-0.0364031588	0.0748696836	-0.0170273052	-0.0993639249	-0.0878831293	0.1171058272	0.0346295244	-0.0857823212	-0.0661501588	0.05991	-0.0385625692	-0.0416979573	0.0870016717	-0.171822678	-0.0216702851	0.0154536503	-0.1076746699	0.0216530501	-0.0721121889	0.0270632468	-0.033009071	0.1663134589	-0.0700990365	-0.0391213527	-0.0538289502	-0.0239413594	0.0504139872	-0.0137581869	-0.1163228948	-0.1192180268	0.058311285	-0.0106592366	0.0763237914	-0.0245311096	0.0572094646	0.01455927	-0.0542704141	0.0575912555	0.0088972779	-0.0784850218	0.0953582794	0.0023440066	0.0405769424	-0.0100999119	0.0547691292	-0.1201883312	0.0157078632	0.0471330841	0.1333109028	0.0246177815	-0.1028293877	-0.0879543719	-0.0124160545	-0.0258795477	0.1218799213	0.0325558415	0.10157069	-0.0692596077	-0.1433692908	0.0306274507	-0.0971245965	0.1136742748	0.110592125	0.105516962	0.224135	-0.000282	7.952400000000253e-08	0.050236498225	0.124717	-6.0000000000004494e-05	0.0155543300889999	3.6000000000005393e-09	0.368736	0.011212	0.135966237696	0.000125708944	-0.0155033	-0.0006156999999999	0.00024035231089	3.790864899999982e-07	0.00532808	0.00011317	2.83884364864e-05	1.2807448900000026e-08	0.000190704	-0.000102799	3.6368015616000006e-08	1.0567634401000003e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
744.6517576525503	1.9443053406217812	554506.2401750324	3.7803232575703816	879.7737837389111	1.8570836240053268	3.448759586548758	774001.9105542803	725.4826373913936	2.81740368965086	526325.0571563723	7.937763550458277	733.311357165097	539.7010472832077	0.928513	20.457279	0.1504263650000001	0.0867879	-0.1759997961	-0.0450279373	0.1547489098	-0.0424538249	-0.0123666222	-0.0466296064	0.1119222746	-0.0879398265	-0.0201272993	-0.0148734643	-0.1790022173	0.0724067073	0.0440746524	-0.0461647626	-0.0054115031	0.0157675947	0.0467622692	-0.128543436	-0.006150344	-0.0754520486	0.0565642146	-0.0482046779	0.0553258227	0.0639179165	0.0125551646	-0.0231914612	-0.0098671862	-0.014109478	-0.0327775202	-0.0187959438	0.0491629351	-0.0638276397	-0.0503490069	0.0059267828	-0.023826087	-0.026344494	0.0118804635	0.0008243874	-0.077026653	0.1925651742	0.1040117482	-0.0072749921	-0.0118757436	0.1522446258	-0.1145422655	-0.0032764515	0.0590239951	-0.168461511	-0.0959331097	-0.0321386198	0.01085085	0.0255164727	0.013881184	0.1049821551	0.043928623	0.0213604002	-0.0724228486	0.0077469914	0.0209758875	-0.0178235778	0.0879884396	-0.0074488059	-0.1173449717	0.0466717144	-0.0294115772	0.0515635998	0.0326864935	-0.0118748226	-0.0451288214	-0.051472902	0.0458712707	-0.0660932999	0.0055603368	0.1277415344	-0.0016736519	0.0965593872	0.0010284425	0.0412409655	0.0513768228	-0.0193299779	0.1133324686	0.1092392569	0.1025263906	0.220672	-0.0034629999999999	1.1992368999999957e-05	0.048696131584	0.182854	0.0581369999999999	0.0334355853159999	0.0033799107689999	0.419497	0.050761	0.175977733009	0.002576679121	-0.0160986	-0.0005953	0.00025916492196	3.5438209000000205e-07	0.00539789	6.981000000000001e-05	2.91372164521e-05	4.873436100000002e-09	9.45067e-05	-9.61973e-05	8.93151634489e-09	9.25392052729e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
745.4373322243961	0.7855745718458138	555676.8162738247	0.6171274079307337	879.1424536392838	-0.6313300996273483	0.3985776946954775	772891.4537909002	725.4520271503426	-0.030610241051022	526280.6436965414	0.0009369868572016	733.1377290484103	536.1414402839823	0.953846	21.015425	0.3670617849999998	0.200659	-0.1429267964	-0.0241238392	0.1761349568	-0.0193983563	-0.0648898272	-0.017654608	0.0497951484	-0.0599939331	0.0081129759	-0.0880631804	-0.1642301738	0.047798253	0.0316068545	-0.1273111244	0.0129096758	-0.0469833992	-0.0244311019	-0.0849577807	0.0801784798	0.0426418313	0.0138350398	-0.1423130327	0.1056442155	0.0607488744	-0.0528734417	-0.0332867922	-0.1278418522	0.0847676353	0.0767066949	-0.0957698899	-0.0312639033	0.0657771412	0.1057061799	0.0026546981	0.0264699196	0.0891979384	-0.0407978701	0.0634632557	0.0670747668	0.0441032848	-0.0100799259	0.0113120467	-0.1279870796	0.117912748	-0.0604878761	0.0633810663	-0.065296732	-0.171149647	-0.0953440163	-0.0157453352	0.0486751223	-0.0243502248	0.0343270487	0.0174759446	0.0986205577	0.0686998644	-0.0721917104	-0.0822635138	0.08724207	0.0239947734	0.2172295857	-0.0653977132	0.0541623454	0.009451695	-0.0217105817	-0.108761351	0.0208293691	-0.0109136562	-0.0608556143	-0.0344326104	-0.0932902589	0.0850818305	0.0640608136	-0.057383078	0.0861212619	0.0032726541	0.0137496698	0.1331262321	0.1087414695	-0.1405050384	0.1129422506	0.1076997553	0.099141769	0.234594	0.0139219999999999	0.0001938220839999	0.055034344836	0.329877	0.147023	0.1088188351289999	0.0216157625289999	0.537862	0.1183649999999999	0.2892955310439999	0.0140102732249999	-0.0168842	-0.0007855999999999	0.0002850762096399	6.171673599999959e-07	0.0058861	0.00048821	3.464617321e-05	2.383490041000002e-07	-0.000386719	-0.0004812256999999	1.49551584961e-07	2.3157817434049002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
747.9651643927095	2.5278321683134664	559451.887145013	6.389935471160361	878.0650800118595	-1.0773736274242085	1.1607339330691968	770998.2847362333	726.250490650241	0.7984634998983893	527439.7751697158	0.6375439606699851	733.4230351227422	541.9896206766142	1.020828	22.491207	0.4340124499999999	0.227239	-0.1621675446	0.0061804154	0.2041451047	0.0178562075	0.0047039372	-0.0068213655	0.1149730899	0.0057869495	-0.0093865056	-0.0309986968	-0.1679047016	0.0261059635	0.0747601268	-0.0393965673	0.0895547717	-0.0958573976	-0.0269342013	0.0626182681	0.0737841832	-0.0186330396	0.0601642638	0.0065350258	0.0465682421	0.0094400336	0.0193952237	-0.1829380897	-0.1181548869	0.0466357183	0.140096244	-0.1825629101	-0.036232573	-0.0392183953	-0.0493545694	-0.0204886603	-0.0703237866	0.0285026183	-0.0498496264	-0.0536468012	0.0525767089	0.0608844554	-0.0058172149	-0.0213374024	0.073117222	0.0592563019	0.0577785712	0.0151070961	-0.0341127887	-0.1687218973	-0.0750338119	-0.0669148684	0.040153085	0.0404364127	-0.0032652931	-0.071774689	-0.002613222	-0.0094172641	0.0573761107	0.0043862186	-0.0248859714	-0.0101833234	0.2260030846	-0.0863896961	-0.0547649367	-0.0905718128	0.0073193557	-0.0501619422	0.0243252255	0.1061961747	-0.0539054231	0.0069180499	-0.1133627947	0.0044178277	0.0239587112	-0.0255457185	-0.0478217673	0.1351984368	0.0251117159	0.0219632723	-0.0713765701	-0.0795369188	0.1125037874	0.1059762505	0.0953761056	0.177225	-0.057369	0.003291202161	0.031408700625	0.147733	-0.1821439999999999	0.021825039289	0.0331764367359999	0.46518	-0.0726819999999999	0.2163924323999999	0.0052826731239999	-0.0154028	0.0014813999999999	0.0002372462478399	2.194545959999997e-06	0.00505128	-0.00083482	2.55154296384e-05	6.969244324e-07	-0.000506848	-0.0001201289999999	2.56894895104e-07	1.443097664099999e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
