global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
769.4872389168212	n/a	n/a	592110.610855833	878.2631034484554	n/a	n/a	771346.0788789121	760.2237907068002	n/a	577940.2119566167	n/a	765.5325343521492	568.577126758418	n/a	n/a	n/a	n/a	-0.014833638	0.0964392722	-0.0526443334	-0.0429307536	0.0872682111	0.0502394262	-0.1533785338	0.0204087974	-0.1353342232	0.0333643524	-0.0009649861	0.0653942024	-0.1389966738	-0.0212005477	0.0867207886	0.0066080075	-0.0227706151	0.1047193358	-0.0230956632	0.1330226135	0.0593641279	-0.1417683843	0.0760527442	-0.049397928	0.0410715394	-0.0067370558	0.0640453847	-0.0377227205	0.1072833304	-0.0305669419	0.0042504605	-0.054805939	0.0283316075	-0.0396792028	0.0262243743	-0.023622336	-0.0253557265	0.0995943696	-0.1450092149	0.0418329147	-0.0881218122	-0.1415258624	0.1834648793	-0.019366764	-0.0235049587	-0.023694988	-0.0705383097	0.097519207	-0.0333785536	-0.0710340322	-0.02046683	0.1509725176	-0.0315233637	-0.0096560368	-0.0003867774	-0.0131716353	-0.0527684316	0.129445722	-0.0178946745	-0.0480884402	-0.0654447477	0.0018631636	-0.0185865244	-0.1032654277	0.085727092	0.0205274472	-0.0388159631	0.1343649035	-0.0785243435	0.1022613677	-0.0584828856	0.1590919972	-0.0523370254	-0.0757151676	0.0043595759	-0.0543828099	0.0011922594	-0.0590624621	0.1063491111	-0.1040418498	0.0222044626	-0.0281116688	0.0719046161	-0.0781124796	0.1449934227	-0.0371263403	-0.0637697877	0.027158428	-0.0346480073	-0.0224986354	0.1690719506	-0.014938337	-0.0855303984	0.0890648926	0.0897820061	-0.0524008691	-0.1138986894	0.0184265001	0.0744873411	-0.0540133972	-0.0846665988	0.019595747	0.0376827879	0.0124423326	-0.1111206103	-0.0249530493	-0.0217775351	0.0892686142	-0.004233449	0.1147017419	0.1146833673	0.1146527451	-2.21526e-05	n/a	n/a	4.9073768676e-10	-0.118693	n/a	0.014088028249	n/a	-0.156198	n/a	0.024397815204	n/a	0.000210549	n/a	4.4330881401e-08	n/a	-0.00019357	n/a	3.74693449e-08	n/a	7.496189999999998e-05	n/a	n/a	5.619286451609998e-09
771.1727071602514	1.6854682434302504	2.840803199611854	594707.3442688709	876.0563086429611	-2.206794805494269	4.8699433135564885	767474.6559131311	761.6243103496615	1.4005196428613544	580071.5901155976	1.961455270040496	766.3212470028062	567.9325438067416	0.998045	25.90221	0.4014264024	0.278417	-0.013679497	-0.0529937023	-0.0503302343	0.0516544721	-0.0633001969	-0.0690525787	-0.1273013579	0.0828192155	-0.0773844228	-0.0470177897	0.0955647278	0.0464188613	0.0434855489	0.0133051353	-0.0708089015	-0.0535058049	-0.0675521214	0.1238916336	0.0476252931	0.086287517	-0.0269726047	-0.0441561374	-0.0959161524	0.1872418308	-0.1338287764	0.0812163967	0.0984154681	0.0347537055	-0.0591854736	0.0059372029	0.0047340823	0.09483154	0.1401445077	0.0708009971	-0.0359815477	-0.1867514507	0.0416945769	-0.0962288806	-0.0184829503	0.0130122548	-0.0222528349	0.0215539973	0.1498423611	0.0297642	-0.0015641814	0.0756144545	0.0212903418	-0.0756235055	0.028709968	-0.034311662	-0.0914951294	-0.0071304895	-0.0099182373	-0.0230860798	-0.1311026645	-0.0693668044	-0.0464350342	-0.134835485	-0.1573950243	-0.0181879764	-0.0587353138	0.0835880462	0.0223819939	0.0635194815	0.0987241031	-0.0963539759	-0.0685872935	0.1047502967	-0.0944254465	0.1670995323	0.046221395	0.0272792858	-0.0920566715	-0.0199315198	0.0365739062	0.1479224692	0.0672062184	0.0877129013	-0.0813832671	0.1638225738	0.0154877605	0.1515216228	0.0568197255	0.0237210367	-0.0113241256	0.0345652944	0.0495920994	-0.1908856944	-0.0655645084	0.0352139302	0.0853850235	-0.0084335514	0.0048804312	0.0167851001	-0.0080084493	-0.114888301	0.012908609	0.0187811894	0.0654986659	-0.1338952217	0.0680985909	-0.1547883971	0.0211335827	-0.0046640391	0.0709520534	-0.0527347726	0.0331511009	0.1174787634	0.0501734609	0.1146527451	0.1144874327	0.1142120884	-0.00259751	-0.0025753574	6.6324657377347606e-06	6.7470582001e-06	0.143319	0.262012	0.020540335761	0.068650288144	-0.089841	0.066357	0.008071405281	0.004403251449	-0.00086565	-0.001076199	7.493499225000001e-07	1.1582042876010003e-06	-0.00045205	-0.00025848	2.0434920250000002e-07	6.68119104e-08	0.0	-7.496189999999998e-05	5.619286451609998e-09	0.0
769.6321040608285	-1.540603099422924	2.37345790995152	592333.575601098	874.9200211613169	-1.1362874816442172	1.2911492409413572	765485.0434289192	760.4760026111543	-1.148307738507242	578323.7505474404	1.3186106623156164	765.6471238055193	567.8261311551628	0.9547810000000002	24.779402	0.389122205	0.293299	0.0026307914	0.0279221897	-0.0604130462	-0.0142296435	0.0256529647	0.0008985276	-0.1756274737	0.0073031083	-0.2243735963	0.1158791185	0.0639351116	0.1226052989	-0.0049183966	-0.027587713	0.026837941	0.1962596202	-0.0437960636	0.0797416147	0.1223456022	0.2219585331	0.0610292323	0.0388624243	-0.0495905446	0.0592800409	-0.02985555	-0.0158355562	0.0876802853	-0.0840837732	-0.0069038629	0.0405878437	-0.0350488709	0.1545372816	-0.0480371849	0.0716322128	-0.0971079639	0.1070773681	-0.008116268	0.1045795339	-0.0150981408	0.2147924805	0.0608019974	0.0192836686	-0.0728497465	0.0978248136	-0.0110480512	0.0763190463	-0.0160858492	-0.06368978	0.0816479874	-0.0612767274	-0.0070546182	-0.0249858006	-0.0153073683	-0.0352748207	0.0461781836	-0.0238011324	0.0630453618	0.0176708905	0.0187440048	-0.1115005086	0.0207137566	0.0882793253	0.0065704773	-0.0438040954	0.1440160626	0.1679232308	0.0242172556	0.1149405109	-0.1207433766	0.2075850894	-0.0023729843	0.0417877551	-0.027420853	-0.0004272723	-0.0164697123	-0.0820012653	-0.0272987274	0.0656298934	0.0248087815	0.1368014786	-0.0065710749	0.0499678674	0.0986327358	0.0522226845	-0.0389667395	0.0115565739	-0.0082512277	0.0083965137	-0.0371014199	-0.0461711577	-0.0949030003	0.0252768404	0.0621411376	0.1317125101	0.0322727274	0.1003263736	0.0902711242	-0.082767012	0.0594160553	0.0195680971	-0.0494867758	0.045574577	-0.0905209574	0.145681193	-0.0578014554	0.1347586164	-0.0591853919	-0.1316767055	-0.0339543038	0.1145547726	0.1140958982	0.1133324686	-0.00293861	-0.0003411	1.1634921e-07	8.635428732099999e-06	-0.140764	-0.284083	0.019814503696	0.0807031508889999	-0.135822	-0.0459809999999999	0.018447615684	0.0021142523609999	9.51891e-05	0.0009608391	9.060964758810002e-09	9.2321177608881e-07	-0.000238547	0.000213503	5.6904671209e-08	4.5583531009e-08	0.0	0.0	0.0	0.0
769.2714845705073	-0.3606194903212554	0.130046416799562	591778.6169733122	871.5605715278296	-3.359449633487316	11.28590183993806	759617.8298419169	761.6127939104148	1.1367912992604945	580054.0478480279	1.2922944580743627	766.0678388274514	563.3996173193849	0.963372	25.002354	0.350717085	0.226692	-0.0565250766	-0.1075595299	-0.0546140648	0.0889498938	-0.0481094521	0.0479909733	-0.1260988507	0.0446674586	-0.0590748945	0.0802817353	0.0474829758	0.1568623365	0.0293496896	-0.078916857	-0.1007117846	0.0042796579	-0.1101955456	0.0771550142	-0.0548355919	0.2171660097	0.042313674	-0.1468173185	-0.039753453	0.0119411832	0.0940543069	-0.0672343061	-0.0795119295	0.027228639	0.0859837426	0.0131844294	0.0706015985	0.0522081118	-0.0311092948	-0.1727136065	-0.0396517654	0.0665596056	-0.002638579	-0.019236657	-0.0348675348	-0.1337117904	0.0489149785	-0.1160974582	-0.0303068375	0.0040391577	0.0795380407	-0.0063957871	0.0408978878	-0.0649490016	-0.0188096491	-0.0039973837	0.0689297715	0.0747698148	-0.1000050737	0.0805309289	-0.0264755344	-0.0332151802	-0.0304827982	-0.0656145803	0.1320219628	-0.0715188081	0.0059129544	-0.0819381689	0.0938594163	0.0475388197	0.1076659353	0.0581623792	-0.0811678905	0.0906822916	-0.0064716459	0.1325497678	-0.0248575666	0.1060298674	-0.1321941029	-0.0892468154	-0.0168362798	-0.1237600266	0.0918836605	-0.0657256558	0.0813796766	-0.0813353403	-0.0020212962	0.0141590525	-0.0380608415	0.0069832285	0.0146905331	0.017241914	-0.0677895385	0.1058773747	-0.0423817161	0.0430128804	0.042172586	-0.0565092192	-0.1031412522	-0.0839776664	0.0518843769	0.204897127	-0.0113551608	-0.041739788	0.0317804233	0.0273141353	-0.0070610397	-0.1538524414	0.1388300514	-0.0811789372	-0.0448345357	0.0901168101	0.0158138484	0.0052499353	-0.0070217858	0.1144078661	0.1135094328	0.1120172664	-0.00718609	-0.00424748	1.80410863504e-05	5.16398894881e-05	0.0670749	0.2078389	0.00449904221001	0.04319700835321	-0.109251	0.0265709999999999	0.011935781001	0.0007060180409999	-0.00143359	-0.0015287791	2.0551802881e-06	2.3371655365968103e-06	-0.000751506	-0.000512959	5.647612680359999e-07	2.63126935681e-07	-0.000199456	-0.000199456	3.9782695936000006e-08	3.9782695936000006e-08
769.4314905739802	0.1600060034729722	0.0256019211473928	592024.818686897	874.1414327109533	2.580861183123716	6.660844446554746	764123.244381958	760.9443692213699	-0.6684246890448549	579036.3330497085	0.4467915649247109	765.5541908221377	560.9097182131898	1.254622	32.561153	0.17388356	0.106996	0.1174581798	0.0449118198	-0.0917174259	-0.1222942659	-0.0256796711	-0.0633321288	-0.012084692	-0.0252543402	-0.0515774003	0.0010329497	-0.0644764673	0.0113706602	-0.0096616059	0.1264171645	0.0670751125	0.0269881918	-0.0543259954	0.1109318569	0.0559172184	-0.0570362859	0.0420982599	-0.0229119262	0.0162902147	0.0448886114	-0.0124323589	-0.0274928964	-0.0049017123	-0.0271557827	0.0777480095	0.0329173254	-0.0070334951	0.0035091942	-0.0264620912	-0.1248798036	0.0697372075	-0.0237605849	-0.1198018661	0.0932217485	-0.0689590607	-0.1655479815	-0.032748199	0.1050615413	0.0341007284	-0.0266772845	-0.0351292203	0.0031504271	0.0324510461	0.1040440362	-0.136178688	-0.0640138183	0.0419438195	-0.0214576051	-0.0728199117	-0.0451987627	-0.0621911535	-0.0844140511	0.0757306116	-0.046739832	-0.1335748708	0.0018341159	0.0648924332	-0.0041839704	-0.1268756713	-0.0064385951	0.0477106645	-0.0624700694	0.0265808142	0.1336551907	-0.0516383765	0.0328963941	0.0540301779	-0.0793765938	0.0154177224	0.0450544245	0.0493416314	-0.0181974528	0.036759002	0.0747489042	-0.0409189792	-0.003686032	-0.0531187881	-0.077275211	-0.0284469577	-0.1034380344	-0.0422550417	-0.1281902874	-0.0816666463	0.1670063005	0.0059883596	0.0053092513	0.0724196485	-0.0483303748	-0.0281506798	-0.0323067105	0.0033720697	0.0425968153	-0.1068356447	0.033724587	-0.054026827	0.0725257521	0.141543517	-0.0820523769	-0.035394465	-0.0289030608	-0.0024769271	-0.026389385	-0.0470962955	0.0230819474	0.062616934	0.1142120884	0.1127290384	0.1102715368	-0.00965985	-0.0024737599999999	6.1194885375999965e-06	9.33127020225e-05	0.0106917	-0.0563832	0.00011431244889	0.00317906524224	-0.0952947	0.0139563	0.00908107984809	0.00019477830969	0.000365167	0.001798757	1.33346937889e-07	3.235526745049e-06	-0.000572233	0.0001792729999999	3.274506062890001e-07	3.2138808528999994e-08	-0.00015608	4.3376e-05	1.881477376e-09	2.4360966400000005e-08
771.3394764131534	1.9079858391731928	3.6404099624854345	594964.5878733177	877.9655906717863	3.8241579608330767	14.624184109402997	770823.5784036587	762.1306567063291	1.1862874849591662	580843.1378916204	1.407277996970744	767.183571668522	581.0084376329999	1.182523	30.68996	0.1724081209	0.10294	-0.0836317184	0.0205700445	-0.0735082119	0.0823582399	0.039506429	-0.0025003997	0.0247990601	0.0234132603	-0.1106109749	-0.0697440619	0.0421241015	-0.004462486	0.0477109994	-0.0789896165	-0.0031943312	-0.1493378263	-0.0704596077	-0.0001594293	-0.0363641652	-0.0068033543	0.0217272962	-0.0019285036	-0.0194428217	0.0775971172	0.0202718679	-0.049072907	-0.0334244981	-0.1314498924	-0.0003525167	0.1146926855	0.0409502151	-0.0028968663	0.0600433866	-0.0641065444	0.0658200265	-0.1280282391	-0.1366139251	-0.0622493215	0.0187561514	0.0585701512	-0.0077765554	-0.0090571368	-0.1164155615	0.1367755704	0.1289525786	0.1086848085	-0.0195331762	0.1102930214	-0.1228576584	-0.0456980682	0.2125131722	-0.0965868844	0.0533471261	0.0067173826	0.0792996651	-0.0032831736	-0.0361832941	-0.086162157	-0.1103345707	0.009942789	0.0819962884	0.0544645339	0.08027377	-0.0068871668	0.0070125458	-0.0910485016	-0.1471844253	-0.0234578441	0.0444488003	0.0603340479	0.061826756	-0.0003824973	-0.0835856643	-0.014698721	-0.0327696903	-0.0951574174	-0.0077087249	-0.0331697448	-0.1084219138	-0.0468476564	-0.1824465161	0.0770543387	0.0837971383	-0.0351951376	-0.0592485893	-0.0718273027	-0.0832359613	-0.0043333646	0.0502365989	-0.0346841082	-0.0542013456	-0.002942412	0.0325809279	0.0379633293	-0.1938947733	-0.0503861605	-0.1197743323	-0.1766478693	-0.019166913	0.0746432458	0.2085964494	-0.0853616862	0.0170366902	-0.0677012985	0.0829723547	0.0083034441	-0.0522878599	0.0097795521	-0.0026599794	0.1139675232	0.1117560484	0.1081019891	-3.78791e-05	0.0096219708999999	9.258232400044678e-05	1.43482621681e-09	0.0926074	0.0819157	0.00857613053476	0.00671018190649	-0.0733469	0.0219477999999999	0.00537976773961	0.0004817059248399	-0.00067449	-0.001039657	4.5493676010000004e-07	1.080886677649e-06	-0.000451023	0.00012121	2.03421746529e-07	1.4691864100000005e-08	-0.000138494	1.7586000000000018e-05	3.0926739600000055e-10	1.9180588036e-08
769.3057540673113	-2.0337223458420794	4.13602657997741	591831.3432410745	875.0884598015898	-2.877130870196538	8.277882044237888	765779.8124779187	760.8529539507535	-1.2777027555755467	578897.2175355875	1.6325243316053453	765.711056602446	553.5092795296495	1.310079	34.000416	0.2368354709	0.14961	0.1354260518	0.0022276392	-0.0125004115	-0.0990294837	-0.0669405312	-0.038042516	-0.0782044959	-0.0632162077	-0.1161910983	0.0463620773	0.1023868847	0.0227175101	-0.0730713213	0.169405109	0.0332397645	0.0044797697	0.0893166852	0.0826148206	0.0681036543	0.0903871997	0.0887067858	-0.0278248825	-0.126734093	-0.0404174461	-0.0797451749	-0.0090977825	0.1030738965	-0.0111604977	-0.0658885882	-0.0627213611	0.044413029	0.0159431725	0.0482044185	-0.1247789888	0.0492256327	-0.0598405075	0.0932641123	-0.037220849	0.2207763295	-0.1222694983	-0.0640870601	0.1216234978	-0.1361467186	0.1040260609	-0.0504033791	-0.0196170581	-0.0179629889	0.0033820847	0.0258964589	0.0199767597	-0.0062444864	0.0715435322	-0.0135348742	-0.0165713779	0.0407499208	-0.1518615484	0.1184984485	0.0871339109	0.1098055593	0.0645314436	-0.0407724738	0.0484211893	-0.1379616167	0.0607702695	-0.0108412451	-0.0086282896	0.0124552478	0.0504760147	-0.1306110589	0.1160340655	0.016591555	-0.0405277108	-0.0031853984	0.1075604561	-0.0223387725	0.0694119273	0.0076996588	0.093970926	-0.1052721296	0.1942409077	-0.0399681808	-0.1974723069	-0.0258478103	-0.0416494797	-0.0101287839	0.0159378077	-0.1260659221	-0.0152870656	-0.0816587195	0.2028101497	-0.0993497394	-0.1940681682	-0.0888734274	-0.1010766268	-0.0487778242	0.088835319	-0.052276158	-0.0650980586	-0.072021556	-0.0063467519	-0.0538416705	0.191862133	0.0773321092	-0.0032303307	0.0349444353	0.0155470302	-0.0122395732	-0.1397211566	-0.0578444599	0.1136742748	0.110592125	0.105516962	-0.0235376	-0.0234997209	0.0005522368823778	0.0005540186137599	-0.044344	-0.1369514	0.001966390336	0.01875568596196	-0.0981159	-0.024769	0.00962672983281	0.000613503361	0.00021736	0.00089185	4.72453696e-08	7.953964225e-07	-0.000572233	-0.00012121	3.274506062890001e-07	1.4691864100000005e-08	-0.000119247	1.9246999999999987e-05	3.7044700899999945e-10	1.4219847009e-08
768.4760566754327	-0.8296973918786534	0.6883977620902398	590555.4496834228	871.758222773611	-3.3302370279787965	11.090478662521049	759962.3989734048	761.4717316660245	0.6187777152709941	579839.198126454	0.3828858609159914	765.5222181790175	567.4287298837328	1.488829	38.639515	0.045143465	0.0218754	-0.1440497538	0.0597982486	0.0052454725	0.1115101182	0.1165627432	0.0639280092	0.0776342726	0.0084852033	-0.0813469057	0.0508677248	0.0022970649	-0.0012087107	0.1270183246	-0.1187221577	0.0633389953	-0.0950077778	0.0627770851	0.0153604626	-0.0596845093	0.0797121176	0.1602215831	-0.0068178782	0.0424569847	0.1170069649	0.0303986101	0.0829658298	-0.0253191178	0.028904748	-0.0456837904	-0.0838683002	-0.0388271523	-0.0609796235	-0.0334298293	-0.0189288183	0.0293727434	-0.092669424	-0.0628734002	0.0057355134	0.0609687903	0.070672949	-0.0270007217	-0.0584336019	-0.0534996855	0.0582491257	-0.0829062013	0.0560415449	-0.02526242	0.0775255213	0.0399710031	-0.191233088	0.1219079081	-0.082018073	0.0836998905	-0.0790034812	0.0505933702	0.136562385	-0.0305807375	0.0904544281	0.052997535	-0.017478389	0.0781882224	-0.1981623916	0.1192475543	-0.0535212861	-0.1020364759	-0.1086675681	-0.028811243	0.0314675726	-0.0509055104	0.065561455	0.1098591566	-0.0838570711	0.0654202177	0.0020293631	-0.1357467604	-0.1148506021	0.0815571641	0.0926880265	0.1324967862	0.0401287766	-0.1314988147	-0.0593019307	0.06883191	-0.030646679	0.1155762827	0.0394697043	-0.021883315	-0.0072649266	-0.0724329231	0.0488830784	-0.016093359	0.1258928423	0.0950828387	-0.0123245591	-0.1106602154	0.0067070902	-0.1956864719	-0.0672611299	0.0859839057	-0.0459858466	-0.0812037667	0.0113167972	0.0158783553	-0.0032901197	-0.0277187006	-0.0523946114	0.0978071048	-0.2027000635	-0.0185036233	0.1133324686	0.1092392569	0.1025263906	-0.0160811	0.0074564999999999	5.5599392249999965e-05	0.00025860177721	-0.0363886	0.0079554	0.00132413020996	6.328838916000002e-05	-0.105982	-0.0078661	0.011232184324	6.187552921000001e-05	6.00907e-05	-0.0001572693	3.6108922264899996e-09	2.473363272249e-08	-0.000572233	0.0	3.274506062890001e-07	0.0	0.000160793	0.00028004	7.842240160000002e-08	2.5854388849e-08
768.4494999314848	-0.0265567439479355	0.0007052606491162	590514.633944949	873.591883518673	1.833660745061934	3.362311727981087	763162.7789497026	761.1351349850623	-0.3365966809622023	579326.6937087291	0.1132973256347706	766.1579866938738	559.0124751411646	1.19984	31.139406	0.26249161	0.169109	0.0318853263	-0.1477243501	0.0598235423	0.0382882533	-0.1111687452	0.1522099547	-0.0210145452	-0.0025490537	-0.046213629	0.0563711643	0.1630394224	-0.0069653434	0.0813089931	-0.0301811627	-0.1288070124	0.0290177948	0.0161545075	0.0304486924	-0.0938793993	0.1124822428	-0.2252254679	0.0107049145	0.0101910245	0.0223628046	-0.0558441716	0.1366969618	-0.0711442931	0.0560533693	0.0799741293	-0.0357449662	0.1100349129	0.0256822592	-0.0055352025	-0.0093606756	-0.0411654091	-0.0075910244	-0.0745535844	0.080655315	-0.0819801794	-0.0353776014	-0.034683272	-0.0356155235	-0.0581326212	0.1109412706	0.0846157166	0.1470612313	0.0979575633	0.0666150569	-0.0550345891	0.1089468758	0.0528840153	-0.0164185148	0.0878522936	0.1228187792	-0.0200662713	-0.0496840735	-0.1019215722	0.0707425197	0.012106593	0.0745460377	-0.1210241376	0.0102093997	0.0353447072	0.1229071559	-0.0126052066	0.1095461807	-0.0677043483	0.0580730053	-0.0178789061	0.0815761511	0.0511519847	-0.0107915983	-0.0346989272	-0.1252184775	0.0347405689	0.1042932708	0.2182105182	-0.1023960178	-0.0401736107	-0.1079558899	0.08613715	0.0486300314	0.0377695312	0.044507933	-0.0093329076	-0.0807513256	0.0826040493	0.0273396208	0.1670156824	0.0957465785	-0.0782615951	0.0884086016	-0.0340760239	0.132917802	-0.1196180779	0.0194216309	0.0232344296	0.0233423509	0.0339981696	0.0156529526	0.1244424029	0.0366358957	0.062918797	-0.0607697863	-0.1328156989	-0.052627694	-0.1024272433	-0.0088872155	-0.0055491376	0.1129422506	0.1076997553	0.099141769	6.1765e-05	0.016142865	0.0002605920904082	3.814915225e-09	0.120955	0.1573436	0.0146301120249999	0.02475700846096	-0.0598839	0.0460981	0.0035860814792099	0.00212503482361	-0.000550073	-0.0006101637	3.02580305329e-07	3.7229974079769e-07	-0.000464355	0.000107878	2.15625566025e-07	1.1637662884e-08	2.06938e-05	-0.0001400992	1.962778584064e-08	4.282333584400001e-10
769.2208898947222	0.771389963237425	0.5950424753834359	591700.7774504283	873.968643257094	0.3767597384210148	0.1419479004950715	763821.1893966455	761.3620333412849	0.2268983562225912	579672.1458135758	0.0514828640565139	765.3968254692805	562.4146776469165	1.113289	28.893131	0.19411316852	0.157071	0.0325135521	0.1216847659	-0.0299008922	-0.0916693299	0.0619300705	0.0023508463	0.0151143715	0.1770541836	0.1237267616	-0.0200186245	-0.0217286891	0.0119212009	0.0210109057	0.0545698635	0.1094486323	-0.0556139163	0.1479348644	-0.0289688244	-0.0998829535	-0.0143876716	0.0232245893	0.1270417313	0.0372519581	0.0542460465	0.1568749559	0.0608877795	-0.0284924347	0.0166630721	0.0115840202	0.0288943515	0.1332689322	0.0290939235	-0.0564769601	-0.0529916405	-0.0173761726	-0.0082748818	-0.1098618572	0.038070283	0.0303331652	-0.0853448502	-0.159494402	-0.0106278483	0.0668623261	-0.1690631936	-0.1291541707	-0.0198375557	-0.213869083	-0.0788239023	-0.0319750853	0.019076983	-0.1194153408	-0.1548060383	-0.1482678645	0.1516806196	-0.0628892578	0.024765682	-0.0672383547	0.0143994397	0.0253286022	-0.0330233104	-0.0202975447	0.084834738	-0.0832795283	-0.0833405813	-0.1630741235	-0.027210865	-0.0059512273	0.0609272659	0.0158388909	-0.0475713529	0.1532246656	-0.0110198735	0.048393435	-0.0528186866	-0.1544698895	-0.0350761332	-0.0757815311	-0.0192789864	-0.0163093195	-0.097583032	0.0039705544	-0.0590710148	0.0258987367	0.0065064558	0.0722492006	0.0392859846	0.0606538329	-0.0008856053	0.0027535475	0.0267836154	0.1880584606	-0.1363336952	0.0206229667	0.1651245567	0.1234172745	-0.0383145672	-0.0038208728	0.0956819025	-0.0455980801	-0.00757151	-0.0689172022	0.0058644966	0.004926507	-0.1064251497	0.1835951392	-0.0159193728	-0.1383654184	0.1343507481	-0.1058293426	0.1125037874	0.1059762505	0.0953761056	3.82648e-06	-5.793852e-05	3.3568720997904e-09	1.46419491904e-11	-0.0326532	-0.1536082	0.00106623147024	0.02359547910724	-0.0582013	0.0016825999999999	0.0033873913216899	2.831142759999998e-06	0.000117119	0.000667192	1.3716860161e-08	4.4514516486400004e-07	-0.000408044	5.631100000000002e-05	1.6649990593599998e-07	3.1709287210000022e-09	-3.10918e-05	-5.17856e-05	2.6817483673600003e-09	9.6670002724e-10
