	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_svc__C	param_svc__kernel	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	mean_train_score	std_train_score
0	0.014553308486938477	0.0006614694442709368	0.0025548458099365233	0.0003620960661349366	1e-05	linear	{'svc__C': 1e-05, 'svc__kernel': 'linear'}	0.4594594594594595	0.4594594594594595	0.4722222222222222	0.4722222222222222	0.4722222222222222	0.4671171171171172	0.006252451295392478	2	0.4689655172413793	0.4689655172413793	0.4657534246575342	0.4657534246575342	0.4657534246575342	0.46703826169107227	0.0015735975673996892
1	0.01435089111328125	0.0004213558536801494	0.0024741649627685546	0.00020064617505915575	3.1622776601683795e-05	linear	{'svc__C': 3.1622776601683795e-05, 'svc__kernel': 'linear'}	0.4594594594594595	0.4594594594594595	0.4722222222222222	0.4722222222222222	0.4722222222222222	0.4671171171171172	0.006252451295392478	2	0.4689655172413793	0.4689655172413793	0.4657534246575342	0.4657534246575342	0.4657534246575342	0.46703826169107227	0.0015735975673996892
2	0.014592742919921875	0.0005851612562037356	0.002447080612182617	0.00029428952368055594	0.0001	linear	{'svc__C': 0.0001, 'svc__kernel': 'linear'}	0.4594594594594595	0.4594594594594595	0.4722222222222222	0.4722222222222222	0.4722222222222222	0.4671171171171172	0.006252451295392478	2	0.4689655172413793	0.4689655172413793	0.4657534246575342	0.4726027397260274	0.4657534246575342	0.46840812470477095	0.002542087045633214
3	0.015152788162231446	0.0009622845537189556	0.002514934539794922	0.00023281515529615163	0.00031622776601683794	linear	{'svc__C': 0.00031622776601683794, 'svc__kernel': 'linear'}	0.4594594594594595	0.4864864864864865	0.4444444444444444	0.4166666666666667	0.5	0.46141141141141145	0.02970393518048826	5	0.6206896551724138	0.6482758620689655	0.6506849315068494	0.589041095890411	0.6712328767123288	0.6359848842701937	0.028450812978929145
4	0.015816879272460938	0.0007078776401749959	0.0024969100952148436	0.00010246734598264398	0.001	linear	{'svc__C': 0.001, 'svc__kernel': 'linear'}	0.5405405405405406	0.43243243243243246	0.5555555555555556	0.4722222222222222	0.4444444444444444	0.489039039039039	0.05010517484815899	1	0.9862068965517241	0.9793103448275862	0.9657534246575342	0.9794520547945206	0.9726027397260274	0.9766650921114785	0.006948060858019049
5	0.01585078239440918	0.00015941494187906826	0.0024262428283691405	0.0002910037049145046	0.0031622776601683794	linear	{'svc__C': 0.0031622776601683794, 'svc__kernel': 'linear'}	0.5135135135135135	0.40540540540540543	0.5	0.4722222222222222	0.3888888888888889	0.456006006006006	0.05014115831708517	6	1.0	1.0	1.0	1.0	1.0	1.0	0.0
6	0.01622467041015625	0.0005483629268148325	0.0024287223815917967	8.0708038085913e-05	0.01	linear	{'svc__C': 0.01, 'svc__kernel': 'linear'}	0.5135135135135135	0.40540540540540543	0.5	0.4722222222222222	0.3888888888888889	0.456006006006006	0.05014115831708517	6	1.0	1.0	1.0	1.0	1.0	1.0	0.0
7	0.01583380699157715	0.0007263339021215816	0.002494955062866211	0.0003386799015489914	0.03162277660168379	linear	{'svc__C': 0.03162277660168379, 'svc__kernel': 'linear'}	0.5135135135135135	0.40540540540540543	0.5	0.4722222222222222	0.3888888888888889	0.456006006006006	0.05014115831708517	6	1.0	1.0	1.0	1.0	1.0	1.0	0.0
8	0.015744876861572266	0.00034095281957971074	0.002432394027709961	0.00018722659897945675	0.1	linear	{'svc__C': 0.1, 'svc__kernel': 'linear'}	0.5135135135135135	0.40540540540540543	0.5	0.4722222222222222	0.3888888888888889	0.456006006006006	0.05014115831708517	6	1.0	1.0	1.0	1.0	1.0	1.0	0.0
9	0.016115140914916993	0.0005348129848414946	0.002368450164794922	0.00011079596371532354	0.31622776601683794	linear	{'svc__C': 0.31622776601683794, 'svc__kernel': 'linear'}	0.5135135135135135	0.40540540540540543	0.5	0.4722222222222222	0.3888888888888889	0.456006006006006	0.05014115831708517	6	1.0	1.0	1.0	1.0	1.0	1.0	0.0
10	0.016058921813964844	0.0008051584976919861	0.0023940563201904296	0.00018204925806748952	1.0	linear	{'svc__C': 1.0, 'svc__kernel': 'linear'}	0.5135135135135135	0.40540540540540543	0.5	0.4722222222222222	0.3888888888888889	0.456006006006006	0.05014115831708517	6	1.0	1.0	1.0	1.0	1.0	1.0	0.0
11	0.016089963912963866	0.0003464558283788913	0.002550077438354492	8.608203748542405e-05	3.1622776601683795	linear	{'svc__C': 3.1622776601683795, 'svc__kernel': 'linear'}	0.5135135135135135	0.40540540540540543	0.5	0.4722222222222222	0.3888888888888889	0.456006006006006	0.05014115831708517	6	1.0	1.0	1.0	1.0	1.0	1.0	0.0
12	0.016022396087646485	0.00034885233122080396	0.0024282455444335936	4.6907642123418636e-05	10.0	linear	{'svc__C': 10.0, 'svc__kernel': 'linear'}	0.5135135135135135	0.40540540540540543	0.5	0.4722222222222222	0.3888888888888889	0.456006006006006	0.05014115831708517	6	1.0	1.0	1.0	1.0	1.0	1.0	0.0
13	0.015726280212402344	0.00026467866077272583	0.002442455291748047	0.00019775349324824924	31.622776601683793	linear	{'svc__C': 31.622776601683793, 'svc__kernel': 'linear'}	0.5135135135135135	0.40540540540540543	0.5	0.4722222222222222	0.3888888888888889	0.456006006006006	0.05014115831708517	6	1.0	1.0	1.0	1.0	1.0	1.0	0.0
