	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_svc__C	param_svc__kernel	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	mean_train_score	std_train_score
0	0.008679437637329101	0.0005161481832063638	0.001461935043334961	0.00027588462039053474	1e-05	linear	{'svc__C': 1e-05, 'svc__kernel': 'linear'}	0.25925925925925924	0.25925925925925924	0.3076923076923077	0.2692307692307692	0.2692307692307692	0.2729344729344729	0.017941933326306322	24	0.4095238095238095	0.4095238095238095	0.3584905660377358	0.3113207547169811	0.5566037735849056	0.40909254267744827	0.08231624115185447
1	0.00849604606628418	0.0006694050724557588	0.001233386993408203	6.503513458744383e-05	3.1622776601683795e-05	linear	{'svc__C': 3.1622776601683795e-05, 'svc__kernel': 'linear'}	0.25925925925925924	0.25925925925925924	0.3076923076923077	0.2692307692307692	0.2692307692307692	0.2729344729344729	0.017941933326306322	24	0.4095238095238095	0.4095238095238095	0.3584905660377358	0.3113207547169811	0.5566037735849056	0.40909254267744827	0.08231624115185447
2	0.009084272384643554	0.0008240589677048584	0.0013976573944091796	0.00012604668739760834	0.0001	linear	{'svc__C': 0.0001, 'svc__kernel': 'linear'}	0.25925925925925924	0.25925925925925924	0.3076923076923077	0.19230769230769232	0.2692307692307692	0.25754985754985754	0.03718358034907226	26	0.4095238095238095	0.4380952380952381	0.33962264150943394	0.4056603773584906	0.5566037735849056	0.42990116801437556	0.0710967763846299
3	0.008599615097045899	0.000458248710955873	0.0013084888458251953	5.391558759782334e-05	0.00031622776601683794	linear	{'svc__C': 0.00031622776601683794, 'svc__kernel': 'linear'}	0.18518518518518517	0.2222222222222222	0.3076923076923077	0.34615384615384615	0.4230769230769231	0.2968660968660969	0.0854634375382304	23	0.7333333333333333	0.7238095238095238	0.7358490566037735	0.7924528301886793	0.6320754716981132	0.7235040431266846	0.05169569911115099
4	0.008522939682006837	0.0004202829674288732	0.0015306472778320312	0.00032490751126006763	0.001	linear	{'svc__C': 0.001, 'svc__kernel': 'linear'}	0.2962962962962963	0.2962962962962963	0.5	0.38461538461538464	0.5	0.3954415954415954	0.09125974737382661	22	0.9809523809523809	0.9809523809523809	0.9905660377358491	0.9528301886792453	0.9905660377358491	0.979173405211141	0.013855531157687569
5	0.009176540374755859	0.00034226577363755405	0.0012666702270507813	6.297508032569606e-05	0.0031622776601683794	linear	{'svc__C': 0.0031622776601683794, 'svc__kernel': 'linear'}	0.4444444444444444	0.2962962962962963	0.4230769230769231	0.46153846153846156	0.5	0.4250712250712251	0.06914688973222106	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
6	0.009174537658691407	0.0002862621258290055	0.0013138771057128907	0.00010697195232510001	0.01	linear	{'svc__C': 0.01, 'svc__kernel': 'linear'}	0.4444444444444444	0.2962962962962963	0.4230769230769231	0.46153846153846156	0.5	0.4250712250712251	0.06914688973222106	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
7	0.009436655044555663	0.0007039187221951218	0.0012773513793945313	8.131165584932352e-05	0.03162277660168379	linear	{'svc__C': 0.03162277660168379, 'svc__kernel': 'linear'}	0.4444444444444444	0.2962962962962963	0.4230769230769231	0.46153846153846156	0.5	0.4250712250712251	0.06914688973222106	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
8	0.009168767929077148	0.0004896616283262243	0.0014061927795410156	9.371360627940964e-05	0.1	linear	{'svc__C': 0.1, 'svc__kernel': 'linear'}	0.4444444444444444	0.2962962962962963	0.4230769230769231	0.46153846153846156	0.5	0.4250712250712251	0.06914688973222106	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
9	0.009008407592773438	0.00038361636802426724	0.0013794898986816406	0.00021467407984850187	0.31622776601683794	linear	{'svc__C': 0.31622776601683794, 'svc__kernel': 'linear'}	0.4444444444444444	0.2962962962962963	0.4230769230769231	0.46153846153846156	0.5	0.4250712250712251	0.06914688973222106	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
10	0.009185028076171876	7.443936628113048e-05	0.0015311717987060546	0.0003055876842920952	1.0	linear	{'svc__C': 1.0, 'svc__kernel': 'linear'}	0.4444444444444444	0.2962962962962963	0.4230769230769231	0.46153846153846156	0.5	0.4250712250712251	0.06914688973222106	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
11	0.008645391464233399	9.662991771792158e-05	0.0014805793762207031	0.00020182315089916535	3.1622776601683795	linear	{'svc__C': 3.1622776601683795, 'svc__kernel': 'linear'}	0.4444444444444444	0.2962962962962963	0.4230769230769231	0.46153846153846156	0.5	0.4250712250712251	0.06914688973222106	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
12	0.009092140197753906	0.0005094932270913885	0.0012665748596191405	4.7638299294285075e-05	10.0	linear	{'svc__C': 10.0, 'svc__kernel': 'linear'}	0.4444444444444444	0.2962962962962963	0.4230769230769231	0.46153846153846156	0.5	0.4250712250712251	0.06914688973222106	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
13	0.009242725372314454	0.0005455430013527129	0.0013216495513916015	7.76220887891503e-05	31.622776601683793	linear	{'svc__C': 31.622776601683793, 'svc__kernel': 'linear'}	0.4444444444444444	0.2962962962962963	0.4230769230769231	0.46153846153846156	0.5	0.4250712250712251	0.06914688973222106	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
