global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05
782.7146010182018	n/a	n/a	612642.1466470829	944.0391929404324	n/a	n/a	891209.9978076229	729.6081846600933	n/a	n/a	532328.1031229969	770.6320118502472	641.3063045111352	n/a	n/a	n/a	n/a	-0.0146494302	0.1089467561	-0.1032044096	0.0239787005	-0.0116169911	0.0513168577	-0.0532006757	0.191809804	-0.1303463137	0.0221720056	-0.0518692484	0.180968843	-0.2122034837	0.0968382349	-0.0854461472	0.1477218036	-0.0619166235	0.3355689323	-0.1729639291	0.0325313966	-0.0126736827	0.1292817681	0.0997402491	-0.0519931142	0.1544870897	-0.0001051759	0.1162190255	-0.0632554604	0.0125846823	-0.072248642	0.0285171454	-0.0776475831	0.0810932694	-0.0501297869	0.0269096051	-0.1120056318	0.0825915386	-0.0266697837	0.040601658	-0.049474579	0.0041806746	-0.1319308424	-0.0226785148	0.0974842079	-0.0019203082	-0.0102080318	-0.1074080081	0.0389826395	-0.0681536123	0.066846565	0.0311167354	-0.1157681089	-0.0413434155	0.1387844201	0.0752462625	-0.0711017976	0.0646067575	0.070273636	-0.0483919062	-0.0407360468	-0.0747285256	0.0565626431	0.0517364365	0.0732823976	-0.099255144	-0.0029214682	0.062002937	0.0216107542	-0.0094520474	0.0350580344	-0.1058358853	0.1981705384	-0.1007088866	0.1460755578	-0.0258062765	0.1404826036	-0.0762921937	0.2740849334	-0.1052091772	0.1562518018	0.0166041685	-0.1257401475	0.164831827	-0.0197984398	0.0001267337	-0.0568775266	0.028303932	-0.0462155854	0.0425256547	-0.0366574592	0.0644548111	-0.0844225846	0.0594574945	-0.040185185	0.1167431158	-0.1003528293	-0.0063152137	0.1375200207	-0.0015270942	-0.1156722982	0.0133415274	0.0004182658	0.0475490221	-0.0552484253	-0.0531630519	0.1612066346	0.024224537	-0.0700544486	-0.0026150666	0.0439031644	0.0983235184	-0.066528171	-0.0821177881	-0.0953452108	0.0999603786	0.0433065453	0.1147017419	0.1146833673	0.1146527451	-0.0425923	n/a	n/a	0.00181410401929	-0.016488	n/a	0.000271854144	n/a	-0.172272	n/a	0.029677641984	n/a	0.0013375	n/a	n/a	1.7889062499999995e-06	-0.00019825	n/a	3.93030625e-08	n/a	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0
780.1260725876828	-2.5885284305190908	6.700479435605628	608596.6891310825	939.4972907533096	-4.541902187122787	20.62887547739076	882655.1593328087	728.8941868167509	-0.7139978433424403	0.509792920297656	531286.7355752526	768.9891097249414	625.240727735524	1.356082	26.394314	0.06874195	0.0368199	-0.0611369685	-0.0606905112	-0.076943884	0.1151125947	-0.0378199046	-0.074010089	-0.2315863492	-0.0356516828	-0.1315966387	0.0695619381	-0.1140138317	-0.0108328933	-0.1621423349	0.0827157193	0.0707708145	-0.0858785056	0.0272732069	-0.083444251	0.0018832056	0.018870392	-0.1861444193	0.1251622813	0.1116852296	-0.0039595096	-0.0639434526	-0.0591483649	0.0776684372	0.0431873156	0.0127477844	0.0604223731	0.0735051334	-0.0444159166	-0.0672327339	-0.1245850267	-0.0613681927	-0.0397882654	-0.1009895363	0.0545897413	0.1937991156	-0.1511190374	-0.0393096983	0.0208136984	-0.1085691152	0.0182673402	-0.0680458412	-0.0242708076	-0.1418718041	0.0396354361	-0.0017692772	0.1611086731	-0.0106387938	-0.1493656963	0.0402653084	-0.0726493869	0.1393445025	0.1580996797	-0.0005194021	-0.0227119122	-0.058574358	-0.0093948627	-0.0044351886	-0.0379803735	0.0325648329	0.0212053882	0.0395261432	-0.0947888174	-0.0379152978	-0.0419733542	-0.0372255237	-0.1336271664	-0.1822517865	0.0830505153	-0.0604980277	-0.0142440997	-0.0473458838	-0.0525815644	-0.0432600034	-0.0417787132	-0.0254526393	-0.0229565797	-0.1128822647	0.0252602601	0.0395299772	-0.1838574969	0.0362779138	-0.2039340942	0.0552309984	-0.0407677389	0.0907370349	0.0363141372	-0.040479108	-0.1152723812	-0.1399471722	0.0073500797	0.1605653837	-0.0243674404	-0.2257082639	-0.0724871677	-0.0109013685	0.0643416434	-0.0900314281	-0.0189978412	0.0093897044	0.166729616	-0.0874976651	0.0737196344	0.152955815	0.0679344516	-0.1904010401	0.0442667003	-0.0048095226	0.0842883423	0.1090724285	-0.0580734501	0.1211417917	0.0480463402	0.1146527451	0.1144874327	0.1142120884	-0.0532488	-0.0106565	0.0001135609922499	0.00283543470144	-0.0472063	-0.0307183	0.0022284347596899	0.00094361395489	-0.158361	0.013911	0.025078206321	0.000193515921	0.0014076	7.010000000000002e-05	4.914010000000003e-09	1.98133776e-06	-0.000397273	-0.000199023	1.5782583652900001e-07	3.9610154529000006e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
779.1396293142087	-0.9864432734740376	0.973070331782175	607058.5619678826	933.9209049543967	-5.576385798912838	31.09607857831677	872208.2567108393	728.3625013731435	-0.5316854436074436	0.2826894109440441	530511.9334065424	767.5414728777016	623.562578363388	1.256266	24.451544	0.05094465	0.0239379	0.1509063872	0.013871743	-0.0702956014	0.0397149716	0.1352865056	0.0457710004	-0.1016369263	-0.0878603998	-0.0316133706	-0.0320001039	-0.0829913629	-0.0959700474	0.0177797889	0.0508137979	0.2610603527	0.0619186085	0.0528971394	-0.1294467468	-0.0128797058	0.1533669489	-0.0422319514	-0.0237379659	0.0284639803	0.0801617669	-0.1648055979	-0.05525291	0.0248375795	-0.0005906581	-0.1446377635	0.0642955484	0.1130722017	0.0025838275	-0.0484234001	-0.0560842707	-0.0617844312	0.0122190242	0.0040327139	0.087835783	0.0439977395	0.0099081463	-0.0901304921	-0.0460318849	0.0531765166	0.1066518691	-0.1099320105	0.0321182579	0.0802917204	-0.0130211545	-0.151766247	-0.0898496459	0.1182848261	0.0565406681	0.0832009732	-0.1384760916	0.0715713655	-0.0430189231	0.0139273826	-0.1860649303	-0.0441937824	-0.0098425223	-0.0296430288	0.0872811637	0.0527389123	-0.0480349201	0.0714180611	0.0745594321	0.0876985256	0.1002339297	0.1301914411	-0.0584399762	-0.0766593474	0.0106760729	-0.0052078631	-0.0768470188	0.1532637644	-0.0479875421	-0.2326797321	-0.0608636267	-0.0593757347	0.012153413	-0.0951609585	-0.0441868484	-0.0396491461	-0.032293529	0.0664241336	-0.014316635	0.0500052294	-0.0095104839	0.2530743526	-0.1175667514	-0.0732653569	0.0292394923	-0.2123922678	0.0462783031	0.0050814071	0.0703857195	-0.0559950913	-0.0873523728	0.0046268831	0.065907421	-0.0155004021	-0.0280420505	-0.0163913767	-0.0225001617	0.0185646717	-0.0623755227	-0.0470559027	-0.1707631784	0.1103494329	-0.0097384445	-0.0400023614	0.0490921692	0.0519191161	-0.0610571446	-0.0188826017	-0.0147524028	0.1145547726	0.1140958982	0.1133324686	-0.0425924	0.0106563999999999	0.0001135588609599	0.00181411253776	-0.0311216	0.0160847	0.00096855398656	0.00025871757409	-0.163638	-0.005277	0.026777395044	2.784672900000004e-05	0.00119373	-0.0002138699999999	4.574037689999996e-08	1.4249913129000002e-06	-0.000232612	0.000164661	5.4108342544e-08	2.7113244921000008e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
780.1724916752712	1.0328623610624843	1.0668046568995702	608669.1167668011	937.2797445529928	3.3588395985960915	11.281803449097152	878493.3195493235	728.473269173895	0.110767800751546	0.0122695056833341	530673.303900902	768.7565529467307	647.4787301480807	1.349416	26.264584	0.0491949	0.0258496	-0.0407228484	0.0605591388	-0.0662197658	-0.0542657035	-0.0075462984	0.1577901143	-0.0795073169	-0.113725343	-0.0275160897	0.0299040515	0.0415617496	-0.094606315	-0.1250004722	-0.1357255089	-0.1248360452	0.0172141718	0.0897424825	-0.0879433115	-0.1211112641	-0.0328199222	-0.0905246516	0.0607295523	0.0321243612	-0.0097170574	-0.0865018903	0.022325277	0.0201621599	0.0222459991	-0.0731623451	0.136394803	-0.0562341976	0.0213508491	0.0583544361	-0.0086186158	0.079071007	0.0083750152	-0.0293597161	-0.1673360757	-0.0194149826	-0.1018007692	-0.1380770806	-0.0095617205	-0.0301080094	-0.0815879316	-0.2815284302	-0.0663876927	0.1472593576	0.0256142549	0.0743241964	-0.0294535849	0.0296996696	0.0585650634	-0.2456684434	-0.0939198776	-0.1243450169	-0.129170446	0.0114740983	0.0207663747	-0.0557076065	0.1463310589	0.0600165209	0.0210815966	0.0023834186	0.0239187073	-0.1543343532	-0.0057658683	-0.0545188303	-0.0864487248	-0.0353420557	0.0077019815	-0.1634847768	-0.0395165802	-0.0470228331	0.0065817185	0.1277278326	-0.071231925	0.0184622022	-0.0963398831	-0.0215879479	-0.0438962848	0.0581622409	0.039970177	0.008598921	-0.0234665837	-0.0951289236	0.0977898132	0.0687336702	-0.192920787	0.1250985807	0.1506628391	-0.1420146533	0.0804297393	0.1702511995	0.1580453633	-0.0114978348	0.0109224045	-0.1133530709	-0.0775334443	0.0843940287	0.0318216397	-0.091663369	0.0883762353	0.0630559401	-0.0786232949	0.0209754871	-0.0507451869	0.0156342899	-0.0440801365	0.051936904	0.0497200892	-0.0275475189	0.0607716357	-0.2038145929	0.0852600758	-0.000174897	0.061131711	0.1144078661	0.1135094328	0.1120172664	-0.0425545	3.790000000000043e-05	1.4364100000000327e-09	0.00181088547025	-0.0171079	0.0140137	0.00029268024241	0.00019638378769	-0.150772	0.012866	0.0227321959839999	0.000165533956	0.000980796	-0.000212934	4.534088835600005e-08	9.61960793616e-07	-0.0	0.000232612	0.0	5.4108342544e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
780.0412604721193	-0.1312312031518558	0.0172216286806836	608464.3680389328	934.1781832762292	-3.1015612767636185	9.619682353519568	872688.8781092761	729.5458527377232	1.072583563828175	1.150435501394349	532237.1512468117	768.0906535232299	616.4659690328376	1.333434	25.953499	0.07172885	0.0401711	0.0635385691	-0.1151748706	-0.1039925931	0.0369132019	0.1040075948	-0.0160751938	-0.0773775208	-0.074932174	-0.1996276438	0.0339377906	-0.029685782	-0.1884708993	-0.0162342148	-0.0573197846	0.0777921006	0.1063065298	0.086815104	0.0631866633	-0.0248534627	0.0905347425	-0.1778837395	0.0696689372	0.0081946935	0.1228286423	-0.0189907419	-0.0190340451	0.0086990341	-0.1271111157	0.0239361769	-0.0507353777	-0.0618444619	-0.0636037548	0.0282828098	0.1144565249	0.1539660512	-0.0244523256	0.0855549323	0.1373994201	0.0043265955	0.0512723284	0.1455971514	0.0471878642	0.1281643989	-0.1043545678	0.032043752	0.0455768113	0.0153705959	0.0096484804	0.1627089466	-0.1081806742	0.1491682272	-0.0822603344	-0.0164822667	-0.0007802107	-0.052204907	0.0011110678	0.1064775079	0.064412289	-0.0369271813	-0.0963291904	-0.009570124	-0.109969949	0.0538476937	-0.0080385655	-0.0898128397	-0.0792940894	-0.0423148769	0.1508094073	0.0732975153	-0.149743189	-0.09170582	-0.0917018506	-0.158198878	-0.0440184215	0.0876792223	0.0640600852	-0.1520539383	0.0734344308	0.0598095677	0.0403458903	0.0300865762	0.1721534566	-0.0583948403	0.0305285285	-0.0777677395	0.0760978621	-0.1133089783	-0.0718506138	-0.0966375154	-0.1446961812	0.002992137	0.0829223236	0.0644759409	0.0082617508	0.0455868724	-0.0132127391	-0.0314866982	0.0565065655	0.0492966078	0.0461793817	0.0736534338	0.047816666	-0.0446636123	0.0110740044	-0.0046240908	-0.0380423039	-0.1349047028	-0.0206216624	-0.0866151072	0.0543964019	0.0251355868	-0.0044937744	0.0830555725	0.0234405279	-0.001017018	0.085928259	0.1142120884	0.1127290384	0.1102715368	-0.0488826	-0.0063280999999999	4.004484960999995e-05	0.00238950858276	-0.05071	-0.0336020999999999	0.0025715040999999	0.0011291011244099	-0.154733	-0.003961	0.023942301289	1.568952100000016e-05	0.00122492	0.000244124	5.959652737600004e-08	1.5004290064e-06	-0.000312629	-0.000312629	9.7736891641e-08	9.7736891641e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
780.779247678745	0.7379872066256894	0.544625117143188	609616.233605787	940.4455508223748	6.267367546145579	39.27989595847885	884437.8340615999	729.7382097280131	0.1923569902899089	0.0370012117133921	532517.8547370456	770.551326318513	649.0693273835226	1.380237	26.864471	0.09239661	0.0519465	0.0384688612	0.1555163476	-0.0380853458	0.1452427461	0.1057348681	0.1787261826	-0.0779467053	0.0649902134	-0.0425785381	0.1357770824	0.0493939351	0.042738607	-0.1014980017	-0.0012388761	-0.019074009	-0.0644989778	0.0238645155	-0.1689680957	0.0134148115	-0.0078608132	-0.0201829791	0.0836751539	0.1977911749	-0.0323058094	0.0012526396	-0.1013328766	0.0297168471	-0.0334747503	-0.041549176	0.1568906294	0.036850032	-0.0823679143	-0.0102495021	-0.0732768696	0.0747356391	0.0932410357	0.0384497019	-0.0232751134	-0.0766893921	0.0365657109	-0.142962955	-0.007766109	0.0033096515	-0.0428224797	0.1025539301	-0.0025184722	0.0164016508	-0.1587965071	0.0518236586	0.0357166759	0.0800405883	0.1318637235	0.0835925893	0.0288310979	0.0078226967	-0.1140170556	-0.0086485291	0.0741592512	0.084721933	-0.1468257749	-0.0822141729	0.0575455232	-0.0370980653	-0.0596028561	-0.0674738032	-0.0862121297	-0.0084478021	0.0008680975	0.0768057663	0.1146792423	-0.1290110907	0.0141921675	-0.1818116565	0.1438081589	0.016012284	0.0094823018	0.0083336858	-0.0303462298	-0.0801816915	-0.0691390768	0.0857896135	-0.019192456	-0.1014645211	-0.0624016937	-0.0504603984	0.0068035244	-0.0487936383	0.0597859862	0.0344255845	0.007750023	0.0943585242	-0.0445301006	-0.0514166372	-0.014629668	-0.1606717812	0.0640341032	0.0921071463	-0.0147436803	-0.0707366205	0.1174522495	-0.0769055202	0.0070574184	-0.007019828	-0.0850166442	0.1163928405	0.0001443766	0.0144025371	0.0328894249	-0.0941720482	-0.000192611	-0.0847243177	-0.1021542987	-0.0891062848	0.1833082844	0.0594337795	0.0723465788	0.1139675232	0.1117560484	0.1081019891	-0.0425756	0.006307	3.9778249e-05	0.0018126817153599	-0.0090016899999999	0.04170831	8.103042285609822e-05	0.0017395831230561	-0.131069	0.023664	0.0171790827609999	0.000559984896	0.00094458	-0.00028034	7.85905156e-08	8.922313764e-07	-0.000299265	1.3363999999999976e-05	8.9559540225e-08	1.7859649599999936e-10	-0.000120642	-0.000120642	1.4554492164e-08	1.4554492164e-08	0.0	0.0	0.0	0.0	0.0	0.0
780.6537379278336	-0.1255097509114193	0.0157526975738465	609420.2585406987	937.6158870840302	-2.829663738344607	8.006996872102375	879123.5517123728	729.5111280335655	-0.2270816944476337	0.0515660959532084	532186.4859248052	768.923019938519	621.8461399506847	1.325761	25.804171	0.05394116	0.0357409	-0.0740237969	-0.0721273842	-0.0248197898	0.1443952975	-0.0285723623	0.0127216735	-0.0331355536	-0.0424857367	-0.217178859	-0.0262568118	0.0927969124	-0.0027875124	0.0557245055	-0.0833899593	0.0826393659	-0.0902689537	0.0460415084	-0.0556433722	-0.141678907	-0.057321116	-0.1145028014	0.0641738307	-0.0185764652	0.0604929258	-0.0730692482	-0.1383767674	-0.053920862	-0.0283359191	0.0345435765	-0.0429560362	0.0781910253	0.0669829038	-0.0849377969	-0.1650081821	-0.0079596424	0.2356950347	-0.0825302561	0.058800766	-0.0310997607	-0.0140928763	0.0316688362	-0.0290951471	-0.033297099	0.038871227	-0.0492659003	0.0084509681	0.0935471013	-0.0713653287	-0.136440797	-0.0605660141	-0.0088346671	-0.1397501141	0.0800189572	0.0094911007	-0.0377628091	0.0129461118	-0.1134818306	0.0162395323	0.0400499295	-0.064653164	0.0053044533	-0.0419386445	0.0165487343	-0.0917032082	-0.0393008173	0.1501694817	0.0978790386	-0.0190418404	-0.0523474046	-0.0878713453	-0.0495111719	-0.0546091475	-0.1534909342	-0.033877803	-0.0365341126	-0.0011401348	-0.0471404013	-0.12426871	0.0608624727	0.0449101916	-0.0461834694	0.0101750099	-0.1063724612	-0.0548192828	0.0856230026	-0.0645055091	-8.2498e-05	-0.0437075328	-0.0488977038	0.1525303088	0.0564866032	-0.0119240597	-0.1938585135	-0.0197473977	-0.0114523452	0.2181671975	-0.0015298085	0.0111301979	-0.091982721	-0.1326085197	-0.0759960183	-0.075381613	0.0431187891	0.0046295299	-0.0087932524	0.0116474456	0.0187969013	-0.1158010725	0.0546529338	-0.0551938695	0.1094630035	-0.0273514077	-0.0471629798	0.0375728679	-0.0114384699	0.0175010644	0.1136742748	0.110592125	0.105516962	-0.0425546	2.1000000000000185e-05	4.410000000000078e-10	0.0018108939811599	-0.0409179	-0.0319162100000001	0.00167427454041	0.0010186444607641	-0.131099	-3.0000000000002247e-05	0.0171869478009999	9.000000000001347e-10	0.000964152	1.957200000000004e-05	3.8306318400000134e-10	9.29589079104e-07	-0.0	0.000299265	0.0	8.9559540225e-08	0.0	0.000120642	0.0	1.4554492164e-08	0.0	0.0	0.0	0.0	0.0	0.0
780.6537635701966	2.564236297075695e-05	6.575307787240471e-10	609420.2985763124	940.9564277992798	3.340540715249631	11.159212270240516	885398.9990167813	729.3974023165769	-0.113725716988597	0.0129335387045704	532020.5705061703	769.8747317368096	640.5042772754067	1.284769	25.0063	0.06587441	0.0403675	0.1218678325	-0.0004033201	-0.0957741859	0.0268264583	0.1315800083	0.0635024898	-0.1026399463	-0.0141908138	0.1157663028	-0.0432706869	0.1627578752	0.1113138961	0.0364013043	-0.110736527	0.0046510506	0.0683856821	0.0093203142	-0.0742617742	-0.0183805422	0.1380884992	-0.0137953699	-0.014516912	0.0895311558	0.0922286906	0.0128281836	0.0216973909	0.0393050517	-0.1163312143	-0.0352495893	0.0259992903	0.1149319925	-0.0362443522	0.0749975124	0.0400114623	-0.0974414636	-0.0436383933	0.0115811163	0.0467473199	-0.0220679178	0.1342868224	-0.0277414751	-0.1446262226	0.0726211039	0.0513141505	-0.0108900478	0.1461029424	0.0786570295	-0.0188137127	0.0526843394	-0.09938123	-0.1413943222	-0.0881378978	-0.0484926338	-0.0678090104	0.0191721006	0.0618612708	0.1421342333	-0.1012269802	0.01258081	0.1859103535	-0.2344667793	-0.0182000576	0.0911736364	0.0692904203	0.0729659113	-0.0436574314	0.0196217615	-0.1997551038	0.1526325703	-0.0160218903	-0.0804778967	0.041590228	-0.0095903915	0.0009634229	-0.0312794143	0.0289984121	0.0148360572	-0.1262652714	0.0500746428	-0.0192984389	-0.0618068763	-0.1019381636	-0.0292648664	-0.0202663583	0.1060638002	0.1441569376	0.1212533741	0.0129002501	0.1253949491	-0.0934784237	0.0286582844	0.1236343392	0.0263438207	-0.1486280506	-0.029357064	-0.0025545883	-0.0681762989	0.1123263511	-0.0509057593	-0.0287766113	-0.0954047646	-0.0334737839	0.071926344	0.0594029084	-0.0585010435	-0.1830037849	-0.0404759666	-0.0568926518	0.0579688201	0.0007286658	-0.099514189	-0.102987595	0.1198251528	-0.0681540946	-0.0326401099	0.0336647034	0.1133324686	0.1092392569	0.1025263906	-0.0425824	-2.7800000000001435e-05	7.728400000000797e-10	0.00181326078976	-0.00627054	0.03464736	3.93196718916e-05	0.0012004395549696	-0.126643	0.0044559999999999	0.016038449449	1.985593599999989e-05	0.000700074	-0.000264078	6.973719008400003e-08	4.901036054759999e-07	-0.000270787	-0.000270787	7.3325599369e-08	7.3325599369e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
780.3226445383323	-0.3311190318643184	0.1096398132627635	608903.4295792965	937.324994509094	-3.6314332901857824	13.187307741069535	878578.1453314732	730.0038983916794	0.606496075102541	0.367837489114787	532905.6916670494	769.0833214861669	628.3370134553594	1.473745	28.684465	0.05377484	0.0275945	-0.1105101023	0.0588892886	-0.0532196663	-0.0796823854	-0.0807364113	0.1408046362	-0.0655457794	-0.0988759374	-0.0766056067	-0.0371701944	-0.0757041377	0.0771798587	-0.0064797133	-0.0433179867	0.0124310101	-0.0022249764	0.0880030168	-0.0325972962	0.0289421594	-0.0996714258	-0.0579543018	0.0514641246	0.074401419	-0.1356839667	-0.0468691641	0.1477124197	-0.0526373395	0.0807440994	0.0867638399	0.0893593018	-0.0123767502	-0.0237648951	0.0204773108	0.008001359	0.0700164263	-0.0023028517	-0.0900189758	-0.1788079331	-0.0211159432	0.0395599101	0.0381629993	-0.0424782343	-0.0591855609	0.1495357489	0.0116507833	-0.0087777644	-0.0040892362	0.0245184475	0.1427934788	0.1296999941	0.0659410721	-0.0396495938	0.0859874785	-0.0586467511	0.1317056789	0.06319839	-0.0236994725	-0.009806936	0.0566261748	0.1161676162	0.0932184969	-0.0833051757	-0.1926978371	0.0697345681	0.0134522377	0.0014523091	0.0473248071	-0.0010874879	-0.0985847378	0.0429698053	-0.1274347217	0.0154718644	-0.0398619461	-0.0898520973	0.0339605942	-0.0894101251	0.0654731546	-0.0028597531	0.04300863	0.0134055294	-0.1624386943	-0.1215801771	0.0169861089	0.0100060849	-0.0528360407	0.1111639024	0.0393203318	0.1145317484	-0.0959442427	0.0067040913	-0.033744586	-0.0424872169	-0.0251781666	0.1749212372	0.0548167614	0.0535690159	0.0057687982	0.071422353	-0.0308556471	0.1050328261	-0.0385281062	0.043307293	0.0119551519	-0.0175330356	-0.0279893371	0.1256068707	0.064074184	0.0976145096	-0.1228210895	0.0749667802	0.0267554063	0.0841382877	0.0120554084	0.0315375742	-0.0857107904	-0.1132809501	0.1129422506	0.1076997553	0.099141769	-0.0425813	1.0999999999969368e-06	1.2099999999932609e-12	0.00181316710969	-0.0171256	-0.01085506	0.00029328617536	0.0001178323276036	-0.115921	0.010722	0.013437678241	0.000114961284	0.00117182	0.000471746	2.225442885160001e-07	1.3731621124e-06	-0.000173422	9.736499999999996e-05	3.0075190084e-08	9.479943224999997e-09	7.482259999999998e-05	7.482259999999998e-05	5.598421470759998e-09	5.598421470759998e-09	0.0	0.0	0.0	0.0	0.0	0.0
780.0928320720195	-0.2298124663127509	0.0528137696727493	608544.8266501441	941.9828559243794	4.657861415285311	21.69567296400368	887331.70085545	729.5596871584569	-0.4442112332225179	0.1973236197210701	532257.3371267455	770.3233464388861	647.6043310175561	1.3095	25.487658	0.08072692	0.0480793	-0.0538795051	-0.0626143207	-0.1035185055	0.003736786	-0.0168712596	-0.0404828654	-0.169390996	0.0092982603	0.0237080473	0.1363039167	-0.0215640608	0.0378772238	0.0176674777	-0.0567252023	-0.0266476468	-0.0237500153	0.048013066	-0.0353226796	0.1061695359	0.0057317997	-0.0750113208	0.0219807535	-0.0367228682	-0.0470495663	-0.0645944354	-0.0705140686	0.0322864081	-0.0227682244	0.1060160103	-0.0541232234	0.1133902341	0.0374054515	0.058625752	0.0642010502	-0.0828174729	-0.0008896506	0.075914534	-0.0499262215	-0.0356586034	-0.1101561229	-0.0997274793	-0.1176866499	0.0662272183	-0.1223303381	0.0023573839	-0.1796051193	-0.0061982787	-0.1697813257	-0.1244842394	-0.1724560339	-0.1126833076	0.0224555939	-0.1542949063	-0.1517229874	0.1310242943	0.028305386	0.0273096694	-0.0057417757	-0.0301641307	-0.0976047103	0.0914862055	0.1335879999	0.057236109	-0.0955519291	0.002731326	0.0139570325	-0.0191510995	0.0792713627	-0.0099677063	-0.1141171584	-0.0509612318	0.0251800569	-0.0270779743	0.1761527878	-0.0557420389	-0.1493605889	-0.0979215676	-0.0234046692	-0.0180827754	-0.0372907282	-0.0618343068	0.0112548209	-0.0334713747	0.0123006228	0.1103836947	-0.0952359034	0.083754719	0.0406266607	-0.0788074305	-0.0379300855	-0.0178503846	0.0382098756	0.1508875284	0.0885962271	-0.104573862	-0.0250786666	-0.1056898016	-0.039892485	-0.0030779814	-0.20415524	0.0819583424	0.0845519016	0.0496308561	-0.0116975394	0.1014397763	-0.017499139	-0.0182561796	0.0116590141	0.1963490897	-0.0347240787	-0.1048655795	0.0989405546	-0.0464150423	-0.0400741679	-0.0271847217	-0.015513793	0.1125037874	0.1059762505	0.0953761056	-0.034036	0.0085453	7.302215209000009e-05	0.0011584492959999	-0.00366351	0.01346209	1.34213055201e-05	0.0001812278671681	-0.111746	0.0041749999999999	0.012487168516	1.7430624999999984e-05	0.000329174	-0.000842646	7.100522813160001e-07	1.08355522276e-07	-0.0	0.000173422	0.0	3.0075190084e-08	0.0	-7.482259999999998e-05	0.0	5.598421470759998e-09	0.0	0.0	0.0	0.0	0.0	0.0
