global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
780.9191153079422	n/a	609834.6646533392	n/a	804.1658202448834	n/a	646682.6664501262	n/a	747.9706795704982	n/a	559460.1374971529	n/a	749.7270429605002	609.4582624463376	n/a	n/a	n/a	n/a	-0.1058087008	0.0356350989	-0.1339312723	0.0383625423	-0.051530846	0.0420073663	0.1414383268	-0.0303875917	0.0051207101	-0.0440958216	0.0946644453	-0.14257474	0.0637437714	-0.0655858127	-0.126107994	0.1088855435	0.0643010272	-0.0923897428	0.0015707174	-0.0694802117	0.019097395	-0.1074697495	0.0004961139	-0.0123087283	0.0177040095	-0.0212389646	0.0515902914	-0.0154811511	0.1133394263	-0.0107315109	0.0762076545	-0.035921235	0.0154541427	-0.0369903141	0.0108721562	-0.0379947724	0.0205850461	0.0141742148	-0.1092243998	0.176541642	-0.0249640516	-0.0998484659	0.1084439151	0.0780854849	-0.1208572277	0.0744358955	0.0050539239	-0.0179280136	-0.0108539979	-0.0409592048	0.0373653519	0.0734161603	-0.07615288	-0.0846542501	0.1231860436	0.0231523708	-0.048868624	-0.0038056968	0.0603705487	0.0040862648	0.013247475	0.0734341111	-0.002681521	-0.0056788675	-0.1833552029	0.1340509247	-0.0449125426	0.1783134328	-0.0461706918	0.0308169916	-0.03671089	0.0374309646	-0.0636096275	0.0266322248	-0.0357810762	0.0700823088	-0.056960803	0.0331905042	-0.0286962011	0.0585215767	-0.128494202	0.0109910985	-0.0672531014	0.1302887693	-0.0586476169	0.0134012589	-0.1881258683	0.0297500495	-0.027005125	0.0776134925	-0.1073841186	0.1146028767	0.0123801539	-0.054632815	0.045658745	0.1290472352	-0.0490629568	-0.0817424385	0.2000708116	-0.0520326043	-0.1597487154	0.0585366242	0.0964217396	-0.0139370768	-0.0295798193	-0.023513815	0.0277401557	0.0801126067	-0.1228696498	-0.0027597923	-0.0665734886	0.0339446096	0.0308724737	0.12161768	-0.0281118589	-0.1161657205	0.1707923786	0.1147017419	0.1146833673	0.1146527451	-0.0472491	n/a	n/a	0.00223247745081	-0.022961	n/a	n/a	0.0005272075209999	0.0610232	n/a	n/a	0.00372383093824	-0.00205828	n/a	4.2365165584e-06	n/a	-0.000422151	n/a	n/a	1.78211466801e-07	-0.00167212	n/a	n/a	2.7959852944e-06	0.0
778.4153727648046	-2.503742543137605	605930.4925565697	6.268726722317162	805.0167500514353	0.8509298065519033	648051.9678633751	0.7240815356784596	747.1473336997011	-0.823345870797084	558229.1382545725	0.6778984229586085	749.432782470127	594.9030804312839	1.5109	32.978054	0.07795735	0.0461541	0.053295595	-0.0079173524	0.0009761918	-0.0479037568	-0.1787915412	-0.0946174747	0.0232366231	0.0117513922	-0.0249613402	0.0464280707	-0.0909441981	-0.1461506538	0.1805286197	0.0250174434	-0.1468902724	-0.02336918	0.1396530104	-0.0564637746	-0.1016085771	-0.0154259597	-0.1076674895	0.0045487673	-0.0200673783	-0.0969684714	-0.0494219685	-0.0373006872	0.0670712803	-0.1343740386	0.0356845206	-0.0790902584	0.0688373565	-0.1109208216	-0.031562996	-0.0238973421	-0.0392413811	-0.1392916797	0.0208041571	0.1295517302	-0.0671000564	0.080134613	-0.0726439772	0.0794611602	-0.0095732692	0.0293286311	-0.0836842263	0.032621617	-0.0312026986	0.0772681674	-0.0276632705	0.0316680075	0.0336073984	0.0181458987	-0.0182063602	0.0529574726	-0.0041297005	-0.0293627244	0.0580766518	0.0311147314	-0.03921107	0.0088729867	-0.0503192888	0.1212652449	0.0774712342	-0.077624655	-0.0629614654	0.0039525082	-0.0045456368	0.0436719467	-0.0565301703	0.0225352789	-0.2356249202	0.1048610548	-0.0540006388	0.0696239808	0.0028180707	0.1628063508	0.0746351027	-0.0581553789	0.0749916659	-0.0339389495	-0.0644027848	-0.0203073953	0.0141305136	0.0711585624	-0.087454746	0.0450137185	-0.1269891548	-0.0011036243	0.0461089817	-0.041042731	-0.1050694583	0.0237928733	0.0402215357	0.088604524	0.0804028912	0.0506542943	0.0389232735	-0.0100460838	-0.0457109028	0.097567078	0.00859151	-0.086279349	-0.0151736553	-0.1187986387	-0.0398495038	0.1360292814	0.0698261063	-0.0582427411	-0.0666364356	0.01913625	0.064844918	-0.0871800915	0.0238861083	-0.0088254826	0.0064777657	-0.1004525013	0.0447048231	0.1146527451	0.1144874327	0.1142120884	-0.0510803	-0.0038312	1.467809344e-05	0.00260919704809	-0.0620714	-0.0391104	0.00152962338816	0.00385285869796	0.0429237	-0.0180994999999999	0.0003275919002499	0.00184244402169	-0.0017621	0.00029618	3.10499641e-06	8.772259240000003e-08	-0.000397786	2.4364999999999988e-05	5.936532249999994e-10	1.5823370179600005e-07	-0.00165434	1.778000000000001e-05	3.1612840000000034e-10	2.7368408356e-06	1.0
777.8356768568406	-0.5796959079640374	605028.3401913393	0.3360473457102497	801.5766582981821	-3.440091753253228	642525.1391284806	11.834231270800863	747.302373477349	0.1550397776478576	558460.8374048792	0.0240373326530971	749.1261866479566	587.2203025185162	1.129695	24.657579	0.11809235	0.0831118	0.02254957	-0.0231608327	0.0231422581	0.1097496357	0.0161176279	0.0132924577	-0.0795324242	-0.0937455227	-0.0098674758	-0.058791784	-0.0028107043	-0.1180324964	0.2124909183	-0.0378012212	-0.1571202697	-0.0261106516	0.013174451	0.0308729686	-0.098614898	0.0239290051	-0.0136549508	0.0833657907	0.1009625436	0.073248455	-0.1168738029	-0.0578744848	0.0104253092	0.1239354532	-0.0789525027	-0.0140127294	-0.1192603215	-0.02445774	-0.0300256048	0.0306407485	-0.0386700198	0.091982948	0.0173097742	-0.0442213218	-0.100409006	-0.0981647091	0.0696715	-0.0180061379	0.0051958108	0.0700155113	0.0532998611	-0.094850529	-0.0632144244	0.1230746799	-0.0221521328	-0.1005084629	0.0408603464	0.0383518469	0.0216822149	-0.0967810721	-0.083114257	0.1774724115	-0.0243937203	0.011500155	0.0475620868	0.0212108218	0.1004417807	-0.0931668931	-0.1107861818	-0.102139866	-0.0825639407	0.026264486	-0.0983861651	-0.0596942879	-0.0851084203	0.1432346626	-0.0757816956	0.0690167617	-0.0163572021	0.1190153886	0.000570977	-0.0030622332	-0.0592526693	-0.1209153242	0.0404613234	-0.0426485975	0.0298876501	-0.011023406	0.0402995803	-0.1521405964	0.049139399	0.0044907308	0.0224160892	-0.0136331496	-0.0606510188	0.0950752706	0.0838166357	-0.0560415602	0.0060643375	-0.0634158774	-0.0480944536	0.1112899792	-0.0004631892	0.0283061534	0.1410709856	0.0217888423	-0.0152320707	0.0343529626	-0.0295607675	0.0101506612	0.2225812561	-0.0049684835	0.0183871771	-0.0555595729	0.1280483127	-0.070488086	0.0510212921	0.057841536	-0.031751863	0.0334871153	0.0956125686	0.0900565523	0.0235812488	0.1145547726	0.1140958982	0.1133324686	-0.0563624	-0.0052820999999999	2.7900580409999976e-05	0.00317672013376	0.0194601	0.0815315	0.00664738549225	0.00037869549201	0.038176	-0.0047477	2.2540655290000004e-05	0.001457406976	-0.00204272	-0.00028062	4.1727049984e-06	7.874758440000004e-08	-0.000147785	0.000250001	6.250050000100001e-08	2.1840406225e-08	-0.00165434	0.0	0.0	2.7368408356e-06	0.0
777.8503612380016	0.0146843811610324	605051.1844780896	0.0002156310500824	796.24300966482	-5.333648633362145	634002.9304400906	28.44780774416588	748.8513101459761	1.5489366686271069	560778.2847073448	2.39920480341764	750.4138572451218	591.9240068884501	1.237292	27.006071	0.0667965	0.0295295	-0.1187655873	-0.0208712848	-0.1143622276	0.0322023491	-0.0173670548	0.0937922716	0.0610184623	0.0443682443	-0.0933815221	-0.0674132159	0.0793931169	-0.0361005411	0.0971672234	-0.1360809414	-0.1165819524	0.1676637476	0.0048079656	-0.1108109448	-0.0773654533	-0.0052548427	0.0687531194	-0.002484494	-0.0500311282	-0.0158624021	-0.0881969991	0.0396790729	-0.1207056132	-0.0242481274	0.0691955053	-0.0473764758	-0.0991073026	0.0091724705	0.0355144145	-0.001598938	-0.1824265692	-0.0739116762	-0.1519034507	-0.0042977021	-0.1079733286	-0.0453847497	-0.1304944489	-0.0508565088	-0.0042420028	-0.0456540039	0.1047790187	0.1071270108	-0.1176232612	-0.099351713	-0.067291036	0.1267809306	0.1123329514	0.0196973612	-0.0538493417	0.1018677812	-0.0093514057	0.1415618262	-0.1538015155	-0.1948150133	-0.006969429	0.1246352618	-0.0312576273	-0.0379153524	0.1088018858	0.0005065003	-0.0548549747	0.0653217489	-0.0859274005	0.1629038061	0.0340075169	0.0456100112	-0.042661823	-0.000492737	-0.0851932598	0.1095925748	-0.0248160389	-0.080896918	-0.0945465377	0.0562669115	0.0640818464	0.0717221865	0.0889726272	0.1212115439	0.0018131191	-0.0325121202	-0.1925466355	0.0159437876	-0.1267741518	0.0736298349	-0.1350033092	-0.0709233281	0.0182053223	0.0229998011	0.0108089402	-0.0684548169	-0.0527265	-0.140837181	0.0263273086	-0.1457940742	0.0720678461	0.1006331441	0.0179214361	0.0239448955	-0.0145137622	-0.1765756356	-0.0579006667	-0.0518764394	-0.0269738991	-0.0500055975	0.0491761464	0.0939059717	-0.020375325	-0.0617419658	0.0837749638	0.0806074262	-0.0863098427	-0.2036087031	-0.0330167254	0.1144078661	0.1135094328	0.1120172664	-0.0576982	-0.0013357999999999	1.784361639999995e-06	0.0033290822832399	0.0015202	-0.0179399	0.00032184001201	2.31100804e-06	0.0539463	0.0157703	0.00024870236209	0.00291020328369	-0.00178547	0.00025725	3.1879031209e-06	6.617756250000005e-08	-0.000397785	-0.00025	6.25e-08	1.58232906225e-07	-0.0017821	-0.0001277599999999	1.6322617599999997e-08	3.17588041e-06	0.0
779.597121515003	1.7467602770013857	607771.6718744783	3.051171465309957	802.6842251625162	6.441215497696248	644301.965324749	41.489257087762326	749.5344824317165	0.6831722857403975	561801.9403541811	0.4667243720037592	751.8608075928948	589.8292974396524	1.283575	28.016281	0.0740901999999999	0.0304214	0.0941172436	-0.0499310338	0.0299045942	-0.0536290048	-0.121237531	-0.0936319278	0.0010014425	0.0307185893	0.0082450921	0.099597799	-0.0081271085	-0.083052972	0.1529674883	-0.0437223552	0.0680150387	-0.0315109864	0.1082111115	-0.1110226156	-0.0596906457	-0.0800999146	-0.0920430686	0.037444963	-0.076070717	0.1243476764	0.1403970879	-0.0044591284	-0.0657826391	-0.0504660513	0.0636584057	0.0831110227	-0.0680308585	0.0450239136	0.0874056371	-0.0038526687	0.2135431268	-0.1854391733	-0.0963200441	0.0562801776	-0.0378854715	0.0534746516	-0.083520415	0.1103221916	-0.0476416419	-0.0663324276	0.084037177	-0.0225197829	0.0021707907	0.1183925587	0.0517905264	0.0528404248	0.0825900958	0.0418905561	0.049803223	0.268487114	0.1814446756	0.0524811991	-0.0001369742	-0.0294333569	-0.0925578023	-0.1042918239	-0.0163886773	-0.0051222532	-0.1201103729	-0.0615532683	0.192454995	0.0020369013	0.0739147054	0.0116216894	-0.0190838395	-0.122318569	-0.131754861	0.0303678226	-0.0819824324	0.1010328317	-0.04285851	-0.0235879805	0.0709638029	0.0210709996	0.00362667	0.0824116243	0.0085217612	-0.0703749734	-0.1245701989	-0.0540621972	-0.1434303957	0.1728135748	0.1209500338	-0.0869781669	0.1413572512	-0.2017812548	-0.0233753174	0.1221750006	-0.0166371525	-0.0294433298	-0.1207849951	-0.0612749709	0.0408599251	0.0451314915	0.0584300377	-0.1678100843	-0.0351656957	-0.1150105177	-0.1260900342	-0.042579536	-0.0772354602	-0.001668948	0.0262538208	0.0787618509	-0.024286502	-0.0359202661	0.2639299679	0.0837889283	0.0074920167	-0.0664244444	-0.1395961762	0.0507257746	-0.0824668501	0.1142120884	0.1127290384	0.1102715368	-0.0628145	-0.0051162999999999	2.617652568999997e-05	0.0039456614102499	-0.0157938	-0.017314	0.000299774596	0.00024944411844	0.0689892	0.0150428999999999	0.0002262888404099	0.00475950971664	-0.00143089	0.0003545799999999	2.0474461921e-06	1.2572697639999997e-07	-0.000147785	0.00025	6.25e-08	2.1840406225e-08	-0.00165434	0.0001277599999999	1.6322617599999997e-08	2.7368408356e-06	0.0
780.1535402233724	0.5564187083693923	608639.5463230611	0.3096017790234628	804.950561418528	2.266336256011755	647945.4063280034	5.136280025313378	750.6771847330615	1.1427023013450253	563516.235678755	1.3057685494992168	752.9771285739059	589.5955814264996	1.113608	24.306438	0.0733106699999999	0.0496473	0.0326159255	0.0353268414	0.1418979753	0.0522241065	0.0247475163	0.0289654188	-0.096183336	-0.0607291267	0.0813431839	0.0188717935	-0.0902875212	-0.1119276319	0.0885044195	0.0922636095	0.0877840315	-0.1349328881	-0.0474659094	-0.0445807928	-0.0478611763	-0.0267236941	0.1379924081	0.0874868222	0.1077457199	-0.045206688	0.0705015103	-0.0628956663	-0.1123839075	0.097100883	0.0188756784	-0.0548946404	-0.0134719596	-0.0550403041	0.1351421658	0.0637323209	-0.020460272	-0.1111057328	-0.0012966514	-0.0151952263	-0.0514241084	0.0072814509	0.0477676173	-0.0339370709	-0.0396329261	-0.1798128354	0.0502387409	0.0997796899	0.1050345214	-0.0933391507	0.0067241595	-0.0538791808	-0.0006222863	-0.0605619396	-0.1378726218	-0.0971878692	-0.05112613	-0.0378474647	-0.0027401774	0.0359636412	0.0133462185	-0.1217146237	0.0035241135	-0.1379089417	-0.0816043316	-0.0073991604	-0.0270348563	0.1599816082	-0.0079661005	-0.135341126	-0.049859039	-0.0801549493	0.119352075	0.0192196757	-0.0964340044	0.0385584888	-0.0270659149	0.0329690756	-0.0500653619	-0.1009045633	-0.0869569656	0.0834007365	0.1440376896	0.1027865605	0.0991187027	0.0292855424	-0.0671975292	0.0242834773	-0.0209940294	-0.0510382656	-0.0138597378	-0.1837487809	-0.0655685882	-0.1272679868	0.0318827432	0.0652979149	-0.0299839239	0.0065727751	-0.0188565549	0.0071891254	0.0173259154	-0.0576243665	0.0165143845	-0.0170075393	0.0755529995	0.1639021364	0.0350678583	-0.0393125474	-0.0270313414	0.0944008568	0.0198474746	0.0453135895	-0.0708383871	-0.0409015198	-0.0179136107	0.0132973356	0.0653455818	0.0607561301	-0.0305804428	0.1139675232	0.1117560484	0.1081019891	-0.0594767	0.0033377999999999	1.1140908839999964e-05	0.00353747784289	-0.00940213	0.00639167	4.0853445388900006e-05	8.84000485369e-05	0.0222502	-0.046739	0.002184534121	0.00049507140004	-0.00130703	0.0001238599999999	1.7083274209000002e-06	1.5341299599999985e-08	-0.000360769	-0.000212984	4.5362184256e-08	1.3015427136099998e-07	-0.00165434	0.0	0.0	2.7368408356e-06	0.0
779.3457720338968	-0.8077681894756097	607379.8323871106	0.6524894479287044	800.6470514374196	-4.303509981108391	641035.700975434	18.520198157499543	750.0018977912852	-0.675286941776335	562502.8466905294	0.4560124537336352	752.1714738975807	603.6483503356304	1.261967	27.544645	0.0560834	0.0251484	-0.0844421032	0.0051562777	0.0284460599	-0.1057680129	0.1072071947	0.0588648579	-0.1161767878	0.0624565622	-0.0131474569	-0.0603459321	0.1006245293	-0.1221952465	0.0146631477	-0.0796115635	0.0209406131	0.0147444929	-0.1411979525	0.0019909479	-0.0982074427	-0.0646048973	0.0147863841	0.0977039704	-0.0509296964	0.028212002	0.0426906331	-0.056848629	0.0754014937	-0.0623315199	0.056675257	-0.0697768279	-0.1286875698	-0.0278377155	0.1545978725	0.0296652695	-0.0174614198	0.0888206703	-0.1878109051	-0.0455719924	0.0091498381	-0.0587856769	-0.2940013689	0.0609517493	0.0009347983	-0.0204805698	-0.1154748067	-0.1046377952	0.0977617117	-0.1779039871	0.0314680493	-0.0122695496	-0.0516355317	-0.0898423705	-0.0211631863	-0.0034217297	0.0438756833	-0.0905253321	0.0639707464	0.0163374271	-0.1772441337	0.0708592153	-0.0847405623	-0.0119120566	0.019217005	0.1183528104	0.026622093	-0.0248104487	-0.0794184545	-0.0727170769	0.1073729693	-0.0113132339	0.0821650278	0.012475367	-0.1249923658	0.074822485	-0.0597434514	-0.0048695224	0.0526281845	-0.0889031344	0.0193021635	0.0493358917	0.0288026506	-0.0461146634	-0.0418953019	0.0332469433	-0.0228335089	0.0252852252	0.1080853427	0.1205945304	-0.0446627248	-0.1708369123	0.0761374313	0.1318978791	0.1379369632	-0.0558205639	-0.1863285774	0.073368684	0.0995770731	0.0361528827	-0.1656724444	0.1469645054	0.0583792518	0.1176881975	0.0778915808	0.049563329	-0.0719798082	-0.0143065279	-0.0457336659	-0.0587180193	0.0346896664	0.1473077137	-0.0453501025	0.1103267739	-0.1176381417	-0.0244844231	-0.0101114292	-0.0978984879	-0.0608903833	0.1136742748	0.110592125	0.105516962	-0.0515751	0.0079016	6.243528256000002e-05	0.00265999094001	-0.00247291	0.00692922	4.80140898084e-05	6.1152838681e-06	0.00757972	-0.01467048	0.0002152229834304	5.74521552784e-05	-0.00166682	-0.00035979	2.7782889124e-06	1.2944884410000002e-07	-0.000188917	0.0001718519999999	2.9533109903999998e-08	3.5689632889e-08	-0.00165434	0.0	0.0	2.7368408356e-06	0.0
779.6020120678693	0.2562400339725172	607779.2972202701	0.0656589550102368	805.0765383684247	4.429486931005158	648148.2326312857	19.620354471945493	749.8792343082665	-0.1226634830186412	562318.8660467521	0.0150463300662644	752.0698711144429	595.3915859079771	1.281364	27.968019	0.0754529699999999	0.0411001	0.1079718364	-0.0737094478	-0.0476713451	-0.024444725	0.102540804	-0.1259261471	-0.123977818	-0.0534045229	-0.042884843	-0.0543459326	0.1401722894	0.0184062881	-0.0481797246	-0.0631778559	0.1392230938	0.043371167	0.0341414509	0.1034295748	-0.1935447546	-0.0381728033	0.0046703495	-0.0355246476	-0.0326866718	-0.0101917783	-0.0672524518	-0.0546324666	0.1014910785	0.1442002219	0.0899944566	-0.1576773095	-0.029976521	-0.0123533821	-0.0238016483	0.0097517332	0.13260261	0.040610167	0.0702872427	-0.0684203838	0.0356440813	0.0081574194	0.191291088	-0.0163863264	0.0900961755	-0.0325303254	-0.0036920224	-0.0974477547	0.1036355691	-0.0732100297	-0.0603885411	0.084133336	-0.0763744239	-0.197768997	0.0406904319	-0.0311370727	0.1374449517	-0.1215116213	-0.1091020656	7.54116e-05	0.1614088756	0.0235981983	-0.0659729601	0.0084302141	-0.053926019	-0.052246094	0.1609933077	-0.0636252305	0.1318332882	-0.0914784722	0.1027067886	0.0658981592	0.0070182696	0.035190212	-0.1766774626	-0.0287332765	-0.0633767452	-0.0235424614	0.0490426796	-0.0942696439	0.0232854196	0.0498612554	-0.156133014	0.0007261893	0.1153819968	0.0295161214	0.0968231043	-0.0416387961	0.0497811815	-0.0477752116	-0.1317953211	0.0831762734	-0.0106679997	-0.0230104984	0.0204927511	-0.1149955016	0.0178406387	-0.0002184028	0.0840459763	0.0789823596	0.0120496855	-0.2104983269	0.0195213455	-0.0480292681	-0.0020019397	0.0447345871	-0.0730037924	-0.1214467582	0.2432374941	0.0018899624	-0.0803621175	-0.0098448819	-0.1472857205	0.0721669396	-0.1200289253	0.058474869	0.0021916415	0.0670227716	0.0131731233	0.1133324686	0.1092392569	0.1025263906	-0.062808	-0.0112329	0.00012617804241	0.003944844864	-0.0234014	-0.02092849	0.0004380016936801	0.00054762552196	0.0383713	0.03079158	0.0009481213988964	0.0014723566636899	-0.00166682	0.0	2.7782889124e-06	0.0	-0.000438917	-0.00025	6.25e-08	1.92648132889e-07	-0.00165434	0.0	0.0	2.7368408356e-06	0.0
779.2403265911476	-0.3616854767217319	607215.4865858783	0.1308163840714264	800.7716234399198	-4.3049149285049	641235.1929066047	18.532292541664347	748.0682259137723	-1.811008394494252	559606.0706217786	3.279751404928647	750.444580539239	584.8154274971109	1.122271	24.495529	0.05626715	0.0322752	-0.0279970584	-0.0109249636	0.0047897463	0.1008378377	0.1359822838	0.0569892702	0.0318906115	-0.1166570892	0.001841344	0.0005516399	0.0672832785	0.0014719886	0.1099582396	-0.05659077	-0.0748922944	0.0707039388	0.0533044961	0.0438679719	-0.0927452049	-0.0721378069	0.0278336642	0.0120755792	0.0777789462	-0.019500835	0.0153207639	-0.0188173694	-0.0346796967	0.0423142413	-0.0635644449	0.1000960942	0.0932512723	0.0775533684	0.0641827242	-0.0147655209	0.0491752233	-0.1611338612	0.0211843306	0.1394682324	-0.0135949707	0.0925387751	-0.0155626301	0.011195322	0.0184553256	-0.0594867823	-0.0151394752	-0.0434399878	-0.019895587	-0.1360066081	-0.0382155858	0.1279579255	0.0437416268	-0.02565213	-0.0682230858	-0.0973098217	-0.1328064652	0.0118018018	-0.0637909566	0.0951456367	0.0187812384	0.0619858133	0.045712916	0.1007930321	-0.1432868141	-0.0802955029	0.1454450906	-0.0625512501	0.0043503664	0.0663528266	-0.0655155823	0.1229274389	0.0749283885	0.011369755	-0.1035567713	0.0300429827	0.0401501711	-0.0093371286	-0.0010501001	0.1189060914	-0.0839071163	-0.03537567	0.0160030627	0.0745670999	0.0638787939	-0.0619021526	-0.0057423839	0.0604442093	-0.1116816512	-0.0186385048	0.1078262295	-0.0819147576	-0.0945597599	0.0451178751	-0.0369769179	-0.0048643937	-0.0752599596	-0.0453198789	0.0533464222	-0.0279375813	-0.1557193323	-0.1001546916	0.0720838598	0.0565462346	0.0500620386	0.1328591132	-0.1266463907	0.044165125	-0.0798995674	-0.0164538289	-0.0988711885	-0.0852175658	-0.052159964	-0.0856348026	-0.0944531772	-0.083924145	0.0543056648	0.1405578649	0.0810818546	0.1129422506	0.1076997553	0.099141769	-0.0460321	0.0167759	0.00028143082081	0.00211895423041	-0.0197232	0.0036781999999999	1.3529155239999995e-05	0.0003890046182399	0.0115705	-0.0268008	0.0007182828806399	0.0001338764702499	-0.00171394	-4.711999999999989e-05	2.9375903236e-06	2.220294399999989e-09	-0.000305792	0.000133125	1.7722265625e-08	9.3508747264e-08	-0.00165434	0.0	0.0	2.7368408356e-06	0.0
779.2982727724298	0.0579461812822046	607305.7979460923	0.0033577599251901	796.5444489340277	-4.227174505892094	634483.0591276139	17.86900430326407	749.3752912523934	1.3070653386211006	561563.3271396094	1.7084197994246926	751.3185131353249	599.7694362211115	1.115698	24.352066	0.0312360289999999	0.016203	-0.0494485671	-0.0034275223	0.0047383666	-0.1220531083	-0.0340712654	0.0493330268	0.057531672	0.0935131866	-0.0906772747	0.0813956224	-0.0017351252	-0.014734143	0.010579105	-0.0223858156	-0.0288958663	-0.047541726	0.0578848245	-0.106274695	-0.0457891342	-0.0575403853	-0.0183626639	0.0279541444	-0.1180125616	-0.104441764	0.0778735033	-0.0001273687	0.1143391587	0.0069968212	0.0429474529	0.1265152214	-0.0243308214	0.034687714	0.0547107373	0.07462009	0.1976783147	-0.0303208854	0.1165209905	0.0287081418	0.0524092104	-0.0225671993	0.0716187219	-0.0512413356	0.0389408963	0.1372623613	-0.0050202226	0.1507629646	0.0475374424	-0.0596441255	0.0314553977	0.0268521029	0.033587921	-0.0936491408	0.1586212259	-0.0432281677	-0.0809097556	0.014669425	0.0256071741	0.0462011304	-0.025694897	-0.11838176	0.0728101014	-0.1864515644	0.0109596418	-0.0149785354	-0.08724596	0.0146180561	-0.0401730621	0.0312808564	-0.0095690805	-0.0967953901	-0.1018425388	-0.0103083849	-0.113208693	-0.0606587381	-0.0642808138	0.0896527949	-0.0877534058	0.0070212716	-0.0437533643	-0.1282004532	-0.0290850851	-0.1154625301	-0.1348082271	-0.0395924614	-0.025157514	0.0038839249	0.0597045151	-0.0709247235	0.0554194676	-0.0421104816	0.0501186324	-0.0093756682	-0.0376923278	-0.0586056558	0.0995107436	-0.0217654039	-0.0681030841	-0.0351097784	-0.01191109	-0.1785636771	0.0550323325	0.0188903343	0.2210081739	0.0338874484	0.0477451853	-0.0126540334	0.0554771488	0.1125918916	-0.0257778814	0.0091304766	-0.0943589887	-0.0361900866	0.1651377563	-0.1109377757	0.1176997979	0.0679238442	-0.066861809	0.1125037874	0.1059762505	0.0953761056	-0.0517231	-0.005691	3.2387481000000016e-05	0.00267527907361	-0.0213669	-0.0016437	2.7017496900000046e-06	0.00045654441561	-0.000344579	-0.0119150789999999	0.0001419691075762	1.1873468724100001e-07	-0.00160734	0.0001065999999999	2.5835418756000003e-06	1.1363559999999974e-08	-0.000438917	-0.000133125	1.7722265625e-08	1.92648132889e-07	-0.00165434	0.0	0.0	2.7368408356e-06	0.0
